阿尔乡镇,a'er'xiang'zhen
细河区政府,xi'he'qu'zheng'fu
西华园,xi'hua'yuan
西华园小区,xi'hua'yuan'xiao'qu
西荒村,xi'huang'cun
西郊村,xi'jiao'cun
西老河土村,xi'lao'he'tu'cun
西梁,xi'liang
西两家子,xi'liang'jia'zi
西六家子,xi'liu'jia'zi
西柳营,xi'liu'ying
西马架子,xi'ma'jia'zi
西门洞村,xi'men'dong'cun
西庙,xi'miao
西苗圃,xi'miao'pu
西南段,xi'nan'duan
西南山村,xi'nan'shan'cun
西平村,xi'ping'cun
西山,xi'shan
西山宾馆,xi'shan'bin'guan
溪山茶楼,xi'shan'cha'lou
西山村,xi'shan'cun
西山花园,xi'shan'hua'yuan
西山市场,xi'shan'shi'chang
西山屯,xi'shan'tun
西梢,xi'shao
西树林,xi'shu'lin
西水泉,xi'shui'quan
西水泉村,xi'shui'quan'cun
西四家子,xi'si'jia'zi
西太平山,xi'tai'ping'shan
西太平庄,xi'tai'ping'zhuang
西台子,xi'tai'zi
西土城子,xi'tu'cheng'zi
西洼,xi'wa
西瓦村,xi'wa'cun
西瓦村商店,xi'wa'cun'shang'dian
西瓦村委会,xi'wa'cun'wei'hui
西瓦村小学,xi'wa'cun'xiao'xue
西洼子,xi'wa'zi
西窝铺,xi'wo'pu
西沿,xi'yan
西窑地,xi'yao'di
西营子,xi'ying'zi
西于家,xi'yu'jia
西园,xi'yuan
西住宅,xi'zhu'zhai
下八家子,xia'ba'jia'zi
下八台,xia'ba'tai
下大道,xia'da'dao
下甸子,xia'dian'zi
下甸子村,xia'dian'zi'cun
下河村,xia'he'cun
下荒,xia'huang
夏家沟,xia'jia'gou
下罗,xia'luo
下马家,xia'ma'jia
下平房,xia'ping'fang
下水泉,xia'shui'quan
下洼,xia'wa
下洼子,xia'wa'zi
下洼子村,xia'wa'zi'cun
下湾子,xia'wan'zi
下窝铺,xia'wo'pu
下窝铺村,xia'wo'pu'cun
下窑,xia'yao
下营子,xia'ying'zi
县财政局,xian'cai'zheng'ju
现代厨房设备厂,xian'dai'chu'fang'she'bei'chang
现代粗粮,xian'dai'cu'liang
县第三小学,xian'di'san'xiao'xue
县东门,xian'dong'men
先锋村,xian'feng'cun
县公路处,xian'gong'lu'chu
仙鹤制药,xian'he'zhi'yao
县教育局,xian'jiao'yu'ju
县农电局,xian'nong'dian'ju
县农药厂,xian'nong'yao'chang
县人民医院,xian'ren'min'yi'yuan
县西门,xian'xi'men
县长客,xian'zhang'ke
县政府,xian'zheng'fu
香巴佬,xiang'ba'lao
橡胶厂,xiang'jiao'chang
乡敬老院,xiang'jing'lao'yuan
祥宇家园,xiang'yu'jia'yuan
祥宇新华丽都,xiang'yu'xin'hua'li'dou
祥宇一品,xiang'yu'yi'pin
小北地,xiao'bei'di
小大巴,xiao'da'ba
小大来,xiao'da'lai
小丁家,xiao'ding'jia
小洞,xiao'dong
小洞村,xiao'dong'cun
小东沟,xiao'dong'gou
小东街,xiao'dong'jie
小房,xiao'fang
消防烧伤医院,xiao'fang'shao'shang'yi'yuan
小房身,xiao'fang'shen
小岗子,xiao'gang'zi
小固本,xiao'gu'ben
小关家,xiao'guan'jia
小河东,xiao'he'dong
小河南,xiao'he'nan
小河西,xiao'he'xi
小黑沟,xiao'hei'gou
小荒,xiao'huang
小荒山,xiao'huang'shan
肖家梁,xiao'jia'liang
小井,xiao'jing
小林家,xiao'lin'jia
小岭,xiao'ling
小刘家,xiao'liu'jia
小马尾,xiao'ma'wei
小南沟,xiao'nan'gou
小南洼,xiao'nan'wa
小泡子,xiao'pao'zi
小七家子,xiao'qi'jia'zi
小清沟,xiao'qing'gou
小三家,xiao'san'jia
小三家子,xiao'san'jia'zi
小山,xiao'shan
小山村,xiao'shan'cun
小水泉,xiao'shui'quan
小四家,xiao'si'jia
小四家子,xiao'si'jia'zi
小太平庄,xiao'tai'ping'zhuang
小台子,xiao'tai'zi
小屯,xiao'tun
小五队,xiao'wu'dui
小五家子,xiao'wu'jia'zi
小西沟,xiao'xi'gou
小西街,xiao'xi'jie
小新邱,xiao'xin'qiu
小窑,xiao'yao
小一间房,xiao'yi'jian'fang
小榆树,xiao'yu'shu
小赵家,xiao'zhao'jia
谢家,xie'jia
鑫成加油站,xin'cheng'jia'you'zhan
鑫达超市,xin'da'chao'shi
新德村,xin'de'cun
鑫帝宾馆,xin'di'bin'guan
新地村,xin'di'cun
新东方书城,xin'dong'fang'shu'cheng
新都四季城,xin'du'si'ji'cheng
新都四季城金齿科口腔门诊,xin'du'si'ji'cheng'jin'chi'ke'kou'qiang'men'zhen
新发村,xin'fa'cun
新发屯,xin'fa'tun
新房子,xin'fang'zi
新房子村,xin'fang'zi'cun
新海小学,xin'hai'xiao'xue
新华村,xin'hua'cun
新华丽都,xin'hua'li'du
新华桥,xin'hua'qiao
新华石油,xin'hua'shi'you
新华书店,xin'hua'shu'dian
新华药店,xin'hua'yao'dian
新华医药公司,xin'hua'yi'yao'gong'si
新街基,xin'jie'ji
新开,xin'kai
新立,xin'li
新立村,xin'li'cun
新立街,xin'li'jie
鑫林工贸,xin'lin'gong'mao
新六小区,xin'liu'xiao'qu
新玛特,xin'ma'te
新玛特超市,xin'ma'te'chao'shi
新民医院,xin'min'yi'yuan
新民镇,xin'min'zhen
新农村,xin'nong'cun
新丘,xin'qiu
新邱,xin'qiu
新邱村,xin'qiu'cun
新邱大街,xin'qiu'da'jie
新邱火车站,xin'qiu'huo'che'zhan
新邱区,xin'qiu'qu
新邱站,xin'qiu'zhan
新渠路市场,xin'qu'lu'shi'chang
新生村,xin'sheng'cun
新世纪家具城,xin'shi'ji'jia'ju'cheng
新世纪外语学校,xin'shi'ji'wai'yu'xue'xiao
新世纪小区,xin'shi'ji'xiao'qu
新屯子村,xin'tun'zi'cun
新窝堡,xin'wo'bao
新窝铺,xin'wo'pu
新窝铺村,xin'wo'pu'cun
新兴加油站,xin'xing'jia'you'zhan
新兴街道办,xin'xing'jie'dao'ban
新兴隆,xin'xing'long
新秀街,xin'xiu'jie
新苑小区,xin'yuan'xiao'qu
兴达加油站,xing'da'jia'you'zhan
兴达汽车修理厂,xing'da'qi'che'xiu'li'chang
幸福堂,xing'fu'tang
星光宾馆,xing'guang'bin'guan
星光大酒店,xing'guang'da'jiu'dian
星海宾馆,xing'hai'bin'guan
兴合村,xing'he'cun
星火村,xing'huo'cun
邢家沟,xing'jia'gou
邢家屯村,xing'jia'tun'cun
兴隆堡乡,xing'long'bao'xiang
兴隆村,xing'long'cun
兴隆地,xing'long'di
兴龙地,xing'long'di
兴隆地村,xing'long'di'cun
兴隆沟,xing'long'gou
兴隆沟村,xing'long'gou'cun
兴隆加油站,xing'long'jia'you'zhan
兴隆山,xing'long'shan
兴隆山村,xing'long'shan'cun
兴隆山水库,xing'long'shan'shui'ku
兴隆山乡,xing'long'shan'xiang
兴隆洼村,xing'long'wa'cun
兴隆站,xing'long'zhan
杏山,xing'shan
杏山村,xing'shan'cun
兴盛小区,xing'sheng'xiao'qu
杏树洼村,xing'shu'wa'cun
行行,xing'xing
徐家村,xu'jia'cun
许家村,xu'jia'cun
徐家沟,xu'jia'gou
畜牧场,xu'mu'chang
选煤厂,xuan'mei'chang
选煤厂住宅,xuan'mei'chang'zhu'zhai
宣女村,xuan'nv'cun
薛家街,xue'jia'jie
薛家梁,xue'jia'liang
靴子山,xue'zi'shan
衙门村,ya'men'cun
衙门桥,ya'men'qiao
雅威会馆,ya'wei'hui'guan
阎家店,yan'jia'dian
阎家沟,yan'jia'gou
颜家沟,yan'jia'gou
鄢家窝堡,yan'jia'wo'bao
烟酒公司,yan'jiu'gong'si
砚台山,yan'tai'shan
烟台营子,yan'tai'ying'zi
杨彪沟,yang'biao'gou
阳光小区,yang'guang'xiao'qu
杨家村,yang'jia'cun
杨家店,yang'jia'dian
杨家店村,yang'jia'dian'cun
杨家沟,yang'jia'gou
杨家荒,yang'jia'huang
杨家街,yang'jia'jie
杨家洼,yang'jia'wa
杨家窝铺,yang'jia'wo'pu
杨家窝铺村,yang'jia'wo'pu'cun
杨家杖子,yang'jia'zhang'zi
养路段,yang'lu'duan
样品楼,yang'pin'lou
杨树底下,yang'shu'di'xia
杨树沟,yang'shu'gou
窑沟,yao'gou
腰沟,yao'gou
腰荒,yao'huang
姚家沟,yao'jia'gou
腰六家子,yao'liu'jia'zi
腰四家子,yao'si'jia'zi
腰窝堡,yao'wo'bao
腰窝堡村,yao'wo'bao'cun
腰窝铺,yao'wo'pu
腰营子,yao'ying'zi
叶家沟,ye'jia'gou
叶家沟村,ye'jia'gou'cun
夜压件厂,ye'ya'jian'chang
液压件厂,ye'ya'jian'chang
以纯,yi'chun
一韩烤肉,yi'han'kao'rou
衣家洼子村,yi'jia'wa'zi'cun
一家子,yi'jia'zi
一间楼,yi'jian'lou
一井,yi'jing
一棵树,yi'ke'shu
一棵树村,yi'ke'shu'cun
一棵树山,yi'ke'shu'shan
一坑,yi'keng
伊利乳业公司,yi'li'ru'ye'gong'si
驿马池村,yi'ma'chi'cun
伊吗图镇,yi'ma'tu'zhen
医巫闾山,yi'wu'lv'shan
一坐一茶,yi'zuo'yi'cha
尹家街,yin'jia'jie
银通国际花园,yin'tong'guo'ji'hua'yuan
迎宾大街,ying'bin'da'jie
迎宾大桥,ying'bin'da'qiao
迎宾馆,ying'bin'guan
迎宾广场,ying'bin'guang'chang
迎宾桥,ying'bin'qiao
英沟,ying'gou
英桥外语学校,ying'qiao'wai'yu'xue'xiao
鹰山,ying'shan
樱桃沟,ying'tao'gou
樱桃沟村,ying'tao'gou'cun
鹰窝山,ying'wo'shan
永安殡仪馆,yong'an'bin'yi'guan
永安村,yong'an'cun
永安加油站,yong'an'jia'you'zhan
永发村,yong'fa'cun
永和药店,yong'he'yao'dian
永健大药房,yong'jian'da'yao'fang
永康大药房,yong'kang'da'yao'fang
永平府,yong'ping'fu
永先村,yong'xian'cun
邮电招待所,you'dian'zhao'dai'suo
尤家沟,you'jia'gou
友邻水库,you'lin'shui'ku
游泳馆,you'yong'guan
育才中学,yu'cai'zhong'xue
于家村,yu'jia'cun
于家沟,yu'jia'gou
于家沟村,yu'jia'gou'cun
于家街,yu'jia'jie
于家窝堡,yu'jia'wo'bao
于家窝铺,yu'jia'wo'pu
御景园,yu'jing'yuan
裕康大药房,yu'kang'da'yao'fang
玉龙大酒店,yu'long'da'jiu'dian
玉龙大厦,yu'long'da'sha
玉龙公园,yu'long'gong'yuan
玉龙新城,yu'long'xin'cheng
榆树沟,yu'shu'gou
于水河,yu'shui'he
于寺镇,yu'si'zhen
育英学校,yu'ying'xue'xiao
元宝山,yuan'bao'shan
元宝山村,yuan'bao'shan'cun
元宝洼,yuan'bao'wa
元宝洼村,yuan'bao'wa'cun
元仓子,yuan'cang'zi
远东石油,yuan'dong'shi'you
远航加油站,yuan'hang'jia'you'zhan
袁家村,yuan'jia'cun
袁家窝堡,yuan'jia'wo'bao
园林处,yuan'lin'chu
圆梦园,yuan'meng'yuan
园区桥,yuan'qu'qiao
月亮湾广场,yue'liang'wan'guang'chang
越秀家园,yue'xiu'jia'yuan
运动汇,yun'dong'hui
运输部,yun'shu'bu
枣树沟,zao'shu'gou
扎兰营子,zha'lan'ying'zi
扎兰营子村,zha'lan'ying'zi'cun
扎兰营子乡,zha'lan'ying'zi'xiang
翟家店,zhai'jia'dian
翟家沟,zhai'jia'gou
宅山土,zhai'shan'tu
宅山土村,zhai'shan'tu'cun
寨子沟,zhai'zi'gou
站东街,zhan'dong'jie
站前宾馆,zhan'qian'bin'guan
站前大厦,zhan'qian'da'sha
站前环卫所,zhan'qian'huan'wei'suo
站前小学,zhan'qian'xiao'xue
站前医院,zhan'qian'yi'yuan
詹师傅香辣蟹,zhan'shi'fu'xiang'la'xie
战友玛瑙厂,zhan'you'ma'nao'chang
章古台镇,zhang'gu'tai'zhen
张家店,zhang'jia'dian
张家沟,zhang'jia'gou
张家街,zhang'jia'jie
张家坑,zhang'jia'keng
张家梁,zhang'jia'liang
张家桥,zhang'jia'qiao
张家洼村,zhang'jia'wa'cun
张家洼子,zhang'jia'wa'zi
张家湾,zhang'jia'wan
张家湾子,zhang'jia'wan'zi
张家窝堡,zhang'jia'wo'bao
张家营子,zhang'jia'ying'zi
彰武三中,zhang'wu'san'zhong
彰武县,zhang'wu'xian
彰武县公安局,zhang'wu'xian'gong'an'ju
彰武县林业局,zhang'wu'xian'lin'ye'ju
彰武县政府,zhang'wu'xian'zheng'fu
彰武站,zhang'wu'zhan
彰武镇,zhang'wu'zhen
赵大把营子村,zhao'da'ba'ying'zi'cun
赵家村,zhao'jia'cun
赵家沟,zhao'jia'gou
赵家沟村,zhao'jia'gou'cun
赵家沟桥,zhao'jia'gou'qiao
赵家街,zhao'jia'jie
赵家屯,zhao'jia'tun
赵家洼子,zhao'jia'wa'zi
赵家围子,zhao'jia'wei'zi
赵家窝堡,zhao'jia'wo'bao
赵家窝铺,zhao'jia'wo'pu
招束沟乡,zhao'shu'gou'xiang
朝阳村,zhao'yang'cun
朝阳寺村,zhao'yang'si'cun
甄家村,zhen'jia'cun
甄家沟,zhen'jia'gou
振隆公司,zhen'long'gong'si
振隆土特产,zhen'long'tu'te'chan
振兴加油站,zhen'xing'jia'you'zhan
珍珠岩矿,zhen'zhu'yan'kuang
正邦修造厂,zheng'bang'xiu'zao'chang
政府宾馆,zheng'fu'bin'guan
正骨医院,zheng'gu'yi'yuan
郑家村,zheng'jia'cun
郑家洼子,zheng'jia'wa'zi
制药厂,zhi'yao'chang
蜘蛛山乡,zhi'zhu'shan'xiang
中部电影院,zhong'bu'dian'ying'yuan
中部粮站,zhong'bu'liang'zhan
中诚快递公司,zhong'cheng'kuai'di'gong'si
中国燃油,zhong'guo'ran'you
中国油品,zhong'guo'you'pin
中华路加油站,zhong'hua'lu'jia'you'zhan
中林国际酒店,zhong'lin'guo'ji'jiu'dian
中林酒店,zhong'lin'jiu'dian
钟楼商场,zhong'lou'shang'chang
中南大酒店,zhong'nan'da'jiu'dian
中铁寻呼,zhong'tie'xun'hu
中心石油,zhong'xin'shi'you
中心医院,zhong'xin'yi'yuan
中心幼儿园,zhong'xin'you'er'yuan
中药厂,zhong'yao'chang
中窑村,zhong'yao'cun
中医药研究所,zhong'yi'yao'yan'jiu'suo
中医院,zhong'yi'yuan
粥鼎记,zhou'ding'ji
周家,zhou'jia
周家店,zhou'jia'dian
周家店林场,zhou'jia'dian'lin'chang
周家沟,zhou'jia'gou
周家街,zhou'jia'jie
周家桥,zhou'jia'qiao
周家营子,zhou'jia'ying'zi
周末喜相逢,zhou'mo'xi'xiang'feng
朱家村,zhu'jia'cun
朱家屯村,zhu'jia'tun'cun
朱家洼子,zhu'jia'wa'zi
朱家洼子村,zhu'jia'wa'zi'cun
朱家围子,zhu'jia'wei'zi
砖石场,zhuan'shi'chang
紫都台乡,zi'dou'tai'xiang
紫荆园,zi'jing'yuan
紫澜门,zi'lan'men
紫湘园,zi'xiang'yuan
总机厂,zong'ji'chang
左家村,zuo'jia'cun
