阿多诺,a'duo'nuo
三个阶级,san'ge'jie'ji
三皈依,san'gui'yi
三惑,san'huo
三极,san'ji
三即一,san'ji'yi
三界,san'jie
三界唯心,san'jie'wei'xin
三科,san'ke
三理,san'li
三昧,san'mei
三民主义,san'min'zhu'yi
三名,san'ming
散名,san'ming
三能变,san'neng'bian
三年不窥园,san'nian'bu'kui'yuan
三千世间,san'qian'shi'jian
三清,san'qing
三生,san'sheng
三世,san'shi
三事,san'shi
三尸,san'shi
三世六别,san'shi'liu'bie
三世一时,san'shi'yi'shi
三统,san'tong
三畏,san'wei
三物,san'wu
三无性,san'wu'xing
三性,san'xing
三性一际,san'xing'yi'ji
三凶,san'xiong
三玄,san'xuan
三学,san'xue
三言,san'yan
三一,san'yi
三语椽,san'yu'chuan
三元,san'yuan
三正,san'zheng
三知三行,san'zhi'san'hang
三支作法,san'zhi'zuo'fa
三自性,san'zi'xing
桑弘羊,sang'hong'yang
桑户,sang'hu
色法,se'fa
色即是空,se'ji'shi'kong
色空,se'kong
色诺芬,se'nuo'fen
色诺芬尼,se'nuo'fen'ni
僧朗,seng'lang
僧诠,seng'quan
僧叡,seng'rui
僧祐,seng'you
僧肇,seng'zhao
杀盗非杀人,sha'dao'fei'sha'ren
沙夫,sha'fu
杀身成仁,sha'shen'cheng'ren
山出口,shan'chu'kou
善导,shan'dao
善动化物,shan'dong'hua'wu
善端,shan'duan
善恶,shan'e
山巨源,shan'ju'yuan
山涛,shan'tao
善无畏,shan'wu'wei
山与泽平,shan'yu'ze'ping
上层建筑,shang'ceng'jian'zhu
上德,shang'de
上帝,shang'di
商君,shang'jun
尚情无我,shang'qing'wu'wo
尚同,shang'tong
尚贤,shang'xian
商鞅,shang'yang
尚志,shang'zhi
上智下愚,shang'zhi'xia'yu
邵伯温,shao'bo'wen
邵康节,shao'kang'jie
少私寡欲,shao'si'gua'yu
邵雍,shao'yong
少正卯,shao'zheng'mao
社会革命,she'hui'ge'ming
社会函变说,she'hui'han'bian'shuo
社会互助论,she'hui'hu'zhu'lun
社会环境,she'hui'huan'jing
社会生活,she'hui'sheng'huo
社会物质生活条件,she'hui'wu'zhi'sheng'huo'tiao'jian
社会心理,she'hui'xin'li
社会形态,she'hui'xing'tai
社会意识形式,she'hui'yi'shi'xing'shi
社稷无常奉,she'ji'wu'chang'feng
舍生取义,she'sheng'qu'yi
舍英雄无历史,she'ying'xiong'wu'li'shi
摄用归体,she'yong'gui'ti
设准,she'zhun
申不害,shen'bu'hai
深察名号,shen'cha'ming'hao
慎到,shen'dao
神道设教,shen'dao'she'jiao
慎独,shen'du
神而先知,shen'er'xian'zhi
深谷为陵,shen'gu'wei'ling
沈国模,shen'guo'mo
申韩,shen'han
神化,shen'hua
沈焕,shen'huan
神会,shen'hui
沈括,shen'kuo
神秘主义,shen'mi'zhu'yi
神秘主义色彩,shen'mi'zhu'yi'se'cai
神妙万物,shen'miao'wan'wu
神明,shen'ming
审名察形,shen'ming'cha'xing
审名定分,shen'ming'ding'fen
神明照物,shen'ming'zhao'wu
神器,shen'qi
神气,shen'qi
神人,shen'ren
沈善登,shen'shan'deng
审时,shen'shi
神识,shen'shi
慎思,shen'si
神似,shen'si
神思,shen'si
身外之物,shen'wai'zhi'wu
神悟,shen'wu
神无方易无体,shen'wu'fang'yi'wu'ti
神嚣,shen'xiao
神秀,shen'xiu
神须形以存,shen'xu'xing'yi'cun
神学思考,shen'xue'si'kao
沈有鼎,shen'you'ding
神与物游,shen'yu'wu'you
沈约,shen'yue
神韵说,shen'yun'shuo
神者生之本,shen'zhe'sheng'zhi'ben
沈志远,shen'zhi'yuan
慎子,shen'zi
申子,shen'zi
生产方式,sheng'chan'fang'shi
生产关系,sheng'chan'guan'xi
生产力,sheng'chan'li
生产实践,sheng'chan'shi'jian
生而知之,sheng'er'zhi'zhi
生非创有,sheng'fei'chuang'you
生化,sheng'hua
生活领域,sheng'huo'ling'yu
生活态度,sheng'huo'tai'du
胜能,sheng'neng
圣人不死,sheng'ren'bu'si
圣人创制立法,sheng'ren'chuang'zhi'li'fa
圣人体无,sheng'ren'ti'wu
圣人无情,sheng'ren'wu'qing
圣人有情无累,sheng'ren'you'qing'wu'lei
圣人有情与无情,sheng'ren'you'qing'yu'wu'qing
圣人之辩,sheng'ren'zhi'bian
生人之意,sheng'ren'zhi'yi
生生,sheng'sheng
生死轮回,sheng'si'lun'hui
声无哀乐,sheng'wu'ai'yue
生物之本,sheng'wu'zhi'ben
生物之具,sheng'wu'zhi'ju
圣西门,sheng'xi'men
圣贤,sheng'xian
生有涯而知无涯,sheng'you'ya'er'zhi'wu'ya
剩余价值,sheng'yu'jia'zhi
生元,sheng'yuan
生元有知论,sheng'yuan'you'zhi'lun
生知,sheng'zhi
史囂,shi'ao
事本禁末,shi'ben'jin'mo
世必有革,shi'bi'you'ge
史伯,shi'bo
时不可力,shi'bu'ke'li
实叉难陀,shi'cha'nan'tuo
实诚,shi'cheng
师承关系,shi'cheng'guan'xi
施雠,shi'chou
石徂徕,shi'cu'lai
施存统,shi'cun'tong
释道十害,shi'dao'shi'hai
十地,shi'di
施蒂纳,shi'di'na
是而不然,shi'er'bu'ran
是而然,shi'er'ran
十二因缘,shi'er'yin'yuan
是非莫辩,shi'fei'mo'bian
是非无定质,shi'fei'wu'ding'zhi
是非之虑,shi'fei'zhi'lv
是非之心,shi'fei'zhi'xin
事各顺于名,shi'ge'shun'yu'ming
始基,shi'ji
实际,shi'ji
世间,shi'jian
实践的科学,shi'jian'de'ke'xue
施肩吾,shi'jian'wu
实践性,shi'jian'xing
尸佼,shi'jiao
十戒,shi'jie
尸解,shi'jie
石介,shi'jie
世界本原,shi'jie'ben'yuan
世界进化三时期,shi'jie'jin'hua'san'shi'qi
世界图式,shi'jie'tu'shi
世界万物,shi'jie'wan'wu
世界物质,shi'jie'wu'zhi
始觉,shi'jue
石峻,shi'jun
士君子之辩,shi'jun'zi'zhi'bian
实历,shi'li
十六字心传,shi'liu'zi'xin'chuan
实论,shi'lun
史墨,shi'mo
适偶之数,shi'ou'zhi'shu
适偶自然,shi'ou'zi'ran
势荣,shi'rong
势辱,shi'ru
十如是,shi'ru'shi
十三虚无,shi'san'xu'wu
实事,shi'shi
实事难形,shi'shi'nan'xing
实事实功,shi'shi'shi'gong
事事无碍,shi'shi'wu'ai
世硕,shi'shuo
世俗艺术,shi'su'yi'shu
释太虚,shi'tai'xu
石涛,shi'tao
施特劳斯,shi'te'lao'si
实体,shi'ti
实体即本心,shi'ti'ji'ben'xin
施为,shi'wei
师物,shi'wu
实相,shi'xiang
师心,shi'xin
师心自用,shi'xin'zi'yong
十玄门,shi'xuan'men
十玄缘起,shi'xuan'yuan'qi
诗学,shi'xue
实验的方法,shi'yan'de'fang'fa
诗言志,shi'yan'zhi
十义,shi'yi
世异则事异,shi'yi'ze'shi'yi
师夷之长技以制夷,shi'yi'zhi'chang'ji'yi'zhi'yi
势用,shi'yong
实有,shi'you
事有常变,shi'you'chang'bian
实在,shi'zai
实在界,shi'zai'jie
识知,shi'zhi
适志,shi'zhi
实知,shi'zhi
时中,shi'zhong
尸子,shi'zi
守度,shou'du
收拾精神,shou'shi'jing'shen
收心离境,shou'xin'li'jing
兽性主义,shou'xing'zhu'yi
守一,shou'yi
守一存真,shou'yi'cun'zhen
数存势生,shu'cun'shi'sheng
殊类,shu'lei
舒璘,shu'lin
殊气相革,shu'qi'xiang'ge
舒适环境,shu'shi'huan'jing
数术,shu'shu
术数,shu'shu
叔孙通,shu'sun'tong
数息观,shu'xi'guan
叔兴,shu'xing
书意,shu'yi
率性,shuai'xing
双方并重之旨,shuang'fang'bing'zhong'zhi'zhi
水火,shui'huo
水则覆舟,shui'ze'fu'zhou
水则载舟,shui'ze'zai'zhou
说明自然,shuo'ming'zi'ran
说知,shuo'zhi
四宾主,si'bin'zhu
思诚,si'cheng
四大,si'da
斯大林,si'da'lin
四大学派,si'da'xue'pai
四德,si'de
私德,si'de
四谛,si'di
四度,si'du
四端,si'duan
斯多噶学派,si'duo'ga'xue'pai
斯多葛主义,si'duo'ge'zhu'yi
斯多亚派,si'duo'ya'pai
斯多亚学派,si'duo'ya'xue'pai
思而不学则殆,si'er'bu'xue'ze'dai
四法界,si'fa'jie
死非消灭,si'fei'xiao'mie
四分,si'fen
四界,si'jie
四句教,si'ju'jiao
司空图,si'kong'tu
四料简,si'liao'jian
司马彪,si'ma'biao
司马承祯,si'ma'cheng'zhen
司马光,si'ma'guang
司马迁,si'ma'qian
司马谈,si'ma'tan
俟命,si'ming
私名,si'ming
死生无命,si'sheng'wu'ming
死生有命,si'sheng'you'ming
四通,si'tong
四维,si'wei
思维方式,si'wei'fang'shi
思维能力,si'wei'neng'li
四毋,si'wu
四无说,si'wu'shuo
思无邪,si'wu'xie
四象,si'xiang
思想斗争,si'xiang'dou'zheng
思想者事实之母,si'xiang'zhe'shi'shi'zhi'mu
思想政治,si'xiang'zheng'zhi
四心,si'xin
思修交尽,si'xiu'jiao'jin
私有制,si'you'zhi
四照用,si'zhao'yong
宋钘,song'jian
宋荣,song'rong
宋荣子,song'rong'zi
宋翔凤,song'xiang'feng
宋应星,song'ying'xing
搜集材料,sou'ji'cai'liao
俗谛,su'di
苏东坡,su'dong'po
苏格拉底,su'ge'la'di
苏格拉底时期,su'ge'la'di'shi'qi
苏秦,su'qin
苏轼,su'shi
苏洵,su'xun
苏舆,su'yu
苏辙,su'zhe
随处体认天理,sui'chu'ti'ren'tian'li
随泯统,sui'min'tong
孙膑,sun'bin
孙不二,sun'bu'er
孙绰,sun'chuo
孙复,sun'fu
损迹返一,sun'ji'fan'yi
损减执,sun'jian'zhi
孙奇逢,sun'qi'feng
孙卿,sun'qing
孙盛,sun'sheng
孙叔平,sun'shu'ping
孙文,sun'wen
孙武,sun'wu
孙夏峰,sun'xia'feng
孙星衍,sun'xing'yan
损益,sun'yi
孙诒让,sun'yi'rang
孙逸仙,sun'yi'xian
损有余而补不足,sun'you'yu'er'bu'bu'zu
孙中山,sun'zhong'shan
孙子,sun'zi
所谓,suo'wei
所为有名,suo'wei'you'ming
所以发能,suo'yi'fa'neng
所以迹,suo'yi'ji
所以立天地者水也,suo'yi'li'tian'di'zhe'shui'ye
所以然,suo'yi'ran
所以谓,suo'yi'wei
所以知,suo'yi'zhi
所有制,suo'you'zhi
所缘以同异,suo'yuan'yi'tong'yi
所知,suo'zhi
泰阿泰德篇,tai'a'tai'de'pian
太冲,tai'chong
太初,tai'chu
太和,tai'he
太极,tai'ji
泰勒斯,tai'le'si
太始,tai'shi
太史儋,tai'shi'dan
太素,tai'su
胎息,tai'xi
太虚,tai'xu
太虚本动,tai'xu'ben'dong
太虚即气,tai'xu'ji'qi
太虚一实,tai'xu'yi'shi
太一,tai'yi
太易,tai'yi
谭处端,tan'chu'duan
谭戒甫,tan'jie'fu
谭峭,tan'qiao
谭嗣同,tan'si'tong
澹台灭明,tan'tai'mie'ming
谈天衍,tan'tian'yan
谈玄,tan'xuan
探颐索隐,tan'yi'suo'yin
汤斌,tang'bin
唐才常,tang'cai'chang
唐鹤征,tang'he'zheng
唐鉴,tang'jian
唐君毅,tang'jun'yi
唐僧,tang'seng
汤一介,tang'yi'jie
汤用彤,tang'yong'tong
唐甄,tang'zhen
唐仲友,tang'zhong'you
陶弘景,tao'hong'jing
陶潜,tao'qian
陶斯,tao'si
陶望龄,tao'wang'ling
陶希圣,tao'xi'sheng
陶行知,tao'xing'zhi
陶渊明,tao'yuan'ming
特殊功能,te'shu'gong'neng
特殊现量,te'shu'xian'liang
体常静,ti'chang'jing
体冲和以通元,ti'chong'he'yi'tong'yuan
体见,ti'jian
体认,ti'ren
体同,ti'tong
体性,ti'xing
体用,ti'yong
体用不二,ti'yong'bu'er
体用殊绝,ti'yong'shu'jue
体用胥有,ti'yong'xu'you
田巴,tian'ba
天必从之,tian'bi'cong'zhi
天不变道亦不变,tian'bu'bian'dao'yi'bu'bian
天常,tian'chang
天聪,tian'cong
天当,tian'dang
天道,tian'dao
天道环周,tian'dao'huan'zhou
天道尚变,tian'dao'shang'bian
天道为末,tian'dao'wei'mo
天道无亲,tian'dao'wu'qin
天道自然论,tian'dao'zi'ran'lun
天道自然无为,tian'dao'zi'ran'wu'wei
天德,tian'de
天德良知,tian'de'liang'zhi
天地皆体,tian'di'jie'ti
天地万物自然一体,tian'di'wan'wu'zi'ran'yi'ti
天地我立,tian'di'wo'li
天地一体也,tian'di'yi'ti'ye
天地一指,tian'di'yi'zhi
天地与我并生,tian'di'yu'wo'bing'sheng
天地之数,tian'di'zhi'shu
天地之性,tian'di'zhi'xing
天地之性人为贵,tian'di'zhi'xing'ren'wei'gui
天放,tian'fang
天府,tian'fu
天功,tian'gong
天官,tian'guan
天官意物,tian'guan'yi'wu
田何,tian'he
天极,tian'ji
天稽环周,tian'ji'huan'zhou
天经地义,tian'jing'di'yi
田鸠,tian'jiu
天爵,tian'jue
天钧,tian'jun
天君,tian'jun
天均,tian'jun
天籁自呜,tian'lai'zi'wu
天乐,tian'le
天理,tian'li
天理自然,tian'li'zi'ran
天门,tian'men
天命,tian'ming
天明,tian'ming
天命靡常,tian'ming'mi'chang
天命之性,tian'ming'zhi'xing
天能,tian'neng
天倪,tian'ni
田骈,tian'pian
天情,tian'qing
田俅子,tian'qiu'zi
天趣,tian'qu
天泉证道,tian'quan'zheng'dao
天人,tian'ren
天人不相胜,tian'ren'bu'xiang'sheng
天人不相预,tian'ren'bu'xiang'yu
天人感应,tian'ren'gan'ying
天人合一,tian'ren'he'yi
天人三策,tian'ren'san'ce
天人同类,tian'ren'tong'lei
天人相参,tian'ren'xiang'can
天人相与之际,tian'ren'xiang'yu'zhi'ji
天人一理,tian'ren'yi'li
天人之辨,tian'ren'zhi'bian
天人之分,tian'ren'zhi'fen
天生人成,tian'sheng'ren'cheng
天生之智,tian'sheng'zhi'zhi
天属,tian'shu
天体非气,tian'ti'fei'qi
天网,tian'wang
天文,tian'wen
天下为公,tian'xia'wei'gong
天下惟器,tian'xia'wei'qi
田襄子,tian'xiang'zi
天行,tian'xing
天刑,tian'xing
天行有常,tian'xing'you'chang
天性之知,tian'xing'zhi'zhi
天演,tian'yan
天养,tian'yang
天意,tian'yi
天有常道,tian'you'chang'dao
天与地卑,tian'yu'di'bei
天与人交相胜还相用,tian'yu'ren'jiao'xiang'sheng'hai'xiang'yong
天元,tian'yuan
天政,tian'zheng
天职,tian'zhi
天志,tian'zhi
天智,tian'zhi
田仲,tian'zhong
条理,tiao'li
听其言而观其行,ting'qi'yan'er'guan'qi'xing
通达,tong'da
统待,tong'dai
同而不和,tong'er'bu'he
同归殊途,tong'gui'shu'tu
通过直觉,tong'guo'zhi'jue
通几,tong'ji
通经致用,tong'jing'zhi'yong
同类相动,tong'lei'xiang'dong
同气相应,tong'qi'xiang'ying
通天教主,tong'tian'jiao'zhu
同天人,tong'tian'ren
童心说,tong'xin'shuo
痛痒之知,tong'yang'zhi'zhi
同异,tong'yi
同异交得,tong'yi'jiao'de
同一性,tong'yi'xing
同则不继,tong'ze'bu'ji
同则同之,tong'ze'tong'zhi
突驾,tu'jia
吐纳,tu'na
图难于易,tu'nan'yu'yi
涂之人可以为禹,tu'zhi'ren'ke'yi'wei'yu
推故致新,tui'gu'zhi'xin
推论,tui'lun
推知,tui'zhi
托古改制,tuo'gu'gai'zhi
瓦斯一大块,wa'si'yi'da'kuai
外部环境,wai'bu'huan'jing
外丹,wai'dan
外化而内不化,wai'hua'er'nei'bu'hua
外界事物,wai'jie'shi'wu
外界条理,wai'jie'tiao'li
外来词,wai'lai'ci
外生,wai'sheng
外籀,wai'zhou
万法唯识,wan'fa'wei'shi
万化皆渐而无顿,wan'hua'jie'jian'er'wu'dun
万化我出,wan'hua'wo'chu
玩世不恭,wan'shi'bu'gong
万物皆备于我,wan'wu'jie'bei'yu'wo
万物一马,wan'wu'yi'ma
万物一齐,wan'wu'yi'qi
万物与我为一,wan'wu'yu'wo'wei'yi
万物之数括于三,wan'wu'zhi'shu'kuo'yu'san
万章,wan'zhang
王安石,wang'an'shi
王霸并用,wang'ba'bing'yong
王柏,wang'bai
王弼,wang'bi
王充,wang'chong
王重阳,wang'chong'yang
王处一,wang'chu'yi
王船山,wang'chuan'shan
王道,wang'dao
王导,wang'dao
汪奠基,wang'dian'ji
王栋,wang'dong
王浮,wang'fu
王符,wang'fu
王辅嗣,wang'fu'si
王夫之,wang'fu'zhi
王艮,wang'gen
王国维,wang'guo'wei
王畿,wang'ji
王荆公,wang'jing'gong
王临川,wang'lin'chuan
王门四句教,wang'men'si'ju'jiao
王门四句诀,wang'men'si'ju'jue
王明,wang'ming
王雱,wang'pang
王清任,wang'qing'ren
王戎,wang'rong
汪容甫,wang'rong'fu
王若水,wang'ruo'shui
王士元,wang'shi'yuan
王守仁,wang'shou'ren
王肃,wang'su
王韬,wang'tao
王廷相,wang'ting'xiang
王通,wang'tong
王文公,wang'wen'gong
王宪钧,wang'xian'jun
王先谦,wang'xian'qian
王心斋,wang'xin'zhai
王星拱,wang'xing'gong
王玄览,wang'xuan'lan
王衍,wang'yan
王阳明,wang'yang'ming
汪应辰,wang'ying'chen
王应麟,wang'ying'lin
王源,wang'yuan
罔直蒙酋冥,wang'zhi'meng'qiu'ming
汪中,wang'zhong
汪子嵩,wang'zi'song
魏伯阳,wei'bo'yang
为大于细,wei'da'yu'xi
为道日损,wei'dao'ri'sun
未发,wei'fa
卫国者,wei'guo'zhe
魏华存,wei'hua'cun
未济,wei'ji
卫玠,wei'jie
魏了翁,wei'le'weng
唯理论,wei'li'lun
惟理为实,wei'li'wei'shi
魏良弼,wei'liang'bi
尉缭子,wei'liao'zi
微明,wei'ming
唯名论,wei'ming'lun
魏默深,wei'mo'shen
魏牟,wei'mou
为仁由己,wei'ren'you'ji
为人者天,wei'ren'zhe'tian
唯上智与下愚不移,wei'shang'zhi'yu'xia'yu'bu'yi
微生灭,wei'sheng'mie
唯实论,wei'shi'lun
唯识无境,wei'shi'wu'jing
唯识五位,wei'shi'wu'wei
纬书,wei'shu
魏特林,wei'te'lin
危微精一,wei'wei'jing'yi
为我,wei'wo
唯我独尊,wei'wo'du'zun
唯物辩证法,wei'wu'bian'zheng'fa
唯物辩证法论战,wei'wu'bian'zheng'fa'lun'zhan
唯物史观,wei'wu'shi'guan
唯物主义,wei'wu'zhu'yi
唯物主义世界观,wei'wu'zhu'yi'shi'jie'guan
唯物主义哲学家,wei'wu'zhu'yi'zhe'xue'jia
微显阐幽,wei'xian'chan'you
韦弦之喻,wei'xian'zhi'yu
维新,wei'xin
唯心辩证法,wei'xin'bian'zheng'fa
唯心史观,wei'xin'shi'guan
唯心主义,wei'xin'zhu'yi
唯心主义倾向,wei'xin'zhu'yi'qing'xiang
唯心主义者,wei'xin'zhu'yi'zhe
唯心主义哲学,wei'xin'zhu'yi'zhe'xue
为学日益,wei'xue'ri'yi
微言大义,wei'yan'da'yi
卫鞅,wei'yang
惟以五路知,wei'yi'wu'lu'zhi
唯一心是实,wei'yi'xin'shi'shi
唯一者,wei'yi'zhe
魏源,wei'yuan
文便是道,wen'bian'shi'dao
问答方法,wen'da'fang'fa
温公颐,wen'gong'yi
温故知新,wen'gu'zhi'xin
文化生活,wen'hua'sheng'huo
文化政治学,wen'hua'zheng'zhi'xue
闻见之知,wen'jian'zhi'zhi
温良恭俭让,wen'liang'gong'jian'rang
文乱法,wen'luan'fa
文明,wen'ming
文气说,wen'qi'shuo
温柔敦厚,wen'rou'dun'hou
问题与主义论战,wen'ti'yu'zhu'yi'lun'zhan
文天祥,wen'tian'xiang
文武并行,wen'wu'bing'xing
文武之道一也,wen'wu'zhi'dao'yi'ye
文偃,wen'yan
文益,wen'yi
文艺复兴,wen'yi'fu'xing
闻知,wen'zhi
文质,wen'zhi
文质彬彬,wen'zhi'bin'bin
文质交替,wen'zhi'jiao'ti
握固,wo'gu
我慢心,wo'man'xin
握一知多,wo'yi'zhi'duo
我执,wo'zhi
我知天下之中央,wo'zhi'tian'xia'zhi'zhong'yang
无跋尚,wu'ba'shang
五百年必有王者兴,wu'bai'nian'bi'you'wang'zhe'xing
物必有合,wu'bi'you'he
物不迁,wu'bu'qian
五材,wu'cai
无产阶级专政,wu'chan'jie'ji'zhuan'zheng
五常,wu'chang
无常,wu'chang
吴澄,wu'cheng
无待,wu'dai
五德,wu'de
五德终始,wu'de'zhong'shi
五德转移,wu'de'zhuan'yi
无独必有对,wu'du'bi'you'dui
无对,wu'dui
无对待在对待中,wu'dui'dai'zai'dui'dai'zhong
物各自生,wu'ge'zi'sheng
无故从有故,wu'gu'cong'you'gu
五鬼闹中华,wu'gui'nao'zhong'hua
无何有之乡,wu'he'you'zhi'xiang
无厚不可积也,wu'hou'bu'ke'ji'ye
物化,wu'hua
无会运世,wu'hui'yun'shi
无迹,wu'ji
无己,wu'ji
无极,wu'ji
物极必反,wu'ji'bi'fan
无极而太极,wu'ji'er'tai'ji
五戒,wu'jie
无尽缘起,wu'jin'yuan'qi
物竞天择,wu'jing'tian'ze
伍举论美,wu'ju'lun'mei
吴筠,wu'jun
物理可知,wu'li'ke'zhi
吴亮平,wu'liang'ping
无量世,wu'liang'shi
无漏,wu'lou
五路,wu'lu
五伦,wu'lun
无名,wu'ming
无明,wu'ming
物莫非指,wu'mo'fei'zhi
五逆,wu'ni
无念,wu'nian
无念为宗,wu'nian'wei'zong
无平不陂,wu'ping'bu'bei
吴起,wu'qi
五其比,wu'qi'bi
无其器则无其道,wu'qi'qi'ze'wu'qi'dao
物气之理,wu'qi'zhi'li
无情,wu'qing
无情有性,wu'qing'you'xing
无穷,wu'qiong
无染,wu'ran
吾日三省吾身,wu'ri'san'xing'wu'shen
无神教,wu'shen'jiao
无生,wu'sheng
物生有两,wu'sheng'you'liang
五事,wu'shi
五时七候,wu'shi'qi'hou
勿施于人,wu'shi'yu'ren
五殊二实,wu'shu'er'shi
五四新文化运动,wu'si'xin'wen'hua'yun'dong
无私则无心,wu'si'ze'wu'xin
吴廷翰,wu'ting'han
乌托邦,wu'tuo'bang
无往不复,wu'wang'bu'fu
无为,wu'wei
五位百法,wu'wei'bai'fa
无为而无不为,wu'wei'er'wu'bu'wei
无为而治,wu'wei'er'zhi
无为法,wu'wei'fa
五位君臣,wu'wei'jun'chen
无我,wu'wo
无我之境,wu'wo'zhi'jing
五无,wu'wu
无无,wu'wu
物无孤立之理,wu'wu'gu'li'zhi'li
物物者非物,wu'wu'zhe'fei'wu
无限性,wu'xian'xing
无心,wu'xin
吾心即是宇宙,wu'xin'ji'shi'yu'zhou
无心与顺有,wu'xin'yu'shun'you
五行,wu'xing
五性,wu'xing
五行无常胜,wu'xing'wu'chang'sheng
五行毋常胜,wu'xing'wu'chang'sheng
五行相胜,wu'xing'xiang'sheng
五行相生,wu'xing'xiang'sheng
毋须担心,wu'xu'dan'xin
无言无意之域,wu'yan'wu'yi'zhi'yu
务义,wu'yi
毋意,wu'yi
无以人灭天,wu'yi'ren'mie'tian
无以小害大,wu'yi'xiao'hai'da
无因论,wu'yin'lun
物因意果,wu'yin'yi'guo
无用之用,wu'yong'zhi'yong
无有,wu'you
吴虞,wu'yu
无欲,wu'yu
吴与弼,wu'yu'bi
吴樾,wu'yue
五蕴,wu'yun
物则不通,wu'ze'bu'tong
五贼,wu'zei
无政府主义论战,wu'zheng'fu'zhu'yi'lun'zhan
物质,wu'zhi
物指,wu'zhi
无质独影,wu'zhi'du'ying
吴稚晖,wu'zhi'hui
物质进化时期,wu'zhi'jin'hua'shi'qi
物质论,wu'zhi'lun
物质性,wu'zhi'xing
物至则应,wu'zhi'ze'ying
五支作法,wu'zhi'zuo'fa
物种进化之时期,wu'zhong'jin'hua'zhi'shi'qi
物种竞争原则,wu'zhong'jing'zheng'yuan'ze
五重唯识观,wu'zhong'wei'shi'guan
无住,wu'zhu
无足轻重,wu'zu'qing'zhong
袭常,xi'chang
习常,xi'chang
郗超,xi'chao
系辞尽言,xi'ci'jin'yan
习动,xi'dong
西方人,xi'fang'ren
西方文化,xi'fang'wen'hua
西方哲学,xi'fang'zhe'xue
西方政治思想,xi'fang'zheng'zhi'si'xiang
西方政治学,xi'fang'zheng'zhi'xue
西方中世纪,xi'fang'zhong'shi'ji
羲和,xi'he
希腊本土,xi'la'ben'tu
希腊城邦时代,xi'la'cheng'bang'shi'dai
希腊城邦制度,xi'la'cheng'bang'zhi'du
希腊化时代,xi'la'hua'shi'dai
希腊文,xi'la'wen
希腊语,xi'la'yu
希腊哲学,xi'la'zhe'xue
希腊哲学家,xi'la'zhe'xue'jia
昔兰尼学派,xi'lan'ni'xue'pai
西门豹,xi'men'bao
袭明,xi'ming
锡诺普,xi'nuo'pu
翕辟,xi'pi
翕辟成变,xi'pi'cheng'bian
希迁,xi'qian
西塞罗,xi'sai'luo
吸摄力,xi'she'li
西天,xi'tian
习相远,xi'xiang'yuan
习心,xi'xin
洗心,xi'xin
习行,xi'xing
西学其末,xi'xue'qi'mo
希运,xi'yun
下德,xia'de
夏侯建,xia'hou'jian
夏侯胜,xia'hou'sheng
夏侯玄,xia'hou'xuan
下学上达,xia'xue'shang'da
现代科学,xian'dai'ke'xue
现代哲学,xian'dai'zhe'xue
宪法国家,xian'fa'guo'jia
现量,xian'liang
纤秾,xian'nong
现实性,xian'shi'xing
见素抱朴,xian'su'bao'pu
先天学,xian'tian'xue
先王之道,xian'wang'zhi'dao
显微阐幽,xian'wei'chan'you
现象世界,xian'xiang'shi'jie
现行,xian'xing
先验论,xian'yan'lun
宪章文武,xian'zhang'wen'wu
先质后文,xian'zhi'hou'wen
先知先觉,xian'zhi'xian'jue
相待,xiang'dai
相对,xiang'dui
相对民主,xiang'dui'min'zhu
相对真理,xiang'dui'zhen'li
相对主义,xiang'dui'zhu'yi
相反而不可以相无,xiang'fan'er'bu'ke'yi'xiang'wu
相反相成,xiang'fan'xiang'cheng
相反相济,xiang'fan'xiang'ji
相反相因,xiang'fan'xiang'yin
相非,xiang'fei
相分,xiang'fen
相夫氏,xiang'fu'shi
向郭逍遥义,xiang'guo'xiao'yao'yi
相火,xiang'huo
相即,xiang'ji
相济,xiang'ji
相捄相胜而相成,xiang'jiu'xiang'sheng'er'xiang'cheng
相里勤,xiang'li'qin
相里氏,xiang'li'shi
乡陵氏,xiang'ling'shi
相入,xiang'ru
相生养之道,xiang'sheng'yang'zhi'dao
象数,xiang'shu
相天,xiang'tian
象外,xiang'wai
象外无道,xiang'wai'wu'dao
象外之象,xiang'wai'zhi'xiang
相为,xiang'wei
向秀,xiang'xiu
相续,xiang'xu
飨宴篇,xiang'yan'pian
相因,xiang'yin
相因之功,xiang'yin'zhi'gong
相与,xiang'yu
乡愿,xiang'yuan
向子期,xiang'zi'qi
萧抱珍,xiao'bao'zhen
小辩,xiao'bian
小变而不失大常,xiao'bian'er'bu'shi'da'chang
萧琛,xiao'chen
萧楚女,xiao'chu'nv
孝慈则忠,xiao'ci'ze'zhong
孝弟,xiao'di
小故,xiao'gu
小国寡民,xiao'guo'gua'min
小康,xiao'kang
肖前,xiao'qian
小人喻于利,xiao'ren'yu'yu'li
小人之辩,xiao'ren'zhi'bian
小三世,xiao'san'shi
萧萐父,xiao'sha'fu
小苏格拉底学派,xiao'su'ge'la'di'xue'pai
孝悌,xiao'ti
小体,xiao'ti
孝悌忠信,xiao'ti'zhong'xin
肖统,xiao'tong
小同异,xiao'tong'yi
消息,xiao'xi
小亚细亚,xiao'ya'xi'ya
萧衍,xiao'yan
效验,xiao'yan
逍遥,xiao'yao
逍遥学派,xiao'yao'xue'pai
小一,xiao'yi
萧子良,xiao'zi'liang
谢赫,xie'he
絜矩之道,xie'ju'zhi'dao
谢鲲,xie'kun
谢良佐,xie'liang'zuo
