阿卡邦,a'ka'bang
渔人码头,yu'ren'ma'tou
于少帅,yu'shao'shuai
渝味堂,yu'wei'tang
于昕,yu'xin
院格庄,yuan'ge'zhuang
元盛,yuan'sheng
悦本色,yue'ben'shai
悦港,yue'gang
月季花节,yue'ji'hua'jie
越上火,yue'shang'huo
云峰山,yun'feng'shan
云海香都,yun'hai'xiang'dou
在百盛,zai'bai'sheng
再别离我哈,zai'bie'li'wo'ha
在博商,zai'bo'shang
在长岛,zai'chang'dao
在打扑克,zai'da'pu'ke
在道上,zai'dao'shang
在德胜,zai'de'sheng
在东村,zai'dong'cun
在东岳,zai'dong'yue
在二百,zai'er'bai
在福山,zai'fu'shan
在高职,zai'gao'zhi
在给补点货,zai'gei'bu'dian'huo
在海阳,zai'hai'yang
在华昕,zai'hua'xin
在黄务,zai'huang'wu
在黄县,zai'huang'xian
在家干么,zai'jia'gan'me
在家干什么,zai'jia'gan'shen'me
在家家悦,zai'jia'jia'yue
在佳世客,zai'jia'shi'ke
在开发区,zai'kai'fa'qu
在炕上,zai'kang'shang
在莱山,zai'lai'shan
在莱阳,zai'lai'yang
在莱州,zai'lai'zhou
在利群,zai'li'qun
在龙口,zai'long'kou
再没去,zai'mei'qu
在牟平,zai'mu'ping
在南山,zai'nan'shan
在嫩家,zai'nen'jia
在蓬莱,zai'peng'lai
在栖霞,zai'qi'xia
在三站,zai'san'zhan
在沙河,zai'sha'he
在桃村,zai'tao'cun
在幸福,zai'xing'fu
在烟大,zai'yan'da
在烟台,zai'yan'tai
在烟台啊,zai'yan'tai'a
在烟台的,zai'yan'tai'de
在烟台吗,zai'yan'tai'ma
在烟台那,zai'yan'tai'na
在烟台呢,zai'yan'tai'ne
再以后,zai'yi'hou
在招远,zai'zhao'yuan
在芝罘区,zai'zhi'fu'qu
咱不知道,zan'bu'zhi'dao
臧家,zang'jia
臧家庄,zang'jia'zhuang
遭老罪,zao'lao'zui
遭老罪了,zao'lao'zui'le
燥死我了,zao'si'wo'le
早早回来,zao'zao'hui'lai
早早回去,zao'zao'hui'qu
早早睡吧,zao'zao'shui'ba
早早睡觉吧,zao'zao'shui'jiao'ba
早早休息吧,zao'zao'xiu'xi'ba
早早走,zao'zao'zou
遭罪啊,zao'zui'a
遭罪的,zao'zui'de
遭罪了,zao'zui'le
遭罪呀,zao'zui'ya
怎个了,zen'ge'le
怎么个事,zen'me'ge'shi
怎么还得,zen'me'huan'de
增收科普,zeng'shou'ke'pu
增收网,zeng'shou'wang
炸里脊,zha'li'ji
摘袋,zhai'dai
摘苹果,zhai'ping'guo
栈桥,zhan'qiao
张包包,zhang'bao'bao
张格庄,zhang'ge'zhuang
张家沟,zhang'jia'gou
张星镇,zhang'xing'zhen
丈爷,zhang'ye
张裕,zhang'yu
张郑,zhang'zheng
招虎山,zhao'hu'shan
招金,zhao'jin
招金银楼,zhao'jin'yin'lou
照旺庄,zhao'wang'zhuang
找小伙,zhao'xiao'huo
招远,zhao'yuan
招远吧,zhao'yuan'ba
招远的,zhao'yuan'de
招远了,zhao'yuan'le
招远人,zhao'yuan'ren
招远市,zhao'yuan'shi
招远一中,zhao'yuan'yi'zhong
这个周,zhe'ge'zhou
这么样吧,zhe'me'yang'ba
这三四,zhe'san'si
这样事,zhe'yang'shi
这样天,zhe'yang'tian
这一个周,zhe'yi'ge'zhou
真败,zhen'bai
真败了,zhen'bai'le
真彪,zhen'biao
真不爱,zhen'bu'ai
真不爱去,zhen'bu'ai'qu
真草鸡,zhen'cao'ji
真草鸡了,zhen'cao'ji'le
真草了,zhen'cao'le
真痴,zhen'chi
真愁了,zhen'chou'le
真凑了,zhen'cou'le
真待人亲,zhen'dai'ren'qin
真滴不,zhen'di'bu
真风凉,zhen'feng'liang
真够人,zhen'gou'ren
真怪了,zhen'guai'le
真害了,zhen'hai'le
真好哈,zhen'hao'ha
真好来,zhen'hao'lai
真好事,zhen'hao'shi
振华,zhen'hua
振华的,zhen'hua'de
振华购物中心,zhen'hua'gou'wu'zhong'xin
振华广场,zhen'hua'guang'chang
振华国际,zhen'hua'guo'ji
振华卡,zhen'hua'ka
振华量贩,zhen'hua'liang'fan
振华商厦,zhen'hua'shang'sha
真叫你,zhen'jiao'ni
真叫他,zhen'jiao'ta
真看出,zhen'kan'chu
针康,zhen'kang
真没数,zhen'mei'shu
蓁山,zhen'shan
蓁山花园,zhen'shan'hua'yuan
真上火,zhen'shang'huo
真上火了,zhen'shang'huo'le
真伤了,zhen'shang'le
真熊了,zhen'xiong'le
真要命了,zhen'yao'ming'le
真有乐,zhen'you'le
真优美,zhen'you'mei
真有数,zhen'you'shu
真有意思了,zhen'you'yi'si'le
真郁闷了,zhen'yu'men'le
真晕,zhen'yun
真晕了,zhen'yun'le
真晕死了,zhen'yun'si'le
真遭罪,zhen'zao'zui
正八,zheng'ba
正八景,zheng'ba'jing
正八经的,zheng'ba'jing'de
正八零,zheng'ba'ling
正八零的,zheng'ba'ling'de
政府大街,zheng'fu'da'jie
挣了八景,zheng'le'ba'jing
整理八景,zheng'li'ba'jing
只楚,zhi'chu
只楚路,zhi'chu'lu
芝罘,zhi'fu
芝罘岛,zhi'fu'dao
致富加盟,zhi'fu'jia'meng
芝罘区,zhi'fu'qu
芝罘区的,zhi'fu'qu'de
芝罘屯,zhi'fu'tun
芝罘医院,zhi'fu'yi'yuan
知了猴,zhi'liao'hou
支农里,zhi'nong'li
芝水,zhi'shui
芝阳,zhi'yang
中昌,zhong'chang
中村,zhong'cun
种苹果,zhong'ping'guo
中微量,zhong'wei'liang
中午头,zhong'wu'tou
中心大酒店,zhong'xin'da'jiu'dian
中医世家,zhong'yi'shi'jia
住博会,zhu'bo'hui
朱家庄,zhu'jia'zhuang
竹林寺,zhu'lin'si
祝宁宁,zhu'ning'ning
朱桥镇,zhu'qiao'zhen
诸由观镇,zhu'you'guan'zhen
抓胡,zhua'hu
抓货,zhua'huo
抓着了,zhua'zhe'le
专家村,zhuan'jia'cun
自己在吗,zi'ji'zai'ma
紫郡城,zi'jun'cheng
自来美,zi'lai'mei
仔细点,zi'xi'dian
自主探究,zi'zhu'tan'jiu
综宝,zong'bao
揍伴,zou'ban
揍饭,zou'fan
揍你哈,zou'ni'ha
揍什么,zou'shen'me
钻石钱柜,zuan'shi'qian'gui
最近劳累了,zui'jin'lao'lei'le
醉酷,zui'ku
柞村镇,zuo'cun'zhen
