阿保,a'bao
河嘴,he'zui
合作村,he'zuo'cun
黑波罗,hei'bo'luo
黑池,hei'chi
黑地村,hei'di'cun
黑都,hei'dou
黑甫,hei'fu
黑嘎,hei'ga
黑嘎乡,hei'ga'xiang
黑谷,hei'gu
黑沽,hei'gu
黑海,hei'hai
黑角,hei'jiao
黑箐,hei'jing
黑里过,hei'li'guo
黑梁子,hei'liang'zi
黑林子,hei'lin'zi
黑龙潭,hei'long'tan
黑龙岩,hei'long'yan
黑洛,hei'luo
黑马乡,hei'ma'xiang
黑泥巴,hei'ni'ba
黑泥沟,hei'ni'gou
黑泥田,hei'ni'tian
黑捏,hei'nie
黑牛洞,hei'niu'dong
黑桥,hei'qiao
黑若,hei'ruo
黑沙漠,hei'sha'mo
黑山,hei'shan
黑山村,hei'shan'cun
黑山咀,hei'shan'ju
黑石包,hei'shi'bao
黑石岩,hei'shi'yan
黑树林,hei'shu'lin
黑松林,hei'song'lin
黑塘,hei'tang
黑塘村,hei'tang'cun
黑特,hei'te
黑土家,hei'tu'jia
黑哇,hei'wa
黑西,hei'xi
黑西村,hei'xi'cun
黑岩洞,hei'yan'dong
黑依村,hei'yi'cun
黑元宝,hei'yuan'bao
黑子沟,hei'zi'gou
黑子哈,hei'zi'ha
很冷莫,hen'leng'mo
横滨轮胎,heng'bin'lun'tai
亨波,heng'bo
横槽,heng'cao
哼地,heng'di
横断山,heng'duan'shan
恒丰酒业,heng'feng'jiu'ye
亨里,heng'li
横梁子,heng'liang'zi
横路,heng'lu
横路村,heng'lu'cun
横山,heng'shan
横山乡,heng'shan'xiang
恒泰大酒店,heng'tai'da'jiu'dian
红安村,hong'an'cun
鸿彬,hong'bin
红仓,hong'cang
红场,hong'chang
宏达加油站,hong'da'jia'you'zhan
宏大汽修,hong'da'qi'xiu
红灯桥,hong'deng'qiao
洪地,hong'di
红豆沟,hong'dou'gou
洪发村,hong'fa'cun
红房子,hong'fang'zi
红峰乡,hong'feng'xiang
鸿福门,hong'fu'men
红岗子,hong'gang'zi
红棺材,hong'guan'cai
红光,hong'guang
红果乡,hong'guo'xiang
红花村,hong'hua'cun
红花地,hong'hua'di
洪家岭,hong'jia'ling
洪家巷,hong'jia'xiang
红军树,hong'jun'shu
红卡,hong'ka
红科,hong'ke
红联村,hong'lian'cun
红联乡,hong'lian'xiang
红梁村,hong'liang'cun
红梁子,hong'liang'zi
红米房,hong'mi'fang
红庙村,hong'miao'cun
红莫,hong'mo
宏模乡,hong'mo'xiang
红莫镇,hong'mo'zhen
红泥坡,hong'ni'po
红泥田,hong'ni'tian
红坡坡,hong'po'po
红旗村,hong'qi'cun
红旗牧场,hong'qi'mu'chang
红旗桥,hong'qi'qiao
红旗社,hong'qi'she
红旗幼儿园,hong'qi'you'er'yuan
红沙坡,hong'sha'po
红沙滩,hong'sha'tan
红山,hong'shan
红山咀,hong'shan'ju
红山嘴,hong'shan'zui
红苕店,hong'shao'dian
红石,hong'shi
红石岩,hong'shi'yan
洪水沟,hong'shui'gou
红土地,hong'tu'di
宏旺超市,hong'wang'chao'shi
洪溪派出所,hong'xi'pai'chu'suo
红新,hong'xin
红星村,hong'xing'cun
红星林场,hong'xing'lin'chang
红星乡,hong'xing'xiang
红崖子,hong'ya'zi
红岩,hong'yan
红岩村,hong'yan'cun
红岩沟,hong'yan'gou
红岩坪,hong'yan'ping
红岩湾,hong'yan'wan
红岩乡,hong'yan'xiang
红岩子,hong'yan'zi
红云村,hong'yun'cun
后坝,hou'ba
后坝子,hou'ba'zi
吼波,hou'bo
猴补,hou'bu
猴冲,hou'chong
后村,hou'cun
猴儿沟,hou'er'gou
后海村,hou'hai'cun
后海子,hou'hai'zi
后火山,hou'huo'shan
侯家村,hou'jia'cun
侯家沟,hou'jia'gou
侯家坪,hou'jia'ping
侯家坡,hou'jia'po
后龙山,hou'long'shan
猴爬岩,hou'pa'yan
后山,hou'shan
后山村,hou'shan'cun
后山沟,hou'shan'gou
后山乡,hou'shan'xiang
后所,hou'suo
后所乡,hou'suo'xiang
后湾子,hou'wan'zi
猴子堡,hou'zi'bao
猴子箐,hou'zi'jing
猴子坪,hou'zi'ping
猴子山,hou'zi'shan
猴子岩,hou'zi'yan
胡家,hu'jia
胡家村,hu'jia'cun
胡家沟,hu'jia'gou
胡家咀,hu'jia'ju
胡家坪,hu'jia'ping
胡家山,hu'jia'shan
胡家塆,hu'jia'wan
胡家湾,hu'jia'wan
胡家垭口,hu'jia'ya'kou
胡家院子,hu'jia'yuan'zi
胡家庄,hu'jia'zhuang
狐狸洞,hu'li'dong
狐狸山,hu'li'shan
互联村,hu'lian'cun
护林沟,hu'lin'gou
葫芦沟,hu'lu'gou
葫芦口,hu'lu'kou
葫芦口镇,hu'lu'kou'zhen
葫芦塘,hu'lu'tang
胡洛,hu'luo
虎跳岩,hu'tiao'yan
互助村,hu'zhu'cun
花大门,hua'da'men
华弹镇,hua'dan'zhen
花都宾馆,hua'du'bin'guan
花房村,hua'fang'cun
花房沟,hua'fang'gou
花坟,hua'fen
华岗村,hua'gang'cun
桦槁,hua'gao
花沟,hua'gou
花果村,hua'guo'cun
花果园,hua'guo'yuan
花果在,hua'guo'zai
花红沟,hua'hong'gou
花红坪,hua'hong'ping
花红乡,hua'hong'xiang
花家村,hua'jia'cun
华家沟,hua'jia'gou
花椒村,hua'jiao'cun
花椒地,hua'jiao'di
花椒沟,hua'jiao'gou
花椒林,hua'jiao'lin
花椒坪,hua'jiao'ping
花椒山,hua'jiao'shan
花椒树,hua'jiao'shu
花椒湾,hua'jiao'wan
花椒叶,hua'jiao'ye
花椒园,hua'jiao'yuan
花椒园村,hua'jiao'yuan'cun
铧咀,hua'ju
铧口,hua'kou
花龙村,hua'long'cun
花马村,hua'ma'cun
花棚,hua'peng
花棚子,hua'peng'zi
华平村,hua'ping'cun
花坪子,hua'ping'zi
花桥村,hua'qiao'cun
花山,hua'shan
花山村,hua'shan'cun
花山顶,hua'shan'ding
花山乡,hua'shan'xiang
花神咖啡,hua'shen'ka'fei
花生坝,hua'sheng'ba
花生堡,hua'sheng'bao
花生村,hua'sheng'cun
花生地,hua'sheng'di
滑石板,hua'shi'ban
花石村,hua'shi'cun
滑石沟,hua'shi'gou
花树村,hua'shu'cun
花树湾,hua'shu'wan
华泰,hua'tai
华泰宾馆,hua'tai'bin'guan
华泰春天,hua'tai'chun'tian
花亭,hua'ting
花塆,hua'wan
华兴超市,hua'xing'chao'shi
花岩坪,hua'yan'ping
花岩子,hua'yan'zi
华阳村,hua'yang'cun
花义,hua'yi
花园宾馆,hua'yuan'bin'guan
花园村,hua'yuan'cun
花园子,hua'yuan'zi
花庄,hua'zhuang
花庄村,hua'zhuang'cun
环路,huan'lu
环山村,huan'shan'cun
荒坝,huang'ba
黄柏乡,huang'bai'xiang
黄草坝,huang'cao'ba
黄草村,huang'cao'cun
黄草梁,huang'cao'liang
黄草坪,huang'cao'ping
黄草坪村,huang'cao'ping'cun
黄草坡,huang'cao'po
黄草镇,huang'cao'zhen
黄厂,huang'chang
黄陡坡,huang'dou'po
黄斗坡,huang'dou'po
荒沟,huang'gou
黄果树,huang'guo'shu
黄果子,huang'guo'zi
黄虎村,huang'hu'cun
黄花地,huang'hua'di
黄家,huang'jia
黄家坝,huang'jia'ba
黄家坝村,huang'jia'ba'cun
黄家祠,huang'jia'ci
黄家村,huang'jia'cun
黄家大湾,huang'jia'da'wan
黄家店,huang'jia'dian
黄家坟,huang'jia'fen
黄家沟,huang'jia'gou
黄家箐,huang'jia'jing
黄家坎,huang'jia'kan
黄家门口,huang'jia'men'kou
黄家坪,huang'jia'ping
黄家坪子,huang'jia'ping'zi
黄家山,huang'jia'shan
黄家湾,huang'jia'wan
黄家屋基,huang'jia'wu'ji
黄家垭口,huang'jia'ya'kou
黄家庄,huang'jia'zhuang
黄角堡,huang'jiao'bao
黄角树,huang'jiao'shu
黄桷树,huang'jue'shu
黄朗,huang'lang
黄琅镇,huang'lang'zhen
黄莲坝,huang'lian'ba
黄联关镇,huang'lian'guan'zhen
黄连坪,huang'lian'ping
黄连树,huang'lian'shu
黄楝树,huang'lian'shu
黄梁子,huang'liang'zi
黄龙寺,huang'long'si
黄茅埂,huang'mao'geng
黄泥,huang'ni
黄泥巴,huang'ni'ba
黄泥巴村,huang'ni'ba'cun
黄泥堡,huang'ni'bao
黄坭村,huang'ni'cun
黄泥村,huang'ni'cun
黄泥坡,huang'ni'po
黄泥田,huang'ni'tian
黄泥湾,huang'ni'wan
黄牛场,huang'niu'chang
黄牛坪,huang'niu'ping
黄坪,huang'ping
黄坪村,huang'ping'cun
黄坪乡,huang'ping'xiang
黄杉树,huang'shan'shu
黄水沟,huang'shui'gou
黄水乡,huang'shui'xiang
皇坛,huang'tan
荒田,huang'tian
荒田沟,huang'tian'gou
黄土沟,huang'tu'gou
黄土坡,huang'tu'po
黄土坡村,huang'tu'po'cun
黄燕山,huang'yan'shan
黄岩子,huang'yan'zi
黄竹村,huang'zhu'cun
黄竹林,huang'zhu'lin
黄竹坪,huang'zhu'ping
黄竹湾,huang'zhu'wan
惠安宾馆,hui'an'bin'guan
惠安乡,hui'an'xiang
灰包地,hui'bao'di
会东铅锌矿,hui'dong'qian'xin'kuang
会东县,hui'dong'xian
会东镇,hui'dong'zhen
回斗,hui'dou
惠丰超市,hui'feng'chao'shi
灰家村,hui'jia'cun
惠康大药房,hui'kang'da'yao'fang
会理县,hui'li'xian
会理锌矿,hui'li'xin'kuang
回龙,hui'long
回龙厂,hui'long'chang
回龙场,hui'long'chang
回龙场乡,hui'long'chang'xiang
回龙村,hui'long'cun
回龙沟,hui'long'gou
回龙庙,hui'long'miao
回龙湾,hui'long'wan
辉隆乡,hui'long'xiang
回龙乡,hui'long'xiang
回龙乡政府,hui'long'xiang'zheng'fu
回民村,hui'min'cun
回坪乡,hui'ping'xiang
灰坡,hui'po
回头山,hui'tou'shan
回头山村,hui'tou'shan'cun
汇鑫宾馆,hui'xin'bin'guan
汇鑫大厦,hui'xin'da'sha
灰折,hui'zhe
昏沙,hun'sha
浑水塘,hun'shui'tang
火把广场,huo'ba'guang'chang
火博,huo'bo
火草坪,huo'cao'ping
火厂,huo'chang
火场坝,huo'chang'ba
活地,huo'di
火地,huo'di
火地湾,huo'di'wan
火房,huo'fang
火嘎,huo'ga
火干,huo'gan
火杆,huo'gan
火花村,huo'hua'cun
火觉,huo'jue
火烈乡,huo'lie'xiang
活龙村,huo'long'cun
火楼,huo'lou
火炉山,huo'lu'shan
火洛,huo'luo
火木,huo'mu
火排,huo'pai
火普,huo'pu
火山村,huo'shan'cun
火山乡,huo'shan'xiang
火烧村,huo'shao'cun
火烧地,huo'shao'di
火烧岗,huo'shao'gang
火烧沟,huo'shao'gou
火烧坪,huo'shao'ping
火烧桥,huo'shao'qiao
火烧山,huo'shao'shan
火神庙,huo'shen'miao
火石地,huo'shi'di
火石沟村,huo'shi'gou'cun
火石坪,huo'shi'ping
火石坡,huo'shi'po
火石乡,huo'shi'xiang
火石子,huo'shi'zi
火头村,huo'tou'cun
火拓,huo'tuo
火湾,huo'wan
活西,huo'xi
火西村,huo'xi'cun
火子,huo'zi
机堡,ji'bao
吉笔,ji'bi
几波,ji'bo
吉波,ji'bo
基布,ji'bu
吉布吉,ji'bu'ji
鸡场,ji'chang
吉次,ji'ci
基德,ji'de
吉动,ji'dong
吉尔家,ji'er'jia
鸡房,ji'fang
吉格,ji'ge
基各,ji'ge
鸡公山,ji'gong'shan
济公山,ji'gong'shan
鸡公石,ji'gong'shi
鸡公岩,ji'gong'yan
鸡谷,ji'gu
吉古,ji'gu
机关汽车修理厂,ji'guan'qi'che'xiu'li'chang
鸡冠山,ji'guan'shan
吉哈,ji'ha
叽叽巴巴,ji'ji'ba'ba
季家坪,ji'jia'ping
吉家山,ji'jia'shan
计家湾,ji'jia'wan
几江,ji'jiang
鸡脚山,ji'jiao'shan
几觉,ji'jue
基觉,ji'jue
基觉乡,ji'jue'xiang
吉口,ji'kou
吉拉达,ji'la'da
吉来,ji'lai
基来,ji'lai
吉勒,ji'le
吉乐乡,ji'le'xiang
吉里,ji'li
吉隆村,ji'long'cun
吉隆桥,ji'long'qiao
祭龙山,ji'long'shan
吉洛,ji'luo
机落,ji'luo
吉米,ji'mi
吉米村,ji'mi'cun
吉米镇,ji'mi'zhen
吉莫,ji'mo
及木,ji'mu
吉木,ji'mu
吉木德村,ji'mu'de'cun
机乃,ji'nai
吉棚,ji'peng
鸡棚子,ji'peng'zi
几坡,ji'po
鸡婆山,ji'po'shan
基普,ji'pu
机普,ji'pu
基清,ji'qing
吉曲,ji'qu
吉色,ji'se
积善桥,ji'shan'qiao
吉史,ji'shi
积水村,ji'shui'cun
基素,ji'su
吉同,ji'tong
吉土,ji'tu
吉托,ji'tuo
吉瓦,ji'wa
鸡尾巴,ji'wei'ba
基伟村,ji'wei'cun
鸡窝,ji'wo
吉祥宾馆,ji'xiang'bin'guan
吉祥寺,ji'xiang'si
鸡心山,ji'xin'shan
机依,ji'yi
吉真,ji'zhen
集中化,ji'zhong'hua
鸡庄,ji'zhuang
几资,ji'zi
几组,ji'zu
吉祖,ji'zu
基嘴,ji'zui
甲波,jia'bo
甲底,jia'di
加尔,jia'er
甲尔,jia'er
加尔村,jia'er'cun
加工厂,jia'gong'chang
夹沟,jia'gou
甲谷,jia'gu
甲古,jia'gu
贾家堡子,jia'jia'bu'zi
贾家林,jia'jia'lin
贾家巷,jia'jia'xiang
甲脚,jia'jiao
甲马,jia'ma
夹马槽,jia'ma'cao
夹马石,jia'ma'shi
甲米村,jia'mi'cun
甲莫,jia'mo
加木,jia'mu
甲木,jia'mu
甲区,jia'qu
夹沙,jia'sha
家世界超市,jia'shi'jie'chao'shi
夹石头,jia'shi'tou
夹铁乡,jia'tie'xiang
家湾子,jia'wan'zi
甲乌,jia'wu
甲伍,jia'wu
贾溪,jia'xi
家下,jia'xia
佳香基,jia'xiang'ji
佳信阳光,jia'xin'yang'guang
甲依,jia'yi
甲依乡,jia'yi'xiang
加油站,jia'you'zhan
家园宾馆,jia'yuan'bin'guan
加洲旅馆,jia'zhou'lv'guan
甲子店,jia'zi'dian
尖包包,jian'bao'bao
枧槽沟,jian'cao'gou
涧槽沟,jian'cao'gou
枧槽乡,jian'cao'xiang
尖顶山,jian'ding'shan
尖峰顶,jian'feng'ding
尖根,jian'gen
建行小区,jian'hang'xiao'qu
尖尖山,jian'jian'shan
尖角,jian'jiao
尖角地,jian'jiao'di
健康宾馆,jian'kang'bin'guan
健康小区,jian'kang'xiao'qu
健美乡,jian'mei'xiang
坚乃,jian'nai
剑南春专卖店,jian'nan'chun'zhuan'mai'dian
坚尼,jian'ni
见铺,jian'pu
尖山,jian'shan
尖山包,jian'shan'bao
尖山村,jian'shan'cun
尖山顶,jian'shan'ding
尖山子,jian'shan'zi
建设村,jian'she'cun
尖石包,jian'shi'bao
尖石头,jian'shi'tou
建新村,jian'xin'cun
江边村,jiang'bian'cun
江都,jiang'du
将姑,jiang'gu
江机,jiang'ji
姜家,jiang'jia
姜家地,jiang'jia'di
蒋家沟,jiang'jia'gou
蒋家坪,jiang'jia'ping
蒋家山,jiang'jia'shan
江家山,jiang'jia'shan
蒋家滩,jiang'jia'tan
蒋家湾,jiang'jia'wan
蒋家屋基,jiang'jia'wu'ji
蒋家垭口,jiang'jia'ya'kou
蒋家院子,jiang'jia'yuan'zi
江口,jiang'kou
江口桥,jiang'kou'qiao
姜坡,jiang'po
江普乡,jiang'pu'xiang
江西村,jiang'xi'cun
江西沟,jiang'xi'gou
江西街乡,jiang'xi'jie'xiang
江西庙,jiang'xi'miao
江西湾,jiang'xi'wan
姜园子,jiang'yuan'zi
姜州乡,jiang'zhou'xiang
江竹乡,jiang'zhu'xiang
较场坝,jiao'chang'ba
轿顶村,jiao'ding'cun
轿顶山,jiao'ding'shan
叫顶山,jiao'ding'shan
脚都,jiao'dou
脚尔,jiao'er
交杆,jiao'gan
交沟,jiao'gou
脚古,jiao'gu
脚基坪,jiao'ji'ping
焦家村,jiao'jia'cun
教建酒店,jiao'jian'jiu'dian
脚克,jiao'ke
蛟龙村,jiao'long'cun
脚莫,jiao'mo
脚普,jiao'pu
脚惹,jiao're
脚山,jiao'shan
交使,jiao'shi
教师进修学校,jiao'shi'jin'xiu'xue'xiao
脚梯,jiao'ti
交通加油站,jiao'tong'jia'you'zhan
交通觉,jiao'tong'jue
角头湾,jiao'tou'wan
角支,jiao'zhi
椒子坪,jiao'zi'ping
轿子山,jiao'zi'shan
街村,jie'cun
结的,jie'de
皆都,jie'dou
解放村,jie'fang'cun
解放沟,jie'fang'gou
解放山,jie'fang'shan
解放社,jie'fang'she
解放乡,jie'fang'xiang
接官坪,jie'guan'ping
节核,jie'he
街基,jie'ji
解家村,jie'jia'cun
捷可,jie'ke
结列,jie'lie
姐莫,jie'mo
皆乃,jie'nai
界牌,jie'pai
界牌沟,jie'pai'gou
界坪,jie'ping
姐瓦,jie'wa
解真,jie'zhen
结祖,jie'zu
劲霸男装,jin'ba'nan'zhuang
金碧流香,jin'bi'liu'xiang
金财大厦,jin'cai'da'sha
金厂沟,jin'chang'gou
金厂坪,jin'chang'ping
金川宾馆,jin'chuan'bin'guan
锦川乡,jin'chuan'xiang
金东公司,jin'dong'gong'si
金洞沟,jin'dong'gou
金洞子,jin'dong'zi
金都大酒店,jin'du'da'jiu'dian
金凤村,jin'feng'cun
金沟村,jin'gou'cun
金光,jin'guang
金光村,jin'guang'cun
金光石,jin'guang'shi
金桂村,jin'gui'cun
金海村,jin'hai'cun
金河,jin'he
金河大桥,jin'he'da'qiao
金河乡,jin'he'xiang
金河乡政府,jin'he'xiang'zheng'fu
金华宾馆,jin'hua'bin'guan
金汇宾馆,jin'hui'bin'guan
金家坝,jin'jia'ba
金家村,jin'jia'cun
金家沟,jin'jia'gou
金家河,jin'jia'he
金家梁,jin'jia'liang
金家坪,jin'jia'ping
金家坪子,jin'jia'ping'zi
金家湾,jin'jia'wan
靳家湾,jin'jia'wan
金家屋基,jin'jia'wu'ji
金江村,jin'jiang'cun
进口汽车修理厂,jin'kou'qi'che'xiu'li'chang
金老,jin'lao
金林乡,jin'lin'xiang
金龙家园,jin'long'jia'yuan
金梅村,jin'mei'cun
锦屏大酒店,jin'ping'da'jiu'dian
锦屏山,jin'ping'shan
锦屏乡,jin'ping'xiang
金坪子,jin'ping'zi
金桥酒店,jin'qiao'jiu'dian
金曲乡,jin'qu'xiang
金沙宾馆,jin'sha'bin'guan
金沙村,jin'sha'cun
金沙江,jin'sha'jiang
金沙江大酒店,jin'sha'jiang'da'jiu'dian
金沙卫生院,jin'sha'wei'sheng'yuan
浸水村,jin'shui'cun
进水口,jin'shui'kou
金锁桥,jin'suo'qiao
金台子,jin'tai'zi
金田,jin'tian
金星宾馆,jin'xing'bin'guan
金星村,jin'xing'cun
金堰村,jin'yan'cun
金岩村,jin'yan'cun
金阳宾馆,jin'yang'bin'guan
金阳县,jin'yang'xian
金阳县公安局,jin'yang'xian'gong'an'ju
金阳县人民医院,jin'yang'xian'ren'min'yi'yuan
金银铺,jin'yin'pu
金营村,jin'ying'cun
金玉村,jin'yu'cun
金雨乡,jin'yu'xiang
金竹,jin'zhu
金竹村,jin'zhu'cun
金竹林,jin'zhu'lin
金子沟,jin'zi'gou
金子沟村,jin'zi'gou'cun
金子山,jin'zi'shan
井地,jing'di
井尔沟,jing'er'gou
经久村,jing'jiu'cun
经久乡,jing'jiu'xiang
经久站,jing'jiu'zhan
箐门,jing'men
箐门村,jing'men'cun
箐门口,jing'men'kou
井山村,jing'shan'cun
经堂,jing'tang
箐头,jing'tou
景星乡,jing'xing'xiang
经营村,jing'ying'cun
荆竹村,jing'zhu'cun
荆竹林,jing'zhu'lin
九保,jiu'bao
九堡,jiu'bao
韭菜坝,jiu'cai'ba
韭菜村,jiu'cai'cun
韭菜地,jiu'cai'di
韭菜沟,jiu'cai'gou
韭菜坪,jiu'cai'ping
酒厂,jiu'chang
旧城,jiu'cheng
九重天宾馆,jiu'chong'tian'bin'guan
旧村,jiu'cun
九道沟,jiu'dao'gou
九道拐,jiu'dao'guai
九道湾,jiu'dao'wan
九洞桥,jiu'dong'qiao
九都乡,jiu'du'xiang
酒房,jiu'fang
酒房村,jiu'fang'cun
久嘎,jiu'ga
九沽,jiu'gu
九海,jiu'hai
九棵树,jiu'ke'shu
九口,jiu'kou
九口乡,jiu'kou'xiang
九老洞,jiu'lao'dong
就陇,jiu'long
九龙乡,jiu'long'xiang
九十九道拐,jiu'shi'jiu'dao'guai
九条沟,jiu'tiao'gou
旧屯,jiu'tun
旧营盘,jiu'ying'pan
居哈,ju'ha
居列,ju'lie
巨龙区,ju'long'qu
居民点,ju'min'dian
居使,ju'shi
咀子,ju'zi
觉巴,jue'ba
觉地,jue'di
觉底,jue'di
觉嘎,jue'ga
觉甘,jue'gan
觉古,jue'gu
觉姑,jue'gu
蕨基坝,jue'ji'ba
觉里,jue'li
觉洛,jue'luo
觉洛乡,jue'luo'xiang
觉莫,jue'mo
觉姆,jue'mu
觉木,jue'mu
觉木村,jue'mu'cun
觉乃,jue'nai
觉你村,jue'ni'cun
觉期,jue'qi
觉撒,jue'sa
觉色,jue'se
觉呷,jue'xia
君衣,jun'yi
卡坝,ka'ba
卡都,ka'dou
卡尔村,ka'er'cun
卡尔沟,ka'er'gou
卡尔木,ka'er'mu
卡尔山,ka'er'shan
卡房,ka'fang
卡嘎,ka'ga
卡哈,ka'ha
卡哈洛,ka'ha'luo
卡哈洛乡,ka'ha'luo'xiang
卡基娃,ka'ji'wa
卡加洛,ka'jia'luo
卡拉店,ka'la'dian
卡拉乡,ka'la'xiang
卡其卡,ka'qi'ka
卡卓,ka'zhuo
凯丰公司,kai'feng'gong'si
开荒地,kai'huang'di
开建桥,kai'jian'qiao
凯乐宾馆,kai'le'bin'guan
凯旋酒店,kai'xuan'jiu'dian
开元乡,kai'yuan'xiang
砍到底,kan'dao'di
坎坎上,kan'kan'shang
看牛坡,kan'niu'po
看牛山,kan'niu'shan
坎上,kan'shang
康达花园,kang'da'hua'yuan
康复村,kang'fu'cun
康福村,kang'fu'cun
康家堡,kang'jia'bao
亢家村,kang'jia'cun
康家村,kang'jia'cun
康家河,kang'jia'he
康家湾,kang'jia'wan
康健诊所,kang'jian'zhen'suo
康乐诊所,kang'le'zhen'suo
康佑堂,kang'you'tang
康张,kang'zhang
克尔,ke'er
克尔乡,ke'er'xiang
可河乡,ke'he'xiang
克吉,ke'ji
可郎,ke'lang
克米,ke'mi
克司,ke'si
克子,ke'zi
肯着,ken'zhe
坑错,keng'cuo
空空山,kong'kong'shan
孔明山,kong'ming'shan
空萨,kong'sa
空山洞,kong'shan'dong
空筒树,kong'tong'shu
裤裆沟,ku'dang'gou
苦角,ku'jiao
苦苦,ku'ku
苦苦村,ku'ku'cun
苦马,ku'ma
库莫,ku'mo
枯木山,ku'mu'shan
苦土,ku'tu
库乌,ku'wu
库以,ku'yi
库依乡,ku'yi'xiang
苦株,ku'zhu
苦竹坝,ku'zhu'ba
垮土,kua'tu
块觉,kuai'jue
块末,kuai'mo
块木,kuai'mu
块子,kuai'zi
宽河,kuan'he
宽裕乡,kuan'yu'xiang
匡家湾,kuang'jia'wan
矿泉花园,kuang'quan'hua'yuan
矿山车间,kuang'shan'che'jian
矿山村,kuang'shan'cun
魁阁,kui'ge
魁阁村,kui'ge'cun
奎业,kui'ye
喇叭村,la'ba'cun
拉巴村,la'ba'cun
喇叭关,la'ba'guan
拉堡村,la'bao'cun
拉博,la'bo
拉波,la'bo
拉布,la'bu
拉布机,la'bu'ji
拉达,la'da
拉达乡,la'da'xiang
拉尔,la'er
拉嘎,la'ga
拉根,la'gen
拉姑萨,la'gu'sa
拉哈,la'ha
拉吉卡,la'ji'ka
拉吉乡,la'ji'xiang
腊金,la'jin
腊咀,la'ju
拉克,la'ke
拉克村,la'ke'cun
拉克洛,la'ke'luo
拉克乡,la'ke'xiang
拉拉铜矿,la'la'tong'kuang
拉洛,la'luo
拉罗,la'luo
拉洛村,la'luo'cun
喇嘛房,la'ma'fang
喇嘛河,la'ma'he
拉玛加,la'ma'jia
喇嘛坪,la'ma'ping
喇嘛山,la'ma'shan
喇嘛寺,la'ma'si
拉马乡,la'ma'xiang
拉门,la'men
拉咪,la'mi
拉咪乡,la'mi'xiang
拉莫,la'mo
拉莫乡,la'mo'xiang
拉木阿觉乡,la'mu'a'jue'xiang
拉木沟,la'mu'gou
拉普,la'pu
拉普乡,la'pu'xiang
拉惹,la're
拉绒,la'rong
拉萨,la'sa
腊窝,la'wo
腊窝乡,la'wo'xiang
拉呷,la'xia
拉学,la'xue
拉扎,la'zha
拉阵,la'zhen
辣子沟,la'zi'gou
赖家村,lai'jia'cun
赖家坡,lai'jia'po
赖家山,lai'jia'shan
来拖,lai'tuo
赖子沟,lai'zi'gou
癞子沟,lai'zi'gou
兰坝,lan'ba
滥坝,lan'ba
烂坝,lan'ba
烂坝子,lan'ba'zi
懒板凳,lan'ban'deng
烂包湾,lan'bao'wan
烂柴湾,lan'chai'wan
兰厂,lan'chang
兰厂村,lan'chang'cun
兰池村,lan'chi'cun
烂房子,lan'fang'zi
烂海子,lan'hai'zi
拦河,lan'he
拦河村,lan'he'cun
兰花村,lan'hua'cun
兰花沟,lan'hua'gou
兰花坪,lan'hua'ping
兰花山,lan'hua'shan
兰家村,lan'jia'cun
兰家沟,lan'jia'gou
蓝家坪,lan'jia'ping
兰家山,lan'jia'shan
兰家田,lan'jia'tian
兰满,lan'man
烂木杆,lan'mu'gan
烂木桥,lan'mu'qiao
烂泥巴,lan'ni'ba
滥泥沟,lan'ni'gou
烂泥沟,lan'ni'gou
滥泥河,lan'ni'he
烂泥箐,lan'ni'jing
烂泥湾,lan'ni'wan
烂铺子,lan'pu'zi
滥滩,lan'tan
烂滩,lan'tan
烂潭,lan'tan
兰田,lan'tian
滥田,lan'tian
烂田坝,lan'tian'ba
蓝天宾馆,lan'tian'bin'guan
烂田塆,lan'tian'wan
烂田湾,lan'tian'wan
烂窝子,lan'wo'zi
烂纸厂,lan'zhi'chang
朗德,lang'de
郎根,lang'gen
琅环乡,lang'huan'xiang
浪其,lang'qi
朗塞,lang'sai
狼窝,lang'wo
浪争,lang'zheng
朗子,lang'zi
老板窝,lao'ban'wo
老宝山,lao'bao'shan
老堡子,lao'bu'zi
老仓房,lao'cang'fang
老厂,lao'chang
老场,lao'chang
老厂村,lao'chang'cun
老长地,lao'chang'di
老厂沟,lao'chang'gou
老车场,lao'che'chang
老村,lao'cun
老村子,lao'cun'zi
老村子村,lao'cun'zi'cun
老渡口,lao'du'kou
老尔,lao'er
老房,lao'fang
老房村,lao'fang'cun
老房子,lao'fang'zi
老嘎,lao'ga
老干田,lao'gan'tian
老高山,lao'gao'shan
老公馆,lao'gong'guan
老沟,lao'gou
老古村,lao'gu'cun
老鸹山,lao'gua'shan
老官村,lao'guan'cun
老官房,lao'guan'fang
老鹳嘴,lao'guan'zui
老哈,lao'ha
老红岩,lao'hong'yan
老虎沟,lao'hu'gou
老虎咀,lao'hu'ju
老虎坪,lao'hu'ping
老虎山,lao'hu'shan
老虎嘴,lao'hu'zui
老伙房,lao'huo'fang
老火山,lao'huo'shan
老吉村,lao'ji'cun
老尖山,lao'jian'shan
老街,lao'jie
老解,lao'jie
老街村,lao'jie'cun
老街桥,lao'jie'qiao
老街乡,lao'jie'xiang
老街子,lao'jie'zi
老君洞,lao'jun'dong
老君山,lao'jun'shan
老口村,lao'kou'cun
老狼窝,lao'lang'wo
老林沟,lao'lin'gou
老林脚,lao'lin'jiao
老林口,lao'lin'kou
老林头,lao'lin'tou
老林湾,lao'lin'wan
老岭,lao'ling
