阿泊加,a'bo'jia
录入标志,lu'ru'biao'zhi
录入单号,lu'ru'dan'hao
录入明细,lu'ru'ming'xi
录入人员,lu'ru'ren'yuan
录入日期,lu'ru'ri'qi
录入时间,lu'ru'shi'jian
录入完成,lu'ru'wan'cheng
录入序号,lu'ru'xu'hao
论证编号,lun'zheng'bian'hao
论证日期,lun'zheng'ri'qi
论证序号,lun'zheng'xu'hao
逻辑类名,luo'ji'lei'ming
吗啡,ma'fei
麻醉标志,ma'zui'biao'zhi
麻醉代码,ma'zui'dai'ma
麻醉方式,ma'zui'fang'shi
麻醉费归并项,ma'zui'fei'gui'bing'xiang
麻醉科室,ma'zui'ke'shi
麻醉类别,ma'zui'lei'bie
麻醉例数,ma'zui'li'shu
麻醉评分,ma'zui'ping'fen
麻醉人次,ma'zui'ren'ci
麻醉日期,ma'zui'ri'qi
麻醉师随访标志,ma'zui'shi'sui'fang'biao'zhi
麻醉师随访信息,ma'zui'shi'sui'fang'xin'xi
麻醉收入,ma'zui'shou'ru
麻醉死亡,ma'zui'si'wang
麻醉完成标志,ma'zui'wan'cheng'biao'zhi
麻醉效果,ma'zui'xiao'guo
麻醉药权,ma'zui'yao'quan
麻醉医师,ma'zui'yi'shi
麻醉医师二,ma'zui'yi'shi'er
脉搏,mai'bo
脉搏次数,mai'bo'ci'shu
满分分值,man'fen'fen'zhi
贸易方式,mao'yi'fang'shi
每次递增数,mei'ci'di'zeng'shu
每次剂量,mei'ci'ji'liang
每次时间,mei'ci'shi'jian
每次限量,mei'ci'xian'liang
每分钟滴数,mei'fen'zhong'di'shu
每分钟消耗量,mei'fen'zhong'xiao'hao'liang
霉菌结论,mei'jun'jie'lun
霉菌阳性对照,mei'jun'yang'xing'dui'zhao
霉菌阴性对照,mei'jun'yin'xing'dui'zhao
霉菌总数,mei'jun'zong'shu
霉菌总数千每克菌落数,mei'jun'zong'shu'qian'mei'ke'jun'luo'shu
霉菌总数千每克平均菌落数,mei'jun'zong'shu'qian'mei'ke'ping'jun'jun'luo'shu
霉菌总数千每克平均平四号,mei'jun'zong'shu'qian'mei'ke'ping'jun'ping'si'hao
霉菌总数千每克平均稀释度,mei'jun'zong'shu'qian'mei'ke'ping'jun'xi'shi'du
霉菌总数千每克平四号,mei'jun'zong'shu'qian'mei'ke'ping'si'hao
霉菌总数千每克稀释度,mei'jun'zong'shu'qian'mei'ke'xi'shi'du
每日病床,mei'ri'bing'chuang
每日次数,mei'ri'ci'shu
每日限量,mei'ri'xian'liang
每周次数,mei'zhou'ci'shu
每周使用机时,mei'zhou'shi'yong'ji'shi
每周使用人次数,mei'zhou'shi'yong'ren'ci'shu
每周使用样品数,mei'zhou'shi'yong'yang'pin'shu
门出不符,men'chu'bu'fu
门出符合,men'chu'fu'he
门出疑诊,men'chu'yi'zhen
门诊关联,men'zhen'guan'lian
门诊归并,men'zhen'gui'bing
门诊号码,men'zhen'hao'ma
门诊就诊,men'zhen'jiu'zhen
门诊科室,men'zhen'ke'shi
门诊类别,men'zhen'lei'bie
门诊名称,men'zhen'ming'cheng
门诊人次,men'zhen'ren'ci
门诊申请单,men'zhen'shen'qing'dan
门诊使用,men'zhen'shi'yong
门诊收入,men'zhen'shou'ru
门诊序号,men'zhen'xu'hao
门诊医生,men'zhen'yi'sheng
门诊医师,men'zhen'yi'shi
门诊诊断,men'zhen'zhen'duan
咪唑安定,mi'zuo'an'ding
咪唑安定用法,mi'zuo'an'ding'yong'fa
灭菌方法,mie'jun'fang'fa
灭菌时间,mie'jun'shi'jian
灭菌时间起止,mie'jun'shi'jian'qi'zhi
灭菌者,mie'jun'zhe
民族,min'zu
民族代码,min'zu'dai'ma
民族自治,min'zu'zi'zhi
名称,ming'cheng
名称缩写,ming'cheng'suo'xie
名称项二,ming'cheng'xiang'er
名称项一,ming'cheng'xiang'yi
名次,ming'ci
明细备注,ming'xi'bei'zhu
明细编号,ming'xi'bian'hao
明细编码,ming'xi'bian'ma
明细名称,ming'xi'ming'cheng
明细序号,ming'xi'xu'hao
名族代码,ming'zu'dai'ma
模块类型,mo'kuai'lei'xing
模块名称,mo'kuai'ming'cheng
默认标志,mo'ren'biao'zhi
默认方向,mo'ren'fang'xiang
默认类别,mo'ren'lei'bie
默认页数,mo'ren'ye'shu
默认值,mo'ren'zhi
默认纸张,mo'ren'zhi'zhang
模板编号,mu'ban'bian'hao
模板名称,mu'ban'ming'cheng
模板序号,mu'ban'xu'hao
模板页码,mu'ban'ye'ma
模板页数,mu'ban'ye'shu
目标窗口,mu'biao'chuang'kou
目标考核法,mu'biao'kao'he'fa
目标药房,mu'biao'yao'fang
目标值,mu'biao'zhi
目的队列,mu'di'dui'lie
目录编码,mu'lu'bian'ma
难产分娩,nan'chan'fen'mian
内部类别,nei'bu'lei'bie
内科人数,nei'ke'ren'shu
内码,nei'ma
内容,nei'rong
内容编号,nei'rong'bian'hao
拟生产制剂规格,ni'sheng'chan'zhi'ji'gui'ge
拟生产制剂剂型,ni'sheng'chan'zhi'ji'ji'xing
拟生产制剂批号,ni'sheng'chan'zhi'ji'pi'hao
拟生产制剂品名,ni'sheng'chan'zhi'ji'pin'ming
年份,nian'fen
年龄,nian'ling
年龄标志,nian'ling'biao'zhi
年龄不详,nian'ling'bu'xiang
年龄新生,nian'ling'xin'sheng
年收益,nian'shou'yi
年消耗费用,nian'xiao'hao'fei'yong
尿糖,niao'tang
凝血功能,ning'xue'gong'neng
浓缩时间,nong'suo'shi'jian
浓缩液相对密度,nong'suo'ye'xiang'dui'mi'du
排队成员,pai'dui'cheng'yuan
排队成员插队,pai'dui'cheng'yuan'cha'dui
排队处方,pai'dui'chu'fang
排队等待时间,pai'dui'deng'dai'shi'jian
排队号码,pai'dui'hao'ma
排队号码插队,pai'dui'hao'ma'cha'dui
排队结束时间,pai'dui'jie'shu'shi'jian
排队开始时间,pai'dui'kai'shi'shi'jian
排队序号,pai'dui'xu'hao
排队状态,pai'dui'zhuang'tai
排列次序,pai'lie'ci'xu
排列顺序,pai'lie'shun'xu
排列序号,pai'lie'xu'hao
排泄障碍,pai'xie'zhang'ai
判别,pan'bie
盘点标志,pan'dian'biao'zhi
盘点单号,pan'dian'dan'hao
盘点工号,pan'dian'gong'hao
盘点类型,pan'dian'lei'xing
盘点零售,pan'dian'ling'shou
盘点明细,pan'dian'ming'xi
盘点判别,pan'dian'pan'bie
盘点判断,pan'dian'pan'duan
盘点批发,pan'dian'pi'fa
盘点日期,pan'dian'ri'qi
盘点数量,pan'dian'shu'liang
盘点完成,pan'dian'wan'cheng
盘前数量,pan'qian'shu'liang
陪伴占用床日,pei'ban'zhan'yong'chuang'ri
陪床费归并项,pei'chuang'fei'gui'bing'xiang
陪客人数,pei'ke'ren'shu
配料日期,pei'liao'ri'qi
配料者,pei'liao'zhe
配料总量,pei'liao'zong'liang
配套条件,pei'tao'tiao'jian
培训单位,pei'xun'dan'wei
培训对象,pei'xun'dui'xiang
培训计划单号,pei'xun'ji'hua'dan'hao
培训天数,pei'xun'tian'shu
培训项目,pei'xun'xiang'mu
配药标志,pei'yao'biao'zhi
配药工号,pei'yao'gong'hao
配液瓶号,pei'ye'ping'hao
配液识别,pei'ye'shi'bie
配液组号,pei'ye'zu'hao
配置编号,pei'zhi'bian'hao
配置方法,pei'zhi'fang'fa
配制工号,pei'zhi'gong'hao
配制量,pei'zhi'liang
配制日期,pei'zhi'ri'qi
配置数量,pei'zhi'shu'liang
配制总量,pei'zhi'zong'liang
批发价格,pi'fa'jia'ge
批发减值,pi'fa'jian'zhi
批发金额,pi'fa'jin'e
批发增值,pi'fa'zeng'zhi
皮肤状态,pi'fu'zhuang'tai
批号,pi'hao
皮试标志,pi'shi'biao'zhi
皮试结果,pi'shi'jie'guo
皮试判别,pi'shi'pan'bie
皮试时间,pi'shi'shi'jian
皮试医生,pi'shi'yi'sheng
批准工号,pi'zhun'gong'hao
批准人,pi'zhun'ren
批准日期,pi'zhun'ri'qi
批准时间,pi'zhun'shi'jian
批准文号,pi'zhun'wen'hao
票据号码,piao'ju'hao'ma
票据类别,piao'ju'lei'bie
票据类型,piao'ju'lei'xing
票卡号码长度,piao'ka'hao'ma'chang'du
票卡类型,piao'ka'lei'xing
票未到,piao'wei'dao
频次编码,pin'ci'bian'ma
频次名称,pin'ci'ming'cheng
频次周期,pin'ci'zhou'qi
品名,pin'ming
拼音,pin'yin
拼音代码,pin'yin'dai'ma
评分人,ping'fen'ren
评分时间,ping'fen'shi'jian
评分项目,ping'fen'xiang'mu
评分项目编号,ping'fen'xiang'mu'bian'hao
评估单号,ping'gu'dan'hao
评估时间,ping'gu'shi'jian
评价编号,ping'jia'bian'hao
评价参数编号,ping'jia'can'shu'bian'hao
评价参数名称,ping'jia'can'shu'ming'cheng
评价参数说明,ping'jia'can'shu'shuo'ming
评价参数值,ping'jia'can'shu'zhi
评价单号,ping'jia'dan'hao
评价建议,ping'jia'jian'yi
评价名称,ping'jia'ming'cheng
评价内容,ping'jia'nei'rong
评价人员,ping'jia'ren'yuan
评价日期,ping'jia'ri'qi
评价时间,ping'jia'shi'jian
平均重,ping'jun'zhong
屏幕编号,ping'mu'bian'hao
屏幕简称,ping'mu'jian'cheng
屏幕名称,ping'mu'ming'cheng
屏幕清除,ping'mu'qing'chu
屏幕清除时间,ping'mu'qing'chu'shi'jian
屏幕输出时间,ping'mu'shu'chu'shi'jian
屏幕数量,ping'mu'shu'liang
屏幕说明,ping'mu'shuo'ming
评审单位,ping'shen'dan'wei
评审结论,ping'shen'jie'lun
评审时间,ping'shen'shi'jian
平帐工号,ping'zhang'gong'hao
平帐进货,ping'zhang'jin'huo
平帐进货额,ping'zhang'jin'huo'e
平帐进货金额,ping'zhang'jin'huo'jin'e
平帐类型,ping'zhang'lei'xing
平帐零售,ping'zhang'ling'shou
平帐零售额,ping'zhang'ling'shou'e
平帐零售金额,ping'zhang'ling'shou'jin'e
平帐人,ping'zhang'ren
平帐日期,ping'zhang'ri'qi
平帐数量,ping'zhang'shu'liang
平帐原因,ping'zhang'yuan'yin
凭证号码,ping'zheng'hao'ma
凭证类型,ping'zheng'lei'xing
凭证类型名称,ping'zheng'lei'xing'ming'cheng
凭证类型刷新标志,ping'zheng'lei'xing'shua'xin'biao'zhi
凭证名称,ping'zheng'ming'cheng
凭证说明,ping'zheng'shuo'ming
破裂合计,po'lie'he'ji
破裂情况,po'lie'qing'kuang
剖腹分娩,pou'fu'fen'mian
普通标志,pu'tong'biao'zhi
普通人次,pu'tong'ren'ci
普通收入,pu'tong'shou'ru
期初进货,qi'chu'jin'huo
期初零售,qi'chu'ling'shou
期初批发,qi'chu'pi'fa
期初数量,qi'chu'shu'liang
启动类型,qi'dong'lei'xing
气管,qi'guan
期末进货,qi'mo'jin'huo
期末零售,qi'mo'ling'shou
期末批发,qi'mo'pi'fa
期末数量,qi'mo'shu'liang
七日死亡,qi'ri'si'wang
起始编码,qi'shi'bian'ma
起始发票,qi'shi'fa'piao
起始号码,qi'shi'hao'ma
起始日期,qi'shi'ri'qi
起始时间,qi'shi'shi'jian
起始收据,qi'shi'shou'ju
其它,qi'ta
其他比例,qi'ta'bi'li
其他编码,qi'ta'bian'ma
其他并发,qi'ta'bing'fa
其它厂商产品比较,qi'ta'chang'shang'chan'pin'bi'jiao
其他出院,qi'ta'chu'yuan
其他从业人员性质,qi'ta'cong'ye'ren'yuan'xing'zhi
其他代码,qi'ta'dai'ma
其它代码,qi'ta'dai'ma
其它待遇,qi'ta'dai'yu
其它方式,qi'ta'fang'shi
其他费,qi'ta'fei
其它过敏,qi'ta'guo'min
其它号码,qi'ta'hao'ma
其它假,qi'ta'jia
其他结果,qi'ta'jie'guo
其他金额,qi'ta'jin'e
其它金额,qi'ta'jin'e
其他津贴,qi'ta'jin'tie
其他扣除,qi'ta'kou'chu
其他名称,qi'ta'ming'cheng
其它票据张数,qi'ta'piao'ju'zhang'shu
其他人数,qi'ta'ren'shu
其它嗜好,qi'ta'shi'hao
其它统计码,qi'ta'tong'ji'ma
其他项目,qi'ta'xiang'mu
其他小计,qi'ta'xiao'ji
其他药品,qi'ta'yao'pin
其它异常,qi'ta'yi'chang
其他应发,qi'ta'ying'fa
其他应收,qi'ta'ying'shou
其它应收,qi'ta'ying'shou
其它症状,qi'ta'zheng'zhuang
器械编号,qi'xie'bian'hao
器械标志,qi'xie'biao'zhi
器械名称,qi'xie'ming'cheng
器械数量,qi'xie'shu'liang
企业代码,qi'ye'dai'ma
企业简介,qi'ye'jian'jie
企业性质,qi'ye'xing'zhi
启用标志,qi'yong'biao'zhi
启用判别,qi'yong'pan'bie
启用日期,qi'yong'ri'qi
起止票据,qi'zhi'piao'ju
前处理投料日期,qian'chu'li'tou'liao'ri'qi
签订人,qian'ding'ren
欠费金额,qian'fei'jin'e
前后不符,qian'hou'bu'fu
前后符合,qian'hou'fu'he
前后疑诊,qian'hou'yi'zhen
签名,qian'ming
前批制剂编号,qian'pi'zhi'ji'bian'hao
前批制剂规格,qian'pi'zhi'ji'gui'ge
前批制剂剂型,qian'pi'zhi'ji'ji'xing
前批制剂批号,qian'pi'zhi'ji'pi'hao
前批制剂品名,qian'pi'zhi'ji'pin'ming
前提条件,qian'ti'tiao'jian
抢救次数,qiang'jiu'ci'shu
抢救方法,qiang'jiu'fang'fa
抢救人次,qiang'jiu'ren'ci
抢救死亡,qiang'jiu'si'wang
切口等级,qie'kou'deng'ji
切口类型,qie'kou'lei'xing
清场人,qing'chang'ren
请购单号,qing'gou'dan'hao
请购科室,qing'gou'ke'shi
请购序号,qing'gou'xu'hao
清洁方法,qing'jie'fang'fa
清洁时间起止,qing'jie'shi'jian'qi'zhi
请领人,qing'ling'ren
青霉素过敏,qing'mei'su'guo'min
请修单号,qing'xiu'dan'hao
请修科室,qing'xiu'ke'shi
请修人,qing'xiu'ren
请修日期,qing'xiu'ri'qi
请修序号,qing'xiu'xu'hao
情绪表现,qing'xu'biao'xian
请验部门,qing'yan'bu'men
请验单位,qing'yan'dan'wei
请验者,qing'yan'zhe
区分模块,qu'fen'mo'kuai
区分性质,qu'fen'xing'zhi
区分药品,qu'fen'yao'pin
去何地参观,qu'he'di'can'guan
去向地点,qu'xiang'di'dian
取样量,qu'yang'liang
取样人,qu'yang'ren
取整策略,qu'zheng'ce'lue
权限级别,quan'xian'ji'bie
全血,quan'xue
确认包装,que'ren'bao'zhuang
确认标志,que'ren'biao'zhi
确认单位,que'ren'dan'wei
确认工号,que'ren'gong'hao
确认规格,que'ren'gui'ge
确认人,que'ren'ren
确认日期,que'ren'ri'qi
确认时间,que'ren'shi'jian
确认数量,que'ren'shu'liang
缺省金额,que'sheng'jin'e
缺席人员,que'xi'ren'yuan
确诊日期,que'zhen'ri'qi
确诊天数,que'zhen'tian'shu
人次合计,ren'ci'he'ji
人均金额,ren'jun'jin'e
人数合计,ren'shu'he'ji
人员条件,ren'yuan'tiao'jian
人员性质,ren'yuan'xing'zhi
人员状态,ren'yuan'zhuang'tai
日报日期,ri'bao'ri'qi
日期,ri'qi
日期方式,ri'qi'fang'shi
日志类型,ri'zhi'lei'xing
日志时间,ri'zhi'shi'jian
日志信息,ri'zhi'xin'xi
日志序号,ri'zhi'xu'hao
容器检查情况,rong'qi'jian'cha'qing'kuang
容器清场方法,rong'qi'qing'chang'fang'fa
入出不符,ru'chu'bu'fu
入出符合,ru'chu'fu'he
入出库单号,ru'chu'ku'dan'hao
入出库方式,ru'chu'ku'fang'shi
入出疑诊,ru'chu'yi'zhen
褥疮人次,ru'chuang'ren'ci
入党日期,ru'dang'ri'qi
入队时间,ru'dui'shi'jian
入观人数,ru'guan'ren'shu
入库备注,ru'ku'bei'zhu
入库标志,ru'ku'biao'zhi
入库仓库,ru'ku'cang'ku
入库单号,ru'ku'dan'hao
入库方式,ru'ku'fang'shi
入库工号,ru'ku'gong'hao
入库进货,ru'ku'jin'huo
入库零售,ru'ku'ling'shou
入库判别,ru'ku'pan'bie
入库批发,ru'ku'pi'fa
入库确认,ru'ku'que'ren
入库日期,ru'ku'ri'qi
入库时间,ru'ku'shi'jian
入库数量,ru'ku'shu'liang
入团日期,ru'tuan'ri'qi
入院病区,ru'yuan'bing'qu
入院床号,ru'yuan'chuang'hao
入院次数,ru'yuan'ci'shu
入院科室,ru'yuan'ke'shi
入院判别,ru'yuan'pan'bie
入院情况,ru'yuan'qing'kuang
入院人数,ru'yuan'ren'shu
入院日期,ru'yuan'ri'qi
入院三日确诊,ru'yuan'san'ri'que'zhen
入院途径,ru'yuan'tu'jing
入院诊断,ru'yuan'zhen'duan
三级管理标志,san'ji'guan'li'biao'zhi
三级库房,san'ji'ku'fang
三日确诊,san'ri'que'zhen
丧假,sang'jia
筛选处理,shai'xuan'chu'li
筛选时平均体温,shai'xuan'shi'ping'jun'ti'wen
筛选时体温,shai'xuan'shi'ti'wen
上报人员,shang'bao'ren'yuan
上报日期,shang'bao'ri'qi
上传时间,shang'chuan'shi'jian
上岗日期,shang'gang'ri'qi
上级编号,shang'ji'bian'hao
上级标志,shang'ji'biao'zhi
上级队列,shang'ji'dui'lie
上级科室,shang'ji'ke'shi
上级说明代码,shang'ji'shuo'ming'dai'ma
上级说明名称,shang'ji'shuo'ming'ming'cheng
上级项目,shang'ji'xiang'mu
上级性质,shang'ji'xing'zhi
上级序号,shang'ji'xu'hao
上级营养师共号,shang'ji'ying'yang'shi'gong'hao
上级支出,shang'ji'zhi'chu
上年平均工资,shang'nian'ping'jun'gong'zi
上期结存,shang'qi'jie'cun
上限,shang'xian
上限值,shang'xian'zhi
社保号码,she'bao'hao'ma
社保机构经办人,she'bao'ji'gou'jing'ban'ren
社保机构审批日期,she'bao'ji'gou'shen'pi'ri'qi
社保机构意见,she'bao'ji'gou'yi'jian
设备编号,she'bei'bian'hao
设备近年改进情况,she'bei'jin'nian'gai'jin'qing'kuang
设备判别,she'bei'pan'bie
设备使用保养,she'bei'shi'yong'bao'yang
设备新旧,she'bei'xin'jiu
设备序号,she'bei'xu'hao
设备用途,she'bei'yong'tu
设备状态,she'bei'zhuang'tai
设备作用,she'bei'zuo'yong
设床天数,she'chuang'tian'shu
设计方案关联,she'ji'fang'an'guan'lian
舍入金额,she'ru'jin'e
设置标志,she'zhi'biao'zhi
设置序号,she'zhi'xu'hao
申报人,shen'bao'ren
申报人代码,shen'bao'ren'dai'ma
身份证号,shen'fen'zheng'hao
身高,shen'gao
审核者,shen'he'zhe
申领仓库,shen'ling'cang'ku
申领方式,shen'ling'fang'shi
申领判别,shen'ling'pan'bie
申领数量,shen'ling'shu'liang
渗漉操作者,shen'lu'cao'zuo'zhe
渗漉原料名称,shen'lu'yuan'liao'ming'cheng
审批标志,shen'pi'biao'zhi
审批工号,shen'pi'gong'hao
审批基本养老金,shen'pi'ji'ben'yang'lao'jin
审批机构,shen'pi'ji'gou
审批金额,shen'pi'jin'e
审批人,shen'pi'ren
审批日期,shen'pi'ri'qi
审批时间,shen'pi'shi'jian
审批数量,shen'pi'shu'liang
审批退休日期,shen'pi'tui'xiu'ri'qi
申请窗口,shen'qing'chuang'kou
申请单号,shen'qing'dan'hao
申请单类型,shen'qing'dan'lei'xing
申请单名称,shen'qing'dan'ming'cheng
申请单位,shen'qing'dan'wei
申请单位地址,shen'qing'dan'wei'di'zhi
申请单位电话,shen'qing'dan'wei'dian'hua
申请单位经办人,shen'qing'dan'wei'jing'ban'ren
申请单位邮编,shen'qing'dan'wei'you'bian
申请进口单位,shen'qing'jin'kou'dan'wei
申请科室,shen'qing'ke'shi
申请人,shen'qing'ren
申请日期,shen'qing'ri'qi
申请时间,shen'qing'shi'jian
申请数量,shen'qing'shu'liang
申请提交,shen'qing'ti'jiao
申请文号,shen'qing'wen'hao
申请序号,shen'qing'xu'hao
申请药房,shen'qing'yao'fang
申请医生,shen'qing'yi'sheng
申请医师,shen'qing'yi'shi
申请主管单位,shen'qing'zhu'guan'dan'wei
生产单位,sheng'chan'dan'wei
生产批号,sheng'chan'pi'hao
生产日期,sheng'chan'ri'qi
生产许可证,sheng'chan'xu'ke'zheng
生产许可证号,sheng'chan'xu'ke'zheng'hao
生成时间,sheng'cheng'shi'jian
省份代码,sheng'fen'dai'ma
升高总合,sheng'gao'zong'he
失败次数,shi'bai'ci'shu
失败原因,shi'bai'yuan'yin
室北情况,shi'bei'qing'kuang
势必丙,shi'bi'bing
势必甲,shi'bi'jia
势必乙,shi'bi'yi
识别符号,shi'bie'fu'hao
识别号,shi'bie'hao
识别序号,shi'bie'xu'hao
识别序序,shi'bie'xu'xu
食部,shi'bu
实测值,shi'ce'zhi
实出勤数,shi'chu'qin'shu
室东情况,shi'dong'qing'kuang
实发数量,shi'fa'shu'liang
是否提示,shi'fou'ti'shi
是否显示,shi'fou'xian'shi
是否折叠,shi'fou'zhe'die
是否治疗饮食医嘱,shi'fou'zhi'liao'yin'shi'yi'zhu
是否专业技术人员,shi'fou'zhuan'ye'ji'shu'ren'yuan
事故处理,shi'gu'chu'li
事故等级,shi'gu'deng'ji
事故发生时间,shi'gu'fa'sheng'shi'jian
事故摘要,shi'gu'zhai'yao
嗜好酒类,shi'hao'jiu'lei
嗜好烟类,shi'hao'yan'lei
试剂,shi'ji
实际产量,shi'ji'chan'liang
实际吃治疗饮食人数,shi'ji'chi'zhi'liao'yin'shi'ren'shu
实际代码,shi'ji'dai'ma
市级代码,shi'ji'dai'ma
实际发票,shi'ji'fa'piao
实际结存,shi'ji'jie'cun
实际金额,shi'ji'jin'e
实际进货额,shi'ji'jin'huo'e
实际库存数量,shi'ji'ku'cun'shu'liang
实际零售额,shi'ji'ling'shou'e
实际起始时间,shi'ji'qi'shi'shi'jian
实际时间,shi'ji'shi'jian
实际数量,shi'ji'shu'liang
实际消耗标准溶液,shi'ji'xiao'hao'biao'zhun'rong'ye
实际用量,shi'ji'yong'liang
实际终止时间,shi'ji'zhong'zhi'shi'jian
事假,shi'jia
时间,shi'jian
事件编号,shi'jian'bian'hao
尸检不符,shi'jian'bu'fu
时间范围,shi'jian'fan'wei
尸检符合,shi'jian'fu'he
时间跨度,shi'jian'kua'du
时间跨度标志,shi'jian'kua'du'biao'zhi
时间类型,shi'jian'lei'xing
事件名称,shi'jian'ming'cheng
尸检情况,shi'jian'qing'kuang
尸检疑诊,shi'jian'yi'zhen
尸检主要诊断,shi'jian'zhu'yao'zhen'duan
示教病案,shi'jiao'bing'an
实例窗口,shi'li'chuang'kou
室南情况,shi'nan'qing'kuang
室内情况,shi'nei'qing'kuang
实盘数量,shi'pan'shu'liang
市区检所检验数据及意见,shi'qu'jian'suo'jian'yan'shu'ju'ji'yi'jian
十日死亡,shi'ri'si'wang
实施单号,shi'shi'dan'hao
实收比例,shi'shou'bi'li
实收量,shi'shou'liang
尸体解剖号,shi'ti'jie'pou'hao
视同缴费年数,shi'tong'jiao'fei'nian'shu
视同缴费月数,shi'tong'jiao'fei'yue'shu
室外情况,shi'wai'qing'kuang
市卫生局意见,shi'wei'sheng'ju'yi'jian
室温,shi'wen
实物编号,shi'wu'bian'hao
食物编码,shi'wu'bian'ma
食物名称,shi'wu'ming'cheng
食物序号,shi'wu'xu'hao
食物种类编号,shi'wu'zhong'lei'bian'hao
室西情况,shi'xi'qing'kuang
实习医生,shi'xi'yi'sheng
失效日期,shi'xiao'ri'qi
实验室温度,shi'yan'shi'wen'du
试液名称,shi'ye'ming'cheng
使用标签数,shi'yong'biao'qian'shu
使用标志,shi'yong'biao'zhi
使用成本,shi'yong'cheng'ben
使用床位,shi'yong'chuang'wei
使用次数,shi'yong'ci'shu
使用份数,shi'yong'fen'shu
使用号码,shi'yong'hao'ma
使用科室,shi'yong'ke'shi
使用类别,shi'yong'lei'bie
使用类型,shi'yong'lei'xing
使用率,shi'yong'lv
使用年限,shi'yong'nian'xian
使用判别,shi'yong'pan'bie
使用频次,shi'yong'pin'ci
使用时间,shi'yong'shi'jian
使用数,shi'yong'shu
使用序号,shi'yong'xu'hao
失约次数,shi'yue'ci'shu
失约总数,shi'yue'zong'shu
室中情况,shi'zhong'qing'kuang
受标时间,shou'biao'shi'jian
收费标准,shou'fei'biao'zhun
收费方式,shou'fei'fang'shi
收费金额,shou'fei'jin'e
收费名称,shou'fei'ming'cheng
收费日期,shou'fei'ri'qi
收费项目,shou'fei'xiang'mu
收费张数,shou'fei'zhang'shu
手机号码,shou'ji'hao'ma
首剂效应,shou'ji'xiao'ying
收件日期,shou'jian'ri'qi
收检日期,shou'jian'ri'qi
收据号码,shou'ju'hao'ma
收据张数,shou'ju'zhang'shu
收款员,shou'kuan'yuan
受理工号,shou'li'gong'hao
受理人名,shou'li'ren'ming
授理人员,shou'li'ren'yuan
授理日期,shou'li'ri'qi
受理完成时间,shou'li'wan'cheng'shi'jian
收入比例,shou'ru'bi'li
收入费用,shou'ru'fei'yong
收入合计,shou'ru'he'ji
手术编号,shou'shu'bian'hao
手术编码,shou'shu'bian'ma
手术标志,shou'shu'biao'zhi
手术并发,shou'shu'bing'fa
手术代码,shou'shu'dai'ma
手术等级,shou'shu'deng'ji
手术二助,shou'shu'er'zhu
手术房间,shou'shu'fang'jian
手术费,shou'shu'fei
手术过程,shou'shu'guo'cheng
手术科室,shou'shu'ke'shi
手术类别,shou'shu'lei'bie
手术例次,shou'shu'li'ci
手术名称,shou'shu'ming'cheng
手术内码,shou'shu'nei'ma
手术判别,shou'shu'pan'bie
手术人次,shou'shu'ren'ci
手术日期,shou'shu'ri'qi
手术三助,shou'shu'san'zhu
手术时间,shou'shu'shi'jian
手术收入,shou'shu'shou'ru
手术台号,shou'shu'tai'hao
手术完成标志,shou'shu'wan'cheng'biao'zhi
手术序号,shou'shu'xu'hao
手术要求,shou'shu'yao'qiu
手术医生,shou'shu'yi'sheng
手术医师,shou'shu'yi'shi
手术医师二,shou'shu'yi'shi'er
手术一助,shou'shu'yi'zhu
手术治疗检查诊断为本院第一例,shou'shu'zhi'liao'jian'cha'zhen'duan'wei'ben'yuan'di'yi'li
收缩压,shou'suo'ya
收支类别,shou'zhi'lei'bie
收支判别,shou'zhi'pan'bie
收支日期,shou'zhi'ri'qi
收支序号,shou'zhi'xu'hao
收治医生,shou'zhi'yi'sheng
输出序号,shu'chu'xu'hao
输红细胞数,shu'hong'xi'bao'shu
术后标志,shu'hou'biao'zhi
术后并发症,shu'hou'bing'fa'zheng
术后感柒,shu'hou'gan'qi
术后数量,shu'hou'shu'liang
术后诊断,shu'hou'zhen'duan
数据窗口,shu'ju'chuang'kou
数据对像,shu'ju'dui'xiang
数据来源,shu'ju'lai'yuan
数据说明,shu'ju'shuo'ming
数据转移,shu'ju'zhuan'yi
熟练程度,shu'lian'cheng'du
数量,shu'liang
术前后符合,shu'qian'hou'fu'he
术前数量,shu'qian'shu'liang
术前讨论,shu'qian'tao'lun
术前天数,shu'qian'tian'shu
术前诊断,shu'qian'zhen'duan
输入代码,shu'ru'dai'ma
输入工号,shu'ru'gong'hao
输入科室,shu'ru'ke'shi
输入码,shu'ru'ma
输入完成,shu'ru'wan'cheng
属性类型,shu'xing'lei'xing
属性名称,shu'xing'ming'cheng
属性识别,shu'xing'shi'bie
属性序号,shu'xing'xu'hao
属性颜色,shu'xing'yan'se
属性值,shu'xing'zhi
输血次数,shu'xue'ci'shu
输血反应,shu'xue'fan'ying
输血费,shu'xue'fei
输血浆数,shu'xue'jiang'shu
输血情况,shu'xue'qing'kuang
输血人次,shu'xue'ren'ci
输血数量,shu'xue'shu'liang
输血小板数,shu'xue'xiao'ban'shu
输血血型,shu'xue'xue'xing
输氧费,shu'yang'fei
输液标志,shu'ye'biao'zhi
输液窗口,shu'ye'chuang'kou
输液次数,shu'ye'ci'shu
输液单号,shu'ye'dan'hao
输液反应,shu'ye'fan'ying
输液瓶号,shu'ye'ping'hao
