阿不都,a'bu'dou
四吧,si'ba
四非,si'fei
撕分,si'fen
四公斤,si'gong'jin
四季风情园,si'ji'feng'qing'yuan
四建,si'jian
死呢吗,si'ne'ma
死去撒,si'qu'sa
四师,si'shi
四医院,si'yi'yuan
怂样子,song'yang'zi
搜后,sou'hou
苏比,su'bi
素炒,su'chao
苏公塔,su'gong'ta
苏杭明珠,su'hang'ming'zhu
速速的,su'su'de
苏州花园,su'zhou'hua'yuan
苏州路,su'zhou'lu
算了撒,suan'le'sa
酸奶子,suan'nai'zi
梭梭子,suo'suo'zi
塔城,ta'cheng
塔城的,ta'cheng'de
塔城地区,ta'cheng'di'qu
塔城市,ta'cheng'shi
塔吉克,ta'ji'ke
塔吉克斯坦,ta'ji'ke'si'tan
他叫撒,ta'jiao'sa
塔克拉玛干,ta'ke'la'ma'gan
塔里木,ta'li'mu
塔里木大学,ta'li'mu'da'xue
塔里木河,ta'li'mu'he
他前面,ta'qian'mian
他撒时候,ta'sa'shi'hou
塔什干,ta'shi'gan
塔什库尔干,ta'shi'ku'er'gan
他说撒,ta'shuo'sa
他为撒,ta'wei'sa
塔西南,ta'xi'nan
塔依尔,ta'yi'er
塔指,ta'zhi
他知道呢,ta'zhi'dao'ne
太百,tai'bai
太愁了,tai'chou'le
太歹,tai'dai
太歹了,tai'dai'le
太瞌睡,tai'ke'shui
太瞌睡了,tai'ke'shui'le
太可笑,tai'ke'xiao
太可笑了,tai'ke'xiao'le
太来了,tai'lai'le
泰勒找了,tai'le'zhao'le
太骚了,tai'sao'le
太稀罕,tai'xi'han
太稀罕了,tai'xi'han'le
太心疼了,tai'xin'teng'le
太原路,tai'yuan'lu
太贼了,tai'zei'le
太抓,tai'zhua
太抓了,tai'zhua'le
谈的呢,tan'de'ne
探家,tan'jia
谈撒,tan'sa
糖包子,tang'bao'zi
唐布拉,tang'bu'la
躺的呢,tang'de'ne
汤饭,tang'fan
躺哈了,tang'ha'le
躺展,tang'zhan
陶瓷厂,tao'ci'chang
特变,te'bian
特变电,te'bian'dian
特变电工,te'bian'dian'gong
特别歹,te'bie'dai
特别瞌睡,te'bie'ke'shui
特别可笑,te'bie'ke'xiao
特别骚,te'bie'sao
特别特,te'bie'te
特别抓,te'bie'zhua
特歹,te'dai
特警队,te'jing'dui
特克斯,te'ke'si
特克斯县,te'ke'si'xian
特可笑,te'ke'xiao
疼的呢,teng'de'ne
提不成,ti'bu'cheng
提不成了,ti'bu'cheng'le
提不错,ti'bu'cuo
体育馆路,ti'yu'guan'lu
天安名门,tian'an'ming'men
天百,tian'bai
天百名店,tian'bai'ming'dian
天才黑,tian'cai'hei
天池,tian'chi
天池路,tian'chi'lu
天黑了吧,tian'hei'le'ba
天化,tian'hua
天汇,tian'hui
天界丽都,tian'jie'li'du
天津北路,tian'jin'bei'lu
天津路,tian'jin'lu
天康,tian'kang
天邻居,tian'lin'ju
天山,tian'shan
天山大峡谷,tian'shan'da'xia'gu
天山花园,tian'shan'hua'yuan
天山区,tian'shan'qu
天山天池,tian'shan'tian'chi
天山网,tian'shan'wang
天下春,tian'xia'chun
天业,tian'ye
天意达,tian'yi'da
天章大厦,tian'zhang'da'sha
田字路,tian'zi'lu
铁路局,tie'lu'ju
铁路局的,tie'lu'ju'de
铁路局了,tie'lu'ju'le
铁路医院,tie'lu'yi'yuan
铁门关,tie'men'guan
铁三中,tie'san'zhong
挺歹,ting'dai
挺歹的,ting'dai'de
听的呢,ting'de'ne
统管办,tong'guan'ban
通嘉,tong'jia
通嘉世纪城,tong'jia'shi'ji'cheng
统建房,tong'jian'fang
通用厂,tong'yong'chang
头不行,tou'bu'xing
头宫,tou'gong
头区,tou'qu
头屯,tou'tun
头屯河,tou'tun'he
头屯河区,tou'tun'he'qu
头屯街,tou'tun'jie
徒步了,tu'bu'le
吐尔,tu'er
吐尔地,tu'er'di
吐尔洪,tu'er'hong
吐尔逊,tu'er'xun
吐尔逊江,tu'er'xun'jiang
吐哈,tu'ha
土火锅,tu'huo'guo
吐鲁番,tu'lu'fan
吐鲁番的,tu'lu'fan'de
吐鲁番地区,tu'lu'fan'di'qu
吐鲁番了,tu'lu'fan'le
吐鲁番市,tu'lu'fan'shi
突玛丽斯,tu'ma'li'si
图木舒克,tu'mu'shu'ke
图市,tu'shi
团场,tuan'chang
团结路,tuan'jie'lu
团一族,tuan'yi'zu
屯河,tun'he
托海,tuo'hai
托合提,tuo'he'ti
托乎提,tuo'hu'ti
托克逊,tuo'ke'xun
托克逊县,tuo'ke'xun'xian
托里县,tuo'li'xian
托运部,tuo'yun'bu
外环路,wai'huan'lu
外江,wai'jiang
外外外,wai'wai'wai
外运司,wai'yun'si
晚报社,wan'bao'she
玩不哈,wan'bu'ha
玩的呢,wan'de'ne
玩的深,wan'de'shen
玩儿的呢,wan'er'de'ne
玩给,wan'gei
玩脑子,wan'nao'zi
玩撒呢,wan'sa'ne
晚晚的,wan'wan'de
丸子汤,wan'zi'tang
忘掉了,wang'diao'le
往回走的呢,wang'hui'zou'de'ne
王家沟,wang'jia'gou
王家梁,wang'jia'liang
王乐泉,wang'le'quan
王晓玲,wang'xiao'ling
味道江湖,wei'dao'jiang'hu
维汉,wei'han
苇湖梁,wei'hu'liang
苇湖庄,wei'hu'zhuang
未来街市,wei'lai'jie'shi
为怕,wei'pa
为卅,wei'sa
为撒啊,wei'sa'a
为撒呢,wei'sa'ne
为撒是,wei'sa'shi
为撒要,wei'sa'yao
维斯特,wei'si'te
维泰,wei'tai
维泰大厦,wei'tai'da'sha
维文,wei'wen
维稳费,wei'wen'fei
维吾尔,wei'wu'er
维吾尔语,wei'wu'er'yu
维吾尔自治区,wei'wu'er'zi'zhi'qu
维吾尔族,wei'wu'er'zu
威武人,wei'wu'ren
卫星广场,wei'xing'guang'chang
卫星路,wei'xing'lu
维药,wei'yao
维语,wei'yu
维族,wei'zu
维族的,wei'zu'de
维族人,wei'zu'ren
维族舞,wei'zu'wu
问的呢,wen'de'ne
文化厅,wen'hua'ting
文化巷,wen'hua'xiang
问你的呢,wen'ni'de'ne
温泉西路,wen'quan'xi'lu
温泉县,wen'quan'xian
温宿县,wen'su'xian
问我的呢,wen'wo'de'ne
温州街,wen'zhou'jie
我笨得很,wo'ben'de'hen
我本来想的,wo'ben'lai'xiang'de
我比价,wo'bi'jia
卧槽吧,wo'cao'ba
我吃饭的呢,wo'chi'fan'de'ne
我吃撒,wo'chi'sa
我愁的,wo'chou'de
我到房子,wo'dao'fang'zi
我到房子了,wo'dao'fang'zi'le
我懂呢,wo'dong'ne
我都瞌睡,wo'dou'ke'shui
我都瞌睡了,wo'dou'ke'shui'le
我都知道呢,wo'dou'zhi'dao'ne
我烦得很,wo'fan'de'hen
我房子,wo'fang'zi
我干撒,wo'gan'sa
我干撒了,wo'gan'sa'le
我害怕呢,wo'hai'pa'ne
我还想的,wo'hai'xiang'de
我汉族,wo'han'zu
我好的呢,wo'hao'de'ne
我好瞌睡,wo'hao'ke'shui
喔吼,wo'hou
我叫撒,wo'jiao'sa
我就想的,wo'jiu'xiang'de
我看的呢,wo'kan'de'ne
我瞌睡的,wo'ke'shui'de
我可以呢,wo'ke'yi'ne
我快快,wo'kuai'kuai
我快快的,wo'kuai'kuai'de
我来号,wo'lai'hao
我来号了,wo'lai'hao'le
我累的很,wo'lei'de'hen
我理解呢,wo'li'jie'ne
我鲁木齐,wo'lu'mu'qi
我忙的呢,wo'mang'de'ne
我没话了,wo'mei'hua'le
我没撒,wo'mei'sa
我们房子,wo'men'fang'zi
我们社区,wo'men'she'qu
我们新疆,wo'men'xin'jiang
我们院子,wo'men'yuan'zi
我明白呢,wo'ming'bai'ne
我拿上了,wo'na'shang'le
我难受得很,wo'nan'shou'de'hen
我呢么,wo'ne'me
我怕时候,wo'pa'shi'hou
我求知道,wo'qiu'zhi'dao
我去呢,wo'qu'ne
我日吧,wo'ri'ba
我撒都,wo'sa'dou
我撒时候,wo'sa'shi'hou
我上班的呢,wo'shang'ban'de'ne
我上课的呢,wo'shang'ke'de'ne
我是非,wo'shi'fei
我是汉族,wo'shi'han'zu
我是回族,wo'shi'hui'zu
我是新疆,wo'shi'xin'jiang
我是新疆的,wo'shi'xin'jiang'de
我说怕,wo'shuo'pa
我说撒,wo'shuo'sa
我说撒了,wo'shuo'sa'le
我躺的呢,wo'tang'de'ne
我土了,wo'tu'le
我忘掉了,wo'wang'diao'le
我为撒,wo'wei'sa
我无聊的很,wo'wu'liao'de'hen
我乌鲁木齐,wo'wu'lu'mu'qi
我想你得很,wo'xiang'ni'de'hen
我相信呢,wo'xiang'xin'ne
我新疆,wo'xin'jiang
我信呢,wo'xin'ne
我心疼呢,wo'xin'teng'ne
我也瞌睡了,wo'ye'ke'shui'le
我也去呢,wo'ye'qu'ne
我也想吃呢,wo'ye'xiang'chi'ne
我也有呢,wo'ye'you'ne
我也知道呢,wo'ye'zhi'dao'ne
我有点瞌睡了,wo'you'dian'ke'shui'le
我有呢,wo'you'ne
我有撒,wo'you'sa
我咋办呢,wo'za'ban'ne
我咋哭的,wo'za'ku'de
我咋那么,wo'za'na'me
我咋知道呢,wo'za'zhi'dao'ne
我在不想,wo'zai'bu'xiang
我在昌吉,wo'zai'chang'ji
我在房子,wo'zai'fang'zi
我在库尔勒,wo'zai'ku'er'le
我在米泉,wo'zai'mi'quan
我在南湖,wo'zai'nan'hu
我在南门,wo'zai'nan'men
我在社区,wo'zai'she'qu
我在石河子,wo'zai'shi'he'zi
我在铁路局,wo'zai'tie'lu'ju
我在乌鲁木齐,wo'zai'wu'lu'mu'qi
我在乌鲁木齐呢,wo'zai'wu'lu'mu'qi'ne
我在乌市,wo'zai'wu'shi
我在新疆,wo'zai'xin'jiang
我在医学院,wo'zai'yi'xue'yuan
我在友好,wo'zai'you'hao
我真真,wo'zhen'zhen
我真真的,wo'zhen'zhen'de
我真正的,wo'zhen'zheng'de
我知道呢,wo'zhi'dao'ne
五彩滩,wu'cai'tan
五彩湾,wu'cai'wan
乌昌,wu'chang
舞蹈节,wu'dao'jie
乌尔禾,wu'er'he
吾甫尔,wu'fu'er
五附院,wu'fu'yuan
五公斤,wu'gong'jin
五工台,wu'gong'tai
五家渠,wu'jia'qu
五家渠市,wu'jia'qu'shi
乌奎,wu'kui
乌奎高速,wu'kui'gao'su
乌拉白,wu'la'bai
乌拉泊,wu'la'bo
无聊的呢,wu'liao'de'ne
无聊的呀,wu'liao'de'ya
无聊你去,wu'liao'ni'qu
无聊求子的,wu'liao'qiu'zi'de
乌鲁木,wu'lu'mu
乌鲁木齐,wu'lu'mu'qi
乌鲁木齐啊,wu'lu'mu'qi'a
乌鲁木齐吧,wu'lu'mu'qi'ba
乌鲁木齐的,wu'lu'mu'qi'de
乌鲁木齐啦,wu'lu'mu'qi'la
乌鲁木齐来,wu'lu'mu'qi'lai
乌鲁木齐了,wu'lu'mu'qi'le
乌鲁木齐吗,wu'lu'mu'qi'ma
乌鲁木齐那,wu'lu'mu'qi'na
乌鲁木齐呢,wu'lu'mu'qi'ne
乌鲁木齐人,wu'lu'mu'qi'ren
乌鲁木齐市,wu'lu'mu'qi'shi
乌鲁木齐天气,wu'lu'mu'qi'tian'qi
乌鲁木齐晚报,wu'lu'mu'qi'wan'bao
乌鲁木齐网,wu'lu'mu'qi'wang
乌鲁木齐县,wu'lu'mu'qi'xian
乌鲁木齐呀,wu'lu'mu'qi'ya
吾买尔,wu'mai'er
吾买尔江,wu'mai'er'jiang
乌恰,wu'qia
乌恰县,wu'qia'xian
乌市,wu'shi
乌市的,wu'shi'de
乌石化,wu'shi'hua
乌市了,wu'shi'le
乌市呢,wu'shi'ne
乌什县,wu'shi'xian
吾斯曼,wu'si'man
乌苏,wu'su
乌苏市,wu'su'shi
五星北路,wu'xing'bei'lu
五星路,wu'xing'lu
五一农场,wu'yi'nong'chang
五一商场,wu'yi'shang'chang
唔哟,wu'yo
乌职大,wu'zhi'da
五支队,wu'zhi'dui
乌兹别克,wu'zi'bie'ke
西八家户,xi'ba'jia'hu
西八家户路,xi'ba'jia'hu'lu
西北局,xi'bei'ju
西北路,xi'bei'lu
西北路了,xi'bei'lu'le
西北石油局,xi'bei'shi'you'ju
西北一,xi'bei'yi
西部当代,xi'bu'dang'dai
西部管道,xi'bu'guan'dao
西部建设,xi'bu'jian'she
洗车房,xi'che'fang
西大桥,xi'da'qiao
西单商场,xi'dan'shang'chang
洗的呢,xi'de'ne
西尔艾力,xi'er'ai'li
西公园,xi'gong'yuan
稀罕吧,xi'han'ba
稀罕的,xi'han'de
稀罕死了,xi'han'si'le
西河坝,xi'he'ba
西虹东路,xi'hong'dong'lu
西虹路,xi'hong'lu
西虹西路,xi'hong'xi'lu
西后街,xi'hou'jie
喜欢火锅,xi'huan'huo'guo
西辣蛋,xi'la'dan
西热力江,xi're'li'jiang
西山,xi'shan
西山路,xi'shan'lu
西域,xi'yu
洗澡的呢,xi'zao'de'ne
下的呢,xia'de'ne
下河滩,xia'he'tan
峡门子,xia'men'zi
下社区,xia'she'qu
下野地,xia'ye'di
下雨的呢,xia'yu'de'ne
闲的呢,xian'de'ne
闲了说,xian'le'shuo
线路车,xian'lu'che
想吃怕,xiang'chi'pa
想吃撒,xiang'chi'sa
想的呢,xiang'de'ne
乡都,xiang'dou
湘鹅庄,xiang'e'zhuang
想干撒,xiang'gan'sa
香江丽华,xiang'jiang'li'hua
想你的很,xiang'ni'de'hen
想你的呢,xiang'ni'de'ne
祥平,xiang'ping
祥平大厦,xiang'ping'da'sha
想撒的呢,xiang'sa'de'ne
想撒呢,xiang'sa'ne
香十里,xiang'shi'li
想说撒,xiang'shuo'sa
想要撒,xiang'yao'sa
小逼的,xiao'bi'de
小宾馆,xiao'bin'guan
小草湖,xiao'cao'hu
笑的呢,xiao'de'ne
小地磅,xiao'di'bang
小地窝堡,xiao'di'wo'bao
小洞天,xiao'dong'tian
小嘎子,xiao'ga'zi
小河南,xiao'he'nan
肖开提,xiao'kai'ti
小老窖,xiao'lao'jiao
小渠子,xiao'qu'zi
笑撒,xiao'sa
笑撒呢,xiao'sa'ne
小勺子,xiao'shao'zi
小西沟,xiao'xi'gou
小稀罕,xiao'xi'han
小西门,xiao'xi'men
小西门了,xiao'xi'men'le
小心嗯,xiao'xin'en
小心疼,xiao'xin'teng
小羊军团,xiao'yang'jun'tuan
写的呢,xie'de'ne
写撒,xie'sa
心岸,xin'an
新北园春,xin'bei'yuan'chun
新财,xin'cai
新大,xin'da
新大的,xin'da'de
鑫都,xin'dou
新和县,xin'he'xian
新华北路,xin'hua'bei'lu
新华南路,xin'hua'nan'lu
新疆啊,xin'jiang'a
新疆吧,xin'jiang'ba
新疆办,xin'jiang'ban
新疆财经,xin'jiang'cai'jing
新疆财经大学,xin'jiang'cai'jing'da'xue
新疆大学,xin'jiang'da'xue
新疆的,xin'jiang'de
新疆地区,xin'jiang'di'qu
新疆地邪,xin'jiang'di'xie
新疆电视台,xin'jiang'dian'shi'tai
新疆电信,xin'jiang'dian'xin
新疆队,xin'jiang'dui
新疆饭,xin'jiang'fan
新疆分公司,xin'jiang'fen'gong'si
新疆公司,xin'jiang'gong'si
新疆哈密,xin'jiang'ha'mi
新疆好,xin'jiang'hao
新疆话,xin'jiang'hua
新疆教育,xin'jiang'jiao'yu
新疆教育学院,xin'jiang'jiao'yu'xue'yuan
新疆来,xin'jiang'lai
新疆了,xin'jiang'le
新疆吗,xin'jiang'ma
新疆呢,xin'jiang'ne
新疆农业,xin'jiang'nong'ye
新疆农业大学,xin'jiang'nong'ye'da'xue
新疆区,xin'jiang'qu
新疆人才,xin'jiang'ren'cai
新疆人才网,xin'jiang'ren'cai'wang
新疆人民,xin'jiang'ren'min
新疆人事,xin'jiang'ren'shi
新疆日报,xin'jiang'ri'bao
新疆省,xin'jiang'sheng
新疆师范,xin'jiang'shi'fan
新疆师范大学,xin'jiang'shi'fan'da'xue
新疆时间,xin'jiang'shi'jian
新疆特产,xin'jiang'te'chan
新疆维吾尔,xin'jiang'wei'wu'er
新疆乌鲁木齐,xin'jiang'wu'lu'mu'qi
新疆乌鲁木齐市,xin'jiang'wu'lu'mu'qi'shi
新疆呀,xin'jiang'ya
新疆移动,xin'jiang'yi'dong
新疆医科大,xin'jiang'yi'ke'da
新疆医科大学,xin'jiang'yi'ke'da'xue
新疆艺术学院,xin'jiang'yi'shu'xue'yuan
新疆这边,xin'jiang'zhe'bian
新疆职业大学,xin'jiang'zhi'ye'da'xue
新疆自治区,xin'jiang'zi'zhi'qu
新捷,xin'jie
新民路,xin'min'lu
新明路,xin'ming'lu
新农大,xin'nong'da
新师大,xin'shi'da
新市区,xin'shi'qu
新特药,xin'te'yao
新天润,xin'tian'run
新兴街,xin'xing'jie
新医,xin'yi
新医大,xin'yi'da
新医路,xin'yi'lu
新源,xin'yuan
新源县,xin'yuan'xian
新职大,xin'zhi'da
行办,xing'ban
幸福花园,xing'fu'hua'yuan
幸福路,xing'fu'lu
行了怕,xing'le'pa
行了撒,xing'le'sa
行呢,xing'ne
行呢么,xing'ne'me
行呢行呢,xing'ne'xing'ne
羞得很,xiu'de'hen
休息的呢,xiu'xi'de'ne
畜牧基地,xu'mu'ji'di
畜牧厅,xu'mu'ting
喧吧,xuan'ba
喧不成,xuan'bu'cheng
喧的,xuan'de
喧慌,xuan'huang
喧会,xuan'hui
喧一会,xuan'yi'hui
雪白真,xue'bai'zhen
学的呢,xue'de'ne
雪地胎,xue'di'tai
雪菊,xue'ju
学考,xue'kao
雪莲山,xue'lian'shan
雪莲王,xue'lian'wang
学撒,xue'sa
学习的呢,xue'xi'de'ne
巡逻车,xun'luo'che
巡逻队,xun'luo'dui
巡逻了,xun'luo'le
巡逻呢,xun'luo'ne
巡逻员,xun'luo'yuan
亚博会,ya'bo'hui
鸭肠子,ya'chang'zi
压掉,ya'diao
亚力坤,ya'li'kun
亚欧博览会,ya'ou'bo'lan'hui
亚森,ya'sen
雅山,ya'shan
雅山新天地,ya'shan'xin'tian'di
丫头一,ya'tou'yi
丫头子,ya'tou'zi
亚心网,ya'xin'wang
延安路,yan'an'lu
燕儿窝,yan'er'wo
盐湖,yan'hu
焉耆县,yan'qi'xian
羊缸子,yang'gang'zi
阳光绿岛,yang'guang'lv'dao
养路段,yang'lu'duan
羊毛工,yang'mao'gong
羊蹄子,yang'ti'zi
羊娃子,yang'wa'zi
羊脂玉,yang'zhi'yu
扬子江路,yang'zi'jiang'lu
样子有,yang'zi'you
样子有呢,yang'zi'you'ne
药材公司,yao'cai'gong'si
药吃上,yao'chi'shang
要干撒,yao'gan'sa
妖魔山,yao'mo'shan
要撒,yao'sa
要说撒,yao'shuo'sa
叶城,ye'cheng
也对的呢,ye'dui'de'ne
也对呢,ye'dui'ne
叶尔江,ye'er'jiang
叶尔兰,ye'er'lan
也好看呢,ye'hao'kan'ne
夜假,ye'jia
冶建,ye'jian
也可笑,ye'ke'xiao
也可以呢,ye'ke'yi'ne
也没怕,ye'mei'pa
也没撒,ye'mei'sa
野蘑菇,ye'mo'gu
野去了,ye'qu'le
也行呢,ye'xing'ne
也有呢,ye'you'ne
一把子,yi'ba'zi
易办事,yi'ban'shi
一悲剧,yi'bei'ju
一单通,yi'dan'tong
一顿一,yi'dun'yi
一顿子,yi'dun'zi
一房子,yi'fang'zi
一钩子,yi'gou'zi
一号立井,yi'hao'li'jing
怡和山庄,yi'he'shan'zhuang
宜化,yi'hua
一级响应,yi'ji'xiang'ying
亿家,yi'jia
一截子,yi'jie'zi
伊犁,yi'li
伊犁的,yi'li'de
伊力哈木,yi'li'ha'mu
伊犁河,yi'li'he
伊犁了,yi'li'le
伊犁人,yi'li'ren
伊犁师范,yi'li'shi'fan
伊犁师范学院,yi'li'shi'fan'xue'yuan
伊力特,yi'li'te
伊利亚尔,yi'li'ya'er
伊犁州,yi'li'zhou
一蛮,yi'man
一蛮子,yi'man'zi
依米提,yi'mi'ti
伊宁,yi'ning
伊宁路,yi'ning'lu
伊宁市,yi'ning'shi
伊宁县,yi'ning'xian
伊帕尔汗,yi'pa'er'han
一炮成功,yi'pao'cheng'gong
一批次,yi'pi'ci
医务部,yi'wu'bu
伊吾县,yi'wu'xian
医学院,yi'xue'yuan
医学院了,yi'xue'yuan'le
衣讯,yi'xun
一阳,yi'yang
一阳咖啡,yi'yang'ka'fei
医院远,yi'yuan'yuan
一支蒿,yi'zhi'hao
银川路,yin'chuan'lu
迎宾丽舍,ying'bin'li'she
迎宾路,ying'bin'lu
英吉沙,ying'ji'sha
鹰嘴豆,ying'zui'dou
哟喂怕,yo'wei'pa
用的呢,yong'de'ne
永丰乡,yong'feng'xiang
油白菜,you'bai'cai
友好,you'hao
友好吧,you'hao'ba
友好百盛,you'hao'bai'sheng
友好北路,you'hao'bei'lu
友好超市,you'hao'chao'shi
友好店,you'hao'dian
友好花园,you'hao'hua'yuan
友好集团,you'hao'ji'tuan
友好了,you'hao'le
友好路,you'hao'lu
友好南路,you'hao'nan'lu
友好呢,you'hao'ne
友好商场,you'hao'shang'chang
又没撒,you'mei'sa
有没有意思,you'mei'you'yi'si
有呢啊,you'ne'a
有呢吧,you'ne'ba
有呢有呢,you'ne'you'ne
有情后补,you'qing'hou'bu
有球用,you'qiu'yong
有卅,you'sa
有撒的,you'sa'de
有撒关系,you'sa'guan'xi
有撒呢,you'sa'ne
有撒事,you'sa'shi
有撒意思,you'sa'yi'si
有撒用,you'sa'yong
优诗美地,you'shi'mei'di
油塔子,you'ta'zi
有新疆,you'xin'jiang
有样子,you'yang'zi
友谊医院,you'yi'yi'yuan
油运气,you'yun'qi
油运司,you'yun'si
玉店,yu'dian
鱼儿沟,yu'er'gou
尉犁,yu'li
尉犁县,yu'li'xian
语录母乳,yu'lu'mu'ru
语录女,yu'lu'nv
裕民,yu'min
裕民县,yu'min'xian
玉器城,yu'qi'cheng
榆钱,yu'qian
玉山江,yu'shan'jiang
榆树沟,yu'shu'gou
玉素甫,yu'su'fu
玉苏普,yu'su'pu
于田街,yu'tian'jie
御园公馆,yu'yuan'gong'guan
鱼庄,yu'zhuang
远的呢,yuan'de'ne
圆菇,yuan'gu
援疆,yuan'jiang
院子的,yuan'zi'de
跃进街,yue'jin'jie
月明楼,yue'ming'lou
岳普湖,yue'pu'hu
晕的呢,yun'de'ne
运司,yun'si
运校,yun'xiao
咋八一,za'ba'yi
咋办么,za'ban'me
咋办呢,za'ban'ne
咋办呢撒,za'ban'ne'sa
咋回事情,za'hui'shi'qing
咋可能呢,za'ke'neng'ne
咋了撒,za'le'sa
咋了咋了的,za'le'za'le'de
杂么个,za'me'ge
咋呢么,za'ne'me
咋样都,za'yang'dou
咋样都行,za'yang'dou'xing
咋样子,za'yang'zi
在阿克苏,zai'a'ke'su
在八钢,zai'ba'gang
再别,zai'bie
在别说,zai'bie'shuo
在别说了,zai'bie'shuo'le
在博乐,zai'bo'le
再不搞笑,zai'bu'gao'xiao
在不胡说,zai'bu'hu'shuo
在不开玩笑,zai'bu'kai'wan'xiao
再不闹,zai'bu'nao
在不说了,zai'bu'shuo'le
在不提,zai'bu'ti
在不想,zai'bu'xiang
在不要,zai'bu'yao
在不装,zai'bu'zhuang
在昌吉,zai'chang'ji
在大湾,zai'da'wan
在房子,zai'fang'zi
在房子里,zai'fang'zi'li
在房子呢,zai'fang'zi'ne
在富康,zai'fu'kang
在干嘛的呢,zai'gan'ma'de'ne
在干撒,zai'gan'sa
在干撒呢,zai'gan'sa'ne
在哈密,zai'ha'mi
在和田,zai'he'tian
在红山,zai'hong'shan
在华凌,zai'hua'ling
在喀什,zai'ka'shi
在克拉玛依,zai'ke'la'ma'yi
在库尔勒,zai'ku'er'le
在奎屯,zai'kui'tun
在忙撒,zai'mang'sa
在美居,zai'mei'ju
在美美,zai'mei'mei
在米泉,zai'mi'quan
在南湖,zai'nan'hu
在南疆,zai'nan'jiang
在呢边,zai'ne'bian
在内地,zai'nei'di
在鸟市,zai'niao'shi
在沙湾,zai'sha'wan
在社区,zai'she'qu
在石河子,zai'shi'he'zi
在石化,zai'shi'hua
在塔城,zai'ta'cheng
在铁路局,zai'tie'lu'ju
在吐鲁番,zai'tu'lu'fan
在我房子,zai'wo'fang'zi
在五家渠,zai'wu'jia'qu
在乌鲁木齐,zai'wu'lu'mu'qi
在乌鲁木齐呢,zai'wu'lu'mu'qi'ne
在乌市,zai'wu'shi
在西北路,zai'xi'bei'lu
在西山,zai'xi'shan
在小西门,zai'xiao'xi'men
在新大,zai'xin'da
在新疆,zai'xin'jiang
在伊犁,zai'yi'li
在医学院,zai'yi'xue'yuan
在友好,zai'you'hao
在有没有,zai'you'mei'you
在院子,zai'yuan'zi
在咋样,zai'za'yang
赞给,zan'gei
攒劲,zan'jin
脏的很,zang'de'hen
脏娃娃,zang'wa'wa
早的呢,zao'de'ne
早说么,zao'shuo'me
糟蹋人,zao'ta'ren
糟蹋我,zao'ta'wo
早早回,zao'zao'hui
早早回家,zao'zao'hui'jia
早早来,zao'zao'lai
早早说,zao'zao'shuo
咋么个,ze'me'ge
泽普县,ze'pu'xian
贼娃子,zei'wa'zi
扎巴依,zha'ba'yi
扎巴依的春天,zha'ba'yi'de'chun'tian
摘棉花,zhai'mian'hua
站的呢,zhan'de'ne
毡房,zhan'fang
站哨,zhan'shao
占友,zhan'you
张春贤,zhang'chun'xian
招不住,zhao'bu'zhu
找的呢,zhao'de'ne
着急得很,zhao'ji'de'hen
照片撒,zhao'pian'sa
昭苏县,zhao'su'xian
这里是新疆,zhe'li'shi'xin'jiang
这么歹,zhe'me'dai
这么抓,zhe'me'zhua
这是怕,zhe'shi'pa
这是撒,zhe'shi'sa
这娃娃,zhe'wa'wa
这有撒,zhe'you'sa
真歹,zhen'dai
真没撒,zhen'mei'sa
真去呢,zhen'qu'ne
臻味坊,zhen'wei'fang
真有呢,zhen'you'ne
真真的,zhen'zhen'de
挣不上钱,zheng'bu'shang'qian
整给,zheng'gei
挣上钱,zheng'shang'qian
职大,zhi'da
知道呢,zhi'dao'ne
知道撒,zhi'dao'sa
支票头,zhi'piao'tou
职业大学,zhi'ye'da'xue
蜘蛛山,zhi'zhu'shan
众和,zhong'he
中环路,zhong'huan'lu
种牛场,zhong'niu'chang
中盘鸡,zhong'pan'ji
中泉,zhong'quan
中泉广场,zhong'quan'guang'chang
中泰化学,zhong'tai'hua'xue
中午吃撒,zhong'wu'chi'sa
中亚北路,zhong'ya'bei'lu
中央郡,zhong'yang'jun
众志,zhong'zhi
轴承厂,zhou'cheng'chang
州二中,zhou'er'zhong
州一中,zhou'yi'zhong
住的呢,zhu'de'ne
猪姥姥,zhu'lao'lao
竹溪一号,zhu'xi'yi'hao
猪样子,zhu'yang'zi
抓比,zhua'bi
抓饭,zhua'fan
抓上,zhua'shang
抓死了,zhua'si'le
转编,zhuan'bian
砖茶,zhuan'cha
转的呢,zhuan'de'ne
装逼贩子,zhuang'bi'fan'zi
装的呢,zhuang'de'ne
装甲车,zhuang'jia'che
装撒,zhuang'sa
准备回了,zhun'bei'hui'le
准东,zhun'dong
准噶尔,zhun'ga'er
卓记,zhuo'ji
资持,zi'chi
自己房子,zi'ji'fang'zi
紫金长安,zi'jin'chang'an
子校,zi'xiao
自治区,zi'zhi'qu
自治区级,zi'zhi'qu'ji
棕榈园,zong'lv'yuan
走的呢,zou'de'ne
走给,zou'gei
族别,zu'bie
祖卡木,zu'ka'mu
祖丽菲亚,zu'li'fei'ya
组撒的,zu'sa'de
组撒的呢,zu'sa'de'ne
组撒呢,zu'sa'ne
最爱江湖,zui'ai'jiang'hu
嘴淡,zui'dan
座包套,zuo'bao'tao
坐的呢,zuo'de'ne
做汤饭,zuo'tang'fan
作业是撒,zuo'ye'shi'sa
做值日,zuo'zhi'ri
