艾慈灸,ai'ci'jiu
血沉,xue'chen
血管,xue'guan
血管紧张素转化酶,xue'guan'jin'zhang'su'zhuan'hua'mei
血管钳,xue'guan'qian
血管栓塞,xue'guan'shuan'se
血红蛋白,xue'hong'dan'bai
血浆同型半胱氨酸,xue'jiang'tong'xing'ban'guang'an'suan
血浆维生素,xue'jiang'wei'sheng'su
血浆叶酸测定,xue'jiang'ye'suan'ce'ding
血镁,xue'mei
血尿,xue'niao
血皮质醇,xue'pi'zhi'chun
血气分析,xue'qi'fen'xi
血清蛋白电泳,xue'qing'dan'bai'dian'yong
血渗透压,xue'shen'tou'ya
血栓,xue'shuan
血栓栓塞,xue'shuan'shuan'se
血糖,xue'tang
血糖较稳定,xue'tang'jiao'wen'ding
血象高,xue'xiang'gao
血小板,xue'xiao'ban
血小板聚集,xue'xiao'ban'ju'ji
血性痰,xue'xing'tan
血压,xue'ya
血压低,xue'ya'di
血压计,xue'ya'ji
血压较稳定,xue'ya'jiao'wen'ding
血压升高,xue'ya'sheng'gao
血样便,xue'yang'bian
血液,xue'ye
血液隔离,xue'ye'ge'li
血液科,xue'ye'ke
血液性缺氧,xue'ye'xing'que'yang
血液循环,xue'ye'xun'huan
血液循环障碍,xue'ye'xun'huan'zhang'ai
血脂异常,xue'zhi'yi'chang
循环性缺氧,xun'huan'xing'que'yang
荨麻疹,xun'ma'zhen
压疮,ya'chuang
压力,ya'li
压舌板,ya'she'ban
压痛,ya'tong
牙痛,ya'tong
压抑,ya'yi
牙龈,ya'yin
咽充血,yan'chong'xue
眼膏,yan'gao
严格,yan'ge
咽喉痛,yan'hou'tong
眼睑闭合不全约,yan'jian'bi'he'bu'quan'yue
眼睛疲劳,yan'jing'pi'lao
眼科,yan'ke
眼眶痛,yan'kuang'tong
眼裂,yan'lie
眼轮匝肌,yan'lun'za'ji
厌食,yan'shi
盐水,yan'shui
咽无充血,yan'wu'chong'xue
炎症,yan'zheng
严重,yan'zhong
洋地黄中毒,yang'di'huang'zhong'du
氧疗,yang'liao
阳痿,yang'wei
氧中毒,yang'zhong'du
腰部检查,yao'bu'jian'cha
腰穿检查,yao'chuan'jian'cha
摇高床位,yao'gao'chuang'wei
药剂科,yao'ji'ke
药敏,yao'min
药品到货后,yao'pin'dao'huo'hou
要求出院,yao'qiu'chu'yuan
腰痛,yao'tong
药物,yao'wu
药物过敏史,yao'wu'guo'min'shi
摇匀,yao'yun
腰椎穿刺,yao'zhui'chuan'ci
腰椎牵引,yao'zhui'qian'yin
噎膈,ye'ge
夜间多尿,ye'jian'duo'niao
夜间尿频,ye'jian'niao'pin
夜间痛,ye'jian'tong
夜间阵发性呼吸困难,ye'jian'zhen'fa'xing'hu'xi'kun'nan
夜盲,ye'mang
夜尿,ye'niao
液体量,ye'ti'liang
一般健康状况,yi'ban'jian'kang'zhuang'kuang
异常,yi'chang
义齿,yi'chi
乙醇,yi'chun
胰岛素抵抗,yi'dao'su'di'kang
移动性浊音,yi'dong'xing'zhuo'yin
以防,yi'fang
乙肝表面抗原,yi'gan'biao'mian'kang'yuan
乙肝肝硬化,yi'gan'gan'ying'hua
乙肝两对半,yi'gan'liang'dui'ban
易感宿主,yi'gan'su'zhu
胰高糖素,yi'gao'tang'su
医护关系,yi'hu'guan'xi
医患关系,yi'huan'guan'xi
以患者为中心,yi'huan'zhe'wei'zhong'xin
易饥饿,yi'ji'e
一级护理,yi'ji'hu'li
以鉴别,yi'jian'bie
已将,yi'jiang
已将上述意见告知患者,yi'jiang'shang'shu'yi'jian'gao'zhi'huan'zhe
以进一步明确诊断,yi'jin'yi'bu'ming'que'zhen'duan
遗精,yi'jing
抑菌,yi'jun
医疗,yi'liao
以明确病因,yi'ming'que'bing'yin
遗尿,yi'niao
易疲劳,yi'pi'lao
以前额部为主,yi'qian'e'bu'wei'zhu
以上指示遵照执行,yi'shang'zhi'shi'zun'zhao'zhi'xing
医师,yi'shi
意识,yi'shi
意识模糊,yi'shi'mo'hu
意识丧失,yi'shi'sang'shi
意识障碍,yi'shi'zhang'ai
易受刺激,yi'shou'ci'ji
以双下肢较明显,yi'shuang'xia'zhi'jiao'ming'xian
抑酸,yi'suan
义务,yi'wu
异物感,yi'wu'gan
医务股,yi'wu'gu
胰腺,yi'xian
胰腺内分泌功能,yi'xian'nei'fen'mi'gong'neng
已向管教民警告知病情,yi'xiang'guan'jiao'min'jing'gao'zhi'bing'qing
已行,yi'xing
医学,yi'xue
医学院,yi'xue'yuan
一氧化碳中毒,yi'yang'hua'tan'zhong'du
一氧化碳自杀,yi'yang'hua'tan'zi'sha
胰液分泌,yi'ye'fen'mi
已用,yi'yong
已愈,yi'yu
医院,yi'yuan
衣原体,yi'yuan'ti
抑制,yi'zhi
抑制胃酸分泌,yi'zhi'wei'suan'fen'mi
意志消沉,yi'zhi'xiao'chen
一直有,yi'zhi'you
医嘱,yi'zhu
乙状结肠,yi'zhuang'jie'chang
阴道出血,yin'dao'chu'xue
因患者,yin'huan'zhe
引流,yin'liu
阴囊,yin'nang
引起,yin'qi
饮水呛咳,yin'shui'qiang'ke
隐袭,yin'xi
应答切题,ying'da'qie'ti
影像学,ying'xiang'xue
影像中心,ying'xiang'zhong'xin
营养不良,ying'yang'bu'liang
营养良好,ying'yang'liang'hao
营养神经,ying'yang'shen'jing
营养心肌,ying'yang'xin'ji
用法,yong'fa
用量,yong'liang
右侧,you'ce
右侧鼻唇沟变浅,you'ce'bi'chun'gou'bian'qian
右侧鼻唇沟消失,you'ce'bi'chun'gou'xiao'shi
右侧额纹变浅,you'ce'e'wen'bian'qian
右侧额纹消失,you'ce'e'wen'xiao'shi
右侧肢体,you'ce'zhi'ti
有高血压病史,you'gao'xue'ya'bing'shi
油剂,you'ji
有机磷农药中毒,you'ji'lin'nong'yao'zhong'du
有机整体,you'ji'zheng'ti
优泌乐,you'mi'le
右颞部,you'nie'bu
右偏,you'pian
右上肢,you'shang'zhi
右手,you'shou
有痰,you'tan
右下腹疼痛,you'xia'fu'teng'tong
右下肢,you'xia'zhi
右眼,you'yan
右眼裂变大,you'yan'lie'bian'da
预防,yu'fang
预防压疮,yu'fang'ya'chuang
于今日凌晨入院,yu'jin'ri'ling'chen'ru'yuan
于今日上午入院,yu'jin'ri'shang'wu'ru'yuan
于今日晚上入院,yu'jin'ri'wan'shang'ru'yuan
于今日下午入院,yu'jin'ri'xia'wu'ru'yuan
于今日中午入院,yu'jin'ri'zhong'wu'ru'yuan
与体位有明显关系,yu'ti'wei'you'ming'xian'guan'xi
语无伦次,yu'wu'lun'ci
院办,yuan'ban
原发疾病,yuan'fa'ji'bing
原发性肝癌,yuan'fa'xing'gan'ai
院感科,yuan'gan'ke
远视,yuan'shi
原因,yuan'yin
原因不明,yuan'yin'bu'ming
月经,yue'jing
月经过多,yue'jing'guo'duo
月经过少,yue'jing'guo'shao
月前,yue'qian
晕倒在地,yun'dao'zai'di
晕动病,yun'dong'bing
运动神经症状,yun'dong'shen'jing'zheng'zhuang
运动失调,yun'dong'shi'tiao
孕妇,yun'fu
晕厥,yun'jue
运用,yun'yong
再次,zai'ci
在当地门诊输液治疗,zai'dang'di'men'zhen'shu'ye'zhi'liao
再发,zai'fa
再入院,zai'ru'yuan
在我院住院治疗,zai'wo'yuan'zhu'yuan'zhi'liao
载脂蛋白,zai'zhi'dan'bai
暂不同意,zan'bu'tong'yi
暂不诊断,zan'bu'zhen'duan
暂未同意,zan'wei'tong'yi
暂予,zan'yu
脏器出血,zang'qi'chu'xie
早期治疗,zao'qi'zhi'liao
早泄,zao'xie
增加排血量,zeng'jia'pai'xue'liang
粘痰,zhan'tan
谵妄,zhan'wang
振颤,zhen'chan
震颤,zhen'chan
针刺样痛,zhen'ci'yang'tong
震荡,zhen'dang
诊断明确,zhen'duan'ming'que
诊断为,zhen'duan'wei
诊断依据,zhen'duan'yi'ju
诊断证明已开,zhen'duan'zheng'ming'yi'kai
阵发加重,zhen'fa'jia'zhong
阵发性,zhen'fa'xing
阵发性咳嗽,zhen'fa'xing'ke'sou
阵发性室上性心动过速,zhen'fa'xing'shi'shang'xing'xin'dong'guo'su
阵发性疼痛,zhen'fa'xing'teng'tong
枕后,zhen'hou
镇静,zhen'jing
镇静状态,zhen'jing'zhuang'tai
针灸,zhen'jiu
真菌镜检,zhen'jun'jing'jian
正己烷,zheng'ji'wan
蒸馏水,zheng'liu'shui
整体护理,zheng'ti'hu'li
正中神经,zheng'zhong'shen'jing
症状好转,zheng'zhuang'hao'zhuan
症状缓解,zheng'zhuang'huan'jie
症状无好转,zheng'zhuang'wu'hao'zhuan
指鼻试验,zhi'bi'shi'yan
致病,zhi'bing
直肠,zhi'chang
直肠肛门及外生殖器,zhi'chang'gang'men'ji'wai'sheng'zhi'qi
支持治疗,zhi'chi'zhi'liao
肢端明显,zhi'duan'ming'xian
脂肪肝,zhi'fang'gan
脂肪酶,zhi'fang'mei
指尖血糖,zhi'jian'xue'tang
直接胆红素,zhi'jie'dan'hong'su
治疗,zhi'liao
治疗后好转,zhi'liao'hou'hao'zhuan
治疗碗,zhi'liao'wan
治疗效果欠佳,zhi'liao'xiao'guo'qian'jia
治疗有效,zhi'liao'you'xiao
智能减退,zhi'neng'jian'tui
智能明显减退,zhi'neng'ming'xian'jian'tui
智能明显下降,zhi'neng'ming'xian'xia'jiang
支气管哮喘发作,zhi'qi'guan'xiao'chuan'fa'zuo
指示,zhi'shi
指示继续,zhi'shi'ji'xu
肢体抽搐,zhi'ti'chou'chu
肢体乏力,zhi'ti'fa'li
肢体麻木,zhi'ti'ma'mu
肢体瘫痪,zhi'ti'tan'huan
肢体无力,zhi'ti'wu'li
肢体震颤,zhi'ti'zhen'chan
窒息,zhi'xi
止血,zhi'xue
止血带,zhi'xue'dai
支原体,zhi'yuan'ti
中凹卧位,zhong'ao'wo'wei
中等热,zhong'deng're
中度昏迷,zhong'du'hun'mi
重度贫血,zhong'du'pin'xue
中耳炎,zhong'er'yan
中风,zhong'feng
中和胃酸,zhong'he'wei'suan
中流量给氧,zhong'liu'liang'gei'yang
中年男性,zhong'nian'nan'xing
中年女性,zhong'nian'nv'xing
中暑,zhong'shu
中枢安定作用,zhong'shu'an'ding'zuo'yong
中枢性,zhong'shu'xing
中枢镇静作用,zhong'shu'zhen'jing'zuo'yong
中危组,zhong'wei'zu
中心静脉,zhong'xin'jing'mai
中医科,zhong'yi'ke
皱额,zhou'e
周身乏力,zhou'shen'fa'li
周围神经病变,zhou'wei'shen'jing'bing'bian
周围性,zhou'wei'xing
蛀齿,zhu'chi
主观,zhu'guan
主管护师,zhu'guan'hu'shi
主管技师,zhu'guan'ji'shi
逐渐加重,zhu'jian'jia'zhong
主任护师,zhu'ren'hu'shi
主任技师,zhu'ren'ji'shi
主任医师,zhu'ren'yi'shi
侏儒,zhu'ru
注射剂,zhu'she'ji
主诉,zhu'su
注意事项,zhu'yi'shi'xiang
注意休息,zhu'yi'xiu'xi
住院治疗,zhu'yuan'zhi'liao
主治医师,zhu'zhi'yi'shi
转科,zhuan'ke
转肽酶,zhuan'tai'mei
转移性右下腹疼痛,zhuan'yi'xing'you'xia'fu'teng'tong
状态,zhuang'tai
椎管内麻醉,zhui'guan'nei'ma'zui
椎基底动脉,zhui'ji'di'dong'mai
椎基底动脉系统,zhui'ji'di'dong'mai'xi'tong
灼痛,zhuo'tong
浊音界,zhuo'yin'jie
自卑感,zi'bei'gan
自动体位,zi'dong'ti'wei
自发动作,zi'fa'dong'zuo
自发痛,zi'fa'tong
子宫,zi'gong
子宫出血,zi'gong'chu'xie
自汗,zi'han
自我感觉,zi'wo'gan'jue
自行缓解,zi'xing'huan'jie
自行停药,zi'xing'ting'yao
自主神经症状,zi'zhu'shen'jing'zheng'zhuang
自主运动,zi'zhu'yun'dong
总蛋白,zong'dan'bai
总胆红素,zong'dan'hong'su
足底,zu'di
组织性缺氧,zu'zhi'xing'que'yang
最低,zui'di
最高,zui'gao
最适,zui'shi
遵嘱执行,zun'zhu'zhi'xing
左侧鼻唇沟变浅,zuo'ce'bi'chun'gou'bian'qian
左侧鼻唇沟消失,zuo'ce'bi'chun'gou'xiao'shi
左侧额纹变浅,zuo'ce'e'wen'bian'qian
左侧额纹消失,zuo'ce'e'wen'xiao'shi
左侧卧位,zuo'ce'wo'wei
左侧肢体,zuo'ce'zhi'ti
左口角流涎,zuo'kou'jiao'liu'xian
左颞部,zuo'nie'bu
左偏,zuo'pian
昨日下午,zuo'ri'xia'wu
左上腹部疼痛,zuo'shang'fu'bu'teng'tong
左上肢,zuo'shang'zhi
左手,zuo'shou
昨晚再发,zuo'wan'zai'fa
左下腹痛,zuo'xia'fu'tong
左下肢,zuo'xia'zhi
左眼,zuo'yan
左眼裂变大,zuo'yan'lie'bian'da
