阿贝他,a'bei'ta
辽宁大生药业有限公司,liao'ning'da'sheng'yao'ye'you'xian'gong'si
辽宁东方人药业有限公司,liao'ning'dong'fang'ren'yao'ye'you'xian'gong'si
辽宁海神联盛制药有限公司,liao'ning'hai'shen'lian'sheng'zhi'yao'you'xian'gong'si
辽宁好护士集团本溪制药有限公司,liao'ning'hao'hu'shi'ji'tuan'ben'xi'zhi'yao'you'xian'gong'si
辽宁好护士药业集团有限责任公司,liao'ning'hao'hu'shi'yao'ye'ji'tuan'you'xian'ze'ren'gong'si
辽宁华鑫药业有限公司,liao'ning'hua'xin'yao'ye'you'xian'gong'si
辽宁华源本溪三药有限公司,liao'ning'hua'yuan'ben'xi'san'yao'you'xian'gong'si
辽宁济世制药有限公司,liao'ning'ji'shi'zhi'yao'you'xian'gong'si
辽宁康辰药业有限公司,liao'ning'kang'chen'yao'ye'you'xian'gong'si
辽宁康泰药业有限公司,liao'ning'kang'tai'yao'ye'you'xian'gong'si
辽宁绿丹药业有限公司,liao'ning'lv'dan'yao'ye'you'xian'gong'si
辽宁千里明药业集团有限公司,liao'ning'qian'li'ming'yao'ye'ji'tuan'you'xian'gong'si
辽宁天龙药业有限公司,liao'ning'tian'long'yao'ye'you'xian'gong'si
辽宁卫星生物制品研究所有限公司,liao'ning'wei'xing'sheng'wu'zhi'pin'yan'jiu'suo'you'xian'gong'si
辽宁卫星制药厂有限责任公司,liao'ning'wei'xing'zhi'yao'chang'you'xian'ze'ren'gong'si
辽宁先臻制药有限公司,liao'ning'xian'zhen'zhi'yao'you'xian'gong'si
辽宁兴海制药有限公司,liao'ning'xing'hai'zhi'yao'you'xian'gong'si
辽宁一成药业有限公司,liao'ning'yi'cheng'yao'ye'you'xian'gong'si
辽宁玉皇药业有限公司,liao'ning'yu'huang'yao'ye'you'xian'gong'si
辽沙,liao'sha
辽源市迪康药业有限责任公司,liao'yuan'shi'di'kang'yao'ye'you'xian'ze'ren'gong'si
辽源誉隆亚东药业有限责任公司,liao'yuan'yu'long'ya'dong'yao'ye'you'xian'ze'ren'gong'si
列洛,lie'luo
临汾宝珠制药有限公司,lin'fen'bao'zhu'zhi'yao'you'xian'gong'si
膦甲酸钠氯化钠注射液,lin'jia'suan'na'lv'hua'na'zhu'she'ye
膦甲酸钠乳膏,lin'jia'suan'na'ru'gao
临江市宏大药业有限公司,lin'jiang'shi'hong'da'yao'ye'you'xian'gong'si
林可宏,lin'ke'hong
林可佳,lin'ke'jia
林可霉素利多卡因凝胶,lin'ke'mei'su'li'duo'ka'yin'ning'jiao
林可舒,lin'ke'shu
磷霉素氨丁三醇颗粒,lin'mei'su'an'ding'san'chun'ke'li
磷霉素钙甲氧苄啶胶囊,lin'mei'su'gai'jia'yang'bian'ding'jiao'nang
磷霉素钙胶囊,lin'mei'su'gai'jiao'nang
磷霉素钙颗粒,lin'mei'su'gai'ke'li
林青,lin'qing
磷酸奥司他韦胶囊,lin'suan'ao'si'ta'wei'jiao'nang
磷酸苯丙哌林分散片,lin'suan'ben'bing'pai'lin'fen'san'pian
磷酸苯丙哌林颗粒,lin'suan'ben'bing'pai'lin'ke'li
磷酸苯丙哌林片,lin'suan'ben'bing'pai'lin'pian
磷酸苯丙哌林片糖衣,lin'suan'ben'bing'pai'lin'pian'tang'yi
磷酸吡哆醛丁咯地尔胶囊,lin'suan'bi'duo'quan'ding'ge'di'er'jiao'nang
磷酸川芎嗪滴丸,lin'suan'chuan'xiong'qin'di'wan
磷酸川芎嗪氯化钠注射液,lin'suan'chuan'xiong'qin'lv'hua'na'zhu'she'ye
磷酸川芎嗪片,lin'suan'chuan'xiong'qin'pian
磷酸川芎嗪片糖衣,lin'suan'chuan'xiong'qin'pian'tang'yi
磷酸川芎嗪葡萄糖注射液,lin'suan'chuan'xiong'qin'pu'tao'tang'zhu'she'ye
磷酸川芎嗪注射液,lin'suan'chuan'xiong'qin'zhu'she'ye
磷酸铝凝胶,lin'suan'lv'ning'jiao
磷酸钠盐灌肠液,lin'suan'na'yan'guan'chang'ye
磷酸钠盐口服溶液,lin'suan'na'yan'kou'fu'rong'ye
林希,lin'xi
林州市大众药业有限公司,lin'zhou'shi'da'zhong'yao'ye'you'xian'gong'si
林州市光华药业有限公司,lin'zhou'shi'guang'hua'yao'ye'you'xian'gong'si
灵孢多糖注射液,ling'bao'duo'tang'zhu'she'ye
灵宝护心丹,ling'bao'hu'xin'dan
灵宝市豫西药业有限责任公司,ling'bao'shi'yu'xi'yao'ye'you'xian'ze'ren'gong'si
羚贝止咳糖浆,ling'bei'zhi'ke'tang'jiang
灵博康,ling'bo'kang
灵辰功,ling'chen'gong
灵迪,ling'di
灵尔彤,ling'er'tong
羚黄氨咖敏片,ling'huang'an'ka'min'pian
灵佳嗪,ling'jia'qin
灵健咛,ling'jian'ning
铃兰欣,ling'lan'xin
苓麦消食颗粒,ling'mai'xiao'shi'ke'li
灵芪加口服液,ling'qi'jia'kou'fu'ye
羚翘解毒丸大蜜丸,ling'qiao'jie'du'wan'da'mi'wan
灵仙跌打片糖衣,ling'xian'die'da'pian'tang'yi
羚羊感冒胶囊,ling'yang'gan'mao'jiao'nang
羚羊感冒口服液,ling'yang'gan'mao'kou'fu'ye
羚羊感冒片糖衣,ling'yang'gan'mao'pian'tang'yi
灵芝胶囊,ling'zhi'jiao'nang
灵芝菌片,ling'zhi'jun'pian
灵芝口服液,ling'zhi'kou'fu'ye
灵芝片,ling'zhi'pian
灵芝糖浆,ling'zhi'tang'jiang
柳胺酚胶囊,liu'an'fen'jiao'nang
柳氮磺吡啶片肠溶糖衣,liu'dan'huang'bi'ding'pian'chang'rong'tang'yi
六和茶,liu'he'cha
柳河方大制药有限公司,liu'he'fang'da'zhi'yao'you'xian'gong'si
流浸膏剂,liu'jin'gao'ji
六经头痛片,liu'jing'tou'tong'pian
六君子丸水丸,liu'jun'zi'wan'shui'wan
硫鸟嘌呤片,liu'niao'piao'ling'pian
留普安,liu'pu'an
硫普罗宁肠溶片,liu'pu'luo'ning'chang'rong'pian
硫普罗宁注射液,liu'pu'luo'ning'zhu'she'ye
硫酸阿米卡星注射液,liu'suan'a'mi'ka'xing'zhu'she'ye
硫酸阿托品眼用凝胶,liu'suan'a'tuo'pin'yan'yong'ning'jiao
硫酸阿托品注射液,liu'suan'a'tuo'pin'zhu'she'ye
硫酸氨基葡萄糖钾胶囊,liu'suan'an'ji'pu'tao'tang'jia'jiao'nang
硫酸氨基葡萄糖胶囊,liu'suan'an'ji'pu'tao'tang'jiao'nang
硫酸氨基葡萄糖片,liu'suan'an'ji'pu'tao'tang'pian
硫酸核糖霉素注射液,liu'suan'he'tang'mei'su'zhu'she'ye
硫酸卡那霉素滴眼液,liu'suan'ka'na'mei'su'di'yan'ye
硫酸氯吡格雷片,liu'suan'lv'bi'ge'lei'pian
硫酸镁注射液,liu'suan'mei'zhu'she'ye
硫酸奈替米星葡萄糖注射液,liu'suan'nai'ti'mi'xing'pu'tao'tang'zhu'she'ye
硫酸奈替米星注射液,liu'suan'nai'ti'mi'xing'zhu'she'ye
硫酸羟氯喹片,liu'suan'qiang'lv'kui'pian
硫酸羟氯喹片薄膜衣,liu'suan'qiang'lv'kui'pian'bo'mo'yi
硫酸庆大霉素缓释片,liu'suan'qing'da'mei'su'huan'shi'pian
硫酸庆大霉素颗粒,liu'suan'qing'da'mei'su'ke'li
硫酸庆大霉素片,liu'suan'qing'da'mei'su'pian
硫酸庆大霉素片糖衣,liu'suan'qing'da'mei'su'pian'tang'yi
硫酸庆大霉素注射液,liu'suan'qing'da'mei'su'zhu'she'ye
硫酸氢氯吡格雷片,liu'suan'qing'lv'bi'ge'lei'pian
硫酸氢氯吡格雷片薄膜衣,liu'suan'qing'lv'bi'ge'lei'pian'bo'mo'yi
硫酸软骨素滴眼液,liu'suan'ruan'gu'su'di'yan'ye
硫酸软骨素片,liu'suan'ruan'gu'su'pian
硫酸软骨素注射液,liu'suan'ruan'gu'su'zhu'she'ye
硫酸沙丁胺醇缓释胶囊,liu'suan'sha'ding'an'chun'huan'shi'jiao'nang
硫酸沙丁胺醇缓释片,liu'suan'sha'ding'an'chun'huan'shi'pian
硫酸沙丁胺醇片,liu'suan'sha'ding'an'chun'pian
硫酸沙丁胺醇雾化吸入溶液,liu'suan'sha'ding'an'chun'wu'hua'xi'ru'rong'ye
硫酸沙丁胺醇吸入气雾剂,liu'suan'sha'ding'an'chun'xi'ru'qi'wu'ji
硫酸四氢帕马丁注射液,liu'suan'si'qing'pa'ma'ding'zhu'she'ye
硫酸特布他林氯化钠注射液,liu'suan'te'bu'ta'lin'lv'hua'na'zhu'she'ye
硫酸特布他林片,liu'suan'te'bu'ta'lin'pian
硫酸特布他林气雾剂,liu'suan'te'bu'ta'lin'qi'wu'ji
硫酸特布他林雾化溶液,liu'suan'te'bu'ta'lin'wu'hua'rong'ye
硫酸特布他林注射液,liu'suan'te'bu'ta'lin'zhu'she'ye
硫酸妥布霉素注射液,liu'suan'tuo'bu'mei'su'zhu'she'ye
硫酸西索米星氯化钠注射液,liu'suan'xi'suo'mi'xing'lv'hua'na'zhu'she'ye
硫酸西索米星注射液,liu'suan'xi'suo'mi'xing'zhu'she'ye
硫酸小诺霉素滴眼液,liu'suan'xiao'nuo'mei'su'di'yan'ye
硫酸小诺霉素氯化钠注射液,liu'suan'xiao'nuo'mei'su'lv'hua'na'zhu'she'ye
硫酸小诺霉素注射液,liu'suan'xiao'nuo'mei'su'zhu'she'ye
硫酸锌尿囊素滴眼液,liu'suan'xin'niao'nang'su'di'yan'ye
硫酸锌片,liu'suan'xin'pian
硫酸异帕米星注射液,liu'suan'yi'pa'mi'xing'zhu'she'ye
硫酸依替米星氯化钠注射液,liu'suan'yi'ti'mi'xing'lv'hua'na'zhu'she'ye
硫酸依替米星注射液,liu'suan'yi'ti'mi'xing'zhu'she'ye
硫酸鱼精蛋白注射液,liu'suan'yu'jing'dan'bai'zhu'she'ye
硫糖铝混悬液,liu'tang'lv'hun'xuan'ye
硫糖铝胶囊,liu'tang'lv'jiao'nang
硫糖铝咀嚼片,liu'tang'lv'ju'jue'pian
硫糖铝小檗碱片糖衣,liu'tang'lv'xiao'bo'jian'pian'tang'yi
硫糖铝悬胶剂,liu'tang'lv'xuan'jiao'ji
六味安消胶囊,liu'wei'an'xiao'jiao'nang
六味安消散,liu'wei'an'xiao'san
六味地黄滴丸,liu'wei'di'huang'di'wan
六味地黄胶囊,liu'wei'di'huang'jiao'nang
六味地黄口服液,liu'wei'di'huang'kou'fu'ye
六味地黄口服液无糖型,liu'wei'di'huang'kou'fu'ye'wu'tang'xing
六味地黄软胶囊,liu'wei'di'huang'ruan'jiao'nang
六味地黄丸,liu'wei'di'huang'wan
六味地黄丸大蜜丸,liu'wei'di'huang'wan'da'mi'wan
六味地黄丸浓缩丸,liu'wei'di'huang'wan'nong'suo'wan
六味地黄丸水蜜丸,liu'wei'di'huang'wan'shui'mi'wan
六味地黄丸小蜜丸,liu'wei'di'huang'wan'xiao'mi'wan
六维胶丸,liu'wei'jiao'wan
六味木香胶囊,liu'wei'mu'xiang'jiao'nang
六味能消胶囊,liu'wei'neng'xiao'jiao'nang
六味能消丸水丸,liu'wei'neng'xiao'wan'shui'wan
六味生脉片糖衣,liu'wei'sheng'mai'pian'tang'yi
六味五灵片薄膜衣,liu'wei'wu'ling'pian'bo'mo'yi
六味壮骨颗粒,liu'wei'zhuang'gu'ke'li
留欣,liu'xin
硫辛酸注射液,liu'xin'suan'zhu'she'ye
硫唑嘌呤片,liu'zuo'piao'ling'pian
龙百利,long'bai'li
癃闭舒胶囊,long'bi'shu'jiao'nang
癃闭舒片薄膜衣,long'bi'shu'pian'bo'mo'yi
龙胆泻肝胶囊,long'dan'xie'gan'jiao'nang
龙胆泻肝软胶囊,long'dan'xie'gan'ruan'jiao'nang
龙胆泻肝丸水丸,long'dan'xie'gan'wan'shui'wan
龙灯胶囊,long'deng'jiao'nang
龙凤宝片薄膜衣,long'feng'bao'pian'bo'mo'yi
隆格先,long'ge'xian
龙化素,long'hua'su
陇马陆胃药片糖衣,long'ma'lu'wei'yao'pian'tang'yi
龙牡壮骨颗粒,long'mu'zhuang'gu'ke'li
龙芪溶栓胶囊,long'qi'rong'shuan'jiao'nang
龙七胃康片,long'qi'wei'kang'pian
癃清胶囊,long'qing'jiao'nang
癃清片薄膜衣,long'qing'pian'bo'mo'yi
龙生蛭胶囊,long'sheng'zhi'jiao'nang
隆通,long'tong
隆祥,long'xiang
龙鑫甘,long'xin'gan
隆欣宁,long'xin'ning
龙心素胶囊,long'xin'su'jiao'nang
龙血竭肠溶片,long'xue'jie'chang'rong'pian
龙血竭含片,long'xue'jie'han'pian
龙血竭胶囊,long'xue'jie'jiao'nang
龙月,long'yue
龙珠软膏,long'zhu'ruan'gao
六安华源制药有限公司,lu'an'hua'yuan'zhi'yao'you'xian'gong'si
鲁贝,lu'bei
卢必安,lu'bi'an
鹿鞭补酒,lu'bian'bu'jiu
鹿鞭回春胶囊,lu'bian'hui'chun'jiao'nang
露畅,lu'chang
路成,lu'cheng
路迪,lu'di
路滴美,lu'di'mei
芦丁片,lu'ding'pian
路盖克,lu'gai'ke
鹿瓜多肽注射液,lu'gua'duo'tai'zhu'she'ye
六合定中丸水丸,lu'he'ding'zhong'wan'shui'wan
鹿精培元胶囊,lu'jing'pei'yuan'jiao'nang
路路通注射液,lu'lu'tong'zhu'she'ye
卢美根,lu'mei'gen
卤米松乳膏,lu'mi'song'ru'gao
卤米松三氯生乳膏,lu'mi'song'san'lv'sheng'ru'gao
鲁南贝特,lu'nan'bei'te
鲁南贝特制药有限公司,lu'nan'bei'te'zhi'yao'you'xian'gong'si
鲁南厚普制药有限公司,lu'nan'hou'pu'zhi'yao'you'xian'gong'si
鲁南力康,lu'nan'li'kang
露奇,lu'qi
鹿茸精注射液,lu'rong'jing'zhu'she'ye
鹿茸口服液,lu'rong'kou'fu'ye
鹿首安神颗粒,lu'shou'an'shen'ke'li
路斯开,lu'si'kai
路思齐,lu'si'qi
鹿胎膏,lu'tai'gao
鹿胎颗粒,lu'tai'ke'li
路维芬,lu'wei'fen
路维森,lu'wei'sen
路维彤,lu'wei'tong
路仙同,lu'xian'tong
路新安,lu'xin'an
路优泰,lu'you'tai
卵磷脂络合碘片糖衣,luan'lin'zhi'luo'he'dian'pian'tang'yi
卵磷脂片薄膜衣,luan'lin'zhi'pian'bo'mo'yi
络德,luo'de
罗迪尔,luo'di'er
洛度沙胺滴眼液,luo'du'sha'an'di'yan'ye
洛恩,luo'en
洛伐他汀胶囊,luo'fa'ta'ting'jiao'nang
洛伐他汀颗粒,luo'fa'ta'ting'ke'li
洛伐他汀片,luo'fa'ta'ting'pian
洛菲,luo'fei
洛芬待因缓释片,luo'fen'dai'yin'huan'shi'pian
洛芬待因片薄膜衣,luo'fen'dai'yin'pian'bo'mo'yi
洛芬葡锌那敏片,luo'fen'pu'xin'na'min'pian
罗盖全,luo'gai'quan
洛格乐,luo'ge'le
罗格列酮钠片,luo'ge'lie'tong'na'pian
罗格列酮片薄膜衣,luo'ge'lie'tong'pian'bo'mo'yi
罗浩,luo'hao
漯河南街村全威制药股份有限公司,luo'he'nan'jie'cun'quan'wei'zhi'yao'gu'fen'you'xian'gong'si
漯河南街村全威制药有限公司,luo'he'nan'jie'cun'quan'wei'zhi'yao'you'xian'gong'si
罗红霉素分散片,luo'hong'mei'su'fen'san'pian
罗红霉素干混悬剂,luo'hong'mei'su'gan'hun'xuan'ji
罗红霉素缓释胶囊,luo'hong'mei'su'huan'shi'jiao'nang
罗红霉素缓释片,luo'hong'mei'su'huan'shi'pian
罗红霉素胶囊,luo'hong'mei'su'jiao'nang
罗红霉素颗粒,luo'hong'mei'su'ke'li
罗红霉素片,luo'hong'mei'su'pian
罗红霉素片薄膜衣,luo'hong'mei'su'pian'bo'mo'yi
罗红霉素细粒剂,luo'hong'mei'su'xi'li'ji
落花参片,luo'hua'can'pian
裸花紫珠胶囊,luo'hua'zi'zhu'jiao'nang
裸花紫珠颗粒,luo'hua'zi'zhu'ke'li
裸花紫珠片薄膜衣,luo'hua'zi'zhu'pian'bo'mo'yi
络活喜,luo'huo'xi
洛吉,luo'ji
罗君青,luo'jun'qing
洛凯,luo'kai
罗可曼,luo'ke'man
罗可辛,luo'ke'xin
罗库溴铵注射液,luo'ku'xiu'an'zhu'she'ye
罗兰丝,luo'lan'si
洛利,luo'li
罗立萨,luo'li'sa
洛列通,luo'lie'tong
络林,luo'lin
罗迈新,luo'mai'xin
罗美达,luo'mei'da
罗每乐,luo'mei'le
洛米克思,luo'mi'ke'si
洛莫司汀胶囊,luo'mo'si'ting'jiao'nang
洛那,luo'na
螺内酯胶囊,luo'nei'zhi'jiao'nang
螺内酯片,luo'nei'zhi'pian
罗普,luo'pu
洛普佳,luo'pu'jia
落普思,luo'pu'si
洛普欣,luo'pu'xin
罗瑞,luo'rui
洛赛克,luo'sai'ke
罗施立,luo'shi'li
络闩昕,luo'shuan'xin
洛斯宝,luo'si'bao
罗斯特,luo'si'te
洛索洛芬钠胶囊,luo'suo'luo'fen'na'jiao'nang
洛索洛芬钠颗粒,luo'suo'luo'fen'na'ke'li
洛索洛芬钠片,luo'suo'luo'fen'na'pian
洛索洛芬钠片薄膜衣,luo'suo'luo'fen'na'pian'bo'mo'yi
络泰,luo'tai
洛唐,luo'tang
罗亭,luo'ting
洛汀新,luo'ting'xin
洛威,luo'wei
洛沃克,luo'wo'ke
罗西维林片薄膜衣,luo'xi'wei'lin'pian'bo'mo'yi
洛欣,luo'xin
络欣,luo'xin
罗欣威,luo'xin'wei
罗欣严达,luo'xin'yan'da
螺旋藻胶囊,luo'xuan'zao'jiao'nang
洛雅,luo'ya
洛阳君山制药有限公司,luo'yang'jun'shan'zhi'yao'you'xian'gong'si
洛阳顺势药业有限公司,luo'yang'shun'shi'yao'ye'you'xian'gong'si
洛阳新春都生物制药有限公司,luo'yang'xin'chun'dou'sheng'wu'zhi'yao'you'xian'gong'si
洛意,luo'yi
罗逸,luo'yi
络瘀通胶囊,luo'yu'tong'jiao'nang
绿安,lv'an
绿参安,lv'can'an
氯氮平片,lv'dan'ping'pian
律定方,lv'ding'fang
氯芬黄敏片糖衣,lv'fen'huang'min'pian'tang'yi
绿甘安,lv'gan'an
氯化琥珀胆碱注射液,lv'hua'hu'po'dan'jian'zhu'she'ye
氯化钾缓释片,lv'hua'jia'huan'shi'pian
氯化钾片,lv'hua'jia'pian
氯化钾葡萄糖注射液,lv'hua'jia'pu'tao'tang'zhu'she'ye
氯化钾注射液,lv'hua'jia'zhu'she'ye
氯化钠注射液,lv'hua'na'zhu'she'ye
氯解磷定注射液,lv'jie'lin'ding'zhu'she'ye
律康,lv'kang
氯喹那多普罗雌烯阴道片,lv'kui'na'duo'pu'luo'ci'xi'yin'dao'pian
氯雷他定分散片,lv'lei'ta'ding'fen'san'pian
氯雷他定胶囊,lv'lei'ta'ding'jiao'nang
氯雷他定咀嚼片,lv'lei'ta'ding'ju'jue'pian
氯雷他定颗粒,lv'lei'ta'ding'ke'li
氯雷他定片,lv'lei'ta'ding'pian
氯雷他定糖浆,lv'lei'ta'ding'tang'jiang
氯雷伪麻缓释片,lv'lei'wei'ma'huan'shi'pian
氯膦酸二钠胶囊,lv'lin'suan'er'na'jiao'nang
氯膦酸二钠注射液,lv'lin'suan'er'na'zhu'she'ye
铝镁加混悬液,lv'mei'jia'hun'xuan'ye
铝镁司片,lv'mei'si'pian
氯霉素滴眼液,lv'mei'su'di'yan'ye
氯霉素片糖衣,lv'mei'su'pian'tang'yi
氯霉素阴道软胶囊,lv'mei'su'yin'dao'ruan'jiao'nang
氯美扎酮片,lv'mei'zha'tong'pian
绿萌,lv'meng
绿慕安,lv'mu'an
铝钠颠茄片,lv'na'dian'qie'pian
绿脓杆菌制剂,lv'nong'gan'jun'zhi'ji
氯诺昔康片薄膜衣,lv'nuo'xi'kang'pian'bo'mo'yi
氯普噻吨片,lv'pu'sai'dun'pian
氯普噻吨片糖衣,lv'pu'sai'dun'pian'tang'yi
氯沙坦钾片,lv'sha'tan'jia'pian
氯沙坦钾片薄膜衣,lv'sha'tan'jia'pian'bo'mo'yi
氯沙坦钾氢氯噻嗪片,lv'sha'tan'jia'qing'lv'sai'qin'pian
氯沙坦钾氢氯噻嗪片薄膜衣,lv'sha'tan'jia'qing'lv'sai'qin'pian'bo'mo'yi
绿十字中国生物制品有限公司,lv'shi'zi'zhong'guo'sheng'wu'zhi'pin'you'xian'gong'si
铝碳酸镁咀嚼片,lv'tan'suan'mei'ju'jue'pian
铝碳酸镁片,lv'tan'suan'mei'pian
绿汀诺,lv'ting'nuo
绿支安,lv'zhi'an
氯唑沙宗片,lv'zuo'sha'zong'pian
马鞍山神鹿科瑞药业有限公司,ma'an'shan'shen'lu'ke'rui'yao'ye'you'xian'gong'si
马伯龙,ma'bo'long
吗丁啉,ma'ding'lin
妈富隆,ma'fu'long
马根维显,ma'gen'wei'xian
马来酸氨氯地平片,ma'lai'suan'an'lv'di'ping'pian
马来酸氨氯地平片薄膜衣,ma'lai'suan'an'lv'di'ping'pian'bo'mo'yi
马来酸多潘立酮片,ma'lai'suan'duo'pan'li'tong'pian
马来酸非尼拉敏盐酸萘甲唑啉滴眼液,ma'lai'suan'fei'ni'la'min'yan'suan'nai'jia'zuo'lin'di'yan'ye
马来酸氟伏沙明片,ma'lai'suan'fu'fu'sha'ming'pian
马来酸氟伏沙明片薄膜衣,ma'lai'suan'fu'fu'sha'ming'pian'bo'mo'yi
马来酸桂哌齐特注射液,ma'lai'suan'gui'pai'qi'te'zhu'she'ye
马来酸罗格列酮片薄膜衣,ma'lai'suan'luo'ge'lie'tong'pian'bo'mo'yi
马来酸氯苯那敏片,ma'lai'suan'lv'ben'na'min'pian
马来酸曲美布汀分散片,ma'lai'suan'qu'mei'bu'ting'fen'san'pian
马来酸曲美布汀胶囊,ma'lai'suan'qu'mei'bu'ting'jiao'nang
马来酸曲美布汀片薄膜衣,ma'lai'suan'qu'mei'bu'ting'pian'bo'mo'yi
马来酸噻吗洛尔滴眼液,ma'lai'suan'sai'ma'luo'er'di'yan'ye
马来酸替加色罗片,ma'lai'suan'ti'jia'se'luo'pian
马来酸依那普利分散片,ma'lai'suan'yi'na'pu'li'fen'san'pian
马来酸依那普利胶囊,ma'lai'suan'yi'na'pu'li'jiao'nang
马来酸依那普利片,ma'lai'suan'yi'na'pu'li'pian
马来酸左旋氨氯地平片,ma'lai'suan'zuo'xuan'an'lv'di'ping'pian
马栗种子提取物片薄膜衣,ma'li'zhong'zi'ti'qu'wu'pian'bo'mo'yi
马蔺子素胶囊,ma'lin'zi'su'jiao'nang
马洛替酯片薄膜衣,ma'luo'ti'zhi'pian'bo'mo'yi
吗氯贝胺片,ma'lv'bei'an'pian
妈咪爱,ma'mi'ai
麻仁软胶囊,ma'ren'ruan'jiao'nang
麻仁润肠丸大蜜丸,ma'ren'run'chang'wan'da'mi'wan
麻仁滋脾丸大蜜丸,ma'ren'zi'pi'wan'da'mi'wan
马沙尼,ma'sha'ni
马斯平,ma'si'ping
吗替麦考酚酯分散片,ma'ti'mai'kao'fen'zhi'fen'san'pian
吗替麦考酚酯胶囊,ma'ti'mai'kao'fen'zhi'jiao'nang
麻杏甘石软胶囊,ma'xing'gan'shi'ruan'jiao'nang
马应龙八宝眼膏,ma'ying'long'ba'bao'yan'gao
马应龙麝香痔疮膏,ma'ying'long'she'xiang'zhi'chuang'gao
麦安,mai'an
脉安颗粒,mai'an'ke'li
麦当乳通颗粒,mai'dang'ru'tong'ke'li
麦道必,mai'dao'bi
麦道福慷,mai'dao'fu'kang
麦迪霉素片,mai'di'mei'su'pian
麦迪霉素片薄膜衣,mai'di'mei'su'pian'bo'mo'yi
麦丁昕,mai'ding'xin
迈而,mai'er
麦芙欣,mai'fu'xin
迈格尔,mai'ge'er
脉管复康胶囊,mai'guan'fu'kang'jiao'nang
脉管复康片薄膜衣,mai'guan'fu'kang'pian'bo'mo'yi
脉管复康片糖衣,mai'guan'fu'kang'pian'tang'yi
唛吉沥,mai'ji'li
麦角隐亭咖啡因口服液,mai'jiao'yin'ting'ka'fei'yin'kou'fu'ye
麦角隐亭咖啡因片,mai'jiao'yin'ting'ka'fei'yin'pian
唛金沥,mai'jin'li
迈卡希,mai'ka'xi
脉康合剂,mai'kang'he'ji
迈可达,mai'ke'da
麦克罗辛,mai'ke'luo'xin
迈可抒,mai'ke'shu
麦利平,mai'li'ping
迈力普,mai'li'pu
麦林格,mai'lin'ge
脉络宁颗粒,mai'luo'ning'ke'li
脉络宁注射液,mai'luo'ning'zhu'she'ye
脉络舒通颗粒,mai'luo'shu'tong'ke'li
脉络通胶囊,mai'luo'tong'jiao'nang
脉络通颗粒,mai'luo'tong'ke'li
脉络通片,mai'luo'tong'pian
脉络通片糖衣,mai'luo'tong'pian'tang'yi
麦咪诺,mai'mi'nuo
脉平片,mai'ping'pian
脉平片薄膜衣,mai'ping'pian'bo'mo'yi
麦普宁,mai'pu'ning
迈普新,mai'pu'xin
麦全冬定,mai'quan'dong'ding
迈瑞宁,mai'rui'ning
麦瑞缘,mai'rui'yuan
迈特令,mai'te'ling
迈同,mai'tong
麦通纳,mai'tong'na
麦味地黄口服液,mai'wei'di'huang'kou'fu'ye
麦味地黄口服液无糖型,mai'wei'di'huang'kou'fu'ye'wu'tang'xing
麦味地黄丸大蜜丸,mai'wei'di'huang'wan'da'mi'wan
麦味地黄丸浓缩丸,mai'wei'di'huang'wan'nong'suo'wan
迈韦斯,mai'wei'si
霡欣,mai'xin
唛欣沥,mai'xin'li
脉血康胶囊,mai'xue'kang'jiao'nang
迈之灵,mai'zhi'ling
迈之灵糖衣,mai'zhi'ling'tang'yi
麦滋林,mai'zi'lin
蔓迪,man'di
慢肝解郁胶囊,man'gan'jie'yu'jiao'nang
慢肝宁胶囊,man'gan'ning'jiao'nang
慢肝养阴胶囊,man'gan'yang'yin'jiao'nang
曼宁,man'ning
曼普斯同,man'pu'si'tong
曼奇,man'qi
曼舒林,man'shu'lin
毛冬青注射液,mao'dong'qing'zhu'she'ye
茂欣,mao'xin
美安,mei'an
美百乐镇,mei'bai'le'zhen
美常安,mei'chang'an
美迪康,mei'di'kang
美狄克,mei'di'ke
美地兰,mei'di'lan
美地林,mei'di'lin
美多芭,mei'duo'ba
美多丽,mei'duo'li
美多瑞,mei'duo'rui
美尔凯,mei'er'kai
美尔同,mei'er'tong
美丰,mei'feng
美风,mei'feng
美扶,mei'fu
美伏明滴眼液,mei'fu'ming'di'yan'ye
美国爱尔康眼药厂比利时分厂,mei'guo'ai'er'kang'yan'yao'chang'bi'li'shi'fen'chang
美国百时美施贵宝公司,mei'guo'bai'shi'mei'shi'gui'bao'gong'si
美国惠氏艾尔斯特制药有限公司,mei'guo'hui'shi'ai'er'si'te'zhi'yao'you'xian'gong'si
美国礼来公司,mei'guo'li'lai'gong'si
美国马林克罗制药公司国药集团北京顺义分公司分装,mei'guo'ma'lin'ke'luo'zhi'yao'gong'si'guo'yao'ji'tuan'bei'jing'shun'yi'fen'gong'si'fen'zhuang
美国默克公司杭州默沙东分装,mei'guo'mo'ke'gong'si'hang'zhou'mo'sha'dong'fen'zhuang
美国西尔达药厂波多黎各分厂辉瑞制药公司分装,mei'guo'xi'er'da'yao'chang'bo'duo'li'ge'fen'chang'hui'rui'zhi'yao'gong'si'fen'zhuang
美国许瓦兹珠海许瓦兹分装,mei'guo'xu'wa'zi'zhu'hai'xu'wa'zi'fen'zhuang
美红,mei'hong
美佳特,mei'jia'te
美卡素,mei'ka'su
美开朗,mei'kai'lang
美克威,mei'ke'wei
美兰特,mei'lan'te
美利巴,mei'li'ba
