阿大多为,a'da'duo'wei
继电保护工作,ji'dian'bao'hu'gong'zuo
继电保护级,ji'dian'bao'hu'ji
继电保护继保,ji'dian'bao'hu'ji'bao
继电保护检验,ji'dian'bao'hu'jian'yan
继电保护配置图及设备表,ji'dian'bao'hu'pei'zhi'tu'ji'she'bei'biao
继电保护用,ji'dian'bao'hu'yong
继电保护原理,ji'dian'bao'hu'yuan'li
继电保护专业,ji'dian'bao'hu'zhuan'ye
继电保护装置,ji'dian'bao'hu'zhuang'zhi
集电环端,ji'dian'huan'duan
继电器,ji'dian'qi
继电器板,ji'dian'qi'ban
继电器校验,ji'dian'qi'jiao'yan
继电器线圈,ji'dian'qi'xian'quan
继电器学校,ji'dian'qi'xue'xiao
继电器粘连,ji'dian'qi'zhan'lian
机电元件,ji'dian'yuan'jian
机顶盒,ji'ding'he
激动,ji'dong
机动包带张力控制系统,ji'dong'bao'dai'zhang'li'kong'zhi'xi'tong
机动放线架,ji'dong'fang'xian'jia
机动绞磨,ji'dong'jiao'mo
季度,ji'du
极度,ji'du
季度季报,ji'du'ji'bao
季度综自,ji'du'zong'zi
机端,ji'duan
机端电压控制,ji'duan'dian'ya'kong'zhi
及断路器,ji'duan'lu'qi
极对数,ji'dui'shu
吉敦,ji'dun
吉敦线,ji'dun'xian
及二次,ji'er'ci
基尔霍夫,ji'er'huo'fu
基尔霍夫电流定律,ji'er'huo'fu'dian'liu'ding'lv
及分,ji'fen
积分器,ji'fen'qi
吉福,ji'fu
技服处,ji'fu'chu
积复励,ji'fu'li
吉福线,ji'fu'xian
集肤效应,ji'fu'xiao'ying
技改,ji'gai
基干电缆,ji'gan'dian'lan
及高压,ji'gao'ya
几个,ji'ge
几个月,ji'ge'yue
及更换,ji'geng'huan
及供电,ji'gong'dian
及工作,ji'gong'zuo
机构,ji'gou
机构保护屏,ji'gou'bao'hu'ping
机构电缆更换,ji'gou'dian'lan'geng'huan
机构箱,ji'gou'xiang
机构箱门,ji'gou'xiang'men
机故障,ji'gu'zhang
吉瓜线,ji'gua'xian
挤管法,ji'guan'fa
及关于,ji'guan'yu
激光,ji'guang
激光测径仪,ji'guang'ce'jing'yi
激光测微计,ji'guang'ce'wei'ji
激光测微仪,ji'guang'ce'wei'yi
激光唱片,ji'guang'chang'pian
激光淬硬拉线鼓轮,ji'guang'cui'ying'la'xian'gu'lun
激光打孔,ji'guang'da'kong
激光打孔机,ji'guang'da'kong'ji
激光打孔装置,ji'guang'da'kong'zhuang'zhi
激光二极管,ji'guang'er'ji'guan
激光二极管驱动器,ji'guang'er'ji'guan'qu'dong'qi
激光发射机,ji'guang'fa'she'ji
激光发射器,ji'guang'fa'she'qi
激光发生器,ji'guang'fa'sheng'qi
激光跟踪仪,ji'guang'gen'zong'yi
激光管,ji'guang'guan
激光焊接,ji'guang'han'jie
激光焊接金属屏蔽,ji'guang'han'jie'jin'shu'ping'bi
激光焊接器,ji'guang'han'jie'qi
激光焊接装置,ji'guang'han'jie'zhuang'zhi
激光加工,ji'guang'jia'gong
激光检测技术,ji'guang'jian'ce'ji'shu
激光检测系统,ji'guang'jian'ce'xi'tong
激光检验,ji'guang'jian'yan
激光控制电缆,ji'guang'kong'zhi'dian'lan
激光喷射电镀技术,ji'guang'pen'she'dian'du'ji'shu
激光前向散射装置,ji'guang'qian'xiang'san'she'zhuang'zhi
激光扫描,ji'guang'sao'miao
激光扫描测径系统,ji'guang'sao'miao'ce'jing'xi'tong
激光扫描测微计,ji'guang'sao'miao'ce'wei'ji
激光扫描系统,ji'guang'sao'miao'xi'tong
激光扫描仪,ji'guang'sao'miao'yi
激光束,ji'guang'shu
激光束标志,ji'guang'shu'biao'zhi
激光速度,ji'guang'su'du
激光速度计,ji'guang'su'du'ji
激光通信,ji'guang'tong'xin
激光通信系统,ji'guang'tong'xin'xi'tong
激光头,ji'guang'tou
激光外径测量仪,ji'guang'wai'jing'ce'liang'yi
激光系统,ji'guang'xi'tong
激光线径控制仪,ji'guang'xian'jing'kong'zhi'yi
激光衍射,ji'guang'yan'she
激光印字电缆,ji'guang'yin'zi'dian'lan
激光印字装置,ji'guang'yin'zi'zhuang'zhi
激光源,ji'guang'yuan
机柜,ji'gui
吉河,ji'he
集合,ji'he
几何横截面,ji'he'heng'jie'mian
几何结构,ji'he'jie'gou
几乎,ji'hu
挤护套,ji'hu'tao
计划,ji'hua
计划安排,ji'hua'an'pai
计划表,ji'hua'biao
极化方向保持稳定的单模光缆,ji'hua'fang'xiang'bao'chi'wen'ding'de'dan'mo'guang'lan
极化分束器,ji'hua'fen'shu'qi
计划图片,ji'hua'tu'pian
计划完成,ji'hua'wan'cheng
计划完成日期,ji'hua'wan'cheng'ri'qi
计划项目部,ji'hua'xiang'mu'bu
计划性,ji'hua'xing
计划有,ji'hua'you
机会,ji'hui
激活,ji'huo
及及,ji'ji
积极,ji'ji
积极备考,ji'ji'bei'kao
积极备考江西,ji'ji'bei'kao'jiang'xi
积极备战,ji'ji'bei'zhan
积极备战这次,ji'ji'bei'zhan'zhe'ci
积极性,ji'ji'xing
积极学习,ji'ji'xue'xi
积极以,ji'ji'yi
机夹,ji'jia
机架,ji'jia
机架中心高度,ji'jia'zhong'xin'gao'du
基建,ji'jian
级间连接电缆,ji'jian'lian'jie'dian'lan
即将,ji'jiang
季节,ji'jie
及接线,ji'jie'xian
基金,ji'jin
急进,ji'jin
几经,ji'jing
急救,ji'jiu
急救箱,ji'jiu'xiang
机具,ji'ju
及开关,ji'kai'guan
即可,ji'ke
机壳盖,ji'ke'gai
机壳钢板,ji'ke'gang'ban
即可解决,ji'ke'jie'jue
极苛刻条件用软线,ji'ke'ke'tiao'jian'yong'ruan'xian
极苛刻条件用软线双芯软线,ji'ke'ke'tiao'jian'yong'ruan'xian'shuang'xin'ruan'xian
集控,ji'kong
集控站,ji'kong'zhan
几块,ji'kuai
即快速,ji'kuai'su
急拉断试验,ji'la'duan'shi'yan
急拉弯曲试验,ji'la'wan'qu'shi'yan
积累,ji'lei
积累误差,ji'lei'wu'cha
激励,ji'li
级联级联电路,ji'lian'ji'lian'dian'lu
级联式冷却器,ji'lian'shi'leng'que'qi
级联星形连接,ji'lian'xing'xing'lian'jie
计量,ji'liang
计量表,ji'liang'biao
计量给料斗,ji'liang'gei'liao'dou
计量回路,ji'liang'hui'lu
计量加料系统,ji'liang'jia'liao'xi'tong
计量漏斗,ji'liang'lou'dou
计量区,ji'liang'qu
计量式挤压螺杆,ji'liang'shi'ji'ya'luo'gan
计量仪表,ji'liang'yi'biao
记录,ji'lu
及录波,ji'lu'bo
记录带,ji'lu'dai
记录到,ji'lu'dao
记录卡,ji'lu'ka
记录器,ji'lu'qi
记录人,ji'lu'ren
记录式个人计算机,ji'lu'shi'ge'ren'ji'suan'ji
记录仪,ji'lu'yi
记录针,ji'lu'zhen
棘轮式电缆切割机,ji'lun'shi'dian'lan'qie'ge'ji
吉罗,ji'luo
吉螺,ji'luo
计米,ji'mi
计米精度,ji'mi'jing'du
计米轮,ji'mi'lun
计米器,ji'mi'qi
计米切割器,ji'mi'qie'ge'qi
计米印字机,ji'mi'yin'zi'ji
极面,ji'mian
极面开槽,ji'mian'kai'cao
机敏材料,ji'min'cai'liao
基纳,ji'na
吉南,ji'nan
济南,ji'nan
济南培训,ji'nan'pei'xun
济南培训车费,ji'nan'pei'xun'che'fei
机内天线,ji'nei'tian'xian
技能,ji'neng
技能操作,ji'neng'cao'zuo
技能鉴定,ji'neng'jian'ding
技能建设,ji'neng'jian'she
技能竞赛,ji'neng'jing'sai
技能培训,ji'neng'pei'xun
技能水平,ji'neng'shui'ping
基尼尔酰亚胺商品名,ji'ni'er'xian'ya'an'shang'pin'ming
几年,ji'nian
基努比亚,ji'nu'bi'ya
奇偶,ji'ou
及屏,ji'ping
及其,ji'qi
机器的运转时间,ji'qi'de'yun'zhuan'shi'jian
机器人操作收线装置,ji'qi'ren'cao'zuo'shou'xian'zhuang'zhi
机器人束线机,ji'qi'ren'shu'xian'ji
机器人用电缆,ji'qi'ren'yong'dian'lan
机器损耗,ji'qi'sun'hao
及其他,ji'qi'ta
机器用电缆盘,ji'qi'yong'dian'lan'pan
机器制造工业,ji'qi'zhi'zao'gong'ye
及其自动,ji'qi'zi'dong
及其自动化,ji'qi'zi'dong'hua
激情,ji'qing
基群,ji'qun
基群速率接入,ji'qun'su'lv'jie'ru
集群移动通信系统,ji'qun'yi'dong'tong'xin'xi'tong
积少成多,ji'shao'cheng'duo
及设备名称,ji'she'bei'ming'cheng
寄生,ji'sheng
及时,ji'shi
技师,ji'shi
纪实,ji'shi
记时波,ji'shi'bo
几十分钟,ji'shi'fen'zhong
几十个,ji'shi'ge
几十个变电站,ji'shi'ge'bian'dian'zhan
技师技师,ji'shi'ji'shi
及时进行,ji'shi'jin'xing
及时率,ji'shi'lv
几十年,ji'shi'nian
技师培训,ji'shi'pei'xun
及时完成,ji'shi'wan'cheng
及时消除,ji'shi'xiao'chu
及时消除合计,ji'shi'xiao'chu'he'ji
技师学院,ji'shi'xue'yuan
及实验,ji'shi'yan
及时整改,ji'shi'zheng'gai
技术,ji'shu
极数,ji'shu
记述,ji'shu
技术比武,ji'shu'bi'wu
技术标准,ji'shu'biao'zhun
技术部,ji'shu'bu
技术创新,ji'shu'chuang'xin
技术的,ji'shu'de
集束电缆,ji'shu'dian'lan
技术方案,ji'shu'fang'an
技术方案需要,ji'shu'fang'an'xu'yao
技术改造,ji'shu'gai'zao
技术革命,ji'shu'ge'ming
技术规范,ji'shu'gui'fan
技术规范编码,ji'shu'gui'fan'bian'ma
集束架空电缆,ji'shu'jia'kong'dian'lan
技术检查科,ji'shu'jian'cha'ke
技术监督检查,ji'shu'jian'du'jian'cha
技术交流,ji'shu'jiao'liu
技术交流学习,ji'shu'jiao'liu'xue'xi
技术经济指标,ji'shu'jing'ji'zhi'biao
技术诀窍,ji'shu'jue'qiao
计数盘,ji'shu'pan
技术培训,ji'shu'pei'xun
计数器,ji'shu'qi
技术情报,ji'shu'qing'bao
技术情报室,ji'shu'qing'bao'shi
技术数据汇集,ji'shu'shu'ju'hui'ji
技术条件,ji'shu'tiao'jian
计数线对,ji'shu'xian'dui
计数线芯,ji'shu'xian'xin
技术协助协定,ji'shu'xie'zhu'xie'ding
技术学习,ji'shu'xue'xi
技术学院,ji'shu'xue'yuan
技术验证,ji'shu'yan'zheng
技术验证后,ji'shu'yan'zheng'hou
技术应用,ji'shu'ying'yong
技术员,ji'shu'yuan
技术再,ji'shu'zai
计数转换印字机,ji'shu'zhuan'huan'yin'zi'ji
技术专家,ji'shu'zhuan'jia
技术转移,ji'shu'zhuan'yi
技术资料,ji'shu'zi'liao
吉水,ji'shui
积水,ji'shui
吉水变,ji'shui'bian
吉水站,ji'shui'zhan
给水站,ji'shui'zhan
吉水主变,ji'shui'zhu'bian
挤塑工段,ji'su'gong'duan
挤塑机,ji'su'ji
挤塑机模孔,ji'su'ji'mo'kong
计算,ji'suan
集酸槽,ji'suan'cao
计算机,ji'suan'ji
计算机病毒,ji'suan'ji'bing'du
计算机程序,ji'suan'ji'cheng'xu
计算机电缆,ji'suan'ji'dian'lan
计算机电视,ji'suan'ji'dian'shi
计算机辅助操作试验站,ji'suan'ji'fu'zhu'cao'zuo'shi'yan'zhan
计算机辅助工程,ji'suan'ji'fu'zhu'gong'cheng
计算机辅助故障探测设备,ji'suan'ji'fu'zhu'gu'zhang'tan'ce'she'bei
计算机辅助管理,ji'suan'ji'fu'zhu'guan'li
计算机辅助拉线,ji'suan'ji'fu'zhu'la'xian
计算机辅助设计,ji'suan'ji'fu'zhu'she'ji
计算机辅助设计技术,ji'suan'ji'fu'zhu'she'ji'ji'shu
计算机辅助制造,ji'suan'ji'fu'zhu'zhi'zao
计算机辅助制造工艺,ji'suan'ji'fu'zhu'zhi'zao'gong'yi
计算机辅助制造技术,ji'suan'ji'fu'zhu'zhi'zao'ji'shu
计算机管理信息系统,ji'suan'ji'guan'li'xin'xi'xi'tong
计算机互连线,ji'suan'ji'hu'lian'xian
计算机化工艺控制系统,ji'suan'ji'hua'gong'yi'kong'zhi'xi'tong
计算机化挤出工艺,ji'suan'ji'hua'ji'chu'gong'yi
计算机化检测系统,ji'suan'ji'hua'jian'ce'xi'tong
计算机化控制台,ji'suan'ji'hua'kong'zhi'tai
计算机化生产线监控系统,ji'suan'ji'hua'sheng'chan'xian'jian'kong'xi'tong
计算机化信息系统,ji'suan'ji'hua'xin'xi'xi'tong
计算机化自动电缆测量装置,ji'suan'ji'hua'zi'dong'dian'lan'ce'liang'zhuang'zhi
计算机集成制造系统,ji'suan'ji'ji'cheng'zhi'zao'xi'tong
计算机控制的包带机,ji'suan'ji'kong'zhi'de'bao'dai'ji
计算机控制的电缆测量设备,ji'suan'ji'kong'zhi'de'dian'lan'ce'liang'she'bei
计算机控制的电缆测试仪,ji'suan'ji'kong'zhi'de'dian'lan'ce'shi'yi
计算机控制的电缆测试装置,ji'suan'ji'kong'zhi'de'dian'lan'ce'shi'zhuang'zhi
计算机控制的反张力,ji'suan'ji'kong'zhi'de'fan'zhang'li
计算机控制的换位头,ji'suan'ji'kong'zhi'de'huan'wei'tou
计算机控制的拉线系统,ji'suan'ji'kong'zhi'de'la'xian'xi'tong
计算机控制的三坐标测量仪,ji'suan'ji'kong'zhi'de'san'zuo'biao'ce'liang'yi
计算机控制技术,ji'suan'ji'kong'zhi'ji'shu
计算机控制生产线,ji'suan'ji'kong'zhi'sheng'chan'xian
计算机控制自动上下盘系统,ji'suan'ji'kong'zhi'zi'dong'shang'xia'pan'xi'tong
计算机模拟,ji'suan'ji'mo'ni
计算机数控圈线成型机,ji'suan'ji'shu'kong'quan'xian'cheng'xing'ji
计算机数控式线材成型机,ji'suan'ji'shu'kong'shi'xian'cai'cheng'xing'ji
计算机数控弯曲机,ji'suan'ji'shu'kong'wan'qu'ji
计算机通信,ji'suan'ji'tong'xin
计算机系统监控器,ji'suan'ji'xi'tong'jian'kong'qi
计算机语言,ji'suan'ji'yu'yan
计算机中心,ji'suan'ji'zhong'xin
计算值,ji'suan'zhi
基台,ji'tai
济特耳,ji'te'er
几天,ji'tian
几条,ji'tiao
及调试,ji'tiao'shi
急停按钮,ji'ting'an'niu
及通讯回路图,ji'tong'xun'hui'lu'tu
机头侧,ji'tou'ce
机头全自动定中心,ji'tou'quan'zi'dong'ding'zhong'xin
及图纸,ji'tu'zhi
集团,ji'tuan
吉线,ji'xian
即现窗口,ji'xian'chuang'kou
极限抗拉强度,ji'xian'kang'la'qiang'du
极限切除时间,ji'xian'qie'chu'shi'jian
极限伸长,ji'xian'shen'chang
极限转矩,ji'xian'zhuan'ju
几项,ji'xiang
挤橡,ji'xiang
及相关,ji'xiang'guan
挤橡机,ji'xiang'ji
及相应,ji'xiang'ying
技校,ji'xiao
极小,ji'xiao
绩效,ji'xiao
及消弧,ji'xiao'hu
绩效考核,ji'xiao'kao'he
极小型卫星终端,ji'xiao'xing'wei'xing'zhong'duan
机械剥皮,ji'xie'bao'pi
机械剥皮机,ji'xie'bao'pi'ji
机械剥皮技术,ji'xie'bao'pi'ji'shu
机械成型坯棒,ji'xie'cheng'xing'pi'bang
机械冲孔机,ji'xie'chong'kong'ji
机械冲孔机压模,ji'xie'chong'kong'ji'ya'mu
机械传动牵引轮,ji'xie'chuan'dong'qian'yin'lun
机械工业部,ji'xie'gong'ye'bu
机械过速,ji'xie'guo'su
机械耗,ji'xie'hao
机械基准面,ji'xie'ji'zhun'mian
机械加工中心,ji'xie'jia'gong'zhong'xin
机械接头,ji'xie'jie'tou
机械连接金具,ji'xie'lian'jie'jin'ju
机械能,ji'xie'neng
机械强度,ji'xie'qiang'du
机械强度试验,ji'xie'qiang'du'shi'yan
机械去皮机,ji'xie'qu'pi'ji
机械设备监测技术,ji'xie'she'bei'jian'ce'ji'shu
机械设备用电动机,ji'xie'she'bei'yong'dian'dong'ji
机械适配光纤连接器,ji'xie'shi'pei'guang'xian'lian'jie'qi
机械寿命,ji'xie'shou'ming
机械手收线装置,ji'xie'shou'shou'xian'zhuang'zhi
机械素炼,ji'xie'su'lian
机械特性,ji'xie'te'xing
机械性能,ji'xie'xing'neng
机械修整,ji'xie'xiu'zheng
机械应力树枝老化,ji'xie'ying'li'shu'zhi'lao'hua
机械优化技术,ji'xie'you'hua'ji'shu
及信号回路图,ji'xin'hao'hui'lu'tu
极性,ji'xing
极性聚合物,ji'xing'ju'he'wu
极性识别,ji'xing'shi'bie
吉兴线,ji'xing'xian
机修车间,ji'xiu'che'jian
机修间,ji'xiu'jian
继续,ji'xu
继续工作,ji'xu'gong'zuo
挤压不足,ji'ya'bu'zu
挤压材料,ji'ya'cai'liao
挤压成,ji'ya'cheng
挤压出,ji'ya'chu
挤压垫分离器,ji'ya'dian'fen'li'qi
挤压钢模,ji'ya'gang'mo
挤压聚乙烯绝缘电缆,ji'ya'ju'yi'xi'jue'yuan'dian'lan
挤压铝护套,ji'ya'lv'hu'tao
挤压铅护套,ji'ya'qian'hu'tao
挤压铅护套压铅,ji'ya'qian'hu'tao'ya'qian
挤压设备,ji'ya'she'bei
挤压室,ji'ya'shi
挤压筒,ji'ya'tong
挤轧鱼泡,ji'ya'yu'pao
纪要,ji'yao
记忆,ji'yi
机用线盘,ji'yong'xian'pan
机油,ji'you
机油油压表,ji'you'you'ya'biao
及与,ji'yu
寄予,ji'yu
给予,ji'yu
基于此,ji'yu'ci
基质,ji'zhi
机制,ji'zhi
挤制半导体屏蔽层,ji'zhi'ban'dao'ti'ping'bi'ceng
挤制材料,ji'zhi'cai'liao
挤制铝护套,ji'zhi'lv'hu'tao
挤制漆包线,ji'zhi'qi'bao'xian
挤制线杆,ji'zhi'xian'gan
级职业,ji'zhi'ye
集中,ji'zhong
集中加感电缆,ji'zhong'jia'gan'dian'lan
集中加感电路,ji'zhong'jia'gan'dian'lu
集中绕组,ji'zhong'rao'zu
集中式接缆,ji'zhong'shi'jie'lan
吉州,ji'zhou
吉州区,ji'zhou'qu
吉州中,ji'zhou'zhong
棘爪,ji'zhua
集装箱吊车,ji'zhuang'xiang'diao'che
及装置,ji'zhuang'zhi
基准,ji'zhun
基准测试程序,ji'zhun'ce'shi'cheng'xu
基准绝缘水平,ji'zhun'jue'yuan'shui'ping
基准面直径,ji'zhun'mian'zhi'jing
基准线,ji'zhun'xian
基准运行状况,ji'zhun'yun'xing'zhuang'kuang
及自动化,ji'zi'dong'hua
及资料,ji'zi'liao
集总平衡,ji'zong'ping'heng
机组,ji'zu
机组效率,ji'zu'xiao'lv
机组运行小时表,ji'zu'yun'xing'xiao'shi'biao
机组运行正常,ji'zu'yun'xing'zheng'chang
机座,ji'zuo
机座泵压试验,ji'zuo'beng'ya'shi'yan
机座焊装,ji'zuo'han'zhuang
机座机械加工,ji'zuo'ji'xie'jia'gong
甲嗄,jia'a
加班,jia'ban
夹叉式退火或淬火炉,jia'cha'shi'tui'huo'huo'cui'huo'lu
夹持器件,jia'chi'qi'jian
加大,jia'da
佳电,jia'dian
加点,jia'dian
家电网,jia'dian'wang
家电用电动机,jia'dian'yong'dian'dong'ji
甲电源板,jia'dian'yuan'ban
夹锭钳,jia'ding'qian
甲定值,jia'ding'zhi
夹断试验,jia'duan'shi'yan
加负荷,jia'fu'he
加感点,jia'gan'dian
加感电缆,jia'gan'dian'lan
加感电缆系统,jia'gan'dian'lan'xi'tong
加感距离固定点,jia'gan'ju'li'gu'ding'dian
加感天线,jia'gan'tian'xian
加感细线电缆,jia'gan'xi'xian'dian'lan
加感线,jia'gan'xian
加感线对,jia'gan'xian'dui
加感线圈组,jia'gan'xian'quan'zu
价格,jia'ge
加工,jia'gong
加工范围,jia'gong'fan'wei
加工技术,jia'gong'ji'shu
加工精度,jia'gong'jing'du
加工温度,jia'gong'wen'du
加工性试验,jia'gong'xing'shi'yan
加工硬化,jia'gong'ying'hua
加工质量,jia'gong'zhi'liang
加工中心,jia'gong'zhong'xin
架构,jia'gou
加固层,jia'gu'ceng
加固带,jia'gu'dai
加固带绕包头,jia'gu'dai'rao'bao'tou
加固式铅护套,jia'gu'shi'qian'hu'tao
假光纤,jia'guang'xian
夹辊,jia'gun
夹环,jia'huan
甲磺酰基浸渍剂,jia'huang'xian'ji'jin'zi'ji
假接地,jia'jie'di
夹紧螺丝,jia'jin'luo'si
夹紧履带式成缆机,jia'jin'lv'dai'shi'cheng'lan'ji
夹具,jia'ju
嘉绝,jia'jue
架空成束电缆,jia'kong'cheng'shu'dian'lan
架空导线,jia'kong'dao'xian
架空地线,jia'kong'di'xian
架空地线的电位梯度,jia'kong'di'xian'de'dian'wei'ti'du
架空地线卷绕型光缆,jia'kong'di'xian'juan'rao'xing'guang'lan
架空电缆,jia'kong'dian'lan
架空电缆系统,jia'kong'dian'lan'xi'tong
架空电缆线路,jia'kong'dian'lan'xian'lu
架空电缆运输法,jia'kong'dian'lan'yun'shu'fa
架空电缆支承件,jia'kong'dian'lan'zhi'cheng'jian
架空光缆,jia'kong'guang'lan
架空结构,jia'kong'jie'gou
架空绝缘电缆,jia'kong'jue'yuan'dian'lan
架空馈线,jia'kong'kui'xian
架空缆车,jia'kong'lan'che
架空明线,jia'kong'ming'xian
架空明线的金具,jia'kong'ming'xian'de'jin'ju
架空明线的金属附件,jia'kong'ming'xian'de'jin'shu'fu'jian
架空明线电路,jia'kong'ming'xian'dian'lu
架空明线减振器,jia'kong'ming'xian'jian'zhen'qi
架空明线增设,jia'kong'ming'xian'zeng'she
架空农用配电线,jia'kong'nong'yong'pei'dian'xian
架空式退火炉,jia'kong'shi'tui'huo'lu
架空输电线,jia'kong'shu'dian'xian
架空线,jia'kong'xian
驾空线,jia'kong'xian
架空线杆塔间的弧垂,jia'kong'xian'gan'ta'jian'de'hu'chui
架空线路,jia'kong'xian'lu
架空线舞动,jia'kong'xian'wu'dong
架空引入,jia'kong'yin'ru
架空引入线,jia'kong'yin'ru'xian
加快,jia'kuai
加宽,jia'kuan
加肋,jia'lei
家里,jia'li
甲李青锋,jia'li'qing'feng
夹链袋,jia'lian'dai
价廉高效双绞机,jia'lian'gao'xiao'shuang'jiao'ji
加量,jia'liang
加料斗,jia'liao'dou
加料漏斗,jia'liao'lou'dou
加密器,jia'mi'qi
加密数据,jia'mi'shu'ju
加拿大发明的铝聚乙烯粘接护层,jia'na'da'fa'ming'de'lv'ju'yi'xi'zhan'jie'hu'ceng
甲票,jia'piao
价钱,jia'qian
夹钳,jia'qian
夹钳式拉线机,jia'qian'shi'la'xian'ji
夹钳式弯曲机,jia'qian'shi'wan'qu'ji
加强,jia'qiang
加强保护,jia'qiang'bao'hu
加强编织,jia'qiang'bian'zhi
加强材料,jia'qiang'cai'liao
加强层,jia'qiang'ceng
加强承重纤维,jia'qiang'cheng'zhong'xian'wei
加强点,jia'qiang'dian
加强防护,jia'qiang'fang'hu
加强护层的铅封,jia'qiang'hu'ceng'de'qian'feng
加强级,jia'qiang'ji
加强加护,jia'qiang'jia'hu
加强件,jia'qiang'jian
加强监护,jia'qiang'jian'hu
加强监护电流,jia'qiang'jian'hu'dian'liu
加强了,jia'qiang'le
加强肋,jia'qiang'lei
加强线对,jia'qiang'xian'dui
加强线组,jia'qiang'xian'zu
加强芯,jia'qiang'xin
加强型光缆,jia'qiang'xing'guang'lan
加强型铁塔,jia'qiang'xing'tie'ta
加强型外护套,jia'qiang'xing'wai'hu'tao
加强学习,jia'qiang'xue'xi
夹圈,jia'quan
加热,jia're
加热标志器,jia're'biao'zhi'qi
加热电缆,jia're'dian'lan
加热电源,jia're'dian'yuan
加热电阻丝,jia're'dian'zu'si
加热功率,jia're'gong'lv
加热管,jia're'guan
加热交联聚合物,jia're'jiao'lian'ju'he'wu
加热炉,jia're'lu
加热媒质,jia're'mei'zhi
加热器,jia're'qi
加热区,jia're'qu
加热时间,jia're'shi'jian
加热温度,jia're'wen'du
加热线圈,jia're'xian'quan
加热箱,jia're'xiang
加热罩,jia're'zhao
家人,jia'ren
加入,jia'ru
加入了,jia'ru'le
加上,jia'shang
架上敷设,jia'shang'fu'she
加设,jia'she
假设参考电路,jia'she'can'kao'dian'lu
假设参考连接,jia'she'can'kao'lian'jie
假设参考数字段,jia'she'can'kao'shu'zi'duan
架设装置,jia'she'zhuang'zhi
加深,jia'shen
驾驶班,jia'shi'ban
夹式牵引轮,jia'shi'qian'yin'lun
架式压滤机,jia'shi'ya'lv'ji
加水泵,jia'shui'beng
加速计,jia'su'ji
加速老化,jia'su'lao'hua
加速老化试验,jia'su'lao'hua'shi'yan
加速耐气候试验,jia'su'nai'qi'hou'shi'yan
加速式,jia'su'shi
加速寿命试验,jia'su'shou'ming'shi'yan
加速水树试验,jia'su'shui'shu'shi'yan
加特鞍式布置,jia'te'an'shi'bu'zhi
假条,jia'tiao
家庭,jia'ting
家庭信息插座装置,jia'ting'xin'xi'cha'zuo'zhuang'zhi
夹头,jia'tou
加涂层,jia'tu'ceng
架线,jia'xian
架线工,jia'xian'gong
夹线钳,jia'xian'qian
架线图表,jia'xian'tu'biao
加压,jia'ya
加压闭环式水冷却系统,jia'ya'bi'huan'shi'shui'leng'que'xi'tong
加压高速氮气,jia'ya'gao'su'dan'qi
加压交联管,jia'ya'jiao'lian'guan
加压硫化,jia'ya'liu'hua
加压硫化机,jia'ya'liu'hua'ji
加压硫化及冷却系统,jia'ya'liu'hua'ji'leng'que'xi'tong
加压流体连续硫化法,jia'ya'liu'ti'lian'xu'liu'hua'fa
加压模,jia'ya'mu
加压模涂敷法,jia'ya'mu'tu'fu'fa
加压器,jia'ya'qi
加压系统,jia'ya'xi'tong
加压型电缆,jia'ya'xing'dian'lan
加压盐液连续硫化,jia'ya'yan'ye'lian'xu'liu'hua
加压盐液连续硫化机组,jia'ya'yan'ye'lian'xu'liu'hua'ji'zu
加压盐浴连续硫化,jia'ya'yan'yu'lian'xu'liu'hua
加压盐浴连续硫化机,jia'ya'yan'yu'lian'xu'liu'hua'ji
加压装备,jia'ya'zhuang'bei
甲乙,jia'yi
加油站用电线,jia'you'zhan'yong'dian'xian
夹于,jia'yu
驾驭,jia'yu
架窄通信电力线路系统,jia'zhai'tong'xin'dian'li'xian'lu'xi'tong
加之,jia'zhi
价值工程,jia'zhi'gong'cheng
价值观,jia'zhi'guan
价值函数,jia'zhi'han'shu
夹住,jia'zhu
加装,jia'zhuang
加装接地,jia'zhuang'jie'di
加装了,jia'zhuang'le
加装消弧,jia'zhuang'xiao'hu
架子支撑排列法,jia'zi'zhi'cheng'pai'lie'fa
坚板,jian'ban
简报,jian'bao
渐变型光纤,jian'bian'xing'guang'xian
渐变型漏泄同轴电缆,jian'bian'xing'lou'xie'tong'zhou'dian'lan
渐变形梯度折射率光纤,jian'bian'xing'ti'du'zhe'she'lv'guang'xian
渐变型折射率分布,jian'bian'xing'zhe'she'lv'fen'bu
渐变折射率,jian'bian'zhe'she'lv
渐变折射率光纤,jian'bian'zhe'she'lv'guang'xian
鉴别,jian'bie
建斌,jian'bin
简并子网络,jian'bing'zi'wang'luo
检波,jian'bo
检波器,jian'bo'qi
检波器电缆,jian'bo'qi'dian'lan
检波器组合软电缆,jian'bo'qi'zu'he'ruan'dian'lan
件擦汗,jian'ca'han
键槽拉刀,jian'cao'la'dao
检测,jian'ce
检测的百分可信度,jian'ce'de'bai'fen'ke'xin'du
检测电阻,jian'ce'dian'zu
检测范围,jian'ce'fan'wei
检测柜,jian'ce'gui
检测耦合器,jian'ce'ou'he'qi
检测器,jian'ce'qi
监测器电容量控制,jian'ce'qi'dian'rong'liang'kong'zhi
检测区,jian'ce'qu
监测站,jian'ce'zhan
检查,jian'cha
检查电缆用铃,jian'cha'dian'lan'yong'ling
检查法,jian'cha'fa
检查范斌良,jian'cha'fan'bin'liang
