阿拉伯联盟经济理事会,a'la'bo'lian'meng'jing'ji'li'shi'hui
励磁调整器,li'ci'tiao'zheng'qi
励磁线圈,li'ci'xian'quan
励磁中断开关,li'ci'zhong'duan'kai'guan
励磁自动同步机,li'ci'zi'dong'tong'bu'ji
锂电气石,li'dian'qi'shi
粒度比,li'du'bi
立方米,li'fang'mi
立根,li'gen
立根盒,li'gen'he
立管,li'guan
立管管汇,li'guan'guan'hui
离合器,li'he'qi
粒级分析,li'ji'fen'xi
立架,li'jia
立井架,li'jing'jia
厘米克秒静电制单位,li'mi'ke'miao'jing'dian'zhi'dan'wei
立面图,li'mian'tu
黎明,li'ming
力平衡式加速度计,li'ping'heng'shi'jia'su'du'ji
沥青,li'qing
沥青挥发分试验,li'qing'hui'fa'fen'shi'yan
沥青侵入体,li'qing'qin'ru'ti
离溶,li'rong
例如,li'ru
砾石,li'shi
立视图,li'shi'tu
历书时,li'shu'shi
历书时间,li'shu'shi'jian
立体交叉,li'ti'jiao'cha
力图,li'tu
例外,li'wai
例外地,li'wai'di
力位移特性,li'wei'yi'te'xing
离析物,li'xi'wu
离心泵,li'xin'beng
离心机,li'xin'ji
粒雪,li'xue
例证,li'zheng
例子,li'zi
离子,li'zi
立足点,li'zu'dian
联邦标准,lian'bang'biao'zhun
联邦动力委员会,lian'bang'dong'li'wei'yuan'hui
联邦科学技术委员会,lian'bang'ke'xue'ji'shu'wei'yuan'hui
联邦能源管理委员会,lian'bang'neng'yuan'guan'li'wei'yuan'hui
联邦能源局,lian'bang'neng'yuan'ju
联邦试验方法标准,lian'bang'shi'yan'fang'fa'biao'zhun
联邦石油储备局,lian'bang'shi'you'chu'bei'ju
联邦政府的,lian'bang'zheng'fu'de
炼厂出厂价,lian'chang'chu'chang'jia
镰齿牙形石属,lian'chi'ya'xing'shi'shu
联顶节,lian'ding'jie
联合,lian'he
脸颊,lian'jia
连枷,lian'jia
连接,lian'jie
联接法兰,lian'jie'fa'lan
连接两个平行断层末端的斜坡,lian'jie'liang'ge'ping'xing'duan'ceng'mo'duan'de'xie'po
连接物,lian'jie'wu
连接线,lian'jie'xian
链轮,lian'lun
链钳,lian'qian
链条,lian'tiao
链条驱动,lian'tiao'qu'dong
练习,lian'xi
连续反应器,lian'xu'fan'ying'qi
连续方程,lian'xu'fang'cheng
连续剖面,lian'xu'pou'mian
连续式流量计,lian'xu'shi'liu'liang'ji
连续相,lian'xu'xiang
量电分析,liang'dian'fen'xi
两端分别带有内外螺纹的大小头,liang'duan'fen'bie'dai'you'nei'wai'luo'wen'de'da'xiao'tou
两端尖的,liang'duan'jian'de
量气管,liang'qi'guan
凉爽,liang'shuang
凉鞋,liang'xie
两星期,liang'xing'qi
裂变,lie'bian
裂变产物,lie'bian'chan'wu
裂变产物合金,lie'bian'chan'wu'he'jin
裂变俘获,lie'bian'fu'huo
裂变化学,lie'bian'hua'xue
裂变计数,lie'bian'ji'shu
裂变径迹,lie'bian'jing'ji
裂变密度,lie'bian'mi'du
裂变密度分布,lie'bian'mi'du'fen'bu
裂变平衡,lie'bian'ping'heng
裂变强度,lie'bian'qiang'du
裂变室,lie'bian'shi
裂变中子俘获,lie'bian'zhong'zi'fu'huo
裂变中子源,lie'bian'zhong'zi'yuan
列出,lie'chu
裂缝,lie'feng
裂缝半径,lie'feng'ban'jing
裂缝闭合度,lie'feng'bi'he'du
裂缝闭合压力,lie'feng'bi'he'ya'li
裂缝测井,lie'feng'ce'jing
裂缝长度,lie'feng'chang'du
裂缝穿透深度,lie'feng'chuan'tou'shen'du
裂缝导流面积,lie'feng'dao'liu'mian'ji
裂缝导流能力,lie'feng'dao'liu'neng'li
裂缝的半长,lie'feng'de'ban'chang
裂缝地下水,lie'feng'di'xia'shui
裂缝断层,lie'feng'duan'ceng
裂缝方位,lie'feng'fang'wei
裂缝方位测定,lie'feng'fang'wei'ce'ding
裂缝方向,lie'feng'fang'xiang
裂缝分布,lie'feng'fen'bu
裂缝分析,lie'feng'fen'xi
裂缝高度,lie'feng'gao'du
裂缝几何参数,lie'feng'ji'he'can'shu
裂缝几何形状,lie'feng'ji'he'xing'zhuang
裂缝迹线,lie'feng'ji'xian
裂缝基岩孔隙度,lie'feng'ji'yan'kong'xi'du
裂缝间距,lie'feng'jian'ju
裂缝介质,lie'feng'jie'zhi
裂缝开度,lie'feng'kai'du
裂缝孔隙,lie'feng'kong'xi
裂缝孔隙度,lie'feng'kong'xi'du
裂缝孔隙性储层,lie'feng'kong'xi'xing'chu'ceng
裂缝宽度,lie'feng'kuan'du
裂缝宽度扩展,lie'feng'kuan'du'kuo'zhan
裂缝扩展速度,lie'feng'kuo'zhan'su'du
裂缝密度,lie'feng'mi'du
裂缝面,lie'feng'mian
裂缝面粗糙度,lie'feng'mian'cu'cao'du
裂缝面倾斜度,lie'feng'mian'qing'xie'du
裂缝模型,lie'feng'mo'xing
裂缝强度指数,lie'feng'qiang'du'zhi'shu
裂缝倾角,lie'feng'qing'jiao
裂缝泉,lie'feng'quan
裂缝群,lie'feng'qun
裂缝渗透率,lie'feng'shen'tou'lv
裂缝识别测井,lie'feng'shi'bie'ce'jing
裂缝数,lie'feng'shu
裂缝水,lie'feng'shui
裂缝探测,lie'feng'tan'ce
裂缝探测仪,lie'feng'tan'ce'yi
裂缝填充,lie'feng'tian'chong
裂缝网,lie'feng'wang
裂缝网络体积,lie'feng'wang'luo'ti'ji
裂缝形成部位,lie'feng'xing'cheng'bu'wei
裂缝性储层,lie'feng'xing'chu'ceng
裂缝性地层,lie'feng'xing'di'ceng
裂缝性多孔介质,lie'feng'xing'duo'kong'jie'zhi
裂缝性灰岩,lie'feng'xing'hui'yan
裂缝性孔隙介质,lie'feng'xing'kong'xi'jie'zhi
裂缝性气田,lie'feng'xing'qi'tian
裂缝性熔岩,lie'feng'xing'rong'yan
裂缝形态,lie'feng'xing'tai
裂缝性碳酸盐岩储集层,lie'feng'xing'tan'suan'yan'yan'chu'ji'ceng
裂缝性岩石,lie'feng'xing'yan'shi
裂缝性油田,lie'feng'xing'you'tian
裂缝形状,lie'feng'xing'zhuang
裂缝延伸,lie'feng'yan'shen
裂缝延伸压力,lie'feng'yan'shen'ya'li
裂缝张开度,lie'feng'zhang'kai'du
裂缝指示器,lie'feng'zhi'shi'qi
裂缝指数,lie'feng'zhi'shu
裂缝综合显示,lie'feng'zong'he'xian'shi
裂缝走向,lie'feng'zou'xiang
裂缝走向带,lie'feng'zou'xiang'dai
裂谷,lie'gu
裂痕探测仪,lie'hen'tan'ce'yi
裂开,lie'kai
裂开的,lie'kai'de
裂脉状,lie'mai'zhuang
裂纹扩展转变温度,lie'wen'kuo'zhan'zhuan'bian'wen'du
裂隙充填,lie'xi'chong'tian
裂隙分布,lie'xi'fen'bu
裂隙角砾岩,lie'xi'jiao'li'yan
裂隙面,lie'xi'mian
裂隙喷发,lie'xi'pen'fa
裂隙梯度剖面,lie'xi'ti'du'pou'mian
裂隙系统,lie'xi'xi'tong
裂隙性结晶岩,lie'xi'xing'jie'jing'yan
劣质混凝土,lie'zhi'hun'ning'tu
磷化底漆,lin'hua'di'qi
临界温度,lin'jie'wen'du
临界压力,lin'jie'ya'li
淋滤带,lin'lv'dai
鳞片状构造,lin'pian'zhuang'gou'zao
鳞片状结构,lin'pian'zhuang'jie'gou
鳞片状颗粒,lin'pian'zhuang'ke'li
淋溶层,lin'rong'ceng
临时超前支架,lin'shi'chao'qian'zhi'jia
鳞石蜡,lin'shi'la
林业,lin'ye
鳞状现象,lin'zhuang'xian'xiang
领带,ling'dai
灵活的检波器,ling'huo'de'jian'bo'qi
灵活焦化,ling'huo'jiao'hua
灵活显示格式,ling'huo'xian'shi'ge'shi
灵敏室,ling'min'shi
灵敏性,ling'min'xing
零碎的,ling'sui'de
领许可证税,ling'xu'ke'zheng'shui
领子,ling'zi
六百二十一,liu'bai'er'shi'yi
流杯法,liu'bei'fa
流比,liu'bi
流变,liu'bian
流变性,liu'bian'xing
流冰碛物,liu'bing'qi'wu
流层,liu'ceng
流场,liu'chang
流程图,liu'cheng'tu
流程图符号,liu'cheng'tu'fu'hao
流出,liu'chu
流出端饱和度,liu'chu'duan'bao'he'du
流出量图,liu'chu'liang'tu
流出面,liu'chu'mian
流出物处理,liu'chu'wu'chu'li
流出物控制,liu'chu'wu'kong'zhi
流出物浓度,liu'chu'wu'nong'du
流出液清洁度,liu'chu'ye'qing'jie'du
流道,liu'dao
流道截面扩大器,liu'dao'jie'mian'kuo'da'qi
流点,liu'dian
流动,liu'dong
流动不稳定性,liu'dong'bu'wen'ding'xing
流动参数,liu'dong'can'shu
流动测试,liu'dong'ce'shi
流动定律,liu'dong'ding'lv
流动度等级,liu'dong'du'deng'ji
流动法则,liu'dong'fa'ze
流动反应器,liu'dong'fan'ying'qi
流动方程,liu'dong'fang'cheng
流动分异作用,liu'dong'fen'yi'zuo'yong
流动构造,liu'dong'gou'zao
流动环路,liu'dong'huan'lu
流动机理,liu'dong'ji'li
流动截面积,liu'dong'jie'mian'ji
流动扩散,liu'dong'kuo'san
流动拉伸,liu'dong'la'shen
流动路程,liu'dong'lu'cheng
流动摩擦,liu'dong'mo'ca
流动模型,liu'dong'mo'xing
流动摩阻特性,liu'dong'mo'zu'te'xing
流动挠曲褶皱,liu'dong'nao'qu'zhe'zhou
流动能力降低,liu'dong'neng'li'jiang'di
流动能量,liu'dong'neng'liang
流动屏障,liu'dong'ping'zhang
流动前缘,liu'dong'qian'yuan
流动强度参数,liu'dong'qiang'du'can'shu
流动区,liu'dong'qu
流动曲线,liu'dong'qu'xian
流动式比色计,liu'dong'shi'bi'se'ji
流动时间,liu'dong'shi'jian
流动试验,liu'dong'shi'yan
流动试验设备,liu'dong'shi'yan'she'bei
流动特性,liu'dong'te'xing
流动特征,liu'dong'te'zheng
流动稳定性,liu'dong'wen'ding'xing
流动温度,liu'dong'wen'du
流动温度系数,liu'dong'wen'du'xi'shu
流动系数,liu'dong'xi'shu
流动系统,liu'dong'xi'tong
流动限制,liu'dong'xian'zhi
流动相,liu'dong'xiang
流动效应,liu'dong'xiao'ying
流动性,liu'dong'xing
流动性促进剂,liu'dong'xing'cu'jin'ji
流动性改进剂,liu'dong'xing'gai'jin'ji
流动性能,liu'dong'xing'neng
流动性助剂,liu'dong'xing'zhu'ji
流动压力,liu'dong'ya'li
流动压力梯度,liu'dong'ya'li'ti'du
流动因子,liu'dong'yin'zi
流动褶皱,liu'dong'zhe'zhou
流动指数,liu'dong'zhi'shu
流动铸型,liu'dong'zhu'xing
流动状态,liu'dong'zhuang'tai
流动资产,liu'dong'zi'chan
流度指数,liu'du'zhi'shu
馏分数,liu'fen'shu
馏分头部,liu'fen'tou'bu
馏分头部辛烷值,liu'fen'tou'bu'xin'wan'zhi
馏分组成,liu'fen'zu'cheng
流管,liu'guan
流痕,liu'hen
流化,liu'hua
流滑,liu'hua
流化床,liu'hua'chuang
流化床燃烧,liu'hua'chuang'ran'shao
流化床燃烧器,liu'hua'chuang'ran'shao'qi
流化床烧煤加热炉,liu'hua'chuang'shao'mei'jia're'lu
流化催化裂化,liu'hua'cui'hua'lie'hua
流化点,liu'hua'dian
流化焚烧炉,liu'hua'fen'shao'lu
流化剂,liu'hua'ji
硫化铁,liu'hua'tie
硫化亚铁,liu'hua'ya'tie
流化质量,liu'hua'zhi'liang
榴辉岩,liu'hui'yan
六角形,liu'jiao'xing
流径测定仪,liu'jing'ce'ding'yi
流经各小层的流量,liu'jing'ge'xiao'ceng'de'liu'liang
流卷体,liu'juan'ti
流利,liu'li
流量,liu'liang
流量变化,liu'liang'bian'hua
流量表,liu'liang'biao
流量标定器,liu'liang'biao'ding'qi
流量波动,liu'liang'bo'dong
流量测定,liu'liang'ce'ding
流量测井,liu'liang'ce'jing
流量测井控制面板,liu'liang'ce'jing'kong'zhi'mian'ban
流量程序,liu'liang'cheng'xu
流量传感器,liu'liang'chuan'gan'qi
流量范围,liu'liang'fan'wei
流量分析测井,liu'liang'fen'xi'ce'jing
流量计,liu'liang'ji
流量计测量,liu'liang'ji'ce'liang
流量计量,liu'liang'ji'liang
流量记录积分器,liu'liang'ji'lu'ji'fen'qi
流量记录器,liu'liang'ji'lu'qi
流量记录调节器,liu'liang'ji'lu'tiao'jie'qi
流量控制,liu'liang'kong'zhi
流量控制阀,liu'liang'kong'zhi'fa
流量控制分布函数,liu'liang'kong'zhi'fen'bu'han'shu
流量控制器,liu'liang'kong'zhi'qi
流量扩散器,liu'liang'kuo'san'qi
流量剖面,liu'liang'pou'mian
流量调节,liu'liang'tiao'jie
流量调节器,liu'liang'tiao'jie'qi
流量调整试井,liu'liang'tiao'zheng'shi'jing
流量图,liu'liang'tu
流量限制装置,liu'liang'xian'zhi'zhuang'zhi
流量压力图,liu'liang'ya'li'tu
流量增加百分数,liu'liang'zeng'jia'bai'fen'shu
流量指示控制器,liu'liang'zhi'shi'kong'zhi'qi
流面,liu'mian
瘤膜叶肢介亚目,liu'mo'ye'zhi'jie'ya'mu
流劈理,liu'pi'li
流入,liu'ru
流散性,liu'san'xing
流沙,liu'sha
硫砷铜矿,liu'shen'tong'kuang
六十,liu'shi
流水剥蚀旋回,liu'shui'bo'shi'xuan'hui
流水磨蚀,liu'shui'mo'shi
流水作业,liu'shui'zuo'ye
流水作业法,liu'shui'zuo'ye'fa
流水作业线,liu'shui'zuo'ye'xian
流速,liu'su
流速测量,liu'su'ce'liang
流速阀,liu'su'fa
流速剖面,liu'su'pou'mian
硫酸甲醛值,liu'suan'jia'quan'zhi
硫酸铁,liu'suan'tie
硫酸亚铁,liu'suan'ya'tie
流态谱仪,liu'tai'pu'yi
流体,liu'ti
流体饱和度,liu'ti'bao'he'du
流体波,liu'ti'bo
流体采样器,liu'ti'cai'yang'qi
流体层,liu'ti'ceng
流体产量,liu'ti'chan'liang
流体超压,liu'ti'chao'ya
流体冲蚀,liu'ti'chong'shi
流体出口,liu'ti'chu'kou
流体传动,liu'ti'chuan'dong
流体窜槽,liu'ti'cuan'cao
流体的,liu'ti'de
流体动力学,liu'ti'dong'li'xue
流体端,liu'ti'duan
流体对,liu'ti'dui
流体分析,liu'ti'fen'xi
流体封隔器,liu'ti'feng'ge'qi
流体腐蚀性,liu'ti'fu'shi'xing
流体负载,liu'ti'fu'zai
流体含量,liu'ti'han'liang
流体核,liu'ti'he
流体化,liu'ti'hua
流体缓冲作用,liu'ti'huan'chong'zuo'yong
流体汇集带,liu'ti'hui'ji'dai
流体混合器,liu'ti'hun'he'qi
流体加捻,liu'ti'jia'nian
流体降解,liu'ti'jiang'jie
流体校正,liu'ti'jiao'zheng
流体接触,liu'ti'jie'chu
流体界面,liu'ti'jie'mian
流体界面测井,liu'ti'jie'mian'ce'jing
流体进入,liu'ti'jin'ru
流体静力学,liu'ti'jing'li'xue
流体静压力,liu'ti'jing'ya'li
流体可泵性,liu'ti'ke'beng'xing
流体拉伸变形装置,liu'ti'la'shen'bian'xing'zhuang'zhi
流体离合器,liu'ti'li'he'qi
流体力学,liu'ti'li'xue
流体流出,liu'ti'liu'chu
流体流道,liu'ti'liu'dao
流体流动,liu'ti'liu'dong
流体流动方程,liu'ti'liu'dong'fang'cheng
流体流动力学,liu'ti'liu'dong'li'xue
流体流动性,liu'ti'liu'dong'xing
流体流体接触面,liu'ti'liu'ti'jie'chu'mian
流体流体界面,liu'ti'liu'ti'jie'mian
流体慢度,liu'ti'man'du
流体密度,liu'ti'mi'du
流体密度测井,liu'ti'mi'du'ce'jing
流体密度测井仪,liu'ti'mi'du'ce'jing'yi
流体密度差,liu'ti'mi'du'cha
流体摩擦,liu'ti'mo'ca
流体粘度,liu'ti'nian'du
流体排出,liu'ti'pai'chu
流体膨胀驱动,liu'ti'peng'zhang'qu'dong
流体前缘,liu'ti'qian'yuan
流体侵蚀,liu'ti'qin'shi
流体求和法,liu'ti'qiu'he'fa
流体驱替,liu'ti'qu'ti
流体驱替装置,liu'ti'qu'ti'zhuang'zhi
流体圈闭,liu'ti'quan'bi
流体润滑,liu'ti'run'hua
流体渗流强度,liu'ti'shen'liu'qiang'du
流体渗透率,liu'ti'shen'tou'lv
流体势,liu'ti'shi
流体识别图,liu'ti'shi'bie'tu
流体识别仪,liu'ti'shi'bie'yi
流体试样室,liu'ti'shi'yang'shi
流体输出,liu'ti'shu'chu
流体速度,liu'ti'su'du
流体提出物,liu'ti'ti'chu'wu
流体梯度测定仪,liu'ti'ti'du'ce'ding'yi
流体体积,liu'ti'ti'ji
流体突破,liu'ti'tu'po
流体涡流加捻器,liu'ti'wo'liu'jia'nian'qi
流体污染,liu'ti'wu'ran
流体系数,liu'ti'xi'shu
流体压力,liu'ti'ya'li
流体压力梯度,liu'ti'ya'li'ti'du
流体压缩系数,liu'ti'ya'suo'xi'shu
流体压头,liu'ti'ya'tou
流体岩石界面,liu'ti'yan'shi'jie'mian
流体运动学,liu'ti'yun'dong'xue
流体再分布,liu'ti'zai'fen'bu
流体在裂缝中的流动,liu'ti'zai'lie'feng'zhong'de'liu'dong
流体指数,liu'ti'zhi'shu
流体轴承,liu'ti'zhou'cheng
流体注入作业,liu'ti'zhu'ru'zuo'ye
流体铸型,liu'ti'zhu'xing
流体资料,liu'ti'zi'liao
流体阻抗,liu'ti'zu'kang
流体阻力,liu'ti'zu'li
流涂,liu'tu
流纹构造,liu'wen'gou'zao
流纹结构,liu'wen'jie'gou
流霞正长岩,liu'xia'zheng'chang'yan
流线,liu'xian
流线型的,liu'xian'xing'de
流向,liu'xiang
流相比例,liu'xiang'bi'li
流向图,liu'xiang'tu
流型,liu'xing
流性,liu'xing
流行,liu'xing
流型结构,liu'xing'jie'gou
流型图,liu'xing'tu
流形系数,liu'xing'xi'shu
流压,liu'ya
流英正长岩,liu'ying'zheng'chang'yan
流域,liu'yu
六月,liu'yue
流状构造,liu'zhuang'gou'zao
流状结构,liu'zhuang'jie'gou
流状片麻岩,liu'zhuang'pian'ma'yan
流状倾伏构造,liu'zhuang'qing'fu'gou'zao
流状条带,liu'zhuang'tiao'dai
流状褶皱,liu'zhuang'zhe'zhou
龙骨前端部,long'gu'qian'duan'bu
龙门吊,long'men'diao
隆起的,long'qi'de
龙虾,long'xia
隆褶区,long'zhe'qu
漏电,lou'dian
漏电绝缘子,lou'dian'jue'yuan'zi
漏斗,lou'dou
漏斗纺丝法,lou'dou'fang'si'fa
漏斗架,lou'dou'jia
漏斗粘度计,lou'dou'nian'du'ji
漏斗粘度计测定的粘度,lou'dou'nian'du'ji'ce'ding'de'nian'du
漏斗状联顶环,lou'dou'zhuang'lian'ding'huan
漏斗状侵入体,lou'dou'zhuang'qin'ru'ti
漏斗状上端,lou'dou'zhuang'shang'duan
漏斗状岩盘,lou'dou'zhuang'yan'pan
漏气,lou'qi
漏失的油品,lou'shi'de'you'pin
陆表地槽,lu'biao'di'cao
陆表海沉积,lu'biao'hai'chen'ji
陆表浅海相,lu'biao'qian'hai'xiang
陆表相,lu'biao'xiang
陆地克拉通,lu'di'ke'la'tong
陆地克拉通的,lu'di'ke'la'tong'de
陆地钻井,lu'di'zuan'jing
炉管减粘,lu'guan'jian'zhan
炉黑,lu'hei
陆架相,lu'jia'xiang
炉结焦,lu'jie'jiao
陆上河流的,lu'shang'he'liu'de
露丝,lu'si
炉膛温度,lu'tang'wen'du
露天式单浮筒系泊装置,lu'tian'shi'dan'fu'tong'xi'bo'zhuang'zhi
炉条,lu'tiao
陆外地槽,lu'wai'di'cao
陆外盆地,lu'wai'pen'di
陆续退出,lu'xu'tui'chu
炉用搭焊管,lu'yong'da'han'guan
陆缘,lu'yuan
陆缘沉积,lu'yuan'chen'ji
陆缘沉积作用,lu'yuan'chen'ji'zuo'yong
陆缘地槽,lu'yuan'di'cao
陆缘地台,lu'yuan'di'tai
陆缘海,lu'yuan'hai
陆缘盆地,lu'yuan'pen'di
陆缘浅海,lu'yuan'qian'hai
陆缘翘曲,lu'yuan'qiao'qu
陆缘远洋相,lu'yuan'yuan'yang'xiang
炉子,lu'zi
乱石,luan'shi
卵形物,luan'xing'wu
掠过,lue'guo
轮链式挖泥机,lun'lian'shi'wa'ni'ji
轮面,lun'mian
伦琴当量,lun'qin'dang'liang
轮式挖沟机,lun'shi'wa'gou'ji
论坛,lun'tan
轮缘,lun'yuan
落镖试验,luo'biao'shi'yan
落差,luo'cha
落潮,luo'chao
落潮流构造,luo'chao'liu'gou'zao
落锤冲击试验,luo'chui'chong'ji'shi'yan
落锤式织物撕破强力测试仪,luo'chui'shi'zhi'wu'si'po'qiang'li'ce'shi'yi
螺杆式纺丝机,luo'gan'shi'fang'si'ji
裸井段,luo'jing'duan
裸露部分,luo'lu'bu'fen
裸露残丘,luo'lu'can'qiu
裸露端,luo'lu'duan
裸露岩层,luo'lu'yan'ceng
螺帽,luo'mao
罗盘,luo'pan
落球冲击试验,luo'qiu'chong'ji'shi'yan
落球法损伤测定,luo'qiu'fa'sun'shang'ce'ding
落球粘度计,luo'qiu'nian'du'ji
落砂流,luo'sha'liu
落砂磨损试验,luo'sha'mo'sun'shi'yan
螺栓,luo'shuan
螺丝起子,luo'si'qi'zi
落体,luo'ti
落体式绝对重力仪,luo'ti'shi'jue'dui'zhong'li'yi
螺纹面,luo'wen'mian
螺纹全长,luo'wen'quan'chang
落物打捞工人,luo'wu'da'lao'gong'ren
落下,luo'xia
螺旋齿轮,luo'xuan'chi'lun
螺旋形的,luo'xuan'xing'de
螺旋状排列,luo'xuan'zhuang'pai'lie
螺旋钻铤,luo'xuan'zuan'ting
裸眼,luo'yan
裸眼封隔器,luo'yan'feng'ge'qi
裸眼砾石填充完井,luo'yan'li'shi'tian'chong'wan'jing
裸眼完井,luo'yan'wan'jing
落鱼,luo'yu
落针粘度计,luo'zhen'nian'du'ji
滤板,lv'ban
滤饼,lv'bing
氯丙橡校,lv'bing'xiang'xiao
滤波,lv'bo
滤波长度,lv'bo'chang'du
滤波成象,lv'bo'cheng'xiang
滤波窗长,lv'bo'chuang'chang
滤波电路,lv'bo'dian'lu
滤波电容器,lv'bo'dian'rong'qi
滤波后的阵列,lv'bo'hou'de'zhen'lie
滤波器,lv'bo'qi
滤波器边带效应,lv'bo'qi'bian'dai'xiao'ying
滤波器电路,lv'bo'qi'dian'lu
滤波器扼流圈,lv'bo'qi'e'liu'quan
滤波器分隔,lv'bo'qi'fen'ge
滤波器分析,lv'bo'qi'fen'xi
滤波器校正,lv'bo'qi'jiao'zheng
滤波器节,lv'bo'qi'jie
滤波器库,lv'bo'qi'ku
滤波器螺旋电子管,lv'bo'qi'luo'xuan'dian'zi'guan
滤波器扫描,lv'bo'qi'sao'miao
滤波器输出,lv'bo'qi'shu'chu
滤波器衰减带,lv'bo'qi'shuai'jian'dai
滤波器算子,lv'bo'qi'suan'zi
滤波器通带,lv'bo'qi'tong'dai
滤波器图列,lv'bo'qi'tu'lie
滤波器响应曲线,lv'bo'qi'xiang'ying'qu'xian
滤波器因数,lv'bo'qi'yin'shu
滤波器阻带,lv'bo'qi'zu'dai
滤波器阻抗,lv'bo'qi'zu'kang
滤波全息图,lv'bo'quan'xi'tu
滤波算法,lv'bo'suan'fa
滤波网络,lv'bo'wang'luo
滤波阵列,lv'bo'zhen'lie
滤布,lv'bu
滤槽,lv'cao
滤程,lv'cheng
滤出,lv'chu
滤出液,lv'chu'ye
履带式平板货车,lv'dai'shi'ping'ban'huo'che
滤鼓,lv'gu
滤管,lv'guan
滤光光度计,lv'guang'guang'du'ji
滤埚,lv'guo
滤过,lv'guo
氯化钙,lv'hua'gai
氯化铁,lv'hua'tie
滤框,lv'kuang
绿帘石,lv'lian'shi
绿帘石化,lv'lian'shi'hua
绿帘石角闪岩相,lv'lian'shi'jiao'shan'yan'xiang
绿帘石透闪石片岩,lv'lian'shi'tou'shan'shi'pian'yan
绿帘石云母片岩,lv'lian'shi'yun'mu'pian'yan
绿帘岩,lv'lian'yan
滤膜,lv'mo
滤膜电池,lv'mo'dian'chi
滤片,lv'pian
滤片组,lv'pian'zu
滤器,lv'qi
滤器填料,lv'qi'tian'liao
滤清器,lv'qing'qi
滤失特性,lv'shi'te'xing
滤失体积,lv'shi'ti'ji
滤失系数,lv'shi'xi'shu
滤失性能,lv'shi'xing'neng
滤网,lv'wang
滤箱,lv'xiang
滤芯,lv'xin
履行,lv'xing
滤液,lv'ye
滤液出口,lv'ye'chu'kou
滤液密度,lv'ye'mi'du
滤液排出池,lv'ye'pai'chu'chi
滤液损失,lv'ye'sun'shi
滤液因素,lv'ye'yin'su
氯乙醇,lv'yi'chun
氯乙烷,lv'yi'wan
滤油器,lv'you'qi
滤渣,lv'zha
滤纸,lv'zhi
滤纸反应,lv'zhi'fan'ying
抹布,ma'bu
麻花钻,ma'hua'zuan
麻黄粉属,ma'huang'fen'shu
马力小时,ma'li'xiao'shi
马上去,ma'shang'qu
码头交货,ma'tou'jiao'huo
码头交货价,ma'tou'jiao'huo'jia
马头丘,ma'tou'qiu
码头完税价,ma'tou'wan'shui'jia
脉斑岩,mai'ban'yan
埋藏谷,mai'cang'gu
埋藏压力,mai'cang'ya'li
脉冲干扰,mai'chong'gan'rao
脉冲吸收的,mai'chong'xi'shou'de
脉动,mai'dong
脉动发生器,mai'dong'fa'sheng'qi
脉动流动,mai'dong'liu'dong
脉动压力,mai'dong'ya'li
卖方仓库交货价,mai'fang'cang'ku'jiao'huo'jia
买方仓库交货价格,mai'fang'cang'ku'jiao'huo'jia'ge
麦角碱,mai'jiao'jian
麦角甾醇,mai'jiao'zai'chun
麦角甾烷,mai'jiao'zai'wan
埋入,mai'ru
埋入的,mai'ru'de
埋入法,mai'ru'fa
埋入压力,mai'ru'ya'li
埋头螺栓,mai'tou'luo'shuan
埋葬,mai'zang
埋置的,mai'zhi'de
满标线性度,man'biao'xian'xing'du
满标值,man'biao'zhi
满负荷操作,man'fu'he'cao'zuo
满负载,man'fu'zai
满量程,man'liang'cheng
满量程校准,man'liang'cheng'jiao'zhun
漫滩,man'tan
漫滩冲击扇,man'tan'chong'ji'shan
漫滩阶地,man'tan'jie'di
慢弯管,man'wan'guan
满眼,man'yan
满眼底部钻具组合,man'yan'di'bu'zuan'ju'zu'he
满眼组合钻具,man'yan'zu'he'zuan'ju
满载,man'zai
满载的,man'zai'de
满载电流,man'zai'dian'liu
满载特性,man'zai'te'xing
满载转矩,man'zai'zhuan'ju
盲钻,mang'zuan
毛玻璃,mao'bo'li
毛玻璃片,mao'bo'li'pian
猫道,mao'dao
铆钉,mao'ding
毛沸石,mao'fei'shi
锚甲板,mao'jia'ban
铆接,mao'jie
毛皮,mao'pi
锚头,mao'tou
猫头绳,mao'tou'sheng
猫头轴,mao'tou'zhou
毛细边缘水,mao'xi'bian'yuan'shui
毛细管,mao'xi'guan
冒烟,mao'yan
毛衣,mao'yi
锚爪,mao'zhao
帽子,mao'zi
酶变败,mei'bian'bai
煤层气,mei'ceng'qi
煤层气井,mei'ceng'qi'jing
煤尘,mei'chen
酶催化合成,mei'cui'hua'he'cheng
酶的活性,mei'de'huo'xing
每分钟英尺数,mei'fen'zhong'ying'chi'shu
镁橄榄石,mei'gan'lan'shi
每隔一口井,mei'ge'yi'kou'jing
每隔一天,mei'ge'yi'tian
每个钻头进尺,mei'ge'zuan'tou'jin'chi
每股收益,mei'gu'shou'yi
镁光灯,mei'guang'deng
美国东部石油公司,mei'guo'dong'bu'shi'you'gong'si
美国环境保护署,mei'guo'huan'jing'bao'hu'shu
美国联邦能源局,mei'guo'lian'bang'neng'yuan'ju
美国联邦政府的规格,mei'guo'lian'bang'zheng'fu'de'gui'ge
美国联邦政府法规,mei'guo'lian'bang'zheng'fu'fa'gui
美国能源情报局,mei'guo'neng'yuan'qing'bao'ju
