阿鼻,a'bi
空三昧,kong'san'mei
空色,kong'se
空王,kong'wang
空王佛,kong'wang'fo
空无,kong'wu
空无边处,kong'wu'bian'chu
空无边处地,kong'wu'bian'chu'di
空无边处定,kong'wu'bian'chu'ding
空无我,kong'wu'wo
空相,kong'xiang
空性,kong'xing
空一切处,kong'yi'qie'chu
空一显色,kong'yi'xian'se
空有,kong'you
空有二观,kong'you'er'guan
空有二执,kong'you'er'zhi
空有二宗,kong'you'er'zong
空宗,kong'zong
口定,kou'ding
口轮,kou'lun
口密,kou'mi
口四,kou'si
口业,kou'ye
口业供养,kou'ye'gong'yang
苦本,ku'ben
苦谛,ku'di
枯定,ku'ding
苦法智,ku'fa'zhi
苦法智忍,ku'fa'zhi'ren
苦果,ku'guo
苦海,ku'hai
苦际,ku'ji
苦集灭道,ku'ji'mie'dao
苦空,ku'kong
苦空无常,ku'kong'wu'chang
苦空无常无我,ku'kong'wu'chang'wu'wo
苦苦,ku'ku
苦类智,ku'lei'zhi
苦类智忍,ku'lei'zhi'ren
苦轮,ku'lun
苦圣谛,ku'sheng'di
苦性,ku'xing
苦行,ku'xing
苦因,ku'yin
苦余,ku'yu
苦智,ku'zhi
旷劫,kuang'jie
喇嘛,la'ma
喇嘛教,la'ma'jiao
来果,lai'guo
赖耶,lai'ye
赖耶识,lai'ye'shi
来迎,lai'ying
兰若,lan're
酪经,lao'jing
老苦,lao'ku
老婆,lao'po
老婆禅,lao'po'chan
酪味,lao'wei
乐邦,le'bang
乐变化天,le'bian'hua'tian
乐果,le'guo
乐神,le'shen
了生,le'sheng
乐受,le'shou
乐说,le'shuo
乐说无碍,le'shuo'wu'ai
乐说无碍智,le'shuo'wu'ai'zhi
了义,le'yi
了义经,le'yi'jing
了因,le'yin
楞伽,leng'jia
楞伽岛,leng'jia'dao
楞伽悬记,leng'jia'xuan'ji
楞严咒,leng'yan'zhou
礼拜门,li'bai'men
力波罗密,li'bo'luo'mi
离怖畏如来,li'bu'wei'ru'lai
理忏,li'chan
理禅,li'chan
礼忏,li'chan
离尘服,li'chen'fu
理法界,li'fa'jie
理法身,li'fa'shen
理佛,li'fo
离缚断,li'fu'duan
离盖,li'gai
利根,li'gen
离垢,li'gou
离垢地,li'gou'di
离垢世界,li'gou'shi'jie
离垢眼,li'gou'yan
理观,li'guan
理和,li'he
理惑,li'huo
理即,li'ji
理即佛,li'ji'fo
离间语,li'jian'yu
理教,li'jiao
理具,li'ju
理具三千,li'ju'san'qian
利乐,li'le
利乐有情,li'le'you'qing
理论,li'lun
离染服,li'ran'fu
力忍,li'ren
理入,li'ru
利生,li'sheng
离生,li'sheng
离生喜乐地,li'sheng'xi'le'di
离生性,li'sheng'xing
利使,li'shi
理事,li'shi
理事无碍法界,li'shi'wu'ai'fa'jie
理事无碍观,li'shi'wu'ai'guan
利他,li'ta
理体,li'ti
理体三宝,li'ti'san'bao
利物,li'wu
离系果,li'xi'guo
离相,li'xiang
离相戒,li'xiang'jie
理性,li'xing
利行摄,li'xing'she
理修,li'xiu
离言真如,li'yan'zhen'ru
利养,li'yang
离衣宿,li'yi'su
离欲地,li'yu'di
理障,li'zhang
理证,li'zheng
理智,li'zhi
莲邦,lian'bang
莲华,lian'hua
莲华部,lian'hua'bu
莲华念诵,lian'hua'nian'song
莲华胜会,lian'hua'sheng'hui
莲华衣,lian'hua'yi
莲华藏世界,lian'hua'zang'shi'jie
莲华子,lian'hua'zi
莲华坐,lian'hua'zuo
莲刹,lian'sha
莲胎,lian'tai
莲眼,lian'yan
莲宗,lian'zong
莲宗九祖,lian'zong'jiu'zu
莲座,lian'zuo
两垢,liang'gou
两河,liang'he
梁皇忏,liang'huang'chan
两界,liang'jie
两舌,liang'she
两鼠,liang'shu
两足尊,liang'zu'zun
了悟,liao'wu
劣应身,lie'ying'shen
劣智,lie'zhi
临济,lin'ji
临济宗,lin'ji'zong
临终业成,lin'zhong'ye'cheng
临终正念,lin'zhong'zheng'nian
灵感,ling'gan
灵骨,ling'gu
灵光,ling'guang
灵鹫山,ling'jiu'shan
灵山,ling'shan
灵山会上,ling'shan'hui'shang
六八弘誓,liu'ba'hong'shi
六蔽,liu'bi
六波罗密,liu'bo'luo'mi
六尘,liu'chen
六处,liu'chu
六大,liu'da
六大观,liu'da'guan
六道,liu'dao
六道轮回,liu'dao'lun'hui
六道四生,liu'dao'si'sheng
六度,liu'du
六度万行,liu'du'wan'hang
六法戒,liu'fa'jie
六凡,liu'fan
六根,liu'gen
六根本烦恼,liu'gen'ben'fan'nao
六垢,liu'gou
六垢法,liu'gou'fa
六观法,liu'guan'fa
六观音,liu'guan'yin
六行,liu'hang
六和,liu'he
六和合众,liu'he'he'zhong
六和敬,liu'he'jing
六慧,liu'hui
六即,liu'ji
六界,liu'jie
六境,liu'jing
琉璃,liu'li
琉璃王,liu'li'wang
六门,liu'men
六妙门,liu'miao'men
六难,liu'nan
六念,liu'nian
六念处,liu'nian'chu
六趣,liu'qu
六趣轮转,liu'qu'lun'zhuan
六群比丘,liu'qun'bi'qiu
六忍,liu'ren
六入,liu'ru
六如,liu'ru
六瑞,liu'rui
六身,liu'shen
六时,liu'shi
六识,liu'shi
六十二见,liu'shi'er'jian
六十四梵音,liu'shi'si'fan'yin
六衰,liu'shuai
六随眠,liu'sui'mian
六天,liu'tian
六通,liu'tong
六妄,liu'wang
六位,liu'wei
六物,liu'wu
六相,liu'xiang
六业,liu'ye
六夷,liu'yi
六因,liu'yin
六欲,liu'yu
六喻般若,liu'yu'bo're
六欲四禅,liu'yu'si'chan
六欲天,liu'yu'tian
六贼,liu'zei
六斋日,liu'zhai'ri
六种供养,liu'zhong'gong'yang
六种俱生惑,liu'zhong'ju'sheng'huo
六种决定,liu'zhong'jue'ding
六种罗汉,liu'zhong'luo'han
六种巧方便,liu'zhong'qiao'fang'bian
六种调伏,liu'zhong'tiao'fu
六种印,liu'zhong'yin
六种因,liu'zhong'yin
六种震动,liu'zhong'zhen'dong
六舟,liu'zhou
六著心,liu'zhu'xin
流转,liu'zhuan
流转还灭,liu'zhuan'hai'mie
流转门,liu'zhuan'men
六祖,liu'zu
龙宫,long'gong
龙河,long'he
龙华,long'hua
龙华会,long'hua'hui
龙华三会,long'hua'san'hui
龙华树,long'hua'shu
龙猛,long'meng
龙神,long'shen
龙神八部,long'shen'ba'bu
龙胜,long'sheng
龙树,long'shu
龙天,long'tian
龙王,long'wang
龙象,long'xiang
龙子,long'zi
漏缚,lou'fu
漏戒,lou'jie
漏尽,lou'jin
漏尽阿罗汉,lou'jin'a'luo'han
漏尽比丘,lou'jin'bi'qiu
漏尽力,lou'jin'li
漏尽明,lou'jin'ming
漏尽通,lou'jin'tong
漏尽无所畏,lou'jin'wu'suo'wei
漏尽无畏,lou'jin'wu'wei
漏尽意解,lou'jin'yi'jie
漏尽智,lou'jin'zhi
漏尽智证明,lou'jin'zhi'zheng'ming
漏尽智证通,lou'jin'zhi'zheng'tong
漏业,lou'ye
漏质,lou'zhi
鹿车,lu'che
露地坐,lu'di'zuo
路迦那他,lu'jia'na'ta
路迦祇夜,lu'jia'qi'ye
漉水囊,lu'shui'nang
鹿野苑,lu'ye'yuan
鹿苑,lu'yuan
鹿苑时,lu'yuan'shi
乱善,luan'shan
卵生,luan'sheng
乱心,luan'xin
轮宝,lun'bao
论部,lun'bu
轮回,lun'hui
轮王,lun'wang
论藏,lun'zang
轮转,lun'zhuan
罗刹,luo'cha
罗刹鬼,luo'cha'gui
罗刹国,luo'cha'guo
罗汉,luo'han
罗侯罗,luo'hou'luo
律藏,lv'cang
律忏,lv'chan
律乘,lv'cheng
律师,lv'shi
律相,lv'xiang
律行,lv'xing
律仪,lv'yi
律仪戒,lv'yi'jie
律宗,lv'zong
马鸣,ma'ming
曼怛罗,man'da'luo
满分戒,man'fen'jie
慢见,man'jian
慢结,man'jie
慢使,man'shi
曼殊,man'shu
曼殊师利,man'shu'shi'li
曼荼罗,man'tu'luo
曼荼罗教,man'tu'luo'jiao
曼陀罗,man'tuo'luo
满业,man'ye
慢幢,man'zhuang
满字教,man'zi'jiao
毛道,mao'dao
毛头,mao'tou
眉间白毫相,mei'jian'bai'hao'xiang
眉间光,mei'jian'guang
密藏,mi'cang
密法,mi'fa
秘法,mi'fa
密教,mi'jiao
秘教,mi'jiao
迷界,mi'jie
密经,mi'jing
秘经,mi'jing
弥勒,mi'le
弥勒出世,mi'le'chu'shi
弥勒净土,mi'le'jing'tu
弥勒三部,mi'le'san'bu
弥勒三尊,mi'le'san'zun
迷律,mi'lv
秘密,mi'mi
秘密藏,mi'mi'cang
秘密乘,mi'mi'cheng
秘密号,mi'mi'hao
秘密教,mi'mi'jiao
秘密戒,mi'mi'jie
秘密经,mi'mi'jing
秘密咒,mi'mi'zhou
秘密宗,mi'mi'zong
迷情,mi'qing
弥陀,mi'tuo
弥陀本愿,mi'tuo'ben'yuan
弥陀名号,mi'tuo'ming'hao
弥陀三部,mi'tuo'san'bu
弥陀三圣,mi'tuo'san'sheng
弥陀三尊,mi'tuo'san'zun
迷妄,mi'wang
迷悟一如,mi'wu'yi'ru
迷悟因果,mi'wu'yin'guo
密行,mi'xing
秘要,mi'yao
密印,mi'yin
秘印,mi'yin
密语,mi'yu
迷执,mi'zhi
密咒,mi'zhou
密宗,mi'zong
妙德,miao'de
妙典,miao'dian
妙法,miao'fa
妙法藏,miao'fa'cang
妙法宫,miao'fa'gong
妙法莲华,miao'fa'lian'hua
妙法轮,miao'fa'lun
妙高山,miao'gao'shan
妙观,miao'guan
妙观察智,miao'guan'cha'zhi
妙果,miao'guo
妙慧,miao'hui
妙吉祥,miao'ji'xiang
妙戒,miao'jie
妙觉,miao'jue
妙觉地,miao'jue'di
妙乐,miao'le
妙理,miao'li
妙莲华,miao'lian'hua
妙门,miao'men
妙明,miao'ming
妙色,miao'se
妙土,miao'tu
妙喜世界,miao'xi'shi'jie
妙喜足天,miao'xi'zu'tian
妙祥,miao'xiang
妙心,miao'xin
妙音大士,miao'yin'da'shi
妙音菩萨,miao'yin'pu'sa
妙音天,miao'yin'tian
妙音乐天,miao'yin'yue'tian
妙有,miao'you
妙有真空,miao'you'zhen'kong
妙幢,miao'zhuang
妙幢相三昧,miao'zhuang'xiang'san'mei
灭道,mie'dao
灭谛,mie'di
灭定,mie'ding
灭度,mie'du
灭法,mie'fa
灭法忍,mie'fa'ren
灭法智,mie'fa'zhi
灭法智忍,mie'fa'zhi'ren
灭后,mie'hou
灭尽定,mie'jin'ding
灭尽妙离,mie'jin'miao'li
灭尽三昧,mie'jin'san'mei
灭类忍,mie'lei'ren
灭类智,mie'lei'zhi
灭类智忍,mie'lei'zhi'ren
灭理,mie'li
灭受想定,mie'shou'xiang'ding
灭智,mie'zhi
明处,ming'chu
明达,ming'da
名德,ming'de
明得萨埵,ming'de'sa'duo
明地,ming'di
冥府,ming'fu
明慧,ming'hui
冥加,ming'jia
冥界,ming'jie
命命鸟,ming'ming'niao
名色,ming'se
冥使,ming'shi
名数,ming'shu
冥通,ming'tong
冥途,ming'tu
明脱,ming'tuo
明王,ming'wang
名相,ming'xiang
明心见性,ming'xin'jian'xing
冥性,ming'xing
明行足,ming'xing'zu
冥熏,ming'xun
明月摩尼,ming'yue'mo'ni
命者,ming'zhe
命浊,ming'zhuo
魔病,mo'bing
魔波旬,mo'bo'xun
摩触,mo'chu
摩触戒,mo'chu'jie
魔道,mo'dao
摩顶,mo'ding
摩顶授记,mo'ding'shou'ji
末法,mo'fa
魔梵,mo'fan
魔佛,mo'fo
摩诃,mo'he
摩诃般涅槃那,mo'he'ban'nie'pan'na
摩诃般若,mo'he'bo're
摩诃般若波罗蜜多,mo'he'bo're'bo'luo'mi'duo
摩诃迦叶,mo'he'jia'ye
摩诃摩耶,mo'he'mo'ye
摩诃目犍连,mo'he'mu'jian'lian
摩诃萨,mo'he'sa
摩诃萨埵,mo'he'sa'duo
摩诃衍,mo'he'yan
摩诃衍那,mo'he'yan'na
摩侯罗伽,mo'hou'luo'jia
摩呼洛伽,mo'hu'luo'jia
魔戒,mo'jie
魔界,mo'jie
魔军,mo'jun
魔罗,mo'luo
魔罗道,mo'luo'dao
末那识,mo'na'shi
魔事,mo'shi
魔天,mo'tian
魔王,mo'wang
摩醯首罗天,mo'xi'shou'luo'tian
魔障,mo'zhang
牟尼,mou'ni
牟尼王,mou'ni'wang
牟尼仙,mou'ni'xian
牟尼业,mou'ni'ye
目犍连,mu'jian'lian
目连,mu'lian
木鱼,mu'yu
那含,na'han
那伽,na'jia
纳戒,na'jie
纳具,na'ju
那落迦,na'luo'jia
那律,na'lv
南无,na'mo
南无阿弥陀佛,na'mo'e'mi'tuo'fo
南无佛,na'mo'fo
南无喝啰怛那哆罗夜耶,na'mo'he'luo'da'na'duo'luo'ye'ye
纳衣,na'yi
那由他,na'you'ta
那吒,na'zha
衲子,na'zi
难度,nan'du
难伏地,nan'fu'di
南能北秀,nan'neng'bei'xiu
南山,nan'shan
南赡部洲,nan'shan'bu'zhou
南山三观,nan'shan'san'guan
南山三教,nan'shan'san'jiao
难胜地,nan'sheng'di
难陀,nan'tuo
难行,nan'xing
难行道,nan'xing'dao
南阎浮提,nan'yan'fu'ti
难易二道,nan'yi'er'dao
南洲,nan'zhou
南宗,nan'zong
内尘,nei'chen
内典,nei'dian
内凡,nei'fan
内界,nei'jie
内秘,nei'mi
内明,nei'ming
内宿食,nei'su'shi
内外不二门,nei'wai'bu'er'men
内外道,nei'wai'dao
内外兼明,nei'wai'jian'ming
内我,nei'wo
内学,nei'xue
内薰,nei'xun
内缘,nei'yuan
内证,nei'zheng
内众,nei'zhong
内煮,nei'zhu
能所,neng'suo
泥洹,ni'huan
尼戒,ni'jie
念持,nian'chi
念处,nian'chu
念定,nian'ding
念法,nian'fa
念佛,nian'fo
念佛观,nian'fo'guan
念佛回向,nian'fo'hui'xiang
念佛三昧,nian'fo'san'mei
念佛往生,nian'fo'wang'sheng
念佛往生愿,nian'fo'wang'sheng'yuan
念佛宗,nian'fo'zong
念根,nian'gen
拈花示众,nian'hua'shi'zhong
年戒,nian'jie
念戒,nian'jie
念力,nian'li
年满受具,nian'man'shou'ju
念念,nian'nian
念念无常,nian'nian'wu'chang
念僧,nian'seng
念施,nian'shi
念死,nian'si
念诵,nian'song
念天,nian'tian
念无灭,nian'wu'mie
念无失,nian'wu'shi
念珠,nian'zhu
涅槃,nie'pan
涅槃八味,nie'pan'ba'wei
涅槃城,nie'pan'cheng
涅槃佛,nie'pan'fo
涅槃缚,nie'pan'fu
涅槃会,nie'pan'hui
涅槃寂静,nie'pan'ji'jing
涅槃寂静印,nie'pan'ji'jing'yin
涅槃界,nie'pan'jie
涅槃乐,nie'pan'le
涅槃门,nie'pan'men
涅槃那,nie'pan'na
涅槃相,nie'pan'xiang
涅槃印,nie'pan'yin
脓烂想,nong'lan'xiang
脓血地狱,nong'xue'di'yu
暖法,nuan'fa
暖位,nuan'wei
女居士,nv'ju'shi
女六欲,nv'liu'yu
女僧,nv'seng
女天,nv'tian
蕅益,ou'yi
判教,pan'jiao
判释,pan'shi
攀缘,pan'yuan
旁生,pang'sheng
毗钵舍那,pi'bo'she'na
毗梨耶,pi'li'ye
毗卢,pi'lu
毗卢舍那,pi'lu'she'na
毗卢性海,pi'lu'xing'hai
毗奈耶,pi'nai'ye
毗婆尸,pi'po'shi
毗沙门,pi'sha'men
毗舍浮,pi'she'fu
披袒,pi'tan
披剃,pi'ti
譬喻经,pi'yu'jing
辟支,pi'zhi
辟支地,pi'zhi'di
辟支佛,pi'zhi'fo
辟支迦佛陀,pi'zhi'jia'fo'tuo
偏空,pian'kong
偏袒,pian'tan
偏小,pian'xiao
偏圆,pian'yuan
偏真,pian'zhen
偏执,pian'zhi
频伽,pin'jia
频来果,pin'lai'guo
平等,ping'deng
平等法,ping'deng'fa
平等观,ping'deng'guan
平等觉,ping'deng'jue
平等王,ping'deng'wang
平等心,ping'deng'xin
平等性智,ping'deng'xing'zhi
破法,po'fa
破和合僧,po'he'he'seng
破见,po'jian
破戒,po'jie
破戒五过,po'jie'wu'guo
婆罗门,po'luo'men
婆罗门教,po'luo'men'jiao
婆罗提木叉,po'luo'ti'mu'cha
破僧,po'seng
破夏,po'xia
破显,po'xian
破有,po'you
破斋,po'zhai
破执,po'zhi
普度,pu'du
普法,pu'fa
普礼,pu'li
菩萨,pu'sa
菩萨藏,pu'sa'cang
菩萨乘,pu'sa'cheng
菩萨道,pu'sa'dao
菩萨戒,pu'sa'jie
菩萨净戒,pu'sa'jing'jie
菩萨僧,pu'sa'seng
菩萨十地,pu'sa'shi'di
菩萨四无畏,pu'sa'si'wu'wei
菩萨行,pu'sa'xing
菩提,pu'ti
菩提达磨,pu'ti'da'mo
菩提分,pu'ti'fen
菩提萨埵,pu'ti'sa'duo
菩提树,pu'ti'shu
菩提心,pu'ti'xin
菩提心戒,pu'ti'xin'jie
普贤,pu'xian
普贤十愿,pu'xian'shi'yuan
普眼,pu'yan
七宝,qi'bao
七宝狱,qi'bao'yu
七常住果,qi'chang'zhu'guo
七重金山,qi'chong'jin'shan
七大,qi'da
起单,qi'dan
七等觉支,qi'deng'jue'zhi
七法不可避,qi'fa'bu'ke'bi
七法财,qi'fa'cai
七方便,qi'fang'bian
七佛,qi'fo
七佛八菩萨,qi'fo'ba'pu'sa
七垢,qi'gou
七华,qi'hua
祇洹精舍,qi'huan'jing'she
契机,qi'ji
七加行,qi'jia'hang
七见二疑二无明,qi'jian'er'yi'er'wu'ming
器界,qi'jie
七金山,qi'jin'shan
契经,qi'jing
七聚,qi'ju
七觉分,qi'jue'fen
契理,qi'li
七逆,qi'ni
七菩提分,qi'pu'ti'fen
七七斋,qi'qi'zhai
七趣,qi'qu
七圣财,qi'sheng'cai
七圣觉,qi'sheng'jue
七使,qi'shi
七识,qi'shi
乞士,qi'shi
乞食,qi'shi
器世间,qi'shi'jian
器世界,qi'shi'jie
七十五法,qi'shi'wu'fa
祇树,qi'shu
祇树给孤独园,qi'shu'gei'gu'du'yuan
七陀罗尼,qi'tuo'luo'ni
七贤,qi'xian
七贤七圣,qi'xian'qi'sheng
起业相,qi'ye'xiang
七叶岩,qi'ye'yan
七有,qi'you
绮语,qi'yu
祇园,qi'yuan
祇园精舍,qi'yuan'jing'she
七遮罪,qi'zhe'zui
七证师,qi'zheng'shi
七支,qi'zhi
七支戒,qi'zhi'jie
七众,qi'zhong
七种辩,qi'zhong'bian
七种布施,qi'zhong'bu'shi
七种忏悔心,qi'zhong'chan'hui'xin
七种无上,qi'zhong'wu'shang
七种语,qi'zhong'yu
七转识,qi'zhuan'shi
七宗,qi'zong
前尘,qian'chen
悭法七报,qian'fa'qi'bao
前佛后佛,qian'fo'hou'fo
千辐轮,qian'fu'lun
悭结,qian'jie
前念,qian'nian
悭贪,qian'tan
牵引因,qian'yin'yin
强缘,qiang'yuan
伽蓝,qie'lan
伽蓝神,qie'lan'shen
勤,qin
勤策,qin'ce
勤息,qin'xi
勤行,qin'xing
亲缘,qin'yuan
轻安,qing'an
轻安觉支,qing'an'jue'zhi
青鬼,qing'gui
清净,qing'jing
清净法界,qing'jing'fa'jie
清净法眼,qing'jing'fa'yan
清净觉海,qing'jing'jue'hai
清净觉相,qing'jing'jue'xiang
清净涅槃,qing'jing'nie'pan
清净施,qing'jing'shi
清净识,qing'jing'shi
清净土,qing'jing'tu
清净心,qing'jing'xin
清净业处,qing'jing'ye'chu
清净智,qing'jing'zhi
青莲,qing'lian
青莲华,qing'lian'hua
清凉地,qing'liang'di
清凉国师,qing'liang'guo'shi
清凉三昧,qing'liang'san'mei
清信女,qing'xin'nv
清信士,qing'xin'shi
清斋,qing'zhai
求化精进,qiu'hua'jing'jin
求寂,qiu'ji
鹙鹭子,qiu'lu'zi
趣寂,qu'ji
取结,qu'jie
瞿昙,qu'tan
驱乌,qu'wu
驱乌沙弥,qu'wu'sha'mi
去执,qu'zhi
取支,qu'zhi
取著,qu'zhu
权乘菩萨,quan'cheng'pu'sa
权化,quan'hua
权教,quan'jiao
劝诫,quan'jie
劝门,quan'men
权门,quan'men
权实,quan'shi
权实不二门,quan'shi'bu'er'men
权实二教,quan'shi'er'jiao
权实二智,quan'shi'er'zhi
权智,quan'zhi
权智实智之一心三观,quan'zhi'shi'zhi'zhi'yi'xin'san'guan
群迷,qun'mi
群生,qun'sheng
群有,qun'you
燃灯,ran'deng
燃灯佛,ran'deng'fo
染法,ran'fa
染界,ran'jie
染污,ran'wu
染污无知,ran'wu'wu'zhi
染污意,ran'wu'yi
染心,ran'xin
染衣,ran'yi
染缘,ran'yuan
燃指,ran'zhi
染著,ran'zhu
绕佛,rao'fo
绕塔,rao'ta
饶王,rao'wang
饶王佛,rao'wang'fo
饶益,rao'yi
饶益有情戒,rao'yi'you'qing'jie
热恼,re'nao
热铁地狱,re'tie'di'yu
人,ren
人道,ren'dao
忍地,ren'di
忍法,ren'fa
人非人,ren'fei'ren
人见,ren'jian
忍界,ren'jie
人空,ren'kong
人空观,ren'kong'guan
忍辱,ren'ru
忍辱波罗蜜,ren'ru'bo'luo'mi
忍辱衣,ren'ru'yi
人身,ren'shen
人师子,ren'shi'zi
人天,ren'tian
忍调,ren'tiao
忍土,ren'tu
忍位,ren'wei
人我见,ren'wo'jian
人我执,ren'wo'zhi
人无我,ren'wu'wo
人无我智,ren'wu'wo'zhi
忍行,ren'xing
任运,ren'yun
仁者,ren'zhe
人执,ren'zhi
忍智,ren'zhi
融通,rong'tong
肉灯,rou'deng
柔软,rou'ruan
柔软语,rou'ruan'yu
肉山,rou'shan
肉身菩萨,rou'shen'pu'sa
柔顺忍,rou'shun'ren
肉心,rou'xin
肉眼,rou'yan
入,ru
入定,ru'ding
如法,ru'fa
入法界,ru'fa'jie
入观,ru'guan
乳经,ru'jing
入空,ru'kong
如来,ru'lai
如来禅,ru'lai'chan
如来地,ru'lai'di
如来慧,ru'lai'hui
如来家,ru'lai'jia
如来使,ru'lai'shi
如来识,ru'lai'shi
如来藏,ru'lai'zang
如来藏心,ru'lai'zang'xin
如来藏缘起,ru'lai'zang'yuan'qi
如理,ru'li
如理智,ru'li'zhi
如量智,ru'liang'zhi
入灭,ru'mie
如去,ru'qu
如如,ru'ru
如如佛,ru'ru'fo
如如智,ru'ru'zhi
入圣,ru'sheng
入世,ru'shi
如实,ru'shi
如是,ru'shi
如是报,ru'shi'bao
如实不空,ru'shi'bu'kong
如实道,ru'shi'dao
入世法,ru'shi'fa
如是果,ru'shi'guo
如实空,ru'shi'kong
如是力,ru'shi'li
如是体,ru'shi'ti
如是我闻,ru'shi'wo'wen
如是相,ru'shi'xiang
如是性,ru'shi'xing
如实修行,ru'shi'xiu'xing
如是因,ru'shi'yin
如是缘,ru'shi'yuan
如实智,ru'shi'zhi
如实知,ru'shi'zhi
如实知见,ru'shi'zhi'jian
如实知者,ru'shi'zhi'zhe
如是作,ru'shi'zuo
乳味,ru'wei
入我我入,ru'wo'wo'ru
入信,ru'xin
入心,ru'xin
如意宝,ru'yi'bao
如意佛,ru'yi'fo
如意轮,ru'yi'lun
如意轮观音,ru'yi'lun'guan'yin
如意轮莲华心如来,ru'yi'lun'lian'hua'xin'ru'lai
如意通,ru'yi'tong
如意珠,ru'yi'zhu
如意足,ru'yi'zu
如语,ru'yu
入住出三心,ru'zhu'chu'san'xin
瑞应,rui'ying
萨埵,sa'duo
萨迦耶见,sa'jia'ye'jian
萨婆多部,sa'po'duo'bu
萨婆若,sa'po'ruo
三白法,san'bai'fa
三白食,san'bai'shi
三宝,san'bao
三报,san'bao
三宝物,san'bao'wu
三宝藏,san'bao'zang
三病,san'bing
三般若,san'bo're
三部,san'bu
三不坚法,san'bu'jian'fa
三部经,san'bu'jing
三不净肉,san'bu'jing'rou
三部秘经,san'bu'mi'jing
三不善根,san'bu'shan'gen
三不退,san'bu'tui
三禅,san'chan
三长斋月,san'chang'zhai'yue
三车,san'che
三车家,san'che'jia
三乘,san'cheng
三乘教,san'cheng'jiao
三大,san'da
三达,san'da
三道,san'dao
三德,san'de
三谛,san'di
散地,san'di
三谛圆融,san'di'yuan'rong
三颠倒,san'dian'dao
三毒,san'du
三断,san'duan
三多,san'duo
三恶道,san'e'dao
三法,san'fa
三法轮,san'fa'lun
三法身,san'fa'shen
三法无差,san'fa'wu'cha
三法印,san'fa'yin
三烦恼,san'fan'nao
三分,san'fen
三分别,san'fen'bie
三佛,san'fo
三佛身,san'fo'shen
三佛土,san'fo'tu
三佛性,san'fo'xing
三佛语,san'fo'yu
三佛子,san'fo'zi
三福,san'fu
三缚,san'fu
三根,san'gen
三垢,san'gou
三观,san'guan
三光,san'guang
三归,san'gui
三皈,san'gui
三归五戒,san'gui'wu'jie
三果,san'guo
三行,san'hang
三和,san'he
三慧,san'hui
三会说法,san'hui'shuo'fa
三惑,san'huo
三火,san'huo
三际,san'ji
三教,san'jiao
三劫,san'jie
三戒,san'jie
三界,san'jie
三界八苦,san'jie'ba'ku
三界藏,san'jie'cang
三界二十八天,san'jie'er'shi'ba'tian
三界火宅,san'jie'huo'zhai
三界九地,san'jie'jiu'di
三界空花,san'jie'kong'hua
三解脱门,san'jie'tuo'men
三界唯一心,san'jie'wei'yi'xin
三界眼,san'jie'yan
三界尊,san'jie'zun
三境,san'jing
三净肉,san'jing'rou
三经一论,san'jing'yi'lun
三举,san'ju
三聚,san'ju
三聚净戒,san'ju'jing'jie
三聚圆戒,san'ju'yuan'jie
三具足,san'ju'zu
三觉,san'jue
三空,san'kong
三空不空,san'kong'bu'kong
三空观门,san'kong'guan'men
三空门,san'kong'men
三空摩地,san'kong'mo'di
三苦,san'ku
三力,san'li
三量,san'liang
三漏,san'lou
三论,san'lun
三轮,san'lun
三轮世界,san'lun'shi'jie
三轮体空,san'lun'ti'kong
三轮相,san'lun'xiang
三论宗,san'lun'zong
三昧,san'mei
三昧佛,san'mei'fo
三昧耶,san'mei'ye
三昧印,san'mei'yin
三密,san'mi
三密加持,san'mi'jia'chi
三密相应,san'mi'xiang'ying
三密瑜伽,san'mi'yu'jia
三藐三佛陀,san'miao'san'fo'tuo
三藐三菩提,san'miao'san'pu'ti
三明,san'ming
三摩,san'mo
三摩半那,san'mo'ban'na
三摩钵底,san'mo'bo'di
三摩地,san'mo'di
三摩地法,san'mo'di'fa
三摩耶道,san'mo'ye'dao
三难,san'nan
三能变,san'neng'bian
三念处,san'nian'chu
三念住,san'nian'zhu
三品忏悔,san'pin'chan'hui
三平等,san'ping'deng
三平等地,san'ping'deng'de
三平等观,san'ping'deng'guan
三平等戒,san'ping'deng'jie
三菩提,san'pu'ti
三祇,san'qi
三祇百劫,san'qi'bai'jie
三七日,san'qi'ri
三千大千世界,san'qian'da'qian'shi'jie
三千界,san'qian'jie
三千净行,san'qian'jing'xing
三千实相,san'qian'shi'xiang
三千威仪,san'qian'wei'yi
三千性相,san'qian'xing'xiang
三忍,san'ren
三三昧,san'san'mei
三三摩地,san'san'mo'di
散善,san'shan
三善道,san'shan'dao
三善根,san'shan'gen
三善知识,san'shan'zhi'shi
三身,san'shen
三身佛性,san'shen'fo'xing
三身如来,san'shen'ru'lai
三身三德,san'shen'san'de
三生成佛,san'sheng'cheng'fo
三世,san'shi
三使,san'shi
三施,san'shi
三识,san'shi
三世不可得,san'shi'bu'ke'de
三十二相,san'shi'er'xiang
三十二应,san'shi'er'ying
三世佛母,san'shi'fo'mu
三世间,san'shi'jian
三时教,san'shi'jiao
三世觉母,san'shi'jue'mu
三十六鬼,san'shi'liu'gui
三时年限,san'shi'nian'xian
三十七道品,san'shi'qi'dao'pin
三十七菩提分法,san'shi'qi'pu'ti'fen'fa
三十三身,san'shi'san'shen
三十五佛,san'shi'wu'fo
