阿帕奇,a'pa'qi
引进行动,yin'jin'xing'dong
隐身措施,yin'shen'cuo'shi
隐身技术,yin'shen'ji'shu
隐身能力,yin'shen'neng'li
隐身设计,yin'shen'she'ji
隐身途径,yin'shen'tu'jing
隐身性,yin'shen'xing
隐身性能,yin'shen'xing'neng
隐身性能优势,yin'shen'xing'neng'you'shi
隐身性设计,yin'shen'xing'she'ji
隐身研究小组,yin'shen'yan'jiu'xiao'zu
隐身战斗机,yin'shen'zhan'dou'ji
隐形飞机,yin'xing'fei'ji
隐形轰炸机,yin'xing'hong'zha'ji
隐形特性,yin'xing'te'xing
隐形战斗机,yin'xing'zhan'dou'ji
隐形战机,yin'xing'zhan'ji
隐形战略轰炸机,yin'xing'zhan'lue'hong'zha'ji
音障,yin'zhang
英国的,ying'guo'de
硬铝,ying'lv
应能作,ying'neng'zuo
鹰式战斗机,ying'shi'zhan'dou'ji
应选择,ying'xuan'ze
用钛比例,yong'tai'bi'li
用途广泛,yong'tu'guang'fan
用以保障,yong'yi'bao'zhang
用以获取,yong'yi'huo'qu
用于对,yong'yu'dui
用于空战,yong'yu'kong'zhan
有多种分类,you'duo'zhong'fen'lei
优良的,you'liang'de
有切尖的,you'qie'jian'de
有人轰炸机,you'ren'hong'zha'ji
有效地,you'xiao'de
有效射程,you'xiao'she'cheng
有效载荷,you'xiao'zai'he
有源相控阵雷达,you'yuan'xiang'kong'zhen'lei'da
优质战机,you'zhi'zhan'ji
预定产量,yu'ding'chan'liang
预定目标区域,yu'ding'mu'biao'qu'yu
与机翼相连,yu'ji'yi'xiang'lian
预警雷达,yu'jing'lei'da
与美国,yu'mei'guo
远程飞行,yuan'cheng'fei'xing
远程轰炸机,yuan'cheng'hong'zha'ji
远程机动作战能力,yuan'cheng'ji'dong'zuo'zhan'neng'li
远程警戒雷达,yuan'cheng'jing'jie'lei'da
远程全天候,yuan'cheng'quan'tian'hou
圆满成功,yuan'man'cheng'gong
原型机,yuan'xing'ji
原有的,yuan'you'de
圆锥状云团,yuan'zhui'zhuang'yun'tuan
运动性,yun'dong'xing
运载火箭,yun'zai'huo'jian
再次从,zai'ci'cong
载弹量,zai'dan'liang
载弹量大,zai'dan'liang'da
在机体上,zai'ji'ti'shang
载客人数,zai'ke'ren'shu
在空中飞行,zai'kong'zhong'fei'xing
在未来,zai'wei'lai
在研究,zai'yan'jiu
载油量大,zai'you'liang'da
造价,zao'jia
早期生产型,zao'qi'sheng'chan'xing
增大到,zeng'da'dao
增加到,zeng'jia'dao
增加了,zeng'jia'le
增推改型,zeng'tui'gai'xing
炸弹舱,zha'dan'cang
炸弹舱的前后,zha'dan'cang'de'qian'hou
战斗半径,zhan'dou'ban'jing
战斗飞行,zhan'dou'fei'xing
战斗轰炸机,zhan'dou'hong'zha'ji
战斗机部队,zhan'dou'ji'bu'dui
战斗机采购招标工作,zhan'dou'ji'cai'gou'zhao'biao'gong'zuo
战斗机的,zhan'dou'ji'de
战斗机进气道,zhan'dou'ji'jin'qi'dao
战斗机联队,zhan'dou'ji'lian'dui
战斗机上,zhan'dou'ji'shang
战斗机生产商,zhan'dou'ji'sheng'chan'shang
战斗机中,zhan'dou'ji'zhong
战斗机中队,zhan'dou'ji'zhong'dui
战斗机座舱,zhan'dou'ji'zuo'cang
战斗机座舱界面,zhan'dou'ji'zuo'cang'jie'mian
战斗力,zhan'dou'li
战机本身,zhan'ji'ben'shen
战机中的,zhan'ji'zhong'de
展开的,zhan'kai'de
战略和预算评估中心,zhan'lue'he'yu'suan'ping'gu'zhong'xin
战略轰炸机,zhan'lue'hong'zha'ji
战略情报,zhan'lue'qing'bao
战略要求,zhan'lue'yao'qiu
战略侦察机,zhan'lue'zhen'cha'ji
战区制空权,zhan'qu'zhi'kong'quan
展示出,zhan'shi'chu
战术导航系统,zhan'shu'dao'hang'xi'tong
战术电战系统,zhan'shu'dian'zhan'xi'tong
战术轰炸机,zhan'shu'hong'zha'ji
战术战斗机,zhan'shu'zhan'dou'ji
战术侦察机,zhan'shu'zhen'cha'ji
战隼,zhan'sun
展弦比,zhan'xian'bi
战役战术情报,zhan'yi'zhan'shu'qing'bao
遮断,zhe'duan
这个目标,zhe'ge'mu'biao
这个型号,zhe'ge'xing'hao
这款战机,zhe'kuan'zhan'ji
这两架飞机,zhe'liang'jia'fei'ji
这是因为,zhe'shi'yin'wei
这一飞机,zhe'yi'fei'ji
这一阶段,zhe'yi'jie'duan
这种吨位,zhe'zhong'dun'wei
这种环境,zhe'zhong'huan'jing
这种涂层,zhe'zhong'tu'ceng
这种运输机,zhe'zhong'yun'shu'ji
震波,zhen'bo
侦察兵,zhen'cha'bing
侦察工具,zhen'cha'gong'ju
真正的航母,zhen'zheng'de'hang'mu
正常工作,zheng'chang'gong'zuo
正常模件,zheng'chang'mu'jian
正常起飞重量,zheng'chang'qi'fei'zhong'liang
整个航电系统,zheng'ge'hang'dian'xi'tong
整流罩,zheng'liu'zhao
整流罩结构,zheng'liu'zhao'jie'gou
整流罩前缘半径,zheng'liu'zhao'qian'yuan'ban'jing
正面雷达反射截面积,zheng'mian'lei'da'fan'she'jie'mian'ji
正前方下视角,zheng'qian'fang'xia'shi'jiao
争取高度,zheng'qu'gao'du
正式部署,zheng'shi'bu'shu
正式服役,zheng'shi'fu'yi
正式服役的,zheng'shi'fu'yi'de
正式加入了,zheng'shi'jia'ru'le
正式交付,zheng'shi'jiao'fu
正式签署,zheng'shi'qian'shu
正式宣布,zheng'shi'xuan'bu
正式装备,zheng'shi'zhuang'bei
整套综合,zheng'tao'zong'he
整体环境,zheng'ti'huan'jing
整体式风挡,zheng'ti'shi'feng'dang
整体实力,zheng'ti'shi'li
正在对,zheng'zai'dui
正在研制,zheng'zai'yan'zhi
正在研制中的,zheng'zai'yan'zhi'zhong'de
制电磁权,zhi'dian'ci'quan
直接靠近,zhi'jie'kao'jin
直接在,zhi'jie'zai
至今已生产,zhi'jin'yi'sheng'chan
制空权,zhi'kong'quan
制空优势的,zhi'kong'you'shi'de
指控战斗,zhi'kong'zhan'dou
只能挂,zhi'neng'gua
至少需要,zhi'shao'xu'yao
直升机航母,zhi'sheng'ji'hang'mu
直升机航展,zhi'sheng'ji'hang'zhan
执行任务,zhi'xing'ren'wu
支援性,zhi'yuan'xing
制造合同,zhi'zao'he'tong
中程,zhong'cheng
中程轰炸机,zhong'cheng'hong'zha'ji
中程空对空导弹,zhong'cheng'kong'dui'kong'dao'dan
中程空空导弹,zhong'cheng'kong'kong'dao'dan
中低空,zhong'di'kong
中段,zhong'duan
众多竞争者,zhong'duo'jing'zheng'zhe
中俄,zhong'e
中俄合作协议,zhong'e'he'zuo'xie'yi
中俄双方,zhong'e'shuang'fang
中俄之间,zhong'e'zhi'jian
中方总师,zhong'fang'zong'shi
中国成飞,zhong'guo'cheng'fei
中国共有,zhong'guo'gong'you
中国国防报,zhong'guo'guo'fang'bao
中国航空工业第一集团公司,zhong'guo'hang'kong'gong'ye'di'yi'ji'tuan'gong'si
中国空军,zhong'guo'kong'jun
中国南部,zhong'guo'nan'bu
中国战机,zhong'guo'zhan'ji
中近程轰炸机,zhong'jin'cheng'hong'zha'ji
中距空空导弹,zhong'ju'kong'kong'dao'dan
中距离,zhong'ju'li
重心附近,zhong'xin'fu'jin
中心轴,zhong'xin'zhou
重型,zhong'xing
中型,zhong'xing
重型轰炸机,zhong'xing'hong'zha'ji
中型轰炸机,zhong'xing'hong'zha'ji
重型舰载战斗机,zhong'xing'jian'zai'zhan'dou'ji
重型喷气战斗机,zhong'xing'pen'qi'zhan'dou'ji
重型隐形战斗机,zhong'xing'yin'xing'zhan'dou'ji
重型战斗机,zhong'xing'zhan'dou'ji
重型制空战斗机,zhong'xing'zhi'kong'zhan'dou'ji
中型直升机,zhong'xing'zhi'sheng'ji
中央数据综合处理系统,zhong'yang'shu'ju'zong'he'chu'li'xi'tong
中央数位电脑系统,zhong'yang'shu'wei'dian'nao'xi'tong
中央钛矿区,zhong'yang'tai'kuang'qu
重要特点,zhong'yao'te'dian
中印边境,zhong'yin'bian'jing
周边国家,zhou'bian'guo'jia
轴驱动式,zhou'qu'dong'shi
昼夜执行,zhou'ye'zhi'xing
洲转场飞行,zhou'zhuan'chang'fei'xing
主动电子扫描相控阵雷达,zhu'dong'dian'zi'sao'miao'xiang'kong'zhen'lei'da
主动相位阵列雷达,zhu'dong'xiang'wei'zhen'lie'lei'da
主动状态,zhu'dong'zhuang'tai
主动状态工作,zhu'dong'zhuang'tai'gong'zuo
珠海航展,zhu'hai'hang'zhan
主力机型,zhu'li'ji'xing
主力机种,zhu'li'ji'zhong
主力战机,zhu'li'zhan'ji
主力战略轰炸机,zhu'li'zhan'lue'hong'zha'ji
主力制空战斗机,zhu'li'zhi'kong'zhan'dou'ji
主力重型战斗机,zhu'li'zhong'xing'zhan'dou'ji
主要部分,zhu'yao'bu'fen
主要机种,zhu'yao'ji'zhong
主要结构材料,zhu'yao'jie'gou'cai'liao
主要竞争对手,zhu'yao'jing'zheng'dui'shou
主要任务,zhu'yao'ren'wu
主要武器,zhu'yao'wu'qi
主要用途,zhu'yao'yong'tu
主要用于,zhu'yao'yong'yu
主要战区,zhu'yao'zhan'qu
主要装备,zhu'yao'zhuang'bei
主翼,zhu'yi
主战机种,zhu'zhan'ji'zhong
主支撑,zhu'zhi'cheng
转换到,zhuan'huan'dao
专门设计,zhuan'men'she'ji
专门用于,zhuan'men'yong'yu
转移至,zhuan'yi'zhi
专注于,zhuan'zhu'yu
装备了,zhuang'bei'le
装备生产型号,zhuang'bei'sheng'chan'xing'hao
装备战斗机,zhuang'bei'zhan'dou'ji
装有,zhuang'you
装在苏,zhuang'zai'su
准航母,zhun'hang'mu
准确飞抵,zhun'que'fei'di
着陆滑行距离,zhuo'lu'hua'xing'ju'li
自动工作,zi'dong'gong'zuo
自动驾驶仪,zi'dong'jia'shi'yi
自动仪表设备,zi'dong'yi'biao'she'bei
自动转移,zi'dong'zhuan'yi
自建国以来,zi'jian'guo'yi'lai
资深飞行员,zi'shen'fei'xing'yuan
自身强度,zi'shen'qiang'du
资深试飞员,zi'shen'shi'fei'yuan
自卫干扰机,zi'wei'gan'rao'ji
自卫能力,zi'wei'neng'li
仔细研究,zi'xi'yan'jiu
自行生产,zi'xing'sheng'chan
自行生产战斗机,zi'xing'sheng'chan'zhan'dou'ji
自行研制,zi'xing'yan'zhi
自主三代作战飞机,zi'zhu'san'dai'zuo'zhan'fei'ji
综合航空电子系统,zong'he'hang'kong'dian'zi'xi'tong
综合考虑,zong'he'kao'lv
综合气动力系统,zong'he'qi'dong'li'xi'tong
综合通讯,zong'he'tong'xun
总设计师,zong'she'ji'shi
总体数量,zong'ti'shu'liang
总体战术作战兵力,zong'ti'zhan'shu'zuo'zhan'bing'li
总推力,zong'tui'li
总引进数量,zong'yin'jin'shu'liang
组建完成,zu'jian'wan'cheng
足以使用,zu'yi'shi'yong
最昂贵,zui'ang'gui
最昂贵的战斗机,zui'ang'gui'de'zhan'dou'ji
最初的,zui'chu'de
最大不同,zui'da'bu'tong
最大过载,zui'da'guo'zai
最大航程,zui'da'hang'cheng
最大航速,zui'da'hang'su
最大加速度,zui'da'jia'su'du
最大开度,zui'da'kai'du
最大爬升率,zui'da'pa'sheng'lv
最大平飞时速,zui'da'ping'fei'shi'su
最大平飞速度,zui'da'ping'fei'su'du
最大起飞重量,zui'da'qi'fei'zhong'liang
最大上升率,zui'da'shang'sheng'lv
最大载弹量,zui'da'zai'dan'liang
最大战斗载荷,zui'da'zhan'dou'zai'he
最好的,zui'hao'de
最后批次的,zui'hou'pi'ci'de
最后一种型号,zui'hou'yi'zhong'xing'hao
最近还,zui'jin'hai
最精密的,zui'jing'mi'de
最为复杂,zui'wei'fu'za
最先进的,zui'xian'jin'de
最新型,zui'xin'xing
最新一期,zui'xin'yi'qi
最终布局的,zui'zhong'bu'ju'de
最终价格,zui'zhong'jia'ge
最终同意,zui'zhong'tong'yi
最重要的功能,zui'zhong'yao'de'gong'neng
座舱,zuo'cang
座舱盖,zuo'cang'gai
座舱介面,zuo'cang'jie'mian
座舱内,zuo'cang'nei
座舱内部,zuo'cang'nei'bu
座舱内的,zuo'cang'nei'de
座舱外,zuo'cang'wai
做出选择,zuo'chu'xuan'ze
作为一个,zuo'wei'yi'ge
座椅位置,zuo'yi'wei'zhi
左右两个,zuo'you'liang'ge
作战半径,zuo'zhan'ban'jing
作战部队,zuo'zhan'bu'dui
作战飞机,zuo'zhan'fei'ji
作战能力,zuo'zhan'neng'li
作战任务,zuo'zhan'ren'wu
作战任务类型,zuo'zhan'ren'wu'lei'xing
作战实力,zuo'zhan'shi'li
作战手段,zuo'zhan'shou'duan
作战体系,zuo'zhan'ti'xi
作战效能,zuo'zhan'xiao'neng
作战型,zuo'zhan'xing
作战性能,zuo'zhan'xing'neng
