阿德勒心理学,a'de'le'xin'li'xue
利他主义,li'ta'zhu'yi
立体定位技术,li'ti'ding'wei'ji'shu
立体色,li'ti'se
立体视差,li'ti'shi'cha
立体显示,li'ti'xian'shi
立体知觉,li'ti'zhi'jue
理想,li'xiang
理想自我,li'xiang'zi'wo
理性情绪疗法,li'xing'qing'xu'liao'fa
理性心理学,li'xing'xin'li'xue
理性主义,li'xing'zhu'yi
理智感,li'zhi'gan
理智化,li'zhi'hua
离中趋势,li'zhong'qu'shi
链分析,lian'fen'xi
联合纤维,lian'he'xian'wei
连合纤维,lian'he'xian'wei
联觉,lian'jiao
联结主义心理学,lian'jie'zhu'yi'xin'li'xue
恋母情结,lian'mu'qing'jie
恋童症,lian'tong'zheng
恋物癖,lian'wu'pi
恋物症,lian'wu'zheng
练习,lian'xi
练习极限,lian'xi'ji'xian
练习律,lian'xi'lv
练习曲线,lian'xi'qu'xian
联想,lian'xiang
联想记忆,lian'xiang'ji'yi
联想律,lian'xiang'lv
联想网络模型,lian'xiang'wang'luo'mo'xing
联想心理学,lian'xiang'xin'li'xue
联想性思维,lian'xiang'xing'si'wei
联想值,lian'xiang'zhi
联想主义,lian'xiang'zhu'yi
联想主义心理学,lian'xiang'zhu'yi'xin'li'xue
镰形细胞贫血症,lian'xing'xi'bao'pin'xue'zheng
连续变量,lian'xu'bian'liang
连续系列设计,lian'xu'xi'lie'she'ji
连续原则,lian'xu'yuan'ze
亮暗比,liang'an'bi
量表值,liang'biao'zhi
两点阈,liang'dian'yu
亮度,liang'du
亮度对比,liang'du'dui'bi
良好图形,liang'hao'tu'xing
两阶段抽样法,liang'jie'duan'chou'yang'fa
两性现象,liang'xing'xian'xiang
两种记忆说,liang'zhong'ji'yi'shuo
两种信号系统学说,liang'zhong'xin'hao'xi'tong'xue'shuo
列昂捷夫的活动意识和个性理论,lie'ang'jie'fu'de'huo'dong'yi'shi'he'ge'xing'li'lun
列联表,lie'lian'biao
临床测验,lin'chuang'ce'yan
临床法,lin'chuang'fa
临床教学,lin'chuang'jiao'xue
临床心理学,lin'chuang'xin'li'xue
临界值,lin'jie'zhi
临近联想,lin'jin'lian'xiang
领导,ling'dao
领导方式的连续统理论,ling'dao'fang'shi'de'lian'xu'tong'li'lun
领导权变论,ling'dao'quan'bian'lun
领导特质理论,ling'dao'te'zhi'li'lun
领导行为,ling'dao'xing'wei
领导行为连续体,ling'dao'xing'wei'lian'xu'ti
领导行为论,ling'dao'xing'wei'lun
领地行为,ling'di'xing'wei
灵感,ling'gan
领悟,ling'wu
领悟治疗,ling'wu'zhi'liao
零相关,ling'xiang'guan
灵学研究,ling'xue'yan'jiu
领养,ling'yang
灵长类概念形成,ling'zhang'lei'gai'nian'xing'cheng
流畅状态,liu'chang'zhuang'tai
流言,liu'yan
鲁宾酒杯,lu'bin'jiu'bei
路径,lu'jing
陆军甲种测验,lu'jun'jia'zhong'ce'yan
卢文格的自我发展理论,lu'wen'ge'de'zi'wo'fa'zhan'li'lun
颅相学,lu'xiang'xue
露阴癖,lu'yin'pi
露阴症,lu'yin'zheng
乱伦,luan'lun
轮班工作,lun'ban'gong'zuo
轮廓,lun'kuo
逻辑记忆,luo'ji'ji'yi
逻辑判断,luo'ji'pan'duan
逻辑实证主义,luo'ji'shi'zheng'zhu'yi
逻辑思维,luo'ji'si'wei
罗杰斯的人格理论,luo'jie'si'de'ren'ge'li'lun
罗杰斯的社会心理学思想,luo'jie'si'de'she'hui'xin'li'xue'si'xiang
罗杰斯自我论,luo'jie'si'zi'wo'lun
裸露癖,luo'lu'pi
洛伦茨的社会行为观,luo'lun'ci'de'she'hui'xing'wei'guan
罗森茨韦格图片挫折研究,luo'sen'ci'wei'ge'tu'pian'cuo'zhe'yan'jiu
罗斯的社会心理学思想,luo'si'de'she'hui'xin'li'xue'si'xiang
螺旋后效,luo'xuan'hou'xiao
绿色盲,lv'se'mang
律师心理学,lv'shi'xin'li'xue
旅游心理学,lv'you'xin'li'xue
马尔计算理论,ma'er'ji'suan'li'lun
马赫带,ma'he'dai
马赫的感觉分析说,ma'he'de'gan'jue'fen'xi'shuo
马克思主义心理学,ma'ke'si'zhu'yi'xin'li'xue
马拉松疗法,ma'la'song'liao'fa
马森盘,ma'sen'pan
马斯洛的人格理论,ma'si'luo'de'ren'ge'li'lun
麦独孤的社会心理学思想,mai'du'gu'de'she'hui'xin'li'xue'si'xiang
迈尔斯布里格斯类型指标,mai'er'si'bu'li'ge'si'lei'xing'zhi'biao
麦科洛效应,mai'ke'luo'xiao'ying
慢波睡眠,man'bo'shui'mian
满灌法,man'guan'fa
慢痛,man'tong
慢性精神分裂症,man'xing'jing'shen'fen'lie'zheng
慢性酒精中毒,man'xing'jiu'jing'zhong'du
盲点,mang'dian
芒塞尔颜色立体,mang'sai'er'yan'se'li'ti
盲童的记忆特点,mang'tong'de'ji'yi'te'dian
盲童的想象特点,mang'tong'de'xiang'xiang'te'dian
盲童的运动发展,mang'tong'de'yun'dong'fa'zhan
盲童听觉和语言发展,mang'tong'ting'jue'he'yu'yan'fa'zhan
矛盾心态,mao'dun'xin'tai
美感,mei'gan
美学心理学,mei'xue'xin'li'xue
梦样状态,meng'yang'zhuang'tai
梦游症,meng'you'zheng
米尔格拉姆服从实验,mi'er'ge'la'mu'fu'cong'shi'yan
米尔林学派的神经类型说,mi'er'lin'xue'pai'de'shen'jing'lei'xing'shuo
幂函数定律,mi'han'shu'ding'lv
迷津,mi'jin
迷津学习,mi'jin'xue'xi
米勒,mi'le
觅食反射,mi'shi'fan'she
迷箱,mi'xiang
面部表情,mian'bu'biao'qing
面部视觉,mian'bu'shi'jue
面孔识别,mian'kong'shi'bie
描述统计,miao'shu'tong'ji
描述心理学,miao'shu'xin'li'xue
敏感期,min'gan'qi
民意调查,min'yi'diao'cha
民族特性,min'zu'te'xing
民族心理学,min'zu'xin'li'xue
明度,ming'du
明度对比,ming'du'dui'bi
明度恒常性,ming'du'heng'chang'xing
命名不能症,ming'ming'bu'neng'zheng
命名性失语症,ming'ming'xing'shi'yu'zheng
名片效应,ming'pian'xiao'ying
明视觉,ming'shi'jue
明视觉和暗视觉,ming'shi'jue'he'an'shi'jue
明适应,ming'shi'ying
命题编码理论,ming'ti'bian'ma'li'lun
命题表征,ming'ti'biao'zheng
命题网络模型,ming'ti'wang'luo'mo'xing
命题学习,ming'ti'xue'xi
膜电位,mo'dian'wei
摩尔根法则,mo'er'gen'fa'ze
模仿,mo'fang
模仿学习,mo'fang'xue'xi
模仿言语,mo'fang'yan'yu
墨迹测验,mo'ji'ce'yan
莫雷诺的社会测量法,mo'lei'nuo'de'she'hui'ce'liang'fa
莫雷诺的社会心理学思想,mo'lei'nuo'de'she'hui'xin'li'xue'si'xiang
默里的需要压力理论,mo'li'de'xu'yao'ya'li'li'lun
莫罗反射,mo'luo'fan'she
模拟,mo'ni
模拟法,mo'ni'fa
模拟训练,mo'ni'xun'lian
陌生人焦虑,mo'sheng'ren'jiao'lv
模式识别,mo'shi'shi'bie
目标,mu'biao
目标参照测验,mu'biao'can'zhao'ce'yan
目标导向理论,mu'biao'dao'xiang'li'lun
目标管理,mu'biao'guan'li
目标理论,mu'biao'li'lun
目标设置,mu'biao'she'zhi
目标设置训练,mu'biao'she'zhi'xun'lian
目的分析,mu'di'fen'xi
目的论,mu'di'lun
目的心理学,mu'di'xin'li'xue
目的行为主义,mu'di'xing'wei'zhu'yi
木僵,mu'jiang
穆勒的归纳规则,mu'le'de'gui'na'gui'ze
穆尼的组织原则,mu'ni'de'zu'zhi'yuan'ze
纳格尔图片测验,na'ge'er'tu'pian'ce'yan
耐药性,nai'yao'xing
难度测验,nan'du'ce'yan
南锡学派,nan'xi'xue'pai
男性化,nan'xing'hua
囊状纤维化,nang'zhuang'xian'wei'hua
脑垂体,nao'chui'ti
脑磁图描记术,nao'ci'tu'miao'ji'shu
脑电图,nao'dian'tu
脑电图描记器,nao'dian'tu'miao'ji'qi
脑定位,nao'ding'wei
脑啡肽,nao'fei'tai
脑干,nao'gan
脑积水,nao'ji'shui
脑脊液,nao'ji'ye
脑机制,nao'ji'zhi
脑模拟,nao'mo'ni
脑神经,nao'shen'jing
脑室,nao'shi
脑性瘫痪,nao'xing'tan'huan
内部表象,nei'bu'biao'xiang
内部表征,nei'bu'biao'zheng
内部活动,nei'bu'huo'dong
内部言语,nei'bu'yan'yu
内部噪声,nei'bu'zao'sheng
内部注意,nei'bu'zhu'yi
内侧前脑束,nei'ce'qian'nao'shu
内侧膝状体核,nei'ce'xi'zhuang'ti'he
内耳,nei'er
内啡肽,nei'fei'tai
内分泌系统,nei'fen'mi'xi'tong
内分泌腺,nei'fen'mi'xian
内化,nei'hua
内疚,nei'jiu
内驱力,nei'qu'li
内驱力递减说,nei'qu'li'di'jian'shuo
内群体与外群体,nei'qun'ti'yu'wai'qun'ti
内容分析,nei'rong'fen'xi
内容效度,nei'rong'xiao'du
内容心理学,nei'rong'xin'li'xue
内容型激励理论,nei'rong'xing'ji'li'li'lun
内向,nei'xiang
内向人格者,nei'xiang'ren'ge'zhe
内心冲突,nei'xin'chong'tu
内省,nei'xing
内省法,nei'xing'fa
内隐记忆,nei'yin'ji'yi
内隐性条件作用,nei'yin'xing'tiao'jian'zuo'yong
内源性时钟,nei'yuan'xing'shi'zhong
内在动机,nei'zai'dong'ji
内在激励,nei'zai'ji'li
能和外能,neng'he'wai'neng
能见度,neng'jian'du
能见度曲线,neng'jian'du'qu'xian
能力,neng'li
能力测验,neng'li'ce'yan
能力差异,neng'li'cha'yi
能力分组,neng'li'fen'zu
能力倾向,neng'li'qing'xiang
能力倾向测验,neng'li'qing'xiang'ce'yan
逆反心理,ni'fan'xin'li
拟合优度检验,ni'he'you'du'jian'yan
拟人化思维,ni'ren'hua'si'wei
拟人论,ni'ren'lun
逆向推理,ni'xiang'tui'li
拟心理学,ni'xin'li'xue
逆转理论,ni'zhuan'li'lun
念动训练,nian'dong'xun'lian
年龄特征,nian'ling'te'zheng
年龄性别结构,nian'ling'xing'bie'jie'gou
年龄组织,nian'ling'zu'zhi
黏液质,nian'ye'zhi
颞叶,nie'ye
凝聚力,ning'ju'li
拧绳错觉,ning'sheng'cuo'jue
纽曼,niu'man
农业心理学,nong'ye'xin'li'xue
女性化,nv'xing'hua
偶然误差,ou'ran'wu'cha
偶然学习,ou'ran'xue'xi
帕金森病,pa'jin'sen'bing
帕克的自我发展理论,pa'ke'de'zi'wo'fa'zhan'li'lun
帕佩兹环路,pa'pei'zi'huan'lu
排便训练,pai'bian'xun'lian
排放说,pai'fang'shuo
判别分析,pan'bie'fen'xi
判断,pan'duan
旁观者介入与冷漠,pang'guan'zhe'jie'ru'yu'leng'mo
旁观者效应,pang'guan'zhe'xiao'ying
配对联想学习,pei'dui'lian'xiang'xue'xi
陪审心理学,pei'shen'xin'li'xue
胚胎,pei'tai
培训评估,pei'xun'ping'gu
培训心理学,pei'xun'xin'li'xue
培因的理智论,pei'yin'de'li'zhi'lun
膨胀色,peng'zhang'se
蓬佐错觉,peng'zuo'cuo'jue
皮层,pi'ceng
皮尔逊相关系数,pi'er'xun'xiang'guan'xi'shu
皮肤电传导,pi'fu'dian'chuan'dao
皮肤电反应,pi'fu'dian'fan'ying
疲劳,pi'lao
疲劳曲线,pi'lao'qu'xian
匹配组设计,pi'pei'zu'she'ji
皮亚杰的道德认知发展理论,pi'ya'jie'de'dao'de'ren'zhi'fa'zhan'li'lun
皮亚杰学派,pi'ya'jie'xue'pai
皮炎,pi'yan
皮质,pi'zhi
皮质非特异投射系统,pi'zhi'fei'te'yi'tou'she'xi'tong
皮质特异投射系统,pi'zhi'te'yi'tou'she'xi'tong
偏侧化,pian'ce'hua
偏回归,pian'hui'gui
偏见,pian'jian
偏见和歧视,pian'jian'he'qi'shi
偏态分布,pian'tai'fen'bu
偏执反应,pian'zhi'fan'ying
偏执狂,pian'zhi'kuang
胼胝体,pian'zhi'ti
偏执性精神病,pian'zhi'xing'jing'shen'bing
偏执型精神分裂症,pian'zhi'xing'jing'shen'fen'lie'zheng
偏执性人格,pian'zhi'xing'ren'ge
偏执型人格障碍,pian'zhi'xing'ren'ge'zhang'ai
偏执状态,pian'zhi'zhuang'tai
嘌呤霉素,piao'ling'mei'su
品德心理结构,pin'de'xin'li'jie'gou
品德形成,pin'de'xing'cheng
频率,pin'lv
频因律,pin'yin'lv
评定法,ping'ding'fa
评定量表,ping'ding'liang'biao
评定量表法,ping'ding'liang'biao'fa
评定者误差,ping'ding'zhe'wu'cha
评分者信度,ping'fen'zhe'xin'du
评估,ping'gu
平衡,ping'heng
平衡觉,ping'heng'jue
平衡理论,ping'heng'li'lun
平均误差法,ping'jun'wu'cha'fa
平行测验,ping'xing'ce'yan
平行复本,ping'xing'fu'ben
迫选测验,po'xuan'ce'yan
迫选法,po'xuan'fa
瀑布错觉,pu'bu'cuo'jue
普尔弗里希效应,pu'er'fu'li'xi'xiao'ying
浦肯野现象,pu'ken'ye'xian'xiang
普通心理学,pu'tong'xin'li'xue
期待理论,qi'dai'li'lun
启发法,qi'fa'fa
气氛效应,qi'fen'xiao'ying
气候与个性,qi'hou'yu'ge'xing
乞求育嗣行为,qi'qiu'yu'si'xing'wei
期望,qi'wang
期望理论,qi'wang'li'lun
气味,qi'wei
器械感,qi'xie'gan
气质,qi'zhi
气质的实验判定法,qi'zhi'de'shi'yan'pan'ding'fa
气质定位,qi'zhi'ding'wei
气质类型,qi'zhi'lei'xing
气质调节理论,qi'zhi'tiao'jie'li'lun
器质性大脑障碍,qi'zhi'xing'da'nao'zhang'ai
器质性精神病,qi'zhi'xing'jing'shen'bing
器质性综合征,qi'zhi'xing'zong'he'zheng
气质血型说,qi'zhi'xue'xing'shuo
气质与人格,qi'zhi'yu'ren'ge
前额皮质,qian'e'pi'zhi
潜伏期,qian'fu'qi
潜伏学习,qian'fu'xue'xi
前精神分析的自我发展理论,qian'jing'shen'fen'xi'de'zi'wo'fa'zhan'li'lun
前列腺素,qian'lie'xian'su
前脑,qian'nao
迁怒,qian'nu
前摄干扰,qian'she'gan'rao
前摄抑制,qian'she'yi'zhi
前习俗道德,qian'xi'su'dao'de
前向掩蔽,qian'xiang'yan'bi
迁移,qian'yi
潜抑,qian'yi
迁移的分析,qian'yi'de'fen'xi
迁移的实验研究方法,qian'yi'de'shi'yan'yan'jiu'fang'fa
潜意识,qian'yi'shi
前运思阶段,qian'yun'si'jie'duan
前运算阶段,qian'yun'suan'jie'duan
潜在特质理论,qian'zai'te'zhi'li'lun
强度,qiang'du
强啡肽,qiang'fei'tai
强化,qiang'hua
强化理论,qiang'hua'li'lun
强化疗法,qiang'hua'liao'fa
强迫观念,qiang'po'guan'nian
强迫性人格,qiang'po'xing'ren'ge
强迫型人格障碍,qiang'po'xing'ren'ge'zhang'ai
强迫性神经症,qiang'po'xing'shen'jing'zheng
强迫行为,qiang'po'xing'wei
羟色胺,qiang'se'an
敲击板,qiao'ji'ban
桥膝枕峰,qiao'xi'zhen'feng
怯场,qie'chang
亲和,qin'he
亲社会行为,qin'she'hui'xing'wei
亲仔关系,qin'zi'guan'xi
亲子关系,qin'zi'guan'xi
情操,qing'cao
青春期,qing'chun'qi
青春期危机,qing'chun'qi'wei'ji
青春型精神分裂症,qing'chun'xing'jing'shen'fen'lie'zheng
情感,qing'gan
情感淡漠,qing'gan'dan'mo
情感倒错,qing'gan'dao'cuo
情感高涨,qing'gan'gao'zhang
情感减退,qing'gan'jian'tui
情感两极性,qing'gan'liang'ji'xing
情感性精神病,qing'gan'xing'jing'shen'bing
情感障碍,qing'gan'zhang'ai
情结,qing'jie
情境测验,qing'jing'ce'yan
情景记忆,qing'jing'ji'yi
情境理论,qing'jing'li'lun
情景模式,qing'jing'mo'shi
青年期,qing'nian'qi
青少年发育徒增,qing'shao'nian'fa'yu'tu'zeng
青少年期,qing'shao'nian'qi
倾听,qing'ting
轻微脑功能失调的干预,qing'wei'nao'gong'neng'shi'tiao'de'gan'yu
轻微脑功能失调的诊断,qing'wei'nao'gong'neng'shi'tiao'de'zhen'duan
轻微脑功能障碍,qing'wei'nao'gong'neng'zhang'ai
清晰度指数,qing'xi'du'zhi'shu
情绪,qing'xu
情绪反应,qing'xu'fan'ying
情绪记忆,qing'xu'ji'yi
情绪维度,qing'xu'wei'du
情绪应急说,qing'xu'ying'ji'shuo
轻躁狂,qing'zao'kuang
轻躁狂发作,qing'zao'kuang'fa'zuo
囚犯的两难问题,qiu'fan'de'liang'nan'wen'ti
球感,qiu'gan
丘脑,qiu'nao
趋避性,qu'bi'xing
屈尔珀学派,qu'er'po'xue'pai
区分能力倾向测验,qu'fen'neng'li'qing'xiang'ce'yan
区分效度,qu'fen'xiao'du
去个体化,qu'ge'ti'hua
去个性化,qu'ge'xing'hua
去极化,qu'ji'hua
去甲肾上腺素,qu'jia'shen'shang'xian'su
趋势检验,qu'shi'jian'yan
躯体化,qu'ti'hua
躯体觉,qu'ti'jue
躯体虐待,qu'ti'nue'dai
去同步化波,qu'tong'bu'hua'bo
区域性脑代谢率,qu'yu'xing'nao'dai'xie'lv
区域性脑血流,qu'yu'xing'nao'xue'liu
权变理论,quan'bian'li'lun
全部报告法,quan'bu'bao'gao'fa
全或无定律,quan'huo'wu'ding'lv
全或无学习,quan'huo'wu'xue'xi
全距,quan'ju
权力,quan'li
权力与管理,quan'li'yu'guan'li
全面质量管理,quan'mian'zhi'liang'guan'li
全色盲,quan'se'mang
全身振动,quan'shen'zhen'dong
劝说,quan'shuo
权威人格,quan'wei'ren'ge
权威型父母,quan'wei'xing'fu'mu
缺陷心理学,que'xian'xin'li'xue
缺氧,que'yang
群际关系,qun'ji'guan'xi
群际行为,qun'ji'xing'wei
群体,qun'ti
群体动力学,qun'ti'dong'li'xue
群体关系的认知信息加工理论,qun'ti'guan'xi'de'ren'zhi'xin'xi'jia'gong'li'lun
群体规范,qun'ti'gui'fan
群体教学,qun'ti'jiao'xue
群体结构,qun'ti'jie'gou
群体决策,qun'ti'jue'ce
群体理论,qun'ti'li'lun
群体凝聚力,qun'ti'ning'ju'li
群体思维,qun'ti'si'wei
群体讨论,qun'ti'tao'lun
群体行为,qun'ti'xing'wei
群体训练,qun'ti'xun'lian
群体压力,qun'ti'ya'li
群体意识,qun'ti'yi'shi
群众,qun'zhong
群众心理学,qun'zhong'xin'li'xue
群众行为,qun'zhong'xing'wei
染色体,ran'se'ti
热辐射法,re'fu'she'fa
热环境,re'huan'jing
热觉,re'jue
热情,re'qing
热痛觉,re'tong'jue
热线,re'xian
人本主义心理学,ren'ben'zhu'yi'xin'li'xue
人本主义心理治疗,ren'ben'zhu'yi'xin'li'zhi'liao
人差方程,ren'cha'fang'cheng
人的差错,ren'de'cha'cuo
人的传递函数,ren'de'chuan'di'han'shu
人的发展,ren'de'fa'zhan
人的发展的基督教理论,ren'de'fa'zhan'de'ji'du'jiao'li'lun
人的发展的人本主义理论,ren'de'fa'zhan'de'ren'ben'zhu'yi'li'lun
人的发展的神道理论,ren'de'fa'zhan'de'shen'dao'li'lun
人的发展的文化历史学说,ren'de'fa'zhan'de'wen'hua'li'shi'xue'shuo
人的发展的研究历史,ren'de'fa'zhan'de'yan'jiu'li'shi
人的发展的伊斯兰教理论,ren'de'fa'zhan'de'yi'si'lan'jiao'li'lun
人的发展的印度教理论,ren'de'fa'zhan'de'yin'du'jiao'li'lun
人的发展的犹太教理论,ren'de'fa'zhan'de'you'tai'jiao'li'lun
人的发展理论,ren'de'fa'zhan'li'lun
人的发展与遗传学,ren'de'fa'zhan'yu'yi'chuan'xue
人的可靠性,ren'de'ke'kao'xing
人的描述函数,ren'de'miao'shu'han'shu
人的系统特性,ren'de'xi'tong'te'xing
人的信息传递,ren'de'xin'xi'chuan'di
人的信息加工模型,ren'de'xin'xi'jia'gong'mo'xing
人的信息接收,ren'de'xin'xi'jie'shou
人的信息输出,ren'de'xin'xi'shu'chu
人的因素,ren'de'yin'su
人的因素评价,ren'de'yin'su'ping'jia
人格,ren'ge
人格变化,ren'ge'bian'hua
人格测验,ren'ge'ce'yan
人格的层次,ren'ge'de'ceng'ci
人格调查表,ren'ge'diao'cha'biao
人格发展释义,ren'ge'fa'zhan'shi'yi
人格改变,ren'ge'gai'bian
人格结构,ren'ge'jie'gou
人格解体,ren'ge'jie'ti
人格类型,ren'ge'lei'xing
人格理论,ren'ge'li'lun
人格面具,ren'ge'mian'ju
人格评估,ren'ge'ping'gu
人格评价,ren'ge'ping'jia
人格情境互动,ren'ge'qing'jing'hu'dong
人格特质,ren'ge'te'zhi
人格心理学,ren'ge'xin'li'xue
人格与疾病,ren'ge'yu'ji'bing
人格与职业兴趣,ren'ge'yu'zhi'ye'xing'qu
人格障碍,ren'ge'zhang'ai
人格整合,ren'ge'zheng'he
人格整全,ren'ge'zheng'quan
人工概念,ren'gong'gai'nian
人工瞳孔,ren'gong'tong'kong
人工智能,ren'gong'zhi'neng
人机对话,ren'ji'dui'hua
人机功能分配,ren'ji'gong'neng'fen'pei
人际沟通,ren'ji'gou'tong
人际关系,ren'ji'guan'xi
人际关系心理学,ren'ji'guan'xi'xin'li'xue
人际互动,ren'ji'hu'dong
人机交互作用,ren'ji'jiao'hu'zuo'yong
人际交往技能的发展,ren'ji'jiao'wang'ji'neng'de'fa'zhan
人机界面,ren'ji'jie'mian
人际距离,ren'ji'ju'li
人际排斥,ren'ji'pai'chi
人机配合,ren'ji'pei'he
人机匹配,ren'ji'pi'pei
人计算机交互作用,ren'ji'suan'ji'jiao'hu'zuo'yong
人计算机界面评价,ren'ji'suan'ji'jie'mian'ping'jia
人机系统,ren'ji'xi'tong
人机系统评价,ren'ji'xi'tong'ping'jia
人际吸引,ren'ji'xi'yin
人际吸引理论,ren'ji'xi'yin'li'lun
人际相互作用,ren'ji'xiang'hu'zuo'yong
人际信息交流的沟通网络,ren'ji'xin'xi'jiao'liu'de'gou'tong'wang'luo
人际知觉,ren'ji'zhi'jue
人类服务,ren'lei'fu'wu
人类工效学,ren'lei'gong'xiao'xue
人类关系训练,ren'lei'guan'xi'xun'lian
人类联想记忆,ren'lei'lian'xiang'ji'yi
人类求偶模式,ren'lei'qiu'ou'mo'shi
人力资源,ren'li'zi'yuan
人面失认症,ren'mian'shi'ren'zheng
人面图,ren'mian'tu
认识论,ren'shi'lun
人事心理学,ren'shi'xin'li'xue
人体测量学,ren'ti'ce'liang'xue
认同,ren'tong
认同危机,ren'tong'wei'ji
人为失误,ren'wei'shi'wu
人为失误分析,ren'wei'shi'wu'fen'xi
人文科学心理学,ren'wen'ke'xue'xin'li'xue
任务分析,ren'wu'fen'xi
人员选拔,ren'yuan'xuan'ba
认知,ren'zhi
认知的观点,ren'zhi'de'guan'dian
认知的咨询理论,ren'zhi'de'zi'xun'li'lun
认知地图,ren'zhi'di'tu
认知发展,ren'zhi'fa'zhan
认知发展中的记忆模式,ren'zhi'fa'zhan'zhong'de'ji'yi'mo'shi
认知发展中的智慧模式,ren'zhi'fa'zhan'zhong'de'zhi'hui'mo'shi
认知发展中的知觉模式,ren'zhi'fa'zhan'zhong'de'zhi'jue'mo'shi
认知方式,ren'zhi'fang'shi
认知革命,ren'zhi'ge'ming
认知工效学,ren'zhi'gong'xiao'xue
认知过程,ren'zhi'guo'cheng
认知和谐,ren'zhi'he'xie
认知技能,ren'zhi'ji'neng
认知结构,ren'zhi'jie'gou
人知觉,ren'zhi'jue
认知疗法,ren'zhi'liao'fa
认知领悟疗法,ren'zhi'ling'wu'liao'fa
认知论,ren'zhi'lun
认知神经科学,ren'zhi'shen'jing'ke'xue
认知失调,ren'zhi'shi'tiao
认知说,ren'zhi'shuo
人质谈判,ren'zhi'tan'pan
认知同化说,ren'zhi'tong'hua'shuo
认知相符理论,ren'zhi'xiang'fu'li'lun
认知心理学,ren'zhi'xin'li'xue
认知性焦虑,ren'zhi'xing'jiao'lv
认知行为治疗,ren'zhi'xing'wei'zhi'liao
认知学习,ren'zhi'xue'xi
认知训练,ren'zhi'xun'lian
认知障碍,ren'zhi'zhang'ai
认知治疗,ren'zhi'zhi'liao
认知转变疗法,ren'zhi'zhuan'bian'liao'fa
日常概念,ri'chang'gai'nian
日记法,ri'ji'fa
日间医院,ri'jian'yi'yuan
日内瓦学派,ri'nei'wa'xue'pai
容量色,rong'liang'se
儒家关于人的发展学说,ru'jia'guan'yu'ren'de'fa'zhan'xue'shuo
塞尔门的自我发展理论,sai'er'men'de'zi'wo'fa'zhan'li'lun
赛后心理调整,sai'hou'xin'li'tiao'zheng
赛前过分激动状态,sai'qian'guo'fen'ji'dong'zhuang'tai
赛前冷漠状态,sai'qian'leng'mo'zhuang'tai
赛前盲目自信状态,sai'qian'mang'mu'zi'xin'zhuang'tai
赛前心理状态,sai'qian'xin'li'zhuang'tai
赛前心理准备,sai'qian'xin'li'zhun'bei
赛中心理调控,sai'zhong'xin'li'tiao'kong
三叉神经,san'cha'shen'jing
散点图,san'dian'tu
三级预防,san'ji'yu'fang
三类判断,san'lei'pan'duan
三色视觉,san'se'shi'jue
三突触回路,san'tu'chu'hui'lu
三维,san'wei
三维度理论,san'wei'du'li'lun
三维模式,san'wei'mo'shi
三线放松,san'xian'fang'song
三原色,san'yuan'se
三针实验,san'zhen'shi'yan
三种记忆系统,san'zhong'ji'yi'xi'tong
丧失与忧伤,sang'shi'yu'you'shang
色表系,se'biao'xi
色度,se'du
色度图,se'du'tu
色环,se'huan
色觉理论,se'jue'li'lun
色轮,se'lun
色盲,se'mang
色盲测验,se'mang'ce'yan
色情狂,se'qing'kuang
色区,se'qu
色弱,se'ruo
色听,se'ting
色温,se'wen
色误差,se'wu'cha
色诱导,se'you'dao
森田疗法,sen'tian'liao'fa
沙赫特情绪实验,sha'he'te'qing'xu'shi'yan
沙利文的人际理论,sha'li'wen'de'ren'ji'li'lun
沙利文的自我发展理论,sha'li'wen'de'zi'wo'fa'zhan'li'lun
闪光盲,shan'guang'mang
闪光融合器,shan'guang'rong'he'qi
闪光信号,shan'guang'xin'hao
闪烁光度法,shan'shuo'guang'du'fa
闪烁临界频率,shan'shuo'lin'jie'pin'lv
上差别阈,shang'cha'bie'yu
上下文效应,shang'xia'wen'xiao'ying
上行激活系统,shang'xing'ji'huo'xi'tong
商业心理学,shang'ye'xin'li'xue
少年犯罪,shao'nian'fan'zui
少年期,shao'nian'qi
社会比较理论,she'hui'bi'jiao'li'lun
社会定型,she'hui'ding'xing
社会动机,she'hui'dong'ji
社会感染,she'hui'gan'ran
社会个案工作,she'hui'ge'an'gong'zuo
社会隔离,she'hui'ge'li
社会关系,she'hui'guan'xi
社会规范,she'hui'gui'fan
社会化,she'hui'hua
社会技能训练,she'hui'ji'neng'xun'lian
社会价值,she'hui'jia'zhi
社会交换理论,she'hui'jiao'huan'li'lun
社会交换论,she'hui'jiao'huan'lun
社会交往,she'hui'jiao'wang
社会阶层,she'hui'jie'ceng
社会接触,she'hui'jie'chu
社会禁忌,she'hui'jin'ji
社会昆虫,she'hui'kun'chong
社会气氛,she'hui'qi'fen
社会气氛研究,she'hui'qi'fen'yan'jiu
社会歧视,she'hui'qi'shi
社会期望,she'hui'qi'wang
社会强化,she'hui'qiang'hua
社会生物学,she'hui'sheng'wu'xue
社会适应,she'hui'shi'ying
社会态度,she'hui'tai'du
社会文化观点,she'hui'wen'hua'guan'dian
社会文化历史学派,she'hui'wen'hua'li'shi'xue'pai
社会心理生理学,she'hui'xin'li'sheng'li'xue
社会心理学,she'hui'xin'li'xue
社会兴趣,she'hui'xing'qu
社会行为,she'hui'xing'wei
社会学的社会心理学,she'hui'xue'de'she'hui'xin'li'xue
社会学习,she'hui'xue'xi
社会学习理论,she'hui'xue'xi'li'lun
社会压力,she'hui'ya'li
社会意识,she'hui'yi'shi
