阿姨,a'yi
假鳞茎,jia'lin'jing
加内特,jia'nei'te
加你,jia'ni
假期,jia'qi
夹钳,jia'qian
加强,jia'qiang
加强一下,jia'qiang'yi'xia
嫁人,jia'ren
家人,jia'ren
加入,jia'ru
加入吧,jia'ru'ba
加上,jia'shang
加上了,jia'shang'le
加上呢,jia'shang'ne
价位,jia'wei
加为,jia'wei
假卫矛,jia'wei'mao
家有钱,jia'you'qian
价值,jia'zhi
简便方法,jian'bian'fang'fa
鉴别,jian'bie
检查,jian'cha
简称,jian'cheng
坚持不泄,jian'chi'bu'xie
简单,jian'dan
剑蝶,jian'die
鉴定,jian'ding
监督,jian'du
见多了,jian'duo'le
尖峰岭,jian'feng'ling
间隔,jian'ge
兼顾,jian'gu
见过,jian'guo
见过一次,jian'guo'yi'ci
建行,jian'hang
渐渐暗,jian'jian'an
见见面,jian'jian'mian
简介,jian'jie
建军,jian'jun
健康,jian'kang
健康度,jian'kang'du
见了,jian'le
建立,jian'li
见面,jian'mian
见面的,jian'mian'de
尖囔兰,jian'nang'lan
捡鸟蛋,jian'niao'dan
减少,jian'shao
建设,jian'she
建设的很漂亮,jian'she'de'hen'piao'liang
检索,jian'suo
检索表,jian'suo'biao
建涛,jian'tao
兼性,jian'xing
检验,jian'yan
检验一下,jian'yan'yi'xia
建议,jian'yi
见着你们,jian'zhao'ni'men
讲的,jiang'de
降低,jiang'di
蒋干,jiang'gan
姜汉桥,jiang'han'qiao
讲话,jiang'hua
姜花,jiang'hua
将抗,jiang'kang
江山易改,jiang'shan'yi'gai
降水,jiang'shui
降水量,jiang'shui'liang
奖学金,jiang'xue'jin
讲义,jiang'yi
蒋有绪,jiang'you'xu
降雨,jiang'yu
降雨量,jiang'yu'liang
降真香,jiang'zhen'xiang
讲座,jiang'zuo
叫不上的,jiao'bu'shang'de
教程,jiao'cheng
较大,jiao'da
交到,jiao'dao
较低,jiao'di
较高,jiao'gao
教高中,jiao'gao'zhong
交个,jiao'ge
交个朋友,jiao'ge'peng'you
交给,jiao'gei
交给我,jiao'gei'wo
叫过来,jiao'guo'lai
交过一次,jiao'guo'yi'ci
较好,jiao'hao
交界处,jiao'jie'chu
较近,jiao'jin
交了没哟,jiao'le'mei'yo
较李东旭,jiao'li'dong'xu
交流,jiao'liu
交吗,jiao'ma
交起朋友来,jiao'qi'peng'you'lai
绞杀植物,jiao'sha'zhi'wu
脚上,jiao'shang
交上,jiao'shang
叫上吧,jiao'shang'ba
交上了,jiao'shang'le
叫什么,jiao'shen'me
教师,jiao'shi
教师资格证了,jiao'shi'zi'ge'zheng'le
脚手架,jiao'shou'jia
交通,jiao'tong
交往,jiao'wang
较为,jiao'wei
较为详细,jiao'wei'xiang'xi
脚下,jiao'xia
交易,jiao'yi
交易所,jiao'yi'suo
教育,jiao'yu
教育部,jiao'yu'bu
较远,jiao'yuan
校正,jiao'zheng
接触,jie'chu
借出来,jie'chu'lai
解出来杂志,jie'chu'lai'za'zhi
接触一下,jie'chu'yi'xia
解带脱衣裳,jie'dai'tuo'yi'shang
接到,jie'dao
接地,jie'di
界定,jie'ding
阶段,jie'duan
结队,jie'dui
结对,jie'dui
结构,jie'gou
解雇,jie'gu
结果,jie'guo
结合,jie'he
接回,jie'hui
结婚,jie'hun
结婚了,jie'hun'le
结婚了吗,jie'hun'le'ma
结婚了没有,jie'hun'le'mei'you
结婚呢,jie'hun'ne
阶级,jie'ji
姐姐,jie'jie
姐结婚,jie'jie'hun
接近,jie'jin
解救,jie'jiu
解酒十五法,jie'jiu'shi'wu'fa
解决,jie'jue
接了一下,jie'liao'yi'xia
截留,jie'liu
结论,jie'lun
节日,jie'ri
介绍,jie'shao
节省,jie'sheng
接受,jie'shou
接受的快,jie'shou'de'kuai
接收了,jie'shou'le
接受没有问题,jie'shou'mei'you'wen'ti
接受哦,jie'shou'o
结束,jie'shu
接下来,jie'xia'lai
界限,jie'xian
接一句,jie'yi'ju
阶元,jie'yuan
结早了也不好,jie'zao'le'ye'bu'hao
借助,jie'zhu
紧挨着,jin'ai'zhe
今本上,jin'ben'shang
金币,jin'bi
进不去,jin'bu'qu
金城武,jin'cheng'wu
进度,jin'du
进度如何,jin'du'ru'he
金额,jin'e
金瓜子,jin'gua'zi
金浩,jin'hao
近火,jin'huo
仅仅,jin'jin
进口,jin'kou
尽快,jin'kuai
进来,jin'lai
进了研究员,jin'le'yan'jiu'yuan
进民办,jin'min'ban
晋南,jin'nan
今年,jin'nian
进去,jin'qu
金融,jin'rong
进入,jin'ru
浸入,jin'ru
进入不了,jin'ru'bu'liao
进入电话,jin'ru'dian'hua
金山,jin'shan
金山词霸,jin'shan'ci'ba
近树,jin'shu
今天,jin'tian
尽头,jin'tou
今晚,jin'wan
进行,jin'xing
紧要任务,jin'yao'ren'wu
进一步,jin'yi'bu
进一步研究,jin'yi'bu'yan'jiu
紧一下,jin'yi'xia
仅有,jin'you
近缘种,jin'yuan'zhong
仅在,jin'zai
进展,jin'zhan
紧张,jin'zhang
茎部,jing'bu
经常,jing'chang
经常见面,jing'chang'jian'mian
经常下雨,jing'chang'xia'yu
经典,jing'dian
精度上,jing'du'shang
茎根,jing'gen
景观,jing'guan
经过,jing'guo
净空法师飞机快圣诞节的萨克分角色读酷睿二哦福建看看是否感哈嘎斯,jing'kong'fa'shi'fei'ji'kuai'sheng'dan'jie'de'sa'ke'fen'jiao'se'du'ku'rui'er'o'fu'jian'kan'kan'shi'fou'gan'ha'ga'si
经历,jing'li
景列,jing'lie
景列樟,jing'lie'zhang
精明,jing'ming
竟然,jing'ran
精神,jing'shen
井师姐,jing'shi'jie
静态,jing'tai
京西,jing'xi
惊喜,jing'xi
经验,jing'yan
经营,jing'ying
竞争,jing'zheng
竞争性的,jing'zheng'xing'de
就被,jiu'bei
就比,jiu'bi
就不,jiu'bu
就不错,jiu'bu'cuo
就不和,jiu'bu'he
就不和你聊天,jiu'bu'he'ni'liao'tian
就不会,jiu'bu'hui
就不是,jiu'bu'shi
就不像,jiu'bu'xiang
纠缠,jiu'chan
就吃,jiu'chi
旧的不去,jiu'de'bu'qu
就得回家,jiu'dei'hui'jia
就发给你,jiu'fa'gei'ni
就赶人,jiu'gan'ren
就给,jiu'gei
就哈,jiu'ha
就好,jiu'hao
就好了,jiu'hao'le
就会,jiu'hui
九节,jiu'jie
就可以,jiu'ke'yi
就可以发过来,jiu'ke'yi'fa'guo'lai
就亏了,jiu'kui'le
九龙,jiu'long
旧貌换新颜,jiu'mao'huan'xin'yan
就没有,jiu'mei'you
就能,jiu'neng
就去,jiu'qu
就去买,jiu'qu'mai
旧热带,jiu're'dai
就少,jiu'shao
就是,jiu'shi
就是不是,jiu'shi'bu'shi
就是偶,jiu'shi'ou
就是有一点,jiu'shi'you'yi'dian
就舒服,jiu'shu'fu
就说,jiu'shuo
就死,jiu'si
就算了吧,jiu'suan'le'ba
酒席,jiu'xi
就像,jiu'xiang
就行,jiu'xing
就行了,jiu'xing'le
就业,jiu'ye
就业网,jiu'ye'wang
就有,jiu'you
就这么,jiu'zhe'me
举办,ju'ban
句号,ju'hao
菊花,ju'hua
菊花茶,ju'hua'cha
聚会,ju'hui
聚聚,ju'ju
距离,ju'li
剧情,ju'qing
巨人,ju'ren
据说,ju'shuo
具体,ju'ti
具体不是很清楚,ju'ti'bu'shi'hen'qing'chu
具体的,ju'ti'de
据我说知,ju'wo'shuo'zhi
聚乙烯,ju'yi'xi
具有,ju'you
具有大型,ju'you'da'xing
矩阵,ju'zhen
卷瓣兰,juan'ban'lan
卷册,juan'ce
卷曾,juan'ceng
卷尺,juan'chi
绝不,jue'bu
觉得,jue'de
觉得好玩,jue'de'hao'wan
决定,jue'ding
绝对,jue'dui
蕨类,jue'lei
蕨类的,jue'lei'de
蕨类植物,jue'lei'zhi'wu
绝望,jue'wang
菌根,jun'gen
军官,jun'guan
军科院,jun'ke'yuan
菌类,jun'lei
军事,jun'shi
军事科学院,jun'shi'ke'xue'yuan
均温,jun'wen
君子,jun'zi
卡巴斯基,ka'ba'si'ji
卡丁车,ka'ding'che
卡看,ka'kan
卡特,ka'te
开奥运,kai'ao'yun
开场白,kai'chang'bai
开店,kai'dian
开幕式,kai'mu'shi
开起来还行,kai'qi'lai'hai'xing
开始,kai'shi
开始做试验了,kai'shi'zuo'shi'yan'le
开水炉,kai'shui'lu
开题,kai'ti
开通,kai'tong
开头,kai'tou
开玩笑,kai'wan'xiao
开心,kai'xin
开学了,kai'xue'le
开展,kai'zhan
开展研究的,kai'zhan'yan'jiu'de
看吧,kan'ba
看别人,kan'bie'ren
看不到,kan'bu'dao
看不懂,kan'bu'dong
看不清楚,kan'bu'qing'chu
看到,kan'dao
看到了,kan'dao'le
看的,kan'de
看低,kan'di
看电视,kan'dian'shi
看个,kan'ge
看过,kan'guo
看好了,kan'hao'le
看卡,kan'ka
看看,kan'kan
看看吧,kan'kan'ba
看看了,kan'kan'le
看看是,kan'kan'shi
看看再输,kan'kan'zai'shu
看啦,kan'la
看来,kan'lai
看老地方,kan'lao'di'fang
看了,kan'le
看了再说,kan'le'zai'shuo
看男,kan'nan
看你,kan'ni
看上去,kan'shang'qu
看书,kan'shu
看书吧,kan'shu'ba
看文章,kan'wen'zhang
刊物,kan'wu
看样子,kan'yang'zi
看一下,kan'yi'xia
看着,kan'zhe
考博,kao'bo
考察,kao'cha
考得吧,kao'de'ba
考过了,kao'guo'le
靠近,kao'jin
考了你就后悔了,kao'le'ni'jiu'hou'hui'le
考虑,kao'lv
考虑一下,kao'lv'yi'xia
靠山,kao'shan
考试,kao'shi
考证一下,kao'zheng'yi'xia
可爱,ke'ai
可辨别的,ke'bian'bie'de
课程,ke'cheng
可称,ke'cheng
课代表,ke'dai'biao
可到,ke'dao
可儿,ke'er
可否,ke'fou
可复杂,ke'fu'za
可观的,ke'guan'de
客观的,ke'guan'de
客户,ke'hu
科技,ke'ji
课件,ke'jian
可简单,ke'jian'dan
刻录,ke'lu
科名称,ke'ming'cheng
可能,ke'neng
可能是,ke'neng'shi
科普,ke'pu
客气,ke'qi
客气啥,ke'qi'sha
可人,ke'ren
科士威,ke'shi'wei
棵树,ke'shu
科属种,ke'shu'zhong
科属种名称,ke'shu'zhong'ming'cheng
课题组,ke'ti'zu
可谓,ke'wei
科学,ke'xue
科学性,ke'xue'xing
科学院,ke'xue'yuan
科研,ke'yan
科研网,ke'yan'wang
可以,ke'yi
可以不可以,ke'yi'bu'ke'yi
可以了,ke'yi'le
可以先,ke'yi'xian
刻章,ke'zhang
科长,ke'zhang
肯定,ken'ding
空白,kong'bai
恐怖,kong'bu
空格,kong'ge
空行,kong'hang
空间,kong'jian
空间分布格局,kong'jian'fen'bu'ge'ju
空气,kong'qi
空气湿度,kong'qi'shi'du
空气中,kong'qi'zhong
空闲,kong'xian
空想,kong'xiang
控制,kong'zhi
控制组,kong'zhi'zu
空中,kong'zhong
口令,kou'ling
口令卡,kou'ling'ka
口音,kou'yin
苦苣苔,ku'ju'tai
枯树前斗万木春,ku'shu'qian'dou'wan'mu'chun
快车,kuai'che
快吃饭,kuai'chi'fan
快充,kuai'chong
快答辩,kuai'da'bian
快递,kuai'di
快点,kuai'dian
快结婚,kuai'jie'hun
块茎,kuai'jing
快乐,kuai'le
快生,kuai'sheng
快速,kuai'su
快一点,kuai'yi'dian
宽泛,kuan'fan
款姐,kuan'jie
宽叶书带蕨,kuan'ye'shu'dai'jue
况且他也不一定会对我有感觉,kuang'qie'ta'ye'bu'yi'ding'hui'dui'wo'you'gan'jue
矿泉水,kuang'quan'shui
昆虫,kun'chong
困惑,kun'huo
昆明,kun'ming
昆明吧,kun'ming'ba
昆明植物所,kun'ming'zhi'wu'suo
困难,kun'nan
阔叶林,kuo'ye'lin
拉错,la'cuo
拉丁,la'ding
拉丁名,la'ding'ming
拉个,la'ge
拉客,la'ke
拉乱了,la'luan'le
腊月,la'yue
来吧,lai'ba
来北京,lai'bei'jing
来的,lai'de
来调查,lai'diao'cha
来分析,lai'fen'xi
来估计,lai'gu'ji
来过,lai'guo
来回,lai'hui
来了,lai'le
来年节,lai'nian'jie
来数,lai'shu
来说,lai'shuo
来玩,lai'wan
来找我,lai'zhao'wo
来自,lai'zi
蓝本,lan'ben
蓝光,lan'guang
兰花,lan'hua
兰花图鉴,lan'hua'tu'jian
兰科,lan'ke
蓝品,lan'pin
蓝屏,lan'ping
蓝牙,lan'ya
老百姓,lao'bai'xing
老板,lao'ban
老长时间,lao'chang'shi'jian
老出,lao'chu
老当,lao'dang
老弟,lao'di
老地方,lao'di'fang
老点,lao'dian
老丁,lao'ding
老歌,lao'ge
老公,lao'gong
老伙计,lao'huo'ji
老茎生花,lao'jing'sheng'hua
老旧不联系,lao'jiu'bu'lian'xi
老老实实,lao'lao'shi'shi
老了,lao'le
老李,lao'li
老欧赔,lao'ou'pei
老婆,lao'po
老婆到,lao'po'dao
老区,lao'qu
老人,lao'ren
牢骚,lao'sao
老实,lao'shi
老师,lao'shi
老师吧,lao'shi'ba
老实话,lao'shi'hua
老师说了,lao'shi'shuo'le
老说,lao'shuo
老外,lao'wai
老下雨,lao'xia'yu
老乡,lao'xiang
老兄,lao'xiong
老杨,lao'yang
老叶,lao'ye
老有事,lao'you'shi
老周,lao'zhou
老周哦,lao'zhou'o
了吧,le'ba
了半年,le'ban'nian
乐东,le'dong
乐东石,le'dong'shi
乐东石豆兰,le'dong'shi'dou'lan
乐东石兰豆,le'dong'shi'lan'dou
了过后,le'guo'hou
了吗,le'ma
了没,le'mei
了没哟,le'mei'yo
了没有,le'mei'you
了撒,le'sa
了一次,le'yi'ci
了再说,le'zai'shuo
累不累,lei'bu'lei
累了,lei'le
类群,lei'qun
类似,lei'si
类型,lei'xing
冷得很,leng'de'hen
冷静,leng'jing
愣了,leng'le
冷了没有,leng'le'mei'you
冷落了,leng'luo'le
离差,li'cha
立春,li'chun
离得,li'de
离的近,li'de'jin
离的太远,li'de'tai'yuan
离得远,li'de'yuan
李德铢,li'de'zhu
立等,li'deng
离地,li'di
离地面,li'di'mian
立冬,li'dong
李东旭,li'dong'xu
厉害,li'hai
李鸿,li'hong
丽花,li'hua
理化,li'hua
离家,li'jia
立脚点,li'jiao'dian
理解,li'jie
例句,li'ju
理科,li'ke
李老师,li'lao'shi
李莲芳,li'lian'fang
理论,li'lun
李茂林,li'mao'lin
厘米,li'mi
里面,li'mian
里面吧,li'mian'ba
里面藏,li'mian'cang
立木,li'mu
离你们,li'ni'men
礼品,li'pin
丽萍,li'ping
例如,li'ru
李胜,li'sheng
历史,li'shi
黎叔,li'shu
李四,li'si
理她,li'ta
李五,li'wu
礼物,li'wu
理想,li'xiang
离校,li'xiao
李小龙,li'xiao'long
利用,li'yong
利于,li'yu
励志奖学金,li'zhi'jiang'xue'jin
例子,li'zi
黎族,li'zu
联邦,lian'bang
镰翅羊儿,lian'chi'yang'er
镰翅羊耳蒜,lian'chi'yang'er'suan
镰翅羊儿蒜,lian'chi'yang'er'suan
连读,lian'du
连接,lian'jie
链接,lian'jie
连接着,lian'jie'zhe
练练,lian'lian
脸皮,lian'pi
联通,lian'tong
联通的,lian'tong'de
联系,lian'xi
练习,lian'xi
联系国,lian'xi'guo
连续,lian'xu
连羊,lian'yang
连用,lian'yong
两本,liang'ben
两笔,liang'bi
梁朝伟,liang'chao'wei
两次,liang'ci
两个,liang'ge
两个人,liang'ge'ren
两家,liang'jia
两口,liang'kou
两块,liang'kuai
凉快,liang'kuai
两两,liang'liang
两列,liang'lie
两篇,liang'pian
两人,liang'ren
两头蛇,liang'tou'she
两者,liang'zhe
两种,liang'zhong
量子论,liang'zi'lun
两组,liang'zu
聊过,liao'guo
了解,liao'jie
聊了这么,liao'le'zhe'me
聊聊,liao'liao
缭绕,liao'rao
聊天,liao'tian
列出,lie'chu
劣等,lie'deng
裂斗,lie'dou
列举,lie'ju
拎包,lin'bao
林窗,lin'chuang
林地,lin'di
林冠,lin'guan
林冠层,lin'guan'ceng
林冠根,lin'guan'gen
邻近,lin'jin
临近,lin'jin
林科院,lin'ke'yuan
林科院呢,lin'ke'yuan'ne
林肯,lin'ken
林木,lin'mu
林区,lin'qu
淋溶,lin'rong
临时,lin'shi
林下,lin'xia
林下层,lin'xia'ceng
林学院,lin'xue'yuan
林业,lin'ye
林业大学,lin'ye'da'xue
林业局,lin'ye'ju
林业科技,lin'ye'ke'ji
林业科学,lin'ye'ke'xue
林业研究所,lin'ye'yan'jiu'suo
林志玲,lin'zhi'ling
领导人,ling'dao'ren
领的,ling'de
灵的,ling'de
领的证,ling'de'zheng
领过了,ling'guo'le
灵魂,ling'hun
领了没有,ling'le'mei'you
岭南青冈,ling'nan'qing'gang
令人,ling'ren
令人吃惊的是,ling'ren'chi'jing'de'shi
领土,ling'tu
另哇,ling'wa
另外,ling'wai
另外一个,ling'wai'yi'ge
菱形,ling'xing
另一方,ling'yi'fang
领一下,ling'yi'xia
另一支,ling'yi'zhi
另一组,ling'yi'zu
领域,ling'yu
领证,ling'zheng
刘备,liu'bei
流贝,liu'bei
留贝,liu'bei
流鼻涕,liu'bi'ti
六点,liu'dian
刘广福,liu'guang'fu
浏览器,liu'lan'qi
溜溜,liu'liu
流氓,liu'mang
流逝,liu'shi
流苏,liu'su
流苏贝母,liu'su'bei'mu
流速贝母,liu'su'bei'mu
流苏贝母兰,liu'su'bei'mu'lan
流图书馆,liu'tu'shu'guan
刘文耀,liu'wen'yao
留下,liu'xia
留学,liu'xue
留言,liu'yan
留言给我,liu'yan'gei'wo
柳叶,liu'ye
留意,liu'yi
留用,liu'yong
留在,liu'zai
六子蕨,liu'zi'jue
龙卡,long'ka
漏斗,lou'dou
楼你,lou'ni
陆均松,lu'jun'song
录取,lu'qu
路上,lu'shang
鲁肃,lu'su
乱干,luan'gan
乱搞,luan'gao
乱砍,luan'kan
卵形,luan'xing
卵叶,luan'ye
卵叶樟,luan'ye'zhang
论述,lun'shu
论坛,lun'tan
论文,lun'wen
论战,lun'zhan
萝卜,luo'bo
罗格,luo'ge
逻辑,luo'ji
萝摩科,luo'mo'ke
落实,luo'shi
螺旋形,luo'xuan'xing
落叶,luo'ye
氯仿,lv'fang
铝盒,lv'he
绿萝,lv'luo
绿色,lv'se
绿色部分,lv'se'bu'fen
旅游,lv'you
麻烦,ma'fan
马克平,ma'ke'ping
玛丽,ma'li
马上,ma'shang
马上发,ma'shang'fa
吗师兄,ma'shi'xiong
马文章,ma'wen'zhang
马先蒿,ma'xian'hao
蚂蚁,ma'yi
麻醉剂,ma'zui'ji
卖不卖,mai'bu'mai
买菜,mai'cai
买的,mai'de
买点,mai'dian
卖点,mai'dian
买东西,mai'dong'xi
买贩子,mai'fan'zi
买房子,mai'fang'zi
买个,mai'ge
买过,mai'guo
买了,mai'le
买卖,mai'mai
买票,mai'piao
买时候,mai'shi'hou
买书,mai'shu
买下来,mai'xia'lai
买衣服,mai'yi'fu
卖一个,mai'yi'ge
买这个,mai'zhe'ge
满了,man'le
慢慢,man'man
慢慢改,man'man'gai
慢慢来,man'man'lai
蔓延,man'yan
忙吧,mang'ba
忙不忙,mang'bu'mang
忙的,mang'de
忙论文,mang'lun'wen
忙去吧,mang'qu'ba
忙什么,mang'shen'me
毛丹,mao'dan
毛丹公,mao'dan'gong
矛盾,mao'dun
猫和老鼠,mao'he'lao'shu
毛蕨,mao'jue
茂林,mao'lin
毛棉杜鹃,mao'mian'du'juan
毛稔,mao'ren
茂盛,mao'sheng
毛叶,mao'ye
没办法,mei'ban'fa
没打意思,mei'da'yi'si
每当我听你弹乱你女朋友是那,mei'dang'wo'ting'ni'tan'luan'ni'nv'peng'you'shi'na
美德,mei'de
没告诉,mei'gao'su
每个,mei'ge
每个月,mei'ge'yue
每个种,mei'ge'zhong
玫瑰,mei'gui
玫瑰油,mei'gui'you
美国,mei'guo
美化个,mei'hua'ge
美花隔距兰,mei'hua'ge'ju'lan
酶活性,mei'huo'xing
梅姐,mei'jie
美就是,mei'jiu'shi
没看,mei'kan
每颗树,mei'ke'shu
每棵树,mei'ke'shu
美满,mei'man
没忙,mei'mang
妹妹,mei'mei
每亩,mei'mu
每木调查,mei'mu'diao'cha
美女,mei'nv
美欧,mei'ou
没事,mei'shi
每树分成,mei'shu'fen'cheng
煤炭,mei'tan
每天,mei'tian
每条,mei'tiao
每条线,mei'tiao'xian
没问题,mei'wen'ti
每页,mei'ye
每一,mei'yi
每一个,mei'yi'ge
每一径级,mei'yi'jing'ji
每一区段,mei'yi'qu'duan
没意思,mei'yi'si
没哟,mei'yo
没有,mei'you
没有出去,mei'you'chu'qu
没有出去玩,mei'you'chu'qu'wan
没有多少,mei'you'duo'shao
没有看到你的留言,mei'you'kan'dao'ni'de'liu'yan
没有哦,mei'you'o
没有人,mei'you'ren
没有上班,mei'you'shang'ban
没有什么,mei'you'shen'me
没有问题,mei'you'wen'ti
没有选,mei'you'xuan
没有注意,mei'you'zhu'yi
没有最好,mei'you'zui'hao
每月,mei'yue
美洲,mei'zhou
每组,mei'zu
门口,men'kou
门面,men'mian
梦幻西游,meng'huan'xi'you
蒙自,meng'zi
密度,mi'du
糜夫人,mi'fu'ren
迷锅,mi'guo
猕猴岭,mi'hou'ling
密花石,mi'hua'shi
密花石斛,mi'hua'shi'hu
密花树,mi'hua'shu
密码,mi'ma
密网蕨,mi'wang'jue
密西,mi'xi
米以下,mi'yi'xia
棉袄,mian'ao
免得,mian'de
免费,mian'fei
面积,mian'ji
面上,mian'shang
面试,mian'shi
棉线,mian'xian
绵阳,mian'yang
面阴囊,mian'yin'nang
面值,mian'zhi
面子,mian'zi
苗圃,miao'pu
描述,miao'shu
民办,min'ban
闽粤,min'yue
民政,min'zheng
民政局,min'zheng'ju
民族,min'zu
明白,ming'bai
名不虚传,ming'bu'xu'chuan
名称,ming'cheng
名单,ming'dan
名额,ming'e
名花有主,ming'hua'you'zhu
名利,ming'li
命令,ming'ling
明年,ming'nian
名牌,ming'pai
名片,ming'pian
明天,ming'tian
明天上班,ming'tian'shang'ban
明天再联系,ming'tian'zai'lian'xi
明显,ming'xian
明显的,ming'xian'de
明显多,ming'xian'duo
名义,ming'yi
名字,ming'zi
模板,mo'ban
蘑菇,mo'gu
磨合,mo'he
默认,mo'ren
陌生,mo'sheng
陌生人,mo'sheng'ren
模式,mo'shi
摸索,mo'suo
魔芋,mo'yu
某些科,mou'xie'ke
目标,mu'biao
牡丹,mu'dan
目的,mu'di
木工喽,mu'gong'lou
木姜,mu'jiang
木兰,mu'lan
目录,mu'lu
木讷,mu'ne
目前,mu'qian
木犀科,mu'xi'ke
木质,mu'zhi
木子,mu'zi
那本,na'ben
那边,na'bian
那边的,na'bian'de
那边工作,na'bian'gong'zuo
那边是不是,na'bian'shi'bu'shi
那斌,na'bin
拿不出来,na'bu'chu'lai
那部分,na'bu'fen
拿成绩单,na'cheng'ji'dan
拿出来,na'chu'lai
那次,na'ci
拿到,na'dao
那得,na'dei
拿东西,na'dong'xi
那儿,na'er
哪儿,na'er
哪儿啊,na'er'a
那儿呆着,na'er'dai'zhe
那儿的,na'er'de
哪方面,na'fang'mian
那个,na'ge
哪个,na'ge
那个还不行,na'ge'hai'bu'xing
那个人,na'ge'ren
那个师妹,na'ge'shi'mei
那估计,na'gu'ji
拿过,na'guo
拿过来,na'guo'lai
那好,na'hao
那好啊,na'hao'a
那很好,na'hen'hao
拿回来,na'hui'lai
那几棵大树,na'ji'ke'da'shu
那家,na'jia
那家伙,na'jia'huo
那家伙还在不在,na'jia'huo'hai'zai'bu'zai
那届,na'jie
那就,na'jiu
那就哈,na'jiu'ha
那就还有机会啊,na'jiu'hai'you'ji'hui'a
那就好,na'jiu'hao
那就好多了,na'jiu'hao'duo'le
那就是,na'jiu'shi
那口子,na'kou'zi
那款,na'kuan
拿来了,na'lai'le
那栏,na'lan
那劳什子,na'lao'shi'zi
那里,na'li
哪里,na'li
那里也没有,na'li'ye'mei'you
哪里有什么,na'li'you'shen'me
那两本书,na'liang'ben'shu
那么,na'me
哪么,na'me
那门,na'men
哪能,na'neng
那你,na'ni
那年,na'nian
那篇,na'pian
那上班,na'shang'ban
那是,na'shi
那时候,na'shi'hou
那时候出差,na'shi'hou'chu'chai
那天,na'tian
哪天给你,na'tian'gei'ni
哪位,na'wei
哪位好心的大街,na'wei'hao'xin'de'da'jie
那我就过去,na'wo'jiu'guo'qu
拿下,na'xia
那小伙子,na'xiao'huo'zi
那小子,na'xiao'zi
那些,na'xie
哪些地方,na'xie'di'fang
那些人不宜喝菊花茶,na'xie'ren'bu'yi'he'ju'hua'cha
那样,na'yang
那样的话,na'yang'de'hua
那也和,na'ye'he
那也没有,na'ye'mei'you
哪一行业,na'yi'hang'ye
哪一类,na'yi'lei
哪有那么多银子,na'you'na'me'duo'yin'zi
哪站,na'zhan
拿着,na'zhe
那种,na'zhong
拿主意,na'zhu'yi
南北,nan'bei
男的,nan'de
南丁格尔,nan'ding'ge'er
南方人,nan'fang'ren
难了,nan'le
男女,nan'nv
男朋友,nan'peng'you
南坡,nan'po
男人,nan'ren
男生,nan'sheng
男士,nan'shi
男性,nan'xing
南亚,nan'ya
南烛,nan'zhu
男子,nan'zi
闹了,nao'le
内部,nei'bu
内层,nei'ceng
内存,nei'cun
内的,nei'de
内涵,nei'han
内蒙古,nei'meng'gu
内容,nei'rong
内网,nei'wang
内向,nei'xiang
能不能,neng'bu'neng
能定,neng'ding
能否,neng'fou
能否收到书,neng'fou'shou'dao'shu
能搞到,neng'gao'dao
能够,neng'gou
能够看到,neng'gou'kan'dao
能给,neng'ji
能进,neng'jin
能进大学,neng'jin'da'xue
能力,neng'li
能下在吗,neng'xia'zai'ma
能有,neng'you
能在,neng'zai
你啊,ni'a
你吧,ni'ba
你不是,ni'bu'shi
你不做试验了,ni'bu'zuo'shi'yan'le
昵称,ni'cheng
你吃饭,ni'chi'fan
拟赤杨,ni'chi'yang
你的,ni'de
你都是,ni'dou'shi
你对我有噶按角马,ni'dui'wo'you'ga'an'jiao'ma
你还记得,ni'hai'ji'de
你还是,ni'hai'shi
你好,ni'hao
你好牛,ni'hao'niu
你好哦啊,ni'hao'o'a
你和,ni'he
你家,ni'jia
你姐姐,ni'jie'jie
你就是大款,ni'jiu'shi'da'kuan
你老婆,ni'lao'po
你了,ni'le
你聊,ni'liao
你忙吧,ni'mang'ba
你们,ni'men
你们好,ni'men'hao
你那儿,ni'na'er
你那儿有没有,ni'na'er'you'mei'you
你呢,ni'ni
你什么时候,ni'shen'me'shi'hou
你是,ni'shi
你是不是,ni'shi'bu'shi
你说一个人会不会同时喜欢俩个人,ni'shuo'yi'ge'ren'hui'bu'hui'tong'shi'xi'huan'liang'ge'ren
你先,ni'xian
你先到,ni'xian'dao
你先看,ni'xian'kan
你先忙,ni'xian'mang
你也要,ni'ye'yao
你一个人,ni'yi'ge'ren
你在,ni'zai
你这家伙,ni'zhe'jia'huo
你知道,ni'zhi'dao
你做,ni'zuo
年不,nian'bu
年的,nian'de
年何在,nian'he'zai
年降雨量,nian'jiang'yu'liang
年龄,nian'ling
年前,nian'qian
年轻,nian'qing
年轻人,nian'qing'ren
鸟草绝,niao'cao'jue
鸟嘈蕨,niao'cao'jue
鸟巢,niao'chao
鸟超出,niao'chao'chu
鸟巢蕨,niao'chao'jue
鸟人,niao'ren
您好,nin'hao
牛啊,niu'a
牛的,niu'de
浓茶,nong'cha
农村,nong'cun
农大,nong'da
弄得,nong'de
弄个,nong'ge
弄喊,nong'han
农行,nong'hang
弄好也,nong'hao'ye
农科院,nong'ke'yuan
农民,nong'min
浓缩的多是精品,nong'suo'de'duo'shi'jing'pin
农业,nong'ye
农业大学了,nong'ye'da'xue'le
努力,nu'li
暖和,nuan'huo
女的,nv'de
女孩子,nv'hai'zi
