艾滋病,ai'zi'bing
血清病,xue'qing'bing
血清蛋白结合碘减少,xue'qing'dan'bai'jie'he'dian'jian'shao
血清蛋白结合碘增加,xue'qing'dan'bai'jie'he'dian'zeng'jia
血清肉毒碱增加,xue'qing'rou'du'jian'zeng'jia
血清铁减少,xue'qing'tie'jian'shao
血清铁增加,xue'qing'tie'zeng'jia
血清叶酸试验异常,xue'qing'ye'suan'shi'yan'yi'chang
血清叶酸盐试验异常,xue'qing'ye'suan'yan'shi'yan'yi'chang
血容量增加,xue'rong'liang'zeng'jia
血色素沉着,xue'se'su'chen'zhuo
血色素正常性贫血,xue'se'su'zheng'chang'xing'pin'xue
血栓栓塞,xue'shuan'shuan'sai
血栓形成,xue'shuan'xing'cheng
血栓性静脉炎,xue'shuan'xing'jing'mai'yan
血小板减少,xue'xiao'ban'jian'shao
血小板减少性紫癜,xue'xiao'ban'jian'shao'xing'zi'dian
血小板减少血栓形成性紫癜,xue'xiao'ban'jian'shao'xue'shuan'xing'cheng'xing'zi'dian
血小板粘性降低,xue'xiao'ban'nian'xing'jiang'di
血小板粘性升高,xue'xiao'ban'nian'xing'sheng'gao
血小板异常,xue'xiao'ban'yi'chang
血小板增多,xue'xiao'ban'zeng'duo
血性腹泻,xue'xing'fu'xie
血胸,xue'xiong
血药浓度降低,xue'yao'nong'du'jiang'di
血药浓度增高,xue'yao'nong'du'zeng'gao
血质不调,xue'zhi'bu'tiao
血肿,xue'zhong
循环精神病样反应,xun'huan'jing'shen'bing'yang'fan'ying
循环衰竭,xun'huan'shuai'jie
牙变色,ya'bian'se
牙病,ya'bing
牙发育不良,ya'fa'yu'bu'liang
牙畸形,ya'ji'xing
牙痛,ya'tong
牙龈变色,ya'yin'bian'se
牙龈出血,ya'yin'chu'xie
牙龈退缩,ya'yin'tui'suo
牙龈萎缩,ya'yin'wei'suo
牙龈炎,ya'yin'yan
牙龈增生,ya'yin'zeng'sheng
牙周病,ya'zhou'bing
眼出血,yan'chu'xie
眼肌麻痹,yan'ji'ma'bi
眼畸形,yan'ji'xing
眼睑回缩,yan'jian'hui'suo
眼睑痉挛,yan'jian'jing'luan
眼睑炎,yan'jian'yan
眼疱疹,yan'pao'zhen
眼球突出,yan'qiu'tu'chu
眼球震颤,yan'qiu'zhen'chan
厌食,yan'shi
咽水肿,yan'shui'zhong
延髓麻痹,yan'sui'ma'bi
延髓神经炎,yan'sui'shen'jing'yan
眼痛,yan'tong
咽下困难,yan'xia'kun'nan
咽炎,yan'yan
眼异常,yan'yi'chang
羊膜腔穿刺术异常,yang'mo'qiang'chuan'ci'shu'yi'chang
羊水过多,yang'shui'guo'duo
羊水过少,yang'shui'guo'shao
阳痿,yang'wei
腰背痛,yao'bei'tong
药物滥用,yao'wu'lan'yong
药物特异性抗体,yao'wu'te'yi'xing'kang'ti
药物无效,yao'wu'wu'xiao
药物依赖性,yao'wu'yi'lai'xing
夜盲,ye'mang
夜尿症,ye'niao'zheng
叶酸缺乏性贫血,ye'suan'que'fa'xing'pin'xue
液体过剩,ye'ti'guo'sheng
癔病,yi'bing
异常巨核细胞症,yi'chang'ju'he'xi'bao'zheng
异常色素沉着,yi'chang'se'su'chen'zhuo
乙醇不耐受,yi'chun'bu'nai'shou
遗精,yi'jing
依赖性水肿,yi'lai'xing'shui'zhong
意识模糊,yi'shi'mo'hu
意外疗效,yi'wai'liao'xiao
意外妊娠,yi'wai'ren'shen
异位妊娠,yi'wei'ren'shen
异物创伤,yi'wu'chuang'shang
异物吸入,yi'wu'xi'ru
胰腺病,yi'xian'bing
胰腺囊肿,yi'xian'nang'zhong
胰腺炎,yi'xian'yan
抑郁,yi'yu
抑郁加重,yi'yu'jia'zhong
咿扎音,yi'zha'yin
阴道闭锁,yin'dao'bi'suo
阴道出血,yin'dao'chu'xue
阴道恶性瘤,yin'dao'e'xing'liu
阴道疾病,yin'dao'ji'bing
阴道良性瘤,yin'dao'liang'xing'liu
阴道炎,yin'dao'yan
隐睾病,yin'gao'bing
阴户病,yin'hu'bing
阴茎病,yin'jing'bing
阴茎异常勃起,yin'jing'yi'chang'bo'qi
银屑病,yin'xie'bing
银屑病加重,yin'xie'bing'jia'zhong
银屑病样疹,yin'xie'bing'yang'zhen
银质沉着病,yin'zhi'chen'zhuo'bing
婴儿猝死综合征,ying'er'cu'si'zong'he'zheng
婴儿孤僻症,ying'er'gu'pi'zheng
硬化性腹膜炎,ying'hua'xing'fu'mo'yan
硬结,ying'jie
硬结性红斑,ying'jie'xing'hong'ban
硬皮病,ying'pi'bing
营养不良,ying'yang'bu'liang
用药部位出血,yong'yao'bu'wei'chu'xie
用药部位麻木,yong'yao'bu'wei'ma'mu
用药部位水肿,yong'yao'bu'wei'shui'zhong
用药部位疼痛,yong'yao'bu'wei'teng'tong
疣,you
有关妇产科的疼痛,you'guan'fu'chan'ke'de'teng'tong
幽门狭窄,you'men'xia'zhai
右心衰竭,you'xin'shuai'jie
语言障碍,yu'yan'zhang'ai
月经过多,yue'jing'guo'duo
月经间期出血,yue'jing'jian'qi'chu'xie
月经痛,yue'jing'tong
月经紊乱,yue'jing'wen'luan
运动减少,yun'dong'jian'shao
运动神经炎,yun'dong'shen'jing'yan
运动障碍,yun'dong'zhang'ai
晕厥,yun'jue
再生不良性贫血,zai'sheng'bu'liang'xing'pin'xue
再生障碍性贫血,zai'sheng'zhang'ai'xing'pin'xue
暂时性失明,zan'shi'xing'shi'ming
早产,zao'chan
躁狂反应,zao'kuang'fan'ying
早泄,zao'xie
谵妄,zhan'wang
张力减退,zhang'li'jian'tui
张力亢进,zhang'li'kang'jin
张力障碍,zhang'li'zhang'ai
震颤,zhen'chan
震荡,zhen'dang
真菌感染,zhen'jun'gan'ran
正常红细胞性贫血,zheng'chang'hong'xi'bao'xing'pin'xue
正铁血红蛋白尿,zheng'tie'xue'hong'dan'bai'niao
正铁血红蛋白血,zheng'tie'xue'hong'dan'bai'xue
痣,zhi
直肠癌,zhi'chang'ai
直肠病,zhi'chang'bing
直肠出血,zhi'chang'chu'xie
直肠炎,zhi'chang'yan
脂沉积,zhi'chen'ji
痔疮,zhi'chuang
痔疮栓塞,zhi'chuang'shuan'sai
脂肪病,zhi'fang'bing
脂肪肝,zhi'fang'gan
脂肪瘤,zhi'fang'liu
脂肪萎缩,zhi'fang'wei'suo
脂肪泻,zhi'fang'xie
脂肪再分布,zhi'fang'zai'fen'bu
肢畸形,zhi'ji'xing
脂膜炎,zhi'mo'yan
支气管痉挛,zhi'qi'guan'jing'luan
支气管痉挛加重,zhi'qi'guan'jing'luan'jia'zhong
支气管扩张,zhi'qi'guan'kuo'zhang
支气管瘤,zhi'qi'guan'liu
支气管狭窄,zhi'qi'guan'xia'zhai
支气管炎,zhi'qi'guan'yan
植入并发症,zhi'ru'bing'fa'zheng
肢体栓塞,zhi'ti'shuan'sai
窒息,zhi'xi
脂营养不良,zhi'ying'yang'bu'liang
种痘并发症,zhong'dou'bing'fa'zheng
中耳炎,zhong'er'yan
重症肌无力样综合征,zhong'zheng'ji'wu'li'yang'zong'he'zheng
主动脉缩窄,zhu'dong'mai'suo'zhai
主动脉狭窄,zhu'dong'mai'xia'zhai
侏儒症,zhu'ru'zheng
注射部位反应,zhu'she'bu'wei'fan'ying
注射部位感染,zhu'she'bu'wei'gan'ran
注射部位坏死,zhu'she'bu'wei'huai'si
注射部位溃疡形成,zhu'she'bu'wei'kui'yang'xing'cheng
注射部位麻木,zhu'she'bu'wei'ma'mu
注射部位脓肿,zhu'she'bu'wei'nong'zhong
注射部位皮疹,zhu'she'bu'wei'pi'zhen
注射部位骚痒,zhu'she'bu'wei'sao'yang
注射部位疼痛,zhu'she'bu'wei'teng'tong
注射部位萎缩,zhu'she'bu'wei'wei'suo
注射部位纤维化,zhu'she'bu'wei'xian'wei'hua
注射部位炎症,zhu'she'bu'wei'yan'zheng
注射部位硬结,zhu'she'bu'wei'ying'jie
蛛网膜下出血,zhu'wang'mo'xia'chu'xie
蛛网膜炎,zhu'wang'mo'yan
注意力损伤,zhu'yi'li'sun'shang
状况恶化,zhuang'kuang'e'hua
椎间盘病,zhui'jian'pan'bing
锥体外系病,zhui'ti'wai'xi'bing
紫癜性疹,zi'dian'xing'zhen
自动症,zi'dong'zheng
自发性血小板减少性紫癜,zi'fa'xing'xue'xiao'ban'jian'shao'xing'zi'dian
紫绀,zi'gan
子宫癌,zi'gong'ai
子宫出血,zi'gong'chu'xie
子宫穿孔,zi'gong'chuan'kong
子宫肌层增厚,zi'gong'ji'ceng'zeng'hou
子宫肌瘤,zi'gong'ji'liu
子宫痉挛,zi'gong'jing'luan
子宫内膜癌,zi'gong'nei'mo'ai
子宫内膜病,zi'gong'nei'mo'bing
子宫内膜发育不全,zi'gong'nei'mo'fa'yu'bu'quan
子宫内膜炎,zi'gong'nei'mo'yan
子宫内膜异位症,zi'gong'nei'mo'yi'wei'zheng
子宫内膜增生,zi'gong'nei'mo'zeng'sheng
子宫内膜增长,zi'gong'nei'mo'zeng'zhang
子宫切除术,zi'gong'qie'chu'shu
子宫收缩,zi'gong'shou'suo
子宫张力缺乏,zi'gong'zhang'li'que'fa
子宫肿瘤,zi'gong'zhong'liu
自杀企图,zi'sha'qi'tu
自体抗体反应,zi'ti'kang'ti'fan'ying
子痫,zi'xian
纵膈纤维化,zong'ge'xian'wei'hua
纵隔肿瘤,zong'ge'zhong'liu
组织细胞增多症,zu'zhi'xi'bao'zeng'duo'zheng
做梦异常,zuo'meng'yi'chang
左心衰竭,zuo'xin'shuai'jie
