阿弗他溃疡,a'fu'ta'kui'yang
牙源性钙化囊肿,ya'yuan'xing'gai'hua'nang'zhong
牙源性钙化上皮瘤,ya'yuan'xing'gai'hua'shang'pi'liu
牙源性角化囊肿,ya'yuan'xing'jiao'hua'nang'zhong
牙源性鳞状细胞瘤,ya'yuan'xing'lin'zhuang'xi'bao'liu
牙源性囊肿,ya'yuan'xing'nang'zhong
牙源性上皮性肿瘤,ya'yuan'xing'shang'pi'xing'zhong'liu
牙源性透明细胞瘤,ya'yuan'xing'tou'ming'xi'bao'liu
牙源性腺瘤样瘤,ya'yuan'xing'xian'liu'yang'liu
牙源性纤维瘤,ya'yuan'xing'xian'wei'liu
牙源性纤维肉瘤,ya'yuan'xing'xian'wei'rou'liu
牙源性粘液瘤,ya'yuan'xing'zhan'ye'liu
牙源性肿瘤,ya'yuan'xing'zhong'liu
牙支持,ya'zhi'chi
牙支持式,ya'zhi'chi'shi
牙中牙,ya'zhong'ya
牙种植术,ya'zhong'zhi'shu
牙周变性,ya'zhou'bian'xing
牙周病,ya'zhou'bing
牙周病学,ya'zhou'bing'xue
牙周病指数,ya'zhou'bing'zhi'shu
牙周创伤,ya'zhou'chuang'shang
牙周锉,ya'zhou'cuo
牙周袋,ya'zhou'dai
牙周袋标记镊,ya'zhou'dai'biao'ji'nie
牙周袋探针,ya'zhou'dai'tan'zhen
牙周翻瓣术,ya'zhou'fan'ban'shu
牙周记录表,ya'zhou'ji'lu'biao
牙周膜,ya'zhou'mo
牙周膜浸润麻醉,ya'zhou'mo'jin'run'ma'zui
牙周脓肿,ya'zhou'nong'zhong
牙周塞治剂,ya'zhou'sai'zhi'ji
牙周塞治术,ya'zhou'sai'zhi'shu
牙周上皮剩余,ya'zhou'shang'pi'sheng'yu
牙周萎缩,ya'zhou'wei'suo
牙周协同破坏区,ya'zhou'xie'tong'po'huai'qu
牙周新附着,ya'zhou'xin'fu'zhuo
牙周牙髓联合治疗,ya'zhou'ya'sui'lian'he'zhi'liao
牙周再附着,ya'zhou'zai'fu'zhuo
牙周指数,ya'zhou'zhi'shu
牙周组织,ya'zhou'zu'zhi
牙周组织激惹区,ya'zhou'zu'zhi'ji're'qu
牙自动萌出,ya'zi'dong'meng'chu
牙钻,ya'zuan
烟斑,yan'ban
咽后壁瓣,yan'hou'bi'ban
烟碱性口炎,yan'jian'xing'kou'yan
研磨,yan'mo
咽旁间隙,yan'pang'jian'xi
延伸卡环,yan'shen'ka'huan
炎性根旁囊肿,yan'xing'gen'pang'nang'zhong
氧化铝种植体,yang'hua'lv'zhong'zhi'ti
氧化锌丁香油酚,yang'hua'xin'ding'xiang'you'fen
氧化锌丁香油酚印模糊剂,yang'hua'xin'ding'xiang'you'fen'yin'mu'hu'ji
咬唇症,yao'chun'zheng
咬合,yao'he
咬合纸,yao'he'zhi
咬颊症,yao'jia'zheng
咬紧牙,yao'jin'ya
夜磨牙症,ye'mo'ya'zheng
夜用护板,ye'yong'hu'ban
叶状乳头炎,ye'zhuang'ru'tou'yan
义齿边缘,yi'chi'bian'yuan
义齿承托区,yi'chi'cheng'tuo'qu
义齿粘附剂,yi'chi'nian'fu'ji
义齿热处理,yi'chi're'chu'li
义齿填塞,yi'chi'tian'se
义齿吸附作用,yi'chi'xi'fu'zuo'yong
义齿型盒,yi'chi'xing'he
义齿性口腔痛,yi'chi'xing'kou'qiang'tong
义齿性口炎,yi'chi'xing'kou'yan
遗传性乳光牙本质,yi'chuan'xing'ru'guang'ya'ben'zhi
遗传性釉质发育异常症,yi'chuan'xing'you'zhi'fa'yu'yi'chang'zheng
翼腭管注射法,yi'e'guan'zhu'she'fa
翼腭窝综合征,yi'e'wo'zong'he'zheng
义颌,yi'he
翼上颌裂点,yi'shang'he'lie'dian
翼上颌延伸种植体,yi'shang'he'yan'shen'zhong'zhi'ti
异位皮脂腺,yi'wei'pi'zhi'xian
异位涎腺,yi'wei'xian'xian
易位牙,yi'wei'ya
翼下颌间隙,yi'xia'he'jian'xi
翼下颌注射法,yi'xia'he'zhu'she'fa
医学专业词汇,yi'xue'zhuan'ye'ci'hui
翼缘区,yi'yuan'qu
异种牙移植术,yi'zhong'ya'yi'zhi'shu
龈瓣,yin'ban
龈变性,yin'bian'xing
龈成形术,yin'cheng'xing'shu
龈袋,yin'dai
银汞沉着症,yin'gong'chen'zhuo'zheng
银汞合金,yin'gong'he'jin
龈沟,yin'gou
龈沟液测量仪,yin'gou'ye'ce'liang'yi
龈沟液取样纸条,yin'gou'ye'qu'yang'zhi'tiao
龈谷,yin'gu
龈口炎,yin'kou'yan
龈流血指数,yin'liu'xue'zhi'shu
印模,yin'mo
印模膏,yin'mo'gao
印模糊剂,yin'mo'hu'ji
印模面,yin'mo'mian
印模石膏,yin'mo'shi'gao
印模材料,yin'mu'cai'liao
印模托盘,yin'mu'tuo'pan
龈切除术,yin'qie'chu'shu
龈乳头,yin'ru'tou
龈乳头炎,yin'ru'tou'yan
龈上牙石,yin'shang'ya'shi
龈下刮治器,yin'xia'gua'zhi'qi
龈下刮治术,yin'xia'gua'zhi'shu
龈下牙石,yin'xia'ya'shi
龈纤维瘤病多毛综合征,yin'xian'wei'liu'bing'duo'mao'zong'he'zheng
龈牙结合部,yin'ya'jie'he'bu
龈牙纤维,yin'ya'xian'wei
龈炎,yin'yan
龈炎指数,yin'yan'zhi'shu
硬骨板,ying'gu'ban
应力副承托区,ying'li'fu'cheng'tuo'qu
应力缓冲器,ying'li'huan'chong'qi
应力缓冲式桥,ying'li'huan'chong'shi'qiao
应力主承托区,ying'li'zhu'cheng'tuo'qu
永久充填,yong'jiu'chong'tian
永久性种植体,yong'jiu'xing'zhong'zhi'ti
釉板,you'ban
釉丛,you'cong
釉基质,you'ji'zhi
釉结,you'jie
有孔印模托盘,you'kong'yin'mu'tuo'pan
游离端固定桥,you'li'duan'gu'ding'qiao
游离龈,you'li'yin
游离龈沟,you'li'yin'gou
釉面横纹,you'mian'heng'wen
釉上皮,you'shang'pi
釉梭,you'suo
釉索,you'suo
釉小皮,you'xiao'pi
釉质,you'zhi
釉质白垩斑,you'zhi'bai'e'ban
釉质发生,you'zhi'fa'sheng
釉质发育不全症,you'zhi'fa'yu'bu'quan'zheng
釉质钙化不全症,you'zhi'gai'hua'bu'quan'zheng
釉质生长线,you'zhi'sheng'zhang'xian
釉质牙本质界,you'zhi'ya'ben'zhi'jie
釉质牙骨质界,you'zhi'ya'gu'zhi'jie
釉质珠,you'zhi'zhu
釉柱,you'zhu
釉柱鞘,you'zhu'qiao
疣状白斑,you'zhuang'bai'ban
疣状黄瘤,you'zhuang'huang'liu
疣状增生,you'zhuang'zeng'sheng
游走性舌炎,you'zou'xing'she'yan
预防口腔医学,yu'fang'kou'qiang'yi'xue
预防口腔正畸学,yu'fang'kou'qiang'zheng'ji'xue
预防性扩展,yu'fang'xing'kuo'zhan
语音矫正器,yu'yin'jiao'zheng'qi
语音治疗,yu'yin'zhi'liao
原发性牙本质,yuan'fa'xing'ya'ben'zhi
圆管,yuan'guan
远中错位,yuan'zhong'cuo'wei
远中面,yuan'zhong'mian
远中向阻生,yuan'zhong'xiang'zu'sheng
远中楔形瓣,yuan'zhong'xie'xing'ban
越隔纤维,yue'ge'xian'wei
暂封材料,zan'feng'cai'liao
暂基托,zan'ji'tuo
暂时充填,zan'shi'chong'tian
暂时性义齿,zan'shi'xing'yi'chi
早接触,zao'jie'chu
早萌,zao'meng
藻酸盐印模材料,zao'suan'yan'yin'mu'cai'liao
凿状切牙,zao'zhuang'qie'ya
泽斯特锚凹附着体,ze'si'te'mao'ao'fu'zhuo'ti
增力桥基,zeng'li'qiao'ji
增强支抗,zeng'qiang'zhi'kang
增生性龈炎,zeng'sheng'xing'yin'yan
增殖性脓性口炎,zeng'zhi'xing'nong'xing'kou'yan
粘固,zhan'gu
粘固剂,zhan'gu'ji
粘蜡,zhan'la
粘膜支持式,zhan'mo'zhi'chi'shi
掌拇指握法,zhang'mu'zhi'wo'fa
掌跖角化牙周病综合征,zhang'zhi'jiao'hua'ya'zhou'bing'zong'he'zheng
罩牙本质,zhao'ya'ben'zhi
诊断模型,zhen'duan'mo'xing
真空吸引器,zhen'kong'xi'yin'qi
真空铸造机,zhen'kong'zhu'zao'ji
枕支抗,zhen'zhi'kang
正颌外科学,zheng'he'wai'ke'xue
正颌学,zheng'he'xue
正畸保持器,zheng'ji'bao'chi'qi
正畸矫治器,zheng'ji'jiao'zhi'qi
正畸力,zheng'ji'li
整体铸造,zheng'ti'zhu'zao
正中挡,zheng'zhong'dang
正中额外牙,zheng'zhong'e'wai'ya
正中关系,zheng'zhong'guan'xi
正中关系弧,zheng'zhong'guan'xi'hu
正中关系位,zheng'zhong'guan'xi'wei
正中菱形舌炎,zheng'zhong'ling'xing'she'yan
正中平衡,zheng'zhong'ping'heng
正中锁,zheng'zhong'suo
正中自由区,zheng'zhong'zi'you'qu
支点线,zhi'dian'xian
直动手机,zhi'dong'shou'ji
指簧,zhi'huang
直接固位,zhi'jie'gu'wei
直接固位体,zhi'jie'gu'wei'ti
直接骨印模,zhi'jie'gu'yin'mo
支抗,zhi'kang
直手机,zhi'shou'ji
支托,zhi'tuo
支托区,zhi'tuo'qu
中间桥基,zhong'jian'qiao'ji
中间牙骨质,zhong'jian'ya'gu'zhi
中间种植体,zhong'jian'zhong'zhi'ti
终模型,zhong'mo'xing
中性区,zhong'xing'qu
中央尖,zhong'yang'jian
中央窝,zhong'yang'wo
终印模,zhong'yin'mo
种植桥基固定桥,zhong'zhi'qiao'ji'gu'ding'qiao
种植体固位,zhong'zhi'ti'gu'wei
种植牙周膜,zhong'zhi'ya'zhou'mo
种植义齿,zhong'zhi'yi'chi
种植义齿组织内部结构,zhong'zhi'yi'chi'zu'zhi'nei'bu'jie'gou
种植义齿组织外部结构,zhong'zhi'yi'chi'zu'zhi'wai'bu'jie'gou
种植桩,zhong'zhi'zhuang
钟状期,zhong'zhuang'qi
轴面,zhou'mian
铸道,zhu'dao
铸道针,zhu'dao'zhen
铸件,zhu'jian
柱间区,zhu'jian'qu
主模型,zhu'mo'xing
主桥基,zhu'qiao'ji
主纤维,zhu'xian'wei
铸造,zhu'zao
铸造唇杆,zhu'zao'chun'gan
铸造顶盖,zhu'zao'ding'gai
铸造冠,zhu'zao'guan
铸造冠夹板,zhu'zao'guan'jia'ban
铸造卡环,zhu'zao'ka'huan
铸造蜡,zhu'zao'la
铸造圈,zhu'zao'quan
铸造型盒,zhu'zao'xing'he
转矩成形钳,zhuan'ju'cheng'xing'qian
转矩辅弓,zhuan'ju'fu'gong
转矩托槽,zhuan'ju'tuo'cao
转移盖,zhuan'yi'gai
桩冠,zhuang'guan
装盒,zhuang'he
锥形牙,zhui'xing'ya
自洁区,zi'jie'qu
自凝树脂,zi'ning'shu'zhi
自身牙根种植体,zi'shen'ya'gen'zhong'zhi'ti
自身牙移植术,zi'shen'ya'yi'zhi'shu
阻断口腔正畸学,zu'duan'kou'qiang'zheng'ji'xue
组合性牙瘤,zu'he'xing'ya'liu
阻塞器,zu'se'qi
阻生牙,zu'sheng'ya
组织面,zu'zhi'mian
最广泛接触牙尖交错位,zui'guang'fan'jie'chu'ya'jian'jiao'cuo'wei
