啊啊多少,a'a'duo'shao
你发给我呢,ni'fa'gei'wo'ne
你发来嘛,ni'fa'lai'ma
你发什么内容,ni'fa'shen'me'nei'rong
你仿,ni'fang
你噶要,ni'ga'yao
你噶有,ni'ga'you
你该补脑了,ni'gai'bu'nao'le
你赶点,ni'gan'dian
你赶紧睡了,ni'gan'jin'shui'le
你高架,ni'gao'jia
你搞着,ni'gao'zhe
你个吃饭,ni'ge'chi'fan
你个到家了,ni'ge'dao'jia'le
你个到啦,ni'ge'dao'la
你个回家,ni'ge'hui'jia
你个回家了,ni'ge'hui'jia'le
你个回来啦,ni'ge'hui'lai'la
你个觉得,ni'ge'jue'de
你个可以,ni'ge'ke'yi
你个认得,ni'ge'ren'de
你葛是,ni'ge'shi
你个睡,ni'ge'shui
你个睡啦,ni'ge'shui'la
你个睡了,ni'ge'shui'le
你个土贼,ni'ge'tu'zei
你个网名,ni'ge'wang'ming
你个喜欢,ni'ge'xi'huan
你个想,ni'ge'xiang
你个要睡了,ni'ge'yao'shui'le
你各有,ni'ge'you
你个至于,ni'ge'zhi'yu
你给爱,ni'gei'ai
你给吃的,ni'gei'chi'de
你给吃的饭,ni'gei'chi'de'fan
你给吃的啦,ni'gei'chi'de'la
你给吃的了,ni'gei'chi'de'le
你给吃饭啦,ni'gei'chi'fan'la
你给吃过,ni'gei'chi'guo
你给吃好了,ni'gei'chi'hao'le
你给吃完,ni'gei'chi'wan
你给吃完啦,ni'gei'chi'wan'la
你给出门,ni'gei'chu'men
你给出门啦,ni'gei'chu'men'la
你给出门了,ni'gei'chu'men'le
你给穿,ni'gei'chuan
你给打算,ni'gei'da'suan
你给到家啦,ni'gei'dao'jia'la
你给敢,ni'gei'gan
你给跟我,ni'gei'gen'wo
你给害怕,ni'gei'hai'pa
你给还要,ni'gei'hai'yao
你给还有,ni'gei'hai'you
你给喊,ni'gei'han
你给好点啦,ni'gei'hao'dian'la
你给好好,ni'gei'hao'hao
你给好啦,ni'gei'hao'la
你给好了,ni'gei'hao'le
你给后悔,ni'gei'hou'hui
你给会,ni'gei'hui
你给回家啦,ni'gei'hui'jia'la
你给回家了,ni'gei'hui'jia'le
你给回克,ni'gei'hui'ke
你给回来啦,ni'gei'hui'lai'la
你给回来呢,ni'gei'hui'lai'ne
你给会玩,ni'gei'hui'wan
你给见过,ni'gei'jian'guo
你给纠结,ni'gei'jiu'jie
你给开车,ni'gei'kai'che
你给开始,ni'gei'kai'shi
你给开心,ni'gei'kai'xin
你给看到,ni'gei'kan'dao
你给看啦,ni'gei'kan'la
你给看着,ni'gei'kan'zhe
你给困,ni'gei'kun
你给来的,ni'gei'lai'de
你给来嘛,ni'gei'lai'ma
你给来找我,ni'gei'lai'zhao'wo
你给累,ni'gei'lei
你给冷,ni'gei'leng
你给能不学医啊,ni'gei'neng'bu'xue'yi'a
你给起,ni'gei'qi
你给起床,ni'gei'qi'chuang
你给起床了,ni'gei'qi'chuang'le
你给起啦,ni'gei'qi'la
你给起来啦,ni'gei'qi'lai'la
你给起了,ni'gei'qi'le
你给上,ni'gei'shang
你给上来,ni'gei'shang'lai
你给舍得,ni'gei'she'de
你给是有病,ni'gei'shi'you'bing
你给是在,ni'gei'shi'zai
你给睡,ni'gei'shui
你给睡得啦,ni'gei'shui'de'la
你给听,ni'gei'ting
你给听过,ni'gei'ting'guo
你给听见,ni'gei'ting'jian
你给问,ni'gei'wen
你给问了,ni'gei'wen'le
你给我找个人名,ni'gei'wo'zhao'ge'ren'ming
你给下班啦,ni'gei'xia'ban'la
你给下来,ni'gei'xia'lai
你给想过,ni'gei'xiang'guo
你给想好,ni'gei'xiang'hao
你给想好了,ni'gei'xiang'hao'le
你给想看,ni'gei'xiang'kan
你给想来,ni'gei'xiang'lai
你给想我啦,ni'gei'xiang'wo'la
你给想我了,ni'gei'xiang'wo'le
你给想要,ni'gei'xiang'yao
你给消,ni'gei'xiao
你给行,ni'gei'xing
你给休息,ni'gei'xiu'xi
你给要吃,ni'gei'yao'chi
你给要么,ni'gei'yao'me
你给要睡了,ni'gei'yao'shui'le
你给要我,ni'gei'yao'wo
你给一起,ni'gei'yi'qi
你给用,ni'gei'yong
你给有点,ni'gei'you'dian
你给有空,ni'gei'you'kong
你给有时间,ni'gei'you'shi'jian
你给愿意,ni'gei'yuan'yi
你给在,ni'gei'zai
你给在昆明,ni'gei'zai'kun'ming
你给找到,ni'gei'zhao'dao
你给走,ni'gei'zou
你给走了,ni'gei'zou'le
你给做了,ni'gei'zuo'le
你跟不上调,ni'gen'bu'shang'tiao
你跟不要脸,ni'gen'bu'yao'lian
你更喜欢看,ni'geng'xi'huan'kan
你狗呢,ni'gou'ne
尼姑不了,ni'gu'bu'liao
你故意呢,ni'gu'yi'ne
你还不睡该,ni'hai'bu'shui'gai
你还不睡哈,ni'hai'bu'shui'ha
你还个是,ni'hai'ge'shi
你还好玩,ni'hai'hao'wan
你还没反应过来,ni'hai'mei'fan'ying'guo'lai
你还某睡,ni'hai'mou'shui
你还认不得,ni'hai'ren'bu'de
你还在昆明,ni'hai'zai'kun'ming
你还这种,ni'hai'zhe'zhong
你憨的啦,ni'han'de'la
你好好么,ni'hao'hao'me
你好好呢,ni'hao'hao'ne
你好忙完,ni'hao'mang'wan
你好你好吗,ni'hao'ni'hao'ma
你好玩呢嘛,ni'hao'wan'ne'ma
你好我没有在啊,ni'hao'wo'mei'you'zai'a
你和谁在一个班,ni'he'shui'zai'yi'ge'ban
你何用,ni'he'yong
你很想念,ni'hen'xiang'nian
你回昆明,ni'hui'kun'ming
你会认得,ni'hui'ren'de
你会咋个,ni'hui'za'ge
尼几,ni'ji
你几点克,ni'ji'dian'ke
你记好的,ni'ji'hao'de
你家那点,ni'jia'na'dian
你家那几年,ni'jia'na'ji'nian
倪家营,ni'jia'ying
你家在哪点,ni'jia'zai'na'dian
你教坏我了呀,ni'jiao'huai'wo'le'ya
你叫哪,ni'jiao'na
你皆,ni'jie
你就别要求太高,ni'jiu'bie'yao'qiu'tai'gao
你就不消,ni'jiu'bu'xiao
你就会说简单,ni'jiu'hui'shuo'jian'dan
你就加你了,ni'jiu'jia'ni'le
你就某,ni'jiu'mou
你就认得啦,ni'jiu'ren'de'la
你就是老奶,ni'jiu'shi'lao'nai
你就这点血,ni'jiu'zhe'dian'xue
你居然跑来,ni'ju'ran'pao'lai
你开个大,ni'kai'ge'da
你开呢,ni'kai'ne
你开视频嘛,ni'kai'shi'pin'ma
你看下评论,ni'kan'xia'ping'lun
你看着嘛,ni'kan'zhe'ma
你克看,ni'ke'kan
你可以克,ni'ke'yi'ke
你可以直接对我,ni'ke'yi'zhi'jie'dui'wo
你快点跑,ni'kuai'dian'pao
你拉个几个,ni'la'ge'ji'ge
你来昆明了,ni'lai'kun'ming'le
你来拉萨,ni'lai'la'sa
你来丽江,ni'lai'li'jiang
你来曲靖,ni'lai'qu'jing
你来我这住,ni'lai'wo'zhe'zhu
你来云南,ni'lai'yun'nan
你老祖祖,ni'lao'zu'zu
你了噶,ni'le'ga
你厉害的嘛,ni'li'hai'de'ma
你理理我嘛,ni'li'li'wo'ma
你留过级,ni'liu'guo'ji
你咯是,ni'lo'shi
你咯要,ni'lo'yao
你慢慢呢,ni'man'man'ne
你忙你呢,ni'mang'ni'ne
你毛急,ni'mao'ji
你毛说,ni'mao'shuo
你么才是,ni'me'cai'shi
你没复习给,ni'mei'fu'xi'gei
你没那感觉,ni'mei'na'gan'jue
你没邀我,ni'mei'yao'wo
你没在昆明,ni'mei'zai'kun'ming
你们不做活动吗,ni'men'bu'zuo'huo'dong'ma
你们的快乐,ni'men'de'kuai'le
你们多哈,ni'men'duo'ha
你们给到了,ni'men'gei'dao'le
你们给是,ni'men'gei'shi
你们给要,ni'men'gei'yao
你们给有,ni'men'gei'you
你们会不会打,ni'men'hui'bu'hui'da
你们克,ni'men'ke
你们那哈,ni'men'na'ha
你们哪几个,ni'men'na'ji'ge
你们傻啦,ni'men'sha'la
你们咋会,ni'men'za'hui
你莫比,ni'mo'bi
尼莫呢,ni'mo'ne
你某吃,ni'mou'chi
你某的,ni'mou'de
你某发现,ni'mou'fa'xian
你某见过,ni'mou'jian'guo
你某看,ni'mou'kan
你某看见,ni'mou'kan'jian
你某克,ni'mou'ke
你某来,ni'mou'lai
你某上班,ni'mou'shang'ban
你那边有货给,ni'na'bian'you'huo'gei
你那跌,ni'na'die
你那哈回来,ni'na'ha'hui'lai
你哪里人呀,ni'na'li'ren'ya
你那日,ni'na'ri
你哪下,ni'na'xia
你奶呢,ni'nai'ne
你难道不想承认,ni'nan'dao'bu'xiang'cheng'ren
你喃意思,ni'nan'yi'si
你呢菜,ni'ne'cai
你呢错,ni'ne'cuo
你呢点,ni'ne'dian
你呢电话,ni'ne'dian'hua
你呢东西,ni'ne'dong'xi
你呢号,ni'ne'hao
你呢卡,ni'ne'ka
你呢嘛,ni'ne'ma
你呢名字,ni'ne'ming'zi
你呢事情,ni'ne'shi'qing
你呢头像,ni'ne'tou'xiang
你呢心,ni'ne'xin
你呢眼睛,ni'ne'yan'jing
你呢意思是,ni'ne'yi'si'shi
你呢照片,ni'ne'zhao'pian
你呢嘴,ni'ne'zui
泥牛塘,ni'niu'tang
你怕不会,ni'pa'bu'hui
你怕不是,ni'pa'bu'shi
你怕冷还是怕热,ni'pa'leng'hai'shi'pa're
你怕喃,ni'pa'nan
你怕是要,ni'pa'shi'yao
你怕是有病,ni'pa'shi'you'bing
拟派往,ni'pai'wang
你皮子痒,ni'pi'zi'yang
你前久,ni'qian'jiu
你瞧嘛,ni'qiao'ma
你去测一下吗,ni'qu'ce'yi'xia'ma
你去空间看嘛,ni'qu'kong'jian'kan'ma
你去昆明,ni'qu'kun'ming
你去完蛋吧,ni'qu'wan'dan'ba
你人不得,ni'ren'bu'de
你认不得我,ni'ren'bu'de'wo
你认得呢,ni'ren'de'ne
泥沙淤积,ni'sha'yu'ji
你身上我,ni'shen'shang'wo
你是昆明的,ni'shi'kun'ming'de
你是昆明人,ni'shi'kun'ming'ren
你是那点,ni'shi'na'dian
你是哪样意思,ni'shi'na'yang'yi'si
你是喃,ni'shi'nan
你是曲靖,ni'shi'qu'jing
你是无间道,ni'shi'wu'jian'dao
你是咋个啦,ni'shi'za'ge'la
你是咋个说,ni'shi'za'ge'shuo
你是咋说,ni'shi'za'shuo
你是在昆明,ni'shi'zai'kun'ming
你是怎么说,ni'shi'zen'me'shuo
你是怎么死的,ni'shi'zen'me'si'de
你是整哪,ni'shi'zheng'na
你是做啥滴,ni'shi'zuo'sha'di
你睡得啦,ni'shui'de'la
你睡早点,ni'shui'zao'dian
你说的噶,ni'shuo'de'ga
你说耐,ni'shuo'nai
你说呢对,ni'shuo'ne'dui
你说呢噶,ni'shuo'ne'ga
你说呢哈,ni'shuo'ne'ha
你说呢话,ni'shuo'ne'hua
你说呢嘛,ni'shuo'ne'ma
你说呢是,ni'shuo'ne'shi
你说呢算,ni'shuo'ne'suan
倪思思,ni'si'si
你死一回,ni'si'yi'hui
你四姨婆,ni'si'yi'po
你送来给我,ni'song'lai'gei'wo
你太烦,ni'tai'fan
你太烦啦,ni'tai'fan'la
你太烦了,ni'tai'fan'le
你太憨,ni'tai'han
你太有水平能拉,ni'tai'you'shui'ping'neng'la
你太拽,ni'tai'zhuai
你吐屎,ni'tu'shi
你挖出,ni'wa'chu
你玩的嘛,ni'wan'de'ma
你玩那种,ni'wan'na'zhong
你晚上再挂吧,ni'wan'shang'zai'gua'ba
你为哪,ni'wei'na
你为那样,ni'wei'na'yang
你问了干嘛,ni'wen'le'gan'ma
你无可,ni'wu'ke
你稀奇,ni'xi'qi
你下克,ni'xia'ke
你先玩的,ni'xian'wan'de
你想吃喃,ni'xiang'chi'nan
你想多的啦,ni'xiang'duo'de'la
你想改嫁,ni'xiang'gai'jia
你想整喃,ni'xiang'zheng'nan
你肖,ni'xiao
你写呢,ni'xie'ne
你要安息啦,ni'yao'an'xi'la
你要吃喃,ni'yao'chi'nan
你要出克,ni'yao'chu'ke
你要多哈,ni'yao'duo'ha
你要搞毛,ni'yao'gao'mao
你要搞么,ni'yao'gao'me
你要好好呢,ni'yao'hao'hao'ne
你要克哪点,ni'yao'ke'na'dian
你要来昆明,ni'yao'lai'kun'ming
你要哪哈,ni'yao'na'ha
你要跑那个,ni'yao'pao'na'ge
你要认得,ni'yao'ren'de
你要咋个说,ni'yao'za'ge'shuo
你要咋说,ni'yao'za'shuo
你要在昆明,ni'yao'zai'kun'ming
你要这种,ni'yao'zhe'zhong
你要整哪,ni'yao'zheng'na
你要整喃,ni'yao'zheng'nan
你也不消,ni'ye'bu'xiao
你也给拉一下,ni'ye'gei'la'yi'xia
你也会替我,ni'ye'hui'ti'wo
你也某,ni'ye'mou
你也是嘎,ni'ye'shi'ga
你也是在家吗,ni'ye'shi'zai'jia'ma
你也在昆明,ni'ye'zai'kun'ming
你已经定亲了,ni'yi'jing'ding'qin'le
你一人在吗,ni'yi'ren'zai'ma
你有病该,ni'you'bing'gai
你又不克,ni'you'bu'ke
你又不在昆明,ni'you'bu'zai'kun'ming
你又咋个啦,ni'you'za'ge'la
你又咋个了,ni'you'za'ge'le
你约嘛,ni'yue'ma
你约着,ni'yue'zhe
你咋个不喊喊,ni'za'ge'bu'han'han
你咋个不来,ni'za'ge'bu'lai
你咋个不去,ni'za'ge'bu'qu
你咋个不说,ni'za'ge'bu'shuo
你咋个还不睡,ni'za'ge'hai'bu'shui
你咋个看,ni'za'ge'kan
你咋个克,ni'za'ge'ke
你咋个能,ni'za'ge'neng
你咋个人,ni'za'ge'ren
你咋个说呢,ni'za'ge'shuo'ne
你咋会认得,ni'za'hui'ren'de
你咋那个,ni'za'na'ge
你在安宁,ni'zai'an'ning
你在北市区,ni'zai'bei'shi'qu
你在呈贡,ni'zai'cheng'gong
你在楚雄,ni'zai'chu'xiong
你在大理,ni'zai'da'li
你在饿啦,ni'zai'e'la
你在二货,ni'zai'er'huo
你在干喃,ni'zai'gan'nan
你在搞莫,ni'zai'gao'mo
你在搞哪,ni'zai'gao'na
你在家噶,ni'zai'jia'ga
你在讲什么啊,ni'zai'jiang'shen'me'a
你在巨魔,ni'zai'ju'mo
你在看喃,ni'zai'kan'nan
你在昆都,ni'zai'kun'du
你在昆明哪里,ni'zai'kun'ming'na'li
你在困哦,ni'zai'kun'o
你在拉萨,ni'zai'la'sa
你在丽江,ni'zai'li'jiang
你在哪死,ni'zai'na'si
你在哪些,ni'zai'na'xie
你在曲靖,ni'zai'qu'jing
你在上班噶,ni'zai'shang'ban'ga
你在世纪城,ni'zai'shi'ji'cheng
你在思茅,ni'zai'si'mao
你在文山,ni'zai'wen'shan
你在宣威,ni'zai'xuan'wei
你在玉溪,ni'zai'yu'xi
你在怎酿,ni'zai'zen'niang
你在昭通,ni'zai'zhao'tong
你在着,ni'zai'zhe
你在这点,ni'zai'zhe'dian
你在这种,ni'zai'zhe'zhong
你在整,ni'zai'zheng
你在整那,ni'zai'zheng'na
你在正那样,ni'zai'zheng'na'yang
你在整喃样,ni'zai'zheng'nan'yang
你在整囊,ni'zai'zheng'nang
你在整什么,ni'zai'zheng'shen'me
你长呢,ni'zhang'ne
你昭通,ni'zhao'tong
你这操作,ni'zhe'cao'zuo
你真会关心人,ni'zhen'hui'guan'xin'ren
你整哪,ni'zheng'na
你整哪样,ni'zheng'na'yang
你整呢,ni'zheng'ne
你整啥子,ni'zheng'sha'zi
你整天问我,ni'zheng'tian'wen'wo
你直系学妹,ni'zhi'xi'xue'mei
你住处,ni'zhu'chu
你拽呢嘛,ni'zhuai'ne'ma
你自己克,ni'zi'ji'ke
你做过了吗,ni'zuo'guo'le'ma
你做喃,ni'zuo'nan
年安,nian'an
年货街,nian'huo'jie
年级过了,nian'ji'guo'le
年降雨量,nian'jiang'yu'liang
年轻人的态度,nian'qing'ren'de'tai'du
年轻早逝,nian'qing'zao'shi
粘土料,nian'tu'liao
粘土心墙,nian'tu'xin'qiang
年终绩效考核中,nian'zhong'ji'xiao'kao'he'zhong
娘热路,niang're'lu
聂耳公园,nie'er'gong'yuan
聂耳广场,nie'er'guang'chang
聂耳路,nie'er'lu
聂拉木,nie'la'mu
聂荣芬,nie'rong'fen
聂师,nie'shi
聂学峰,nie'xue'feng
聂允爱,nie'yun'ai
您女的,nin'nv'de
您哟呵高举爱那,nin'yo'he'gao'ju'ai'na
您有何高见,nin'you'he'gao'jian
凝创智业,ning'chuang'zhi'ye
宁洱,ning'er
宁洱县,ning'er'xian
宁纪东,ning'ji'dong
宁蒗,ning'lang
宁蒗县,ning'lang'xian
柠檬鸡,ning'meng'ji
宁县品,ning'xian'pin
牛菜馆,niu'cai'guan
牛干,niu'gan
牛干菌,niu'gan'jun
牛街庄,niu'jie'zhuang
牛井,niu'jing
牛啦,niu'la
牛恋,niu'lian
牛呢嘛,niu'ne'ma
牛肉米线,niu'rou'mi'xian
牛师,niu'shi
牛汤锅,niu'tang'guo
牛羊粪,niu'yang'fen
纽芝兰,niu'zhi'lan
农布,nong'bu
弄岛,nong'dao
弄电热,nong'dian're
农沟,nong'gou
农家园,nong'jia'yuan
弄喇叭,nong'la'ba
农贸市场,nong'mao'shi'chang
侬仕兰,nong'shi'lan
农天下,nong'tian'xia
农网改造工程,nong'wang'gai'zao'gong'cheng
怒江,nu'jiang
怒族,nu'zu
诺布,nuo'bu
诺邓,nuo'deng
糯福,nuo'fu
诺啦,nuo'la
糯良,nuo'liang
糯良村,nuo'liang'cun
糯良乡,nuo'liang'xiang
诺嘛,nuo'ma
糯米香,nuo'mi'xiang
糯木,nuo'mu
诺诺,nuo'nuo
诺诺吧,nuo'nuo'ba
诺诺咯,nuo'nuo'ge
喏喏了,nuo'nuo'le
诺仕达,nuo'shi'da
挪威深橡,nuo'wei'shen'xiang
诺亚金州,nuo'ya'jin'zhou
糯扎渡,nuo'zha'du
诺着,nuo'zhe
女导,nv'dao
女高男低,nv'gao'nan'di
女来了,nv'lai'le
女牛仔裤,nv'niu'zai'ku
女仆的肚子,nv'pu'de'du'zi
女人坊,nv'ren'fang
女傻子,nv'sha'zi
女生们的,nv'sheng'men'de
哦你哦,o'ni'o
哦哦口,o'o'kou
哦则,o'ze
哦租,o'zu
哦组哦组,o'zu'o'zu
欧必达,ou'bi'da
欧侯,ou'hou
欧美电视剧,ou'mei'dian'shi'ju
欧师,ou'shi
欧素,ou'su
偶也这么认为,ou'ye'zhe'me'ren'wei
欧一博,ou'yi'bo
欧珠,ou'zhu
怕不可能,pa'bu'ke'neng
怕不来了,pa'bu'lai'le
怕不能,pa'bu'neng
怕不是吧,pa'bu'shi'ba
怕不是我,pa'bu'shi'wo
怕不搜,pa'bu'sou
怕不妥,pa'bu'tuo
怕不行,pa'bu'xing
怕不咋个,pa'bu'za'ge
怕不至于,pa'bu'zhi'yu
怕得,pa'de
怕还没来,pa'hai'mei'lai
怕还没有,pa'hai'mei'you
怕还是,pa'hai'shi
怕会呢,pa'hui'ne
怕老婆老婆,pa'lao'po'lao'po
怕哪样,pa'na'yang
怕喃样,pa'nan'yang
怕你看见呗,pa'ni'kan'jian'bei
怕是啊,pa'shi'a
怕是不,pa'shi'bu
怕是不得行,pa'shi'bu'de'xing
怕是不够,pa'shi'bu'gou
怕是不好,pa'shi'bu'hao
怕是不可能,pa'shi'bu'ke'neng
怕是不来了,pa'shi'bu'lai'le
怕是不能,pa'shi'bu'neng
怕是不至于,pa'shi'bu'zhi'yu
怕是个,pa'shi'ge
怕是可以,pa'shi'ke'yi
怕是来不及,pa'shi'lai'bu'ji
怕是没得,pa'shi'mei'de
怕是没有,pa'shi'mei'you
怕是某得,pa'shi'mou'de
怕是我,pa'shi'wo
怕是要到,pa'shi'yao'dao
怕是在,pa'shi'zai
爬西山,pa'xi'shan
怕要,pa'yao
怕要到,pa'yao'dao
怕有呢,pa'you'ne
怕只有,pa'zhi'you
派茶,pai'cha
派件前,pai'jian'qian
排麦序,pai'mai'xu
拍哦书,pai'o'shu
排石茶,pai'shi'cha
排水层,pai'shui'ceng
派我出,pai'wo'chu
攀成,pan'cheng
潘豆,pan'dou
潘家湾,pan'jia'wan
潘建美,pan'jian'mei
盘江西路,pan'jiang'xi'lu
潘林海,pan'lin'hai
盘龙,pan'long
盘龙分局,pan'long'fen'ju
盘龙江,pan'long'jiang
盘龙江边,pan'long'jiang'bian
盘龙区,pan'long'qu
盘龙寺,pan'long'si
盘龙小学,pan'long'xiao'xue
盘龙支行,pan'long'zhi'hang
潘其俊,pan'qi'jun
潘师,pan'shi
盘是非,pan'shi'fei
盘溪,pan'xi
盘溪镇,pan'xi'zhen
潘泻叶,pan'xie'ye
攀新都,pan'xin'du
潘永富,pan'yong'fu
盘职,pan'zhi
胖掉,pang'diao
旁多,pang'duo
胖金哥,pang'jin'ge
胖金妹,pang'jin'mei
胖太阳,pang'tai'yang
庞永诚,pang'yong'cheng
跑的啦,pao'de'la
抛高高,pao'gao'gao
抛哥,pao'ge
跑克,pao'ke
跑昆明,pao'kun'ming
跑来跑克,pao'lai'pao'ke
泡鲁达,pao'lu'da
跑马山,pao'ma'shan
跑哪点,pao'na'dian
跑那个快,pao'na'ge'kuai
抛弃品稻草人,pao'qi'pin'dao'cao'ren
泡桑拿,pao'sang'na
跑新图,pao'xin'tu
跑着跑着就,pao'zhe'pao'zhe'jiu
陪得你,pei'de'ni
陪的我,pei'de'wo
配件订单制作,pei'jian'ding'dan'zhi'zuo
陪你克,pei'ni'ke
呸尼玛,pei'ni'ma
陪嫖看赌,pei'piao'kan'du
配图美,pei'tu'mei
陪我克,pei'wo'ke
培训反馈,pei'xun'fan'kui
培训奖惩制度,pei'xun'jiang'cheng'zhi'du
培训实施的,pei'xun'shi'shi'de
配置猪的,pei'zhi'zhu'de
彭城能够,peng'cheng'neng'gou
彭副,peng'fu
彭纪胜,peng'ji'sheng
彭建萍,peng'jian'ping
彭菊芹,peng'ju'qin
碰了那么多了,peng'le'na'me'duo'le
彭丽华,peng'li'hua
膨胀套,peng'zhang'tao
屁宝宝,pi'bao'bao
屁股脸,pi'gu'lian
批号是,pi'hao'shi
疲劳了老两口,pi'lao'le'lao'liang'kou
啤水,pi'shui
疲沓嘴歪,pi'ta'zui'wai
皮子贱,pi'zi'jian
骗豆,pian'dou
骗脸,pian'lian
片马,pian'ma
翩翩姐,pian'pian'jie
骗我噶,pian'wo'ga
漂单,piao'dan
票据随此车带走,piao'ju'sui'ci'che'dai'zou
票据未走,piao'ju'wei'zou
漂亮呢嘛,piao'liang'ne'ma
嫖漂,piao'piao
撇大,pie'da
撇个大,pie'ge'da
品飞,pin'fei
聘夫去,pin'fu'qu
品客,pin'ke
品率,pin'lv
拼你,pin'ni
品牌柱,pin'pai'zhu
品饮,pin'yin
平板打印机,ping'ban'da'yin'ji
屏边,ping'bian
屏边县,ping'bian'xian
评标结果公示,ping'biao'jie'guo'gong'shi
平村,ping'cun
平措,ping'cuo
平甸,ping'dian
平洞,ping'dong
评估区,ping'gu'qu
苹果谷,ping'guo'gu
苹果妈,ping'guo'ma
苹果膜,ping'guo'mo
苹果市值,ping'guo'shi'zhi
评论品牌,ping'lun'pin'pai
凭哪,ping'na
平坡,ping'po
平扫,ping'sao
屏山镇,ping'shan'zhen
平田,ping'tian
平远街,ping'yuan'jie
平掌,ping'zhang
坪子,ping'zi
破过记录,po'guo'ji'lu
泼机,po'ji
坡脚,po'jiao
破酥包,po'su'bao
浦贝,pu'bei
普布,pu'bu
普布次仁,pu'bu'ci'ren
普赤,pu'chi
蒲川,pu'chuan
普次,pu'ci
普达措,pu'da'cuo
普渡河,pu'du'he
普洱,pu'er
普洱办,pu'er'ban
普洱茶,pu'er'cha
普洱茶道,pu'er'cha'dao
普洱茶网,pu'er'cha'wang
普洱茶行,pu'er'cha'xing
普尔顿,pu'er'dun
普洱了,pu'er'le
普洱生茶,pu'er'sheng'cha
普洱市,pu'er'shi
普洱市委,pu'er'shi'wei
普洱学院,pu'er'xue'yuan
普副,pu'fu
普岗,pu'gang
菩航,pu'hang
普吉路,pu'ji'lu
普建国,pu'jian'guo
普婧倩,pu'jing'qian
普老师,pu'lao'shi
普利根,pu'li'gen
普罗盏,pu'luo'zhan
普米族,pu'mi'zu
普坪村,pu'ping'cun
普热潮,pu're'chao
浦绍林,pu'shao'lin
浦师,pu'shi
葡萄街区,pu'tao'jie'qu
普通二轮,pu'tong'er'lun
普通呢,pu'tong'ne
普贤寺,pu'xian'si
朴向仔,pu'xiang'zai
浦新路,pu'xin'lu
濮应中,pu'ying'zhong
普照村,pu'zhao'cun
普着黑,pu'zhe'hei
普志军,pu'zhi'jun
蒲志伟,pu'zhi'wei
铺子,pu'zi
普自村,pu'zi'cun
铺子的,pu'zi'de
起啊啊啊啊啊,qi'a'a'a'a'a
弃标函,qi'biao'han
七彩俊园,qi'cai'jun'yuan
七彩云南,qi'cai'yun'nan
七彩之门,qi'cai'zhi'men
七错,qi'cuo
七甸,qi'dian
骑电单车,qi'dian'dan'che
起点月票榜,qi'dian'yue'piao'bang
启发人深刻思考,qi'fa'ren'shen'ke'si'kao
起飞地,qi'fei'di
七分毒,qi'fen'du
麒高,qi'gao
戚官,qi'guan
汽锅鸡,qi'guo'ji
戚捍新,qi'han'xin
奇航,qi'hang
七河,qi'he
启鸿假日,qi'hong'jia'ri
七花,qi'hua
七花广场,qi'hua'guang'chang
气化站,qi'hua'zhan
起刻,qi'ke
起了该,qi'le'gai
起了头,qi'le'tou
麒麟北路,qi'lin'bei'lu
麒麟东路,qi'lin'dong'lu
麒麟公园,qi'lin'gong'yuan
麒麟花园,qi'lin'hua'yuan
麒麟会,qi'lin'hui
麒麟区,qi'lin'qu
麒麟西路,qi'lin'xi'lu
麒麟巷,qi'lin'xiang
杞麓湖,qi'lu'hu
七米九,qi'mi'jiu
起呢早呢嘛,qi'ne'zao'ne'ma
琪琪还有,qi'qi'hai'you
戚少立,qi'shao'li
七十二拐,qi'shi'er'guai
其实了嘛,qi'shi'le'ma
其实么,qi'shi'me
欺怂怕恶,qi'song'pa'e
其他业务流程,qi'ta'ye'wu'liu'cheng
棋台,qi'tai
戚尉靖,qi'wei'jing
七仙女小凤仙,qi'xian'nv'xiao'feng'xian
棋阳路,qi'yang'lu
齐梓伊,qi'zi'yi
掐丝,qia'si
倩宝宝,qian'bao'bao
钱包颜色,qian'bao'yan'se
铅厂,qian'chang
钱电视,qian'dian'shi
千朵,qian'duo
前杆,qian'gan
钱瓜山,qian'gua'shan
千光,qian'guang
前哈,qian'ha
仟和,qian'he
钱红林,qian'hong'lin
钱建春,qian'jian'chun
钱进源,qian'jin'yuan
钱局街,qian'ju'jie
前看看,qian'kan'kan
钱丽萍,qian'li'ping
千里走单骑,qian'li'zou'dan'qi
前两久,qian'liang'jiu
谦六,qian'liu
乾美,qian'mei
遣派,qian'pai
钱谦,qian'qian
牵人鼻子,qian'ren'bi'zi
千色坊,qian'se'fang
钱师,qian'shi
千王他们,qian'wang'ta'men
前卫西路,qian'wei'xi'lu
前卫营,qian'wei'ying
前卫镇,qian'wei'zhen
千禧龙庭,qian'xi'long'ting
芊翔,qian'xiang
签些,qian'xie
前新,qian'xin
前新路,qian'xin'lu
前兴,qian'xing
前兴路,qian'xing'lu
前星期,qian'xing'qi
千张肉,qian'zhang'rou
浅紫勿,qian'zi'wu
钱佐云,qian'zuo'yun
强巴,qiang'ba
强卡,qiang'ka
强林石化,qiang'lin'shi'hua
强那张,qiang'na'zhang
枪神模式,qiang'shen'mo'shi
荞饼,qiao'bing
瞧不出来,qiao'bu'chu'lai
瞧不得,qiao'bu'de
瞧的着,qiao'de'zhe
瞧电视,qiao'dian'shi
瞧电影,qiao'dian'ying
乔发,qiao'fa
桥丰,qiao'feng
