阿母白媒人,a'mu'bai'mei'ren
莫将戏事扰真情,mo'jiang'xi'shi'rao'zhen'qing
莫教离恨损朱颜,mo'jiao'li'hen'sun'zhu'yan
莫教磨涅,mo'jiao'mo'nie
莫教啼鸟惊着,mo'jiao'ti'niao'jing'zhe
莫教枝上啼,mo'jiao'zhi'shang'ti
莫惊鸳鹭,mo'jing'yuan'lu
莫良於眸子,mo'liang'yu'mou'zi
莫令事不举,mo'ling'shi'bu'ju
末偻而后耳,mo'lou'er'hou'er
莫买沃洲山,mo'mai'wo'zhou'shan
脉脉不得语,mo'mo'bu'de'yu
脉脉此情谁诉,mo'mo'ci'qing'shui'su
漠漠帆来重,mo'mo'fan'lai'zhong
默默乎河伯,mo'mo'hu'he'bo
脉脉花疏天淡,mo'mo'hua'shu'tian'dan
脉脉两情难语,mo'mo'liang'qing'nan'yu
漠漠轻寒上小楼,mo'mo'qing'han'shang'xiao'lou
脉脉情微逗,mo'mo'qing'wei'dou
漠漠水田飞白鹭,mo'mo'shui'tian'fei'bai'lu
脉脉同谁语,mo'mo'tong'shui'yu
漠漠香尘隔,mo'mo'xiang'chen'ge
墨乃始离,mo'nai'shi'li
莫能相尚,mo'neng'xiang'shang
莫逆于心,mo'ni'yu'xin
莫遣旁人惊去,mo'qian'pang'ren'jing'qu
蓦然回首,mo'ran'hui'shou
莫然无魂,mo'ran'wu'hun
莫然有间,mo'ran'you'jian
莫如贵德而尊士,mo'ru'gui'de'er'zun'shi
莫如弃世,mo'ru'qi'shi
莫如为仁,mo'ru'wei'ren
莫若师文王,mo'ruo'shi'wen'wang
莫若天地,mo'ruo'tian'di
莫若为致命,mo'ruo'wei'zhi'ming
莫若无为,mo'ruo'wu'wei
莫若以明,mo'ruo'yi'ming
陌上柔桑破嫩芽,mo'shang'rou'sang'po'nen'ya
陌上相逢否,mo'shang'xiang'feng'fou
莫射南山虎,mo'she'nan'shan'hu
没身不殆,mo'shen'bu'dai
莫神于天,mo'shen'yu'tian
莫使复阳也,mo'shi'fu'yang'ye
莫是藁砧归,mo'shi'gao'zhen'gui
墨氏兼爱,mo'shi'jian'ai
莫使金樽空对月,mo'shi'jin'zun'kong'dui'yue
莫寿乎殇子,mo'shou'hu'shang'zi
莫说离情,mo'shuo'li'qing
莫似春风,mo'si'chun'feng
摩娑素月,mo'suo'su'yue
莫听穿林打叶声,mo'ting'chuan'lin'da'ye'sheng
莫为杀人,mo'wei'sha'ren
莫为则虚,mo'wei'ze'xu
莫问奴归处,mo'wen'nu'gui'chu
莫问兴亡今几主,mo'wen'xing'wang'jin'ji'zhu
莫我知也夫,mo'wo'zhi'ye'fu
莫吾能若也,mo'wu'neng'ruo'ye
莫误双鱼到谢桥,mo'wu'shuang'yu'dao'xie'qiao
莫吾犹人也,mo'wu'you'ren'ye
莫嫌旧日云中守,mo'xian'jiu'ri'yun'zhong'shou
莫嫌丝管声催,mo'xian'si'guan'sheng'cui
莫向光阴惰寸功,mo'xiang'guang'yin'duo'cun'gong
莫笑农家腊酒浑,mo'xiao'nong'jia'la'jiu'hun
莫学武陵人,mo'xue'wu'ling'ren
莫学游侠儿,mo'xue'you'xia'er
磨牙吮血,mo'ya'shun'xue
镆铘为下,mo'ye'wei'xia
莫以真人之言謦吾君之侧乎,mo'yi'zhen'ren'zhi'yan'qing'wu'jun'zhi'ce'hu
末由也已,mo'you'ye'yi
莫怨春风当自嗟,mo'yuan'chun'feng'dang'zi'jie
末在于下,mo'zai'yu'xia
莫则传言者殃,mo'ze'chuan'yan'zhe'yang
墨者夷之,mo'zhe'yi'zhi
墨之道不息,mo'zhi'dao'bu'xi
末之难矣,mo'zhi'nan'yi
莫之能害也,mo'zhi'neng'hai'ye
莫之能守,mo'zhi'neng'shou
莫之能违也,mo'zhi'neng'wei'ye
莫之能御也,mo'zhi'neng'yu'ye
莫知其根也,mo'zhi'qi'gen'ye
莫知其极,mo'zhi'qi'ji
莫知其始,mo'zhi'qi'shi
莫知其所始,mo'zhi'qi'suo'shi
莫知其所终,mo'zhi'qi'suo'zhong
莫知其终,mo'zhi'qi'zhong
莫之为而常自然,mo'zhi'wei'er'chang'zi'ran
莫之为而为者,mo'zhi'wei'er'wei'zhe
末之也已,mo'zhi'ye'yi
莫之御而不仁,mo'zhi'yu'er'bu'ren
莫之知避,mo'zhi'zhi'bi
莫之致而至者,mo'zhi'zhi'er'zhi'zhe
墨之治丧也,mo'zhi'zhi'sang'ye
莫之知载,mo'zhi'zhi'zai
某所有贤者,mou'suo'you'xian'zhe
某为泾州,mou'wei'jing'zhou
谋於燕众,mou'yu'yan'zhong
眸子不能掩其恶,mou'zi'bu'neng'yan'qi'e
眸子不运而风化,mou'zi'bu'yun'er'feng'hua
暮霭沉沉楚天阔,mu'ai'chen'chen'chu'tian'kuo
目不得好色,mu'bu'de'hao'se
目不能两视而明,mu'bu'neng'liang'shi'er'ming
目不视恶色,mu'bu'shi'e'se
目彻为明,mu'che'wei'ming
暮愁渐满空阔,mu'chou'jian'man'kong'kuo
木处则惴栗恂惧,mu'chu'ze'zhui'li'xun'ju
暮春漫兴,mu'chun'man'xing
暮从碧山下,mu'cong'bi'shan'xia
目大不睹,mu'da'bu'du
目大运寸,mu'da'yun'cun
目断千山阻,mu'duan'qian'shan'zu
目断秋霄落雁,mu'duan'qiu'xiao'luo'yan
目断四天垂,mu'duan'si'tian'chui
目断武陵溪,mu'duan'wu'ling'xi
目而不见丘山,mu'er'bu'jian'qiu'shan
暮帆零乱向何许,mu'fan'ling'luan'xiang'he'xu
穆公问曰,mu'gong'wen'yue
目击而道存矣,mu'ji'er'dao'cun'yi
目极伤心,mu'ji'shang'xin
目见不如足践,mu'jian'bu'ru'zu'jian
木兰花令,mu'lan'hua'ling
木兰花慢,mu'lan'hua'man
木落雁南渡,mu'luo'yan'nan'du
牧马长嘶,mu'ma'chang'si
暮年诗赋动江关,mu'nian'shi'fu'dong'jiang'guan
暮去朝来颜色故,mu'qu'zhao'lai'yan'se'gu
暮惹御香归,mu're'yu'xiang'gui
木若以美然,mu'ruo'yi'mei'ran
暮山横翠,mu'shan'heng'cui
木声与人声,mu'sheng'yu'ren'sheng
木石同坛,mu'shi'tong'tan
木受绳则直,mu'shou'sheng'ze'zhi
目送秋光,mu'song'qiu'guang
母孙二人,mu'sun'er'ren
慕陶真可庶,mu'tao'zhen'ke'shu
暮天修竹,mu'tian'xiu'zhu
母听去不止,mu'ting'qu'bu'zhi
牧童归去横牛背,mu'tong'gui'qu'heng'niu'bei
牧童骑黄牛,mu'tong'qi'huang'niu
牧童敲火牛砺角,mu'tong'qiao'huo'niu'li'jiao
牧童遥指杏花村,mu'tong'yao'zhi'xing'hua'cun
目无见也,mu'wu'jian'ye
目无所见,mu'wu'suo'jian
木欣欣以向荣,mu'xin'xin'yi'xiang'rong
暮宴朝欢,mu'yan'chao'huan
暮雨朝云去不还,mu'yu'chao'yun'qu'bu'hai
木与木相摩则然,mu'yu'mu'xiang'mo'ze'ran
沐浴清化,mu'yu'qing'hua
暮雨相呼,mu'yu'xiang'hu
暮雨相呼失,mu'yu'xiang'hu'shi
目遇之而成色,mu'yu'zhi'er'cheng'se
暮云合璧,mu'yun'he'bi
目知穷乎所欲见,mu'zhi'qiong'hu'suo'yu'jian
目之所不宜处不给视,mu'zhi'suo'bu'yi'chu'bu'gei'shi
目之与形,mu'zhi'yu'xing
幕中草檄砚水凝,mu'zhong'cao'xi'yan'shui'ning
目眦尽裂,mu'zi'jin'lie
暮作吴宫妃,mu'zuo'wu'gong'fei
那边才见,na'bian'cai'jian
那得分明语,na'dei'fen'ming'yu
那得任自专,na'dei'ren'zi'zhuan
那复有当时风气,na'fu'you'dang'shi'feng'qi
那更乱蛩悲咽,na'geng'luan'qiong'bei'ye
那回归去,na'hui'gui'qu
那回双鹤,na'hui'shuang'he
那将红豆寄无聊,na'jiang'hong'dou'ji'wu'liao
那堪把剪刀,na'kan'ba'jian'dao
那堪更被明月,na'kan'geng'bei'ming'yue
那堪更寄书说,na'kan'geng'ji'shu'shuo
那堪和梦无,na'kan'he'meng'wu
那堪酒醒,na'kan'jiu'xing
那堪片片飞花弄晚,na'kan'pian'pian'fei'hua'nong'wan
那堪屈指暗想从前,na'kan'qu'zhi'an'xiang'cong'qian
那堪玄鬓影,na'kan'xuan'bin'ying
那堪正飘泊,na'kan'zheng'piao'bo
哪里去辨什么真共假,na'li'qu'bian'shen'me'zhen'gong'jia
那人却在,na'ren'que'zai
那人却在灯火阑珊处,na'ren'que'zai'deng'huo'lan'shan'chu
那人正睡里,na'ren'zheng'shui'li
那识当时神禹,na'shi'dang'shi'shen'yu
那时风景,na'shi'feng'jing
那是今生,na'shi'jin'sheng
那时同唱鹧鸪词,na'shi'tong'chang'zhe'gu'ci
那时元夜,na'shi'yuan'ye
那闻旧人哭,na'wen'jiu'ren'ku
那知自是,na'zhi'zi'shi
乃比于狂,nai'bi'yu'kuang
乃不自得,nai'bu'zi'de
奈愁极频惊,nai'chou'ji'pin'jing
奈愁里匆匆换时节,nai'chou'li'cong'cong'huan'shi'jie
乃大归乎,nai'da'gui'hu
乃蹈乎大方,nai'dao'hu'da'fang
乃非己也,nai'fei'ji'ye
乃焚大槐,nai'fen'da'huai
乃愤吾心,nai'fen'wu'xin
乃赋离骚,nai'fu'li'sao
乃敢与君绝,nai'gan'yu'jun'jue
奈何取之尽锱铢,nai'he'qu'zhi'jin'zi'zhu
乃合天德,nai'he'tian'de
奈何万乘之主,nai'he'wan'sheng'zhi'zhu
奈何以死惧之,nai'he'yi'si'ju'zhi
奈何欲以乱败郭氏,nai'he'yu'yi'luan'bai'guo'shi
奈何哉其相物也,nai'he'zai'qi'xiang'wu'ye
奈何阻重深,nai'he'zu'zhong'shen
乃积乃食,nai'ji'nai'shi
乃将得比哉,nai'jiang'de'bi'zai
乃今得也,nai'jin'de'ye
乃今得之,nai'jin'de'zhi
乃今有恒,nai'jin'you'heng
乃可以长生,nai'ke'yi'chang'sheng
乃令张良留谢,nai'ling'zhang'liang'liu'xie
乃南之沛见老聃,nai'nan'zhi'pei'jian'lao'dan
乃凝于神,nai'ning'yu'shen
乃齐戒以言之,nai'qi'jie'yi'yan'zhi
乃入于寥天一,nai'ru'yu'liao'tian'yi
乃如左丘无目,nai'ru'zuo'qiu'wu'mu
乃若所忧则有之,nai'ruo'suo'you'ze'you'zhi
乃身从之,nai'shen'cong'zhi
乃是离之,nai'shi'li'zhi
乃始脔卷,nai'shi'luan'juan
乃使蒙恬北筑长城而守藩篱,nai'shi'meng'tian'bei'zhu'chang'cheng'er'shou'fan'li
乃使人复葺南阁子,nai'shi'ren'fu'qi'nan'ge'zi
乃使象罔,nai'shi'xiang'wang
乃属其耆老而告之曰,nai'shu'qi'qi'lao'er'gao'zhi'yue
乃所以善吾死也,nai'suo'yi'shan'wu'si'ye
乃翁依旧管些儿,nai'weng'yi'jiu'guan'xie'er
乃我困汝,nai'wo'kun'ru
乃逸而走,nai'yi'er'zou
乃有所不得已也,nai'you'suo'bu'de'yi'ye
奈雨覆云翻,nai'yu'fu'yun'fan
乃欲引节,nai'yu'yin'jie
奈云和再鼓,nai'yun'he'zai'gu
乃知尔丑,nai'zhi'er'chou
乃知其密,nai'zhi'qi'mi
乃至委蛇,nai'zhi'wei'yi
乃中经首之会,nai'zhong'jing'shou'zhi'hui
乃作歌以长之,nai'zuo'ge'yi'chang'zhi
南北小桡通,nan'bei'xiao'rao'tong
南伯子葵问乎女,nan'bo'zi'kui'wen'hu'nv
南伯子葵曰,nan'bo'zi'kui'yue
南伯子綦隐几而坐,nan'bo'zi'qi'yin'ji'er'zuo
南伯子綦游乎商之丘,nan'bo'zi'qi'you'hu'shang'zhi'qiu
难补金镜,nan'bu'jin'jing
南朝盛事谁记,nan'chao'sheng'shi'shui'ji
南朝四百八十寺,nan'chao'si'bai'ba'shi'si
难得有心郎,nan'de'you'xin'lang
难得玉人心下事,nan'de'yu'ren'xin'xia'shi
难得之货,nan'de'zhi'huo
男儿本自重横行,nan'er'ben'zi'zhong'heng'xing
男儿何不带吴钩,nan'er'he'bu'dai'wu'gou
男儿事长征,nan'er'shi'chang'zheng
男儿西北有神州,nan'er'xi'bei'you'shen'zhou
男儿有泪不轻弹,nan'er'you'lei'bu'qing'tan
南方有鸟,nan'fang'you'niao
难赋深情,nan'fu'shen'qing
南宫适出,nan'gong'shi'chu
南宫适问于孔子曰,nan'gong'shi'wen'yu'kong'zi'yue
南冠客思侵,nan'guan'ke'si'qin
南海之帝为,nan'hai'zhi'di'wei
难乎免于今之世矣,nan'hu'mian'yu'jin'zhi'shi'yi
难乎有恒矣,nan'hu'you'heng'yi
南极老人应寿昌,nan'ji'lao'ren'ying'shou'chang
难寄相思,nan'ji'xiang'si
难剪离愁千缕,nan'jian'li'chou'qian'lv
南来雁向沙头落,nan'lai'yan'xiang'sha'tou'luo
南陵寓使迟,nan'ling'yu'shi'chi
南楼不恨吹横笛,nan'lou'bu'hen'chui'heng'di
南楼画角,nan'lou'hua'jiao
难觅孤鸿托,nan'mi'gu'hong'tuo
南面而不释然,nan'mian'er'bu'shi'ran
南面而征,nan'mian'er'zheng
南面而征北狄怨,nan'mian'er'zheng'bei'di'yuan
南面之贼也,nan'mian'zhi'zei'ye
南陌脂车待发,nan'mo'zhi'che'dai'fa
男女居室,nan'nv'ju'shi
男女授受不亲,nan'nv'shou'shou'bu'qin
难凭音信,nan'ping'yin'xin
南浦清江万里桥,nan'pu'qing'jiang'wan'li'qiao
南取百越之地,nan'qu'bai'yue'zhi'di
南去北来何事,nan'qu'bei'lai'he'shi
南取汉中,nan'qu'han'zhong
南人有言曰,nan'ren'you'yan'yue
南荣俯而惭,nan'rong'fu'er'can
南荣惧然顾其后,nan'rong'ju'ran'gu'qi'hou
南荣请入就舍,nan'rong'qing'ru'jiu'she
南容三复白圭,nan'rong'san'fu'bai'gui
南荣赢粮,nan'rong'ying'liang
南辱於楚,nan'ru'yu'chu
南山翠色依旧,nan'shan'cui'se'yi'jiu
南山归敝庐,nan'shan'gui'bi'lu
南山截竹为筚篥,nan'shan'jie'zhu'wei'bi'li
南山尚相送,nan'shan'shang'xiang'song
南山晓雪玉嶙峋,nan'shan'xiao'xue'yu'lin'xun
男同一位,nan'tong'yi'wei
南望王师又一年,nan'wang'wang'shi'you'yi'nian
难罔以非其道,nan'wang'yi'fei'qi'dao
难为俗人言也,nan'wei'su'ren'yan'ye
男先而女从,nan'xian'er'nv'cong
南向称孤,nan'xiang'cheng'gu
难写寸心幽怨,nan'xie'cun'xin'you'yuan
难寻官渡,nan'xun'guan'du
难易相成,nan'yi'xiang'cheng
难应接许多春色,nan'ying'jie'xu'duo'chun'se
难与并为仁矣,nan'yu'bing'wei'ren'yi
难于上青天,nan'yu'shang'qing'tian
南苑春衫细细风,nan'yuan'chun'shan'xi'xi'feng
南越有邑焉,nan'yue'you'yi'yan
南云雁少,nan'yun'yan'shao
囊而乱天下也,nang'er'luan'tian'xia'ye
囊括四海之意,nang'kuo'si'hai'zhi'yi
曩者辱赐书,nang'zhe'ru'ci'shu
恼芳情偏在,nao'fang'qing'pian'zai
闹红一舸,nao'hong'yi'ge
恼花颠酒拼君瞋,nao'hua'dian'jiu'pin'jun'chen
闹花深处楼台,nao'hua'shen'chu'lou'tai
恼乱横波秋一寸,nao'luan'heng'bo'qiu'yi'cun
挠挠以游无端,nao'nao'yi'you'wu'duan
恼破春情绪,nao'po'chun'qing'xu
挠挑无极,nao'tiao'wu'ji
淖约柔乎刚强,nao'yue'rou'hu'gang'qiang
淖约若处子,nao'yue'ruo'chu'zi
内保之而外不荡也,nei'bao'zhi'er'wai'bu'dang'ye
内不知乎大初,nei'bu'zhi'hu'da'chu
内府殷红玛瑙盘,nei'fu'yan'hong'ma'nao'pan
内举不失亲,nei'ju'bu'shi'qin
内立法度,nei'li'fa'du
内热溲膏是也,nei're'sou'gao'shi'ye
内外多置小门墙,nei'wai'duo'zhi'xiao'men'qiang
内无应门五尺之童,nei'wu'ying'men'wu'chi'zhi'tong
内无怨女,nei'wu'yuan'nv
内省不疚,nei'xing'bu'jiu
馁在其中矣,nei'zai'qi'zhong'yi
内则父子,nei'ze'fu'zi
内者不可缪而捉,nei'zhe'bu'ke'miu'er'zhuo
内支盈于柴栅,nei'zhi'ying'yu'chai'shan
嫩寒生怕春风,nen'han'sheng'pa'chun'feng
嫩黄匀遍鸦啼处,nen'huang'yun'bian'ya'ti'chu
嫩梢相触,nen'shao'xiang'chu
恁时庭院,nen'shi'ting'yuan
恁时携素手,nen'shi'xie'su'shou
能抱一乎,neng'bao'yi'hu
能不龟手,neng'bu'gui'shou
能不龟手一也,neng'bu'gui'shou'yi'ye
能不忆江南,neng'bu'yi'jiang'nan
能侗然乎,neng'dong'ran'hu
能儿子乎,neng'er'zi'hu
能赋词最苦,neng'fu'ci'zui'ku
能复饮乎,neng'fu'yin'hu
能几番游,neng'ji'fan'you
能几花前,neng'ji'hua'qian
能解连环,neng'jie'lian'huan
能竭其力,neng'jie'qi'li
能近取譬,neng'jin'qu'pi
能敬承继禹之道,neng'jing'cheng'ji'yu'zhi'dao
能卷几多炎热,neng'juan'ji'duo'yan're
能开二月花,neng'kai'er'yue'hua
能令公喜,neng'ling'gong'xi
能忍之乎,neng'ren'zhi'hu
能柔能刚,neng'rou'neng'gang
能如疵乎,neng'ru'ci'hu
能如婴儿乎,neng'ru'ying'er'hu
能舍诸人而求诸己乎,neng'she'zhu'ren'er'qiu'zhu'ji'hu
能使枉者直,neng'shi'wang'zhe'zhi
能守其本,neng'shou'qi'ben
能虽穷海内,neng'sui'qiong'hai'nei
能体纯素,neng'ti'chun'su
能为雌乎,neng'wei'ci'hu
能为公已乱,neng'wei'gong'yi'luan
能无卜筮而知吉凶乎,neng'wu'bu'shi'er'zhi'ji'xiong'hu
能无从乎,neng'wu'cong'hu
能无惧而已矣,neng'wu'ju'er'yi'yi
能无离乎,neng'wu'li'hu
能勿失乎,neng'wu'shi'hu
能无说乎,neng'wu'shuo'hu
能无为乎,neng'wu'wei'hu
能无知乎,neng'wu'zhi'hu
能消几刻光阴,neng'xiao'ji'ke'guang'yin
能消几两平生屐,neng'xiao'ji'liang'ping'sheng'ji
能行五者于天下,neng'xing'wu'zhe'yu'tian'xia
能言距杨,neng'yan'ju'yang
能言其事,neng'yan'qi'shi
能以精诚致魂魄,neng'yi'jing'cheng'zhi'hun'po
能以礼让为国乎,neng'yi'li'rang'wei'guo'hu
能饮一杯无,neng'yin'yi'bei'wu
能有所艺者,neng'you'suo'yi'zhe
能者在职,neng'zhe'zai'zhi
能知古始,neng'zhi'gu'shi
能治其国家,neng'zhi'qi'guo'jia
能致其身,neng'zhi'qi'shen
拟把疏狂图一醉,ni'ba'shu'kuang'tu'yi'zui
霓裳曲罢,ni'chang'qu'ba
霓裳中序第一,ni'chang'zhong'xu'di'yi
匿而不可不为者,ni'er'bu'ke'bu'wei'zhe
睨而不视,ni'er'bu'shi
拟歌先敛,ni'ge'xian'lian
拟共天随住,ni'gong'tian'sui'zhu
拟古决绝词,ni'gu'jue'jue'ci
鲵桓之审为渊,ni'huan'zhi'shen'wei'yuan
泥莲刚倩藕丝萦,ni'lian'gang'qian'ou'si'ying
逆旅人有妾二人,ni'lv'ren'you'qie'er'ren
逆旅小子对曰,ni'lv'xiao'zi'dui'yue
逆其俗者,ni'qi'su'zhe
泥融飞燕子,ni'rong'fei'yan'zi
腻水染花腥,ni'shui'ran'hua'xing
泥他沽酒拔金钗,ni'ta'gu'jiu'ba'jin'chai
逆天者亡,ni'tian'zhe'wang
拟托良媒益自伤,ni'tuo'liang'mei'yi'zi'shang
匿为物而愚不识,ni'wei'wu'er'yu'bu'shi
霓为衣兮风为马,ni'wei'yi'xi'feng'wei'ma
逆物之情,ni'wu'zhi'qing
逆以煎我怀,ni'yi'jian'wo'huai
匿怨而友其人,ni'yuan'er'you'qi'ren
腻云低护秦树,ni'yun'di'hu'qin'shu
逆之则凶,ni'zhi'ze'xiong
拟作三阕,ni'zuo'san'que
年八十矣,nian'ba'shi'yi
年不可举,nian'bu'ke'ju
念沉沉小阁幽窗,nian'chen'chen'xiao'ge'you'chuang
年齿长矣,nian'chi'chang'yi
拈断数茎须,nian'duan'shu'jing'xu
捻断数茎须,nian'duan'shu'jing'xu
念高危则思谦冲而自牧,nian'gao'wei'ze'si'qian'chong'er'zi'mu
年光是也,nian'guang'shi'ye
年华暗换,nian'hua'an'huan
年华衮衮惊心,nian'hua'gun'gun'jing'xin
年华空自感漂零,nian'hua'kong'zi'gan'piao'ling
捻金雪柳,nian'jin'xue'liu
年来苦乐,nian'lai'ku'le
辇来于秦,nian'lai'yu'qin
念柳外青骢别后,nian'liu'wai'qing'cong'bie'hou
辇路重来,nian'lu'chong'lai
念母劳家里,nian'mu'lao'jia'li
年年翠阴庭树,nian'nian'cui'yin'ting'shu
年年多少欢娱,nian'nian'duo'shao'huan'yu
年年今夜,nian'nian'jin'ye
年年拚得为花愁,nian'nian'pan'de'wei'hua'chou
年年塞雁,nian'nian'sai'yan
年年社日停针线,nian'nian'she'ri'ting'zhen'xian
年年岁岁花相似,nian'nian'sui'sui'hua'xiang'si
年年衣袖年年泪,nian'nian'yi'xiu'nian'nian'lei
年年犹得向郎圆,nian'nian'you'de'xiang'lang'yuan
年年跃马长安市,nian'nian'yue'ma'chang'an'shi
年年越溪女,nian'nian'yue'xi'nv
年年战骨埋荒外,nian'nian'zhan'gu'mai'huang'wai
年年知为谁生,nian'nian'zhi'wei'shui'sheng
辇前才人带弓箭,nian'qian'cai'ren'dai'gong'jian
念桥边红药,nian'qiao'bian'hong'yao
念去去千里烟波,nian'qu'qu'qian'li'yan'bo
年去岁来,nian'qu'sui'lai
年少俊游浑断得,nian'shao'jun'you'hun'duan'de
年少抛人容易去,nian'shao'pao'ren'rong'yi'qu
年少万兜鍪,nian'shao'wan'dou'mou
年少争旗鼓,nian'shao'zheng'qi'gu
年深岂免有缺画,nian'shen'qi'mian'you'que'hua
年事梦中休,nian'shi'meng'zhong'xiu
年始十八九,nian'shi'shi'ba'jiu
年时燕子,nian'shi'yan'zi
年寿长矣,nian'shou'chang'yi
念谁伴秋千,nian'shui'ban'qiu'qian
年四十而见恶焉,nian'si'shi'er'jian'e'yan
念天地之悠悠,nian'tian'di'zhi'you'you
年文明流传下来的遗产,nian'wen'ming'liu'chuan'xia'lai'de'yi'chan
念我无聊,nian'wo'wu'liao
念武陵人远,nian'wu'ling'ren'yuan
念腰间箭,nian'yao'jian'jian
年已七十矣,nian'yi'qi'shi'yi
念永昼春闲,nian'yong'zhou'chun'xian
念与世间辞,nian'yu'shi'jian'ci
念月榭携手,nian'yue'xie'xie'shou
年长色衰,nian'zhang'se'shuai
酿成千顷稻花香,niang'cheng'qian'qing'dao'hua'xiang
娘以指扣门扉,niang'yi'zhi'kou'men'fei
鸟飞不到吴天长,niao'fei'bu'dao'wu'tian'chang
鸟见之高飞,niao'jian'zhi'gao'fei
鸟鸣山更幽,niao'ming'shan'geng'you
鸟莫知于,niao'mo'zhi'yu
鸟乃始忧悲眩视,niao'nai'shi'you'bei'xuan'shi
鸟乃眩视忧悲,niao'nai'xuan'shi'you'bei
袅袅春幡,niao'niao'chun'fan
鸟劝我饮非无情,niao'quan'wo'yin'fei'wu'qing
鸟鹊之巢可攀援而窥,niao'que'zhi'chao'ke'pan'yuan'er'kui
鸟兽不恶,niao'shou'bu'e
鸟兽不可与同群,niao'shou'bu'ke'yu'tong'qun
鸟兽之害人者消,niao'shou'zhi'hai'ren'zhe'xiao
鸟宿池边树,niao'su'chi'bian'shu
鸟闻之而飞,niao'wen'zhi'er'fei
鸟行而无彰,niao'xing'er'wu'zhang
鸟亦罢其鸣,niao'yi'ba'qi'ming
鸟语知境静,niao'yu'zhi'jing'jing
鸟之将死,niao'zhi'jiang'si
涅而不缁,nie'er'bu'zi
蹑履相逢迎,nie'lv'xiang'feng'ying
啮缺可以配天乎,nie'que'ke'yi'pei'tian'hu
啮缺睡寐,nie'que'shui'mei
啮缺问道乎被衣,nie'que'wen'dao'hu'bei'yi
啮缺问乎王倪曰,nie'que'wen'hu'wang'ni'yue
啮缺因跃而大喜,nie'que'yin'yue'er'da'xi
啮缺遇许由曰,nie'que'yu'xu'you'yue
啮缺之师曰王倪,nie'que'zhi'shi'yue'wang'ni
啮缺之为人也,nie'que'zhi'wei'ren'ye
聂许闻之需役,nie'xu'wen'zhi'xu'yi
蹑足行伍之间,nie'zu'hang'wu'zhi'jian
凝碧旧池头,ning'bi'jiu'chi'tou
宁得自引深藏于岩穴邪,ning'de'zi'yin'shen'cang'yu'yan'xue'xie
凝绝不通声渐歇,ning'jue'bu'tong'sheng'jian'xie
宁可以止遽,ning'ke'yi'zhi'ju
宁媚于灶也,ning'mei'yu'zao'ye
宁其生而曳尾于涂中乎,ning'qi'sheng'er'ye'wei'yu'tu'zhong'hu
宁其死为留骨而贵乎,ning'qi'si'wei'liu'gu'er'gui'hu
凝情自悄然,ning'qing'zi'qiao'ran
宁生而曳尾涂中,ning'sheng'er'ye'wei'tu'zhong
宁为夫子妾者,ning'wei'fu'zi'qie'zhe
宁为玉碎,ning'wei'yu'sui
宁无一个是男儿,ning'wu'yi'ge'shi'nan'er
宁移白首之心,ning'yi'bai'shou'zhi'xin
宁于祸福,ning'yu'huo'fu
牛栏西畔有桑麻,niu'lan'xi'pan'you'sang'ma
牛马四足,niu'ma'si'zu
牛羊父母,niu'yang'fu'mu
牛羊茁壮长而已矣,niu'yang'zhuo'zhuang'chang'er'yi'yi
牛衣古柳卖黄瓜,niu'yi'gu'liu'mai'huang'gua
牛渚天门险,niu'zhu'tian'men'xian
牛渚西江夜,niu'zhu'xi'jiang'ye
农夫岂为出疆舍其耒耜哉,nong'fu'qi'wei'chu'jiang'she'qi'lei'si'zai
农夫无草莱之事则不比,nong'fu'wu'cao'lai'zhi'shi'ze'bu'bi
农夫犹饿死,nong'fu'you'e'si
弄花熏得舞衣香,nong'hua'xun'de'wu'yi'xiang
农且饥死,nong'qie'ji'si
浓睡觉来莺乱语,nong'shui'jiao'lai'ying'luan'yu
秾艳一枝细看取,nong'yan'yi'zhi'xi'kan'qu
农以告谌,nong'yi'gao'shen
弄影中洲,nong'ying'zhong'zhou
怒发冲冠,nu'fa'chong'guan
怒发冲寇,nu'fa'chong'kou
驽马十驾,nu'ma'shi'jia
怒其臂以当车辙,nu'qi'bi'yi'dang'che'zhe
怒涛寂寞打孤城,nu'tao'ji'mo'da'gu'cheng
怒涛渐息,nu'tao'jian'xi
奴为出来难,nu'wei'chu'lai'nan
怒则分背相踢,nu'ze'fen'bei'xiang'ti
怒者其谁邪,nu'zhe'qi'shui'xie
暖风帘幕,nuan'feng'lian'mu
暖风十里丽人天,nuan'feng'shi'li'li'ren'tian
暖风熏得游人醉,nuan'feng'xun'de'you'ren'zui
暖然似春,nuan'ran'si'chun
暖日明霞光烂,nuan'ri'ming'xia'guang'lan
暖絮乱红,nuan'xu'luan'hong
懦夫有立志,nuo'fu'you'li'zhi
诺诺复尔尔,nuo'nuo'fu'er'er
女必像汝,nv'bi'xiang'ru
女殆著乎吾所以著也,nv'dai'zhu'hu'wu'suo'yi'zhu'ye
女独不欲,nv'du'bu'yu
女恶知贵贱之门,nv'e'zhi'gui'jian'zhi'men
女恶之乎,nv'e'zhi'hu
女将恶乎比予哉,nv'jiang'e'hu'bi'yu'zai
女色难自夸,nv'se'nan'zi'kua
女神将守形,nv'shen'jiang'shou'xing
女娲炼石补天处,nv'wa'lian'shi'bu'tian'chu
女亡人哉,nv'wang'ren'zai
女为悦己者容,nv'wei'yue'ji'zhe'rong
