阿那吒王,a'na'zha'wang
利益眷属,li'yi'juan'shu
利益人天无量事,li'yi'ren'tian'wu'liang'shi
利益人天因果等事,li'yi'ren'tian'yin'guo'deng'shi
利益亡人,li'yi'wang'ren
利益无量,li'yi'wu'liang
利益众生,li'yi'zhong'sheng
历于耳根,li'yu'er'gen
离欲尊,li'yu'zun
离诸恶道,li'zhu'e'dao
怜愍众生及天龙八部,lian'min'zhong'sheng'ji'tian'long'ba'bu
怜愍罪苦众生,lian'min'zui'ku'zhong'sheng
恋慕汝者,lian'mu'ru'zhe
恋慕者,lian'mu'zhe
良久方苏,liang'jiu'fang'su
两舌恶口者,liang'she'e'kou'zhe
两足尊,liang'zu'zun
了不得出,liao'bu'de'chu
了不得力,liao'bu'de'li
临别之时,lin'bie'zhi'shi
临堕趣中,lin'duo'qu'zhong
临命终日,lin'ming'zhong'ri
临命终时,lin'ming'zhong'shi
临入口时,lin'ru'kou'shi
临终之日,lin'zhong'zhi'ri
令得安乐,ling'de'an'le
令对诸佛菩萨像前,ling'dui'zhu'fo'pu'sa'xiang'qian
令归敬三宝,ling'gui'jing'san'bao
令后世末法一切恶行众生,ling'hou'shi'mo'fa'yi'qie'e'xing'zhong'sheng
令离地狱恶趣,ling'li'di'yu'e'qu
令落恶道,ling'luo'e'dao
令生正见,ling'sheng'zheng'jian
令是安乐,ling'shi'an'le
令使无余,ling'shi'wu'yu
令受妙乐,ling'shou'miao'le
令娑婆世界,ling'suo'po'shi'jie
令娑婆世界众生,ling'suo'po'shi'jie'zhong'sheng
令天龙八部,ling'tian'long'ba'bu
令卫护汝,ling'wei'hu'ru
令吾脱免,ling'wu'tuo'mian
令心调伏,ling'xin'tiao'fu
令一切众生,ling'yi'qie'zhong'sheng
流布是经,liu'bu'shi'jing
六道受苦,liu'dao'shou'ku
六道众生,liu'dao'zhong'sheng
六分功德,liu'fen'gong'de
流浪生死,liu'lang'sheng'si
流通遍十方,liu'tong'bian'shi'fang
六者,liu'zhe
癃残喑哑是前生,long'can'yin'ya'shi'qian'sheng
聋痴无目,long'chi'wu'mu
龙众,long'zhong
略而说之,lue'er'shuo'zhi
略说地狱名号,lue'shuo'di'yu'ming'hao
略说地狱罪报之事,lue'shuo'di'yu'zui'bao'zhi'shi
略说如是,lue'shuo'ru'shi
略说是事,lue'shuo'shi'shi
轮转五道,lun'zhuan'wu'dao
罗汉,luo'han
罗汉愍之,luo'han'min'zhi
罗汉问光目言,luo'han'wen'guang'mu'yan
罗汉问之,luo'han'wen'zhi
落在恶趣,luo'zai'e'qu
绿毫相光,lv'hao'xiang'guang
满于万遍,man'yu'wan'bian
满月佛,man'yue'fo
毛发沙尘等许,mao'fa'sha'chen'deng'xu
每一身,mei'yi'shen
每一世界,mei'yi'shi'jie
每转一遍,mei'zhuan'yi'bian
蒙佛接引,meng'fo'jie'yin
梦见佛身,meng'jian'fo'shen
蒙汝福力,meng'ru'fu'li
米泔菜叶,mi'gan'cai'ye
迷惑障难,mi'huo'zhang'nan
迷惑众生,mi'huo'zhong'sheng
迷失本家,mi'shi'ben'jia
眠中叫苦,mian'zhong'jiao'ku
免诸恶毒,mian'zhu'e'du
苗稼神,miao'jia'shen
妙声佛,miao'sheng'fo
灭无量罪,mie'wu'liang'zui
灭罪生天堂,mie'zui'sheng'tian'tang
名大阿鼻,ming'da'a'bi
名定自在王,ming'ding'zi'zai'wang
名观世音,ming'guan'shi'yin
名号各别,ming'hao'ge'bie
冥冥游神,ming'ming'you'shen
名清净莲华目如来,ming'qing'jing'lian'hua'mu'ru'lai
明行足,ming'xing'zu
名虚空藏,ming'xu'kong'cang
名曰抱柱,ming'yue'bao'zhu
名曰锉首,ming'yue'cuo'shou
名曰大辩,ming'yue'da'bian
名曰啖眼,ming'yue'dan'yan
名曰多瞋,ming'yue'duo'chen
名曰飞刀,ming'yue'fei'dao
名曰耕舌,ming'yue'geng'she
名曰火箭,ming'yue'huo'jian
名曰夹山,ming'yue'jia'shan
名曰流火,ming'yue'liu'huo
名曰普广,ming'yue'pu'guang
名曰千刃,ming'yue'qian'ren
名曰烧脚,ming'yue'shao'jiao
名曰四角,ming'yue'si'jiao
名曰铁车,ming'yue'tie'che
名曰铁床,ming'yue'tie'chuang
名曰铁鈇,ming'yue'tie'fu
名曰铁驴,ming'yue'tie'lv
名曰铁牛,ming'yue'tie'niu
名曰铁丸,ming'yue'tie'wan
名曰铁衣,ming'yue'tie'yi
名曰通枪,ming'yue'tong'qiang
名曰无毒,ming'yue'wu'du
名曰无间,ming'yue'wu'jian
名曰烊铜,ming'yue'yang'tong
名曰诤论,ming'yue'zheng'lun
名曰主命,ming'yue'zhu'ming
命终之后,ming'zhong'zhi'hou
名字亦别,ming'zi'yi'bie
摩百千万亿不可思,mo'bai'qian'wan'yi'bu'ke'si
摩顶授记,mo'ding'shou'ji
摩啰摩啰,mo'luo'mo'luo
莫轻小恶,mo'qing'xiao'e
莫退初心,mo'tui'chu'xin
摩醯首罗天,mo'xi'shou'luo'tian
摩耶夫人,mo'ye'fu'ren
摩耶夫人闻已,mo'ye'fu'ren'wen'yi
摩耶夫人重白地藏菩萨言,mo'ye'fu'ren'zhong'bai'di'zang'pu'sa'yan
摩耶夫人重白菩萨,mo'ye'fu'ren'zhong'bai'pu'sa
目不暂舍,mu'bu'zan'she
母号悦帝利,mu'hao'yue'di'li
南无本师释迦牟尼佛,na'mo'ben'shi'shi'jia'mou'ni'fo
南无本师释迦牟尼佛三称,na'mo'ben'shi'shi'jia'mou'ni'fo'san'cheng
南无常住十方法,na'mo'chang'zhu'shi'fang'fa
南无常住十方佛,na'mo'chang'zhu'shi'fang'fo
南无常住十方僧,na'mo'chang'zhu'shi'fang'seng
南无大悲观世音菩萨,na'mo'da'bei'guan'shi'yin'pu'sa
南无大愿地藏王菩萨,na'mo'da'yuan'di'zang'wang'pu'sa
南无大愿地藏王菩萨三称,na'mo'da'yuan'di'zang'wang'pu'sa'san'cheng
南无阿弥陀佛,na'mo'e'mi'tuo'fo
南无喝啰怛那,na'mo'he'luo'da'na
南无护法诸天菩萨,na'mo'hu'fa'zhu'tian'pu'sa
南无香云盖菩萨摩诃萨三称,na'mo'xiang'yun'gai'pu'sa'mo'he'sa'san'cheng
乃及大水,nai'ji'da'shui
乃及国土,nai'ji'guo'tu
乃及家亲,nai'ji'jia'qin
乃及王妃,nai'ji'wang'fei
乃及亡失兄弟姊妹,nai'ji'wang'shi'xiong'di'zi'mei
乃及夜叉诸恶毒等,nai'ji'ye'cha'zhu'e'du'deng
乃及一切天龙,nai'ji'yi'qie'tian'long
乃及诸人,nai'ji'zhu'ren
乃及诸形,nai'ji'zhu'xing
乃能发心修补,nai'neng'fa'xin'xiu'bu
乃至拜祭,nai'zhi'bai'ji
乃至百千,nai'zhi'bai'qian
乃至百千人等,nai'zhi'bai'qian'ren'deng
乃至百千生中,nai'zhi'bai'qian'sheng'zhong
乃至不如意事,nai'zhi'bu'ru'yi'shi
乃至不信因果者,nai'zhi'bu'xin'yin'guo'zhe
乃至彩画刻镂塑漆形像,nai'zhi'cai'hua'ke'lou'su'qi'xing'xiang
乃至草木沙石,nai'zhi'cao'mu'sha'shi
乃至出离三界苦,nai'zhi'chu'li'san'jie'ku
乃至读诵,nai'zhi'du'song
乃至非想非非想处天,nai'zhi'fei'xiang'fei'fei'xiang'chu'tian
乃至逢于虎狼狮子,nai'zhi'feng'yu'hu'lang'shi'zi
乃至横事不入其门,nai'zhi'heng'shi'bu'ru'qi'men
乃至见像瞻礼者,nai'zhi'jian'xiang'zhan'li'zhe
乃至教人塑画,nai'zhi'jiao'ren'su'hua
乃至金银铜铁,nai'zhi'jin'yin'tong'tie
乃至六道罪苦众生,nai'zhi'liu'dao'zui'ku'zhong'sheng
乃至癃残喑哑,nai'zhi'long'can'yin'ya
乃至梦寐之中,nai'zhi'meng'mei'zhi'zhong
乃至念佛菩萨,nai'zhi'nian'fo'pu'sa
乃至女人之身永劫不受者,nai'zhi'nv'ren'zhi'shen'yong'jie'bu'shou'zhe
乃至菩萨声闻辟支佛像,nai'zhi'pu'sa'sheng'wen'pi'zhi'fo'xiang
乃至劝于一人多人,nai'zhi'quan'yu'yi'ren'duo'ren
乃至三十日,nai'zhi'san'shi'ri
乃至善事,nai'zhi'shan'shi
乃至设斋,nai'zhi'she'zhai
乃至声闻,nai'zhi'sheng'wen
乃至水火盗贼,nai'zhi'shui'huo'dao'zei
乃至闻名,nai'zhi'wen'ming
乃至闻是经三字五字,nai'zhi'wen'shi'jing'san'zi'wu'zi
乃至悬一幡一盖,nai'zhi'xuan'yi'fan'yi'gai
乃至眼耳,nai'zhi'yan'er
乃至一毛一尘,nai'zhi'yi'mao'yi'chen
乃至一念生讥毁者,nai'zhi'yi'nian'sheng'ji'hui'zhe
乃至一念赞叹是经,nai'zhi'yi'nian'zan'tan'shi'jing
乃至一七日中,nai'zhi'yi'qi'ri'zhong
乃至一人,nai'zhi'yi'ren
乃至一日二日三日四日,nai'zhi'yi'ri'er'ri'san'ri'si'ri
乃至一物不与取者,nai'zhi'yi'wu'bu'yu'qu'zhe
乃至于睡梦中,nai'zhi'yu'shui'meng'zhong
乃至诸不自由之人,nai'zhi'zhu'bu'zi'you'zhi'ren
乃至诸眷属,nai'zhi'zhu'juan'shu
乃至诸食,nai'zhi'zhu'shi
南方世界涌香云香雨花云及花雨,nan'fang'shi'jie'yong'xiang'yun'xiang'yu'hua'yun'ji'hua'yu
难化刚强罪苦众生,nan'hua'gang'qiang'zui'ku'zhong'sheng
男女弟妹,nan'nv'di'mei
男女俗眼,nan'nv'su'yan
难调难伏,nan'tiao'nan'fu
南阎浮提,nan'yan'fu'ti
南阎浮提众生,nan'yan'fu'ti'zhong'sheng
能敌须弥,neng'di'xu'mi
能对菩萨像前,neng'dui'pu'sa'xiang'qian
能发如是大愿,neng'fa'ru'shi'da'yuan
能画诸世间,neng'hua'zhu'shi'jian
能令亡者,neng'ling'wang'zhe
能令子母,neng'ling'zi'mu
能如是拥护善男女等,neng'ru'shi'yong'hu'shan'nan'nv'deng
能深巨海,neng'shen'ju'hai
能使是诸众生,neng'shi'shi'zhu'zhong'sheng
能使斯人获此慧,neng'shi'si'ren'huo'ci'hui
能忆宿命因果本末,neng'yi'su'ming'yin'guo'ben'mo
能于是十斋日,neng'yu'shi'shi'zhai'ri
能于十斋日,neng'yu'shi'zhai'ri
能于五浊恶世,neng'yu'wu'zhuo'e'shi
能障圣道,neng'zhang'sheng'dao
能制诸毒,neng'zhi'zhu'du
能作如是布施,neng'zuo'ru'shi'bu'shi
念佛菩萨名号,nian'fo'pu'sa'ming'hao
念满万遍,nian'man'wan'bian
念念修行,nian'nian'xiu'xing
念念拥护阎浮众生,nian'nian'yong'hu'yan'fu'zhong'sheng
念念增益,nian'nian'zeng'yi
念念增长,nian'nian'zeng'zhang
念念之间,nian'nian'zhi'jian
念菩萨名,nian'pu'sa'ming
念其名字,nian'qi'ming'zi
女转男身,nv'zhuan'nan'shen
盘缴铁蛇,pan'jiao'tie'she
抛空翻接,pao'kong'fan'jie
毗离耶波罗蜜音,pi'li'ye'bo'luo'mi'yin
譬如工画师,pi'ru'gong'hua'shi
譬如三千大千世界,pi'ru'san'qian'da'qian'shi'jie
譬如有人,pi'ru'you'ren
譬如有人从远地来,pi'ru'you'ren'cong'yuan'di'lai
辟支佛,pi'zhi'fo
辟支佛形像,pi'zhi'fo'xing'xiang
贫穷下贱,pin'qiong'xia'jian
贫穷众生及疾病,pin'qiong'zhong'sheng'ji'ji'bing
婆罗门,po'luo'men
婆罗门女,po'luo'men'nv
婆罗门女救慈亲,po'luo'men'nv'jiu'ci'qin
婆罗门女闻此声已,po'luo'men'nv'wen'ci'sheng'yi
婆罗门女者,po'luo'men'nv'zhe
泼抹拏,po'mo'na
破用常住,po'yong'chang'zhu
普告大众,pu'gao'da'zhong
普告恒沙诸国土,pu'gao'heng'sha'zhu'guo'tu
普告诸佛世界,pu'gao'zhu'fo'shi'jie
普供养真言,pu'gong'yang'zhen'yan
普广,pu'guang
普广白言,pu'guang'bai'yan
普广菩萨闻佛如来,pu'guang'pu'sa'wen'fo'ru'lai
普广问如来,pu'guang'wen'ru'lai
普广闻已,pu'guang'wen'yi
普劝众生,pu'quan'zhong'sheng
菩萨当现无边体,pu'sa'dang'xian'wu'bian'ti
菩萨等身,pu'sa'deng'shen
菩萨现大神力,pu'sa'xian'da'shen'li
菩萨形像,pu'sa'xing'xiang
菩萨以方便力,pu'sa'yi'fang'bian'li
菩萨之母,pu'sa'zhi'mu
菩提不退,pu'ti'bu'tui
普贤答言,pu'xian'da'yan
普贤菩萨摩诃萨白地藏菩萨言,pu'xian'pu'sa'mo'he'sa'bai'di'zang'pu'sa'yan
普贤启问,pu'xian'qi'wen
普造诸世间,pu'zao'zhu'shi'jian
其城纯铁,qi'cheng'chun'tie
其处是也,qi'chu'shi'ye
其大地狱,qi'da'di'yu
七分获一,qi'fen'huo'yi
七分之中,qi'fen'zhi'zhong
其佛寿命,qi'fo'shou'ming
其佛寿命六万劫,qi'fo'shou'ming'liu'wan'jie
其佛寿命四十劫,qi'fo'shou'ming'si'shi'jie
其福不可为喻,qi'fu'bu'ke'wei'yu
其后家内,qi'hou'jia'nei
其苦倍此,qi'ku'bei'ci
其苦复倍,qi'ku'fu'bei
欺诳白衣,qi'kuang'bai'yi
祁利叉王,qi'li'cha'wang
祁利失王,qi'li'shi'wang
其邻国内,qi'lin'guo'nei
歧路各别,qi'lu'ge'bie
其母信邪,qi'mu'xin'xie
启菩萨曰,qi'pu'sa'yue
七七日内,qi'qi'ri'nei
其人获福,qi'ren'huo'fu
其人梦觉,qi'ren'meng'jue
七日之中,qi'ri'zhi'zhong
其山黑邃,qi'shan'hei'sui
其事如是,qi'shi'ru'shi
其事云何,qi'shi'yun'he
稽首悲泣,qi'shou'bei'qi
稽首本然净心地无尽佛藏大慈尊,qi'shou'ben'ran'jing'xin'di'wu'jin'fo'cang'da'ci'zun
稽首地藏王,qi'shou'di'zang'wang
稽首来迎,qi'shou'lai'ying
其数百千,qi'shu'bai'qian
其数三遍或七遍,qi'shu'san'bian'huo'qi'bian
其数无量,qi'shu'wu'liang
其数无限,qi'shu'wu'xian
其水涌沸,qi'shui'yong'fei
其险道中,qi'xian'dao'zhong
其性刚强,qi'xing'gang'qiang
其形各异,qi'xing'ge'yi
其形万类,qi'xing'wan'lei
其形像在一寺中,qi'xing'xiang'zai'yi'si'zhong
其有未调伏者,qi'you'wei'tiao'fu'zhe
其狱城中,qi'yu'cheng'zhong
其狱城周匝八万余里,qi'yu'cheng'zhou'za'ba'wan'yu'li
其狱周匝万八千里,qi'yu'zhou'za'wan'ba'qian'li
其愿尚有毕竟,qi'yuan'shang'you'bi'jing
七者,qi'zhe
泣者圣女,qi'zhe'sheng'nv
迄至于今,qi'zhi'yu'jin
其中各各复有诸小地狱,qi'zhong'ge'ge'fu'you'zhu'xiao'di'yu
其中名号,qi'zhong'ming'hao
千百夜叉及以恶鬼,qian'bai'ye'cha'ji'yi'e'gui
钱宝物等供养,qian'bao'wu'deng'gong'yang
千倍多于上喻,qian'bei'duo'yu'shang'yu
千福庄严,qian'fu'zhuang'yan
千劫测度,qian'jie'ce'du
千劫万劫,qian'jie'wan'jie
遣令度脱,qian'ling'du'tuo
遣令生天,qian'ling'sheng'tian
遣令闻知,qian'ling'wen'zhi
千轮毫光,qian'lun'hao'guang
遣是眷属,qian'shi'juan'shu
虔诵地藏名,qian'song'di'cang'ming
虔诵地藏经,qian'song'di'zang'jing
千万愁苦,qian'wan'chou'ku
千万复倍,qian'wan'fu'bei
千万劫中不能得尽,qian'wan'jie'zhong'bu'neng'de'jin
千万人受罪,qian'wan'ren'shou'zui
千万生中,qian'wan'sheng'zhong
千万生中永不忘,qian'wan'sheng'zhong'yong'bu'wang
千万世界,qian'wan'shi'jie
千万亿劫,qian'wan'yi'jie
千眼鬼王,qian'yan'gui'wang
虔造地藏像,qian'zao'di'zang'xiang
强过百斤,qiang'guo'bai'jin
羌胡夷狄,qiang'hu'yi'di
窃盗,qie'dao
且愿闻于阎浮罪报所感恶趣,qie'yuan'wen'yu'yan'fu'zui'bao'suo'gan'e'qu
亲领是人,qin'ling'shi'ren
勤劝成就,qin'quan'cheng'jiu
亲手遍布施,qin'shou'bian'bu'shi
侵损常住,qin'sun'chang'zhu
勤心莫退,qin'xin'mo'tui
青毫相光,qing'hao'xiang'guang
请问地藏因,qing'wen'di'zang'yin
庆云毫相光,qing'yun'hao'xiang'guang
穷劫不尽,qiong'jie'bu'jin
求出此路,qiu'chu'ci'lu
求出无期,qiu'chu'wu'qi
求生求死,qiu'sheng'qiu'si
求说不尽,qiu'shuo'bu'jin
求一念间暂住不得,qiu'yi'nian'jian'zan'zhu'bu'de
求暂停苦一念不得,qiu'zan'ting'ku'yi'nian'bu'de
求者乖违无称遂,qiu'zhe'guai'wei'wu'cheng'sui
求者乖愿,qiu'zhe'guai'yuan
求诸魍魉,qiu'zhu'wang'liang
去处尽通,qu'chu'jin'tong
佉啰佉啰,qu'luo'qu'luo
驱逐铁狗,qu'zhu'tie'gou
取诸鲜味,qu'zhu'xian'wei
驱诸罪人,qu'zhu'zui'ren
取罪人舌,qu'zui'ren'she
取罪人心,qu'zui'ren'xin
劝光目言,quan'guang'mu'yan
劝令牢脚,quan'ling'lao'jiao
劝令一弹指间,quan'ling'yi'tan'zhi'jian
劝是等人,quan'shi'deng'ren
劝诱其母,quan'you'qi'mu
劝于阎浮提众生,quan'yu'yan'fu'ti'zhong'sheng
却后百千万亿劫中,que'hou'bai'qian'wan'yi'jie'zhong
却后过一百七十劫,que'hou'guo'yi'bai'qi'shi'jie
然不离于心,ran'bu'li'yu'xin
然后合掌请服,ran'hou'he'zhang'qing'fu
然是业报,ran'shi'ye'bao
然诸众生,ran'zhu'zhong'sheng
饶慈愍心,rao'ci'min'xin
饶益众生,rao'yi'zhong'sheng
热铁缠身,re'tie'chan'shen
热铁浇身,re'tie'jiao'shen
人非人等,ren'fei'ren'deng
人见钦敬,ren'jian'qin'jing
仁者,ren'zhe
日轮毫光,ri'lun'hao'guang
日夜受罪,ri'ye'shou'zui
日夜卫护,ri'ye'wei'hu
日月岁深,ri'yue'sui'shen
容貌悉端庄,rong'mao'xi'duan'zhuang
如布施百恒河沙佛功德之利,ru'bu'shi'bai'heng'he'sha'fo'gong'de'zhi'li
如不厌女身,ru'bu'yan'nv'shen
如痴如聋,ru'chi'ru'long
汝大慈故,ru'da'ci'gu
汝大慈愍,ru'da'ci'min
汝大神力,ru'da'shen'li
如但回向自家眷属,ru'dan'hui'xiang'zi'jia'juan'shu
汝当谛听,ru'dang'di'ting
汝当忆念,ru'dang'yi'nian
汝等及与阎罗,ru'deng'ji'yu'yan'luo
汝等诸菩萨,ru'deng'zhu'pu'sa
汝等诸菩萨大士,ru'deng'zhu'pu'sa'da'shi
如堕恶趣,ru'duo'e'qu
如佛众生然,ru'fo'zhong'sheng'ran
汝供养毕,ru'gong'yang'bi
汝观是一切诸佛菩萨,ru'guan'shi'yi'qie'zhu'fo'pu'sa
汝观吾累劫勤苦,ru'guan'wu'lei'jie'qin'ku
如过去现在未来诸佛,ru'guo'qu'xian'zai'wei'lai'zhu'fo
如何哀救,ru'he'ai'jiu
汝既毕是往愿,ru'ji'bi'shi'wang'yuan
汝今具大慈悲,ru'jin'ju'da'ci'bei
汝今欲兴慈悲,ru'jin'yu'xing'ci'bei
如精勤护净,ru'jing'qin'hu'jing
汝可志诚念清净莲华目如来,ru'ke'zhi'cheng'nian'qing'jing'lian'hua'mu'ru'lai
如来慈愍,ru'lai'ci'min
如来含笑,ru'lai'han'xiao
如来赞叹品第六,ru'lai'zan'tan'pin'di'liu
如履泥途,ru'lv'ni'tu
如迷路人,ru'mi'lu'ren
汝莫退是愿,ru'mo'tui'shi'yuan
汝母不久,ru'mu'bu'jiu
汝母在生,ru'mu'zai'sheng
汝能成就久远劫来发弘誓愿,ru'neng'cheng'jiu'jiu'yuan'jie'lai'fa'hong'shi'yuan
如千百亿恒河沙,ru'qian'bai'yi'heng'he'sha
入山林中,ru'shan'lin'zhong
如是慈愍,ru'shi'ci'min
如是等报,ru'shi'deng'bao
如是等辈,ru'shi'deng'bei
如是等辈众生,ru'shi'deng'bei'zhong'sheng
如是等大鬼王,ru'shi'deng'da'gui'wang
如是等地狱,ru'shi'deng'di'yu
如是等鬼王,ru'shi'deng'gui'wang
如是等人,ru'shi'deng'ren
如是等神,ru'shi'deng'shen
如是等阎浮提众生,ru'shi'deng'yan'fu'ti'zhong'sheng
如是地藏菩萨,ru'shi'di'zang'pu'sa
如是恶道眷属,ru'shi'e'dao'juan'shu
如是奉事者,ru'shi'feng'shi'zhe
如是福利,ru'shi'fu'li
如是国王,ru'shi'guo'wang
如是今来集会到忉利天者,ru'shi'jin'lai'ji'hui'dao'dao'li'tian'zhe
如是利益,ru'shi'li'yi
如是迷人,ru'shi'mi'ren
如是菩萨,ru'shi'pu'sa
如是人等,ru'shi'ren'deng
如是日日不退,ru'shi'ri'ri'bu'tui
如是三白病人,ru'shi'san'bai'bing'ren
如是三白佛言,ru'shi'san'bai'fo'yan
如是山林大海中,ru'shi'shan'lin'da'hai'zhong
如是善事,ru'shi'shan'shi
如是善缘,ru'shi'shan'yuan
如是所愿所求,ru'shi'suo'yuan'suo'qiu
如是他人,ru'shi'ta'ren
如是天人,ru'shi'tian'ren
如是我闻,ru'shi'wo'wen
如是阎浮提男子女人,ru'shi'yan'fu'ti'nan'zi'nv'ren
如是之果,ru'shi'zhi'guo
如是之人,ru'shi'zhi'ren
如是种种不完具者,ru'shi'zhong'zhong'bu'wan'ju'zhe
如是众罪,ru'shi'zhong'zui
如是诸业众生,ru'shi'zhu'ye'zhong'sheng
如是罪报等人,ru'shi'zui'bao'deng'ren
如是罪业众生,ru'shi'zui'ye'zhong'sheng
如文殊普贤,ru'wen'shu'pu'xian
如心佛亦尔,ru'xin'fo'yi'er
汝须百千方便,ru'xu'bai'qian'fang'bian
如须弥山,ru'xu'mi'shan
汝以本神力而拥护之,ru'yi'ben'shen'li'er'yong'hu'zhi
汝以道力,ru'yi'dao'li
汝以神力,ru'yi'shen'li
如有福力,ru'you'fu'li
汝有何计,ru'you'he'ji
如有违食及不精勤,ru'you'wei'shi'ji'bu'jing'qin
汝于娑婆世界,ru'yu'suo'po'shi'jie
如鱼游网,ru'yu'you'wang
汝之辩才不可思议,ru'zhi'bian'cai'bu'ke'si'yi
汝之慈悲不可思议,ru'zhi'ci'bei'bu'ke'si'yi
汝之功德,ru'zhi'gong'de
汝之神力不可思议,ru'zhi'shen'li'bu'ke'si'yi
汝知数否,ru'zhi'shu'fou
汝之智慧不可思议,ru'zhi'zhi'hui'bu'ke'si'yi
软言慰谕,ruan'yan'wei'yu
瑞毫相光,rui'hao'xiang'guang
若不先度罪苦,ruo'bu'xian'du'zui'ku
若长若幼,ruo'chang'ruo'you
若达平地,ruo'da'ping'di
若得闻一佛名,ruo'de'wen'yi'fo'ming
若得我母永离三途及斯下贱,ruo'de'wo'mu'yong'li'san'tu'ji'si'xia'jian
若得遇知识,ruo'de'yu'zhi'shi
若堕此狱,ruo'duo'ci'yu
若堕恶趣,ruo'duo'e'qu
若非蒙福,ruo'fei'meng'fu
若非如来大慈力故,ruo'fei'ru'lai'da'ci'li'gu
若非威神,ruo'fei'wei'shen
若广解说,ruo'guang'jie'shuo
若广说地狱罪报等事,ruo'guang'shuo'di'yu'zui'bao'deng'shi
若广说地狱罪器等名,ruo'guang'shuo'di'yu'zui'qi'deng'ming
若见亲知及诸路人,ruo'jian'qin'zhi'ji'zhu'lu'ren
若见有人读诵是经,ruo'jian'you'ren'du'song'shi'jing
若男若女,ruo'nan'ruo'nv
若男若女若龙神,ruo'nan'ruo'nv'ruo'long'shen
若能不退是初心,ruo'neng'bu'tui'shi'chu'xin
若能更为身死之后,ruo'neng'geng'wei'shen'si'zhi'hou
若能回向法界,ruo'neng'hui'xiang'fa'jie
若能具大慈悲,ruo'neng'ju'da'ci'bei
若能念得一佛名,ruo'neng'nian'de'yi'fo'ming
若能为其父母乃至眷属,ruo'neng'wei'qi'fu'mu'nai'zhi'juan'shu
若能以此布施福利,ruo'neng'yi'ci'bu'shi'fu'li
若能以此回法界,ruo'neng'yi'ci'hui'fa'jie
若能于所住处方面,ruo'neng'yu'suo'zhu'chu'fang'mian
若能志心归敬及瞻礼赞叹,ruo'neng'zhi'xin'gui'jing'ji'zhan'li'zan'tan
若人恶业重,ruo'ren'e'ye'zhong
若人欲了知,ruo'ren'yu'le'zhi
若人知心行,ruo'ren'zhi'xin'xing
若善男子善女人,ruo'shan'nan'zi'shan'nv'ren
若神若鬼,ruo'shen'ruo'gui
若是承福生者,ruo'shi'cheng'fu'sheng'zhe
若是五无间罪,ruo'shi'wu'wu'jian'zui
若是罪人,ruo'shi'zui'ren
若说于诸众生见闻利益等事,ruo'shuo'yu'zhu'zhong'sheng'jian'wen'li'yi'deng'shi
若天福尽,ruo'tian'fu'jin
若天若龙,ruo'tian'ruo'long
若天若人,ruo'tian'ruo'ren
若未来世,ruo'wei'lai'shi
若未来世中,ruo'wei'lai'shi'zhong
若未来世众生,ruo'wei'lai'shi'zhong'sheng
若未来世诸众生等,ruo'wei'lai'shi'zhu'zhong'sheng'deng
若未来现在诸世界中,ruo'wei'lai'xian'zai'zhu'shi'jie'zhong
若现在未来,ruo'xian'zai'wei'lai
若业结重,ruo'ye'jie'zhong
若一念间具大慈心,ruo'yi'nian'jian'ju'da'ci'xin
若以我神力,ruo'yi'wo'shen'li
若有残缺人,ruo'you'can'que'ren
若有恶人及恶神恶鬼,ruo'you'e'ren'ji'e'shen'e'gui
若有疾病人,ruo'you'ji'bing'ren
若有刻此经,ruo'you'ke'ci'jing
若有临命终人,ruo'you'lin'ming'zhong'ren
若有男子女人,ruo'you'nan'zi'nv'ren
若有女人,ruo'you'nv'ren
若有善男子善女人,ruo'you'shan'nan'zi'shan'nv'ren
若有天人,ruo'you'tian'ren
若有孝敬人,ruo'you'xiao'jing'ren
若有厌女身,ruo'you'yan'nv'shen
若有众生,ruo'you'zhong'sheng
若有众生作如是罪,ruo'you'zhong'sheng'zuo'ru'shi'zui
若有诸众生,ruo'you'zhu'zhong'sheng
若遇悖逆父母者,ruo'yu'bei'ni'fu'mu'zhe
若遇瞋恚者,ruo'yu'chen'hui'zhe
若遇恶口者,ruo'yu'e'kou'zhe
若遇恶缘,ruo'yu'e'yuan
若遇非理毁用者,ruo'yu'fei'li'hui'yong'zhe
若遇故者,ruo'yu'gu'zhe
若遇毁谤三宝者,ruo'yu'hui'bang'san'bao'zhe
若遇毁谤者,ruo'yu'hui'bang'zhe
若遇两舌斗乱者,ruo'yu'liang'she'dou'luan'zhe
若遇破戒犯斋者,ruo'yu'po'jie'fan'zhai'zhe
若遇破用常住者,ruo'yu'po'yong'chang'zhu'zhe
若遇前后父母恶毒者,ruo'yu'qian'hou'fu'mu'e'du'zhe
若遇悭吝者,ruo'yu'qian'lin'zhe
若遇窃盗者,ruo'yu'qie'dao'zhe
若遇轻法慢教者,ruo'yu'qing'fa'man'jiao'zhe
若欲求智慧,ruo'yu'qiu'zhi'hui
若遇杀生者,ruo'yu'sha'sheng'zhe
若遇善知识,ruo'yu'shan'zhi'shi
若遇烧山林木者,ruo'yu'shao'shan'lin'mu'zhe
若遇汤火斩斫伤生者,ruo'yu'tang'huo'zhan'zhuo'shang'sheng'zhe
若遇畋猎恣情者,ruo'yu'tian'lie'zi'qing'zhe
若遇网捕生雏者,ruo'yu'wang'bu'sheng'chu'zhe
若遇污梵诬僧者,ruo'yu'wu'fan'wu'seng'zhe
