安阳,an'yang
无锡市梅里中学,wu'xi'shi'mei'li'zhong'xue
无锡市梅梁中学,wu'xi'shi'mei'liang'zhong'xue
无锡市梅园小学,wu'xi'shi'mei'yuan'xiao'xue
无锡市梅园中学,wu'xi'shi'mei'yuan'zhong'xue
无锡市庙桥分校,wu'xi'shi'miao'qiao'fen'xiao
无锡市民办辅仁中学,wu'xi'shi'min'ban'fu'ren'zhong'xue
无锡市南长街小学,wu'xi'shi'nan'chang'jie'xiao'xue
无锡市南长区,wu'xi'shi'nan'chang'qu
无锡市南长区职工学校,wu'xi'shi'nan'chang'qu'zhi'gong'xue'xiao
无锡市南泉中学,wu'xi'shi'nan'quan'zhong'xue
无锡市宁海里小学,wu'xi'shi'ning'hai'li'xiao'xue
无锡市藕塘中学,wu'xi'shi'ou'tang'zhong'xue
无锡市钱桥中学,wu'xi'shi'qian'qiao'zhong'xue
无锡市前洲中学,wu'xi'shi'qian'zhou'zhong'xue
无锡市轻工技工学校,wu'xi'shi'qing'gong'ji'gong'xue'xiao
无锡市青山高级中学,wu'xi'shi'qing'shan'gao'ji'zhong'xue
无锡市青山中学,wu'xi'shi'qing'shan'zhong'xue
无锡市山北中学,wu'xi'shi'shan'bei'zhong'xue
无锡市山明中学,wu'xi'shi'shan'ming'zhong'xue
无锡市商业技工学校,wu'xi'shi'shang'ye'ji'gong'xue'xiao
无锡市商业职业学校,wu'xi'shi'shang'ye'zhi'ye'xue'xiao
无锡市社桥中学,wu'xi'shi'she'qiao'zhong'xue
无锡市市北高级中学,wu'xi'shi'shi'bei'gao'ji'zhong'xue
无锡市石化成人教育研究会,wu'xi'shi'shi'hua'cheng'ren'jiao'yu'yan'jiu'hui
无锡市石塘湾中学,wu'xi'shi'shi'tang'wan'zhong'xue
无锡市实验学校,wu'xi'shi'shi'yan'xue'xiao
无锡市实验幼儿园,wu'xi'shi'shi'yan'you'er'yuan
无锡市书法艺术教育中心,wu'xi'shi'shu'fa'yi'shu'jiao'yu'zhong'xin
无锡市双河新村小学,wu'xi'shi'shuang'he'xin'cun'xiao'xue
无锡市水秀中学,wu'xi'shi'shui'xiu'zhong'xue
无锡市硕放中学,wu'xi'shi'shuo'fang'zhong'xue
无锡市丝绸工业技工学校,wu'xi'shi'si'chou'gong'ye'ji'gong'xue'xiao
无锡市孙桥小学,wu'xi'shi'sun'qiao'xiao'xue
无锡市塔影中心小学,wu'xi'shi'ta'ying'zhong'xin'xiao'xue
无锡市塔影中学,wu'xi'shi'ta'ying'zhong'xue
无锡市塘南中学,wu'xi'shi'tang'nan'zhong'xue
无锡市亭子桥中心小学,wu'xi'shi'ting'zi'qiao'zhong'xin'xiao'xue
无锡市旺庄中学,wu'xi'shi'wang'zhuang'zhong'xue
无锡市五爱小学,wu'xi'shi'wu'ai'xiao'xue
无锡市五河新村小学,wu'xi'shi'wu'he'xin'cun'xiao'xue
无锡市吴桥实验小学,wu'xi'shi'wu'qiao'shi'yan'xiao'xue
无锡市吴桥实验小学分校,wu'xi'shi'wu'qiao'shi'yan'xiao'xue'fen'xiao
无锡市锡东中学,wu'xi'shi'xi'dong'zhong'xue
无锡市锡山区,wu'xi'shi'xi'shan'qu
无锡市锡山区青少年业余体校,wu'xi'shi'xi'shan'qu'qing'shao'nian'ye'yu'ti'xiao
无锡市西新中学,wu'xi'shi'xi'xin'zhong'xue
无锡市小学校区,wu'xi'shi'xiao'xue'xiao'qu
无锡市小学朝霞校区,wu'xi'shi'xiao'xue'zhao'xia'xiao'qu
无锡市新安中学,wu'xi'shi'xin'an'zhong'xue
无锡市新联小学,wu'xi'shi'xin'lian'xiao'xue
无锡市许舍小学,wu'xi'shi'xu'she'xiao'xue
无锡市雪浪中心小学,wu'xi'shi'xue'lang'zhong'xin'xiao'xue
无锡市雪浪中学,wu'xi'shi'xue'lang'zhong'xue
无锡市堰桥中学,wu'xi'shi'yan'qiao'zhong'xue
无锡市羊尖高级中学,wu'xi'shi'yang'jian'gao'ji'zhong'xue
无锡市扬名中心小学本部,wu'xi'shi'yang'ming'zhong'xin'xiao'xue'ben'bu
无锡市扬名中心小学梁中办学点,wu'xi'shi'yang'ming'zhong'xin'xiao'xue'liang'zhong'ban'xue'dian
无锡市宜兴市,wu'xi'shi'yi'xing'shi
无锡市英才学校,wu'xi'shi'ying'cai'xue'xiao
无锡市渔港小学,wu'xi'shi'yu'gang'xiao'xue
无锡市育红万科小学,wu'xi'shi'yu'hong'wan'ke'xiao'xue
无锡市玉祁中学,wu'xi'shi'yu'qi'zhong'xue
无锡市育英实验小学,wu'xi'shi'yu'ying'shi'yan'xiao'xue
无锡市园林技工学校,wu'xi'shi'yuan'lin'ji'gong'xue'xiao
无锡市张泾中学,wu'xi'shi'zhang'jing'zhong'xue
无锡市政治干部中等等专业学校,wu'xi'shi'zheng'zhi'gan'bu'zhong'deng'deng'zhuan'ye'xue'xiao
无锡市职工学校,wu'xi'shi'zhi'gong'xue'xiao
无锡市职工业余中等专业学校,wu'xi'shi'zhi'gong'ye'yu'zhong'deng'zhuan'ye'xue'xiao
无锡市职业高级中学,wu'xi'shi'zhi'ye'gao'ji'zhong'xue
无锡市中桥实验小学,wu'xi'shi'zhong'qiao'shi'yan'xiao'xue
无锡市中桥中学,wu'xi'shi'zhong'qiao'zhong'xue
无锡市中心三湖分校,wu'xi'shi'zhong'xin'san'hu'fen'xiao
无锡市中心上山分校,wu'xi'shi'zhong'xin'shang'shan'fen'xiao
无锡市中心小学,wu'xi'shi'zhong'xin'xiao'xue
无锡市中心张舍分校,wu'xi'shi'zhong'xin'zhang'she'fen'xiao
无锡市中学,wu'xi'shi'zhong'xue
无锡市周泾中学,wu'xi'shi'zhou'jing'zhong'xue
无锡市综合高级中学,wu'xi'shi'zong'he'gao'ji'zhong'xue
无锡通德桥实验小学,wu'xi'tong'de'qiao'shi'yan'xiao'xue
无锡通江实验小学,wu'xi'tong'jiang'shi'yan'xiao'xue
无锡卫校,wu'xi'wei'xiao
无锡羊尖中学,wu'xi'yang'jian'zhong'xue
无锡一中,wu'xi'yi'zhong
无锡育才中学,wu'xi'yu'cai'zhong'xue
无锡职工学校,wu'xi'zhi'gong'xue'xiao
无锡职业技术学院,wu'xi'zhi'ye'ji'shu'xue'yuan
物资职工,wu'zi'zhi'gong
物资职工学校,wu'zi'zhi'gong'xue'xiao
锡东,xi'dong
锡东中学,xi'dong'zhong'xue
锡南,xi'nan
锡南高级,xi'nan'gao'ji
锡南高级中学,xi'nan'gao'ji'zhong'xue
锡山,xi'shan
锡山分部,xi'shan'fen'bu
锡山高级,xi'shan'gao'ji
锡山高级中学,xi'shan'gao'ji'zhong'xue
锡山高中分部,xi'shan'gao'zhong'fen'bu
锡山高中实验学校,xi'shan'gao'zhong'shi'yan'xue'xiao
锡山区,xi'shan'qu
锡山区鸿声,xi'shan'qu'hong'sheng
锡山区鸿声中学,xi'shan'qu'hong'sheng'zhong'xue
锡山区青少年业余体校,xi'shan'qu'qing'shao'nian'ye'yu'ti'xiao
锡山市城乡建设技术培训中心,xi'shan'shi'cheng'xiang'jian'she'ji'shu'pei'xun'zhong'xin
锡山市荡口,xi'shan'shi'dang'kou
锡山市荡口中学,xi'shan'shi'dang'kou'zhong'xue
锡山市东,xi'shan'shi'dong
锡山市东北塘,xi'shan'shi'dong'bei'tang
锡山市东北塘农业技术,xi'shan'shi'dong'bei'tang'nong'ye'ji'shu
锡山市东北塘农业技术学校,xi'shan'shi'dong'bei'tang'nong'ye'ji'shu'xue'xiao
锡山市东北塘中学,xi'shan'shi'dong'bei'tang'zhong'xue
锡山市东农业技术,xi'shan'shi'dong'nong'ye'ji'shu
锡山市东农业技术学校,xi'shan'shi'dong'nong'ye'ji'shu'xue'xiao
锡山市东亭,xi'shan'shi'dong'ting
锡山市东亭中学,xi'shan'shi'dong'ting'zhong'xue
锡山市东中学,xi'shan'shi'dong'zhong'xue
锡山市工业干部,xi'shan'shi'gong'ye'gan'bu
锡山市工业干部学校,xi'shan'shi'gong'ye'gan'bu'xue'xiao
锡山市教师进修,xi'shan'shi'jiao'shi'jin'xiu
锡山市教师进修学校,xi'shan'shi'jiao'shi'jin'xiu'xue'xiao
锡山市洛社镇成人教育中心校,xi'shan'shi'luo'she'zhen'cheng'ren'jiao'yu'zhong'xin'xiao
锡山市农业机械化,xi'shan'shi'nong'ye'ji'xie'hua
锡山市农业机械化学校,xi'shan'shi'nong'ye'ji'xie'hua'xue'xiao
锡山市商业职业,xi'shan'shi'shang'ye'zhi'ye
锡山市商业职业学校,xi'shan'shi'shang'ye'zhi'ye'xue'xiao
锡山市卫生进修,xi'shan'shi'wei'sheng'jin'xiu
锡山市卫生进修学校,xi'shan'shi'wei'sheng'jin'xiu'xue'xiao
锡山市堰桥镇成人教育中心校,xi'shan'shi'yan'qiao'zhen'cheng'ren'jiao'yu'zhong'xin'xiao
锡山实验学校,xi'shan'shi'yan'xue'xiao
锡山市职业高级,xi'shan'shi'zhi'ye'gao'ji
锡山市职业高级中学,xi'shan'shi'zhi'ye'gao'ji'zhong'xue
锡山市职业培训中心,xi'shan'shi'zhi'ye'pei'xun'zhong'xin
锡师附小,xi'shi'fu'xiao
西石桥镇成人教育中心校,xi'shi'qiao'zhen'cheng'ren'jiao'yu'zhong'xin'xiao
西石桥镇成人校,xi'shi'qiao'zhen'cheng'ren'xiao
西新,xi'xin
西新中学,xi'xin'zhong'xue
西漳,xi'zhang
西漳中学,xi'zhang'zhong'xue
西渚,xi'zhu
西渚中学,xi'zhu'zhong'xue
夏芳,xia'fang
夏芳中学,xia'fang'zhong'xue
夏港,xia'gang
夏港中学,xia'gang'zhong'xue
校区,xiao'qu
小学,xiao'xue
小学校区,xiao'xue'xiao'qu
小学朝霞校区,xiao'xue'zhao'xia'xiao'qu
新安,xin'an
新安实验,xin'an'shi'yan
新安实验小学,xin'an'shi'yan'xiao'xue
新安中学,xin'an'zhong'xue
新芳,xin'fang
新芳中学,xin'fang'zhong'xue
新建,xin'jian
新建中学,xin'jian'zhong'xue
新街,xin'jie
新街成人文化技术,xin'jie'cheng'ren'wen'hua'ji'shu
新街成人文化技术学校,xin'jie'cheng'ren'wen'hua'ji'shu'xue'xiao
新街中学,xin'jie'zhong'xue
新联,xin'lian
新联小学,xin'lian'xiao'xue
新桥,xin'qiao
新桥中学,xin'qiao'zhong'xue
新区,xin'qu
新区第一,xin'qu'di'yi
新区第一部,xin'qu'di'yi'bu
新区第一实验学校,xin'qu'di'yi'shi'yan'xue'xiao
新区第一实验学校部,xin'qu'di'yi'shi'yan'xue'xiao'bu
新区第一实验学校小学部,xin'qu'di'yi'shi'yan'xue'xiao'xiao'xue'bu
新区实小锡梅,xin'qu'shi'xiao'xi'mei
新区实小锡梅分校,xin'qu'shi'xiao'xi'mei'fen'xiao
新区实验,xin'qu'shi'yan
新区实验小学,xin'qu'shi'yan'xiao'xue
新庄,xin'zhuang
新庄中学,xin'zhuang'zhong'xue
徐舍,xu'she
许舍,xu'she
许舍小学,xu'she'xiao'xue
徐舍中学,xu'she'zhong'xue
徐霞客,xu'xia'ke
徐霞客中学,xu'xia'ke'zhong'xue
雪浪,xue'lang
雪浪中心,xue'lang'zhong'xin
雪浪中心小学,xue'lang'zhong'xin'xiao'xue
雪浪中学,xue'lang'zhong'xue
烟林,yan'lin
烟林中学,yan'lin'zhong'xue
堰桥,yan'qiao
堰桥镇成人教育中心校,yan'qiao'zhen'cheng'ren'jiao'yu'zhong'xin'xiao
堰桥镇成人校,yan'qiao'zhen'cheng'ren'xiao
堰桥中学,yan'qiao'zhong'xue
验中学,yan'zhong'xue
羊尖,yang'jian
羊尖高级,yang'jian'gao'ji
羊尖高级中学,yang'jian'gao'ji'zhong'xue
羊尖中学,yang'jian'zhong'xue
扬名本部,yang'ming'ben'bu
扬名梁中办学点,yang'ming'liang'zhong'ban'xue'dian
扬名中心本部,yang'ming'zhong'xin'ben'bu
扬名中心梁中办学点,yang'ming'zhong'xin'liang'zhong'ban'xue'dian
扬名中心小学本部,yang'ming'zhong'xin'xiao'xue'ben'bu
扬名中心小学梁中办学点,yang'ming'zhong'xin'xiao'xue'liang'zhong'ban'xue'dian
洋溪,yang'xi
洋溪中学,yang'xi'zhong'xue
阳羡,yang'xian
阳羡高级,yang'xian'gao'ji
阳羡高级中学,yang'xian'gao'ji'zhong'xue
杨巷,yang'xiang
杨巷中学,yang'xiang'zhong'xue
要塞,yao'sai
要塞成人教育中心校,yao'sai'cheng'ren'jiao'yu'zhong'xin'xiao
要塞成人校,yao'sai'cheng'ren'xiao
要塞中学,yao'sai'zhong'xue
业学校,ye'xue'xiao
宜城,yi'cheng
宜城中学,yi'cheng'zhong'xue
宜丰,yi'feng
宜丰中学,yi'feng'zhong'xue
宜兴丁蜀职业高级中学,yi'xing'ding'shu'zhi'ye'gao'ji'zhong'xue
宜兴市,yi'xing'shi
宜兴市北郊中学,yi'xing'shi'bei'jiao'zhong'xue
宜兴市城东职业高级中学,yi'xing'shi'cheng'dong'zhi'ye'gao'ji'zhong'xue
宜兴市川埠中学,yi'xing'shi'chuan'bu'zhong'xue
宜兴市大塍中学,yi'xing'shi'da'cheng'zhong'xue
宜兴市大浦中学,yi'xing'shi'da'pu'zhong'xue
宜兴市第二中学,yi'xing'shi'di'er'zhong'xue
宜兴市第一中学,yi'xing'shi'di'yi'zhong'xue
宜兴市丁蜀高级中学,yi'xing'shi'ding'shu'gao'ji'zhong'xue
宜兴市丁蜀镇第二中学,yi'xing'shi'ding'shu'zhen'di'er'zhong'xue
宜兴市丁蜀镇东坡中学,yi'xing'shi'ding'shu'zhen'dong'po'zhong'xue
宜兴市丁蜀镇工会职工学校,yi'xing'shi'ding'shu'zhen'gong'hui'zhi'gong'xue'xiao
宜兴市丁蜀镇蠡墅中学,yi'xing'shi'ding'shu'zhen'li'shu'zhong'xue
宜兴市丁蜀镇陶都中学,yi'xing'shi'ding'shu'zhen'tao'du'zhong'xue
宜兴市东坡中学,yi'xing'shi'dong'po'zhong'xue
宜兴市东山中学,yi'xing'shi'dong'shan'zhong'xue
宜兴市范道中学,yi'xing'shi'fan'dao'zhong'xue
宜兴市芳桥中学,yi'xing'shi'fang'qiao'zhong'xue
宜兴市芳庄中学,yi'xing'shi'fang'zhuang'zhong'xue
宜兴市分水中学,yi'xing'shi'fen'shui'zhong'xue
宜兴市丰义中学,yi'xing'shi'feng'yi'zhong'xue
宜兴市伏东中学,yi'xing'shi'fu'dong'zhong'xue
宜兴市高塍成人文化技术学校,yi'xing'shi'gao'cheng'cheng'ren'wen'hua'ji'shu'xue'xiao
宜兴市高塍中学,yi'xing'shi'gao'cheng'zhong'xue
宜兴市高级中学,yi'xing'shi'gao'ji'zhong'xue
宜兴市工会职工学校,yi'xing'shi'gong'hui'zhi'gong'xue'xiao
宜兴市供销合作总社职工学校,yi'xing'shi'gong'xiao'he'zuo'zong'she'zhi'gong'xue'xiao
宜兴市官林第二中学,yi'xing'shi'guan'lin'di'er'zhong'xue
宜兴市官林职业高级中学,yi'xing'shi'guan'lin'zhi'ye'gao'ji'zhong'xue
宜兴市官林中学,yi'xing'shi'guan'lin'zhong'xue
宜兴市归径中学,yi'xing'shi'gui'jing'zhong'xue
宜兴市和桥高级中学,yi'xing'shi'he'qiao'gao'ji'zhong'xue
宜兴市和桥镇第二中学,yi'xing'shi'he'qiao'zhen'di'er'zhong'xue
宜兴市和桥职业高级中学,yi'xing'shi'he'qiao'zhi'ye'gao'ji'zhong'xue
宜兴市红塔中学,yi'xing'shi'hong'ta'zhong'xue
宜兴市湖父中学,yi'xing'shi'hu'fu'zhong'xue
宜兴市化工职业学校,yi'xing'shi'hua'gong'zhi'ye'xue'xiao
宜兴市教师进修学校,yi'xing'shi'jiao'shi'jin'xiu'xue'xiao
宜兴市交通职工学校,yi'xing'shi'jiao'tong'zhi'gong'xue'xiao
宜兴市经济学校,yi'xing'shi'jing'ji'xue'xiao
宜兴市鲸塘中学,yi'xing'shi'jing'tang'zhong'xue
宜兴市荆溪中学,yi'xing'shi'jing'xi'zhong'xue
宜兴市蠡墅中学,yi'xing'shi'li'shu'zhong'xue
宜兴市楝树中学,yi'xing'shi'lian'shu'zhong'xue
宜兴市茗岭中学,yi'xing'shi'ming'ling'zhong'xue
宜兴市南漕中学,yi'xing'shi'nan'cao'zhong'xue
宜兴市南新中学,yi'xing'shi'nan'xin'zhong'xue
宜兴市钮家中学,yi'xing'shi'niu'jia'zhong'xue
宜兴市农业干部学校江苏省,yi'xing'shi'nong'ye'gan'bu'xue'xiao'jiang'su'sheng
宜兴市农业机械化职工学校,yi'xing'shi'nong'ye'ji'xie'hua'zhi'gong'xue'xiao
宜兴市潘家坝中学,yi'xing'shi'pan'jia'ba'zhong'xue
宜兴市屺亭中学,yi'xing'shi'qi'ting'zhong'xue
宜兴市善卷中学,yi'xing'shi'shan'juan'zhong'xue
宜兴市太华中学,yi'xing'shi'tai'hua'zhong'xue
宜兴市陶都中学,yi'xing'shi'tao'du'zhong'xue
宜兴市桃溪中学,yi'xing'shi'tao'xi'zhong'xue
宜兴市铜峰中学,yi'xing'shi'tong'feng'zhong'xue
宜兴市万石成人文化技术学校,yi'xing'shi'wan'shi'cheng'ren'wen'hua'ji'shu'xue'xiao
宜兴市万石中学,yi'xing'shi'wan'shi'zhong'xue
宜兴市西渚中学,yi'xing'shi'xi'zhu'zhong'xue
宜兴市夏芳中学,yi'xing'shi'xia'fang'zhong'xue
宜兴市新芳中学,yi'xing'shi'xin'fang'zhong'xue
宜兴市新建中学,yi'xing'shi'xin'jian'zhong'xue
宜兴市新街成人文化技术学校,yi'xing'shi'xin'jie'cheng'ren'wen'hua'ji'shu'xue'xiao
宜兴市新街中学,yi'xing'shi'xin'jie'zhong'xue
宜兴市新庄中学,yi'xing'shi'xin'zhuang'zhong'xue
宜兴市徐舍中学,yi'xing'shi'xu'she'zhong'xue
宜兴市烟林中学,yi'xing'shi'yan'lin'zhong'xue
宜兴实验中学,yi'xing'shi'yan'zhong'xue
宜兴市洋溪中学,yi'xing'shi'yang'xi'zhong'xue
宜兴市阳羡高级中学,yi'xing'shi'yang'xian'gao'ji'zhong'xue
宜兴市杨巷中学,yi'xing'shi'yang'xiang'zhong'xue
宜兴市宜城中学,yi'xing'shi'yi'cheng'zhong'xue
宜兴市宜丰中学,yi'xing'shi'yi'feng'zhong'xue
宜兴市邮堂中学,yi'xing'shi'you'tang'zhong'xue
宜兴市元上中学,yi'xing'shi'yuan'shang'zhong'xue
宜兴市张泽中学,yi'xing'shi'zhang'ze'zhong'xue
宜兴市张渚第二中学,yi'xing'shi'zhang'zhu'di'er'zhong'xue
宜兴市张渚高级中学,yi'xing'shi'zhang'zhu'gao'ji'zhong'xue
宜兴市张渚桃溪中学,yi'xing'shi'zhang'zhu'tao'xi'zhong'xue
宜兴市张渚职业高级中学,yi'xing'shi'zhang'zhu'zhi'ye'gao'ji'zhong'xue
宜兴市职业高级中学,yi'xing'shi'zhi'ye'gao'ji'zhong'xue
宜兴市职业中心学校,yi'xing'shi'zhi'ye'zhong'xin'xue'xiao
宜兴市中学,yi'xing'shi'zhong'xue
宜兴市周铁中学,yi'xing'shi'zhou'tie'zhong'xue
宜兴陶瓷公司教育中心,yi'xing'tao'ci'gong'si'jiao'yu'zhong'xin
宜兴外国语学校,yi'xing'wai'guo'yu'xue'xiao
宜兴一中,yi'xing'yi'zhong
宜兴职业高级中学,yi'xing'zhi'ye'gao'ji'zhong'xue
宜兴中学,yi'xing'zhong'xue
一中,yi'zhong
英才,ying'cai
英才学校,ying'cai'xue'xiao
英桥国际,ying'qiao'guo'ji
英桥国际学校,ying'qiao'guo'ji'xue'xiao
邮堂,you'tang
邮堂中学,you'tang'zhong'xue
育才,yu'cai
育才中学,yu'cai'zhong'xue
育附属,yu'fu'shu
渔港,yu'gang
渔港小学,yu'gang'xiao'xue
育红,yu'hong
育红公益,yu'hong'gong'yi
育红公益设置三四年级,yu'hong'gong'yi'she'zhi'san'si'nian'ji
育红公益校区设置三四年级,yu'hong'gong'yi'xiao'qu'she'zhi'san'si'nian'ji
育红万科,yu'hong'wan'ke
育红万科小学,yu'hong'wan'ke'xiao'xue
育红小学,yu'hong'xiao'xue
育红小学公益校区设置三四年级,yu'hong'xiao'xue'gong'yi'xiao'qu'she'zhi'san'si'nian'ji
玉祁,yu'qi
玉祁中学,yu'qi'zhong'xue
育英,yu'ying
育英实验,yu'ying'shi'yan
育英实验小学,yu'ying'shi'yan'xiao'xue
园林技工,yuan'lin'ji'gong
园林技工学校,yuan'lin'ji'gong'xue'xiao
元上,yuan'shang
元上中学,yuan'shang'zhong'xue
月城,yue'cheng
月城镇成人教育中心校,yue'cheng'zhen'cheng'ren'jiao'yu'zhong'xin'xiao
月城镇成人校,yue'cheng'zhen'cheng'ren'xiao
月城中学,yue'cheng'zhong'xue
运河,yun'he
运河实验,yun'he'shi'yan
运河实验中学,yun'he'shi'yan'zhong'xue
云亭,yun'ting
云亭中学,yun'ting'zhong'xue
张泾,zhang'jing
张泾中学,zhang'jing'zhong'xue
张舍,zhang'she
张泽,zhang'ze
张泽中学,zhang'ze'zhong'xue
张渚,zhang'zhu
张渚第二,zhang'zhu'di'er
张渚第二中学,zhang'zhu'di'er'zhong'xue
张渚二中,zhang'zhu'er'zhong
张渚高级,zhang'zhu'gao'ji
张渚高级中学,zhang'zhu'gao'ji'zhong'xue
张渚实验,zhang'zhu'shi'yan
张渚实验中学,zhang'zhu'shi'yan'zhong'xue
张渚桃溪,zhang'zhu'tao'xi
张渚桃溪中学,zhang'zhu'tao'xi'zhong'xue
张渚职业,zhang'zhu'zhi'ye
张渚职业高级,zhang'zhu'zhi'ye'gao'ji
张渚职业高级中学,zhang'zhu'zhi'ye'gao'ji'zhong'xue
朝霞,zhao'xia
朝霞校区,zhao'xia'xiao'qu
镇成人教育中心校,zhen'cheng'ren'jiao'yu'zhong'xin'xiao
镇成人校,zhen'cheng'ren'xiao
征存,zheng'cun
征存中学,zheng'cun'zhong'xue
政治干部中等等专业,zheng'zhi'gan'bu'zhong'deng'deng'zhuan'ye
政治干部中等等专业学校,zheng'zhi'gan'bu'zhong'deng'deng'zhuan'ye'xue'xiao
职工,zhi'gong
职工学校,zhi'gong'xue'xiao
职工业余中等专业,zhi'gong'ye'yu'zhong'deng'zhuan'ye
职工业余中等专业学校,zhi'gong'ye'yu'zhong'deng'zhuan'ye'xue'xiao
职业,zhi'ye
职业高级,zhi'ye'gao'ji
职业高级中学,zhi'ye'gao'ji'zhong'xue
职业技术,zhi'ye'ji'shu
职业技术学院,zhi'ye'ji'shu'xue'yuan
职业培训,zhi'ye'pei'xun
职业培训中心,zhi'ye'pei'xun'zhong'xin
职业中心,zhi'ye'zhong'xin
职业中心学校,zhi'ye'zhong'xin'xue'xiao
中桥,zhong'qiao
中桥实验,zhong'qiao'shi'yan
中桥实验小学,zhong'qiao'shi'yan'xiao'xue
中桥中学,zhong'qiao'zhong'xue
中心,zhong'xin
中心三湖,zhong'xin'san'hu
中心三湖分校,zhong'xin'san'hu'fen'xiao
中心上山,zhong'xin'shang'shan
中心上山分校,zhong'xin'shang'shan'fen'xiao
中心小学,zhong'xin'xiao'xue
中心张舍,zhong'xin'zhang'she
中心张舍分校,zhong'xin'zhang'she'fen'xiao
中学,zhong'xue
周泾,zhou'jing
周泾中学,zhou'jing'zhong'xue
周潭,zhou'tan
周潭小学,zhou'tan'xiao'xue
周铁,zhou'tie
周铁中学,zhou'tie'zhong'xue
周庄,zhou'zhuang
周庄镇成人,zhou'zhuang'zhen'cheng'ren
周庄镇成人教育中心,zhou'zhuang'zhen'cheng'ren'jiao'yu'zhong'xin
周庄中学,zhou'zhuang'zhong'xue
祝塘,zhu'tang
祝塘镇成人教育中心校,zhu'tang'zhen'cheng'ren'jiao'yu'zhong'xin'xiao
祝塘镇成人校,zhu'tang'zhen'cheng'ren'xiao
祝塘中学,zhu'tang'zhong'xue
综合,zong'he
综合高级,zong'he'gao'ji
综合高级中学,zong'he'gao'ji'zhong'xue
