阿兵哥,a'bing'ge
我是厦门的,wo'shi'xia'men'de
沃头,wo'tou
我头很痛,wo'tou'hen'tong
我问看看,wo'wen'kan'kan
我洗澡下,wo'xi'zao'xia
我厦门,wo'xia'men
我厦门的,wo'xia'men'de
我先来去,wo'xian'lai'qu
我先忙下,wo'xian'mang'xia
我现在在厦门,wo'xian'zai'zai'xia'men
我要过去了,wo'yao'guo'qu'le
我要来去,wo'yao'lai'qu
我要睡了啦,wo'yao'shui'le'la
我也来去,wo'ye'lai'qu
我也要回去了,wo'ye'yao'hui'qu'le
我也要去睡了,wo'ye'yao'qu'shui'le
我也有去,wo'ye'you'qu
我也在厦门,wo'ye'zai'xia'men
我有带,wo'you'dai
我有跟,wo'you'gen
我有叫,wo'you'jiao
我有看到,wo'you'kan'dao
我有买,wo'you'mai
我有问,wo'you'wen
我在岛内,wo'zai'dao'nei
我在岛外,wo'zai'dao'wai
我在福州,wo'zai'fu'zhou
我在鼓浪屿,wo'zai'gu'lang'yu
我在海沧,wo'zai'hai'cang
我在集美,wo'zai'ji'mei
我在泡茶,wo'zai'pao'cha
我在泉州,wo'zai'quan'zhou
我在瑞景,wo'zai'rui'jing
我在同安,wo'zai'tong'an
我在同感,wo'zai'tong'gan
我在厦大,wo'zai'xia'da
我在厦门,wo'zai'xia'men
我在厦门了,wo'zai'xia'men'le
我在厦门呢,wo'zai'xia'men'ne
我在想说,wo'zai'xiang'shuo
我在杏林,wo'zai'xing'lin
我在漳州,wo'zai'zhang'zhou
我在中山路,wo'zai'zhong'shan'lu
我漳州,wo'zhang'zhou
我找看看,wo'zhao'kan'kan
我这间,wo'zhe'jian
我这太,wo'zhei'tai
我自己一个,wo'zi'ji'yi'ge
我最好是,wo'zui'hao'shi
午茶,wu'cha
无尘服,wu'chen'fu
梧村,wu'cun
梧村车站,wu'cun'che'zhan
梧村汽车站,wu'cun'qi'che'zhan
吴董,wu'dong
五斗堂,wu'dou'tang
无法度,wu'fa'du
吴冠,wu'guan
武汉大厦,wu'han'da'sha
物机,wu'ji
武警支队,wu'jing'zhi'dui
五老峰,wu'lao'feng
五年专,wu'nian'zhuan
武平,wu'ping
武平县,wu'ping'xian
雾煞煞,wu'sha'sha
乌山,wu'shan
乌石浦,wu'shi'pu
午睡下,wu'shui'xia
五天制,wu'tian'zhi
五通,wu'tong
乌涂,wu'tu
午托班,wu'tuo'ban
五显镇,wu'xian'zhen
五香条,wu'xiang'tiao
午休下,wu'xiu'xia
钨业,wu'ye
武夷工贸,wu'yi'gong'mao
武夷山,wu'yi'shan
武夷学院,wu'yi'xue'yuan
无语掉,wu'yu'diao
五缘,wu'yuan
五缘湾,wu'yuan'wan
无缘要,wu'yuan'yao
吴再添,wu'zai'tian
西北拉面,xi'bei'la'mian
溪边,xi'bian
西村,xi'cun
洗地板,xi'di'ban
溪东,xi'dong
希尔福,xi'er'fu
稀饭吃,xi'fan'chi
西洪塘,xi'hong'tang
西柯,xi'ke
西柯镇,xi'ke'zhen
西林云顶,xi'lin'yun'ding
西马仑,xi'ma'lun
喜梦宝,xi'meng'bao
西缇,xi'ti
西亭,xi'ting
洗下澡,xi'xia'zao
洗衣池,xi'yi'chi
喜盈门,xi'ying'men
洗澡下,xi'zao'xia
虾饼,xia'bing
下蔡,xia'cai
虾池,xia'chi
厦大,xia'da
厦大白城,xia'da'bai'cheng
厦大的,xia'da'de
厦大教务处,xia'da'jiao'wu'chu
厦大了,xia'da'le
厦大西村,xia'da'xi'cun
厦大学生,xia'da'xue'sheng
厦大学生公寓,xia'da'xue'sheng'gong'yu
厦大医院,xia'da'yi'yuan
厦工,xia'gong
虾姑,xia'gu
厦航,xia'hang
厦航的,xia'hang'de
厦禾路,xia'he'lu
下很大,xia'hen'da
下湖,xia'hu
厦华,xia'hua
下来要,xia'lai'yao
霞美,xia'mei
厦门,xia'men
厦门啊,xia'men'a
厦门吧,xia'men'ba
厦门办,xia'men'ban
厦门北,xia'men'bei
厦门北站,xia'men'bei'zhan
厦门本地,xia'men'ben'di
厦门宾馆,xia'men'bin'guan
厦门不,xia'men'bu
厦门大桥,xia'men'da'qiao
厦门大学,xia'men'da'xue
厦门到,xia'men'dao
厦门岛内,xia'men'dao'nei
厦门的,xia'men'de
厦门的嘛,xia'men'de'ma
厦门地图,xia'men'di'tu
厦门店,xia'men'dian
厦门电信,xia'men'dian'xin
厦门都,xia'men'dou
厦门二中,xia'men'er'zhong
厦门分公司,xia'men'fen'gong'si
厦门分行,xia'men'fen'hang
厦门干嘛,xia'men'gan'ma
厦门港,xia'men'gang
厦门咯,xia'men'ge
厦门公交,xia'men'gong'jiao
厦门工学院,xia'men'gong'xue'yuan
厦门工作,xia'men'gong'zuo
厦门海沧,xia'men'hai'cang
厦门还是,xia'men'hai'shi
厦门航空,xia'men'hang'kong
厦门好,xia'men'hao
厦门好热,xia'men'hao're
厦门后,xia'men'hou
厦门户口,xia'men'hu'kou
厦门话,xia'men'hua
厦门火车站,xia'men'huo'che'zhan
厦门机场,xia'men'ji'chang
厦门集美,xia'men'ji'mei
厦门见,xia'men'jian
厦门交警,xia'men'jiao'jing
厦门今天,xia'men'jin'tian
厦门金逸,xia'men'jin'yi
厦门就,xia'men'jiu
厦门卡,xia'men'ka
下门口,xia'men'kou
厦门啦,xia'men'la
厦门来,xia'men'lai
厦门来了,xia'men'lai'le
厦门了,xia'men'le
厦门了吧,xia'men'le'ba
厦门了吗,xia'men'le'ma
厦门理工,xia'men'li'gong
厦门理工学院,xia'men'li'gong'xue'yuan
厦门六中,xia'men'liu'zhong
厦门旅游,xia'men'lv'you
厦门吗,xia'men'ma
厦门买,xia'men'mai
厦门么,xia'men'me
厦门没,xia'men'mei
厦门没有,xia'men'mei'you
厦门那,xia'men'na
厦门哪里,xia'men'na'li
厦门呢,xia'men'ne
厦门泡面,xia'men'pao'mian
厦门去,xia'men'qu
厦门人,xia'men'ren
厦门人才,xia'men'ren'cai
厦门人才网,xia'men'ren'cai'wang
厦门人嘛,xia'men'ren'ma
厦门人民,xia'men'ren'min
厦门日报,xia'men'ri'bao
厦门市,xia'men'shi
厦门天气,xia'men'tian'qi
厦门玩,xia'men'wan
厦门万达,xia'men'wan'da
厦门网,xia'men'wang
厦门卫视,xia'men'wei'shi
厦门厦门,xia'men'xia'men
厦门现在,xia'men'xian'zai
厦门小鱼网,xia'men'xiao'yu'wang
厦门行,xia'men'xing
厦门呀,xia'men'ya
厦门要,xia'men'yao
厦门也,xia'men'ye
厦门也是,xia'men'ye'shi
厦门也有,xia'men'ye'you
厦门一中,xia'men'yi'zhong
厦门银行,xia'men'yin'hang
厦门有,xia'men'you
厦门站,xia'men'zhan
厦门这,xia'men'zhe
厦门这边,xia'men'zhe'bian
虾面,xia'mian
霞浦,xia'pu
霞浦县,xia'pu'xian
夏日祭,xia'ri'ji
夏商,xia'shang
夏商卡,xia'shang'ka
吓死掉,xia'si'diao
霞梧,xia'wu
下午要不要,xia'wu'yao'bu'yao
下午要干嘛,xia'wu'yao'gan'ma
下溪头,xia'xi'tou
霞阳,xia'yang
厦漳大桥,xia'zhang'da'qiao
厦漳泉,xia'zhang'quan
下周天,xia'zhou'tian
仙草,xian'cao
仙草冻,xian'cao'dong
仙草蜜,xian'cao'mi
仙草南路,xian'cao'nan'lu
咸饭,xian'fan
咸干饭,xian'gan'fan
仙阁里,xian'ge'li
县后,xian'hou
先来去,xian'lai'qu
仙绿晶,xian'lv'jing
先忙下,xian'mang'xia
嫌七嫌八,xian'qi'xian'ba
咸水鸭,xian'shui'ya
线务局,xian'wu'ju
咸稀饭,xian'xi'fan
仙游,xian'you
仙岳,xian'yue
仙岳花园,xian'yue'hua'yuan
仙岳路,xian'yue'lu
仙岳路口,xian'yue'lu'kou
仙岳山,xian'yue'shan
仙岳医院,xian'yue'yi'yuan
现在在厦门,xian'zai'zai'xia'men
翔安,xiang'an
翔安的,xiang'an'de
翔安区,xiang'an'qu
翔安隧道,xiang'an'sui'dao
翔安校区,xiang'an'xiao'qu
翔安一中,xiang'an'yi'zhong
芗城,xiang'cheng
芗城区,xiang'cheng'qu
祥达,xiang'da
祥店,xiang'dian
祥发,xiang'fa
祥福,xiang'fu
香港传奇,xiang'gang'chuan'qi
翔鹭,xiang'lu
翔鹭花城,xiang'lu'hua'cheng
香牌坊,xiang'pai'fang
祥平,xiang'ping
想七想八,xiang'qi'xiang'ba
向阳坊,xiang'yang'fang
翔业,xiang'ye
想也知道,xiang'ye'zhi'dao
翔一,xiang'yi
校霸,xiao'ba
小白鹭,xiao'bai'lu
小滨,xiao'bin
小博客,xiao'bo'ke
小测,xiao'ce
小炒店,xiao'chao'dian
小嶝,xiao'deng
小嶝岛,xiao'deng'dao
小东山,xiao'dong'shan
小喝,xiao'he
小洪,xiao'hong
小纪,xiao'ji
小金星,xiao'jin'xing
小酒吧,xiao'jiu'ba
小酒量,xiao'jiu'liang
小赖,xiao'lai
小两房,xiao'liang'fang
小流量,xiao'liu'liang
笑年,xiao'nian
消遣我,xiao'qian'wo
小青岛,xiao'qing'dao
小三通,xiao'san'tong
笑死掉,xiao'si'diao
小铁门,xiao'tie'men
小同安,xiao'tong'an
小小只,xiao'xiao'zhi
校选,xiao'xuan
校选课,xiao'xuan'ke
小学路,xiao'xue'lu
小眼镜,xiao'yan'jing
小鱿鱼,xiao'you'yu
小羽佳,xiao'yu'jia
小鱼网,xiao'yu'wang
小只,xiao'zhi
小种,xiao'zhong
小中考,xiao'zhong'kao
小猪网,xiao'zhu'wang
协成,xie'cheng
新垵,xin'an
新成功,xin'cheng'gong
新村站,xin'cun'zhan
新店,xin'dian
新店的,xin'dian'de
新店了,xin'dian'le
新店镇,xin'dian'zhen
鑫海湾,xin'hai'wan
信华,xin'hua
新华都,xin'hua'du
新癀片,xin'huang'pian
新佳美,xin'jia'mei
新景,xin'jing
新景数码港,xin'jing'shu'ma'gang
新景园,xin'jing'yuan
新景中心,xin'jing'zhong'xin
新凯,xin'kai
鑫客家,xin'ke'jia
新民镇,xin'min'zhen
新泉,xin'quan
新时光,xin'shi'guang
新四海,xin'si'hai
新霞,xin'xia
新圩镇,xin'xu'zhen
新阳,xin'yang
新员,xin'yuan
新中林,xin'zhong'lin
杏北,xing'bei
杏北路,xing'bei'lu
杏滨,xing'bin
兴才,xing'cai
杏东,xing'dong
杏东路,xing'dong'lu
兴港,xing'gang
星海湾,xing'hai'wan
兴恒,xing'heng
行军散,xing'jun'san
杏林,xing'lin
杏林村,xing'lin'cun
杏林大桥,xing'lin'da'qiao
杏林的,xing'lin'de
杏林了,xing'lin'le
杏林湾,xing'lin'wan
兴隆路,xing'long'lu
旭日海湾,xu'ri'hai'wan
续摊,xu'tan
学伴,xue'ban
学村,xue'cun
雪津,xue'jin
薛岭,xue'ling
熏鸭,xun'ya
雅彬,ya'bin
雅芬,ya'fen
呀过年,ya'guo'nian
雅红,ya'hong
雅惠,ya'hui
鸭腱,ya'jian
雅娟,ya'juan
鸭母,ya'mu
雅萍,ya'ping
鸭肉粥,ya'rou'zhou
雅珊,ya'shan
压台,ya'tai
鸭汤,ya'tang
亚特兰大,ya'te'lan'da
雅馨,ya'xin
亚洲海湾,ya'zhou'hai'wan
燕彬,yan'bin
岩茶,yan'cha
淹大水,yan'da'shui
盐典,yan'dian
燕凤,yan'feng
燕红,yan'hong
燕惠,yan'hui
眼科中心,yan'ke'zhong'xin
延奎,yan'kui
演武场,yan'wu'chang
演武大桥,yan'wu'da'qiao
岩溪,yan'xi
燕雪,yan'xue
演艺吧,yan'yi'ba
养肝茶,yang'gan'cha
杨丽花,yang'li'hua
洋参,yang'shen
阳台山,yang'tai'shan
杨小贤,yang'xiao'xian
养颜美容,yang'yan'mei'rong
阳宅,yang'zhai
要拜拜,yao'bai'bai
要不要出来,yao'bu'yao'chu'lai
要不要出来玩,yao'bu'yao'chu'lai'wan
要不要过来,yao'bu'yao'guo'lai
要不要回来,yao'bu'yao'hui'lai
要不要回去,yao'bu'yao'hui'qu
要不要啦,yao'bu'yao'la
要不要来,yao'bu'yao'lai
要不要来啊,yao'bu'yao'lai'a
要不要来我家,yao'bu'yao'lai'wo'jia
要不要来找我,yao'bu'yao'lai'zhao'wo
要不要去吃,yao'bu'yao'qu'chi
要不要下来,yao'bu'yao'xia'lai
要吃启动,yao'chi'qi'dong
要出来吗,yao'chu'lai'ma
要过来了吗,yao'guo'lai'le'ma
要过来吗,yao'guo'lai'ma
要过来那,yao'guo'lai'na
要过去了,yao'guo'qu'le
要回来了吗,yao'hui'lai'le'ma
要回来了没,yao'hui'lai'le'mei
要回来没,yao'hui'lai'mei
要回来那,yao'hui'lai'na
要回去啦,yao'hui'qu'la
要回去了,yao'hui'qu'le
要回去了吗,yao'hui'qu'le'ma
要回去咯,yao'hui'qu'lo
要回去吗,yao'hui'qu'ma
要几点去,yao'ji'dian'qu
要来了吗,yao'lai'le'ma
要来了没,yao'lai'le'mei
要来吗,yao'lai'ma
要来那,yao'lai'na
要来去,yao'lai'qu
要来厦门,yao'lai'xia'men
要来找我吗,yao'lai'zhao'wo'ma
要了啦,yao'le'la
要乾嘛,yao'qian'ma
要去吃了,yao'qu'chi'le
要去哪里玩,yao'qu'na'li'wan
要去厦门,yao'qu'xia'men
要去要,yao'qu'yao
夭寿,yao'shou
要睡了啦,yao'shui'le'la
要说下,yao'shuo'xia
瑶头,yao'tou
要下来,yao'xia'lai
要下来吗,yao'xia'lai'ma
要下去了,yao'xia'qu'le
夭秀,yao'xiu
要在哪里,yao'zai'na'li
要煮,yao'zhu
叶厝,ye'cuo
夜店咖,ye'dian'ka
椰风,ye'feng
椰风寨,ye'feng'zhai
也来去,ye'lai'qu
也没差,ye'mei'cha
野山谷,ye'shan'gu
也是吼,ye'shi'hou
也是啦,ye'shi'la
也有看到,ye'you'kan'dao
也有来,ye'you'lai
也有去,ye'you'qu
也有在,ye'you'zai
也在厦门,ye'zai'xia'men
椰子饼,ye'zi'bing
谊爱路,yi'ai'lu
医保社保,yi'bao'she'bao
艺彬,yi'bin
艺超,yi'chao
移车,yi'che
一代佳人,yi'dai'jia'ren
一地板,yi'di'ban
一丁,yi'ding
艺芳,yi'fang
艺芬,yi'fen
医高专,yi'gao'zhuan
艺红,yi'hong
艺辉,yi'hui
艺杰,yi'jie
怡景花园,yi'jing'hua'yuan
艺娟,yi'juan
艺君,yi'jun
一咖啡,yi'ka'fei
一里,yi'li
一麻一辣,yi'ma'yi'la
一品茶,yi'pin'cha
艺萍,yi'ping
一七四,yi'qi'si
以前都不会,yi'qian'dou'bu'hui
艺强,yi'qiang
已取,yi'qu
依莎,yi'sha
伊莎贝尔,yi'sha'bei'er
医社,yi'she
医社保,yi'she'bao
艺施,yi'shi
一条根,yi'tiao'gen
怡庭,yi'ting
易通卡,yi'tong'ka
艺伟,yi'wei
一秀,yi'xiu
一整排,yi'zheng'pai
一直叫我,yi'zhi'jiao'wo
一直念,yi'zhi'nian
印斗,yin'dou
印斗路,yin'dou'lu
银行中心,yin'hang'zhong'xin
银江路,yin'jiang'lu
饮料店,yin'liao'dian
音乐厨房,yin'yue'chu'fang
音乐岛,yin'yue'dao
音乐广场,yin'yue'guang'chang
英迪格,ying'di'ge
应该不会啦,ying'gai'bu'hui'la
盈众,ying'zhong
永春,yong'chun
用打字,yong'da'zi
永定,yong'ding
永定县,yong'ding'xian
用户号,yong'hu'hao
用看看,yong'kan'kan
用跑的,yong'pao'de
用说的,yong'shuo'de
永同昌,yong'tong'chang
咏蛙,yong'wa
咏蛙田鸡,yong'wa'tian'ji
有帮我,you'bang'wo
有包括,you'bao'kuo
有差,you'cha
有差吗,you'cha'ma
有差么,you'cha'me
有吃饱,you'chi'bao
有吃点,you'chi'dian
有吃饭吗,you'chi'fan'ma
有吃过,you'chi'guo
有吃吗,you'chi'ma
有吃药,you'chi'yao
有抽成,you'chou'cheng
有出门,you'chu'men
友达,you'da
有带,you'dai
有带伞,you'dai'san
有到,you'dao
有点明,you'dian'ming
有订台,you'ding'tai
优度,you'du
有发给你,you'fa'gei'ni
油饭,you'fan
有放假吗,you'fang'jia'ma
友丰,you'feng
油蛤,you'ge
有给我,you'gei'wo
有跟你说,you'gen'ni'shuo
有跟他,you'gen'ta
有跟他说,you'gen'ta'shuo
有跟我说,you'gen'wo'shuo
有乖,you'guai
有过来,you'guo'lai
有过来吗,you'guo'lai'ma
有过去,you'guo'qu
优号,you'hao
有好点,you'hao'dian
有好点吗,you'hao'dian'ma
有好一点,you'hao'yi'dian
有喝酒,you'he'jiu
油画村,you'hua'cun
有回家吗,you'hui'jia'ma
有回来,you'hui'lai
有回来吗,you'hui'lai'ma
有回去,you'hui'qu
有交,you'jiao
有叫他,you'jiao'ta
有接,you'jie
游金,you'jin
有经常,you'jing'chang
有经过,you'jing'guo
有开,you'kai
有开车,you'kai'che
有开吗,you'kai'ma
有看到,you'kan'dao
有看到吗,you'kan'dao'ma
有看到你,you'kan'dao'ni
有看到我,you'kan'dao'wo
有来过,you'lai'guo
有来嘛,you'lai'ma
有来有去,you'lai'you'qu
有路过,you'lu'guo
邮轮城,you'lun'cheng
又没差,you'mei'cha
有没好点,you'mei'hao'dian
有没有在,you'mei'you'zai
有没有在家,you'mei'you'zai'jia
有拿到,you'na'dao
有钱哈,you'qian'ha
有去,you'qu
有去的话,you'qu'de'hua
有去过,you'qu'guo
有去看,you'qu'kan
有去吗,you'qu'ma
有确定,you'que'ding
有上班,you'shang'ban
有上班吗,you'shang'ban'ma
有什么差,you'shen'me'cha
有收到,you'shou'dao
有收到了,you'shou'dao'le
有收到吗,you'shou'dao'ma
有收到么,you'shou'dao'me
有谁要去,you'shui'yao'qu
有说了,you'shuo'le
优思麦,you'si'mai
有提供,you'ti'gong
有听说,you'ting'shuo
有问他,you'wen'ta
尤溪,you'xi
有下来,you'xia'lai
有厦门,you'xia'men
有下去,you'xia'qu
有下雨,you'xia'yu
有下雨吗,you'xia'yu'ma
有要去,you'yao'qu
游泳完,you'yong'wan
有在,you'zai
有在不,you'zai'bu
有在家吗,you'zai'jia'ma
有在吗,you'zai'ma
有在卖,you'zai'mai
有在么,you'zai'me
有在上班,you'zai'shang'ban
有再说,you'zai'shuo
有在想,you'zai'xiang
有在用,you'zai'yong
有在做,you'zai'zuo
有找到,you'zhao'dao
芋包,yu'bao
裕发,yu'fa
雨很大,yu'hen'da
屿后,yu'hou
屿后北里,yu'hou'bei'li
屿后南里,yu'hou'nan'li
语基,yu'ji
裕景,yu'jing
鱼卷,yu'juan
御面堂,yu'mian'tang
玉珊,yu'shan
鱼丸汤,yu'wan'tang
于伟国,yu'wei'guo
渔溪,yu'xi
育秀里,yu'xiu'li
鱼旨,yu'zhi
鱼旨寿司,yu'zhi'shou'si
禹州花园,yu'zhou'hua'yuan
禹州新村,yu'zhou'xin'cun
园博湾,yuan'bo'wan
园博园,yuan'bo'yuan
源昌,yuan'chang
元初,yuan'chu
员当,yuan'dang
员当湖,yuan'dang'hu
远海,yuan'hai
园山,yuan'shan
怨叹,yuan'tan
元味,yuan'wei
院选,yuan'xuan
鸳鸯溪,yuan'yang'xi
约场,yue'chang
越城记,yue'cheng'ji
悦华,yue'hua
悦华酒店,yue'hua'jiu'dian
悦华路,yue'hua'lu
跃辉,yue'hui
约几点,yue'ji'dian
月明楼,yue'ming'lou
约起来,yue'qi'lai
悦实,yue'shi
月台路,yue'tai'lu
约下,yue'xia
岳阳小区,yue'yang'xiao'qu
云顶,yun'ding
云顶山,yun'ding'shan
云顶至尊,yun'ding'zhi'zun
运动馆,yun'dong'guan
云洞岩,yun'dong'yan
云水谣,yun'shui'yao
晕死点,yun'si'dian
晕死掉,yun'si'diao
芸溪,yun'xi
云霄,yun'xiao
云霄县,yun'xiao'xian
咋某,za'mou
在安溪,zai'an'xi
在不爽,zai'bu'shuang
在倒霉,zai'dao'mei
在岛内,zai'dao'nei
在岛外,zai'dao'wai
在动车,zai'dong'che
在动车上,zai'dong'che'shang
在东渡,zai'dong'du
在福清,zai'fu'qing
在福州,zai'fu'zhou
在干叼,zai'gan'diao
在干嘛哈,zai'gan'ma'ha
在干鸟,zai'gan'niao
在跟我说,zai'gen'wo'shuo
在鼓浪屿,zai'gu'lang'yu
在灌口,zai'guan'kou
在海沧,zai'hai'cang
在好鸟,zai'hao'niao
在湖里,zai'hu'li
在环岛路,zai'huan'dao'lu
在会展,zai'hui'zhan
在集美,zai'ji'mei
再见拜拜,zai'jian'bai'bai
在江头,zai'jiang'tou
在晋江,zai'jin'jiang
载客,zai'ke
再来去,zai'lai'qu
在莲花,zai'lian'hua
在龙岩,zai'long'yan
在轮渡,zai'lun'du
在马巷,zai'ma'xiang
在明发,zai'ming'fa
在哪间,zai'na'jian
在泡茶,zai'pao'cha
在平潭,zai'ping'tan
在前埔,zai'qian'pu
载去,zai'qu
在泉州,zai'quan'zhou
在软件园,zai'ruan'jian'yuan
在三明,zai'san'ming
在同安,zai'tong'an
在文灶,zai'wen'zao
在厦大,zai'xia'da
在厦门,zai'xia'men
在厦门啊,zai'xia'men'a
在厦门的,zai'xia'men'de
在厦门了,zai'xia'men'le
在厦门吗,zai'xia'men'ma
在厦门哪里,zai'xia'men'na'li
在厦门呢,zai'xia'men'ne
在翔安,zai'xiang'an
在想说,zai'xiang'shuo
在新店,zai'xin'dian
在杏林,zai'xing'lin
在一会,zai'yi'hui
在漳州,zai'zhang'zhou
在中山路,zai'zhong'shan'lu
在煮了,zai'zhu'le
早点看看,zao'dian'kan'kan
早点去睡,zao'dian'qu'shui
造水,zao'shui
曾厝垵,zeng'cuo'an
曾道人,zeng'dao'ren
扎母,zha'mu
炸枣,zha'zao
寨上,zhai'shang
栈板,zhan'ban
漳大,zhang'da
章家施,zhang'jia'shi
漳平,zhang'ping
漳浦,zhang'pu
漳浦县,zhang'pu'xian
张三疯,zhang'san'feng
掌上公交,zhang'shang'gong'jiao
漳校,zhang'xiao
漳州,zhang'zhou
漳州的,zhang'zhou'de
漳州港,zhang'zhou'gang
漳州啦,zhang'zhou'la
漳州了,zhang'zhou'le
漳州吗,zhang'zhou'ma
漳州哪里,zhang'zhou'na'li
漳州人,zhang'zhou'ren
漳州市,zhang'zhou'shi
漳州校区,zhang'zhou'xiao'qu
诏安,zhao'an
诏安县,zhao'an'xian
赵家堡,zhao'jia'bao
找看看,zhao'kan'kan
找他拿,zhao'ta'na
找我拿,zhao'wo'na
这可以有,zhe'ke'yi'you
这么刚好,zhe'me'gang'hao
这么酷,zhe'me'ku
这么拼,zhe'me'pin
这么早起,zhe'me'zao'qi
这样嘿,zhe'yang'hei
真的假的啦,zhen'de'jia'de'la
镇海路,zhen'hai'lu
真好命,zhen'hao'ming
真好睡,zhen'hao'shui
珍珠湾,zhen'zhu'wan
郑坂,zheng'ban
郑成功,zheng'cheng'gong
正露丸,zheng'lu'wan
征求志愿,zheng'qiu'zhi'yuan
正山,zheng'shan
正山小种,zheng'shan'xiao'zhong
志彬,zhi'bin
志聪,zhi'cong
志福,zhi'fu
智富惠,zhi'fu'hui
知古斋,zhi'gu'zhai
直航,zhi'hang
志宏,zhi'hong
志煌,zhi'huang
志铭,zhi'ming
置强,zhi'qiang
志清,zhi'qing
志松,zhi'song
志贤,zhi'xian
志阳,zhi'yang
志毅,zhi'yi
钟爱一生,zhong'ai'yi'sheng
众达,zhong'da
中浮,zhong'fu
中孚花园,zhong'fu'hua'yuan
中航城,zhong'hang'cheng
中华城,zhong'hua'cheng
中骏,zhong'jun
忠仑公园,zhong'lun'gong'yuan
中闽百汇,zhong'min'bai'hui
中跑路,zhong'pao'lu
中三路,zhong'san'lu
中山店,zhong'shan'dian
中山街,zhong'shan'jie
中山路,zhong'shan'lu
中山路的,zhong'shan'lu'de
中山路了,zhong'shan'lu'le
中山医院,zhong'shan'yi'yuan
中上路,zhong'shang'lu
中午要不要,zhong'wu'yao'bu'yao
中央美地,zhong'yang'mei'di
中影星美,zhong'ying'xing'mei
钟宅,zhong'zhai
中资源,zhong'zi'yuan
竹坝,zhu'ba
住岛内,zhu'dao'nei
猪高,zhu'gao
猪哥亮,zhu'ge'liang
住给你,zhu'gei'ni
煮好了吗,zhu'hao'le'ma
猪母,zhu'mu
煮啥,zhu'sha
煮什么,zhu'shen'me
煮我的,zhu'wo'de
猪心汤,zhu'xin'tang
煮夜宵,zhu'ye'xiao
赚吃,zhuan'chi
转转乐,zhuan'zhuan'le
庄记,zhuang'ji
庄总,zhuang'zong
自己煮饭,zi'ji'zhu'fan
自律会,zi'lv'hui
自钦楼,zi'qin'lou
自然花,zi'ran'hua
自然家园,zi'ran'jia'yuan
自由班,zi'you'ban
醉芙蓉,zui'fu'rong
最好是啦,zui'hao'shi'la
最好是哦,zui'hao'shi'o
最好是有,zui'hao'shi'you
做茶叶,zuo'cha'ye
做很大,zuo'hen'da
做看看,zuo'kan'kan
