艾杜糖苷酸酶测定,ai'du'tang'gan'suan'mei'ce'ding
血浆因子缺乏筛选试验,xue'jiang'yin'zi'que'fa'shai'xuan'shi'yan
血浆因子抑制物定量测定,xue'jiang'yin'zi'yi'zhi'wu'ding'liang'ce'ding
血浆因子抑制物定性测定,xue'jiang'yin'zi'yi'zhi'wu'ding'xing'ce'ding
血浆游离血红蛋白测定,xue'jiang'you'li'xue'hong'dan'bai'ce'ding
血气分析,xue'qi'fen'xi
血清蛋白电泳测定,xue'qing'dan'bai'dian'yong'ce'ding
血清肌凝蛋白轻链测定,xue'qing'ji'ning'dan'bai'qing'lian'ce'ding
血清可溶性血小板膜糖蛋白检测,xue'qing'ke'rong'xing'xue'xiao'ban'mo'tang'dan'bai'jian'ce
血清杀菌水平测定,xue'qing'sha'jun'shui'ping'ce'ding
血清有机磷酸酯酶测定,xue'qing'you'ji'lin'suan'zhi'mei'ce'ding
血清总抗氧化状态,xue'qing'zong'kang'yang'hua'zhuang'tai
血栓弹力图试验,xue'shuan'tan'li'tu'shi'yan
血细胞荧光原位杂交分析,xue'xi'bao'ying'guang'yuan'wei'za'jiao'fen'xi
血小板钙流测定,xue'xiao'ban'gai'liu'ce'ding
血小板计数,xue'xiao'ban'ji'shu
血小板交叉配合试验,xue'xiao'ban'jiao'cha'pei'he'shi'yan
血小板膜糖蛋白测定,xue'xiao'ban'mo'tang'dan'bai'ce'ding
血小板寿命测定,xue'xiao'ban'shou'ming'ce'ding
血小板形态分析,xue'xiao'ban'xing'tai'fen'xi
血型核酸扩增定性检测,xue'xing'he'suan'kuo'zeng'ding'xing'jian'ce
血型检查,xue'xing'jian'cha
血型鉴定,xue'xing'jian'ding
血型鉴定反定型,xue'xing'jian'ding'fan'ding'xing
血型鉴定正定型,xue'xing'jian'ding'zheng'ding'xing
血型其它抗原鉴定,xue'xing'qi'ta'kang'yuan'jian'ding
血型特异性抗体鉴定,xue'xing'te'yi'xing'kang'ti'jian'ding
血型系统致新生儿溶血病检测,xue'xing'xi'tong'zhi'xin'sheng'er'rong'xue'bing'jian'ce
血液病相关基因定量检测,xue'ye'bing'xiang'guan'ji'yin'ding'liang'jian'ce
血液病相关基因定性检测,xue'ye'bing'xiang'guan'ji'yin'ding'xing'jian'ce
血液弓形虫镜检,xue'ye'gong'xing'chong'jing'jian
血液黑热病利杜氏体镜检,xue'ye'hei're'bing'li'du'shi'ti'jing'jian
血液回归热螺旋体镜检,xue'ye'hui'gui're'luo'xuan'ti'jing'jian
血液或相关体液培养,xue'ye'huo'xiang'guan'ti'ye'pei'yang
血液寄生虫显微镜检查,xue'ye'ji'sheng'chong'xian'wei'jing'jian'cha
血液流变学检查,xue'ye'liu'bian'xue'jian'cha
血液疟原虫镜检,xue'ye'nue'yuan'chong'jing'jian
血液微丝蚴镜检,xue'ye'wei'si'you'jing'jian
血液锌原卟啉测定,xue'ye'xin'yuan'bu'lin'ce'ding
血液一般检查,xue'ye'yi'ban'jian'cha
血友病基因分析,xue'you'bing'ji'yin'fen'xi
血脂及脂蛋白测定,xue'zhi'ji'zhi'dan'bai'ce'ding
循环上皮细胞检测,xun'huan'shang'pi'xi'bao'jian'ce
芽生菌免疫学试验,ya'sheng'jun'mian'yi'xue'shi'yan
亚型鉴定反定型,ya'xing'jian'ding'fan'ding'xing
亚型鉴定正定型,ya'xing'jian'ding'zheng'ding'xing
厌氧菌培养,yan'yang'jun'pei'yang
厌氧菌培养鉴定,yan'yang'jun'pei'yang'jian'ding
厌氧菌培养鉴定药敏,yan'yang'jun'pei'yang'jian'ding'yao'min
厌氧菌药敏试验,yan'yang'jun'yao'min'shi'yan
羊水常规检查,yang'shui'chang'gui'jian'cha
羊水胆红素定性试验,yang'shui'dan'hong'su'ding'xing'shi'yan
羊水结晶检查,yang'shui'jie'jing'jian'cha
羊水细胞染色体分析,yang'shui'xi'bao'ran'se'ti'fen'xi
耶尔森氏菌免疫学试验,ye'er'sen'shi'jun'mian'yi'xue'shi'yan
野兔热土拉杆菌免疫学试验,ye'tu're'tu'la'gan'jun'mian'yi'xue'shi'yan
一般细菌分型,yi'ban'xi'jun'fen'xing
一般细菌革兰染色培养鉴定,yi'ban'xi'jun'ge'lan'ran'se'pei'yang'jian'ding
一般细菌革兰染色培养鉴定药敏,yi'ban'xi'jun'ge'lan'ran'se'pei'yang'jian'ding'yao'min
一般细菌鉴定,yi'ban'xi'jun'jian'ding
一般细菌培养,yi'ban'xi'jun'pei'yang
一般细菌培养鉴定,yi'ban'xi'jun'pei'yang'jian'ding
一般细菌培养鉴定药敏,yi'ban'xi'jun'pei'yang'jian'ding'yao'min
异常红细胞形态检查,yi'chang'hong'xi'bao'xing'tai'jian'cha
遗传性耳聋基因检测,yi'chuan'xing'er'long'ji'yin'jian'ce
遗传性肌营养不良基因分析,yi'chuan'xing'ji'ying'yang'bu'liang'ji'yin'fen'xi
乙醇测定,yi'chun'ce'ding
乙醇胶试验,yi'chun'jiao'shi'yan
胰蛋白酶原测定,yi'dan'bai'mei'yuan'ce'ding
胰岛淀粉样多肽测定,yi'dao'dian'fen'yang'duo'tai'ce'ding
胰岛素样生长因子测定,yi'dao'su'yang'sheng'zhang'yin'zi'ce'ding
胰岛素样生长因子结合蛋白,yi'dao'su'yang'sheng'zhang'yin'zi'jie'he'dan'bai
胰岛素原测定,yi'dao'su'yuan'ce'ding
胰多肽测定,yi'duo'tai'ce'ding
胰多肽鸡蛋刺激试验,yi'duo'tai'ji'dan'ci'ji'shi'yan
胰高糖素样多肽测定,yi'gao'tang'su'yang'duo'tai'ce'ding
胰高血糖素测定,yi'gao'xue'tang'su'ce'ding
疑难交叉配血,yi'nan'jiao'cha'pei'xue
异柠檬酸脱氢酶测定,yi'ning'meng'suan'tuo'qing'mei'ce'ding
已酰氨基葡糖苷酶测定,yi'xian'an'ji'pu'tang'gan'mei'ce'ding
乙酰乙酸测定,yi'xian'yi'suan'ce'ding
一小时尿沉渣计数,yi'xiao'shi'niao'chen'zha'ji'shu
乙型肝炎病毒基因变异检测,yi'xing'gan'yan'bing'du'ji'yin'bian'yi'jian'ce
乙型肝炎病毒基因分型检测,yi'xing'gan'yan'bing'du'ji'yin'fen'xing'jian'ce
乙型肝炎耐药基因检测,yi'xing'gan'yan'nai'yao'ji'yin'jian'ce
乙型流感病毒核糖核酸检测,yi'xing'liu'gan'bing'du'he'tang'he'suan'jian'ce
乙型流感病毒抗原测定,yi'xing'liu'gan'bing'du'kang'yuan'ce'ding
乙型脑炎病毒核糖核酸检测,yi'xing'nao'yan'bing'du'he'tang'he'suan'jian'ce
衣原体检测,yi'yuan'ti'jian'ce
衣原体抗原测定,yi'yuan'ti'kang'yuan'ce'ding
衣原体抗原快速检测,yi'yuan'ti'kang'yuan'kuai'su'jian'ce
衣原体培养鉴定,yi'yuan'ti'pei'yang'jian'ding
衣原体涂片检测,yi'yuan'ti'tu'pian'jian'ce
阴道分泌物胺测定,yin'dao'fen'mi'wu'an'ce'ding
阴道分泌物氨基葡萄糖苷酶检测,yin'dao'fen'mi'wu'an'ji'pu'tao'tang'gan'mei'jian'ce
阴道分泌物白细胞酯酶检测,yin'dao'fen'mi'wu'bai'xi'bao'zhi'mei'jian'ce
阴道分泌物常规检查,yin'dao'fen'mi'wu'chang'gui'jian'cha
阴道分泌物脯氨酸氨基肽酶检测,yin'dao'fen'mi'wu'fu'an'suan'an'ji'tai'mei'jian'ce
阴道分泌物过氧化氢检测,yin'dao'fen'mi'wu'guo'yang'hua'qing'jian'ce
阴道分泌物细胞学检查,yin'dao'fen'mi'wu'xi'bao'xue'jian'cha
阴性确诊试验,yin'xing'que'zhen'shi'yan
因子测定,yin'zi'ce'ding
鹦鹉热衣原体核酸检测,ying'wu're'yi'yuan'ti'he'suan'jian'ce
用药指导的分子生物学检验,yong'yao'zhi'dao'de'fen'zi'sheng'wu'xue'jian'yan
游离皮质醇测定,you'li'pi'zhi'chun'ce'ding
游离轻链测定,you'li'qing'lian'ce'ding
幽门螺杆菌多肽快速检测,you'men'luo'gan'jun'duo'tai'kuai'su'jian'ce
幽门螺杆菌核酸检测,you'men'luo'gan'jun'he'suan'jian'ce
幽门螺杆菌抗原检查,you'men'luo'gan'jun'kang'yuan'jian'cha
幽门螺杆菌尿素酶检测,you'men'luo'gan'jun'niao'su'mei'jian'ce
幽门螺杆菌培养及药敏试验,you'men'luo'gan'jun'pei'yang'ji'yao'min'shi'yan
幽门螺杆菌培养鉴定,you'men'luo'gan'jun'pei'yang'jian'ding
鱼精蛋白纠正试验,yu'jing'dan'bai'jiu'zheng'shi'yan
蔗糖溶血试验,zhe'tang'rong'xue'shi'yan
真菌检测,zhen'jun'jian'ce
真菌鉴定,zhen'jun'jian'ding
真菌快速鉴定,zhen'jun'kuai'su'jian'ding
真菌培养,zhen'jun'pei'yang
真菌培养鉴定,zhen'jun'pei'yang'jian'ding
真菌培养鉴定药敏,zhen'jun'pei'yang'jian'ding'yao'min
真菌药敏定量试验,zhen'jun'yao'min'ding'liang'shi'yan
真菌药敏定性试验,zhen'jun'yao'min'ding'xing'shi'yan
真菌直接涂片镜检,zhen'jun'zhi'jie'tu'pian'jing'jian
致病性大肠菌血清学分型鉴定,zhi'bing'xing'da'chang'jun'xue'qing'xue'fen'xing'jian'ding
脂蛋白电泳分析,zhi'dan'bai'dian'yong'fen'xi
脂多糖结合蛋白测定,zhi'duo'tang'jie'he'dan'bai'ce'ding
志贺菌血清学分型鉴定,zhi'he'jun'xue'qing'xue'fen'xing'jian'ding
指甲肌酐测定,zhi'jia'ji'gan'ce'ding
直接涂片革兰染色镜检,zhi'jie'tu'pian'ge'lan'ran'se'jing'jian
直接涂片革兰染色镜检查真菌,zhi'jie'tu'pian'ge'lan'ran'se'jing'jian'cha'zhen'jun
直接涂片抗酸染色镜检,zhi'jie'tu'pian'kang'suan'ran'se'jing'jian
直接涂片荧光染色镜检,zhi'jie'tu'pian'ying'guang'ran'se'jing'jian
脂类染色,zhi'lei'ran'se
治疗药物浓度测定,zhi'liao'yao'wu'nong'du'ce'ding
酯酶染色,zhi'mei'ran'se
支原体检测,zhi'yuan'ti'jian'ce
支原体培养鉴定,zhi'yuan'ti'pei'yang'jian'ding
支原体药敏试验,zhi'yuan'ti'yao'min'shi'yan
中分辨基因分型检测,zhong'fen'bian'ji'yin'fen'xing'jian'ce
肿瘤分子生物学检验,zhong'liu'fen'zi'sheng'wu'xue'jian'yan
肿瘤坏死因子受体测定,zhong'liu'huai'si'yin'zi'shou'ti'ce'ding
肿瘤细胞花环试验,zhong'liu'xi'bao'hua'huan'shi'yan
肿瘤细胞化疗药物敏感试验,zhong'liu'xi'bao'hua'liao'yao'wu'min'gan'shi'yan
肿瘤相关抗原测定,zhong'liu'xiang'guan'kang'yuan'ce'ding
肿瘤相关物质测定,zhong'liu'xiang'guan'wu'zhi'ce'ding
终末补体复合物测定,zhong'mo'bu'ti'fu'he'wu'ce'ding
中性粒细胞碱性磷酸酶染色,zhong'xing'li'xi'bao'jian'xing'lin'suan'mei'ran'se
中性粒细胞趋化功能试验,zhong'xing'li'xi'bao'qu'hua'gong'neng'shi'yan
猪囊尾蚴抗原测定,zhu'nang'wei'you'kang'yuan'ce'ding
自动细胞离心涂片革兰染色镜检,zi'dong'xi'bao'li'xin'tu'pian'ge'lan'ran'se'jing'jian
自动细胞离心涂片抗酸染色镜检,zi'dong'xi'bao'li'xin'tu'pian'kang'suan'ran'se'jing'jian
自分泌胰抑制测定,zi'fen'mi'yi'yi'zhi'ce'ding
自然杀伤淋巴细胞功能试验,zi'ran'sha'shang'lin'ba'xi'bao'gong'neng'shi'yan
自身抗体检测,zi'shen'kang'ti'jian'ce
总氨基己糖苷酶测定,zong'an'ji'ji'tang'gan'mei'ce'ding
总补体测定,zong'bu'ti'ce'ding
族链球菌抗原检测,zu'lian'qiu'jun'kang'yuan'jian'ce
组织胞浆菌免疫学试验,zu'zhi'bao'jiang'jun'mian'yi'xue'shi'yan
