安全带,an'quan'dai
弯曲扭转弯曲扭转,wan'qu'niu'zhuan'wan'qu'niu'zhuan
网架结构,wang'jia'jie'gou
网架结构格构梁结构,wang'jia'jie'gou'ge'gou'liang'jie'gou
微分方程数值解,wei'fen'fang'cheng'shu'zhi'jie
未夯实回填土,wei'hang'shi'hui'tian'tu
伪悬链线,wei'xuan'lian'xian
围堰,wei'yan
围堰坝,wei'yan'ba
位移,wei'yi
位移代替,wei'yi'dai'ti
位移法,wei'yi'fa
位移方程位移方程式,wei'yi'fang'cheng'wei'yi'fang'cheng'shi
位移角,wei'yi'jiao
位移移置,wei'yi'yi'zhi
稳定系数,wen'ding'xi'shu
温度变化作用,wen'du'bian'hua'zuo'yong
温度防腐作用,wen'du'fang'fu'zuo'yong
温度荷载,wen'du'he'zai
温度梯度,wen'du'ti'du
温度梯度法,wen'du'ti'du'fa
温度作用温度作用,wen'du'zuo'yong'wen'du'zuo'yong
屋顶结构形式,wu'ding'jie'gou'xing'shi
坞工码头工,wu'gong'ma'tou'gong
坞工坞工,wu'gong'wu'gong
无铰的框架,wu'jiao'de'kuang'jia
无铰拱,wu'jiao'gong
无铰框架,wu'jiao'kuang'jia
物流企业安全平台支撑体系,wu'liu'qi'ye'an'quan'ping'tai'zhi'cheng'ti'xi
无粘结预应力混凝土结构,wu'nian'jie'yu'ying'li'hun'ning'tu'jie'gou
无穷的,wu'qiong'de
无压力式涵洞,wu'ya'li'shi'han'dong
无压力梯度流动,wu'ya'li'ti'du'liu'dong
无压力无压力,wu'ya'li'wu'ya'li
无翼墙桥台,wu'yi'qiang'qiao'tai
无应力状态,wu'ying'li'zhuang'tai
无约束条件,wu'yue'shu'tiao'jian
系杆拱,xi'gan'gong
稀水泥浆,xi'shui'ni'jiang
系统误差,xi'tong'wu'cha
西行车道,xi'xing'che'dao
吸音道路面层,xi'yin'dao'lu'mian'ceng
下部结构,xia'bu'jie'gou
峡谷,xia'gu
下拉索,xia'la'suo
下模板,xia'mu'ban
现场灌注桩,xian'chang'guan'zhu'zhuang
线路养护,xian'lu'yang'hu
纤维喷射混凝土,xian'wei'pen'she'hun'ning'tu
线性,xian'xing
线性代数,xian'xing'dai'shu
线性有限元法,xian'xing'you'xian'yuan'fa
先张法,xian'zhang'fa
先张法预应力,xian'zhang'fa'yu'ying'li
向岸冰压力,xiang'an'bing'ya'li
相对密度,xiang'dui'mi'du
相对密度环,xiang'dui'mi'du'huan
相对密度计,xiang'dui'mi'du'ji
相反的,xiang'fan'de
乡郊地区乡郊地区,xiang'jiao'di'qu'xiang'jiao'di'qu
橡胶垫圈,xiang'jiao'dian'quan
箱梁箱梁,xiang'liang'xiang'liang
相平衡条件,xiang'ping'heng'tiao'jian
向切线,xiang'qie'xian
相容质量矩阵,xiang'rong'zhi'liang'ju'zhen
小比例尺海图,xiao'bi'li'chi'hai'tu
小比例尺图,xiao'bi'li'chi'tu
小比例尺小比例尺,xiao'bi'li'chi'xiao'bi'li'chi
消除残余应力,xiao'chu'can'yu'ying'li
销钉拼接板,xiao'ding'pin'jie'ban
小客车,xiao'ke'che
小卵石,xiao'luan'shi
斜底板,xie'di'ban
斜横梁,xie'heng'liang
斜交,xie'jiao
斜交桥,xie'jiao'qiao
斜交桥斜桥,xie'jiao'qiao'xie'qiao
斜节理,xie'jie'li
斜拉桥,xie'la'qiao
斜拉桥斜张桥,xie'la'qiao'xie'zhang'qiao
斜坡,xie'po
泄水管,xie'shui'guan
泄水管路,xie'shui'guan'lu
协调的,xie'tiao'de
斜桩,xie'zhuang
行车道,xing'che'dao
行车道路面路面行车道,xing'che'dao'lu'mian'lu'mian'xing'che'dao
形成应力集中的因素,xing'cheng'ying'li'ji'zhong'de'yin'su
形刚构桥,xing'gang'gou'qiao
形箍筋,xing'gu'jin
型河床,xing'he'chuang
形心,xing'xin
形状函数,xing'zhuang'han'shu
徐变,xu'bian
虚功原理,xu'gong'yuan'li
虚偏心距,xu'pian'xin'ju
虚位移法,xu'wei'yi'fa
虚支路,xu'zhi'lu
悬臂法悬臂拼装法,xuan'bi'fa'xuan'bi'pin'zhuang'fa
悬臂架设法,xuan'bi'jia'she'fa
悬臂浇筑法,xuan'bi'jiao'zhu'fa
悬臂连续梁,xuan'bi'lian'xu'liang
悬臂梁,xuan'bi'liang
悬臂梁长,xuan'bi'liang'chang
悬孔,xuan'kong
悬跨度悬孔,xuan'kua'du'xuan'kong
悬链线,xuan'lian'xian
悬链线长,xuan'lian'xian'chang
悬索高架桥悬索高架桥,xuan'suo'gao'jia'qiao'xuan'suo'gao'jia'qiao
悬索桥,xuan'suo'qiao
悬崖,xuan'ya
选择实体,xuan'ze'shi'ti
削弱,xue'ruo
雅可比矩阵,ya'ke'bi'ju'zhen
雅可比矩阵导数矩阵,ya'ke'bi'ju'zhen'dao'shu'ju'zhen
雅可比矩阵法,ya'ke'bi'ju'zhen'fa
压力计,ya'li'ji
压应力,ya'ying'li
堰坝量水堰,yan'ba'liang'shui'yan
堰坝堰坝,yan'ba'yan'ba
岩拱脚,yan'gong'jiao
延缓剂,yan'huan'ji
岩浆,yan'jiang
岩石力学,yan'shi'li'xue
验算,yan'suan
验算公式,yan'suan'gong'shi
岩土力学,yan'tu'li'xue
岩土力学性质,yan'tu'li'xue'xing'zhi
堰堰坝,yan'yan'ba
杨钢桥,yang'gang'qiao
氧结合力,yang'jie'he'li
业建模,ye'jian'mo
液压机结构优化设计软件包,ye'ya'ji'jie'gou'you'hua'she'ji'ruan'jian'bao
一级公路,yi'ji'gong'lu
一级公路网,yi'ji'gong'lu'wang
依限最佳设计,yi'xian'zui'jia'she'ji
一致节点荷载,yi'zhi'jie'dian'he'zai
乙支路,yi'zhi'lu
以自重桥梁结构预应力法,yi'zi'zhong'qiao'liang'jie'gou'yu'ying'li'fa
引道,yin'dao
引道版,yin'dao'ban
引道坡,yin'dao'po
应变,ying'bian
应变计,ying'bian'ji
应变矩阵,ying'bian'ju'zhen
应变量,ying'bian'liang
应变量测,ying'bian'liang'ce
应变三角形单元体,ying'bian'san'jiao'xing'dan'yuan'ti
应变时效,ying'bian'shi'xiao
应变时效钢,ying'bian'shi'xiao'gang
英国土木工程师协会,ying'guo'tu'mu'gong'cheng'shi'xie'hui
应力,ying'li
应力倒向应力变为相反的方向,ying'li'dao'xiang'ying'li'bian'wei'xiang'fan'de'fang'xiang
应力方向应力方向,ying'li'fang'xiang'ying'li'fang'xiang
应力分析,ying'li'fen'xi
应力幅值应力幅值,ying'li'fu'zhi'ying'li'fu'zhi
应力集中,ying'li'ji'zhong
应力集中点,ying'li'ji'zhong'dian
应力集中器,ying'li'ji'zhong'qi
应力集中因素,ying'li'ji'zhong'yin'su
应力矩阵,ying'li'ju'zhen
应力矩阵计算,ying'li'ju'zhen'ji'suan
应力图,ying'li'tu
应力应变关系,ying'li'ying'bian'guan'xi
应力应变关系曲线,ying'li'ying'bian'guan'xi'qu'xian
应力应变矩阵,ying'li'ying'bian'ju'zhen
应力应变图,ying'li'ying'bian'tu
应力应变图面积,ying'li'ying'bian'tu'mian'ji
应力增大系数,ying'li'zeng'da'xi'shu
应力状态,ying'li'zhuang'tai
硬路肩,ying'lu'jian
硬石膏,ying'shi'gao
影响面,ying'xiang'mian
影响线,ying'xiang'xian
影响线方程,ying'xiang'xian'fang'cheng
永久冻土,yong'jiu'dong'tu
永久冻土台,yong'jiu'dong'tu'tai
永久冻土永久冻土,yong'jiu'dong'tu'yong'jiu'dong'tu
永久水准基点,yong'jiu'shui'zhun'ji'dian
永久作用标准值,yong'jiu'zuo'yong'biao'zhun'zhi
永久作用永久作用,yong'jiu'zuo'yong'yong'jiu'zuo'yong
用冷拔钢丝切碎的金属粒钢丝粒,yong'leng'ba'gang'si'qie'sui'de'jin'shu'li'gang'si'li
有粘结预应力混凝土结构,you'nian'jie'yu'ying'li'hun'ning'tu'jie'gou
有说服力的,you'shuo'fu'li'de
有说服力的案例,you'shuo'fu'li'de'an'li
有说服力的骗子,you'shuo'fu'li'de'pian'zi
优先设置,you'xian'she'zhi
有限应变量,you'xian'ying'bian'liang
有限元法,you'xian'yuan'fa
有限元分析,you'xian'yuan'fen'xi
有限元分析软件,you'xian'yuan'fen'xi'ruan'jian
有效内摩擦角,you'xiao'nei'mo'ca'jiao
预处理程序预处理器,yu'chu'li'cheng'xu'yu'chu'li'qi
预处理器,yu'chu'li'qi
预处理器前处理器前处理,yu'chu'li'qi'qian'chu'li'qi'qian'chu'li
预混合料,yu'hun'he'liao
预加力,yu'jia'li
雨水管,yu'shui'guan
与同济大学,yu'tong'ji'da'xue
预应力钢筋,yu'ying'li'gang'jin
预应力钢筋束,yu'ying'li'gang'jin'shu
预应力钢筋束预应力钢筋束,yu'ying'li'gang'jin'shu'yu'ying'li'gang'jin'shu
预应力钢筋松弛,yu'ying'li'gang'jin'song'chi
预应力混凝土,yu'ying'li'hun'ning'tu
预应力混凝土管,yu'ying'li'hun'ning'tu'guan
预应力混凝土结构设计软件,yu'ying'li'hun'ning'tu'jie'gou'she'ji'ruan'jian
预应力混凝土梁,yu'ying'li'hun'ning'tu'liang
预应力组件预应力组件,yu'ying'li'zu'jian'yu'ying'li'zu'jian
预制混凝土板,yu'zhi'hun'ning'tu'ban
预制混凝土厂房,yu'zhi'hun'ning'tu'chang'fang
预制先张法梁,yu'zhi'xian'zhang'fa'liang
圆拱顶,yuan'gong'ding
圆木桥,yuan'mu'qiao
圆台锥体圆锥松果,yuan'tai'zhui'ti'yuan'zhui'song'guo
原有安全度,yuan'you'an'quan'du
圆柱体,yuan'zhu'ti
圆柱体量筒,yuan'zhu'ti'liang'tong
圆柱体汽缸铁桶,yuan'zhu'ti'qi'gang'tie'tong
圆锥贯入仪,yuan'zhui'guan'ru'yi
圆锥角,yuan'zhui'jiao
圆锥体球果,yuan'zhui'ti'qiu'guo
月饼,yue'bing
约束条件,yue'shu'tiao'jian
约束条件式,yue'shu'tiao'jian'shi
运动方程数值解,yun'dong'fang'cheng'shu'zhi'jie
载荷步,zai'he'bu
在两条线的过渡生成线,zai'liang'tiao'xian'de'guo'du'sheng'cheng'xian
再循环,zai'xun'huan
再循环泵,zai'xun'huan'beng
再循环水,zai'xun'huan'shui
增大系数,zeng'da'xi'shu
增强剂,zeng'qiang'ji
轧制钢,zha'zhi'gang
轧制钢槽,zha'zhi'gang'cao
轧制钢托梁,zha'zhi'gang'tuo'liang
栈道,zhan'dao
招标,zhao'biao
找出最小值,zhao'chu'zui'xiao'zhi
沼泽,zhao'ze
折减系数,zhe'jian'xi'shu
振荡,zhen'dang
振荡器,zhen'dang'qi
振捣器,zhen'dao'qi
枕木,zhen'mu
真内摩擦角,zhen'nei'mo'ca'jiao
震群,zhen'qun
正常使用极限状态,zheng'chang'shi'yong'ji'xian'zhuang'tai
正常使用极限状态验证,zheng'chang'shi'yong'ji'xian'zhuang'tai'yan'zheng
正交各向异性的,zheng'jiao'ge'xiang'yi'xing'de
正交直线,zheng'jiao'zhi'xian
正交直线扫描,zheng'jiao'zhi'xian'sao'miao
正交直线组,zheng'jiao'zhi'xian'zu
正铺设,zheng'pu'she
整体刚度矩阵,zheng'ti'gang'du'ju'zhen
支撑,zhi'cheng
支撑刚性梁加劲梁横撑,zhi'cheng'gang'xing'liang'jia'jin'liang'heng'cheng
支承构件,zhi'cheng'gou'jian
支承加劲肋,zhi'cheng'jia'jin'lei
支撑体系支撑体系,zhi'cheng'ti'xi'zhi'cheng'ti'xi
支撑物,zhi'cheng'wu
支撑轴,zhi'cheng'zhou
制动颤振,zhi'dong'chan'zhen
制动力系数,zhi'dong'li'xi'shu
直钢筋条,zhi'gang'jin'tiao
直径,zhi'jing
致冷剂,zhi'leng'ji
致冷剂回路,zhi'leng'ji'hui'lu
枝力法,zhi'li'fa
直梁,zhi'liang
直梁法,zhi'liang'fa
直梁接合,zhi'liang'jie'he
质量矩阵,zhi'liang'ju'zhen
质量作用效应,zhi'liang'zuo'yong'xiao'ying
支路,zhi'lu
直斜路直斜路,zhi'xie'lu'zhi'xie'lu
质心,zhi'xin
支座,zhi'zuo
重结构力学,zhong'jie'gou'li'xue
重力标准值,zhong'li'biao'zhun'zhi
重力加速度,zhong'li'jia'su'du
重力加速度场,zhong'li'jia'su'du'chang
重心,zhong'xin
中性面,zhong'xing'mian
中性面高度,zhong'xing'mian'gao'du
中央路栏中央路栏,zhong'yang'lu'lan'zhong'yang'lu'lan
重要道路网,zhong'yao'dao'lu'wang
重要道路重要道路,zhong'yao'dao'lu'zhong'yao'dao'lu
重要道路走廊,zhong'yao'dao'lu'zou'lang
轴对称,zhou'dui'chen
轴惯性矩,zhou'guan'xing'ju
轴力轴力,zhou'li'zhou'li
轴线,zhou'xian
轴线弯曲并扭转扭曲,zhou'xian'wan'qu'bing'niu'zhuan'niu'qu
轴向拉力,zhou'xiang'la'li
轴向拉力轴向拉伸,zhou'xiang'la'li'zhou'xiang'la'shen
轴向拉力轴向张力,zhou'xiang'la'li'zhou'xiang'zhang'li
轴向力,zhou'xiang'li
轴转角,zhou'zhuan'jiao
注册土木工程师,zhu'ce'tu'mu'gong'cheng'shi
主动土压力,zhu'dong'tu'ya'li
主动土压力系数,zhu'dong'tu'ya'li'xi'shu
主钢筋,zhu'gang'jin
助剂饱和密度,zhu'ji'bao'he'mi'du
主拉应力,zhu'la'ying'li
主梁,zhu'liang
主梁截面主梁截面,zhu'liang'jie'mian'zhu'liang'jie'mian
主梁翼,zhu'liang'yi
柱列,zhu'lie
柱塞,zhu'sai
主塔,zhu'ta
铸铁,zhu'tie
铸铁锭,zhu'tie'ding
铸铁管,zhu'tie'guan
铸铁雨水管,zhu'tie'yu'shui'guan
主效应,zhu'xiao'ying
主效应模型,zhu'xiao'ying'mo'xing
抓斗龙门吊,zhua'dou'long'men'diao
转换矩阵,zhuan'huan'ju'zhen
转换矩阵法,zhuan'huan'ju'zhen'fa
转角,zhuan'jiao
专门工程分包合约,zhuan'men'gong'cheng'fen'bao'he'yue
转体法转体架桥法,zhuan'ti'fa'zhuan'ti'jia'qiao'fa
转子位移角,zhuan'zi'wei'yi'jiao
桩承台,zhuang'cheng'tai
撞击变质作用,zhuang'ji'bian'zhi'zuo'yong
桩基础,zhuang'ji'chu
撞击作用,zhuang'ji'zuo'yong
装煤便桥,zhuang'mei'bian'qiao
桩排架,zhuang'pai'jia
装配式房屋,zhuang'pei'shi'fang'wu
装配式钢体,zhuang'pei'shi'gang'ti
装配式预制的,zhuang'pei'shi'yu'zhi'de
装配式预制混凝土环,zhuang'pei'shi'yu'zhi'hun'ning'tu'huan
装配式预制装配式预制,zhuang'pei'shi'yu'zhi'zhuang'pei'shi'yu'zhi
装配式装配式桥,zhuang'pei'shi'zhuang'pei'shi'qiao
缀板,zhui'ban
准永久值作用准永久值,zhun'yong'jiu'zhi'zuo'yong'zhun'yong'jiu'zhi
准正交各向异性的,zhun'zheng'jiao'ge'xiang'yi'xing'de
自紧式弹性金属垫片,zi'jin'shi'tan'xing'jin'shu'dian'pian
自流水静压力,zi'liu'shui'jing'ya'li
自行车道,zi'xing'che'dao
自行车道专供自行车行驶的车道,zi'xing'che'dao'zhuan'gong'zi'xing'che'xing'shi'de'che'dao
自行车通行自行车通行,zi'xing'che'tong'xing'zi'xing'che'tong'xing
自由度,zi'you'du
自振频率,zi'zhen'pin'lv
自振周期,zi'zhen'zhou'qi
纵断面,zong'duan'mian
纵节理,zong'jie'li
纵梁,zong'liang
纵梁联结系,zong'liang'lian'jie'xi
总平面图,zong'ping'mian'tu
纵坡,zong'po
纵坡线,zong'po'xian
总收缩量,zong'shou'suo'liang
总体设计,zong'ti'she'ji
总体设计概念,zong'ti'she'ji'gai'nian
纵向联结系,zong'xiang'lian'jie'xi
纵向配筋率,zong'xiang'pei'jin'lv
总应力分析,zong'ying'li'fen'xi
组合恒载,zu'he'heng'zai
组合截面,zu'he'jie'mian
阻力系数,zu'li'xi'shu
阻尼,zu'ni
阻尼矩阵,zu'ni'ju'zhen
组元集合,zu'yuan'ji'he
钻柱扭转角,zuan'zhu'niu'zhuan'jiao
最不利分布,zui'bu'li'fen'bu
最大剪应变能量理论,zui'da'jian'ying'bian'neng'liang'li'lun
最大剪应变能学说,zui'da'jian'ying'bian'neng'xue'shuo
最大剪应变最大剪应变,zui'da'jian'ying'bian'zui'da'jian'ying'bian
最大剪应力,zui'da'jian'ying'li
最大剪应力面,zui'da'jian'ying'li'mian
最大剪应力值,zui'da'jian'ying'li'zhi
最大抗张强度极限抗拉强度,zui'da'kang'zhang'qiang'du'ji'xian'kang'la'qiang'du
最大弯矩图,zui'da'wan'ju'tu
最大应力,zui'da'ying'li
最大应力方向,zui'da'ying'li'fang'xiang
最大应力理论,zui'da'ying'li'li'lun
最大阵风强度的设计速度,zui'da'zhen'feng'qiang'du'de'she'ji'su'du
最大值,zui'da'zhi
最大值原理,zui'da'zhi'yuan'li
最高容车量,zui'gao'rong'che'liang
最佳设计,zui'jia'she'ji
最佳设计奖,zui'jia'she'ji'jiang
最小二乘法,zui'xiao'er'cheng'fa
最小配筋率,zui'xiao'pei'jin'lv
最小势能法原理,zui'xiao'shi'neng'fa'yuan'li
最小势能原理,zui'xiao'shi'neng'yuan'li
最小值,zui'xiao'zhi
最优化,zui'you'hua
最优形状函数,zui'you'xing'zhuang'han'shu
最终弯矩图,zui'zhong'wan'ju'tu
坐标系,zuo'biao'xi
座标系,zuo'biao'xi
坐标系坐标系统推论,zuo'biao'xi'zuo'biao'xi'tong'tui'lun
坐标转换矩阵,zuo'biao'zhuan'huan'ju'zhen
作用,zuo'yong
作用标准值,zuo'yong'biao'zhun'zhi
作用标准值作用标准值,zuo'yong'biao'zhun'zhi'zuo'yong'biao'zhun'zhi
作用代表值,zuo'yong'dai'biao'zhi
作用代表值作用代表值,zuo'yong'dai'biao'zhi'zuo'yong'dai'biao'zhi
作用分项系数,zuo'yong'fen'xiang'xi'shu
作用频遇值作用频遇值,zuo'yong'pin'yu'zhi'zuo'yong'pin'yu'zhi
作用设计值,zuo'yong'she'ji'zhi
作用效应基本组合,zuo'yong'xiao'ying'ji'ben'zu'he
作用效应偶然组合,zuo'yong'xiao'ying'ou'ran'zu'he
作用效应设计值作用效应设计值,zuo'yong'xiao'ying'she'ji'zhi'zuo'yong'xiao'ying'she'ji'zhi
作用效应组合作用效应组合,zuo'yong'xiao'ying'zu'he'zuo'yong'xiao'ying'zu'he
作用效应作用效应,zuo'yong'xiao'ying'zuo'yong'xiao'ying
作用准永久值作用准永久值,zuo'yong'zhun'yong'jiu'zhi'zuo'yong'zhun'yong'jiu'zhi
