爱而不能令,ai'er'bu'neng'ling
知战之日,zhi'zhan'zhi'ri
支者,zhi'zhe
智者不能谋,zhi'zhe'bu'neng'mou
知之必在于反间,zhi'zhi'bi'zai'yu'fan'jian
知之者胜,zhi'zhi'zhe'sheng
众不能知,zhong'bu'neng'zhi
众草多障者,zhong'cao'duo'zhang'zhe
重地吾将继其食,zhong'di'wu'jiang'ji'qi'shi
重地也,zhong'di'ye
重地则掠,zhong'di'ze'lue
终而复始,zhong'er'fu'shi
众寡不相恃,zhong'gua'bu'xiang'shi
众树动者,zhong'shu'dong'zhe
众者,zhong'zhe
昼风久,zhou'feng'jiu
昼气惰,zhou'qi'duo
昼战多旌旗,zhou'zhan'duo'jing'qi
周之兴也,zhou'zhi'xing'ye
主必知之,zhu'bi'zhi'zhi
主不可以怒而兴师,zhu'bu'ke'yi'nu'er'xing'shi
诸刿之勇也,zhu'gui'zhi'yong'ye
诸侯之地三属,zhu'hou'zhi'di'san'zhu
诸侯自战其地者,zhu'hou'zi'zhan'qi'di'zhe
主人不克,zhu'ren'bu'ke
主孰有道,zhu'shu'you'dao
主曰必战,zhu'yue'bi'zhan
主曰无战,zhu'yue'wu'zhan
谆谆翕翕,zhun'zhun'xi'xi
走者,zou'zhe
卒离而不集,zu'li'er'bu'ji
卒强吏弱,zu'qiang'li'ruo
卒善而养之,zu'shan'er'yang'zhi
卒未亲而罚之,zu'wei'qin'er'fa'zhi
足以并力料敌取人而已,zu'yi'bing'li'liao'di'qu'ren'er'yi
卒已亲附而罚不行,zu'yi'qin'fu'er'fa'bu'xing
左右谒者门者舍人之姓名,zuo'you'ye'zhe'men'zhe'she'ren'zhi'xing'ming
作战第二,zuo'zhan'di'er
