阿兵哥,a'bing'ge
我到福州了,wo'dao'fu'zhou'le
沃德,wo'de
我都可以啊,wo'dou'ke'yi'a
我都在家里,wo'dou'zai'jia'li
我读书了,wo'du'shu'le
我福建,wo'fu'jian
我福清,wo'fu'qing
我福州,wo'fu'zhou
我福州的,wo'fu'zhou'de
我干嘛咯,wo'gan'ma'ge
我歌,wo'ge
我姑丈,wo'gu'zhang
我还在福州,wo'hai'zai'fu'zhou
我好困了,wo'hao'kun'le
我很火,wo'hen'huo
我很困了,wo'hen'kun'le
我后桌,wo'hou'zhuo
我会怕,wo'hui'pa
我叫餐,wo'jiao'can
我看过去,wo'kan'guo'qu
我看下吧,wo'kan'xia'ba
我来福州,wo'lai'fu'zhou
卧龙谷,wo'long'gu
我蛮说,wo'man'shuo
我蛮说的,wo'man'shuo'de
我没这么快,wo'mei'zhe'me'kuai
我没这么早,wo'mei'zhe'me'zao
我们年段,wo'men'nian'duan
我们去睡觉,wo'men'qu'shui'jiao
我起先,wo'qi'xian
我前桌,wo'qian'zhuo
我去读书了,wo'qu'du'shu'le
我去福州,wo'qu'fu'zhou
我去睡,wo'qu'shui
我去睡会,wo'qu'shui'hui
我去睡会儿,wo'qu'shui'hui'er
我去睡觉了,wo'qu'shui'jiao'le
我去睡觉咯,wo'qu'shui'jiao'lo
我去睡啦,wo'qu'shui'la
我去睡了,wo'qu'shui'le
我去睡了哈,wo'qu'shui'le'ha
我去睡咯,wo'qu'shui'lo
我去睡一会,wo'qu'shui'yi'hui
我去厦门,wo'qu'xia'men
我去休息了,wo'qu'xiu'xi'le
我去做事,wo'qu'zuo'shi
我去做事了,wo'qu'zuo'shi'le
我去做作业,wo'qu'zuo'zuo'ye
我去做作业了,wo'qu'zuo'zuo'ye'le
我舍友,wo'she'you
我是福州,wo'shi'fu'zhou
我洗澡下,wo'xi'zao'xia
我先去睡,wo'xian'qu'shui
我先去睡觉,wo'xian'qu'shui'jiao
我先去睡觉了,wo'xian'qu'shui'jiao'le
我先去睡了,wo'xian'qu'shui'le
我先做事,wo'xian'zuo'shi
我要看下,wo'yao'kan'xia
我要去睡,wo'yao'qu'shui
我要去睡觉,wo'yao'qu'shui'jiao
我要去睡觉了,wo'yao'qu'shui'jiao'le
我要去睡了,wo'yao'qu'shui'le
我也不懂啊,wo'ye'bu'dong'a
我也不懂的,wo'ye'bu'dong'de
我也去睡,wo'ye'qu'shui
我也去睡觉,wo'ye'qu'shui'jiao
我也去睡了,wo'ye'qu'shui'le
我也要去睡了,wo'ye'yao'qu'shui'le
我也有看,wo'ye'you'kan
我也有去,wo'ye'you'qu
我也在福州,wo'ye'zai'fu'zhou
我有带,wo'you'dai
我又干嘛了,wo'you'gan'ma'le
我有和,wo'you'he
我有叫,wo'you'jiao
我有买,wo'you'mai
我有没,wo'you'mei
我有去,wo'you'qu
我有玩,wo'you'wan
我有问,wo'you'wen
我在宝龙,wo'zai'bao'long
我在长乐,wo'zai'chang'le
我在福建,wo'zai'fu'jian
我在福清,wo'zai'fu'qing
我在福州,wo'zai'fu'zhou
我在福州啊,wo'zai'fu'zhou'a
我在福州了,wo'zai'fu'zhou'le
我在福州呢,wo'zai'fu'zhou'ne
我在金山,wo'zai'jin'shan
我在连江,wo'zai'lian'jiang
我在平潭,wo'zai'ping'tan
我在学生街,wo'zai'xue'sheng'jie
我怎么都不知道,wo'zen'me'dou'bu'zhi'dao
我怎么知道咯,wo'zen'me'zhi'dao'ge
我周天,wo'zhou'tian
我做卫生,wo'zuo'wei'sheng
梧村,wu'cun
吴导,wu'dao
五凤,wu'feng
五福天桥,wu'fu'tian'qiao
物构所,wu'gou'suo
吴航,wu'hang
五花马,wu'hua'ma
五里亭,wu'li'ting
五马山,wu'ma'shan
五年专,wu'nian'zhuan
武平,wu'ping
武平县,wu'ping'xian
五区八县,wu'qu'ba'xian
乌山,wu'shan
乌山路,wu'shan'lu
乌山路口,wu'shan'lu'kou
乌山桥西,wu'shan'qiao'xi
乌山西路,wu'shan'xi'lu
五四,wu'si
五四北,wu'si'bei
五四北路,wu'si'bei'lu
五四路,wu'si'lu
五四路口,wu'si'lu'kou
物业处,wu'ye'chu
五一北路,wu'yi'bei'lu
五一店,wu'yi'dian
五一广场,wu'yi'guang'chang
武夷绿洲,wu'yi'lv'zhou
五一南路,wu'yi'nan'lu
武夷山,wu'yi'shan
武夷山市,wu'yi'shan'shi
武夷学院,wu'yi'xue'yuan
五一中路,wu'yi'zhong'lu
无语掉,wu'yu'diao
五洲佳豪,wu'zhou'jia'hao
五专,wu'zhuan
西禅师,xi'chan'shi
西禅寺,xi'chan'si
西航路,xi'hang'lu
西洪路,xi'hong'lu
西湖公园,xi'hu'gong'yuan
西客站,xi'ke'zhan
喜娘,xi'niang
溪山,xi'shan
西天尾,xi'tian'wei
西亭,xi'ting
溪头,xi'tou
习网,xi'wang
洗下澡,xi'xia'zao
西洋路,xi'yang'lu
洗衣池,xi'yi'chi
西营里,xi'ying'li
喜盈门,xi'ying'men
西园,xi'yuan
洗澡下,xi'zao'xia
洗直,xi'zhi
西庄,xi'zhuang
下安,xia'an
下白石,xia'bai'shi
下臂,xia'bi
下宫,xia'gong
虾姑,xia'gu
厦航,xia'hang
下浒,xia'hu
下临床,xia'lin'chuang
厦门北,xia'men'bei
厦门的,xia'men'de
厦门航空,xia'men'hang'kong
厦门好,xia'men'hao
厦门啦,xia'men'la
厦门去,xia'men'qu
厦门玩,xia'men'wan
峡南,xia'nan
霞浦,xia'pu
霞浦县,xia'pu'xian
夏日祭,xia'ri'ji
霞盛,xia'sheng
吓死掉,xia'si'diao
虾油,xia'you
下院,xia'yuan
厦漳泉,xia'zhang'quan
下周天,xia'zhou'tian
下祝,xia'zhu
仙草冻,xian'cao'dong
仙草蜜,xian'cao'mi
仙草南路,xian'cao'nan'lu
现管,xian'guan
嫌七嫌八,xian'qi'xian'ba
先去睡,xian'qu'shui
先去睡吧,xian'qu'shui'ba
先去睡觉,xian'qu'shui'jiao
先去睡了,xian'qu'shui'le
仙人井,xian'ren'jing
先施,xian'shi
仙塔街,xian'ta'jie
仙游,xian'you
仙游县,xian'you'xian
祥板,xiang'ban
祥坂路口,xiang'ban'lu'kou
向高,xiang'gao
向高街,xiang'gao'jie
箱规,xiang'gui
香开,xiang'kai
想七想八,xiang'qi'xiang'ba
祥谦,xiang'qian
向我要,xiang'wo'yao
向阳坊,xiang'yang'fang
象园,xiang'yuan
象园头,xiang'yuan'tou
校吧,xiao'ba
小测,xiao'ce
小福州,xiao'fu'zhou
小格,xiao'ge
小金星,xiao'jin'xing
小米粉,xiao'mi'fen
效能办,xiao'neng'ban
小桥街,xiao'qiao'jie
小桥头,xiao'qiao'tou
小钦,xiao'qin
小丘,xiao'qiu
笑什么咯,xiao'shen'me'ge
小时多,xiao'shi'duo
笑死掉,xiao'si'diao
小翁,xiao'weng
小希尔顿,xiao'xi'er'dun
小小只,xiao'xiao'zhi
校选,xiao'xuan
校选课,xiao'xuan'ke
逍遥宫,xiao'yao'gong
小鱼小牛,xiao'yu'xiao'niu
小中考,xiao'zhong'kao
谢导,xie'dao
斜海,xie'hai
协和学院,xie'he'xue'yuan
心巢,xin'chao
新店,xin'dian
新店镇,xin'dian'zhen
新华都,xin'hua'du
心家泊,xin'jia'bo
鑫杰,xin'jie
新奇特,xin'qi'te
新山福,xin'shan'fu
新师大,xin'shi'da
新天宇,xin'tian'yu
新庭芳苑,xin'ting'fang'yuan
新状元,xin'zhuang'yuan
新紫阳,xin'zi'yang
兴才,xing'cai
幸福城,xing'fu'cheng
兴福兴,xing'fu'xing
兴化粉,xing'hua'fen
星网锐捷,xing'wang'rui'jie
兴业证券,xing'ye'zheng'quan
星之宝,xing'zhi'bao
修车店,xiu'che'dian
秀丹,xiu'dan
秀芳,xiu'fang
秀凤,xiu'feng
秀峰路,xiu'feng'lu
秀金,xiu'jin
秀娟,xiu'juan
秀平,xiu'ping
秀屿区,xiu'yu'qu
徐家村,xu'jia'cun
轩辉,xuan'hui
雪津,xue'jin
雪精,xue'jing
学军路,xue'jun'lu
学生街,xue'sheng'jie
学生街了,xue'sheng'jie'le
学园路,xue'yuan'lu
丫霸,ya'ba
押二付一,ya'er'fu'yi
丫好,ya'hao
亚酷,ya'ku
鸭母,ya'mu
呀趴,ya'pa
亚通,ya'tong
呀越,ya'yue
鸭胗,ya'zhen
鸭爪,ya'zhua
盐巴,yan'ba
燕彬,yan'bin
岩茶,yan'cha
燕芳,yan'fang
燕娟,yan'juan
燕皮,yan'pi
延平,yan'ping
延平区,yan'ping'qu
沿山,yan'shan
沿山市场,yan'shan'shi'chang
烟台山,yan'tai'shan
洋边,yang'bian
仰恩大学,yang'en'da'xue
阳光城,yang'guang'cheng
阳光学院,yang'guang'xue'yuan
洋楼,yang'lou
杨南路口,yang'nan'lu'kou
洋洽,yang'qia
杨桥,yang'qiao
杨桥路,yang'qiao'lu
杨桥西路,yang'qiao'xi'lu
洋头,yang'tou
洋头口,yang'tou'kou
洋下新村,yang'xia'xin'cun
要不要过去,yao'bu'yao'guo'qu
要看下,yao'kan'xia
要来福州,yao'lai'fu'zhou
要拿去,yao'na'qu
要去福州,yao'qu'fu'zhou
要去睡,yao'qu'shui
要去睡觉,yao'qu'shui'jiao
要去睡觉了,yao'qu'shui'jiao'le
要去睡了,yao'qu'shui'le
要去厦门,yao'qu'xia'men
要说下,yao'shuo'xia
要做事情,yao'zuo'shi'qing
叶导,ye'dao
也都没,ye'dou'mei
叶玲,ye'ling
也没得玩,ye'mei'de'wan
也拿去,ye'na'qu
也去睡,ye'qu'shui
也去睡觉,ye'qu'shui'jiao
也去睡了,ye'qu'shui'le
冶山,ye'shan
冶山路,ye'shan'lu
也有吃,ye'you'chi
也有看,ye'you'kan
也有看到,ye'you'kan'dao
也有来,ye'you'lai
也有买,ye'you'mai
也有去,ye'you'qu
也有玩,ye'you'wan
也有在,ye'you'zai
也有做,ye'you'zuo
也在福州,ye'zai'fu'zhou
一拔,yi'ba
一半半,yi'ban'ban
医保社保,yi'bao'she'bao
一边手,yi'bian'shou
一伯,yi'bo
医大,yi'da
一弟,yi'di
一丁,yi'ding
一都,yi'dou
咦恶,yi'e
壹发,yi'fa
衣服多穿,yi'fu'duo'chuan
衣服多穿点,yi'fu'duo'chuan'dian
伊芙世家,yi'fu'shi'jia
一附小,yi'fu'xiao
一个小时多,yi'ge'xiao'shi'duo
一个月多,yi'ge'yue'duo
移户,yi'hu
衣锦华庭,yi'jin'hua'ting
一类校,yi'lei'xiao
一两下,yi'liang'xia
一妈,yi'ma
一妹,yi'mei
依姆,yi'mu
一起去睡,yi'qi'qu'shui
以前都不会,yi'qian'dou'bu'hui
一三附,yi'san'fu
怡山,yi'shan
医社保,yi'she'bao
宜又佳,yi'you'jia
艺员,yi'yuan
一整本,yi'zheng'ben
一整栋,yi'zheng'dong
一正面,yi'zheng'mian
一整排,yi'zheng'pai
一整周,yi'zheng'zhou
一直催,yi'zhi'cui
一直讲,yi'zhi'jiang
一直叫,yi'zhi'jiao
一直叫我,yi'zhi'jiao'wo
应乃,ying'nai
营前,ying'qian
盈众,ying'zhong
瀛洲,ying'zhou
永安市,yong'an'shi
永春,yong'chun
永定,yong'ding
永定县,yong'ding'xian
雍和会,yong'he'hui
永辉,yong'hui
永辉超市,yong'hui'chao'shi
涌泉寺,yong'quan'si
永泰,yong'tai
永泰的,yong'tai'de
永泰了,yong'tai'le
永泰人,yong'tai'ren
永泰县,yong'tai'xian
有包括,you'bao'kuo
有包邮,you'bao'you
有播,you'bo
有补,you'bu
又不会干嘛,you'bu'hui'gan'ma
有补课,you'bu'ke
有补习,you'bu'xi
有差吗,you'cha'ma
有吃饱,you'chi'bao
有抽成,you'chou'cheng
有出来,you'chu'lai
有出来吗,you'chu'lai'ma
有出门,you'chu'men
有出去,you'chu'qu
有打,you'da
有带,you'dai
有带伞,you'dai'san
有登,you'deng
有点坏了,you'dian'huai'le
有点名,you'dian'ming
有读书,you'du'shu
有福之州,you'fu'zhi'zhou
有福州,you'fu'zhou
有过来,you'guo'lai
有过来吗,you'guo'lai'ma
有过去,you'guo'qu
优号,you'hao
有喝酒,you'he'jiu
有回家,you'hui'jia
有回家吗,you'hui'jia'ma
有回来,you'hui'lai
有回来吗,you'hui'lai'ma
有回去,you'hui'qu
有回去吗,you'hui'qu'ma
有见过,you'jian'guo
有叫你,you'jiao'ni
有叫他,you'jiao'ta
有叫我,you'jiao'wo
有进来,you'jin'lai
有进去,you'jin'qu
有经过,you'jing'guo
有开,you'kai
有开车,you'kai'che
有开门,you'kai'men
有看到,you'kan'dao
有看到你,you'kan'dao'ni
有看见,you'kan'jian
有考,you'kao
邮科,you'ke
有来吧,you'lai'ba
有来嘛,you'lai'ma
有路过,you'lu'guo
有没办法,you'mei'ban'fa
有没被,you'mei'bei
有没出来,you'mei'chu'lai
有没出去,you'mei'chu'qu
有没错,you'mei'cuo
有没打,you'mei'da
有没打算,you'mei'da'suan
有没带,you'mei'dai
有没地方,you'mei'di'fang
有没点,you'mei'dian
有没发现,you'mei'fa'xian
有没感觉,you'mei'gan'jue
有没过来,you'mei'guo'lai
有没和,you'mei'he
有没回家,you'mei'hui'jia
有没回来,you'mei'hui'lai
有没回去,you'mei'hui'qu
有没货,you'mei'huo
有没觉得,you'mei'jue'de
有没开,you'mei'kai
有没看到,you'mei'kan'dao
有没课,you'mei'ke
有没空,you'mei'kong
有没来,you'mei'lai
有没买,you'mei'mai
有没去,you'mei'qu
有没人,you'mei'ren
有没上班,you'mei'shang'ban
有没什么,you'mei'shen'me
有没事,you'mei'shi
有没说,you'mei'shuo
有没说什么,you'mei'shuo'shen'me
有没玩,you'mei'wan
有没想,you'mei'xiang
有没想我,you'mei'xiang'wo
有没有出来,you'mei'you'chu'lai
有没有咯,you'mei'you'ge
有没有过来,you'mei'you'guo'lai
有没有回来,you'mei'you'hui'lai
有没有回去,you'mei'you'hui'qu
有没有来,you'mei'you'lai
有没有去,you'mei'you'qu
有没有上班,you'mei'you'shang'ban
有没有在,you'mei'you'zai
有没有在家,you'mei'you'zai'jia
有没在,you'mei'zai
有没在家,you'mei'zai'jia
有没照片,you'mei'zhao'pian
有名堂,you'ming'tang
有名仔,you'ming'zai
有钱哈,you'qian'ha
有去,you'qu
有去吧,you'qu'ba
有去的话,you'qu'de'hua
有去吗,you'qu'ma
有去么,you'qu'me
有去玩,you'qu'wan
有傻,you'sha
有上班,you'shang'ban
有上班吗,you'shang'ban'ma
有上课,you'shang'ke
有上课吗,you'shang'ke'ma
有上来,you'shang'lai
有上去,you'shang'qu
有收人,you'shou'ren
有听过,you'ting'guo
有听说,you'ting'shuo
有问他,you'wen'ta
有问我,you'wen'wo
尤溪,you'xi
尤溪县,you'xi'xian
尤溪洲,you'xi'zhou
有下来,you'xia'lai
有下去,you'xia'qu
有下雨,you'xia'yu
有在,you'zai
有在不,you'zai'bu
有在家,you'zai'jia
有在家吗,you'zai'jia'ma
有在吗,you'zai'ma
有在么,you'zai'me
有做事,you'zuo'shi
鱼滑,yu'hua
玉华洞,yu'hua'dong
预考,yu'kao
于山,yu'shan
余盛,yu'sheng
预授权,yu'shou'quan
屿头,yu'tou
鱼丸,yu'wan
御温泉,yu'wen'quan
渔溪,yu'xi
雨下好大,yu'xia'hao'da
雨下很大,yu'xia'hen'da
雨下这么大,yu'xia'zhe'me'da
语训,yu'xun
鱼旨,yu'zhi
源安,yuan'an
园部,yuan'bu
元洪,yuan'hong
元洪城,yuan'hong'cheng
源脉,yuan'mai
元生,yuan'sheng
元帅路,yuan'shuai'lu
原校,yuan'xiao
院选,yuan'xuan
院选课,yuan'xuan'ke
远洋路,yuan'yang'lu
鸳鸯溪,yuan'yang'xi
元载,yuan'zai
园中,yuan'zhong
越城记,yue'cheng'ji
约费,yue'fei
约克镇,yue'ke'zhen
越洋,yue'yang
云顶,yun'ding
云顶山,yun'ding'shan
云娟,yun'juan
运盛,yun'sheng
云水谣,yun'shui'yao
晕死点,yun'si'dian
晕死掉,yun'si'diao
杂物间,za'wu'jian
在宝龙,zai'bao'long
在长乐,zai'chang'le
在大利嘉,zai'da'li'jia
在大洋,zai'da'yang
在动车,zai'dong'che
在动车上,zai'dong'che'shang
在东街口,zai'dong'jie'kou
在福安,zai'fu'an
在福大,zai'fu'da
在福鼎,zai'fu'ding
在福建,zai'fu'jian
在福清,zai'fu'qing
在福州,zai'fu'zhou
在福州啊,zai'fu'zhou'a
在福州的,zai'fu'zhou'de
在福州了,zai'fu'zhou'le
在福州吗,zai'fu'zhou'ma
在福州哪里,zai'fu'zhou'na'li
在福州呢,zai'fu'zhou'ne
在甘蔗,zai'gan'zhe
在古田,zai'gu'tian
在宏路,zai'hong'lu
在家楼下,zai'jia'lou'xia
再见拜拜,zai'jian'bai'bai
在江滨,zai'jiang'bin
在金峰,zai'jin'feng
在金山,zai'jin'shan
在看片,zai'kan'pian
在连江,zai'lian'jiang
在龙田,zai'long'tian
在罗源,zai'luo'yuan
在马尾,zai'ma'wei
在闽侯,zai'min'hou
在闽清,zai'min'qing
在南平,zai'nan'ping
在宁德,zai'ning'de
在平潭,zai'ping'tan
在莆田,zai'pu'tian
再去睡,zai'qu'shui
在三明,zai'san'ming
在师大,zai'shi'da
在台江,zai'tai'jiang
在武夷山,zai'wu'yi'shan
在学生街,zai'xue'sheng'jie
在永泰,zai'yong'tai
在中亭街,zai'zhong'ting'jie
在煮了,zai'zhu'le
在走了,zai'zou'le
在做事情,zai'zuo'shi'qing
在做卫生,zai'zuo'wei'sheng
糟菜,zao'cai
早点去睡,zao'dian'qu'shui
早点去睡吧,zao'dian'qu'shui'ba
早点去睡觉,zao'dian'qu'shui'jiao
早点去休息,zao'dian'qu'xiu'xi
则徐大道,ze'xu'da'dao
怎么了咯,zen'me'le'ge
怎么说咯,zen'me'shuo'ge
怎么这么迟,zen'me'zhe'me'chi
展览城,zhan'lan'cheng
漳港,zhang'gang
漳平,zhang'ping
漳浦,zhang'pu
漳州,zhang'zhou
漳州的,zhang'zhou'de
漳州人,zhang'zhou'ren
招呼站,zhao'hu'zhan
这都被你知道,zhe'dou'bei'ni'zhi'dao
这都被你知道了,zhe'dou'bei'ni'zhi'dao'le
这都没什么,zhe'dou'mei'shen'me
这架,zhe'jia
这么迟,zhe'me'chi
这么迟了,zhe'me'chi'le
这么刚好,zhe'me'gang'hao
这能忍,zhe'neng'ren
遮伞,zhe'san
这台风,zhe'tai'feng
这下面,zhe'xia'mian
这一两天,zhe'yi'liang'tian
这有办法,zhe'you'ban'fa
这又没,zhe'you'mei
这在哪里,zhe'zai'na'li
这周天,zhe'zhou'tian
针纺,zhen'fang
镇海楼,zhen'hai'lou
郑彬,zheng'bin
正大广场,zheng'da'guang'chang
郑导,zheng'dao
郑峰,zheng'feng
正冠,zheng'guan
整货,zheng'huo
郑锦,zheng'jin
郑晶,zheng'jing
正露丸,zheng'lu'wan
郑萍,zheng'ping
郑清,zheng'qing
征求志愿,zheng'qiu'zhi'yuan
正取,zheng'qu
郑榕,zheng'rong
郑莹,zheng'ying
至诚,zhi'cheng
至诚学院,zhi'cheng'xue'yuan
之州,zhi'zhou
职专,zhi'zhuan
中福,zhong'fu
种福寺,zhong'fu'si
中庚,zhong'geng
中庚城,zhong'geng'cheng
中国成,zhong'guo'cheng
忠辉,zhong'hui
中机中泰,zhong'ji'zhong'tai
中楼,zhong'lou
中天金海岸,zhong'tian'jin'hai'an
中亭,zhong'ting
中停机,zhong'ting'ji
中亭街,zhong'ting'jie
重溪,zhong'xi
中招网,zhong'zhao'wang
中州岛,zhong'zhou'dao
周麻婆,zhou'ma'po
周天,zhou'tian
周天吧,zhou'tian'ba
周天晚上,zhou'tian'wan'shang
周天下午,zhou'tian'xia'wu
助导,zhu'dao
煮点心,zhu'dian'xin
煮东西吃,zhu'dong'xi'chi
竹榄,zhu'lan
竹林境,zhu'lin'jing
猪母,zhu'mu
竹岐,zhu'qi
助夜,zhu'ye
煮夜宵,zhu'ye'xiao
抓出去,zhua'chu'qu
抓来打,zhua'lai'da
状元境,zhuang'yuan'jing
锥栗,zhui'li
准备过去了,zhun'bei'guo'qu'le
准备去睡了,zhun'bei'qu'shui'le
桌球店,zhuo'qiu'dian
紫菜饼,zi'cai'bing
自己看咯,zi'ji'kan'ge
自己看下,zi'ji'kan'xia
自己慢点,zi'ji'man'dian
自律会,zi'lv'hui
紫阳立交桥,zi'yang'li'jiao'qiao
总院,zong'yuan
足按,zu'an
最后一桌,zui'hou'yi'zhuo
最近在哪里,zui'jin'zai'na'li
最经常,zui'jing'chang
醉排骨,zui'pai'gu
做不清楚,zuo'bu'qing'chu
左海,zuo'hai
左海公园,zuo'hai'gong'yuan
座号,zuo'hao
做很大,zuo'hen'da
做考卷,zuo'kao'juan
做清楚,zuo'qing'chu
做傻,zuo'sha
做是吧,zuo'shi'ba
做事咯,zuo'shi'ge
做事情,zuo'shi'qing
做事情了,zuo'shi'qing'le
做完事情,zuo'wan'shi'qing
做卫生,zuo'wei'sheng
做卫生了,zuo'wei'sheng'le
做牙齿,zuo'ya'chi
