阿拉伯胶,a'la'bo'jiao
溶剂熔融法,rong'ji'rong'rong'fa
溶胶剂,rong'jiao'ji
溶解,rong'jie
溶解度,rong'jie'du
溶解度参数,rong'jie'du'can'shu
溶解度小,rong'jie'du'xiao
溶解法,rong'jie'fa
溶解扩散,rong'jie'kuo'san
溶解速度,rong'jie'su'du
溶菌酶,rong'jun'mei
容器,rong'qi
熔融法,rong'rong'fa
熔融匀化法,rong'rong'yun'hua'fa
溶血,rong'xue
溶血法,rong'xue'fa
溶血作用,rong'xue'zuo'yong
溶液剂,rong'ye'ji
溶液剂类,rong'ye'ji'lei
溶液片,rong'ye'pian
溶液型,rong'ye'xing
溶液型喷雾剂,rong'ye'xing'pen'wu'ji
溶质,rong'zhi
肉豆蔻酸,rou'dou'kou'suan
柔软剂聚氧乙烯硬脂酸酯,rou'ruan'ji'ju'yang'yi'xi'ying'zhi'suan'zhi
乳钵,ru'bo
乳膏剂,ru'gao'ji
乳化,ru'hua
乳化法,ru'hua'fa
乳化剂,ru'hua'ji
乳化剂法,ru'hua'ji'fa
乳化剂聚氧乙烯山梨醇醚,ru'hua'ji'ju'yang'yi'xi'shan'li'chun'mi
乳化剂聚氧乙烯月桂醚,ru'hua'ji'ju'yang'yi'xi'yue'gui'mi
乳化膜,ru'hua'mo
乳化器械,ru'hua'qi'xie
乳化溶,ru'hua'rong
乳化时间,ru'hua'shi'jian
乳剂,ru'ji
乳剂基质,ru'ji'ji'zhi
乳剂液滴,ru'ji'ye'di
乳酸,ru'suan
乳酸乙酯,ru'suan'yi'zhi
乳糖,ru'tang
乳匀机,ru'yun'ji
乳浊型,ru'zhuo'xing
乳浊液,ru'zhuo'ye
乳浊液型,ru'zhuo'ye'xing
乳浊液型液,ru'zhuo'ye'xing'ye
软膏,ruan'gao
软膏剂,ruan'gao'ji
软膏基质,ruan'gao'ji'zhi
软膏类,ruan'gao'lei
软胶囊,ruan'jiao'nang
软胶囊剂,ruan'jiao'nang'ji
软石蜡,ruan'shi'la
软质囊材,ruan'zhi'nang'cai
润滑剂,run'hua'ji
润滑作用,run'hua'zuo'yong
润湿,run'shi
润湿剂,run'shi'ji
润湿性,run'shi'xing
三废处理,san'fei'chu'li
散剂,san'ji
散剂片剂,san'ji'pian'ji
三氯叔丁醇,san'lv'shu'ding'chun
三羧酸循环,san'suo'suan'xun'huan
三相气雾剂气相液,san'xiang'qi'wu'ji'qi'xiang'ye
扫描电镜,sao'miao'dian'jing
色斑,se'ban
色衣层,se'yi'ceng
杀菌活性,sha'jun'huo'xing
杀菌力,sha'jun'li
杀菌作用,sha'jun'zuo'yong
砂滤棒,sha'lv'bang
筛分法,shai'fen'fa
筛分径,shai'fen'jing
筛上分布,shai'shang'fen'bu
筛下分布,shai'xia'fen'bu
山梨酸,shan'li'suan
山梨坦,shan'li'tan
上皮细胞膜,shang'pi'xi'bao'mo
上市申请,shang'shi'shen'qing
社会药学,she'hui'yao'xue
设计处方,she'ji'chu'fang
设计工艺,she'ji'gong'yi
舌下给药,she'xia'gei'yao
舌下片,she'xia'pian
申报,shen'bao
申报递交,shen'bao'di'jiao
审查用副本,shen'cha'yong'fu'ben
神经毒素,shen'jing'du'su
神经酰胺,shen'jing'xian'an
审理部门,shen'li'bu'men
渗漉法,shen'lu'fa
肾排泄,shen'pai'xie
肾上腺素能神经,shen'shang'xian'su'neng'shen'jing
肾上腺素能受体,shen'shang'xian'su'neng'shou'ti
身体依赖性,shen'ti'yi'lai'xing
渗透压,shen'tou'ya
渗透压调节剂,shen'tou'ya'tiao'jie'ji
渗析池法,shen'xi'chi'fa
生产处方,sheng'chan'chu'fang
生产工艺,sheng'chan'gong'yi
生产记录用表格,sheng'chan'ji'lu'yong'biao'ge
生产技术,sheng'chan'ji'shu
生产批号记录,sheng'chan'pi'hao'ji'lu
生产质量,sheng'chan'zhi'liang
升华法,sheng'hua'fa
升华干燥,sheng'hua'gan'zao
生化药品,sheng'hua'yao'pin
生化药物,sheng'hua'yao'wu
生理差异,sheng'li'cha'yi
生理效应,sheng'li'xiao'ying
生理因素,sheng'li'yin'su
生命质量,sheng'ming'zhi'liang
生物胺,sheng'wu'an
生物半衰期,sheng'wu'ban'shuai'qi
生物不稳定性,sheng'wu'bu'wen'ding'xing
生物测定法,sheng'wu'ce'ding'fa
生物化学,sheng'wu'hua'xue
生物技术,sheng'wu'ji'shu
生物技术药品,sheng'wu'ji'shu'yao'pin
生物技术药制剂,sheng'wu'ji'shu'yao'zhi'ji
生物碱,sheng'wu'jian
生物降解,sheng'wu'jiang'jie
生物利用的程度,sheng'wu'li'yong'de'cheng'du
生物利用的速度,sheng'wu'li'yong'de'su'du
生物利用度,sheng'wu'li'yong'du
生物膜,sheng'wu'mo
生物统计学,sheng'wu'tong'ji'xue
生物学,sheng'wu'xue
生物学方法,sheng'wu'xue'fang'fa
生物学性质,sheng'wu'xue'xing'zhi
生物药剂学,sheng'wu'yao'ji'xue
生物药物学,sheng'wu'yao'wu'xue
生物因素,sheng'wu'yin'su
生物制品,sheng'wu'zhi'pin
生物制品评价,sheng'wu'zhi'pin'ping'jia
生物转化,sheng'wu'zhuan'hua
生药,sheng'yao
生药学,sheng'yao'xue
生育酚,sheng'yu'fen
生长曲线,sheng'zhang'qu'xian
时辰病理学,shi'chen'bing'li'xue
时辰药理学,shi'chen'yao'li'xue
湿度,shi'du
十二烧基硫酸钠,shi'er'shao'ji'liu'suan'na
十二烷基硫酸镁,shi'er'wan'ji'liu'suan'mei
十二烷基硫酸钠,shi'er'wan'ji'liu'suan'na
湿法制粒,shi'fa'zhi'li
释放度,shi'fang'du
释放度检查,shi'fang'du'jian'cha
释放速度,shi'fang'su'du
时间感受性,shi'jian'gan'shou'xing
时间曲线下面积,shi'jian'qu'xian'xia'mian'ji
时间治疗,shi'jian'zhi'liao
湿胶法,shi'jiao'fa
世界卫生组织,shi'jie'wei'sheng'zu'zhi
噬菌体,shi'jun'ti
时控突释系统,shi'kong'tu'shi'xi'tong
石蜡,shi'la
十六醇,shi'liu'chun
湿球温度,shi'qiu'wen'du
湿润剂,shi'run'ji
失水山梨醇脂肪酸酯,shi'shui'shan'li'chun'zhi'fang'suan'zhi
时效关系,shi'xiao'guan'xi
实验动物,shi'yan'dong'wu
试验方法,shi'yan'fang'fa
实验室管理规范,shi'yan'shi'guan'li'gui'fan
实验仪器,shi'yan'yi'qi
试验制剂,shi'yan'zhi'ji
释药速率,shi'yao'su'lv
适应临床需要,shi'ying'lin'chuang'xu'yao
使用百分率,shi'yong'bai'fen'lv
适用范围,shi'yong'fan'wei
使用方便,shi'yong'fang'bian
使用依据,shi'yong'yi'ju
时值,shi'zhi
时滞,shi'zhi
饰脂质体,shi'zhi'zhi'ti
首过效应,shou'guo'xiao'ying
受害,shou'hai
收敛药,shou'lian'yao
受体,shou'ti
受体的配体,shou'ti'de'pei'ti
受体激动剂,shou'ti'ji'dong'ji
受体拮抗剂,shou'ti'jie'kang'ji
手性药物,shou'xing'yao'wu
受益,shou'yi
收载范围,shou'zai'fan'wei
叔丁对甲氧酚,shu'ding'dui'jia'yang'fen
叔丁基对羟基茴香醚,shu'ding'ji'dui'qiang'ji'hui'xiang'mi
疏水胶体溶液,shu'shui'jiao'ti'rong'ye
疏水性表面亲水化,shu'shui'xing'biao'mian'qin'shui'hua
疏水性药物,shu'shui'xing'yao'wu
输液,shu'ye
输液瓶,shu'ye'ping
甩水洗涤法,shuai'shui'xi'di'fa
栓剂,shuan'ji
双电层构造,shuang'dian'ceng'gou'zao
双盲法,shuang'mang'fa
双室,shuang'shi
水醇法,shui'chun'fa
水分散体,shui'fen'san'ti
水化膜,shui'hua'mo
水化作用,shui'hua'zuo'yong
水解,shui'jie
水解作用,shui'jie'zuo'yong
水蜜丸,shui'mi'wan
水溶性,shui'rong'xing
水溶性基质,shui'rong'xing'ji'zhi
水溶性抗氧剂,shui'rong'xing'kang'yang'ji
水溶性药物,shui'rong'xing'yao'wu
水提醇沉法,shui'ti'chun'chen'fa
水丸,shui'wan
水性浸出制剂,shui'xing'jin'chu'zhi'ji
水性凝胶,shui'xing'ning'jiao
水性凝胶剂,shui'xing'ning'jiao'ji
顺应性,shun'ying'xing
四查十对,si'cha'shi'dui
司盘,si'pan
斯托克定律,si'tuo'ke'ding'lv
松密度,song'mi'du
松片,song'pian
速冻法,su'dong'fa
速度释放,su'du'shi'fang
速度梯度,su'du'ti'du
速释胶囊,su'shi'jiao'nang
速释胶囊剂,su'shi'jiao'nang'ji
速释片,su'shi'pian
速释小丸,su'shi'xiao'wan
塑性,su'xing
塑性变形,su'xing'bian'xing
塑性流体,su'xing'liu'ti
塑性粘度,su'xing'nian'du
塑制丸,su'zhi'wan
酸碱催化,suan'jian'cui'hua
酸碱度,suan'jian'du
酸碱法,suan'jian'fa
酸洗法,suan'xi'fa
酸性条件,suan'xing'tiao'jian
酸值,suan'zhi
酸酯乙交酯共聚物,suan'zhi'yi'jiao'zhi'gong'ju'wu
索带状,suo'dai'zhuang
羧基吡咯酮,suo'ji'bi'luo'tong
羧基乙烯共聚物,suo'ji'yi'xi'gong'ju'wu
羧甲基淀粉,suo'jia'ji'dian'fen
羧甲基淀粉钠,suo'jia'ji'dian'fen'na
羧甲基淀粉纳,suo'jia'ji'dian'fen'na
羧甲基纤维素钠,suo'jia'ji'xian'wei'su'na
羧甲基纤维素纳,suo'jia'ji'xian'wei'su'na
羧甲乙纤维素,suo'jia'yi'xian'wei'su
钛滤器,tai'lv'qi
弹性,tan'xing
弹性变形,tan'xing'bian'xing
弹性复原率,tan'xing'fu'yuan'lv
弹性功,tan'xing'gong
糖粉,tang'fen
汤剂,tang'ji
糖浆,tang'jiang
糖浆剂,tang'jiang'ji
糖浆剂类,tang'jiang'ji'lei
糖衣层,tang'yi'ceng
糖衣片,tang'yi'pian
糖异生作用,tang'yi'sheng'zuo'yong
桃仁油,tao'ren'you
淘汰品种管理,tao'tai'pin'zhong'guan'li
特制定量阀门系统,te'zhi'ding'liang'fa'men'xi'tong
体表面积,ti'biao'mian'ji
体表面积法,ti'biao'mian'ji'fa
体积比浓度,ti'ji'bi'nong'du
体积等价径球,ti'ji'deng'jia'jing'qiu
体积基准,ti'ji'ji'zhun
体内,ti'nei
体内过程,ti'nei'guo'cheng
提取,ti'qu
体外模拟试验,ti'wai'mo'ni'shi'yan
体循环,ti'xun'huan
体液,ti'ye
体液免疫,ti'ye'mian'yi
填充剂,tian'chong'ji
天然高分子材料,tian'ran'gao'fen'zi'cai'liao
天然抗体,tian'ran'kang'ti
天然抗原,tian'ran'kang'yuan
天然免疫,tian'ran'mian'yi
天然乳化剂,tian'ran'ru'hua'ji
天然药,tian'ran'yao
天然药物,tian'ran'yao'wu
调剂学,tiao'ji'xue
贴剂,tie'ji
贴剂类,tie'ji'lei
同离子效应,tong'li'zi'xiao'ying
同位素,tong'wei'su
透明层,tou'ming'ceng
透明乳,tou'ming'ru
透明乳剂,tou'ming'ru'ji
透明液体,tou'ming'ye'ti
透皮促进剂,tou'pi'cu'jin'ji
透皮贴剂,tou'pi'tie'ji
透皮吸收理论,tou'pi'xi'shou'li'lun
透射电镜,tou'she'dian'jing
投影面积,tou'ying'mian'ji
突变,tu'bian
涂剂,tu'ji
涂膜剂,tu'mo'ji
突释效应,tu'shi'xiao'ying
吐温,tu'wen
吐温类,tu'wen'lei
吞噬作用,tun'shi'zuo'yong
脱羧,tuo'suo
外毒素,wai'du'su
外观均匀度,wai'guan'jun'yun'du
外消旋,wai'xiao'xuan
外消旋化,wai'xiao'xuan'hua
外消旋化作用,wai'xiao'xuan'hua'zuo'yong
外消旋体,wai'xiao'xuan'ti
外用,wai'yong
外用片,wai'yong'pian
外用气雾剂,wai'yong'qi'wu'ji
外用乳剂,wai'yong'ru'ji
外用乳剂制品,wai'yong'ru'ji'zhi'pin
外用药品,wai'yong'yao'pin
外用制剂,wai'yong'zhi'ji
丸剂,wan'ji
丸剂类,wan'ji'lei
弯曲力,wan'qu'li
完全抗原,wan'quan'kang'yuan
网络药学,wang'luo'yao'xue
王水,wang'shui
网状结构,wang'zhuang'jie'gou
胃,wei
微表,wei'biao
微波干燥,wei'bo'gan'zao
胃肠道刺激性,wei'chang'dao'ci'ji'xing
胃肠道给药,wei'chang'dao'gei'yao
胃肠道酸碱度,wei'chang'dao'suan'jian'du
胃肠道吸收,wei'chang'dao'xi'shou
胃肠分泌物,wei'chang'fen'mi'wu
维持时间,wei'chi'shi'jian
微粉硅胶,wei'fen'gui'jiao
微粉化药物,wei'fen'hua'yao'wu
胃架扩散型,wei'jia'kuo'san'xing
微晶纤维素,wei'jing'xian'wei'su
微孔滤膜,wei'kong'lv'mo
微孔滤膜法,wei'kong'lv'mo'fa
胃空速率,wei'kong'su'lv
微粒沉降,wei'li'chen'jiang
微粒大小,wei'li'da'xiao
微粒的沉降,wei'li'de'chen'jiang
微粒的成长,wei'li'de'cheng'zhang
微粒的大小,wei'li'de'da'xiao
微粒分散型,wei'li'fen'san'xing
微粒间的排斥力,wei'li'jian'de'pai'chi'li
微粒结晶法,wei'li'jie'jing'fa
微粒聚集,wei'li'ju'ji
微粒润湿,wei'li'run'shi
微粒体酶,wei'li'ti'mei
微粒状态,wei'li'zhuang'tai
微粒状态分散,wei'li'zhuang'tai'fen'san
微量元素,wei'liang'yuan'su
微囊,wei'nang
微囊化,wei'nang'hua
微球,wei'qiu
微球制剂,wei'qiu'zhi'ji
微乳,wei'ru
卫生标准,wei'sheng'biao'zhun
微生物限度,wei'sheng'wu'xian'du
微生物药品,wei'sheng'wu'yao'pin
微生物药物,wei'sheng'wu'yao'wu
微生物药物学,wei'sheng'wu'yao'wu'xue
卫生学标准,wei'sheng'xue'biao'zhun
卫生学检查,wei'sheng'xue'jian'cha
微丸,wei'wan
微丸胶囊,wei'wan'jiao'nang
伪稳态,wei'wen'tai
微细粒子,wei'xi'li'zi
微贮库型,wei'zhu'ku'xing
稳定剂,wen'ding'ji
稳定性,wen'ding'xing
稳定性研究,wen'ding'xing'yan'jiu
温度,wen'du
文火,wen'huo
文件系统,wen'jian'xi'tong
温热热能法,wen're're'neng'fa
稳态血药浓度,wen'tai'xue'yao'nong'du
无定型,wu'ding'xing
雾化器,wu'hua'qi
雾化溶液剂,wu'hua'rong'ye'ji
武火,wu'huo
无菌,wu'jun
无菌操作法,wu'jun'cao'zuo'fa
无菌粉末,wu'jun'fen'mo
无菌检查,wu'jun'jian'cha
无菌精制,wu'jun'jing'zhi
无菌浓缩液,wu'jun'nong'suo'ye
无菌容器,wu'jun'rong'qi
无菌注射剂,wu'jun'zhu'she'ji
物理不稳定性,wu'li'bu'wen'ding'xing
物理化学,wu'li'hua'xue
物理化学靶向制剂,wu'li'hua'xue'ba'xiang'zhi'ji
物理化学法,wu'li'hua'xue'fa
物理凝聚法,wu'li'ning'ju'fa
物理稳定性,wu'li'wen'ding'xing
物理性质,wu'li'xing'zhi
物理学方法,wu'li'xue'fang'fa
物理药剂学,wu'li'yao'ji'xue
物料清单,wu'liao'qing'dan
物料准备,wu'liao'zhun'bei
污染途径,wu'ran'tu'jing
无热原,wu're'yuan
无水羊毛脂,wu'shui'yang'mao'zhi
无效成分,wu'xiao'cheng'fen
无针粉未注射器,wu'zhen'fen'wei'zhu'she'qi
无针液体注射器,wu'zhen'ye'ti'zhu'she'qi
烯胺,xi'an
细胞间隙,xi'bao'jian'xi
细胞免疫,xi'bao'mian'yi
细胞素,xi'bao'su
细胞组织,xi'bao'zu'zhi
吸潮现象,xi'chao'xian'xiang
洗涤,xi'di
吸附法,xi'fu'fa
希古契方程,xi'gu'qi'fang'cheng
西黄耆胶,xi'huang'qi'jiao
西黄芪胶,xi'huang'qi'jiao
洗剂,xi'ji
洗剂类,xi'ji'lei
细菌数,xi'jun'shu
稀配法,xi'pei'fa
吸热过程,xi're'guo'cheng
吸入法,xi'ru'fa
吸入肺部的制剂,xi'ru'fei'bu'de'zhi'ji
吸入粉雾剂,xi'ru'fen'wu'ji
吸入剂,xi'ru'ji
吸入喷雾剂,xi'ru'pen'wu'ji
吸入气雾剂,xi'ru'qi'wu'ji
吸入溶液剂,xi'ru'rong'ye'ji
稀释法,xi'shi'fa
稀释剂,xi'shi'ji
吸湿性,xi'shi'xing
吸收,xi'shou
吸收部位,xi'shou'bu'wei
吸收促进剂,xi'shou'cu'jin'ji
吸收剂,xi'shou'ji
吸收机理,xi'shou'ji'li
吸收率,xi'shou'lv
吸收速度,xi'shou'su'du
吸收速率常数,xi'shou'su'lv'chang'shu
吸收总量,xi'shou'zong'liang
吸收组织渗出液,xi'shou'zu'zhi'shen'chu'ye
西土马哥,xi'tu'ma'ge
细雾状,xi'wu'zhuang
习性,xi'xing
西药,xi'yao
吸引力,xi'yin'li
析因设计,xi'yin'she'ji
现代药剂学,xian'dai'yao'ji'xue
现代药物制剂,xian'dai'yao'wu'zhi'ji
现代药物制剂技术,xian'dai'yao'wu'zhi'ji'ji'shu
腺苷磷酸,xian'gan'lin'suan
显微镜法,xian'wei'jing'fa
纤维素类,xian'wei'su'lei
纤维素衍生物,xian'wei'su'yan'sheng'wu
限制性剧药,xian'zhi'xing'ju'yao
向靶给药,xiang'ba'gei'yao
相比,xiang'bi
相对比值,xiang'dui'bi'zhi
相对给药间隔,xiang'dui'gei'yao'jian'ge
相对密度,xiang'dui'mi'du
相对生物利用度,xiang'dui'sheng'wu'li'yong'du
相对湿度,xiang'dui'shi'du
相分离法,xiang'fen'li'fa
相互作用,xiang'hu'zuo'yong
相加作用,xiang'jia'zuo'yong
橡胶塞,xiang'jiao'sai
相转变湿度,xiang'zhuan'bian'shi'du
小肠大肠,xiao'chang'da'chang
小肠吸收,xiao'chang'xi'shou
消除速率常数,xiao'chu'su'lv'chang'shu
小单室,xiao'dan'shi
小单室脂质体,xiao'dan'shi'zhi'zhi'ti
消毒,xiao'du
消费者,xiao'fei'zhe
消耗能量,xiao'hao'neng'liang
效价,xiao'jia
效价单位,xiao'jia'dan'wei
效价强度,xiao'jia'qiang'du
消泡,xiao'pao
消泡剂,xiao'pao'ji
小片,xiao'pian
销售后监督,xiao'shou'hou'jian'du
销售前,xiao'shou'qian
硝酸纤维膜,xiao'suan'xian'wei'mo
效应,xiao'ying
效应面优化法,xiao'ying'mian'you'hua'fa
效应器,xiao'ying'qi
效应物,xiao'ying'wu
协定处方,xie'ding'chu'fang
泄漏率,xie'lou'lv
协同,xie'tong
协同作用,xie'tong'zuo'yong
新剂型研究,xin'ji'xing'yan'jiu
新洁尔灭,xin'jie'er'mie
心内注射,xin'nei'zhu'she
新生皂法,xin'sheng'zao'fa
新型药剂,xin'xing'yao'ji
新药设计,xin'yao'she'ji
锌皂,xin'zao
新制剂新技术,xin'zhi'ji'xin'ji'shu
性别差异,xing'bie'cha'yi
星点设计,xing'dian'she'ji
兴奋性,xing'fen'xing
形状系数,xing'zhuang'xi'shu
修订,xiu'ding
修饰的磷脂酰乙醇胺,xiu'shi'de'lin'zhi'xian'yi'chun'an
修饰纳米球,xiu'shi'na'mi'qiu
修饰微球,xiu'shi'wei'qiu
休止角,xiu'zhi'jiao
序贯设计,xu'guan'she'ji
醑剂,xu'ji
絮凝,xu'ning
絮凝度,xu'ning'du
絮凝混悬液,xu'ning'hun'xuan'ye
絮凝剂,xu'ning'ji
悬浮液,xuan'fu'ye
旋光色散,xuan'guang'se'san
选择性,xuan'ze'xing
旋转粘度计,xuan'zhuan'nian'du'ji
旋转式,xuan'zhuan'shi
旋转式压片机,xuan'zhuan'shi'ya'pian'ji
血管内给药,xue'guan'nei'gei'yao
血管外给药,xue'guan'wai'gei'yao
血浆,xue'jiang
血浆代用液,xue'jiang'dai'yong'ye
血浆蛋白,xue'jiang'dan'bai
血浆蛋白结合率,xue'jiang'dan'bai'jie'he'lv
血脑屏障,xue'nao'ping'zhang
血清,xue'qing
血容量扩充剂,xue'rong'liang'kuo'chong'ji
血药浓度,xue'yao'nong'du
血药浓度波动,xue'yao'nong'du'bo'dong
血药浓度法,xue'yao'nong'du'fa
血液凝固,xue'ye'ning'gu
血液制品,xue'ye'zhi'pin
驯化饲养,xun'hua'si'yang
循环系统,xun'huan'xi'tong
亚砜,ya'feng
亚急性中毒,ya'ji'xing'zhong'du
亚硫酸钠,ya'liu'suan'na
亚硫酸氢钠,ya'liu'suan'qing'na
压敏胶,ya'min'jiao
压敏胶硅橡胶,ya'min'jiao'gui'xiang'jiao
亚纳米乳,ya'na'mi'ru
压片法,ya'pian'fa
压片机,ya'pian'ji
压融成膜法,ya'rong'cheng'mo'fa
压缩度,ya'suo'du
压缩功,ya'suo'gong
压缩力,ya'suo'li
压缩性,ya'suo'xing
亚微乳,ya'wei'ru
亚稳定型,ya'wen'ding'xing
亚硝酸盐中毒,ya'xiao'suan'yan'zhong'du
压制法,ya'zhi'fa
压制片,ya'zhi'pian
研钵,yan'bo
延长药效,yan'chang'yao'xiao
眼膏剂,yan'gao'ji
研合法,yan'he'fa
研究,yan'jiu
研究人员,yan'jiu'ren'yuan
研究中心,yan'jiu'zhong'xin
研磨法,yan'mo'fa
研磨粉碎,yan'mo'fen'sui
研磨力,yan'mo'li
烟雾状,yan'wu'zhuang
盐析,yan'xi
眼用膜剂,yan'yong'mo'ji
眼用制剂类,yan'yong'zhi'ji'lei
验证管理规范,yan'zheng'guan'li'gui'fan
氧化,yang'hua
阳离子型,yang'li'zi'xing
羊毛脂,yang'mao'zhi
药材保管,yao'cai'bao'guan
药材比量法,yao'cai'bi'liang'fa
药材的表面积,yao'cai'de'biao'mian'ji
药材的来源,yao'cai'de'lai'yuan
药材鉴别,yao'cai'jian'bie
药材生产管理规范,yao'cai'sheng'chan'guan'li'gui'fan
药材提取,yao'cai'ti'qu
药典,yao'dian
药典法定,yao'dian'fa'ding
药房管理,yao'fang'guan'li
药峰浓度,yao'feng'nong'du
药峰时间,yao'feng'shi'jian
药剂等效性,yao'ji'deng'xiao'xing
药剂辅料,yao'ji'fu'liao
药剂学,yao'ji'xue
药剂学的发展,yao'ji'xue'de'fa'zhan
药剂质量,yao'ji'zhi'liang
药酒酊剂,yao'jiu'ding'ji
药理,yao'li
药理基础,yao'li'ji'chu
药理模型,yao'li'mo'xing
药理强度,yao'li'qiang'du
药理学,yao'li'xue
药疗保健,yao'liao'bao'jian
药敏试验,yao'min'shi'yan
药品,yao'pin
药品保管,yao'pin'bao'guan
药品保护,yao'pin'bao'hu
药品标准,yao'pin'biao'zhun
药品负责期,yao'pin'fu'ze'qi
药品供应,yao'pin'gong'ying
药品管理档案,yao'pin'guan'li'dang'an
药品管理法,yao'pin'guan'li'fa
药品规格,yao'pin'gui'ge
药品鉴别,yao'pin'jian'bie
药品检验,yao'pin'jian'yan
药品介绍,yao'pin'jie'shao
药品经营,yao'pin'jing'ying
药品开发,yao'pin'kai'fa
药品临床实验管理规范,yao'pin'lin'chuang'shi'yan'guan'li'gui'fan
药品零业质量管理规范,yao'pin'ling'ye'zhi'liang'guan'li'gui'fan
药品批号,yao'pin'pi'hao
药品商业质量规范,yao'pin'shang'ye'zhi'liang'gui'fan
药品审批,yao'pin'shen'pi
药品生产,yao'pin'sheng'chan
药品生质量管理规范,yao'pin'sheng'zhi'liang'guan'li'gui'fan
药品事件,yao'pin'shi'jian
药品使用期,yao'pin'shi'yong'qi
药品手册,yao'pin'shou'ce
药品通用名,yao'pin'tong'yong'ming
药品稳定性,yao'pin'wen'ding'xing
药品销售,yao'pin'xiao'shou
药品研究,yao'pin'yan'jiu
药品有效期,yao'pin'you'xiao'qi
药品质量标准,yao'pin'zhi'liang'biao'zhun
药品重用规范,yao'pin'zhong'yong'gui'fan
药品贮运,yao'pin'zhu'yun
药品专利,yao'pin'zhuan'li
药品综述,yao'pin'zong'shu
药士,yao'shi
药时半对数曲线,yao'shi'ban'dui'shu'qu'xian
药事管理,yao'shi'guan'li
药时曲线,yao'shi'qu'xian
药师手册,yao'shi'shou'ce
药师提醒,yao'shi'ti'xing
药事政策法规,yao'shi'zheng'ce'fa'gui
药事组织,yao'shi'zu'zhi
药物,yao'wu
药物安全性,yao'wu'an'quan'xing
药物靶向,yao'wu'ba'xiang
药物不良反应,yao'wu'bu'liang'fan'ying
药物产品,yao'wu'chan'pin
药物沉积量,yao'wu'chen'ji'liang
药物成型,yao'wu'cheng'xing
药物代谢,yao'wu'dai'xie
药物代谢酶,yao'wu'dai'xie'mei
药物动力学,yao'wu'dong'li'xue
药物动力学模型,yao'wu'dong'li'xue'mo'xing
药物毒副作用,yao'wu'du'fu'zuo'yong
药物反应,yao'wu'fan'ying
药物分布,yao'wu'fen'bu
药物分散度大,yao'wu'fen'san'du'da
药物分析,yao'wu'fen'xi
药物分子结构,yao'wu'fen'zi'jie'gou
药物管理,yao'wu'guan'li
药物管理规范,yao'wu'guan'li'gui'fan
药物过敏,yao'wu'guo'min
药物合成,yao'wu'he'cheng
药物化学,yao'wu'hua'xue
药物剂型,yao'wu'ji'xing
药物加入方法,yao'wu'jia'ru'fang'fa
药物降解,yao'wu'jiang'jie
药物经济学,yao'wu'jing'ji'xue
药物滥用,yao'wu'lan'yong
药物理化性质,yao'wu'li'hua'xing'zhi
药物浓度,yao'wu'nong'du
药物排泄,yao'wu'pai'xie
药物评价,yao'wu'ping'jia
药物溶解,yao'wu'rong'jie
药物溶解度,yao'wu'rong'jie'du
药物释放穿透,yao'wu'shi'fang'chuan'tou
药物手册,yao'wu'shou'ce
药物统计学,yao'wu'tong'ji'xue
药物吸收,yao'wu'xi'shou
药物吸收的量,yao'wu'xi'shou'de'liang
药物相互作用,yao'wu'xiang'hu'zuo'yong
药物消除,yao'wu'xiao'chu
药物性质,yao'wu'xing'zhi
药物蓄积,yao'wu'xu'ji
药物学,yao'wu'xue
药物液体制剂,yao'wu'ye'ti'zhi'ji
药物遗传学,yao'wu'yi'chuan'xue
药物因素,yao'wu'yin'su
药物油溶液,yao'wu'you'rong'ye
药物载体,yao'wu'zai'ti
药物制剂,yao'wu'zhi'ji
药物制剂稳定性,yao'wu'zhi'ji'wen'ding'xing
药物中毒,yao'wu'zhong'du
药物贮库,yao'wu'zhu'ku
药物作用,yao'wu'zuo'yong
药物作用速度,yao'wu'zuo'yong'su'du
药效,yao'xiao
药效动力学,yao'xiao'dong'li'xue
药效学,yao'xiao'xue
药学,yao'xue
药学保健,yao'xue'bao'jian
药学保健论坛,yao'xue'bao'jian'lun'tan
药学保健网,yao'xue'bao'jian'wang
药学服务,yao'xue'fu'wu
药学监护,yao'xue'jian'hu
药学理论,yao'xue'li'lun
药学伦理学,yao'xue'lun'li'xue
药学名词,yao'xue'ming'ci
药学专业技术人员,yao'xue'zhuan'ye'ji'shu'ren'yuan
药液灌注,yao'ye'guan'zhu
药用,yao'yong
药用动物,yao'yong'dong'wu
药用规格,yao'yong'gui'ge
药用植物,yao'yong'zhi'wu
药源性疾病,yao'yuan'xing'ji'bing
液滴的形式,ye'di'de'xing'shi
液滴状态分散,ye'di'zhuang'tai'fen'san
液浸法,ye'jin'fa
液态的形式,ye'tai'de'xing'shi
液体剂型,ye'ti'ji'xing
液体石蜡,ye'ti'shi'la
液体石碏,ye'ti'shi'que
液体药剂,ye'ti'yao'ji
液体制剂,ye'ti'zhi'ji
液状石蜡,ye'zhuang'shi'la
异丙酸棕榈酯,yi'bing'suan'zong'lv'zhi
异丙酯,yi'bing'zhi
异常毒性检查,yi'chang'du'xing'jian'cha
乙醇,yi'chun
依存性,yi'cun'xing
易分剂量,yi'fen'ji'liang
异构化,yi'gou'hua
异构酶,yi'gou'mei
易挥发药物,yi'hui'fa'yao'wu
酏剂,yi'ji
乙基吡咯酮,yi'ji'bi'luo'tong
一级粒子,yi'ji'li'zi
乙基纤维素,yi'ji'xian'wei'su
