啊吃过啦,a'chi'guo'la
幕府东路,mu'fu'dong'lu
幕府佳园,mu'fu'jia'yuan
幕府山,mu'fu'shan
幕府山庄,mu'fu'shan'zhuang
幕府西路,mu'fu'xi'lu
木工院,mu'gong'yuan
木马公寓,mu'ma'gong'yu
苜蓿园,mu'xu'yuan
苜蓿园大街,mu'xu'yuan'da'jie
木有哎,mu'you'ai
哪边,na'bian
哪边啊,na'bian'a
哪边的,na'bian'de
哪边了,na'bian'le
哪边去,na'bian'qu
哪边人,na'bian'ren
哪边有,na'bian'you
那不好嘛,na'bu'hao'ma
那不蛮好,na'bu'man'hao
那不蛮好的,na'bu'man'hao'de
拿车子,na'che'zi
那吊,na'diao
那吊人,na'diao'ren
拿房,na'fang
拿房子,na'fang'zi
哪个讲的,na'ge'jiang'de
哪怪,na'guai
哪锅,na'guo
那还蛮好的,na'hai'man'hao'de
那好哎,na'hao'ai
那经,na'jing
那就这么说,na'jiu'zhe'me'shuo
那就这么说了,na'jiu'zhe'me'shuo'le
那蛮好的,na'man'hao'de
那南京,na'nan'jing
那你来南京,na'ni'lai'nan'jing
那你马上,na'ni'ma'shang
拿钱多,na'qian'duo
那算来,na'suan'lai
那我马上,na'wo'ma'shang
那我蛮,na'wo'man
那我随你,na'wo'sui'ni
那行哎,na'xing'ai
那早呢,na'zao'ne
那怎搞,na'zen'gao
奶酪时光,nai'lao'shi'guang
南堡公园,nan'bao'gong'yuan
南财,nan'cai
南财的,nan'cai'de
南大,nan'da
南大的,nan'da'de
南大附中,nan'da'fu'zhong
南大和园,nan'da'he'yuan
南大金陵,nan'da'jin'ling
南大山,nan'da'shan
南方花园,nan'fang'hua'yuan
南分,nan'fen
南钢,nan'gang
南高齿,nan'gao'chi
男咯好,nan'ge'hao
南工,nan'gong
南工程,nan'gong'cheng
南工大,nan'gong'da
南工院,nan'gong'yuan
南广,nan'guang
南广的,nan'guang'de
南广学院,nan'guang'xue'yuan
南航大,nan'hang'da
南航的,nan'hang'de
南航附中,nan'hang'fu'zhong
南湖路,nan'hu'lu
南化,nan'hua
南化院,nan'hua'yuan
南技,nan'ji
南极光,nan'ji'guang
男积极,nan'ji'ji
南交院,nan'jiao'yuan
南京啊,nan'jing'a
南京吧,nan'jing'ba
南京办,nan'jing'ban
南京办事处,nan'jing'ban'shi'chu
南京本地,nan'jing'ben'di
南京不,nan'jing'bu
南京财经,nan'jing'cai'jing
南京财经大学,nan'jing'cai'jing'da'xue
南京场,nan'jing'chang
南京长江大桥,nan'jing'chang'jiang'da'qiao
南京车站,nan'jing'che'zhan
南京晨报,nan'jing'chen'bao
南京城,nan'jing'cheng
南京大排档,nan'jing'da'pai'dang
南京大学,nan'jing'da'xue
南京到,nan'jing'dao
南京的,nan'jing'de
南京的啊,nan'jing'de'a
南京的话,nan'jing'de'hua
南京的嘛,nan'jing'de'ma
南京地区,nan'jing'di'qu
南京地铁,nan'jing'di'tie
南京地图,nan'jing'di'tu
南京店,nan'jing'dian
南京电视台,nan'jing'dian'shi'tai
南京电信,nan'jing'dian'xin
南京东站,nan'jing'dong'zhan
南京饭店,nan'jing'fan'dian
南京分公司,nan'jing'fen'gong'si
南京分行,nan'jing'fen'hang
南京港,nan'jing'gang
南京咯,nan'jing'ge
南京工程,nan'jing'gong'cheng
南京工程学院,nan'jing'gong'cheng'xue'yuan
南京公交,nan'jing'gong'jiao
南京公司,nan'jing'gong'si
南京工业,nan'jing'gong'ye
南京工业大学,nan'jing'gong'ye'da'xue
南京工作,nan'jing'gong'zuo
南京国际,nan'jing'guo'ji
南京国际广场,nan'jing'guo'ji'guang'chang
南京航空,nan'jing'hang'kong
南京航空航天,nan'jing'hang'kong'hang'tian
南京号,nan'jing'hao
南京后,nan'jing'hou
南京话,nan'jing'hua
南京火车站,nan'jing'huo'che'zhan
南京江宁,nan'jing'jiang'ning
南京交管,nan'jing'jiao'guan
南京今天,nan'jing'jin'tian
南京军区,nan'jing'jun'qu
南京卡,nan'jing'ka
南京啦,nan'jing'la
南京来,nan'jing'lai
南京来了,nan'jing'lai'le
南京了,nan'jing'le
南京了吗,nan'jing'le'ma
南京理工,nan'jing'li'gong
南京理工大学,nan'jing'li'gong'da'xue
南京林业,nan'jing'lin'ye
南京林业大学,nan'jing'lin'ye'da'xue
南京零距离,nan'jing'ling'ju'li
南京旅游,nan'jing'lv'you
南京吗,nan'jing'ma
南京买,nan'jing'mai
南京么,nan'jing'me
南京没有,nan'jing'mei'you
南京那,nan'jing'na
南京哪里,nan'jing'na'li
南京南,nan'jing'nan
南京南站,nan'jing'nan'zhan
南京呢,nan'jing'ne
南京农业,nan'jing'nong'ye
南京农业大学,nan'jing'nong'ye'da'xue
南京哦,nan'jing'o
南京浦口,nan'jing'pu'kou
南京去,nan'jing'qu
南京热,nan'jing're
南京人,nan'jing'ren
南京人啊,nan'jing'ren'a
南京人吗,nan'jing'ren'ma
南京人民,nan'jing'ren'min
南京日报,nan'jing'ri'bao
南京上班,nan'jing'shang'ban
南京商厦,nan'jing'shang'sha
南京上学,nan'jing'shang'xue
南京审计,nan'jing'shen'ji
南京审计学院,nan'jing'shen'ji'xue'yuan
南京市,nan'jing'shi
南京师范,nan'jing'shi'fan
南京师范大学,nan'jing'shi'fan'da'xue
南京市江宁区,nan'jing'shi'jiang'ning'qu
南京市区,nan'jing'shi'qu
南京台,nan'jing'tai
南京体育学院,nan'jing'ti'yu'xue'yuan
南京天气,nan'jing'tian'qi
南京天气预报,nan'jing'tian'qi'yu'bao
南京图书馆,nan'jing'tu'shu'guan
南京外国语学校,nan'jing'wai'guo'yu'xue'xiao
南京玩,nan'jing'wan
南京下雨,nan'jing'xia'yu
南京下雨了,nan'jing'xia'yu'le
南京现在,nan'jing'xian'zai
南京晓庄,nan'jing'xiao'zhuang
南京晓庄学院,nan'jing'xiao'zhuang'xue'yuan
南京新街口,nan'jing'xin'jie'kou
南京信息,nan'jing'xin'xi
南京信息工程,nan'jing'xin'xi'gong'cheng
南京呀,nan'jing'ya
南京要,nan'jing'yao
南京也,nan'jing'ye
南京也是,nan'jing'ye'shi
南京也有,nan'jing'ye'you
南京医科,nan'jing'yi'ke
南京医科大学,nan'jing'yi'ke'da'xue
南京艺术,nan'jing'yi'shu
南京艺术学院,nan'jing'yi'shu'xue'yuan
南京一中,nan'jing'yi'zhong
南京银行,nan'jing'yin'hang
南京有,nan'jing'you
南京邮电,nan'jing'you'dian
南京邮电大学,nan'jing'you'dian'da'xue
南京站,nan'jing'zhan
南京这,nan'jing'zhe
南京这边,nan'jing'zhe'bian
南京中医药,nan'jing'zhong'yi'yao
南京中医药大学,nan'jing'zhong'yi'yao'da'xue
南空,nan'kong
南库,nan'ku
南理工,nan'li'gong
南林,nan'lin
南林大,nan'lin'da
南林的,nan'lin'de
喃你,nan'ni
南农,nan'nong
南农大,nan'nong'da
南瑞,nan'rui
南瑞继保,nan'rui'ji'bao
南瑞路,nan'rui'lu
南森,nan'sen
南山湖,nan'shan'hu
南山竹海,nan'shan'zhu'hai
南审,nan'shen
南审的,nan'shen'de
南师,nan'shi
南师大,nan'shi'da
南师大的,nan'shi'da'de
南师附小,nan'shi'fu'xiao
南师附中,nan'shi'fu'zhong
南铁院,nan'tie'yuan
南通的,nan'tong'de
南通话,nan'tong'hua
南通路,nan'tong'lu
南通人,nan'tong'ren
南图,nan'tu
南外,nan'wai
南外的,nan'wai'de
南外仙林,nan'wai'xian'lin
南湾营,nan'wan'ying
南信大,nan'xin'da
南信工,nan'xin'gong
南信院,nan'xin'yuan
南秀村,nan'xiu'cun
南延线,nan'yan'xian
南医,nan'yi
南医大,nan'yi'da
南艺的,nan'yi'de
南医二附院,nan'yi'er'fu'yuan
南邮,nan'you
南邮的,nan'you'de
南中医,nan'zhong'yi
南砖,nan'zhuan
南砖新村,nan'zhuan'xin'cun
脑科,nao'ke
脑科医院,nao'ke'yi'yuan
脑子有屎,nao'zi'you'shi
呢得了,ne'de'le
呢的人,ne'de'ren
呢的事,ne'de'shi
内价,nei'jia
能哎,neng'ai
能电,neng'dian
能环,neng'huan
能来及,neng'lai'ji
能仁里,neng'ren'li
你啊来,ni'a'lai
你啊能,ni'a'neng
你啊去,ni'a'qu
你啊知道,ni'a'zhi'dao
你不甩,ni'bu'shuai
你不在南京,ni'bu'zai'nan'jing
你不早讲,ni'bu'zao'jiang
你吃过啦,ni'chi'guo'la
你吃过了啊,ni'chi'guo'le'a
你吃国内,ni'chi'guo'nei
你吃什么的,ni'chi'shen'me'de
你呆逼,ni'dai'bi
你带我买,ni'dai'wo'mai
你到哪边,ni'dao'na'bian
你到南京,ni'dao'nan'jing
你吊,ni'diao
你掉的了,ni'diao'de'le
你吊了,ni'diao'le
你吊人,ni'diao'ren
你懂哎,ni'dong'ai
你懂带,ni'dong'dai
你懂赖,ni'dong'lai
你都到啦,ni'dou'dao'la
你都烦死了,ni'dou'fan'si'le
你都起来啦,ni'dou'qi'lai'la
你都是的,ni'dou'shi'de
你二五,ni'er'wu
你烦死了,ni'fan'si'le
你干嘛去的,ni'gan'ma'qu'de
你干么四,ni'gan'me'si
你个呆逼,ni'ge'dai'bi
你个呆子,ni'ge'dai'zi
你个吊人,ni'ge'diao'ren
你挂水,ni'gua'shui
你哈来,ni'ha'lai
你哈能,ni'ha'neng
你哈去,ni'ha'qu
你哈是,ni'ha'shi
你哈要,ni'ha'yao
你哈有,ni'ha'you
你哈知道,ni'ha'zhi'dao
你还吃饭,ni'hai'chi'fan
你还吃饭啦,ni'hai'chi'fan'la
你还吃饭了,ni'hai'chi'fan'le
你还吃过,ni'hai'chi'guo
你还吃过啦,ni'hai'chi'guo'la
你还吃过了,ni'hai'chi'guo'le
你还吃啦,ni'hai'chi'la
你还吃了,ni'hai'chi'le
你还出门啦,ni'hai'chu'men'la
你还到,ni'hai'dao
你还到家,ni'hai'dao'jia
你还到家啦,ni'hai'dao'jia'la
你还到家了,ni'hai'dao'jia'le
你还到啦,ni'hai'dao'la
你还到了,ni'hai'dao'le
你还发现,ni'hai'fa'xian
你还方便,ni'hai'fang'bian
你还回家啦,ni'hai'hui'jia'la
你还回家了,ni'hai'hui'jia'le
你还回来啦,ni'hai'hui'lai'la
你还回来了,ni'hai'hui'lai'le
你还看到,ni'hai'kan'dao
你还看到啦,ni'hai'kan'dao'la
你还看过,ni'hai'kan'guo
你还来啊,ni'hai'lai'a
你还来啦,ni'hai'lai'la
你还来了,ni'hai'lai'le
你还忙啊,ni'hai'mang'a
你还能不要,ni'hai'neng'bu'yao
你还起来,ni'hai'qi'lai
你还起来啦,ni'hai'qi'lai'la
你还起来了,ni'hai'qi'lai'le
你还去啊,ni'hai'qu'a
你还收到,ni'hai'shou'dao
你还睡啦,ni'hai'shui'la
你还下班,ni'hai'xia'ban
你还下班啦,ni'hai'xia'ban'la
你还有啊,ni'hai'you'a
你还在南京,ni'hai'zai'nan'jing
你还至于,ni'hai'zhi'yu
你回南京,ni'hui'nan'jing
你家对象,ni'jia'dui'xiang
你家老婆,ni'jia'lao'po
你家女儿,ni'jia'nv'er
你家他,ni'jia'ta
你江宁,ni'jiang'ning
你结束啦,ni'jie'shu'la
你看哎,ni'kan'ai
你看还行,ni'kan'hai'xing
你来哎,ni'lai'ai
你来南京,ni'lai'nan'jing
你来南京了,ni'lai'nan'jing'le
你累死了,ni'lei'si'le
你妈头,ni'ma'tou
你么的,ni'me'de
你哪边,ni'na'bian
你哪块,ni'na'kuai
你南京,ni'nan'jing
你南京的,ni'nan'jing'de
你南京人,ni'nan'jing'ren
你南通,ni'nan'tong
你去哪的,ni'qu'na'de
你上床啦,ni'shang'chuang'la
你少来吧,ni'shao'lai'ba
你是呆逼,ni'shi'dai'bi
你是南京,ni'shi'nan'jing
你是南京人,ni'shi'nan'jing'ren
你是甩,ni'shi'shuai
你爽死了,ni'shuang'si'le
你说哎,ni'shuo'ai
你说什么的,ni'shuo'shen'me'de
你死走,ni'si'zou
你死走吧,ni'si'zou'ba
你随我,ni'sui'wo
你他妈比,ni'ta'ma'bi
你谈对象,ni'tan'dui'xiang
你头脑,ni'tou'nao
你头脑不好,ni'tou'nao'bu'hao
你洗过啦,ni'xi'guo'la
你洗过了,ni'xi'guo'le
你洗过澡,ni'xi'guo'zao
你瞎搞,ni'xia'gao
你瞎讲,ni'xia'jiang
你徐州,ni'xu'zhou
你要来南京,ni'yao'lai'nan'jing
你也在南京,ni'ye'zai'nan'jing
你在干么四,ni'zai'gan'me'si
你在江宁,ni'zai'jiang'ning
你在哪边,ni'zai'na'bian
你在哪快,ni'zai'na'kuai
你在南京,ni'zai'nan'jing
你在新街口,ni'zai'xin'jie'kou
你在扬州,ni'zai'yang'zhou
你早讲,ni'zao'jiang
你早呢,ni'zao'ne
你怎么讲,ni'zen'me'jiang
你真肯,ni'zhen'ken
你住哪边,ni'zhu'na'bian
年级大会,nian'ji'da'hui
宁丹路,ning'dan'lu
宁工新寓,ning'gong'xin'yu
宁海路,ning'hai'lu
宁海中学,ning'hai'zhong'xue
宁杭高铁,ning'hang'gao'tie
宁康苑,ning'kang'yuan
宁六路,ning'liu'lu
宁双路,ning'shuang'lu
牛杯杯,niu'bei'bei
牛肉锅贴,niu'rou'guo'tie
牛首,niu'shou
牛首山,niu'shou'shan
弄不起来,nong'bu'qi'lai
农贸中心,nong'mao'zhong'xin
暖房酒,nuan'fang'jiu
诺富特,nuo'fu'te
诺诗兰,nuo'shi'lan
哦的事,o'de'shi
哦南京,o'nan'jing
哦是的,o'shi'de
欧美亚,ou'mei'ya
怕动,pa'dong
帕威尔,pa'wei'er
爬紫金山,pa'zi'jin'shan
拍不起来,pai'bu'qi'lai
牌楼,pai'lou
牌楼巷,pai'lou'xiang
盘城,pan'cheng
潘东,pan'dong
盘金华府,pan'jin'hua'fu
盘膝,pan'xi
旁边去,pang'bian'qu
胖鱼头,pang'yu'tou
跑南京,pao'nan'jing
炮院,pao'yuan
泡子子,pao'zi'zi
裴家桥,pei'jia'qiao
皮肚,pi'du
皮肚面,pi'du'mian
皮肤研究所,pi'fu'yan'jiu'suo
屁话啰嗦,pi'hua'luo'suo
毗卢寺,pi'lu'si
琵琶湖,pi'pa'hu
琵琶巷,pi'pa'xiang
皮炎所,pi'yan'suo
片管,pian'guan
票你,piao'ni
票人,piao'ren
票他,piao'ta
票亭,piao'ting
票我,piao'wo
平安阿福,ping'an'a'fu
平价店,ping'jia'dian
评价手册,ping'jia'shou'ce
平江府,ping'jiang'fu
平江府路,ping'jiang'fu'lu
评事街,ping'shi'jie
浦厂,pu'chang
浦厂小区,pu'chang'xiao'qu
浦东花园,pu'dong'hua'yuan
浦东路,pu'dong'lu
浦集,pu'ji
普觉寺,pu'jue'si
浦口,pu'kou
浦口的,pu'kou'de
浦口了,pu'kou'le
浦口区,pu'kou'qu
浦口校区,pu'kou'xiao'qu
浦六路,pu'liu'lu
朴园,pu'yuan
浦珠北路,pu'zhu'bei'lu
浦珠路,pu'zhu'lu
浦珠南路,pu'zhu'nan'lu
七彩星城,qi'cai'xing'cheng
起迟,qi'chi
起迟了,qi'chi'le
气的一笔,qi'de'yi'bi
骐记,qi'ji
祁家桥,qi'jia'qiao
七家湾,qi'jia'wan
气科,qi'ke
祁可欣,qi'ke'xin
奇乐儿,qi'le'er
七里岗,qi'li'gang
七里街,qi'li'jie
七里桥,qi'li'qiao
麒麟门,qi'lin'men
麒麟镇,qi'lin'zhen
七桥瓮,qi'qiao'weng
栖霞,qi'xia
栖霞大道,qi'xia'da'dao
栖霞区,qi'xia'qu
栖霞山,qi'xia'shan
栖霞寺,qi'xia'si
气象楼,qi'xiang'lou
气象学,qi'xiang'xue
气象学院,qi'xiang'xue'yuan
栖园,qi'yuan
前保,qian'bao
芊城,qian'cheng
乾宫,qian'gong
浅深,qian'shen
钱塘人家,qian'tang'ren'jia
钱旺,qian'wang
千张结,qian'zhang'jie
强倒,qiang'dao
腔体,qiang'ti
桥北,qiao'bei
桥北的,qiao'bei'de
桥北了,qiao'bei'le
桥北路,qiao'bei'lu
桥北新村,qiao'bei'xin'cun
桥北站,qiao'bei'zhan
侨鸿,qiao'hong
雀子,qiao'zi
秦虹,qin'hong
秦虹路,qin'hong'lu
秦虹桥,qin'hong'qiao
秦虹小区,qin'hong'xiao'qu
溱湖,qin'hu
秦淮,qin'huai
秦淮河,qin'huai'he
秦淮路,qin'huai'lu
秦淮绿洲,qin'huai'lv'zhou
秦淮区,qin'huai'qu
亲情干嘛,qin'qing'gan'ma
亲情号码,qin'qing'hao'ma
亲水湾,qin'shui'wan
勤学楼,qin'xue'lou
清安,qing'an
青奥,qing'ao
青奥会,qing'ao'hui
请迟,qing'chi
青春剧场,qing'chun'ju'chang
清大八早,qing'da'ba'zao
青岛路,qing'dao'lu
青共校,qing'gong'xiao
青果,qing'guo
清河新寓,qing'he'xin'yu
青会,qing'hui
清江花苑,qing'jiang'hua'yuan
清江西苑,qing'jiang'xi'yuan
清凉门,qing'liang'men
清凉门大街,qing'liang'men'da'jie
清凉山,qing'liang'shan
青龙山,qing'long'shan
青露,qing'lu
情侣园,qing'lv'yuan
清木,qing'mu
青山湾,qing'shan'wan
青石村,qing'shi'cun
青石街,qing'shi'jie
清水亭,qing'shui'ting
青桐园,qing'tong'yuan
清新家园,qing'xin'jia'yuan
青云巷,qing'yun'xiang
清竹园,qing'zhu'yuan
去哎,qu'ai
去奥体,qu'ao'ti
去不起来,qu'bu'qi'lai
去菜场,qu'cai'chang
去常州,qu'chang'zhou
去大厂,qu'da'chang
去德基,qu'de'ji
去东山,qu'dong'shan
去夫子庙,qu'fu'zi'miao
去高淳,qu'gao'chun
去鼓楼,qu'gu'lou
去挂水,qu'gua'shui
去淮安,qu'huai'an
去江宁,qu'jiang'ning
去江浦,qu'jiang'pu
去赖,qu'lai
去溧水,qu'li'shui
去连云港,qu'lian'yun'gang
去六合,qu'lu'he
去迈皋桥,qu'mai'gao'qiao
去哪边,qu'na'bian
去哪的啊,qu'na'de'a
去哪快,qu'na'kuai
去南大,qu'nan'da
去南航,qu'nan'hang
去南京,qu'nan'jing
取票号,qu'piao'hao
去婆婆家,qu'po'po'jia
去浦口,qu'pu'kou
去桥北,qu'qiao'bei
去山西路,qu'shan'xi'lu
去水魔方,qu'shui'mo'fang
去水游城,qu'shui'you'cheng
去死赖,qu'si'lai
去泰州,qu'tai'zhou
去仙林,qu'xian'lin
去新街口,qu'xin'jie'kou
去玄武湖,qu'xuan'wu'hu
去扬州,qu'yang'zhou
去镇江,qu'zhen'jiang
去中山陵,qu'zhong'shan'ling
去珠江路,qu'zhu'jiang'lu
泉峰,quan'feng
全民健身中心,quan'min'jian'shen'zhong'xin
全明,quan'ming
全南京,quan'nan'jing
全球版,quan'qiu'ban
全是的,quan'shi'de
全无敌,quan'wu'di
绕越,rao'yue
热的一笔,re'de'yi'bi
热的一次,re'de'yi'ci
热河,re'he
热河路,re'he'lu
热河南路,re'he'nan'lu
热和南路,re'huo'nan'lu
热死得了,re'si'de'le
认不识,ren'bu'shi
人工路,ren'gong'lu
人还多啊,ren'hai'duo'a
仁恒,ren'heng
人狂多,ren'kuang'duo
人人墙,ren'ren'qiang
人文院,ren'wen'yuan
扔尼玛,reng'ni'ma
日比,ri'bi
日不懂,ri'bu'dong
日吊,ri'diao
日猴,ri'hou
融康苑,rong'kang'yuan
肉圆,rou'yuan
肉圆子,rou'yuan'zi
如果超市,ru'guo'chao'shi
入梅,ru'mei
如意里,ru'yi'li
如意苑,ru'yi'yuan
软创,ruan'chuang
软件大道,ruan'jian'da'dao
软件发到,ruan'jian'fa'dao
软件谷,ruan'jian'gu
软腿子,ruan'tui'zi
睿城,rui'cheng
瑞鸿名邸,rui'hong'ming'di
瑞金北村,rui'jin'bei'cun
瑞金路,rui'jin'lu
瑞金新村,rui'jin'xin'cun
瑞阳街,rui'yang'jie
瑞园,rui'yuan
润花园,run'hua'yuan
润泰,run'tai
润泰市场,run'tai'shi'chang
润园,run'yuan
萨家湾,sa'jia'wan
萨利赫,sa'li'he
赛虹桥,sai'hong'qiao
塞拉尼斯,sai'la'ni'si
三胞,san'bao
三步两桥,san'bu'liang'qiao
三汊河,san'cha'he
三初,san'chu
三房,san'fang
三号出口,san'hao'chu'kou
三号门,san'hao'men
三河桥,san'he'qiao
三江的,san'jiang'de
三江学院,san'jiang'xue'yuan
三排练,san'pai'lian
三牌楼,san'pai'lou
三牌楼大街,san'pai'lou'da'jie
三千接,san'qian'jie
三三街,san'san'jie
三山街,san'shan'jie
三食堂,san'shi'tang
三条巷,san'tiao'xiang
三西路,san'xi'lu
三鲜面,san'xian'mian
三元巷,san'yuan'xiang
丧德,sang'de
骚花,sao'hua
莎莉文,sha'li'wen
沙塘园,sha'tang'yuan
沙虾,sha'xia
砂珠巷,sha'zhu'xiang
晒觉,shai'jue
晒尸,shai'shi
山百,shan'bai
删的了,shan'de'le
扇骨营,shan'gu'ying
善卷洞,shan'juan'dong
山潘,shan'pan
善水湾,shan'shui'wan
山西路,shan'xi'lu
山西路了,shan'xi'lu'le
山西人家,shan'xi'ren'jia
上哎,shang'ai
上坝,shang'ba
上班哎,shang'ban'ai
上本子,shang'ben'zi
上不起来,shang'bu'qi'lai
上床咯,shang'chuang'ge
上大桥,shang'da'qiao
伤的了,shang'de'le
上地铁了,shang'di'tie'le
上坊,shang'fang
上份子,shang'fen'zi
上峰,shang'feng
尚府,shang'fu
上海路,shang'hai'lu
上花轿,shang'hua'jiao
上裤子,shang'ku'zi
上路子,shang'lu'zi
商茂,shang'mao
上南京,shang'nan'jing
上任务,shang'ren'wu
上新河,shang'xin'he
上影,shang'ying
上元,shang'yuan
上元大街,shang'yuan'da'jie
上元门,shang'yuan'men
烧鸡公,shao'ji'gong
韶死了,shao'si'le
少一窍,shao'yi'qiao
社区店,she'qu'dian
摄山,she'shan
摄山星城,she'shan'xing'cheng
社巡,she'xun
审计学院,shen'ji'xue'yuan
什么车子,shen'me'che'zi
什么吊,shen'me'diao
什么掉东西,shen'me'diao'dong'xi
什么吊人,shen'me'diao'ren
什么吊事,shen'me'diao'shi
什么吊意思,shen'me'diao'yi'si
什尼,shen'ni
神农路,shen'nong'lu
神气活现,shen'qi'huo'xian
神头鬼脸,shen'tou'gui'lian
什子,shen'zi
圣诞村,sheng'dan'cun
圣蒂亚,sheng'di'ya
生瓜,sheng'gua
圣和,sheng'he
圣辉,sheng'hui
生活委,sheng'huo'wei
省级机关,sheng'ji'ji'guan
盛江,sheng'jiang
省控线,sheng'kong'xian
胜利村,sheng'li'cun
省人民,sheng'ren'min
省人医,sheng'ren'yi
胜太,sheng'tai
胜太路,sheng'tai'lu
胜太西路,sheng'tai'xi'lu
省统考,sheng'tong'kao
省中,sheng'zhong
省中旅,sheng'zhong'lv
省中西,sheng'zhong'xi
省中医院,sheng'zhong'yi'yuan
升州路,sheng'zhou'lu
是哎,shi'ai
是哎是哎,shi'ai'shi'ai
石埠桥,shi'bu'qiao
是惨,shi'can
是差,shi'cha
是丑,shi'chou
十村,shi'cun
实达,shi'da
仕达利恩,shi'da'li'en
石打食,shi'da'shi
十大子,shi'da'zi
是呔,shi'dai
是带,shi'dai
是带是带,shi'dai'shi'dai
是的哎,shi'de'ai
是的地,shi'de'di
是的诶,shi'de'ei
是的歪,shi'de'wai
史地,shi'di
是滴哎,shi'di'ai
是滴诶,shi'di'ei
是滴呢,shi'di'ne
市第一,shi'di'yi
是丢,shi'diu
事多呢,shi'duo'ne
施而美,shi'er'mei
是烦,shi'fan
是烦人,shi'fan'ren
是烦躁,shi'fan'zao
石佛寺,shi'fo'si
市妇幼,shi'fu'you
石鼓路,shi'gu'lu
时光澔韵,shi'guang'gao'yun
石锅饭,shi'guo'fan
是狠,shi'hen
世纪东山,shi'ji'dong'shan
世纪华联,shi'ji'hua'lian
市级机关,shi'ji'ji'guan
世纪缘,shi'ji'yuan
史家里,shi'jia'li
十街区,shi'jie'qu
石臼湖,shi'jiu'hu
十里牌,shi'li'pai
狮麟,shi'lin
石林百货,shi'lin'bai'huo
狮麟驾校,shi'lin'jia'xiao
世茂滨江,shi'mao'bin'jiang
石门坎,shi'men'kan
是哪边,shi'na'bian
是南京,shi'nan'jing
是南京的,shi'nan'jing'de
是南京人,shi'nan'jing'ren
是你讲的,shi'ni'jiang'de
屎尼玛,shi'ni'ma
是欧,shi'ou
石婆婆,shi'po'po
石湫,shi'qiu
是甩,shi'shuai
十四所,shi'si'suo
食堂鸡排,shi'tang'ji'pai
石塘竹海,shi'tang'zhu'hai
市统考,shi'tong'kao
石头城,shi'tou'cheng
狮王府,shi'wang'fu
食为先,shi'wei'xian
实验周,shi'yan'zhou
石杨路,shi'yang'lu
史政,shi'zheng
市政天元城,shi'zheng'tian'yuan'cheng
市中旅,shi'zhong'lv
狮子楼,shi'zi'lou
狮子桥,shi'zi'qiao
狮子山,shi'zi'shan
屎走,shi'zou
手佳,shou'jia
售检票,shou'jian'piao
受凉的,shou'liang'de
受凉啦,shou'liang'la
受凉了,shou'liang'le
受凉了吧,shou'liang'le'ba
手拎袋,shou'lin'dai
手撕包,shou'si'bao
瘦西湖,shou'xi'hu
受罪死了,shou'zui'si'le
书局,shu'ju
书香地,shu'xiang'di
刷死你,shua'si'ni
甩比,shuai'bi
甩吃,shuai'chi
甩大,shuai'da
帅的一比,shuai'de'yi'bi
甩多,shuai'duo
甩货,shuai'huo
甩样,shuai'yang
甩子,shuai'zi
双拜巷,shuang'bai'xiang
爽的一笔,shuang'de'yi'bi
爽的一米,shuang'de'yi'mi
双和园,shuang'he'yuan
爽赖,shuang'lai
双龙大道,shuang'long'da'dao
双龙发到,shuang'long'fa'dao
双龙街,shuang'long'jie
双龙巷,shuang'long'xiang
双门楼,shuang'men'lou
双南,shuang'nan
双牌石,shuang'pai'shi
双桥门,shuang'qiao'men
双塘,shuang'tang
双学区,shuang'xue'qu
双闸,shuang'zha
睡包,shui'bao
睡啵,shui'bo
睡不起来,shui'bu'qi'lai
水阁路,shui'ge'lu
水关桥,shui'guan'qiao
睡觉赖,shui'jiao'lai
水晶街,shui'jing'jie
睡赖,shui'lai
水力学,shui'li'xue
水魔方,shui'mo'fang
水捂子,shui'wu'zi
水西门,shui'xi'men
水西门大街,shui'xi'men'da'jie
水秀苑,shui'xiu'yuan
水游,shui'you
水游城,shui'you'cheng
水月秦淮,shui'yue'qin'huai
水中游,shui'zhong'you
水佐岗,shui'zuo'gang
顺便车,shun'bian'che
顺水人情,shun'shui'ren'qing
舜天,shun'tian
说哎,shuo'ai
说不起来,shuo'bu'qi'lai
说话爱,shuo'hua'ai
说赖,shuo'lai
说什么的啊,shuo'shen'me'de'a
说说看呢,shuo'shuo'kan'ne
四班村,si'ban'cun
司背后,si'bei'hou
四川酒家,si'chuan'jiu'jia
死的啦,si'de'la
死的了,si'de'le
四方城,si'fang'cheng
四方新村,si'fang'xin'cun
四工,si'gong
死滚,si'gun
四海一家,si'hai'yi'jia
四号门,si'hao'men
泗洪,si'hong
四季香庭,si'ji'xiang'ting
死进门,si'jin'men
死老太,si'lao'tai
四牌楼,si'pai'lou
死旁边,si'pang'bian
死旁边去,si'pang'bian'qu
四条巷,si'tiao'xiang
四卫头,si'wei'tou
四五四,si'wu'si
死虾子,si'xia'zi
斯亚,si'ya
死样哦,si'yang'o
撕走,si'zou
死走吧,si'zou'ba
死走赖,si'zou'lai
死走了,si'zou'le
死走死走,si'zou'si'zou
送不起来,song'bu'qi'lai
送大四,song'da'si
宋都,song'du
宋都美域,song'du'mei'yu
苏北,su'bei
苏北的,su'bei'de
苏驰,su'chi
苏创,su'chuang
苏大姐,su'da'jie
苏富特,su'fu'te
宿管站,su'guan'zhan
苏果,su'guo
苏果超市,su'guo'chao'shi
苏果的,su'guo'de
