阿巴迪征,a'ba'di'zheng
节段内反射,jie'duan'nei'fan'she
戒断症状,jie'duan'zheng'zhuang
界沟,jie'gou
结合臂,jie'he'bi
结核性脊膜脊髓炎,jie'he'xing'ji'mo'ji'sui'yan
结核性脑膜炎,jie'he'xing'nao'mo'yan
睫脊中枢,jie'ji'zhong'shu
结节漏斗神经分泌系统,jie'jie'lou'dou'shen'jing'fen'mi'xi'tong
结节漏斗束,jie'jie'lou'dou'shu
结节区,jie'jie'qu
结节硬化症,jie'jie'ying'hua'zheng
解痉素,jie'jing'su
戒酒硫,jie'jiu'liu
拮抗神经支配定律,jie'kang'shen'jing'zhi'pei'ding'lv
节律性眼球震颤,jie'lv'xing'yan'qiu'zhen'chan
节律障碍,jie'lv'zhang'ai
结膜反射,jie'mo'fan'she
截瘫,jie'tan
睫状神经痛,jie'zhuang'shen'jing'tong
金刚烷胺,jin'gang'wan'an
禁忌,jin'ji
近事记忆,jin'shi'ji'yi
进行性,jin'xing'xing
进行性多灶性白质脑炎,jin'xing'xing'duo'zao'xing'bai'zhi'nao'yan
进行性核上性麻痹,jin'xing'xing'he'shang'xing'ma'bi
进行性肌营养不良,jin'xing'xing'ji'ying'yang'bu'liang
进行性皮质下胶质增生症,jin'xing'xing'pi'zhi'xia'jiao'zhi'zeng'sheng'zheng
进行性胼胝体变性,jin'xing'xing'pian'zhi'ti'bian'xing
进行性球麻痹,jin'xing'xing'qiu'ma'bi
进行性全身性麻痹,jin'xing'xing'quan'shen'xing'ma'bi
进行性神经性肌萎缩,jin'xing'xing'shen'jing'xing'ji'wei'suo
进行性眼肌麻痹,jin'xing'xing'yan'ji'ma'bi
紧张性瞳孔,jin'zhang'xing'tong'kong
紧张性头痛,jin'zhang'xing'tou'tong
紧张症,jin'zhang'zheng
精氨酸,jing'an'suan
肼苯哒嗪,jing'ben'da'qin
颈丛,jing'cong
颈的,jing'de
颈动脉窦反射,jing'dong'mai'dou'fan'she
颈动脉窦性晕厥,jing'dong'mai'dou'xing'yun'jue
颈动脉分叉,jing'dong'mai'fen'cha
颈动脉海绵窦瘘,jing'dong'mai'hai'mian'dou'lou
颈动脉血管造影,jing'dong'mai'xue'guan'zao'ying
颈动脉压迫试验,jing'dong'mai'ya'po'shi'yan
颈关节强直,jing'guan'jie'qiang'zhi
颈肌痉挛,jing'ji'jing'luan
颈静脉孔综合征,jing'jing'mai'kong'zong'he'zheng
警觉,jing'jue
惊厥,jing'jue
颈抗,jing'kang
颈肋综合征,jing'lei'zong'he'zheng
痉挛,jing'luan
痉挛步态,jing'luan'bu'tai
痉挛性步行不能,jing'luan'xing'bu'xing'bu'neng
痉挛性抽搐,jing'luan'xing'chou'chu
痉挛性共济失调步态,jing'luan'xing'gong'ji'shi'tiao'bu'tai
痉挛性假性硬化,jing'luan'xing'jia'xing'ying'hua
痉挛性瘫痪,jing'luan'xing'tan'huan
痉挛性瞳孔扩大,jing'luan'xing'tong'kong'kuo'da
痉挛性斜颈,jing'luan'xing'xie'jing
痉挛状态,jing'luan'zhuang'tai
静脉窦血栓形成,jing'mai'dou'xue'shuan'xing'cheng
静脉血栓形成,jing'mai'xue'shuan'xing'cheng
静脉造影术,jing'mai'zao'ying'shu
颈袢,jing'pan
颈膨大,jing'peng'da
经皮血管造影术,jing'pi'xue'guan'zao'ying'shu
颈强直,jing'qiang'zhi
颈曲,jing'qu
精神病,jing'shen'bing
精神病学,jing'shen'bing'xue
精神错乱,jing'shen'cuo'luan
精神分裂症,jing'shen'fen'lie'zheng
精神运动性癫痫,jing'shen'yun'dong'xing'dian'xian
精神运动性发作,jing'shen'yun'dong'xing'fa'zuo
精神障碍,jing'shen'zhang'ai
痉跳病,jing'tiao'bing
颈外动脉盗血,jing'wai'dong'mai'dao'xue
精细觉的,jing'xi'jue'de
颈项的,jing'xiang'de
痉笑,jing'xiao
警醒,jing'xing
颈性眩晕,jing'xing'xuan'yun
静止性共济失调,jing'zhi'xing'gong'ji'shi'tiao
静止性小胶质细胞,jing'zhi'xing'xiao'jiao'zhi'xi'bao
静止性震颤,jing'zhi'xing'zhen'chan
颈椎脑突出,jing'zhui'nao'tu'chu
静坐不能,jing'zuo'bu'neng
酒精巴比妥中毒,jiu'jing'ba'bi'tuo'zhong'du
酒精中毒性昏迷,jiu'jing'zhong'du'xing'hun'mi
旧纹状体,jiu'wen'zhuang'ti
旧小脑,jiu'xiao'nao
柩状形成,jiu'zhuang'xing'cheng
酒醉步态,jiu'zui'bu'tai
局部感觉迟钝,ju'bu'gan'jue'chi'dun
局部痛,ju'bu'tong
咀嚼,ju'jue
巨脑回,ju'nao'hui
巨脑症,ju'nao'zheng
巨人症,ju'ren'zheng
巨头,ju'tou
剧吐,ju'tu
巨细胞病毒,ju'xi'bao'bing'du
巨细胞动脉周围炎,ju'xi'bao'dong'mai'zhou'wei'yan
聚烯吡酮,ju'xi'bi'tong
局限性癫痫小发作,ju'xian'xing'dian'xian'xiao'fa'zuo
局灶性癫痫发作,ju'zao'xing'dian'xian'fa'zuo
局灶性肌阵挛,ju'zao'xing'ji'zhen'luan
距状裂,ju'zhuang'lie
距状隐回,ju'zhuang'yin'hui
觉醒,jue'xing
卡比多巴,ka'bi'duo'ba
咖啡牛乳色斑,ka'fei'niu'ru'se'ban
咖啡因,ka'fei'yin
卡夫卡试验,ka'fu'ka'shi'yan
卡哈尔染色法,ka'ha'er'ran'se'fa
卡哈尔双重染色法,ka'ha'er'shuang'chong'ran'se'fa
卡哈尔细胞,ka'ha'er'xi'bao
卡兰,ka'lan
卡马西平,ka'ma'xi'ping
卡普兰试验,ka'pu'lan'shi'yan
卡耶哈岛,ka'ye'ha'dao
卡依斯贝克特如氏带,ka'yi'si'bei'ke'te'ru'shi'dai
开关现象,kai'guan'xian'xiang
开颅器,kai'lu'qi
凯塞综合征,kai'sai'zong'he'zheng
抗胆碱,kang'dan'jian
抗癫灵,kang'dian'ling
刻板姿势,ke'ban'zi'shi
科尔特巴郎斯手术,ke'er'te'ba'lang'si'shou'shu
克拉勃脑白质营养不良,ke'la'bo'nao'bai'zhi'ying'yang'bu'liang
克拉克细胞,ke'la'ke'xi'bao
克勒尔反射,ke'le'er'fan'she
颗粒内质网,ke'li'nei'zhi'wang
克林霉素,ke'lin'mei'su
克洛德运动增强征,ke'luo'de'yun'dong'zeng'qiang'zheng
克洛德综合征,ke'luo'de'zong'he'zheng
柯萨奇病毒,ke'sa'qi'bing'du
克氏征,ke'shi'zheng
瞌睡,ke'shui
克斯别赫捷列夫层,ke'si'bie'he'jie'lie'fu'ceng
克斯神经纤维网,ke'si'shen'jing'xian'wei'wang
克斯线,ke'si'xian
咳嗽晕厥,ke'sou'yun'jue
柯兴病,ke'xing'bing
肯尼迪综合征,ken'ni'di'zong'he'zheng
空蝶鞍综合征,kong'die'an'zong'he'zheng
空洞性脊髓突出,kong'dong'xing'ji'sui'tu'chu
空洞性脊髓炎,kong'dong'xing'ji'sui'yan
孔海姆区,kong'hai'mu'qu
空间辨别,kong'jian'bian'bie
空间定向力障碍,kong'jian'ding'xiang'li'zhang'ai
口鼻反射,kou'bi'fan'she
口吃,kou'chi
扣带沟,kou'dai'gou
扣带回,kou'dai'hui
扣带回切除术,kou'dai'hui'qie'chu'shu
扣带回切开术,kou'dai'hui'qie'kai'shu
叩击性肌强直,kou'ji'xing'ji'qiang'zhi
口轮匝肌反射,kou'lun'za'ji'fan'she
口面肌张力障碍,kou'mian'ji'zhang'li'zhang'ai
跨神经元变性,kua'shen'jing'yuan'bian'xing
跨阈步态,kua'yu'bu'tai
快流成分,kuai'liu'cheng'fen
眶沟,kuang'gou
眶回,kuang'hui
狂犬病包涵体,kuang'quan'bing'bao'han'ti
窥脑镜,kui'nao'jing
奎宁,kui'ning
喹酮心安,kui'tong'xin'an
括约肌,kuo'yue'ji
扩张,kuo'zhang
拉塞克征,la'sai'ke'zheng
蜡样屈曲,la'yang'qu'qu
蜡样质,la'yang'zhi
莱迪希圆柱体,lai'di'xi'yuan'zhu'ti
莱尔米特征,lai'er'mi'te'zheng
赖特综合征,lai'te'zong'he'zheng
蓝斑,lan'ban
蓝斑小脑纤维,lan'ban'xiao'nao'xian'wei
郎飞氏结,lang'fei'shi'jie
老年斑,lao'nian'ban
老年性痴呆,lao'nian'xing'chi'dai
老年性精神障碍,lao'nian'xing'jing'shen'zhang'ai
勒伯尔视神经萎缩,le'bo'er'shi'shen'jing'wei'suo
勒伯尔先天性黑蒙,le'bo'er'xian'tian'xing'hei'meng
类胆碱,lei'dan'jian
类固醇肌病,lei'gu'chun'ji'bing
肋间神经痛,lei'jian'shen'jing'tong
累里征,lei'li'zheng
雷马克反射,lei'ma'ke'fan'she
雷马克麻痹,lei'ma'ke'ma'bi
雷马克纤维,lei'ma'ke'xian'wei
雷马克征,lei'ma'ke'zheng
雷蒙中风,lei'meng'zhong'feng
雷尼替丁,lei'ni'ti'ding
类球状细胞白质营养不良症,lei'qiu'zhuang'xi'bao'bai'zhi'ying'yang'bu'liang'zheng
类肉瘤,lei'rou'liu
雷塞综合征,lei'sai'zong'he'zheng
泪腺,lei'xian
类型,lei'xing
类癔病,lei'yi'bing
类中风,lei'zhong'feng
冷热试验,leng're'shi'yan
冷热水试验,leng're'shui'shi'yan
犁鼻器,li'bi'qi
利玻乐,li'bo'le
粒层,li'ceng
利多卡因,li'duo'ka'yin
理解不能,li'jie'bu'neng
立克次体脑炎,li'ke'ci'ti'nao'yan
里克多总体反射,li'ke'duo'zong'ti'fan'she
利眠宁,li'mian'ning
利普曼运用不能,li'pu'man'yun'yong'bu'neng
里斯贝格线,li'si'bei'ge'xian
利他林,li'ta'lin
立体觉,li'ti'jue
立体觉失认,li'ti'jue'shi'ren
利希特海姆斑,li'xi'te'hai'mu'ban
利希特海姆病,li'xi'te'hai'mu'bing
利希特海姆测验,li'xi'te'hai'mu'ce'yan
利希特海姆失语,li'xi'te'hai'mu'shi'yu
利希特海姆征,li'xi'te'hai'mu'zheng
离心后沉淀,li'xin'hou'chen'dian
立行不能,li'xing'bu'neng
粒状皮层,li'zhuang'pi'ceng
犁状前区,li'zhuang'qian'qu
梨状神经元层,li'zhuang'shen'jing'yuan'ceng
联带运动,lian'dai'yun'dong
连贯表达不能,lian'guan'biao'da'bu'neng
连合,lian'he
连合下器,lian'he'xia'qi
链激酶,lian'ji'mei
连接,lian'jie
联觉,lian'jue
联络神经元,lian'luo'shen'jing'yuan
连续突触,lian'xu'tu'chu
两侧共济失调,liang'ce'gong'ji'shi'tiao
两侧痉挛,liang'ce'jing'luan
两侧特发性坏疽,liang'ce'te'fa'xing'huai'ju
两点辨别,liang'dian'bian'bie
良性发作性眩晕,liang'xing'fa'zuo'xing'xuan'yun
良性肌痛性,liang'xing'ji'tong'xing
良性肌痛性脑脊髓炎,liang'xing'ji'tong'xing'nao'ji'sui'yan
良性颅高压,liang'xing'lu'gao'ya
良性特发性震颤,liang'xing'te'fa'xing'zhen'chan
良性位置性眩晕,liang'xing'wei'zhi'xing'xuan'yun
两眼神经支配原理,liang'yan'shen'jing'zhi'pei'yuan'li
裂隙灯显微镜,lie'xi'deng'xian'wei'jing
邻苯基苯海拉明,lin'ben'ji'ben'hai'la'ming
林可霉素,lin'ke'mei'su
邻氯青霉素,lin'lv'qing'mei'su
菱形窝,ling'xing'wo
硫胺素,liu'an'su
硫苯咪唑,liu'ben'mi'zuo
硫苯酰胺,liu'ben'xian'an
柳苄心胺,liu'bian'xin'an
瘤病,liu'bing
六氟二乙酯,liu'fu'er'yi'zhi
硫内麦角林,liu'nei'mai'jiao'lin
硫普哌嗪,liu'pu'pai'qin
硫双二氯酚,liu'shuang'er'lv'fen
硫酸软骨素,liu'suan'ruan'gu'su
流涎,liu'xian
流涎症,liu'xian'zheng
流行性肌痛,liu'xing'xing'ji'tong
流行性脑脊膜炎,liu'xing'xing'nao'ji'mo'yan
流行性腮腺炎性脑膜炎,liu'xing'xing'sai'xian'yan'xing'nao'mo'yan
流行性乙型脑炎,liu'xing'xing'yi'xing'nao'yan
硫唑嘌呤,liu'zuo'piao'ling
隆起,long'qi
漏斗,lou'dou
漏斗后隆起,lou'dou'hou'long'qi
漏斗隐窝,lou'dou'yin'wo
瘘管,lou'guan
颅穿刺术,lu'chuan'ci'shu
颅底,lu'di
颅底凹陷,lu'di'ao'xian
颅底鼻根的,lu'di'bi'gen'de
颅底骨折,lu'di'gu'zhe
颅底陷入症,lu'di'xian'ru'zheng
颅底蛛网膜炎,lu'di'zhu'wang'mo'yan
颅底综合征,lu'di'zong'he'zheng
颅缝骨化,lu'feng'gu'hua
颅缝早闭,lu'feng'zao'bi
颅盖,lu'gai
颅骨环锯术,lu'gu'huan'ju'shu
颅骨切除术,lu'gu'qie'chu'shu
颅骨切开术,lu'gu'qie'kai'shu
颅骨软化,lu'gu'ruan'hua
颅骨纤维结构不良综合征,lu'gu'xian'wei'jie'gou'bu'liang'zong'he'zheng
颅骨硬化,lu'gu'ying'hua
颅骨早期融合,lu'gu'zao'qi'rong'he
颅脊柱裂,lu'ji'zhu'lie
颅角测量法,lu'jiao'ce'liang'fa
颅叩听诊法,lu'kou'ting'zhen'fa
颅裂,lu'lie
颅脑局部解剖学,lu'nao'ju'bu'jie'pou'xue
颅内的,lu'nei'de
颅内压,lu'nei'ya
颅内压增高,lu'nei'ya'zeng'gao
颅腔,lu'qiang
颅腔积气,lu'qiang'ji'qi
颅神经麻痹综合征,lu'shen'jing'ma'bi'zong'he'zheng
芦酸霉素,lu'suan'mei'su
颅狭小,lu'xia'xiao
颅囟,lu'xin
颅咽管瘤,lu'yan'guan'liu
路易斯氏体,lu'yi'si'shi'ti
颅指数,lu'zhi'shu
颅纵裂,lu'zong'lie
轮替运动,lun'ti'yun'dong
轮替运动障碍,lun'ti'yun'dong'zhang'ai
络丛,luo'cong
罗瑟尔氏钩束,luo'se'er'shi'gou'shu
罗索利莫征,luo'suo'li'mo'zheng
螺旋器,luo'xuan'qi
氯安眠酮,lv'an'mian'tong
氯贝丁酯铝,lv'bei'ding'zhi'lv
氯苯氨丁酸,lv'ben'an'ding'suan
氯苯甲噻二嗪,lv'ben'jia'sai'er'qin
氯苯甲酮,lv'ben'jia'tong
氯丙咪嗪,lv'bing'mi'qin
氯丙嗪,lv'bing'qin
氯氮平,lv'dan'ping
氯喹,lv'kui
氯霉素,lv'mei'su
氯羟安定,lv'qiang'an'ding
氯噻酮,lv'sai'tong
氯硝安定,lv'xiao'an'ding
氯压定,lv'ya'ding
氯酯醒,lv'zhi'xing
麻痹性痴呆,ma'bi'xing'chi'dai
麻痹性狂犬病,ma'bi'xing'kuang'quan'bing
马尔基法,ma'er'ji'fa
马尔基反应,ma'er'ji'fan'ying
马尔基小球,ma'er'ji'xiao'qiu
马尔提诺蒂细胞,ma'er'ti'nuo'di'xi'bao
麻风,ma'feng
马拉卡内隙,ma'la'ka'nei'xi
马拉卡内锥体,ma'la'ka'nei'zhui'ti
马里内斯科浮胀手,ma'li'nei'si'ke'fu'zhang'shou
麻木,ma'mu
马尾,ma'wei
马行步态,ma'xing'bu'tai
麻疹,ma'zhen
麦迪霉素,mai'di'mei'su
麦角胺,mai'jiao'an
麦角酸二乙酰胺,mai'jiao'suan'er'yi'xian'an
麦角溴烟酯,mai'jiao'xiu'yan'zhi
麦角乙脲,mai'jiao'yi'niao
麦克尔氏触盘,mai'ke'er'shi'chu'pan
脉络丛,mai'luo'cong
脉络丛上皮,mai'luo'cong'shang'pi
脉络带,mai'luo'dai
脉络裂,mai'luo'lie
脉络膜,mai'luo'mo
脉络膜前动脉阻塞综合征,mai'luo'mo'qian'dong'mai'zu'se'zong'he'zheng
慢流成分,man'liu'cheng'fen
慢性,man'xing
慢性进行性炎症性多发性神经病,man'xing'jin'xing'xing'yan'zheng'xing'duo'fa'xing'shen'jing'bing
慢性特发性黄,man'xing'te'fa'xing'huang
盲点,mang'dian
盲孔,mang'kong
毛细血管扩张,mao'xi'xue'guan'kuo'zhang
毛细血管扩张性运动失调,mao'xi'xue'guan'kuo'zhang'xing'yun'dong'shi'tiao
梅毒,mei'du
梅毒瘤,mei'du'liu
梅毒螺旋体,mei'du'luo'xuan'ti
梅毒性大脑动脉内膜炎,mei'du'xing'da'nao'dong'mai'nei'mo'yan
梅毒性脊髓炎,mei'du'xing'ji'sui'yan
梅毒性肌萎缩,mei'du'xing'ji'wei'suo
梅毒性癔病,mei'du'xing'yi'bing
梅毒性主动脉炎,mei'du'xing'zhu'dong'mai'yan
美多巴,mei'duo'ba
美多心安,mei'duo'xin'an
美芬噻酮,mei'fen'sai'tong
美芬妥因,mei'fen'tuo'yin
眉间反射,mei'jian'fan'she
美解眠,mei'jie'mian
美尼尔氏症,mei'ni'er'shi'zheng
美散酮,mei'san'tong
美斯的明,mei'si'de'ming
美托洛尔,mei'tuo'luo'er
美西律,mei'xi'lv
美伊伦特氏连合,mei'yi'lun'te'shi'lian'he
孟德尔足背反射,meng'de'er'zu'bei'fan'she
朦胧状态,meng'long'zhuang'tai
米尔斯病,mi'er'si'bing
迷宫,mi'gong
咪康唑,mi'kang'zuo
迷路,mi'lu
迷路反射,mi'lu'fan'she
迷路性眼球震颤,mi'lu'xing'yan'qiu'zhen'chan
迷路炎,mi'lu'yan
弥漫性硬化,mi'man'xing'ying'hua
弥漫性轴周性脑炎,mi'man'xing'zhou'zhou'xing'nao'yan
米诺尔病,mi'nuo'er'bing
米诺尔征,mi'nuo'er'zheng
咪噻芬,mi'sai'fen
迷走三角,mi'zou'san'jiao
迷走舌咽神经痛,mi'zou'she'yan'shen'jing'tong
面部神经痛,mian'bu'shen'jing'tong
面肌颤搐,mian'ji'chan'chu
面肌抽搐,mian'ji'chou'chu
面肌痉挛,mian'ji'jing'luan
面肌麻痹,mian'ji'ma'bi
面肌失用,mian'ji'shi'yong
面肌纤维颤搐,mian'ji'xian'wei'chan'chu
面肩肱型肌营养不良,mian'jian'gong'xing'ji'ying'yang'bu'liang
面肩肱型营养不良,mian'jian'gong'xing'ying'yang'bu'liang
面具脸,mian'ju'lian
面脑血管瘤综合征,mian'nao'xue'guan'liu'zong'he'zheng
面偏侧肥大,mian'pian'ce'fei'da
面偏侧萎缩,mian'pian'ce'wei'suo
面容失认,mian'rong'shi'ren
面神经麻痹,mian'shen'jing'ma'bi
面神经丘,mian'shen'jing'qiu
面瘫,mian'tan
绵状脑病,mian'zhuang'nao'bing
灭滴灵,mie'di'ling
敏度,min'du
明变性,ming'bian'xing
默比厄斯病,mo'bi'e'si'bing
模糊,mo'hu
莫雷尔耳,mo'lei'er'er
莫雷尔综合征,mo'lei'er'zong'he'zheng
莫林酮,mo'lin'tong
莫纳科夫学说,mo'na'ke'fu'xue'shuo
膜囊肿,mo'nang'zhong
木僵,mu'jiang
纳洛酮,na'luo'tong
萘普生,nai'pu'sheng
萘羟心安,nai'qiang'xin'an
囊斑,nang'ban
囊虫病,nang'chong'bing
囊性脊柱裂,nang'xing'ji'zhu'lie
囊性中央坏死,nang'xing'zhong'yang'huai'si
脑白质营养不良,nao'bai'zhi'ying'yang'bu'liang
脑半乳糖,nao'ban'ru'tang
脑半乳糖苷脂,nao'ban'ru'tang'gan'zhi
脑病,nao'bing
脑病划痕,nao'bing'hua'hen
脑病性木僵,nao'bing'xing'mu'jiang
脑不全,nao'bu'quan
脑超声图,nao'chao'sheng'tu
脑出血,nao'chu'xue
脑穿刺术,nao'chuan'ci'shu
脑穿通畸形,nao'chuan'tong'ji'xing
脑穿通性囊肿,nao'chuan'tong'xing'nang'zhong
脑挫伤,nao'cuo'shang
脑刀,nao'dao
脑岛,nao'dao
脑岛外侧面,nao'dao'wai'ce'mian
脑底动脉环,nao'di'dong'mai'huan
脑电镜,nao'dian'jing
脑电图,nao'dian'tu
脑动静脉畸形,nao'dong'jing'mai'ji'xing
脑动脉硬化强直,nao'dong'mai'ying'hua'qiang'zhi
脑动脉硬化性痴呆,nao'dong'mai'ying'hua'xing'chi'dai
脑动脉造影术,nao'dong'mai'zao'ying'shu
脑发育不全性脑积水,nao'fa'yu'bu'quan'xing'nao'ji'shui
脑发育异常,nao'fa'yu'yi'chang
脑发育障碍,nao'fa'yu'zhang'ai
脑放线菌病,nao'fang'xian'jun'bing
脑干,nao'gan
脑苷脂,nao'gan'zhi
脑苷脂沉积病,nao'gan'zhi'chen'ji'bing
脑苷脂类,nao'gan'zhi'lei
脑梗死,nao'geng'si
脑坏疽,nao'huai'ju
脑灰质炎,nao'hui'zhi'yan
脑活素,nao'huo'su
脑脊膜脑脊髓病,nao'ji'mo'nao'ji'sui'bing
脑脊膜脑脊髓炎,nao'ji'mo'nao'ji'sui'yan
脑脊膜外的,nao'ji'mo'wai'de
脑积气,nao'ji'qi
脑脊神经根炎,nao'ji'shen'jing'gen'yan
脑积水,nao'ji'shui
脑积水样的,nao'ji'shui'yang'de
脑脊髓病,nao'ji'sui'bing
脑脊髓脊神经根病,nao'ji'sui'ji'shen'jing'gen'bing
脑脊髓空洞症,nao'ji'sui'kong'dong'zheng
脑脊髓神经病,nao'ji'sui'shen'jing'bing
脑脊髓神经根,nao'ji'sui'shen'jing'gen
脑脊髓神经根炎,nao'ji'sui'shen'jing'gen'yan
脑脊髓炎,nao'ji'sui'yan
脑脊液,nao'ji'ye
脑脊液鼻漏,nao'ji'ye'bi'lou
脑脊液动力检查,nao'ji'ye'dong'li'jian'cha
脑脊液动力学检查,nao'ji'ye'dong'li'xue'jian'cha
脑脊液分隔综合征,nao'ji'ye'fen'ge'zong'he'zheng
脑脊液漏,nao'ji'ye'lou
脑脊液脑屏障,nao'ji'ye'nao'ping'zhang
脑脊液细胞增多,nao'ji'ye'xi'bao'zeng'duo
脑脊液压指数,nao'ji'ye'ya'zhi'shu
脑脊液氧化酶,nao'ji'ye'yang'hua'mei
脑节,nao'jie
脑菌样膨出,nao'jun'yang'peng'chu
脑空洞症,nao'kong'dong'zheng
脑裂,nao'lie
脑磷脂,nao'lin'zhi
脑瘤,nao'liu
脑膜,nao'mo
脑膜出血,nao'mo'chu'xie
脑膜刺激症,nao'mo'ci'ji'zheng
脑膜的,nao'mo'de
脑膜动脉炎,nao'mo'dong'mai'yan
脑膜肺炎,nao'mo'fei'yan
脑膜缝合术,nao'mo'feng'he'shu
脑膜复发,nao'mo'fu'fa
脑膜瘤,nao'mo'liu
脑膜脑病,nao'mo'nao'bing
脑膜脑膨出,nao'mo'nao'peng'chu
脑膜脑皮层的,nao'mo'nao'pi'ceng'de
脑膜脑炎,nao'mo'nao'yan
脑膜内的,nao'mo'nei'de
脑膜膨出,nao'mo'peng'chu
脑膜肉瘤,nao'mo'rou'liu
脑膜软化,nao'mo'ruan'hua
脑膜渗血,nao'mo'shen'xue
脑膜细胞,nao'mo'xi'bao
脑膜血管,nao'mo'xue'guan
脑膜血管梅毒,nao'mo'xue'guan'mei'du
脑膜炎,nao'mo'yan
脑膜炎球菌血症,nao'mo'yan'qiu'jun'xue'zheng
脑膜炎双球菌,nao'mo'yan'shuang'qiu'jun
脑膜炎双球菌性脑膜炎,nao'mo'yan'shuang'qiu'jun'xing'nao'mo'yan
脑囊虫病,nao'nang'chong'bing
脑脑膜病,nao'nao'mo'bing
脑脑膜膨出,nao'nao'mo'peng'chu
脑内的,nao'nei'de
脑脓肿,nao'nong'zhong
脑膨出,nao'peng'chu
脑皮层电图,nao'pi'ceng'dian'tu
脑皮层切除术,nao'pi'ceng'qie'chu'shu
脑皮层纤维结构,nao'pi'ceng'xian'wei'jie'gou
脑前叶肿瘤,nao'qian'ye'zhong'liu
脑前叶肿瘤征,nao'qian'ye'zhong'liu'zheng
脑桥,nao'qiao
脑桥臂,nao'qiao'bi
脑桥空洞症,nao'qiao'kong'dong'zheng
脑桥小脑纤维,nao'qiao'xiao'nao'xian'wei
脑切开术,nao'qie'kai'shu
脑缺血,nao'que'xie
脑软化,nao'ruan'hua
脑神经痛,nao'shen'jing'tong
脑室,nao'shi
脑石,nao'shi
脑室穿刺,nao'shi'chuan'ci
脑室穿刺术,nao'shi'chuan'ci'shu
脑室积气,nao'shi'ji'qi
脑室镜,nao'shi'jing
脑室镜检查,nao'shi'jing'jian'cha
脑室颈静脉口分流术,nao'shi'jing'jing'mai'kou'fen'liu'shu
脑室脑池分流术,nao'shi'nao'chi'fen'liu'shu
脑室旁,nao'shi'pang
脑室心房分流术,nao'shi'xin'fang'fen'liu'shu
脑室压测量法,nao'shi'ya'ce'liang'fa
脑室炎,nao'shi'yan
脑室造影术,nao'shi'zao'ying'shu
脑室造影照片,nao'shi'zao'ying'zhao'pian
脑受压,nao'shou'ya
脑衰弱综合征,nao'shuai'ruo'zong'he'zheng
脑栓塞,nao'shuan'sai
脑水肿,nao'shui'zhong
脑损害的,nao'sun'hai'de
脑铜蛋白,nao'tong'dan'bai
脑下垂体腺瘤,nao'xia'chui'ti'xian'liu
脑小畸形,nao'xiao'ji'xing
脑心肌炎,nao'xin'ji'yan
脑心综合征,nao'xin'zong'he'zheng
脑形成,nao'xing'cheng
脑形的,nao'xing'de
脑性肥胖症,nao'xing'fei'pang'zheng
脑型肺吸虫病,nao'xing'fei'xi'chong'bing
脑性梅毒,nao'xing'mei'du
脑性双侧瘫痪,nao'xing'shuang'ce'tan'huan
脑性瘫痪,nao'xing'tan'huan
脑性瘫痪症,nao'xing'tan'huan'zheng
脑型血吸虫病,nao'xing'xue'xi'chong'bing
脑血管意外,nao'xue'guan'yi'wai
脑血管造影,nao'xue'guan'zao'ying
脑血栓形成,nao'xue'shuan'xing'cheng
脑炎,nao'yan
脑益嗪,nao'yi'qin
脑隐球菌病,nao'yin'qiu'jun'bing
脑硬化,nao'ying'hua
脑硬化症,nao'ying'hua'zheng
脑域测定器,nao'yu'ce'ding'qi
脑造影照片,nao'zao'ying'zhao'pian
脑照相术,nao'zhao'xiang'shu
脑震荡,nao'zhen'dang
脑震荡后综合征,nao'zhen'dang'hou'zong'he'zheng
脑脂质增多症,nao'zhi'zhi'zeng'duo'zheng
脑组织样的,nao'zu'zhi'yang'de
内侧隆起,nei'ce'long'qi
内侧丘系,nei'ce'qiu'xi
内侧丘系交叉,nei'ce'qiu'xi'jiao'cha
内侧膝状体,nei'ce'xi'zhuang'ti
内侧纵束,nei'ce'zong'shu
内分泌,nei'fen'mi
内感受器,nei'gan'shou'qi
内格里小体,nei'ge'li'xiao'ti
内界膜,nei'jie'mo
内颗粒层,nei'ke'li'ceng
内淋巴,nei'lin'ba
内囊,nei'nang
内囊后脚,nei'nang'hou'jiao
内囊前脚,nei'nang'qian'jiao
内囊膝,nei'nang'xi
内收,nei'shou
内髓板,nei'sui'ban
内脏反射,nei'zang'fan'she
内脏效应器,nei'zang'xiao'ying'qi
内锥体层,nei'zhui'ti'ceng
尼卡地平,ni'ka'di'ping
尼莫地平,ni'mo'di'ping
尼氏体,ni'shi'ti
逆向轴浆输送,ni'xiang'zhou'jiang'shu'song
逆行变性,ni'xing'bian'xing
逆行性遗忘,ni'xing'xing'yi'wang
粘多糖病,nian'duo'tang'bing
粘多糖病型,nian'duo'tang'bing'xing
粘多糖增多症,nian'duo'tang'zeng'duo'zheng
粘膜,nian'mo
粘液神经胶质瘤,nian'ye'shen'jing'jiao'zhi'liu
粘液性水肿,nian'ye'xing'shui'zhong
粘滞度过高,nian'zhi'du'guo'gao
念珠菌,nian'zhu'jun
尿崩症,niao'beng'zheng
尿毒症脑病,niao'du'zheng'nao'bing
尿激酶,niao'ji'mei
颞侧,nie'ce
颞侧偏盲,nie'ce'pian'mang
颞动脉,nie'dong'mai
颞骨骨膜下脓肿,nie'gu'gu'mo'xia'nong'zhong
颞骨乳突内面穿孔,nie'gu'ru'tu'nei'mian'chuan'kong
颞横回,nie'heng'hui
