阿贝他片苯扎贝特,a'bei'ta'pian'ben'zha'bei'te
颅内血管畸形切除术,lu'nei'xue'guan'ji'xing'qie'chu'shu
颅内血管畸形栓塞,lu'nei'xue'guan'ji'xing'shuan'se
颅内血管畸形栓塞术,lu'nei'xue'guan'ji'xing'shuan'se'shu
颅内血管瘤,lu'nei'xue'guan'liu
颅内血管瘤切除术,lu'nei'xue'guan'liu'qie'chu'shu
颅内血肿清除术,lu'nei'xue'zhong'qing'chu'shu
颅内血肿术后治疗,lu'nei'xue'zhong'shu'hou'zhi'liao
颅内血肿碎吸术,lu'nei'xue'zhong'sui'xi'shu
颅内压监测,lu'nei'ya'jian'ce
颅内压监测无创颅内压检测,lu'nei'ya'jian'ce'wu'chuang'lu'nei'ya'jian'ce
颅内压监护传感器置入术,lu'nei'ya'jian'hu'chuan'gan'qi'zhi'ru'shu
颅内压监护探头置入术,lu'nei'ya'jian'hu'tan'tou'zhi'ru'shu
颅内压降低,lu'nei'ya'jiang'di
颅内压增高,lu'nei'ya'zeng'gao
颅内炎性肉芽肿,lu'nei'yan'xing'rou'ya'zhong
颅内硬膜外脓肿引流术,lu'nei'ying'mo'wai'nong'zhong'yin'liu'shu
颅内硬膜外血肿引流术,lu'nei'ying'mo'wai'xue'zhong'yin'liu'shu
颅内硬脑膜外冲洗术,lu'nei'ying'nao'mo'wai'chong'xi'shu
颅内硬脑膜下冲洗术,lu'nei'ying'nao'mo'xia'chong'xi'shu
颅内占位性病变,lu'nei'zhan'wei'xing'bing'bian
颅内脂肪瘤,lu'nei'zhi'fang'liu
颅内蛛网膜囊肿分流术,lu'nei'zhu'wang'mo'nang'zhong'fen'liu'shu
露茜导尿管,lu'qian'dao'niao'guan
颅前窝脑膜瘤,lu'qian'wo'nao'mo'liu
卢森堡,lu'sen'bao
芦山霉素注射液,lu'shan'mei'su'zhu'she'ye
颅神经恶性肿瘤,lu'shen'jing'e'xing'zhong'liu
颅神经良性肿瘤,lu'shen'jing'liang'xing'zhong'liu
颅神经麻痹,lu'shen'jing'ma'bi
颅神经损害,lu'shen'jing'sun'hai
颅神经微血管减压术,lu'shen'jing'wei'xue'guan'jian'ya'shu
颅神经炎,lu'shen'jing'yan
颅神经肿瘤切除术,lu'shen'jing'zhong'liu'qie'chu'shu
路圣成,lu'sheng'cheng
鲁氏棒内固定术,lu'shi'bang'nei'gu'ding'shu
路丝咯丸,lu'si'ge'wan
鹭鸶咯丸,lu'si'ge'wan
路泰,lu'tai
颅痛定,lu'tong'ding
颅痛定片,lu'tong'ding'pian
颅外内动脉搭桥术,lu'wai'nei'dong'mai'da'qiao'shu
卢旺达,lu'wang'da
颅窝成形术,lu'wo'cheng'xing'shu
颅窝恶性肿瘤,lu'wo'e'xing'zhong'liu
颅窝良性肿瘤,lu'wo'liang'xing'zhong'liu
颅窝脑膜瘤,lu'wo'nao'mo'liu
颅压性头痛,lu'ya'xing'tou'tong
颅咽管交界恶性肿瘤,lu'yan'guan'jiao'jie'e'xing'zhong'liu
颅咽管瘤,lu'yan'guan'liu
颅咽管瘤切除术,lu'yan'guan'liu'qie'chu'shu
颅咽管瘤术后,lu'yan'guan'liu'shu'hou
路易氏体痴呆,lu'yi'shi'ti'chi'dai
陆音,lu'yin
颅硬膜缝合术,lu'ying'mo'feng'he'shu
颅中窝进路面神经肿瘤切除术,lu'zhong'wo'jin'lu'mian'shen'jing'zhong'liu'qie'chu'shu
颅中窝脑膜良性肿瘤,lu'zhong'wo'nao'mo'liang'xing'zhong'liu
卵巢癌根治术,luan'chao'ai'gen'zhi'shu
卵巢癌化疗,luan'chao'ai'hua'liao
卵巢癌介入治疗,luan'chao'ai'jie'ru'zhi'liao
卵巢癌术后化疗,luan'chao'ai'shu'hou'hua'liao
卵巢癌探查术,luan'chao'ai'tan'cha'shu
卵巢白体囊肿,luan'chao'bai'ti'nang'zhong
卵巢包涵囊肿,luan'chao'bao'han'nang'zhong
卵巢部分切除术,luan'chao'bu'fen'qie'chu'shu
卵巢成形术,luan'chao'cheng'xing'shu
卵巢抽吸活检查术,luan'chao'chou'xi'huo'jian'cha'shu
卵巢抽吸术,luan'chao'chou'xi'shu
卵巢穿刺术,luan'chao'chuan'ci'shu
卵巢单纯性囊肿,luan'chao'dan'chun'xing'nang'zhong
卵巢动静脉高位结扎术,luan'chao'dong'jing'mai'gao'wei'jie'za'shu
卵巢恶性淋巴瘤,luan'chao'e'xing'lin'ba'liu
卵巢恶性纤维上皮瘤,luan'chao'e'xing'xian'wei'shang'pi'liu
卵巢恶性肿瘤,luan'chao'e'xing'zhong'liu
卵巢缝合术,luan'chao'feng'he'shu
卵巢功能减退,luan'chao'gong'neng'jian'tui
卵巢固定术,luan'chao'gu'ding'shu
卵巢冠恶性肿瘤,luan'chao'guan'e'xing'zhong'liu
卵巢冠良性肿瘤,luan'chao'guan'liang'xing'zhong'liu
卵巢冠囊肿,luan'chao'guan'nang'zhong
卵巢冠囊肿剥出术,luan'chao'guan'nang'zhong'bo'chu'shu
卵巢过度刺激综合征,luan'chao'guo'du'ci'ji'zong'he'zheng
卵巢黄素化囊肿,luan'chao'huang'su'hua'nang'zhong
卵巢黄体囊肿,luan'chao'huang'ti'nang'zhong
卵巢黄体破裂,luan'chao'huang'ti'po'lie
卵巢黄体血肿,luan'chao'huang'ti'xue'zhong
卵巢活捡术,luan'chao'huo'jian'shu
卵巢继发恶性肿瘤,luan'chao'ji'fa'e'xing'zhong'liu
卵巢继发性恶性肿瘤,luan'chao'ji'fa'xing'e'xing'zhong'liu
卵巢积水,luan'chao'ji'shui
卵巢畸胎瘤,luan'chao'ji'tai'liu
卵巢甲状腺肿,luan'chao'jia'zhuang'xian'zhong
卵巢交界恶性浆液性囊腺瘤,luan'chao'jiao'jie'e'xing'jiang'ye'xing'nang'xian'liu
卵巢交界恶性肿瘤,luan'chao'jiao'jie'e'xing'zhong'liu
卵巢结核,luan'chao'jie'he
卵巢颗粒细胞瘤,luan'chao'ke'li'xi'bao'liu
卵巢良性肿瘤,luan'chao'liang'xing'zhong'liu
卵巢滤泡囊肿,luan'chao'lv'pao'nang'zhong
卵巢滤泡破裂,luan'chao'lv'pao'po'lie
卵巢囊肿,luan'chao'nang'zhong
卵巢囊肿破裂术,luan'chao'nang'zhong'po'lie'shu
卵巢囊肿切除术,luan'chao'nang'zhong'qie'chu'shu
卵巢囊肿切除术单侧,luan'chao'nang'zhong'qie'chu'shu'dan'ce
卵巢囊肿切除术双侧,luan'chao'nang'zhong'qie'chu'shu'shuang'ce
卵巢囊肿烧灼术,luan'chao'nang'zhong'shao'zhuo'shu
卵巢囊肿术后,luan'chao'nang'zhong'shu'hou
卵巢囊肿剔除术,luan'chao'nang'zhong'ti'chu'shu
卵巢囊肿剔除术单侧,luan'chao'nang'zhong'ti'chu'shu'dan'ce
卵巢囊肿剔除术双侧,luan'chao'nang'zhong'ti'chu'shu'shuang'ce
卵巢扭转,luan'chao'niu'zhuan
卵巢脓肿,luan'chao'nong'zhong
卵巢破裂,luan'chao'po'lie
卵巢巧克力样囊肿,luan'chao'qiao'ke'li'yang'nang'zhong
卵巢切除术,luan'chao'qie'chu'shu
卵巢切开术,luan'chao'qie'kai'shu
卵巢切开探查,luan'chao'qie'kai'tan'cha
卵巢妊娠,luan'chao'ren'shen
卵巢妊娠破裂,luan'chao'ren'shen'po'lie
卵巢输卵管切除术,luan'chao'shu'luan'guan'qie'chu'shu
卵巢输卵管切开术,luan'chao'shu'luan'guan'qie'kai'shu
卵巢输卵管粘连,luan'chao'shu'luan'guan'zhan'lian
卵巢衰竭,luan'chao'shuai'jie
卵巢损害切除术,luan'chao'sun'hai'qie'chu'shu
卵巢探查术,luan'chao'tan'cha'shu
卵巢纤维上皮瘤,luan'chao'xian'wei'shang'pi'liu
卵巢楔形切除术,luan'chao'xie'xing'qie'chu'shu
卵巢雄激素分泌过多,luan'chao'xiong'ji'su'fen'mi'guo'duo
卵巢修补术,luan'chao'xiu'bu'shu
卵巢修复整形术,luan'chao'xiu'fu'zheng'xing'shu
卵巢血肿,luan'chao'xue'zhong
卵巢炎,luan'chao'yan
卵巢移位术,luan'chao'yi'wei'shu
卵巢移植术,luan'chao'yi'zhi'shu
卵巢早衰,luan'chao'zao'shuai
卵巢增生,luan'chao'zeng'sheng
卵巢粘连,luan'chao'zhan'lian
卵巢脂质细胞瘤,luan'chao'zhi'zhi'xi'bao'liu
卵巢肿瘤术后,luan'chao'zhong'liu'shu'hou
卵巢肿瘤性质未特指,luan'chao'zhong'liu'xing'zhi'wei'te'zhi
卵巢肿物,luan'chao'zhong'wu
卵巢子宫内膜异位,luan'chao'zi'gong'nei'mo'yi'wei
卵巢自体转移术,luan'chao'zi'ti'zhuan'yi'shu
卵黄管切除术,luan'huang'guan'qie'chu'shu
卵磷脂,luan'lin'zhi
卵磷脂络合碘片,luan'lin'zhi'luo'he'dian'pian
卵磷脂片,luan'lin'zhi'pian
卵泡刺激素,luan'pao'ci'ji'su
卵圆孔未闭假体修补术,luan'yuan'kong'wei'bi'jia'ti'xiu'bu'shu
卵圆孔未闭修补术,luan'yuan'kong'wei'bi'xiu'bu'shu
卵园孔修补术,luan'yuan'kong'xiu'bu'shu
卵元钳,luan'yuan'qian
卵圆窝开窗术,luan'yuan'wo'kai'chuang'shu
伦纳氏瘤,lun'na'shi'liu
轮椅,lun'yi
轮椅功能训练,lun'yi'gong'neng'xun'lian
轮状病毒,lun'zhuang'bing'du
轮状病毒肠炎,lun'zhuang'bing'du'chang'yan
轮状病毒检测,lun'zhuang'bing'du'jian'ce
轮状病毒抗体检测国产试剂,lun'zhuang'bing'du'kang'ti'jian'ce'guo'chan'shi'ji
轮状病毒抗体检测进口试剂,lun'zhuang'bing'du'kang'ti'jian'ce'jin'kou'shi'ji
珞巴族,luo'ba'zu
洛贝林注射剂,luo'bei'lin'zhu'she'ji
洛贝林注射液,luo'bei'lin'zhu'she'ye
罗伯逊易位综合征,luo'bo'xun'yi'wei'zong'he'zheng
萝卜子,luo'bo'zi
罗布麻叶,luo'bu'ma'ye
罗达药厂,luo'da'yao'chang
螺钉,luo'ding
洛伐他汀胶囊,luo'fa'ta'ting'jiao'nang
洛伐他汀片,luo'fa'ta'ting'pian
萝芙木片,luo'fu'mu'pian
罗钙全胶囊,luo'gai'quan'jiao'nang
罗钙全片,luo'gai'quan'pian
罗格列酮片,luo'ge'lie'tong'pian
罗汉果,luo'han'guo
罗红霉素分散片,luo'hong'mei'su'fen'san'pian
罗红霉素分散片倍沙,luo'hong'mei'su'fen'san'pian'bei'sha
罗红霉素胶囊,luo'hong'mei'su'jiao'nang
罗红霉素颗粒,luo'hong'mei'su'ke'li
罗红霉素颗粒太儿欣,luo'hong'mei'su'ke'li'tai'er'xin
罗红霉素颗粒天凯,luo'hong'mei'su'ke'li'tian'kai
罗红霉素片,luo'hong'mei'su'pian
罗红霉素软胶囊,luo'hong'mei'su'ruan'jiao'nang
裸花紫珠片,luo'hua'zi'zhu'pian
络活喜片,luo'huo'xi'pian
络活喜片氨氯地平,luo'huo'xi'pian'an'lv'di'ping
罗力得片,luo'li'de'pian
罗马尼亚,luo'ma'ni'ya
洛美灵片,luo'mei'ling'pian
洛镁赛片奥美拉唑镁,luo'mei'sai'pian'ao'mei'la'zuo'mei
洛美沙星滴眼液,luo'mei'sha'xing'di'yan'ye
洛美沙星胶囊,luo'mei'sha'xing'jiao'nang
洛美沙星注射液,luo'mei'sha'xing'zhu'she'ye
洛莫司汀胶囊,luo'mo'si'ting'jiao'nang
螺内酯粉,luo'nei'zhi'fen
螺内脂片,luo'nei'zhi'pian
螺内酯片,luo'nei'zhi'pian
洛哌丁胺胶囊,luo'pai'ding'an'jiao'nang
罗派卡因注射液,luo'pai'ka'yin'zhu'she'ye
罗扰素,luo'rao'su
洛赛克,luo'sai'ke
洛赛克肠溶片奥美拉唑镁,luo'sai'ke'chang'rong'pian'ao'mei'la'zuo'mei
洛塞克粉针奥美拉唑,luo'sai'ke'fen'zhen'ao'mei'la'zuo
洛赛克胶囊,luo'sai'ke'jiao'nang
洛赛克胶囊奥美拉唑,luo'sai'ke'jiao'nang'ao'mei'la'zuo
洛塞克水针奥美拉唑,luo'sai'ke'shui'zhen'ao'mei'la'zuo
洛赛克注射液,luo'sai'ke'zhu'she'ye
罗氏芬,luo'shi'fen
罗氏芬头孢曲松钠,luo'shi'fen'tou'bao'qu'song'na
络石藤,luo'shi'teng
络石藤免煎,luo'shi'teng'mian'jian
洛氏综合征眼脑肾综合征,luo'shi'zong'he'zheng'yan'nao'shen'zong'he'zheng
洛栓星棓丙酯,luo'shuan'xing'bei'bing'zhi
洛索洛芬钠片,luo'suo'luo'fen'na'pian
洛汀新片,luo'ting'xin'pian
洛汀新片贝那普利,luo'ting'xin'pian'bei'na'pu'li
罗痛定片,luo'tong'ding'pian
罗通定片,luo'tong'ding'pian
罗瓦而经片,luo'wa'er'jing'pian
螺纹管,luo'wen'guan
螺纹管钢丝弹簧气管导管,luo'wen'guan'gang'si'tan'huang'qi'guan'dao'guan
螺旋杆菌感染,luo'xuan'gan'jun'gan'ran
螺旋扩大器,luo'xuan'kuo'da'qi
螺旋扩张器,luo'xuan'kuo'zhang'qi
螺旋霉素,luo'xuan'mei'su
螺旋霉素片,luo'xuan'mei'su'pian
螺旋霉素药物反应,luo'xuan'mei'su'yao'wu'fan'ying
螺旋内酯固醇片,luo'xuan'nei'zhi'gu'chun'pian
螺旋弹簧,luo'xuan'tan'huang
螺旋体感染,luo'xuan'ti'gan'ran
螺旋体感染性关节炎,luo'xuan'ti'gan'ran'xing'guan'jie'yan
螺旋藻胶囊,luo'xuan'zao'jiao'nang
落叶性天疱疮,luo'ye'xing'tian'pao'chuang
洛之达片,luo'zhi'da'pian
氯胺粉,lv'an'fen
氯胺酮注射剂,lv'an'tong'zhu'she'ji
氯胺酮注射液,lv'an'tong'zhu'she'ye
氯贝丁酯片,lv'bei'ding'zhi'pian
氯苯,lv'ben
氯苯氨丁酸片,lv'ben'an'ding'suan'pian
氯苯砜药物反应,lv'ben'feng'yao'wu'fan'ying
氯苯那敏粉,lv'ben'na'min'fen
氯苯那敏片,lv'ben'na'min'pian
氯吡格雷片,lv'bi'ge'lei'pian
氯丙嗪片,lv'bing'qin'pian
氯丙嗪药物反应,lv'bing'qin'yao'wu'fan'ying
氯丙嗪意外中毒,lv'bing'qin'yi'wai'zhong'du
氯丙嗪中毒,lv'bing'qin'zhong'du
氯丙嗪注射剂,lv'bing'qin'zhu'she'ji
氯丙嗪注射液,lv'bing'qin'zhu'she'ye
氯丙嗪自杀,lv'bing'qin'zi'sha
氯测定,lv'ce'ding
氯喘片,lv'chuan'pian
氯代十六烷三甲胺,lv'dai'shi'liu'wan'san'jia'an
氯氮平,lv'dan'ping
氯氮平片,lv'dan'ping'pian
氯氮平治疗,lv'dan'ping'zhi'liao
氯电极,lv'dian'ji
绿豆衣,lv'dou'yi
绿萼梅,lv'e'mei
绿萼梅免煎,lv'e'mei'mian'jian
氯仿,lv'fang
氯酚红,lv'fen'hong
氯氟舒松乳膏,lv'fu'shu'song'ru'gao
氯氟舒松油膏,lv'fu'shu'song'you'gao
绿甘安,lv'gan'an
氯胍,lv'gua
铝合金柜,lv'he'jin'gui
氯化铵,lv'hua'an
氯化氨粉,lv'hua'an'fen
氯化氨片,lv'hua'an'pian
氯化铵片,lv'hua'an'pian
绿化班,lv'hua'ban
氯化卞,lv'hua'bian
氯化钙,lv'hua'gai
氯化钙粉,lv'hua'gai'fen
氯化钙溶液,lv'hua'gai'rong'ye
氯化钙注射液,lv'hua'gai'zhu'she'ye
氯化高汞,lv'hua'gao'gong
氯化铬,lv'hua'ge
氯化汞,lv'hua'gong
氯化钴,lv'hua'gu
氯化管箭毒碱注射液,lv'hua'guan'jian'du'jian'zhu'she'ye
氯化琥珀胆碱注射剂,lv'hua'hu'po'dan'jian'zhu'she'ji
氯化琥珀酰胆碱注射液,lv'hua'hu'po'xian'dan'jian'zhu'she'ye
氯化钾,lv'hua'jia
氯化钾粉,lv'hua'jia'fen
氯化钾缓释片,lv'hua'jia'huan'shi'pian
氯化钾颗粒,lv'hua'jia'ke'li
氯化钾口服液,lv'hua'jia'kou'fu'ye
氯化钾片,lv'hua'jia'pian
氯化钾溶液,lv'hua'jia'rong'ye
氯化钾药物反应,lv'hua'jia'yao'wu'fan'ying
氯化钾中毒原因不明,lv'hua'jia'zhong'du'yuan'yin'bu'ming
氯化钾注射液,lv'hua'jia'zhu'she'ye
氯化钾自杀,lv'hua'jia'zi'sha
氯化金,lv'hua'jin
氯化苦,lv'hua'ku
氯化锂,lv'hua'li
氯化镁,lv'hua'mei
氯化镁粉,lv'hua'mei'fen
氯化锰,lv'hua'meng
氯化钠,lv'hua'na
氯化钠粉,lv'hua'na'fen
氯化钠针,lv'hua'na'zhen
氯化钠注射液,lv'hua'na'zhu'she'ye
氯化钠注射液袋,lv'hua'na'zhu'she'ye'dai
氯化钠注射液外用,lv'hua'na'zhu'she'ye'wai'yong
氯化镍,lv'hua'nie
氯化十六三甲胺,lv'hua'shi'liu'san'jia'an
氯化铁,lv'hua'tie
氯化铜,lv'hua'tong
氯化筒箭毒碱注射液,lv'hua'tong'jian'du'jian'zhu'she'ye
氯化物,lv'hua'wu
氯化硝基四氮唑兰,lv'hua'xiao'ji'si'dan'zuo'lan
氯化锌,lv'hua'xin
氯化亚铜,lv'hua'ya'tong
氯磺丙脲片,lv'huang'bing'niao'pian
氯磺酸,lv'huang'suan
氯己定粉,lv'ji'ding'fen
氯己定痔疮栓,lv'ji'ding'zhi'chuang'shuan
吕剑,lv'jian
绿胶管,lv'jiao'guan
律康坦度螺酮胶囊,lv'kang'tan'du'luo'tong'jiao'nang
氯喹片磷酸氯喹,lv'kui'pian'lin'suan'lv'kui
氯奎药物反应,lv'kui'yao'wu'fan'ying
氯雷酊,lv'lei'ding
氯雷他定,lv'lei'ta'ding
氯雷他啶片,lv'lei'ta'ding'pian
氯雷他定糖浆,lv'lei'ta'ding'tang'jiang
滤帘切除术,lv'lian'qie'chu'shu
氯磷定,lv'lin'ding
氯磷定针,lv'lin'ding'zhen
氯磷定注射液,lv'lin'ding'zhu'she'ye
绿梅花,lv'mei'hua
绿梅花免煎,lv'mei'hua'mian'jian
铝镁加混悬液,lv'mei'jia'hun'xuan'ye
氯霉素丙二醇,lv'mei'su'bing'er'chun
氯霉素丙二醇滴耳剂,lv'mei'su'bing'er'chun'di'er'ji
氯霉素丙二醇滴耳液,lv'mei'su'bing'er'chun'di'er'ye
氯霉素地塞米松眼液,lv'mei'su'di'sai'mi'song'yan'ye
氯霉素滴眼液,lv'mei'su'di'yan'ye
氯霉素滴眼液润舒,lv'mei'su'di'yan'ye'run'shu
氯霉素二甲基亚砜,lv'mei'su'er'jia'ji'ya'feng
氯霉素二甲基亚砜溶液,lv'mei'su'er'jia'ji'ya'feng'rong'ye
氯霉素粉,lv'mei'su'fen
氯霉素甘油,lv'mei'su'gan'you
氯霉素甘油滴耳剂,lv'mei'su'gan'you'di'er'ji
氯酶素琥珀酸钠,lv'mei'su'hu'po'suan'na
氯霉素可的松粉,lv'mei'su'ke'di'song'fen
氯霉素内眼换药,lv'mei'su'nei'yan'huan'yao
氯霉素片,lv'mei'su'pian
氯霉素溶液,lv'mei'su'rong'ye
氯霉素眼液,lv'mei'su'yan'ye
氯霉素药物反应,lv'mei'su'yao'wu'fan'ying
氯霉素注射液,lv'mei'su'zhu'she'ye
氯美扎酮片,lv'mei'zha'tong'pian
氯米帕明片,lv'mi'pa'ming'pian
绿脓杆菌肺炎,lv'nong'gan'jun'fei'yan
绿脓杆菌感染,lv'nong'gan'jun'gan'ran
绿脓杆菌性败血症,lv'nong'gan'jun'xing'bai'xue'zheng
绿脓杆菌性肠炎,lv'nong'gan'jun'xing'chang'yan
绿脓杆菌性肺炎,lv'nong'gan'jun'xing'fei'yan
滤泡变异性乳头状腺癌,lv'pao'bian'yi'xing'ru'tou'zhuang'xian'ai
滤泡性结膜炎,lv'pao'xing'jie'mo'yan
滤泡型淋巴瘤,lv'pao'xing'lin'ba'liu
滤泡性淋巴瘤,lv'pao'xing'lin'ba'liu
滤泡性膀胱炎,lv'pao'xing'pang'guang'yan
滤泡性腺癌,lv'pao'xing'xian'ai
滤泡性腺瘤,lv'pao'xing'xian'liu
驴皮胶,lv'pi'jiao
氯普噻吨片,lv'pu'sai'dun'pian
氯气意外中毒,lv'qi'yi'wai'zhong'du
氯气中毒,lv'qi'zhong'du
绿色瘤,lv'se'liu
氯沙坦钾片,lv'sha'tan'jia'pian
铝试剂,lv'shi'ji
氯酸钾,lv'suan'jia
铝碳酸镁片,lv'tan'suan'mei'pian
氯烯雌酚醚,lv'xi'ci'fen'mi
氯硝安定片,lv'xiao'an'ding'pian
氯硝丁酰胺,lv'xiao'ding'xian'an
氯硝柳胺片,lv'xiao'liu'an'pian
氯硝西泮,lv'xiao'xi'pan
氯硝西泮片,lv'xiao'xi'pan'pian
氯硝西泮注射液,lv'xiao'xi'pan'zhu'she'ye
滤芯,lv'xin
氯血尿或体液,lv'xue'niao'huo'ti'ye
氯血尿或体液酶法,lv'xue'niao'huo'ti'ye'mei'fa
氯亚,lv'ya
氯压定片,lv'ya'ding'pian
绿药膏林可霉素利多卡因,lv'yao'gao'lin'ke'mei'su'li'duo'ka'yin
滤纸,lv'zhi
绿之安复方氨基酸,lv'zhi'an'fu'fang'an'ji'suan
氯酯醒片,lv'zhi'xing'pian
氯酯醒注射液,lv'zhi'xing'zhu'she'ye
氯唑青霉素注射液,lv'zuo'qing'mei'su'zhu'she'ye
氯唑沙宗片,lv'zuo'sha'zong'pian
氯唑西林钠注射液,lv'zuo'xi'lin'na'zhu'she'ye
麻痹性肠梗阻,ma'bi'xing'chang'geng'zu
麻痹性关节脱位,ma'bi'xing'guan'jie'tuo'wei
麻痹性脊柱侧弯,ma'bi'xing'ji'zhu'ce'wan
麻痹性睑外翻,ma'bi'xing'jian'wai'fan
麻痹性内斜视,ma'bi'xing'nei'xie'shi
麻痹性外斜视,ma'bi'xing'wai'xie'shi
麻痹性外斜諹,ma'bi'xing'wai'xie'yang
麻痹性斜视,ma'bi'xing'xie'shi
马鞭草,ma'bian'cao
马勃,ma'bo
马伯龙,ma'bo'long
马齿苋,ma'chi'xian
马齿苋免煎,ma'chi'xian'mian'jian
马达加斯加,ma'da'jia'si'jia
吗导敏片,ma'dao'min'pian
马德隆畸形,ma'de'long'ji'xing
吗丁林片,ma'ding'lin'pian
吗叮啉片多潘立酮,ma'ding'lin'pian'duo'pan'li'tong
马兜铃,ma'dou'ling
吗多明,ma'duo'ming
马尔代夫,ma'er'dai'fu
马耳他,ma'er'ta
马尔维纳斯群岛福克兰群岛,ma'er'wei'na'si'qun'dao'fu'ke'lan'qun'dao
马法兰片,ma'fa'lan'pian
马凡氏综合征,ma'fan'shi'zong'he'zheng
马凡氏综合症按实际计收,ma'fan'shi'zong'he'zheng'an'shi'ji'ji'shou
吗啡阿托品,ma'fei'a'tuo'pin
吗啡粉,ma'fei'fen
吗啡控释片,ma'fei'kong'shi'pian
吗啡片,ma'fei'pian
吗啡氏滴管,ma'fei'shi'di'guan
吗啡型药物瘾,ma'fei'xing'yao'wu'yin
吗啡中毒,ma'fei'zhong'du
吗啡注射液,ma'fei'zhu'she'ye
麻风,ma'feng
马根维显,ma'gen'wei'xian
麻花丝,ma'hua'si
麻黄根,ma'huang'gen
麻黄根免煎,ma'huang'gen'mian'jian
麻黄碱,ma'huang'jian
麻黄碱滴鼻液,ma'huang'jian'di'bi'ye
麻黄素,ma'huang'su
麻黄素滴鼻剂,ma'huang'su'di'bi'ji
麻黄素滴鼻液,ma'huang'su'di'bi'ye
麻黄素粉,ma'huang'su'fen
麻黄素片,ma'huang'su'pian
麻黄素药物反应,ma'huang'su'yao'wu'fan'ying
麻黄素注射液,ma'huang'su'zhu'she'ye
麻黄炙,ma'huang'zhi
马抗人淋巴细胞球蛋白药物反应,ma'kang'ren'lin'ba'xi'bao'qiu'dan'bai'yao'wu'fan'ying
马拉维,ma'la'wei
马来酸氟伏沙明片,ma'lai'suan'fu'fu'sha'ming'pian
马来酸罗格列酮片,ma'lai'suan'luo'ge'lie'tong'pian
马来酸氯苯那敏注射液,ma'lai'suan'lv'ben'na'min'zhu'she'ye
马来酸麦角新碱注射液,ma'lai'suan'mai'jiao'xin'jian'zhu'she'ye
马来酸咪哒唑仑,ma'lai'suan'mi'da'zuo'lun
马来酸米达唑仑片,ma'lai'suan'mi'da'zuo'lun'pian
马来酸曲美布汀分散片,ma'lai'suan'qu'mei'bu'ting'fen'san'pian
马来酸噻吗洛尔滴眼液,ma'lai'suan'sai'ma'luo'er'di'yan'ye
马来酸依那普利胶囊,ma'lai'suan'yi'na'pu'li'jiao'nang
马来酸依那普利片,ma'lai'suan'yi'na'pu'li'pian
马来西亚,ma'lai'xi'ya
马来西亚喉管套管,ma'lai'xi'ya'hou'guan'tao'guan
马利,ma'li
马里,ma'li
马利兰片,ma'li'lan'pian
吗啉呱片,ma'lin'gua'pian
吗啉胍片,ma'lin'gua'pian
妈咪爱散,ma'mi'ai'san
妈咪爱散剂,ma'mi'ai'san'ji
马普替林,ma'pu'ti'lin
马其顿,ma'qi'dun
麻仁,ma'ren
麻仁胶囊,ma'ren'jiao'nang
麻仁免煎,ma'ren'mian'jian
麻仁润肠丸,ma'ren'run'chang'wan
麻仁丸,ma'ren'wan
麻仁滋脾丸,ma'ren'zi'pi'wan
马绍尔群岛,ma'shao'er'qun'dao
马斯平,ma'si'ping
马斯平头孢吡肟粉,ma'si'ping'tou'bao'bi'wo'fen
玛特钠片,ma'te'na'pian
吗替麦考酚酯胶囊,ma'ti'mai'kao'fen'zhi'jiao'nang
马提尼克,ma'ti'ni'ke
马蹄肾分离成形术,ma'ti'shen'fen'li'cheng'xing'shu
马蹄形肾,ma'ti'xing'shen
马尾良性肿瘤,ma'wei'liang'xing'zhong'liu
马尾神经松解术,ma'wei'shen'jing'song'jie'shu
马尾神经吻合术,ma'wei'shen'jing'wen'he'shu
马尾神经修补术,ma'wei'shen'jing'xiu'bu'shu
马尾损伤,ma'wei'sun'shang
马尾绦虫肉芽肿,ma'wei'tao'chong'rou'ya'zhong
马尾园椎病变,ma'wei'yuan'zhui'bing'bian
马尾圆锥良性肿瘤,ma'wei'yuan'zhui'liang'xing'zhong'liu
马尾圆锥综合征,ma'wei'yuan'zhui'zong'he'zheng
马尾粘连,ma'wei'zhan'lian
马尾综合征,ma'wei'zong'he'zheng
马应龙痔疮膏,ma'ying'long'zhi'chuang'gao
马应龙痔疮栓,ma'ying'long'zhi'chuang'shuan
麻油,ma'you
马约特,ma'yue'te
麻疹,ma'zhen
麻疹病毒抗体二项,ma'zhen'bing'du'kang'ti'er'xiang
麻疹并喉炎,ma'zhen'bing'hou'yan
麻疹合并肺炎,ma'zhen'he'bing'fei'yan
麻疹后耳炎,ma'zhen'hou'er'yan
麻疹后肺炎,ma'zhen'hou'fei'yan
麻疹后脑炎,ma'zhen'hou'nao'yan
麻疹后中耳炎,ma'zhen'hou'zhong'er'yan
麻疹样药物疹,ma'zhen'yang'yao'wu'zhen
麻疹综合征,ma'zhen'zong'he'zheng
麻醉分析,ma'zui'fen'xi
麻醉干尸,ma'zui'gan'shi
麻醉干尸剂,ma'zui'gan'shi'ji
麻醉护理单元,ma'zui'hu'li'dan'yuan
麻醉回路,ma'zui'hui'lu
麻醉计费单,ma'zui'ji'fei'dan
麻醉机国产,ma'zui'ji'guo'chan
麻醉机进口,ma'zui'ji'jin'kou
麻醉记录,ma'zui'ji'lu
麻醉开髓失活,ma'zui'kai'sui'shi'huo
麻醉科,ma'zui'ke
