阿迪热村,a'di're'cun
棋盘代尔瓦扎社区,qi'pan'dai'er'wa'zha'she'qu
棋盘乡,qi'pan'xiang
棋盘尤力村,qi'pan'you'li'cun
其热格墩村,qi're'ge'dun'cun
奇热木旦勒克村,qi're'mu'dan'le'ke'cun
其日克村,qi'ri'ke'cun
其如克同村,qi'ru'ke'tong'cun
其色日克村,qi'se'ri'ke'cun
其瓦村,qi'wa'cun
其维克村,qi'wei'ke'cun
恰尔阿勒迪村,qia'er'a'le'di'cun
恰尔巴格村,qia'er'ba'ge'cun
恰尔巴格乡,qia'er'ba'ge'xiang
恰尔巴格镇,qia'er'ba'ge'zhen
恰江村,qia'jiang'cun
恰喀村,qia'ka'cun
恰喀尔村,qia'ka'er'cun
恰开什村,qia'kai'shen'cun
恰克勒克村,qia'ke'le'ke'cun
恰拉欧萨村,qia'la'ou'sa'cun
恰勒巴什村,qia'le'ba'shi'cun
恰勒库都克村,qia'le'ku'dou'ke'cun
恰木古鲁克村,qia'mu'gu'lu'ke'cun
恰其巴格村,qia'qi'ba'ge'cun
恰其库木村,qia'qi'ku'mu'cun
恰热克来村,qia're'ke'lai'cun
恰萨美其特村,qia'sa'mei'qi'te'cun
恰萨美其特乡,qia'sa'mei'qi'te'xiang
恰斯村,qia'si'cun
恰斯木克村,qia'si'mu'ke'cun
恰瓦拉村,qia'wa'la'cun
恰先拜巴扎村,qia'xian'bai'ba'zha'cun
恰央恰克提村,qia'yang'qia'ke'ti'cun
恰依拉村,qia'yi'la'cun
羌阿依玛克村,qiang'a'yi'ma'ke'cun
羌古村,qiang'gu'cun
强孜村,qiang'zi'cun
乔喀村,qiao'ka'cun
乔坎吉勒尕村,qiao'kan'ji'le'ga'cun
乔拉克村,qiao'la'ke'cun
乔如克拉村,qiao'ru'ke'la'cun
乔吐格曼村,qiao'tu'ge'man'cun
且迪尔村,qie'di'er'cun
且迪塔格村,qie'di'ta'ge'cun
且克且克村,qie'ke'qie'ke'cun
且买克来村,qie'mai'ke'lai'cun
青格力克村,qing'ge'li'ke'cun
琼阿克艾日克村,qiong'a'ke'ai'ri'ke'cun
琼艾日克村,qiong'ai'ri'ke'cun
琼巴格村,qiong'ba'ge'cun
琼布鲁胡其村,qiong'bu'lu'hu'qi'cun
琼霍伊拉村,qiong'huo'yi'la'cun
琼江巴孜村,qiong'jiang'ba'zi'cun
琼库尔克什拉克村,qiong'ku'er'ke'shi'la'ke'cun
琼库尔买里村,qiong'ku'er'mai'li'cun
琼库尔恰克乡,qiong'ku'er'qia'ke'xiang
琼库尔艾格勒村,qiong'ku'er'yi'ge'le'cun
琼库勒村,qiong'ku'le'cun
琼铁热克村,qiong'tie're'ke'cun
丘拉克拉村,qiu'la'ke'la'cun
丘那克拉村,qiu'na'ke'la'cun
曲结来村,qu'jie'lai'cun
曲勒库勒村,qu'le'ku'le'cun
曲如其村,qu'ru'qi'cun
曲如奇村,qu'ru'qi'cun
曲什曼村,qu'shen'man'cun
曲许尔盖村,qu'xu'er'gai'cun
然巴勒村,ran'ba'le'cun
热木赞巴格村,re'mu'zan'ba'ge'cun
热斯喀木村,re'si'ka'mu'cun
热瓦克阿勒迪社区,re'wa'ke'a'le'di'she'qu
热依木巴格村,re'yi'mu'ba'ge'cun
人民路社区,ren'min'lu'she'qu
如克村,ru'ke'cun
萨达克村,sa'da'ke'cun
萨尔布合村,sa'er'bu'he'cun
萨尔吾斯村,sa'er'wu'si'cun
萨干村,sa'gan'cun
萨干吾斯塘村,sa'gan'wu'si'tang'cun
萨木其村,sa'mu'qi'cun
萨其喀克村,sa'qi'ka'ke'cun
萨热吉勒尕村,sa're'ji'le'ga'cun
萨热拉村,sa're'la'cun
萨热依塔木村,sa're'yi'ta'mu'cun
萨亚特村,sa'ya'te'cun
萨依巴格村,sa'yi'ba'ge'cun
萨依巴格乡,sa'yi'ba'ge'xiang
萨依村,sa'yi'cun
萨依开其克村,sa'yi'kai'qi'ke'cun
萨依奴乎其村,sa'yi'nu'hu'qi'cun
萨依恰喀村,sa'yi'qia'ka'cun
萨依吾斯村,sa'yi'wu'si'cun
萨依也尔村,sa'yi'ye'er'cun
赛福力科瑞克村,sai'fu'li'ke'rui'ke'cun
塞克散村,sai'ke'san'cun
赛克散村,sai'ke'san'cun
赛克散库足克村,sai'ke'san'ku'zu'ke'cun
赛克散塔勒村,sai'ke'san'ta'le'cun
塞克孜阿代木村,sai'ke'zi'a'dai'mu'cun
塞克孜帕其村,sai'ke'zi'pa'qi'cun
赛其阿克塔什村,sai'qi'a'ke'ta'shen'cun
赛其曼拉社区,sai'qi'man'la'she'qu
赛图拉镇,sai'tu'la'zhen
赛先拜巴扎村,sai'xian'bai'ba'zha'cun
赛依哈纳村,sai'yi'ha'na'cun
三岔口镇,san'cha'kou'zhen
散加村,san'jia'cun
色尔古奴什村,se'er'gu'nu'shen'cun
色格孜库勒村,se'ge'zi'ku'le'cun
色格孜库勒乡,se'ge'zi'ku'le'xiang
色格孜勒克博依村,se'ge'zi'le'ke'bo'yi'cun
色格孜勒克村,se'ge'zi'le'ke'cun
色力布亚镇,se'li'bu'ya'zhen
色满村,se'man'cun
色日克布亚村,se'ri'ke'bu'ya'cun
色日克克尔村,se'ri'ke'ke'er'cun
色日克库勒村,se'ri'ke'ku'le'cun
色日克勒克村,se'ri'ke'le'ke'cun
色日克塔什村,se'ri'ke'ta'shen'cun
色日克托格拉克村,se'ri'ke'tuo'ge'la'ke'cun
色日克吾斯塘村,se'ri'ke'wu'si'tang'cun
色日克乌依村,se'ri'ke'wu'yi'cun
色日维村,se'ri'wei'cun
色斯吾提村,se'si'wu'ti'cun
色提日克村,se'ti'ri'ke'cun
色也克村,se'ye'ke'cun
色也克乡,se'ye'ke'xiang
沙地克阿瓦提村,sha'di'ke'a'wa'ti'cun
沙驼社区,sha'tuo'she'qu
山格力齐村,shan'ge'li'qi'cun
商贸中心社区,shang'mao'zhong'xin'she'qu
什旁村,shen'pang'cun
胜利路社区,sheng'li'lu'she'qu
蔬菜队村,shu'cai'dui'cun
斯代村,si'dai'cun
斯代吐维村,si'dai'tu'wei'cun
斯拉木克买村,si'la'mu'ke'mai'cun
斯普斯亚村,si'pu'si'ya'cun
斯亚巴格村,si'ya'ba'ge'cun
斯亚村,si'ya'cun
斯也克村,si'ye'ke'cun
斯孜村,si'zi'cun
斯孜社区,si'zi'she'qu
苏安巴村,su'an'ba'cun
苏巴斯提村,su'ba'si'ti'cun
苏甫拉村,su'fu'la'cun
苏盖特艾日克村,su'gai'te'ai'ri'ke'cun
苏盖特力克村,su'gai'te'li'ke'cun
苏盖提博斯坦村,su'gai'ti'bo'si'tan'cun
苏盖提力克村,su'gai'ti'li'ke'cun
苏开墩村,su'kai'dun'cun
苏坎阿斯特村,su'kan'a'si'te'cun
苏克墩村,su'ke'dun'cun
苏库鲁克村,su'ku'lu'ke'cun
苏勒坦艾日克村,su'le'tan'ai'ri'ke'cun
苏帕墩村,su'pa'dun'cun
苏怕墩村,su'pa'dun'cun
苏外提其买里村,su'wai'ti'qi'mai'li'cun
苏亚兰干村,su'ya'lan'gan'cun
苏亚玉吉买勒克村,su'ya'yu'ji'mai'le'ke'cun
苏祖克村,su'zu'ke'cun
索拉克玛村,suo'la'ke'ma'cun
索米村,suo'mi'cun
索皮拉村,suo'pi'la'cun
塔尔阿格孜村,ta'er'a'ge'zi'cun
塔尔萨依村,ta'er'sa'yi'cun
塔尔艾格勒村,ta'er'yi'ge'le'cun
塔尕尔其吾斯塘村,ta'ga'er'qi'wu'si'tang'cun
塔尕其吾斯塘村,ta'ga'qi'wu'si'tang'cun
塔格艾日克村,ta'ge'ai'ri'ke'cun
塔格墩村,ta'ge'dun'cun
塔格吾斯塘村,ta'ge'wu'si'tang'cun
塔合曼乡,ta'he'man'xiang
塔合塔科瑞克村,ta'he'ta'ke'rui'ke'cun
塔吉克阿巴提镇,ta'ji'ke'a'ba'ti'zhen
塔喀依拉村,ta'ka'yi'la'cun
塔克拉村,ta'ke'la'cun
塔克沙村,ta'ke'sha'cun
塔拉买里村,ta'la'mai'li'cun
塔拉硝尔村,ta'la'xiao'er'cun
塔勒博依村,ta'le'bo'yi'cun
塔勒克艾日克村,ta'le'ke'ai'ri'ke'cun
塔勒克村,ta'le'ke'cun
塔勒勒克村,ta'le'le'ke'cun
塔勒维兰村,ta'le'wei'lan'cun
塔立克村,ta'li'ke'cun
塔木巴格村,ta'mu'ba'ge'cun
塔木巴格霍伊拉村,ta'mu'ba'ge'huo'yi'la'cun
塔木巴格社区,ta'mu'ba'ge'she'qu
塔木墩村,ta'mu'dun'cun
塔木勒克村,ta'mu'le'ke'cun
塔木什亚社区,ta'mu'shen'ya'she'qu
塔木艾格勒村,ta'mu'yi'ge'le'cun
塔那依贝希村,ta'na'yi'bei'xi'cun
塔然其村,ta'ran'qi'cun
塔热木巴格村,ta're'mu'ba'ge'cun
塔日斯村,ta'ri'si'cun
塔什坎特村,ta'shen'kan'te'cun
塔什郎托格拉克村,ta'shen'lang'tuo'ge'la'ke'cun
塔什纳村,ta'shen'na'cun
塔什艾格勒村,ta'shen'yi'ge'le'cun
塔什库尔干塔吉克自治县,ta'shi'ku'er'gan'ta'ji'ke'zi'zhi'xian
塔什库尔干乡,ta'shi'ku'er'gan'xiang
塔什库尔干镇,ta'shi'ku'er'gan'zhen
塔斯米其村,ta'si'mi'qi'cun
塔塔尔吾斯塘村,ta'ta'er'wu'si'tang'cun
塔特勒克布拉克村,ta'te'le'ke'bu'la'ke'cun
塔提力克苏村,ta'ti'li'ke'su'cun
塔瓦尕孜村,ta'wa'ga'zi'cun
塔瓦库勒乡,ta'wa'ku'le'xiang
塔吾阿孜村,ta'wu'a'zi'cun
塔西力克村,ta'xi'li'ke'cun
塔依塔克村,ta'yi'ta'ke'cun
台北东路社区,tai'bei'dong'lu'she'qu
台北西路社区,tai'bei'xi'lu'she'qu
台吐尔库勒村,tai'tu'er'ku'le'cun
塘巴扎村,tang'ba'zha'cun
塘开希村,tang'kai'xi'cun
堂来恰普提村,tang'lai'qia'pu'ti'cun
堂力其村,tang'li'qi'cun
特根拉村,te'gen'la'cun
特日木村,te'ri'mu'cun
提木村,ti'mu'cun
提热克阿勒迪村,ti're'ke'a'le'di'cun
提孜那甫村,ti'zi'na'fu'cun
提孜那甫乡,ti'zi'na'fu'xiang
田园社区,tian'yuan'she'qu
铁木尔巴格村,tie'mu'er'ba'ge'cun
铁木尔其村,tie'mu'er'qi'cun
铁木热克村,tie'mu're'ke'cun
铁热克阿勒迪村,tie're'ke'a'le'di'cun
铁热克阿依拉村,tie're'ke'a'yi'la'cun
铁热克艾日克村,tie're'ke'ai'ri'ke'cun
铁热克博斯坦村,tie're'ke'bo'si'tan'cun
铁热克村,tie're'ke'cun
铁热克力克村,tie're'ke'li'ke'cun
铁热克吾斯塘村,tie're'ke'wu'si'tang'cun
铁热木买里斯村,tie're'mu'mai'li'si'cun
铁热木镇,tie're'mu'zhen
铁日木村,tie'ri'mu'cun
铁日木乡,tie'ri'mu'xiang
铁斯村,tie'si'cun
铁提村,tie'ti'cun
铁提乡,tie'ti'xiang
同干麻扎村,tong'gan'ma'zha'cun
通塔什村,tong'ta'shen'cun
吐格艾兰木村,tu'ge'ai'lan'mu'cun
吐格巴斯特村,tu'ge'ba'si'te'cun
吐格贝希村,tu'ge'bei'xi'cun
吐格曼艾热克博依社区,tu'ge'man'ai're'ke'bo'yi'she'qu
吐格曼艾日克村,tu'ge'man'ai'ri'ke'cun
吐格曼贝什村,tu'ge'man'bei'shen'cun
吐格曼贝希村,tu'ge'man'bei'xi'cun
吐格曼博依村,tu'ge'man'bo'yi'cun
吐格曼买里村,tu'ge'man'mai'li'cun
吐格曼恰喀村,tu'ge'man'qia'ka'cun
吐古其村,tu'gu'qi'cun
吐古其阔恰社区,tu'gu'qi'kuo'qia'she'qu
吐古其乡,tu'gu'qi'xiang
吐居克村,tu'ju'ke'cun
吐曼塔勒村,tu'man'ta'le'cun
吐曼塔勒乡,tu'man'ta'le'xiang
吐木休克阿勒迪村,tu'mu'xiu'ke'a'le'di'cun
吐普硝村,tu'pu'xiao'cun
吐如孜村,tu'ru'zi'cun
吐沙拉村,tu'sha'la'cun
吐沙拉乡,tu'sha'la'xiang
吐特鲁克村,tu'te'lu'ke'cun
吐外特村,tu'wai'te'cun
吐外特乡,tu'wai'te'xiang
吐扎克其村,tu'zha'ke'qi'cun
吐孜鲁克奥塔克村,tu'zi'lu'ke'ao'ta'ke'cun
吐孜鲁克村,tu'zi'lu'ke'cun
吐孜鲁克喀什村,tu'zi'lu'ke'ka'shi'cun
吐孜央塔克村,tu'zi'yang'ta'ke'cun
团结路社区,tuan'jie'lu'she'qu
团结社区,tuan'jie'she'qu
团结新村,tuan'jie'xin'cun
托甫恰村,tuo'fu'qia'cun
托甫恰社区,tuo'fu'qia'she'qu
托尕依村,tuo'ga'yi'cun
托盖墩村,tuo'gai'dun'cun
托盖来斯村,tuo'gai'lai'si'cun
托盖欧勒迪村,tuo'gai'ou'le'di'cun
托盖托格拉克村,tuo'gai'tuo'ge'la'ke'cun
托格尔苏村,tuo'ge'er'su'cun
托格拉村,tuo'ge'la'cun
托格拉克阿勒迪村,tuo'ge'la'ke'a'le'di'cun
托格拉克阿勒迪社区,tuo'ge'la'ke'a'le'di'she'qu
托格拉克村,tuo'ge'la'ke'cun
托格拉克勒克村,tuo'ge'la'ke'le'ke'cun
托格拉克麻扎村,tuo'ge'la'ke'ma'zha'cun
托格拉克恰喀村,tuo'ge'la'ke'qia'ka'cun
托格拉勒村,tuo'ge'la'le'cun
托格拉吾斯塘村,tuo'ge'la'wu'si'tang'cun
托格拉亚村,tuo'ge'la'ya'cun
托格伦夏村,tuo'ge'lun'xia'cun
托格热艾日克村,tuo'ge're'ai'ri'ke'cun
托格热克斯木村,tuo'ge're'ke'si'mu'cun
托格热苏村,tuo'ge're'su'cun
托格日苏村,tuo'ge'ri'su'cun
托哈艾热克村,tuo'ha'ai're'ke'cun
托哈斯台村,tuo'ha'si'tai'cun
托合玛克村,tuo'he'ma'ke'cun
托合提喀村,tuo'he'ti'ka'cun
托乎拉村,tuo'hu'la'cun
托胡拉村,tuo'hu'la'cun
托胡拉乡,tuo'hu'la'xiang
托喀亚村,tuo'ka'ya'cun
托喀依村,tuo'ka'yi'cun
托库勒村,tuo'ku'le'cun
托库孜阿特村,tuo'ku'zi'a'te'cun
托库孜拱拜孜村,tuo'ku'zi'gong'bai'zi'cun
托勒干吉村,tuo'le'gan'ji'cun
托力坎村,tuo'li'kan'cun
托玛贝希村,tuo'ma'bei'xi'cun
托玛村,tuo'ma'cun
托奴村,tuo'nu'cun
托帕村,tuo'pa'cun
托帕吾斯塘社区,tuo'pa'wu'si'tang'she'qu
托什坎拉村,tuo'shen'kan'la'cun
托什坎却勒村,tuo'shen'kan'que'le'cun
托特艾格勒村,tuo'te'yi'ge'le'cun
托万阿帕克霍加村,tuo'wan'a'pa'ke'huo'jia'cun
托万阿热勒村,tuo'wan'a're'le'cun
托万阿热勒社区,tuo'wan'a're'le'she'qu
托万阿依库勒村,tuo'wan'a'yi'ku'le'cun
托万艾日克村,tuo'wan'ai'ri'ke'cun
托万艾西曼村,tuo'wan'ai'xi'man'cun
托万昂格特勒克村,tuo'wan'ang'ge'te'le'ke'cun
托万尕勒村,tuo'wan'ga'le'cun
托万古江村,tuo'wan'gu'jiang'cun
托万哈迪勒克村,tuo'wan'ha'di'le'ke'cun
托万罕艾日克村,tuo'wan'han'ai'ri'ke'cun
托万加依艾日克村,tuo'wan'jia'yi'ai'ri'ke'cun
托万加依铁热克村,tuo'wan'jia'yi'tie're'ke'cun
托万喀拉巴格村,tuo'wan'ka'la'ba'ge'cun
托万喀帕克阿斯提村,tuo'wan'ka'pa'ke'a'si'ti'cun
托万喀帕克拉村,tuo'wan'ka'pa'ke'la'cun
托万喀日拉村,tuo'wan'ka'ri'la'cun
托万喀什村,tuo'wan'ka'shi'cun
托万克阿热克什拉克村,tuo'wan'ke'a're'ke'shi'la'ke'cun
托万科克其村,tuo'wan'ke'ke'qi'cun
托万克兰干村,tuo'wan'ke'lan'gan'cun
托万库木艾日克村,tuo'wan'ku'mu'ai'ri'ke'cun
托万库木库萨尔村,tuo'wan'ku'mu'ku'sa'er'cun
托万库其村,tuo'wan'ku'qi'cun
托万拉依喀村,tuo'wan'la'yi'ka'cun
托万芒来村,tuo'wan'mang'lai'cun
托万尼皮其村,tuo'wan'ni'pi'qi'cun
托万欧壤村,tuo'wan'ou'rang'cun
托万恰喀村,tuo'wan'qia'ka'cun
托万曲许盖村,tuo'wan'qu'xu'gai'cun
托万苏勒坦艾日克村,tuo'wan'su'le'tan'ai'ri'ke'cun
托万索米村,tuo'wan'suo'mi'cun
托万塔尔夏村,tuo'wan'ta'er'xia'cun
托万塔瓦尔克斯克村,tuo'wan'ta'wa'er'ke'si'ke'cun
托万提埂村,tuo'wan'ti'geng'cun
托万托喀依村,tuo'wan'tuo'ka'yi'cun
托万吾斯塘村,tuo'wan'wu'si'tang'cun
托万肖尔巴格村,tuo'wan'xiao'er'ba'ge'cun
托万许玛村,tuo'wan'xu'ma'cun
托扎克其艾日克村,tuo'zha'ke'qi'ai'ri'ke'cun
瓦尔希迭村,wa'er'xi'die'cun
瓦合甫社区,wa'he'fu'she'qu
瓦合帕村,wa'he'pa'cun
瓦勒瓦村,wa'le'wa'cun
瓦尼迭村,wa'ni'die'cun
瓦恰乡,wa'qia'xiang
瓦窑本村,wa'yao'ben'cun
温阿勒台库什村,wen'a'le'tai'ku'shi'cun
温艾日克村,wen'ai'ri'ke'cun
文化路社区,wen'hua'lu'she'qu
温塔木村,wen'ta'mu'cun
温乌塔克村,wen'wu'ta'ke'cun
温尧勒村,wen'yao'le'cun
翁艾日克村,weng'ai'ri'ke'cun
翁村,weng'cun
翁阔坦村,weng'kuo'tan'cun
卧里托格拉克村,wo'li'tuo'ge'la'ke'cun
卧里托格拉克乡,wo'li'tuo'ge'la'ke'xiang
乌尔达库勒村,wu'er'da'ku'le'cun
乌尔达库勒社区,wu'er'da'ku'le'she'qu
吾尔曼村,wu'er'man'cun
乌尔其村,wu'er'qi'cun
吾尔其村,wu'er'qi'cun
乌尔其乡,wu'er'qi'xiang
乌吉热克村,wu'ji're'ke'cun
乌吉热克乡,wu'ji're'ke'xiang
乌喀村,wu'ka'cun
乌库什墩村,wu'ku'shi'dun'cun
吾勒巴格村,wu'le'ba'ge'cun
吾力曼拉社区,wu'li'man'la'she'qu
乌鲁格阿塔村,wu'lu'ge'a'ta'cun
乌鲁木齐北路社区,wu'lu'mu'qi'bei'lu'she'qu
乌鲁木齐南路社区,wu'lu'mu'qi'nan'lu'she'qu
乌其昆迈丹村,wu'qi'kun'mai'dan'cun
乌恰特村,wu'qia'te'cun
吾斯塘贝希村,wu'si'tang'bei'xi'cun
吾斯塘博依村,wu'si'tang'bo'yi'cun
乌斯塘博依社区,wu'si'tang'bo'yi'she'qu
吾斯塘博依社区,wu'si'tang'bo'yi'she'qu
乌苏特村,wu'su'te'cun
乌堂村,wu'tang'cun
吾堂村,wu'tang'cun
乌吐拉阔什库勒村,wu'tu'la'kuo'shen'ku'le'cun
乌夏克巴什镇,wu'xia'ke'ba'shi'zhen
乌依巴格村,wu'yi'ba'ge'cun
乌依鲁克村,wu'yi'lu'ke'cun
吾依塔格村,wu'yi'ta'ge'cun
乌宗库勒村,wu'zong'ku'le'cun
吾宗肖乡,wu'zong'xiao'xiang
乌尊阿热勒村,wu'zun'a're'le'cun
乌尊艾日克村,wu'zun'ai'ri'ke'cun
乌尊买里村,wu'zun'mai'li'cun
西城社区,xi'cheng'she'qu
西大桥社区,xi'da'qiao'she'qu
西格贝格村,xi'ge'bei'ge'cun
西合休村,xi'he'xiu'cun
西合休乡,xi'he'xiu'xiang
希坎尔库木什村,xi'kan'er'ku'mu'shen'cun
西克尔库勒镇,xi'ke'er'ku'le'zhen
希庞村,xi'pang'cun
希依提墩村,xi'yi'ti'dun'cun
希依提墩乡,xi'yi'ti'dun'xiang
希依提里日木村,xi'yi'ti'li'ri'mu'cun
西子花园社区,xi'zi'hua'yuan'she'qu
夏布孜喀拉村,xia'bu'zi'ka'la'cun
夏甫吐鲁克村,xia'fu'tu'lu'ke'cun
夏哈尔村,xia'ha'er'cun
夏合甫村,xia'he'fu'cun
夏合甫乡,xia'he'fu'xiang
夏合勒克村,xia'he'le'ke'cun
夏合塔什拉木村,xia'he'ta'shen'la'mu'cun
夏合亚迪村,xia'he'ya'di'cun
夏喀勒阿瓦提村,xia'ka'le'a'wa'ti'cun
夏克买里村,xia'ke'mai'li'cun
夏拉夫迭村,xia'la'fu'die'cun
夏勒艾热克村,xia'le'ai're'ke'cun
夏勒迪壤村,xia'le'di'rang'cun
夏勒迪让村,xia'le'di'rang'cun
夏勒克村,xia'le'ke'cun
夏勒艾格勒村,xia'le'yi'ge'le'cun
夏玛勒巴格村,xia'ma'le'ba'ge'cun
夏玛勒巴格社区,xia'ma'le'ba'ge'she'qu
夏玛勒村,xia'ma'le'cun
夏玛勒乡,xia'ma'le'xiang
夏买来村,xia'mai'lai'cun
夏普克村,xia'pu'ke'cun
夏普勒克村,xia'pu'le'ke'cun
夏普鲁克村,xia'pu'lu'ke'cun
夏普吐勒村,xia'pu'tu'le'cun
夏普吐勒买里斯村,xia'pu'tu'le'mai'li'si'cun
夏普吐勒镇,xia'pu'tu'le'zhen
夏普吐鲁艾日克村,xia'pu'tu'lu'ai'ri'ke'cun
先拜巴扎村,xian'bai'ba'zha'cun
硝迪盖托格拉克村,xiao'di'gai'tuo'ge'la'ke'cun
肖尔艾日克村,xiao'er'ai'ri'ke'cun
肖尔巴格村,xiao'er'ba'ge'cun
肖尔巴格乡,xiao'er'ba'ge'xiang
销尔介乃克村,xiao'er'jie'nai'ke'cun
硝尔鲁克艾日克村,xiao'er'lu'ke'ai'ri'ke'cun
硝尔鲁克村,xiao'er'lu'ke'cun
硝尔买里村,xiao'er'mai'li'cun
肖拉克村,xiao'la'ke'cun
肖拉克社区,xiao'la'ke'she'qu
小同村,xiao'tong'cun
谢尔乃普村,xie'er'nai'pu'cun
协海尔博依村,xie'hai'er'bo'yi'cun
协开尔巴格村,xie'kai'er'ba'ge'cun
协开尔村,xie'kai'er'cun
协依旦村,xie'yi'dan'cun
协依合拉村,xie'yi'he'la'cun
协依坦库勒村,xie'yi'tan'ku'le'cun
新城社区,xin'cheng'she'qu
新迭村,xin'die'cun
新世纪社区,xin'shi'ji'she'qu
幸福路社区,xing'fu'lu'she'qu
幸福南路社区,xing'fu'nan'lu'she'qu
幸福苑社区,xing'fu'yuan'she'qu
旭东社区,xu'dong'she'qu
许玛巴格万村,xu'ma'ba'ge'wan'cun
许许村,xu'xu'cun
亚贝希村,ya'bei'xi'cun
亚比西社区,ya'bi'xi'she'qu
亚博依村,ya'bo'yi'cun
亚尔阿格孜村,ya'er'a'ge'zi'cun
亚尔巴格村,ya'er'ba'ge'cun
亚甫拉克村,ya'fu'la'ke'cun
亚甫恰力克村,ya'fu'qia'li'ke'cun
亚尕其阿依万村,ya'ga'qi'a'yi'wan'cun
亚格买里社区,ya'ge'mai'li'she'qu
亚汗艾日克村,ya'han'ai'ri'ke'cun
亚洪旦村,ya'hong'dan'cun
亚喀艾日克村,ya'ka'ai'ri'ke'cun
亚喀萨依村,ya'ka'sa'yi'cun
亚克尔村,ya'ke'er'cun
亚库勒村,ya'ku'le'cun
亚勒古孜巴格村,ya'le'gu'zi'ba'ge'cun
亚勒古孜吉格代村,ya'le'gu'zi'ji'ge'dai'cun
亚勒古孜塔勒村,ya'le'gu'zi'ta'le'cun
亚勒古孜托格拉克村,ya'le'gu'zi'tuo'ge'la'ke'cun
亚勒吾孜吾尕尔村,ya'le'wu'zi'wu'ga'er'cun
亚力干村,ya'li'gan'cun
亚曼拜克村,ya'man'bai'ke'cun
亚帕勒托格拉克村,ya'pa'le'tuo'ge'la'ke'cun
亚帕勒托格勒克村,ya'pa'le'tuo'ge'le'ke'cun
亚普玛村,ya'pu'ma'cun
亚普羌村,ya'pu'qiang'cun
亚恰克迪村,ya'qia'ke'di'cun
亚松迪村,ya'song'di'cun
亚塔库木村,ya'ta'ku'mu'cun
亚吐格曼村,ya'tu'ge'man'cun
亚瓦格社区,ya'wa'ge'she'qu
雅瓦乡,ya'wa'xiang
颜布克村,yan'bu'ke'cun
央阿格勒克村,yang'a'ge'le'ke'cun
央阿克其勒克村,yang'a'ke'qi'le'ke'cun
央艾日克村,yang'ai'ri'ke'cun
央都玛村,yang'dou'ma'cun
阳光社区,yang'guang'she'qu
央塔克村,yang'ta'ke'cun
央塔克勒克村,yang'ta'ke'le'ke'cun
央塔克乡,yang'ta'ke'xiang
杨提赛村,yang'ti'sai'cun
尧勒瓦斯哈纳村,yao'le'wa'si'ha'na'cun
尧勒瓦斯阔坦村,yao'le'wa'si'kuo'tan'cun
尧玛村,yao'ma'cun
叶城县,ye'cheng'xian
叶坎克其格村,ye'kan'ke'qi'ge'cun
叶坎买里斯村,ye'kan'mai'li'si'cun
也克先拜巴扎村,ye'ke'xian'bai'ba'zha'cun
也克先拜巴扎乡,ye'ke'xian'bai'ba'zha'xiang
也台买里村,ye'tai'mai'li'cun
也听其日克村,ye'ting'qi'ri'ke'cun
也依克村,ye'yi'ke'cun
也扎巴格村,ye'zha'ba'ge'cun
依甫巴扎社区,yi'fu'ba'zha'she'qu
依甫吐尔迪库木村,yi'fu'tu'er'di'ku'mu'cun
依盖尔其村,yi'gai'er'qi'cun
依盖其村,yi'gai'qi'cun
依干力克村,yi'gan'li'ke'cun
依格孜艾日克村,yi'ge'zi'ai'ri'ke'cun
依格孜亚村,yi'ge'zi'ya'cun
依克其村,yi'ke'qi'cun
依肯苏村,yi'ken'su'cun
依拉克力克社区,yi'la'ke'li'ke'she'qu
伊来克博依村,yi'lai'ke'bo'yi'cun
依来克社区,yi'lai'ke'she'qu
依浪古鲁克村,yi'lang'gu'lu'ke'cun
伊勒尼什村,yi'le'ni'shen'cun
伊勒提孜霍依拉村,yi'le'ti'zi'huo'yi'la'cun
依勒提孜力克村,yi'le'ti'zi'li'ke'cun
依勒瓦村,yi'le'wa'cun
依力克其村,yi'li'ke'qi'cun
依力克其乡,yi'li'ke'qi'xiang
伊里其乡,yi'li'qi'xiang
依玛村,yi'ma'cun
依玛木艾斯开尔村,yi'ma'mu'ai'si'kai'er'cun
依米西力村,yi'mi'xi'li'cun
依排克其村,yi'pai'ke'qi'cun
依其拜勒提村,yi'qi'bai'le'ti'cun
依其央村,yi'qi'yang'cun
依然村,yi'ran'cun
伊斯拉木阿瓦提村,yi'si'la'mu'a'wa'ti'cun
伊斯拉木阿瓦提乡,yi'si'la'mu'a'wa'ti'xiang
依提木孔村,yi'ti'mu'kong'cun
依提木孔乡,yi'ti'mu'kong'xiang
依提帕克村,yi'ti'pa'ke'cun
依希克拉村,yi'xi'ke'la'cun
依孜村,yi'zi'cun
英阿拉买提巴扎村,ying'a'la'mai'ti'ba'zha'cun
英阿瓦提村,ying'a'wa'ti'cun
英阿瓦提乡,ying'a'wa'ti'xiang
英阿依马克村,ying'a'yi'ma'ke'cun
英艾日克村,ying'ai'ri'ke'cun
英艾日克乡,ying'ai'ri'ke'xiang
英巴格村,ying'ba'ge'cun
英巴格社区,ying'ba'ge'she'qu
英巴扎村,ying'ba'zha'cun
英巴扎社区,ying'ba'zha'she'qu
迎宾路社区,ying'bin'lu'she'qu
英波斯坦村,ying'bo'si'tan'cun
英格孜艾日克村,ying'ge'zi'ai'ri'ke'cun
英库勒村,ying'ku'le'cun
英兰干村,ying'lan'gan'cun
英买里村,ying'mai'li'cun
