爱是万缘之根,ai'shi'wan'yuan'zhi'gen
乃向坦途上自设一坷坎,nai'xiang'tan'tu'shang'zi'she'yi'ke'kan
难辞处后之羞,nan'ci'chu'hou'zhi'xiu
难盖一事之愆,nan'gai'yi'shi'zhi'qian
难合亦难分,nan'he'yi'nan'fen
难逃,nan'tao
难逃清夜之鬼报,nan'tao'qing'ye'zhi'gui'bao
闹场能学道,nao'chang'neng'xue'dao
内便宛然见万古圣贤之心,nei'bian'wan'ran'jian'wan'gu'sheng'xian'zhi'xin
能察能不察之谓明,neng'cha'neng'bu'cha'zhi'wei'ming
能重名义,neng'chong'ming'yi
能空境界自生明,neng'kong'jing'jie'zi'sheng'ming
能轻富贵,neng'qing'fu'gui
能胜能不胜之谓勇,neng'sheng'neng'bu'sheng'zhi'wei'yong
能受其煅炼者,neng'shou'qi'duan'lian'zhe
能休尘境为真境,neng'xiu'chen'jing'wei'zhen'jing
能者劳而俯怨,neng'zhe'lao'er'fu'yuan
能之末,neng'zhi'mo
念此令人心灰,nian'ci'ling'ren'xin'hui
念到此,nian'dao'ci
念虑只差毫末,nian'lv'zhi'cha'hao'mo
念念要从虚处立基,nian'nian'yao'cong'xu'chu'li'ji
念清明,nian'qing'ming
念头暗昧,nian'tou'an'mei
念头吃紧时,nian'tou'chi'jin'shi
念头淡者自待薄,nian'tou'dan'zhe'zi'dai'bao
念头昏散处,nian'tou'hun'san'chu
念头忌克寸的,nian'tou'ji'ke'cun'de
念头宽厚的,nian'tou'kuan'hou'de
念头浓者自待厚,nian'tou'nong'zhe'zi'dai'hou
念头起处,nian'tou'qi'chu
念头稍异,nian'tou'shao'yi
鸟惊心花溅泪,niao'jing'xin'hua'jian'lei
鸟且啭几句好音,niao'qie'zhuan'ji'ju'hao'yin
鸟语虫声,niao'yu'chong'sheng
宁守浑噩而黜聪明,ning'shou'hun'e'er'chu'cong'ming
宁受人之欺,ning'shou'ren'zhi'qi
宁受一时之寂寞,ning'shou'yi'shi'zhi'ji'mo
宁谢纷华而甘淡泊,ning'xie'fen'hua'er'gan'dan'bo
宁有求全之毁,ning'you'qiu'quan'zhi'hui
宁有无妄之灾,ning'you'wu'wang'zhi'zai
浓不欣,nong'bu'xin
浓艳的滋味短,nong'yan'de'zi'wei'duan
暖后更觉寒威,nuan'hou'geng'jue'han'wei
暖则生,nuan'ze'sheng
鸥凫共浴,ou'fu'gong'yu
鸥眠春风暖日,ou'mian'chun'feng'nuan'ri
炮凤烹龙,pao'feng'peng'long
盆池拳石间,pen'chi'quan'shi'jian
朋来海宇,peng'lai'hai'yu
蓬茅下诵诗读书,peng'mao'xia'song'shi'du'shu
偏枯,pian'ku
偏来僻处媚幽人,pian'lai'pi'chu'mei'you'ren
片言只语,pian'yan'zhi'yu
偏执岂能及圆融,pian'zhi'qi'neng'ji'yuan'rong
贫得者身富而心贫,pin'de'zhe'shen'fu'er'xin'pin
贫家净扫地,pin'jia'jing'sao'di
贫贱得一世清苦,pin'jian'de'yi'shi'qing'ku
贫贱骄人,pin'jian'jiao'ren
贫贱是耐久之交,pin'jian'shi'nai'jiu'zhi'jiao
贫贱所难,pin'jian'suo'nan
贫女净梳头,pin'nv'jing'shu'tou
贫士肯济人,pin'shi'ken'ji'ren
平民肯种德施惠,ping'min'ken'zhong'de'shi'hui
评议,ping'yi
破相亦非真,po'xiang'yi'fei'zhen
器便稳,qi'bian'wen
其病如何不败,qi'bing'ru'he'bu'bai
栖迟蓬户,qi'chi'peng'hu
其道只在一忍字,qi'dao'zhi'zai'yi'ren'zi
其道只在一恕字,qi'dao'zhi'zai'yi'shu'zi
气度自是风雅,qi'du'zi'shi'feng'ya
其福始久,qi'fu'shi'jiu
其福亦厚,qi'fu'yi'hou
其根不植,qi'gen'bu'zhi
气骨清如秋水,qi'gu'qing'ru'qiu'shui
气浑然,qi'hun'ran
其火焰不,qi'huo'yan'bu
气机何尝一毫凝滞,qi'ji'he'chang'yi'hao'ning'zhi
凄凉万古,qi'liang'wan'gu
气平则外横不侵,qi'ping'ze'wai'heng'bu'qin
其魄,qi'po
乞人号上雍下食飧,qi'ren'hao'shang'yong'xia'shi'sun
欺人者,qi'ren'zhe
栖守道德者,qi'shou'dao'de'zhe
起死回生之路也,qi'si'hui'sheng'zhi'lu'ye
岂似桃李之灼灼而争妍,qi'si'tao'li'zhi'zhuo'zhuo'er'zheng'yan
栖恬守逸之味,qi'tian'shou'yi'zhi'wei
气未动,qi'wei'dong
其为何许人也,qi'wei'he'xu'ren'ye
其萎可立而待矣,qi'wei'ke'li'er'dai'yi
其洗涤犹易,qi'xi'di'you'yi
其洗涤最难,qi'xi'di'zui'nan
气象不宽平,qi'xiang'bu'kuan'ping
气象要高旷,qi'xiang'yao'gao'kuang
栖心于淡泊而甘苦俱忘,qi'xin'yu'dan'bo'er'gan'ku'ju'wang
其行如何能享,qi'xing'ru'he'neng'xiang
其泽亦长,qi'ze'yi'chang
齐之妙,qi'zhi'miao
其知始真,qi'zhi'shi'zhen
其自得为更多也,qi'zi'de'wei'geng'duo'ye
恰似未生一日,qia'si'wei'sheng'yi'ri
乾坤水上萍,qian'kun'shui'shang'ping
乾隆五十九年二月二日,qian'long'wu'shi'jiu'nian'er'yue'er'ri
前人云,qian'ren'yun
千载奇逢,qian'zai'qi'feng
强弱安在,qiang'ruo'an'zai
且动战争之心,qie'dong'zhan'zheng'zhi'xin
窃利者如虫营虫丁盗人,qie'li'zhe'ru'chong'ying'chong'ding'dao'ren
切莫当面错过,qie'mo'dang'mian'cuo'guo
切莫受渠戏弄,qie'mo'shou'qu'xi'nong
且莫输心,qie'mo'shu'xin
窃以济私,qie'yi'ji'si
且于是书无关涉语,qie'yu'shi'shu'wu'guan'she'yu
禽鸟戚戚,qin'niao'qi'qi
琴书诗画,qin'shu'shi'hua
勤者敏于德义,qin'zhe'min'yu'de'yi
倾半瓢之粟,qing'ban'piao'zhi'su
清标傲骨,qing'biao'ao'gu
清淡一分自悠长一分,qing'dan'yi'fen'zi'you'chang'yi'fen
轻发者无宏功,qing'fa'zhe'wu'hong'gong
晴空看鸟飞,qing'kong'kan'niao'fei
晴空朗月,qing'kong'lang'yue
清能有容,qing'neng'you'rong
清泉绿竹,qing'quan'lv'zhu
青天白日的节义,qing'tian'bai'ri'de'jie'yi
情未萌,qing'wei'meng
清戏也,qing'xi'ye
情欲意识,qing'yu'yi'shi
情欲意识为内贼,qing'yu'yi'shi'wei'nei'zei
情之同处即为性舍情则性不可见,qing'zhi'tong'chu'ji'wei'xing'she'qing'ze'xing'bu'ke'jian
秋虫春鸟共畅天机,qiu'chong'chun'niao'gong'chang'tian'ji
趣卑者不可与谈高,qu'bei'zhe'bu'ke'yu'tan'gao
去留无意,qu'liu'wu'yi
去留一无所系,qu'liu'yi'wu'suo'xi
去路都塞尽,qu'lu'dou'sai'jin
觑破几般尘情世态,qu'po'ji'ban'chen'qing'shi'tai
躯壳的我要看得破,qu'qiao'de'wo'yao'kan'de'po
去杀机以为远祸之方,qu'sha'ji'yi'wei'yuan'huo'zhi'fang
趣味,qu'wei
趣味要冲淡,qu'wei'yao'chong'dan
趋炎附势之祸,qu'yan'fu'shi'zhi'huo
趋炎虽暖,qu'yan'sui'nuan
曲意而使人喜,qu'yi'er'shi'ren'xi
权贵龙骧,quan'gui'long'xiang
权豪自甘乞丐,quan'hao'zi'gan'qi'gai
全没半点真心,quan'mei'ban'dian'zhen'xin
权门私窦不可著脚,quan'men'si'dou'bu'ke'zhu'jiao
雀又乘其后,que'you'cheng'qi'hou
群信不以彼易此也,qun'xin'bu'yi'bi'yi'ci'ye
染洁为污,ran'jie'wei'wu
然进而观于大海之鹏,ran'jin'er'guan'yu'da'hai'zhi'peng
然于,ran'yu
染者,ran'zhe
让人嗜,rang'ren'shi
让所以戒争,rang'suo'yi'jie'zheng
让懿行也,rang'yi'xing'ye
人常作是观,ren'chang'zuo'shi'guan
人诚想,ren'cheng'xiang
认得真,ren'de'zhen
人定胜天,ren'ding'sheng'tian
人恶影而疾走,ren'e'ying'er'ji'zou
认个法身不真耳,ren'ge'fa'shen'bu'zhen'er
人胡,ren'hu
人解读有字书,ren'jie'du'you'zi'shu
人伦中万情,ren'lun'zhong'wan'qing
人能诚心和气愉色婉言,ren'neng'cheng'xin'he'qi'yu'se'wan'yan
人能看得破,ren'neng'kan'de'po
仁能善断,ren'neng'shan'duan
人能以此胸襟眼界,ren'neng'yi'ci'xiong'jin'yan'jie
人品且判星渊矣,ren'pin'qie'pan'xing'yuan'yi
人品星渊也,ren'pin'xing'yuan'ye
人品做到极处,ren'pin'zuo'dao'ji'chu
人情,ren'qing
人情反覆,ren'qing'fan'fu
人情世态,ren'qing'shi'tai
人人道好,ren'ren'dao'hao
仁人心地宽舒,ren'ren'xin'di'kuan'shu
人人有个大慈悲,ren'ren'you'ge'da'ci'bei
人生祸区福境,ren'sheng'huo'qu'fu'jing
人生且自舒眉,ren'sheng'qie'zi'shu'mei
人生若无此念头,ren'sheng'ruo'wu'ci'nian'tou
人生似瓦盆,ren'sheng'si'wa'pen
人生原是傀儡,ren'sheng'yuan'shi'kui'lei
人生只百年,ren'sheng'zhi'bai'nian
人生只为欲字所累,ren'sheng'zhi'wei'yu'zi'suo'lei
人死而虫营虫丁亦灭,ren'si'er'chong'ying'chong'ding'yi'mie
任物鞭笞,ren'wu'bian'chi
人物的根宗,ren'wu'de'gen'zong
人心不可一日无喜神,ren'xin'bu'ke'yi'ri'wu'xi'shen
人心难降,ren'xin'nan'jiang
人心难满,ren'xin'nan'man
人心一偏,ren'xin'yi'pian
人心一真,ren'xin'yi'zhen
人心有部真文章,ren'xin'you'bu'zhen'wen'zhang
人心有真境,ren'xin'you'zhen'jing
人心之,ren'xin'zhi
人心之生死亦於此判也,ren'xin'zhi'sheng'si'yi'yu'ci'pan'ye
人有恩于我不可忘,ren'you'en'yu'wo'bu'ke'wang
人有切之不从者,ren'you'qie'zhi'bu'cong'zhe
人有顽的,ren'you'wan'de
人欲路上甚窄,ren'yu'lu'shang'shen'zhai
人之短处,ren'zhi'duan'chu
人之过误宜恕,ren'zhi'guo'wu'yi'shu
人知饥寒为忧,ren'zhi'ji'han'wei'you
人知名位为乐,ren'zhi'ming'wei'wei'le
人之情欲不可拂,ren'zhi'qing'yu'bu'ke'fu
人之心体亦当如是,ren'zhi'xin'ti'yi'dang'ru'shi
人只一念贪私,ren'zhi'yi'nian'tan'si
人之有生也,ren'zhi'you'sheng'ye
人之智巧何益,ren'zhi'zhi'qiao'he'yi
日啖二升,ri'dan'er'sheng
日日与圣贤晤语,ri'ri'yu'sheng'xian'wu'yu
日用有种真道,ri'yong'you'zhong'zhen'dao
日月笼中鸟,ri'yue'long'zhong'niao
日月且有盈亏,ri'yue'qie'you'ying'kui
荣宠旁边辱等待,rong'chong'pang'bian'ru'deng'dai
容得性情上偏私,rong'de'xing'qing'shang'pian'si
荣辱得失,rong'ru'de'shi
荣与辱共蒂,rong'yu'ru'gong'di
如暴而扬之,ru'bao'er'yang'zhi
如尘里振衣泥中濯足,ru'chen'li'zhen'yi'ni'zhong'zhuo'zu
如春风煦育,ru'chun'feng'xu'yu
如春风之鼓畅庶类,ru'chun'feng'zhi'gu'chang'shu'lei
如春风之解冻和气之消冰,ru'chun'feng'zhi'jie'dong'he'qi'zhi'xiao'bing
如此,ru'ci
如飞而蛾投烛羝羊触藩,ru'fei'er'e'tou'zhu'di'yang'chu'fan
如忿而嫉之,ru'fen'er'ji'zhi
如负重担,ru'fu'zhong'dan
如韩信以勇备震主被擒,ru'han'xin'yi'yong'bei'zhen'zhu'bei'qin
如何安乐,ru'he'an'le
如何不乐,ru'he'bu'le
如何超达,ru'he'chao'da
如何到得人我一空动静两忘的境界,ru'he'dao'de'ren'wo'yi'kong'dong'jing'liang'wang'de'jing'jie
如何看他不破而怀贪生之虑,ru'he'kan'ta'bu'po'er'huai'tan'sheng'zhi'lv
如何看他不重而贻,ru'he'kan'ta'bu'zhong'er'yi
如何领取得冷风月,ru'he'ling'qu'de'leng'feng'yue
如口,ru'kou
如盆槛中,ru'pen'kan'zhong
如铅椠佣,ru'qian'qian'yong
如倾险之人情坎,ru'qing'xian'zhi'ren'qing'kan
如山鬼,ru'shan'gui
如山间之空翠,ru'shan'jian'zhi'kong'cui
如山林中花,ru'shan'lin'zhong'hua
如省事之为适,ru'sheng'shi'zhi'wei'shi
如是夫,ru'shi'fu
如逝海之一波,ru'shi'hai'zhi'yi'bo
如施者任德,ru'shi'zhe'ren'de
如释重枷,ru'shi'zhong'jia
如水凝为冰,ru'shui'ning'wei'bing
如朔雪阴凝,ru'shuo'xue'yin'ning
如太仓之粒米,ru'tai'cang'zhi'li'mi
如汤消雪,ru'tang'xiao'xue
如挽上滩之舟,ru'wan'shang'tan'zhi'zhou
辱行污名,ru'xing'wu'ming
如修德而留意于事功名誉,ru'xiu'de'er'liu'yi'yu'shi'gong'ming'yu
如悬崖之朽木,ru'xuan'ya'zhi'xiu'mu
如眼前花,ru'yan'qian'hua
如冶化金,ru'ye'hua'jin
如衣冠盗,ru'yi'guan'dao
如蝇聚膻如蚁兢血,ru'ying'ju'shan'ru'yi'jing'xue
如驭临崖之马,ru'yu'lin'ya'zhi'ma
如灼目之电光,ru'zhuo'mu'zhi'dian'guang
若碧沼之吐青莲,ruo'bi'zhao'zhi'tu'qing'lian
若不带些清冷气味,ruo'bu'dai'xie'qing'leng'qi'wei
若不得一耐字撑持过去,ruo'bu'de'yi'nai'zi'cheng'chi'guo'qu
若不以德性陶钅容之,ruo'bu'yi'de'xing'tao'jin'rong'zhi
若果一,ruo'guo'yi
若和风之消酷暑,ruo'he'feng'zhi'xiao'ku'shu
若满月,ruo'man'yue
若稍计功效,ruo'shao'ji'gong'xiao
若少慕声闻,ruo'shao'mu'sheng'wen
若使之一无所容,ruo'shi'zhi'yi'wu'suo'rong
若伪妄之人,ruo'wei'wang'zhi'ren
若言言悦耳,ruo'yan'yan'yue'er
若业必求满,ruo'ye'bi'qiu'man
若一接近匪人,ruo'yi'jie'jin'fei'ren
若以权力得者,ruo'yi'quan'li'de'zhe
若一味敛束清苦,ruo'yi'wei'lian'shu'qing'ku
若一有贪著便堕危机,ruo'yi'you'tan'zhu'bian'duo'wei'ji
若一有欣羡便趋欲境,ruo'yi'you'xin'xian'bian'qu'yu'jing
若有若无,ruo'you'ruo'wu
塞得物欲之路,sai'de'wu'yu'zhi'lu
塞智为昏,sai'zhi'wei'hun
三者可以为天地立心,san'zhe'ke'yi'wei'tian'di'li'xin
三者可以养德,san'zhe'ke'yi'yang'de
扫地白云来,sao'di'bai'yun'lai
色后思淫,se'hou'si'yin
色虽艳丽,se'sui'yan'li
色欲火炽,se'yu'huo'chi
善处即是恶根,shan'chu'ji'shi'e'gen
山川云物,shan'chuan'yun'wu
山隔断,shan'ge'duan
山河大地已属微尘,shan'he'da'di'yi'shu'wei'chen
膻秽则蝇蚋丛嘬,shan'hui'ze'ying'rui'cong'zuo
善忌阳,shan'ji'yang
山林是胜地,shan'lin'shi'sheng'di
善启迪人心者,shan'qi'di'ren'xin'zhe
善人未能急亲,shan'ren'wei'neng'ji'qin
缮写成帙,shan'xie'cheng'zhi
山写照水,shan'xie'zhao'shui
善移风化者,shan'yi'feng'hua'zhe
善用者生机,shan'yong'zhe'sheng'ji
善之显者功小,shan'zhi'xian'zhe'gong'xiao
尚持生杀之柄,shang'chi'sheng'sha'zhi'bing
尚觉鹏程之窄小,shang'jue'peng'cheng'zhi'zhai'xiao
尚奇节不如谨,shang'qi'jie'bu'ru'jin
上上智,shang'shang'zhi
尚惜黄金,shang'xi'huang'jin
上下千古,shang'xia'qian'gu
赏在丽日,shang'zai'li'ri
少变其操履,shao'bian'qi'cao'lv
少年的人,shao'nian'de'ren
少迁就则失从,shao'qian'jiu'ze'shi'cong
稍游心胸中,shao'you'xin'xiong'zhong
少壮者,shao'zhuang'zhe
舌存常见齿亡,she'cun'chang'jian'chi'wang
涉世无一段圆活的机趣,she'shi'wu'yi'duan'yuan'huo'de'ji'qu
涉世者,she'shi'zhe
舍隋珠而弹飞禽也,she'sui'zhu'er'tan'fei'qin'ye
舍欲则理不可明,she'yu'ze'li'bu'ke'ming
奢者富而不足,she'zhe'fu'er'bu'zu
身不宜忙,shen'bu'yi'mang
甚惨亦甚速,shen'can'yi'shen'su
深仇常自爱中来,shen'chou'chang'zi'ai'zhong'lai
身后的惠泽要流得长,shen'hou'de'hui'ze'yao'liu'de'chang
神奇卓异非至人,shen'qi'zhuo'yi'fei'zhi'ren
肾受病则耳不能听,shen'shou'bing'ze'er'bu'neng'ting
身属北邙之狐兔,shen'shu'bei'mang'zhi'hu'tu
慎毋贪黄雀而坠深井,shen'wu'tan'huang'que'er'zhui'shen'jing
身心性命之学,shen'xin'xing'ming'zhi'xue
神逸,shen'yi
声华之习胜,sheng'hua'zhi'xi'sheng
声妓晚景从良,sheng'ji'wan'jing'cong'liang
盛衰何常,sheng'shuai'he'chang
胜私制欲之功,sheng'si'zhi'yu'zhi'gong
生香不断树交花,sheng'xiang'bu'duan'shu'jiao'hua
生与死同根,sheng'yu'si'tong'gen
生长富贵丛中的,sheng'zhang'fu'gui'cong'zhong'de
释才得以游衍其中,shi'cai'de'yi'you'yan'qi'zhong
是撑天撑地之柱石,shi'cheng'tian'cheng'di'zhi'zhu'shi
石崇死于财赋敌国,shi'chong'si'yu'cai'fu'di'guo
使此心不见可欲而不乱,shi'ci'xin'bu'jian'ke'yu'er'bu'luan
使此心见可欲而亦不乱,shi'ci'xin'jian'ke'yu'er'yi'bu'luan
是聪明而愚懵,shi'cong'ming'er'yu'meng
士大夫忧国为民,shi'da'fu'you'guo'wei'min
是当念其积累之难,shi'dang'nian'qi'ji'lei'zhi'nan
时当喧杂,shi'dang'xuan'za
是煅炼豪杰的一副炉锤,shi'duan'lian'hao'jie'de'yi'fu'lu'chui
市恩不如报德之为厚,shi'en'bu'ru'bao'de'zhi'wei'hou
施恩而欲要名结好,shi'en'er'yu'yao'ming'jie'hao
施恩务,shi'en'wu
是非蜂起,shi'fei'feng'qi
是非利害,shi'fei'li'hai
是富贵而贫贱,shi'fu'gui'er'pin'jian
使父母兄弟间形,shi'fu'mu'xiong'di'jian'xing
仕夫徒贪权市宠,shi'fu'tu'tan'quan'shi'chong
时光图放手,shi'guang'tu'fang'shou
使好丑两得其平,shi'hao'chou'liang'dei'qi'ping
嗜好虽清,shi'hao'sui'qing
饰厚貌以欺人,shi'hou'mao'yi'qi'ren
石火光中,shi'huo'guang'zhong
世界中万事,shi'jie'zhong'wan'shi
使觉广大宏朗,shi'jue'guang'da'hong'lang
士君子不能济物者,shi'jun'zi'bu'neng'ji'wu'zhe
士君子处权门要路,shi'jun'zi'chu'quan'men'yao'lu
士君子当穷愁寥落,shi'jun'zi'dang'qiong'chou'liao'luo
士君子济人利物,shi'jun'zi'ji'ren'li'wu
士君子幸列头角,shi'jun'zi'xing'lie'tou'jiao
士君子须是内精明而外浑厚,shi'jun'zi'xu'shi'nei'jing'ming'er'wai'hun'hou
士君子之涉世,shi'jun'zi'zhi'she'shi
事来如沤生大海,shi'lai'ru'ou'sheng'da'hai
事理因人言而悟者,shi'li'yin'ren'yan'er'wu'zhe
势利之为,shi'li'zhi'wei
世路崎岖,shi'lu'qi'qu
事莫大于揖,shi'mo'da'yu'yi
十谋九成未必归功,shi'mou'jiu'cheng'wei'bi'gui'gong
是清净田中下一不,shi'qing'jing'tian'zhong'xia'yi'bu
事穷势蹙之人,shi'qiong'shi'cu'zhi'ren
事去而心随空,shi'qu'er'xin'sui'kong
事去如影灭长空,shi'qu'ru'ying'mie'chang'kong
使人而不好名,shi'ren'er'bu'hao'ming
世人迷真逐妄,shi'ren'mi'zhen'zhu'wang
使人无不平之叹,shi'ren'wu'bu'ping'zhi'tan
士人有百折不回之真心,shi'ren'you'bai'zhe'bu'hui'zhi'zhen'xin
使人有不匮,shi'ren'you'bu'kui
使人有面前之誉,shi'ren'you'mian'qian'zhi'yu
使人有乍交之欢,shi'ren'you'zha'jiao'zhi'huan
世上只缘认得我字太真,shi'shang'zhi'yuan'ren'de'wo'zi'tai'zhen
事稍拂逆,shi'shao'fu'ni
是生民生物之根芽,shi'sheng'min'sheng'wu'zhi'gen'ya
事事,shi'shi
事事逼真,shi'shi'bi'zhen
事事成个宽舒气象,shi'shi'cheng'ge'kuan'shu'qi'xiang
事事成个迫促规模,shi'shi'cheng'ge'po'cu'gui'mo
事事当用意而意反轻,shi'shi'dang'yong'yi'er'yi'fan'qing
时时共,shi'shi'gong
世事何须扼腕,shi'shi'he'xu'e'wan
时时检点,shi'shi'jian'dian
事事皆虚,shi'shi'jie'xu
是事境,shi'shi'jing
事事快心,shi'shi'kuai'xin
世事如棋局,shi'shi'ru'qi'ju
始识疏狂之足贵,shi'shi'shu'kuang'zhi'zu'gui
事事要从实地着脚,shi'shi'yao'cong'shi'di'zhe'jiao
事事要留个有余不尽的意思,shi'shi'yao'liu'ge'you'yu'bu'jin'de'yi'si
事事宜忘情而情反重,shi'shi'yi'wang'qing'er'qing'fan'zhong
事事有功,shi'shi'you'gong
识是众欲之本,shi'shi'zhong'yu'zhi'ben
市私恩不如扶公议,shi'si'en'bu'ru'fu'gong'yi
试思未生之前有何象貌,shi'si'wei'sheng'zhi'qian'you'he'xiang'mao
世态有炎凉,shi'tai'you'yan'liang
世途虽纷华,shi'tu'sui'fen'hua
仕途虽赫奕,shi'tu'sui'he'yi
是谓蜜饯不甜海味不咸,shi'wei'mi'jian'bu'tian'hai'wei'bu'xian
事为虽公亦私,shi'wei'sui'gong'yi'si
世味有浓淡,shi'wei'you'nong'dan
使我机心顿息,shi'wo'ji'xin'dun'xi
是吾一点生生之机,shi'wu'yi'dian'sheng'sheng'zhi'ji
识吾真面目,shi'wu'zhen'mian'mu
始现,shi'xian
失血于杯中,shi'xue'yu'bei'zhong
是要思其倾覆之易,shi'yao'si'qi'qing'fu'zhi'yi
事业文章随身销毁,shi'ye'wen'zhang'sui'shen'xiao'hui
失意便思有怨望情怀否,shi'yi'bian'si'you'yuan'wang'qing'huai'fou
是以短攻短,shi'yi'duan'gong'duan
是以君子宁以刚方见惮,shi'yi'jun'zi'ning'yi'gang'fang'jian'dan
始以势利害人,shi'yi'shi'li'hai'ren
是以顽济顽,shi'yi'wan'ji'wan
失意之悲,shi'yi'zhi'bei
是又藉寇兵而赍盗粮矣,shi'you'ji'kou'bing'er'ji'dao'liang'yi
事有急之不白者,shi'you'ji'zhi'bu'bai'zhe
是有秋杀无,shi'you'qiu'sha'wu
实有隐隐相发明者,shi'you'yin'yin'xiang'fa'ming'zhe
施于不报之人,shi'yu'bu'bao'zhi'ren
十语九中未必称奇,shi'yu'jiu'zhong'wei'bi'cheng'qi
嗜欲如猛火权势似烈焰,shi'yu'ru'meng'huo'quan'shi'si'lie'yan
识宇宙活泼之机,shi'yu'zhou'huo'po'zhi'ji
实则物欲不入,shi'ze'wu'yu'bu'ru
食蔗能甘,shi'zhe'neng'gan
始知妄穷而真独露,shi'zhi'wang'qiong'er'zhen'du'lu
士醉里之风流,shi'zui'li'zhi'feng'liu
收拾来无非诗料,shou'shi'lai'wu'fei'shi'liao
受享毋逾分外,shou'xiang'wu'yu'fen'wai
受享亦凉薄,shou'xiang'yi'liang'bao
受用,shou'yong
受者怀恩,shou'zhe'huai'en
手中悟生杀之机,shou'zhong'wu'sheng'sha'zhi'ji
倏变为迅雷震电,shu'bian'wei'xun'lei'zhen'dian
孰得孰失,shu'de'shu'shi
书读五车,shu'du'wu'che
倏忽万端,shu'hu'wan'duan
书画是雅事,shu'hua'shi'ya'shi
孰幻孰真,shu'huan'shu'zhen
疏狂之士独任性真,shu'kuang'zhi'shi'du'ren'xing'zhen
庶免触藩之祸,shu'mian'chu'fan'zhi'huo
孰若,shu'ruo
孰若葺数椽之茅,shu'ruo'qi'shu'chuan'zhi'mao
孰谓非禅,shu'wei'fei'chan
疏则天真烂漫,shu'ze'tian'zhen'lan'man
倏转为朗月晴空,shu'zhuan'wei'lang'yue'qing'kong
衰老者,shuai'lao'zhe
衰时罪孽都是盛时作得,shuai'shi'zui'nie'dou'shi'sheng'shi'zuo'de
爽口之味,shuang'kou'zhi'wei
霜天闻鹤唳,shuang'tian'wen'he'li
水到渠成,shui'dao'qu'cheng
水滴石穿,shui'di'shi'chuan
谁能差遣我,shui'neng'chai'qian'wo
谁能瞒昧我,shui'neng'man'mei'wo
水暖水寒鱼自知,shui'nuan'shui'han'yu'zi'zhi
睡去虽真觉后假,shui'qu'sui'zhen'jue'hou'jia
谁人能解笼中囵囗化,shui'ren'neng'jie'long'zhong'lun'guo'hua
水上之涟漪,shui'shang'zhi'lian'yi
谁云贫是病,shui'yun'pin'shi'bing
水之清者常无鱼,shui'zhi'qing'zhe'chang'wu'yu
水只注五分,shui'zhi'zhu'wu'fen
顺事自然无事,shun'shi'zi'ran'wu'shi
说来虽是用时非,shuo'lai'sui'shi'yong'shi'fei
伺察以为明者,si'cha'yi'wei'ming'zhe
思出世而无,si'chu'shi'er'wu
似淡月之映轻云,si'dan'yue'zhi'ying'qing'yun
思立掀天揭地的事功,si'li'xian'tian'jie'di'de'shi'gong
驷马喜门高,si'ma'xi'men'gao
似千钧之弩,si'qian'jun'zhi'nu
私情,si'qing
似秋月之洞彻群品,si'qiu'yue'zhi'dong'che'qun'pin
思入世而有为者,si'ru'shi'er'you'wei'zhe
似膻存蚋而仍集,si'shan'cun'rui'er'reng'ji
思身后,si'shen'hou
似疏梅之映淡月,si'shu'mei'zhi'ying'dan'yue
似舞蝶与飞花共适,si'wu'die'yu'fei'hua'gong'shi
俗境是仙都,su'jing'shi'xian'dou
俗流之胸次亦闲,su'liu'zhi'xiong'ci'yi'xian
粟喜堆山,su'xi'dui'shan
遂初堂主人识,sui'chu'tang'zhu'ren'shi
虽得还是失,sui'de'hai'shi'shi
虽狡,sui'jiao
虽戒痴顽,sui'jie'chi'wan
虽木石之偏枯鹿豕之顽蠢,sui'mu'shi'zhi'pian'ku'lu'shi'zhi'wan'chun
虽囊乏一文,sui'nang'fa'yi'wen
随人识见以为高下,sui'ren'shi'jian'yi'wei'gao'xia
虽涉虚骄,sui'she'xu'jiao
遂视有为无,sui'shi'you'wei'wu
虽是在世百年,sui'shi'zai'shi'bai'nian
随时之内善救时,sui'shi'zhi'nei'shan'jiu'shi
虽属禅宗,sui'shu'chan'zong
随缘便是遣缘,sui'yuan'bian'shi'qian'yuan
随在皆青山绿树,sui'zai'jie'qing'shan'lv'shu
孙造福,sun'zao'fu
所谓土木形骸而已,suo'wei'tu'mu'xing'hai'er'yi
所谓因其势,suo'wei'yin'qi'shi
所以度越一世,suo'yi'du'yue'yi'shi
所易而渐及之,suo'yi'er'jian'ji'zhi
所以福来不必喜,suo'yi'fu'lai'bu'bi'xi
所以祸来不必忧,suo'yi'huo'lai'bu'bi'you
所以君子宁以风霜自挟,suo'yi'jun'zi'ning'yi'feng'shuang'zi'xie
所以至人常若无若虚,suo'yi'zhi'ren'chang'ruo'wu'ruo'xu
他害你越大,ta'hai'ni'yue'da
他人捉掇,ta'ren'zhuo'duo
踏雪耐危桥,ta'xue'nai'wei'qiao
他益你深,ta'yi'ni'shen
太分明则起趋避之私,tai'fen'ming'ze'qi'qu'bi'zhi'si
太枯则无以济人利物,tai'ku'ze'wu'yi'ji'ren'li'wu
太苦则无以适性怡情,tai'ku'ze'wu'yi'shi'xing'yi'qing
太虚何尝一毫障蔽,tai'xu'he'chang'yi'hao'zhang'bi
贪爱沉溺,tan'ai'chen'ni
贪得者分金恨不得玉,tan'de'zhe'fen'jin'hen'bu'de'yu
谈纷华而厌者,tan'fen'hua'er'yan'zhe
