阿弗它性口炎,a'fu'ta'xing'kou'yan
掌握口腔颌面外科一般检查内容步骤和方法,zhang'wo'kou'qiang'he'mian'wai'ke'yi'ban'jian'cha'nei'rong'bu'zhou'he'fang'fa
针柄,zhen'bing
真菌性口角炎,zhen'jun'xing'kou'jiao'yan
蒸馏水机,zheng'liu'shui'ji
正确地恢复形态与功能,zheng'que'de'hui'fu'xing'tai'yu'gong'neng
正中颌关系异常,zheng'zhong'he'guan'xi'yi'chang
正中颌前伸,zheng'zhong'he'qian'shen
智齿冠周炎,zhi'chi'guan'zhou'yan
置碘仿纱条,zhi'dian'fang'sha'tiao
直机,zhi'ji
支架包埋料,zhi'jia'bao'mai'liao
支架包埋液,zhi'jia'bao'mai'ye
支抗钛钉,zhi'kang'tai'ding
治疗程序,zhi'liao'cheng'xu
制取印模,zhi'qu'yin'mo
置砷剂,zhi'shen'ji
支托,zhi'tuo
置橡皮条,zhi'xiang'pi'tiao
植桩术,zhi'zhuang'shu
制作印模和模型的技术,zhi'zuo'yin'mo'he'mo'xing'de'ji'shu
重度,zhong'du
肿痛,zhong'tong
中位,zhong'wei
中温和高温铸造技术,zhong'wen'he'gao'wen'zhu'zao'ji'shu
中央尖,zhong'yang'jian
种植机,zhong'zhi'ji
种植减速手机,zhong'zhi'jian'su'shou'ji
种植手术的并发症,zhong'zhi'shou'shu'de'bing'fa'zheng
种植外科,zhong'zhi'wai'ke
种植义齿的成功术标准,zhong'zhi'yi'chi'de'cheng'gong'shu'biao'zhun
种植义齿的生理学基础,zhong'zhi'yi'chi'de'sheng'li'xue'ji'chu
种植义齿的修复方法和步骤,zhong'zhi'yi'chi'de'xiu'fu'fang'fa'he'bu'zhou
种植义齿的优缺点和适应症,zhong'zhi'yi'chi'de'you'que'dian'he'shi'ying'zheng
钟状期,zhong'zhuang'qi
周后镶牙,zhou'hou'xiang'ya
周围性面瘫,zhou'wei'xing'mian'tan
铸模粉,zhu'mu'fen
主诉,zhu'su
煮牙盒,zhu'ya'he
铸造金属全冠,zhu'zao'jin'shu'quan'guan
转移颌位关系,zhuan'yi'he'wei'guan'xi
桩冠,zhuang'guan
锥状螺纹种植体,zhui'zhuang'luo'wen'zhong'zhi'ti
自动混合注射枪,zi'dong'hun'he'zhu'she'qiang
自发痛,zi'fa'tong
自攻自断螺纹钉,zi'gong'zi'duan'luo'wen'ding
自凝,zi'ning
自凝牙托粉,zi'ning'ya'tuo'fen
自凝牙托水,zi'ning'ya'tuo'shui
自体免疫性疾病,zi'ti'mian'yi'xing'ji'bing
综合铝盒,zong'he'lv'he
纵裂,zong'lie
阻生,zu'sheng
阻生牙,zu'sheng'ya
阻生牙拔除时要向患者详细交待可能发生的并发症并请患者在,zu'sheng'ya'ba'chu'shi'yao'xiang'huan'zhe'xiang'xi'jiao'dai'ke'neng'fa'sheng'de'bing'fa'zheng'bing'qing'huan'zhe'zai
阻生牙拔除术,zu'sheng'ya'ba'chu'shu
阻生牙骨凿,zu'sheng'ya'gu'zao
组织移植,zu'zhi'yi'zhi
钻针,zuan'zhen
左上颌结节区,zuo'shang'he'jie'jie'qu
左上颌牙槽嵴区,zuo'shang'he'ya'cao'ji'qu
左上后牙区牙槽嵴,zuo'shang'hou'ya'qu'ya'cao'ji
左上颊,zuo'shang'jia
左上颊沟,zuo'shang'jia'gou
左上颊沟区,zuo'shang'jia'gou'qu
左上前牙区牙槽嵴,zuo'shang'qian'ya'qu'ya'cao'ji
左下颌磨牙,zuo'xia'he'mo'ya
左下颌牙槽嵴区,zuo'xia'he'ya'cao'ji'qu
左下后牙区牙槽嵴,zuo'xia'hou'ya'qu'ya'cao'ji
左下颊沟区,zuo'xia'jia'gou'qu
左下颊系带区,zuo'xia'jia'xi'dai'qu
左下口底区,zuo'xia'kou'di'qu
左下前牙区牙槽嵴,zuo'xia'qian'ya'qu'ya'cao'ji
