阿玛尼,a'ma'ni
女人婆,nv'ren'po
哦南宁,o'nan'ning
哦尿,o'niao
哦屎,o'shi
呕霸,ou'ba
欧迪,ou'di
瓯文,ou'wen
怕多,pa'duo
怕某,pa'mou
帕帕罗蒂,pa'pa'luo'di
爬山王,pa'shan'wang
趴台,pa'tai
排时,pai'shi
盘龙居,pan'long'ju
螃蟹脚,pang'xie'jiao
螃蟹腿,pang'xie'tui
炮龙节,pao'long'jie
沛鸿,pei'hong
碰碰胡,peng'peng'hu
彭清华,peng'qing'hua
屁股痒,pi'gu'yang
啤酒摊,pi'jiu'tan
啤酒鱼,pi'jiu'yu
屁你,pi'ni
片管,pian'guan
平本,ping'ben
平桂,ping'gui
平果,ping'guo
平果铝,ping'guo'lv
平果县,ping'guo'xian
平湖路,ping'hu'lu
平话,ping'hua
平吉,ping'ji
平朗,ping'lang
平乐,ping'le
平乐县,ping'le'xian
平马,ping'ma
平南,ping'nan
平南县,ping'nan'xian
平西,ping'xi
凭祥,ping'xiang
凭祥市,ping'xiang'shi
浦北,pu'bei
浦北县,pu'bei'xian
蒲帆,pu'fan
普罗旺斯,pu'luo'wang'si
铺面,pu'mian
蒲庙,pu'miao
蒲庙镇,pu'miao'zhen
浦寨,pu'zhai
七百弄,qi'bai'nong
七的,qi'de
七滴,qi'di
骑电单车,qi'dian'dan'che
漆黑,qi'hei
期考,qi'kao
期考了,qi'kao'le
起来先,qi'lai'xian
起没来,qi'mei'lai
栖木,qi'mu
气排球,qi'pai'qiu
企沙,qi'sha
起睡,qi'shui
七星店,qi'xing'dian
七星公园,qi'xing'gong'yuan
七星路,qi'xing'lu
齐盈,qi'ying
七月十四,qi'yue'shi'si
迁江,qian'jiang
前烂,qian'lan
签领,qian'ling
钱隆,qian'long
欠住,qian'zhu
桥底,qiao'di
侨港,qiao'gang
乔建,qiao'jian
切粉,qie'fen
切跟你,qie'gen'ni
切咧婆,qie'lie'po
钦北,qin'bei
钦北防,qin'bei'fang
钦北区,qin'bei'qu
覃斌,qin'bin
覃哥,qin'ge
覃慧,qin'hui
覃姐,qin'jie
覃老板,qin'lao'ban
覃老师,qin'lao'shi
钦南区,qin'nan'qu
覃思,qin'si
覃伟,qin'wei
钦州,qin'zhou
钦州的,qin'zhou'de
钦州港,qin'zhou'gang
钦州了,qin'zhou'le
钦州市,qin'zhou'shi
钦州学院,qin'zhou'xue'yuan
覃主任,qin'zhu'ren
请不得,qing'bu'de
清川,qing'chuan
请得,qing'de
青环,qing'huan
青环路,qing'huan'lu
清洁区,qing'jie'qu
清洁乡村,qing'jie'xiang'cun
请酒,qing'jiu
青口螺,qing'kou'luo
青龙岗,qing'long'gang
青年国际,qing'nian'guo'ji
青山,qing'shan
青山菜市,qing'shan'cai'shi
青山路,qing'shan'lu
青秀,qing'xiu
青秀路,qing'xiu'lu
青秀区,qing'xiu'qu
青秀山,qing'xiu'shan
穷多,qiong'duo
秋刀鱼,qiu'dao'yu
去百色,qu'bai'se
去北海,qu'bei'hai
去宾阳,qu'bin'yang
去不得,qu'bu'de
去不去得,qu'bu'qu'de
去菜市,qu'cai'shi
去吃粉,qu'chi'fen
去吃野,qu'chi'ye
区党委,qu'dang'wei
去到哪里,qu'dao'na'li
去电科,qu'dian'ke
去东兴,qu'dong'xing
区分行,qu'fen'xing
区公司,qu'gong'si
去广东,qu'guang'dong
去贵港,qu'gui'gang
去桂林,qu'gui'lin
去国贸,qu'guo'mao
去嗨,qu'hai
去加勒比,qu'jia'le'bi
去看为,qu'kan'wei
去来宾,qu'lai'bin
去琅东,qu'lang'dong
去乐巢,qu'le'chao
去柳州,qu'liu'zhou
去咩,qu'mie
去某,qu'mou
去那么快,qu'na'me'kuai
去哪要,qu'na'yao
去南宁,qu'nan'ning
去南宁了,qu'nan'ning'le
区内,qu'nei
去捏,qu'nie
去嫖,qu'piao
去钦州,qu'qin'zhou
去市中心,qu'shi'zhong'xin
屈头蛋,qu'tou'dan
区图,qu'tu
去万象,qu'wan'xiang
去万象城,qu'wan'xiang'cheng
去喂,qu'wei
去武鸣,qu'wu'ming
去梧州,qu'wu'zhou
去西大,qu'xi'da
去洗澡先,qu'xi'zao'xian
去先,qu'xian
去阳朔,qu'yang'shuo
区医院,qu'yi'yuan
去玉林,qu'yu'lin
去越南,qu'yue'nan
去朝阳,qu'zhao'yang
区直,qu'zhi
去中山路,qu'zhong'shan'lu
全车网,quan'che'wang
全广西,quan'guang'xi
全茗,quan'ming
全南宁,quan'nan'ning
全球人,quan'qiu'ren
全上品,quan'shang'pin
全州,quan'zhou
全州县,quan'zhou'xian
雀山,que'shan
热多,re'duo
惹惹惹,re're're
热水卡,re'shui'ka
忍不得,ren'bu'de
人多得,ren'duo'de
人多多,ren'duo'duo
人多多的,ren'duo'duo'de
人多咩,ren'duo'mie
人肥,ren'fei
人民公园,ren'min'gong'yuan
融安,rong'an
融安县,rong'an'xian
荣宝华,rong'bao'hua
荣和,rong'he
荣和大地,rong'he'da'di
荣和山水,rong'he'shan'shui
荣和山水美地,rong'he'shan'shui'mei'di
荣和新城,rong'he'xin'cheng
荣和中央,rong'he'zhong'yang
荣和中央公园,rong'he'zhong'yang'gong'yuan
榕湖,rong'hu
融水,rong'shui
融水县,rong'shui'xian
容县,rong'xian
融园,rong'yuan
瑞康,rui'kang
瑞康医院,rui'kang'yi'yuan
瑞士花园,rui'shi'hua'yuan
赛恩斯,sai'en'si
塞纳维拉,sai'na'wei'la
赛院,sai'yuan
三八货,san'ba'huo
三坊街,san'fang'jie
三分院,san'fen'yuan
三黑八,san'hei'ba
三花酒,san'hua'jiu
三角粽,san'jiao'zong
三津,san'jin
三里店,san'li'dian
三零三,san'ling'san
三马仔,san'ma'zai
三门江,san'men'jiang
三娘湾,san'niang'wan
三品,san'pin
三品王,san'pin'wang
三瓶王,san'ping'wang
三三八八,san'san'ba'ba
三十三中,san'shi'san'zhong
三塘镇,san'tang'zhen
三万两,san'wan'liang
三月花,san'yue'hua
三月三,san'yue'san
三中路,san'zhong'lu
色盅,se'zhong
沙拜,sha'bai
啥办,sha'ban
沙煲螺,sha'bao'luo
沙虫,sha'chong
沙糕,sha'gao
沙骨,sha'gu
傻黑,sha'hei
沙井大道,sha'jing'da'dao
沙梨,sha'li
杀起,sha'qi
杀肉,sha'rou
沙塘,sha'tang
杀鸭,sha'ya
晒腩,shai'nan
山旮旯,shan'ga'la
山渐青,shan'jian'qing
山老,shan'lao
山水绿城,shan'shui'lv'cheng
山水美地,shan'shui'mei'di
山水源,shan'shui'yuan
山心,shan'xin
山圩,shan'xu
山语城,shan'yu'cheng
上班先,shang'ban'xian
上班住,shang'ban'zhu
上不得,shang'bu'de
上岛费,shang'dao'fei
上东国际,shang'dong'guo'ji
上公车,shang'gong'che
上桂林,shang'gui'lin
上教室,shang'jiao'shi
上课先,shang'ke'xian
上来到,shang'lai'dao
上来为,shang'lai'wei
上林,shang'lin
上林县,shang'lin'xian
上柳州,shang'liu'zhou
上南宁,shang'nan'ning
上南宁了,shang'nan'ning'le
上石,shang'shi
上思,shang'si
上思县,shang'si'xian
伤心多,shang'xin'duo
上休班,shang'xiu'ban
上尧,shang'yao
商业厅,shang'ye'ting
上玉林,shang'yu'lin
上源,shang'yuan
上住,shang'zhu
上住班,shang'zhu'ban
上住课,shang'zhu'ke
烧烤街,shao'kao'jie
烧烤摊,shao'kao'tan
烧卤,shao'lu
烧鸭,shao'ya
烧鸭粉,shao'ya'fen
烧鸭腿,shao'ya'tui
神黑经,shen'hei'jing
什么办,shen'me'ban
什么不得,shen'me'bu'de
什么戳,shen'me'chuo
什么粉,shen'me'fen
什么黑,shen'me'hei
什么紧,shen'me'jin
什么况,shen'me'kuang
什么卵,shen'me'luan
什么咩,shen'me'mie
什么捏,shen'me'nie
什么先,shen'me'xian
什么野,shen'me'ye
生辰快乐,sheng'chen'kuai'le
升禾,sheng'he
生活报,sheng'huo'bao
生力军,sheng'li'jun
生料粉,sheng'liao'fen
生料王,sheng'liao'wang
生牛,sheng'niu
升旗台,sheng'qi'tai
盛世联邦,sheng'shi'lian'bang
盛世通,sheng'shi'tong
圣堂山,sheng'tang'shan
盛天,sheng'tian
盛天地,sheng'tian'di
盛天公馆,sheng'tian'gong'guan
盛天国际,sheng'tian'guo'ji
盛天果岭,sheng'tian'guo'ling
盛天华府,sheng'tian'hua'fu
盛天茗城,sheng'tian'ming'cheng
剩有,sheng'you
生榨,sheng'zha
生榨粉,sheng'zha'fen
生榨米粉,sheng'zha'mi'fen
圣展,sheng'zhan
石埠,shi'bu
是不是捏,shi'bu'shi'nie
是不是先,shi'bu'shi'xian
十大歌手,shi'da'ge'shou
时代天骄,shi'dai'tian'jiao
示范性,shi'fan'xing
十哥,shi'ge
是广西,shi'guang'xi
石龟,shi'gui
是果,shi'guo
石户,shi'hu
十加一,shi'jia'yi
十姐,shi'jie
时今,shi'jin
时空网,shi'kong'wang
石螺,shi'luo
世贸西城,shi'mao'xi'cheng
是么捏,shi'me'nie
是没是,shi'mei'shi
十闷,shi'men
石门森林,shi'men'sen'lin
石门森林公园,shi'men'sen'lin'gong'yuan
是咩啦,shi'mie'la
是某,shi'mou
是母,shi'mu
石南,shi'nan
是南宁,shi'nan'ning
狮山,shi'shan
狮山公园,shi'shan'gong'yuan
十叔,shi'shu
石塘,shi'tang
湿完,shi'wan
十万大山,shi'wan'da'shan
是为,shi'wei
石巷口,shi'xiang'kou
试业,shi'ye
十一冶,shi'yi'ye
师园,shi'yuan
师园学院,shi'yuan'xue'yuan
实在不得,shi'zai'bu'de
市中心,shi'zhong'xin
市中心了,shi'zhong'xin'le
石柱岭,shi'zhu'ling
收不得,shou'bu'de
收稻谷,shou'dao'gu
收得,shou'de
收废旧,shou'fei'jiu
瘦哥,shou'ge
瘦黑,shou'hei
受扣,shou'kou
手撕鸡,shou'si'ji
受约,shou'yue
舒巢,shu'chao
舒记,shu'ji
数毛,shu'mao
淑女鞋,shu'nv'xie
薯叶,shu'ye
衰黑,shuai'hei
帅咩,shuai'mie
爽得,shuang'de
双定,shuang'ding
爽拐,shuang'guai
爽咩,shuang'mie
双选会,shuang'xuan'hui
双拥,shuang'yong
双拥路,shuang'yong'lu
睡宝,shui'bao
睡不得,shui'bu'de
谁懂,shui'dong
谁懂啊,shui'dong'a
谁懂你,shui'dong'ni
谁懂他,shui'dong'ta
水果捞,shui'guo'lao
睡过龙,shui'guo'long
睡觉先,shui'jiao'xian
睡觉小,shui'jiao'xiao
水街,shui'jie
水晶包,shui'jing'bao
水晶城,shui'jing'cheng
睡快点,shui'kuai'dian
水利电力,shui'li'dian'li
睡没着,shui'mei'zhe
睡那么多,shui'na'me'duo
睡那么快,shui'na'me'kuai
水牛奶,shui'niu'nai
睡喂,shui'wei
水性笔,shui'xing'bi
水悦,shui'yue
水悦龙湾,shui'yue'long'wan
税证,shui'zheng
睡住,shui'zhu
说多都是泪,shuo'duo'dou'shi'lei
说话为,shuo'hua'wei
说了为,shuo'le'wei
硕龙,shuo'long
说为,shuo'wei
说这种,shuo'zhe'zhong
思必客,si'bi'ke
四个轮,si'ge'lun
四海一家,si'hai'yi'jia
四季芙蓉,si'ji'fu'rong
私捞,si'lao
死咯,si'lo
思陇,si'long
死哦,si'o
死排球,si'pai'qiu
私人房,si'ren'fang
思旺,si'wang
死喔,si'wo
思贤,si'xian
思贤路,si'xian'lu
搜品廊,sou'pin'lang
苏卢,su'lu
速派奇,su'pai'qi
酸醋,suan'cu
酸粉,suan'fen
酸辣椒,suan'la'jiao
酸梅酒,suan'mei'jiu
酸甜排骨,suan'tian'pai'gu
酸野,suan'ye
所以讲,suo'yi'jiang
他拐,ta'guai
他友仔,ta'you'zai
他在南宁,ta'zai'nan'ning
泰安大厦,tai'an'da'sha
太卵,tai'luan
台农,tai'nong
太热气,tai're'qi
太什么了,tai'shen'me'le
台湾街,tai'wan'jie
太洗,tai'xi
太兴,tai'xing
太阳广场,tai'yang'guang'chang
太阳那么大,tai'yang'na'me'da
太要紧,tai'yao'jin
谈村,tan'cun
坛洛,tan'luo
坛洛镇,tan'luo'zhen
摊面,tan'mian
檀圩,tan'xu
潭中,tan'zhong
谈住,tan'zhu
摊租,tan'zu
唐彬,tang'bin
糖厂,tang'chang
塘角鱼,tang'jiao'yu
唐山路,tang'shan'lu
糖业,tang'ye
躺住,tang'zhu
讨厌哦,tao'yan'o
桃源,tao'yuan
桃源店,tao'yuan'dian
桃园路,tao'yuan'lu
桃源桥,tao'yuan'qiao
特呈岛,te'cheng'dao
藤县,teng'xian
提付,ti'fu
体工,ti'gong
体温针,ti'wen'zhen
体育园,ti'yu'yuan
体专,ti'zhuan
天雹,tian'bao
天雹水库,tian'bao'shui'ku
天昌,tian'chang
天池山,tian'chi'shan
天等,tian'deng
天等县,tian'deng'xian
田东,tian'dong
田东县,tian'dong'xian
天峨,tian'e
天福香,tian'fu'xiang
甜酒,tian'jiu
田林,tian'lin
田林县,tian'lin'xian
天龙湾,tian'long'wan
田螺煲,tian'luo'bao
天桃路,tian'tao'lu
田阳,tian'yang
田阳县,tian'yang'xian
天筑丽城,tian'zhu'li'cheng
铁道口,tie'dao'kou
铁锅饭,tie'guo'fan
铁路口,tie'lu'kou
铁山港,tie'shan'gang
亭洪,ting'hong
亭洪路,ting'hong'lu
亭江,ting'jiang
亭江路,ting'jiang'lu
亭亮,ting'liang
听没懂,ting'mei'dong
听没见,ting'mei'jian
停榨,ting'zha
亭子,ting'zi
同点,tong'dian
同和慧源,tong'he'hui'yuan
通汇卡,tong'hui'ka
童乐,tong'le
桐棉,tong'mian
同能,tong'neng
同酿,tong'niang
桶天香,tong'tian'xiang
痛完,tong'wan
童心缘,tong'xin'yuan
头臭,tou'chou
偷果,tou'guo
偷溜,tou'liu
投降书,tou'xiang'shu
土鸭,tu'ya
妥客,tuo'ke
驮卢,tuo'lu
瓦煲饭,wa'bao'fan
挖金,wa'jin
瓦窑,wa'yao
娃仔卵,wa'zai'luan
外吧,wai'ba
外宿,wai'su
外窑桥,wai'yao'qiao
外战,wai'zhan
玩不得,wan'bu'de
万昌,wan'chang
晚点先,wan'dian'xian
晚多,wan'duo
碗粉,wan'fen
万钢,wan'gang
万锦,wan'jin
完去,wan'qu
晚上先,wan'shang'xian
万泰隆,wan'tai'long
晚晚的,wan'wan'de
万尾,wan'wei
万象,wan'xiang
万象城,wan'xiang'cheng
万秀村,wan'xiu'cun
玩住,wan'zhu
望高,wang'gao
网络楼,wang'luo'lou
往时,wang'shi
汪小敏,wang'xiao'min
望园,wang'yuan
望园路,wang'yuan'lu
望州岭,wang'zhou'ling
望州路,wang'zhou'lu
望州南,wang'zhou'nan
望州南路,wang'zhou'nan'lu
韦斌,wei'bin
韦波,wei'bo
为不过,wei'bu'guo
韦成,wei'cheng
韦丹,wei'dan
味道制造,wei'dao'zhi'zao
韦东,wei'dong
韦芳,wei'fang
韦副,wei'fu
卫干院,wei'gan'yuan
韦刚,wei'gang
韦哥,wei'ge
韦工,wei'gong
韦海,wei'hai
韦红,wei'hong
韦华,wei'hua
韦欢,wei'huan
韦慧,wei'hui
韦佳,wei'jia
韦健,wei'jian
味江南,wei'jiang'nan
韦姐,wei'jie
韦静,wei'jing
韦经理,wei'jing'li
危旧房,wei'jiu'fang
韦军,wei'jun
韦凯,wei'kai
韦康,wei'kang
韦老板,wei'lao'ban
韦老师,wei'lao'shi
韦磊,wei'lei
韦丽,wei'li
韦林,wei'lin
韦玲,wei'ling
韦龙,wei'long
韦露,wei'lu
为吗,wei'ma
韦敏,wei'min
韦明,wei'ming
韦娜,wei'na
韦妮,wei'ni
韦宁,wei'ning
韦鹏,wei'peng
韦萍,wei'ping
韦强,wei'qiang
为什么不得,wei'shen'me'bu'de
为什么咩,wei'shen'me'mie
韦师傅,wei'shi'fu
为司马,wei'si'ma
韦涛,wei'tao
韦婷,wei'ting
韦伟,wei'wei
纬武路,wei'wu'lu
韦霞,wei'xia
危险多,wei'xian'duo
韦先生,wei'xian'sheng
韦晓,wei'xiao
微笑堂,wei'xiao'tang
韦鑫,wei'xin
韦艳,wei'yan
韦毅,wei'yi
韦莹,wei'ying
韦勇,wei'yong
韦宇,wei'yu
为怎么,wei'zen'me
涠洲,wei'zhou
涠洲岛,wei'zhou'dao
韦主任,wei'zhu'ren
韦总,wei'zong
文地,wen'di
文化大院,wen'hua'da'yuan
文化市场,wen'hua'shi'chang
文华园,wen'hua'yuan
问看,wen'kan
问来干嘛,wen'lai'gan'ma
问喂,wen'wei
文物苑,wen'wu'yuan
问要,wen'yao
问要钱,wen'yao'qian
文印店,wen'yin'dian
问住,wen'zhu
我挨,wo'ai
我不戳,wo'bu'chuo
我不得吃,wo'bu'de'chi
我不懂路,wo'bu'dong'lu
我不懂哦,wo'bu'dong'o
我不懂怎么,wo'bu'dong'zen'me
我不嗨,wo'bu'hai
我不在南宁,wo'bu'zai'nan'ning
我才得,wo'cai'de
我才懂,wo'cai'dong
我吃粉,wo'chi'fen
我吃住,wo'chi'zhu
我搭你,wo'da'ni
我到南宁,wo'dao'nan'ning
我到南宁了,wo'dao'nan'ning'le
我得空,wo'de'kong
我等住,wo'deng'zhu
我颠,wo'dian
我电车,wo'dian'che
我叼,wo'diao
我叼你妈,wo'diao'ni'ma
我丢,wo'diu
我懂啊,wo'dong'a
我都不得,wo'dou'bu'de
我都不懂,wo'dou'bu'dong
我都不见,wo'dou'bu'jian
我都见,wo'dou'jian
我都没得,wo'dou'mei'de
我都说咯,wo'dou'shuo'ge
沃顿,wo'dun
我刚得,wo'gang'de
我拐,wo'guai
我广西,wo'guang'xi
我过克,wo'guo'ke
我还不懂,wo'hai'bu'dong
我还读书,wo'hai'du'shu
我还没得,wo'hai'mei'de
我还没得吃,wo'hai'mei'de'chi
我还在南宁,wo'hai'zai'nan'ning
我回家先,wo'hui'jia'xian
我回南宁,wo'hui'nan'ning
我家公,wo'jia'gong
我家婆,wo'jia'po
我见,wo'jian
我见他,wo'jian'ta
我见我,wo'jian'wo
我就得了,wo'jiu'de'le
我就懂,wo'jiu'dong
我看先,wo'kan'xian
我来南宁,wo'lai'nan'ning
我来野,wo'lai'ye
我买有,wo'mai'you
我忙先,wo'mang'xian
我忙住,wo'mang'zhu
我没会,wo'mei'hui
我没克,wo'mei'ke
我没是,wo'mei'shi
沃美影城,wo'mei'ying'cheng
我没有空,wo'mei'you'kong
我某有,wo'mou'you
我哪懂,wo'na'dong
我哪时,wo'na'shi
我南宁,wo'nan'ning
我嫩子,wo'nen'zi
我起床先,wo'qi'chuang'xian
我去吃饭先,wo'qu'chi'fan'xian
我去南宁,wo'qu'nan'ning
我去洗澡先,wo'qu'xi'zao'xian
我去洗澡小,wo'qu'xi'zao'xiao
我上课先,wo'shang'ke'xian
我上南宁,wo'shang'nan'ning
我是见,wo'shi'jian
我睡觉先,wo'shui'jiao'xian
我睡一下,wo'shui'yi'xia
我问看,wo'wen'kan
我洗得,wo'xi'de
我洗澡先,wo'xi'zao'xian
我现在过去了,wo'xian'zai'guo'qu'le
我也挨,wo'ye'ai
我也不懂了,wo'ye'bu'dong'le
我也不懂哦,wo'ye'bu'dong'o
我也不懂怎么说,wo'ye'bu'dong'zen'me'shuo
我也得了,wo'ye'de'le
我也见,wo'ye'jian
我也在南宁,wo'ye'zai'nan'ning
我也准备了,wo'ye'zhun'bei'le
沃易得,wo'yi'de
我又挨,wo'you'ai
我友女,wo'you'nv
我友仔,wo'you'zai
我在北海,wo'zai'bei'hai
我在吃粉,wo'zai'chi'fen
我在广西,wo'zai'guang'xi
我在桂林,wo'zai'gui'lin
我在国贸,wo'zai'guo'mao
我在江南,wo'zai'jiang'nan
我在柳州,wo'zai'liu'zhou
我在南宁,wo'zai'nan'ning
我在市中心,wo'zai'shi'zhong'xin
我在武鸣,wo'zai'wu'ming
我在西大,wo'zai'xi'da
我在玉林,wo'zai'yu'lin
我怎么懂,wo'zen'me'dong
我怎么懂啊,wo'zen'me'dong'a
我怎么懂你,wo'zen'me'dong'ni
我煮菜,wo'zhu'cai
我准备到,wo'zhun'bei'dao
我准备到了,wo'zhun'bei'dao'le
我准备过去,wo'zhun'bei'guo'qu
乌布,wu'bu
武高,wu'gao
五合,wu'he
五合大道,wu'he'da'dao
无黑聊,wu'hei'liao
五建,wu'jian
五里亭,wu'li'ting
无聊多,wu'liao'duo
无聊咩,wu'liao'mie
无聊住,wu'liao'zhu
武鸣,wu'ming
武鸣的,wu'ming'de
武鸣高中,wu'ming'gao'zhong
武鸣了,wu'ming'le
武鸣人,wu'ming'ren
武鸣县,wu'ming'xian
五频道,wu'pin'dao
五塘镇,wu'tang'zhen
五通庙,wu'tong'miao
呜呜啊啊,wu'wu'a'a
无限续杯,wu'xian'xu'bei
五象,wu'xiang
五象大道,wu'xiang'da'dao
五象广场,wu'xiang'guang'chang
五象岭,wu'xiang'ling
五象新区,wu'xiang'xin'qu
吴圩,wu'xu
吴圩机场,wu'xu'ji'chang
吴圩镇,wu'xu'zhen
武宣,wu'xuan
武宣县,wu'xuan'xian
五一东路,wu'yi'dong'lu
五一路,wu'yi'lu
五一西路,wu'yi'xi'lu
五一站,wu'yi'zhan
五一中路,wu'yi'zhong'lu
唔哟,wu'yo
无语哦,wu'yu'o
无语完,wu'yu'wan
梧州,wu'zhou
梧州的,wu'zhou'de
梧州了,wu'zhou'le
梧州人,wu'zhou'ren
梧州市,wu'zhou'shi
梧州学院,wu'zhou'xue'yuan
西大,xi'da
西大的,xi'da'de
西大店,xi'da'dian
西大东门,xi'da'dong'men
西大附近,xi'da'fu'jin
西大附中,xi'da'fu'zhong
西大了,xi'da'le
西大那边,xi'da'na'bian
西大西门,xi'da'xi'men
洗得,xi'de
洗得了,xi'de'le
西二里,xi'er'li
西关路,xi'guan'lu
洗黑,xi'hei
洗货,xi'huo
洗冷水,xi'leng'shui
洗凉,xi'liang
西林县,xi'lin'xian
戏码,xi'ma
西么,xi'me
系某,xi'mou
西木,xi'mu
西南商都,xi'nan'shang'du
洗热水,xi're'shui
系统碟,xi'tong'die
洗头先,xi'tou'xian
系喂,xi'wei
西西湾,xi'xi'wan
喜相逢,xi'xiang'feng
西乡塘,xi'xiang'tang
西乡塘区,xi'xiang'tang'qu
西校园,xi'xiao'yuan
西洋鸭,xi'yang'ya
洗衣服先,xi'yi'fu'xian
西一里,xi'yi'li
喜悦会,xi'yue'hui
洗澡出来,xi'zao'chu'lai
洗澡房,xi'zao'fang
洗澡先,xi'zao'xian
洗澡先了,xi'zao'xian'le
洗住,xi'zhu
下班先,xia'ban'xian
下北海,xia'bei'hai
下不久,xia'bu'jiu
下次先,xia'ci'xian
夏典,xia'dian
下冻,xia'dong
下儿,xia'er
下岗街,xia'gang'jie
下公车,xia'gong'che
下广东,xia'guang'dong
下火堂,xia'huo'tang
下课先,xia'ke'xian
下来为,xia'lai'wei
下龙湾,xia'long'wan
下南宁,xia'nan'ning
夏石,xia'shi
下水源,xia'shui'yuan
下喂,xia'wei
下午先,xia'wu'xian
下雨好大,xia'yu'hao'da
下住,xia'zhu
先吧,xian'ba
仙池,xian'chi
先飞达,xian'fei'da
县份,xian'fen
先哈,xian'ha
仙湖,xian'hu
仙葫大道,xian'hu'da'dao
仙人山,xian'ren'shan
先喂,xian'wei
现在不得,xian'zai'bu'de
现在不懂,xian'zai'bu'dong
现在过去了,xian'zai'guo'qu'le
现在还不懂,xian'zai'hai'bu'dong
象鼻山,xiang'bi'shan
祥宾,xiang'bin
祥宾路,xiang'bin'lu
祥城,xiang'cheng
想吃粉,xiang'chi'fen
乡村大世界,xiang'cun'da'shi'jie
厢费,xiang'fei
乡府,xiang'fu
湘桂,xiang'gui
厢号,xiang'hao
香江汇,xiang'jiang'hui
想你多,xiang'ni'duo
想屁股,xiang'pi'gu
香水鱼,xiang'shui'yu
乡水源,xiang'shui'yuan
相思沟,xiang'si'gou
相思湖,xiang'si'hu
相思湖学院,xiang'si'hu'xue'yuan
想喂,xiang'wei
想我咩,xiang'wo'mie
香芋西米露,xiang'yu'xi'mi'lu
香樟林,xiang'zhang'lin
象州,xiang'zhou
象州县,xiang'zhou'xian
厢竹大道,xiang'zhu'da'dao
小把爷,xiao'ba'ye
小闭,xiao'bi
小电,xiao'dian
小电车,xiao'dian'che
小肥妹,xiao'fei'mei
小肥仔,xiao'fei'zai
小福楼,xiao'fu'lou
小甘,xiao'gan
小桂林,xiao'gui'lin
小鸡村,xiao'ji'cun
小劳,xiao'lao
小黎,xiao'li
小梁,xiao'liang
小陆,xiao'lu
小蔓,xiao'man
小帽山,xiao'mao'shan
小蒙,xiao'meng
小魔怪,xiao'mo'guai
小南宁,xiao'nan'ning
小农,xiao'nong
小平阳,xiao'ping'yang
小气包,xiao'qi'bao
小覃,xiao'qin
小娃崽,xiao'wa'zai
小韦,xiao'wei
小厢,xiao'xiang
校选,xiao'xuan
校选课,xiao'xuan'ke
小野,xiao'ye
宵夜摊,xiao'ye'tan
校椅,xiao'yi
校友楼,xiao'you'lou
小渝香,xiao'yu'xiang
歇脚小栈,xie'jiao'xiao'zhan
写练习,xie'lian'xi
协盛,xie'sheng
写有,xie'you
新百盛,xin'bai'sheng
新宾,xin'bin
忻城,xin'cheng
忻城县,xin'cheng'xian
信都,xin'du
心翻,xin'fan
心烦多,xin'fan'duo
心烦烦,xin'fan'fan
心烦哦,xin'fan'o
新福,xin'fu
鑫广达,xin'guang'da
新和,xin'he
新和平,xin'he'ping
心黑道,xin'hei'dao
心黑烦,xin'hei'fan
心黑压,xin'hei'ya
新江,xin'jiang
辛苦多,xin'ku'duo
心毛,xin'mao
新梦,xin'meng
新民路,xin'min'lu
心爽,xin'shuang
新闻夜班,xin'wen'ye'ban
新闻在线,xin'wen'zai'xian
新屋菜市,xin'wu'cai'shi
新西洋,xin'xi'yang
新新家园,xin'xin'jia'yuan
新兴村,xin'xing'cun
新兴苑,xin'xing'yuan
新秀公园,xin'xiu'gong'yuan
心圩江,xin'xu'jiang
心压,xin'ya
新阳,xin'yang
新阳路,xin'yang'lu
新朝阳,xin'zhao'yang
新竹,xin'zhu
新竹路,xin'zhu'lu
新竹小区,xin'zhu'xiao'qu
兴安,xing'an
兴安县,xing'an'xian
兴宾,xing'bin
兴宾区,xing'bin'qu
星波,xing'bo
星和园,xing'he'yuan
星湖,xing'hu
星湖北一里,xing'hu'bei'yi'li
星湖电影院,xing'hu'dian'ying'yuan
星湖路,xing'hu'lu
行健,xing'jian
行健文理,xing'jian'wen'li
行健文理学院,xing'jian'wen'li'xue'yuan
行没有,xing'mei'you
兴宁,xing'ning
兴宁区,xing'ning'qu
醒起来,xing'qi'lai
姓韦,xing'wei
星秀丽,xing'xiu'li
星夜蜜,xing'ye'mi
兴业县,xing'ye'xian
行政班,xing'zheng'ban
兄弟团,xiong'di'tuan
雄基,xiong'ji
秀安,xiu'an
秀安路,xiu'an'lu
秀峰区,xiu'feng'qu
秀灵,xiu'ling
秀灵店,xiu'ling'dian
秀灵路,xiu'ling'lu
秀隆,xiu'long
秀厢大道,xiu'xiang'da'dao
秀厢市场,xiu'xiang'shi'chang
学工组,xue'gong'zu
学生仔,xue'sheng'zai
学习委,xue'xi'wei
鸭脚,ya'jiao
芽木,ya'mu
鸭肉粉,ya'rou'fen
亚山,ya'shan
鸭肾,ya'shen
雅思特,ya'si'te
鸭下巴,ya'xia'ba
亚洲土地,ya'zhou'tu'di
眼闭,yan'bi
眼出,yan'chu
眼戳,yan'chuo
烟墩,yan'dun
阉鸡,yan'ji
雁江,yan'jiang
演讲厅,yan'jiang'ting
眼困,yan'kun
眼困了,yan'kun'le
雁山,yan'shan
雁山区,yan'shan'qu
岩滩,yan'tan
燕子岭,yan'zi'ling
阳光新城,yang'guang'xin'cheng
