阿特斯,a'te'si
吓住你,xia'zhu'ni
吓住你了,xia'zhu'ni'le
吓住我,xia'zhu'wo
吓住我了,xia'zhu'wo'le
先不说啊,xian'bu'shuo'a
先不说这,xian'bu'shuo'zhe
县城啊,xian'cheng'a
县城吧,xian'cheng'ba
县城的,xian'cheng'de
县城了,xian'cheng'le
县城呢,xian'cheng'ne
闲咯,xian'ge
闲喽,xian'lou
闲耍,xian'shua
现在在洛阳,xian'zai'zai'luo'yang
闲转,xian'zhuan
仙庄,xian'zhuang
想点啥,xiang'dian'sha
湘鄂汇,xiang'e'hui
香港城,xiang'gang'cheng
想瞌睡,xiang'ke'shui
香鹿山,xiang'lu'shan
想嫩多,xiang'nen'duo
想弄啥,xiang'nong'sha
香酥米,xiang'su'mi
想我不想,xiang'wo'bu'xiang
想我秒,xiang'wo'miao
香香羊,xiang'xiang'yang
想着都是,xiang'zhe'dou'shi
想着就是,xiang'zhe'jiu'shi
小八中,xiao'ba'zhong
小不来,xiao'bu'lai
小吃成,xiao'chi'cheng
小蛋子,xiao'dan'zi
小低个,xiao'di'ge
小店镇,xiao'dian'zhen
小姑女,xiao'gu'nv
小闺女家,xiao'gui'nv'jia
小孩子家,xiao'hai'zi'jia
小憨子,xiao'han'zi
小街锅贴,xiao'jie'guo'tie
小浪底,xiao'lang'di
小李村,xiao'li'cun
小米汤,xiao'mi'tang
小肉串,xiao'rou'chuan
笑啥来,xiao'sha'lai
小苏肉,xiao'su'rou
小碗汤,xiao'wan'tang
小羊琳琳,xiao'yang'lin'lin
小腰子,xiao'yao'zi
斜颈,xie'jing
些美,xie'mei
歇呢,xie'ne
谢谢乖,xie'xie'guai
新安,xin'an
新安矿,xin'an'kuang
新安县,xin'an'xian
新安县的,xin'an'xian'de
新安一高,xin'an'yi'gao
欣达市场,xin'da'shi'chang
辛店镇,xin'dian'zhen
心都会,xin'dou'hui
新都会,xin'du'hui
新都会了,xin'du'hui'le
新吉祥,xin'ji'xiang
新疆路,xin'jiang'lu
心焦,xin'jiao
心里可难受,xin'li'ke'nan'shou
心情可不好,xin'qing'ke'bu'hao
新球,xin'qiu
新区呢,xin'qu'ne
忻尚龙,xin'shang'long
新天鹅,xin'tian'e
新银泰,xin'yin'tai
新友谊,xin'you'yi
欣源,xin'yuan
新郑机场,xin'zheng'ji'chang
行黑,xing'hei
兴隆花园,xing'long'hua'yuan
星期不,xing'qi'bu
星期没,xing'qi'mei
行署路,xing'shu'lu
秀甲,xiu'jia
徐家营,xu'jia'ying
徐氏湘菜,xu'shi'xiang'cai
选厂,xuan'chang
学门口,xue'men'kou
学子街,xue'zi'jie
寻村,xun'cun
亚冰,ya'bing
呀不吭声,ya'bu'keng'sheng
呀吃饭,ya'chi'fan
亚格,ya'ge
鸦岭,ya'ling
鸦岭乡,ya'ling'xiang
亚龙湾,ya'long'wan
鸭绒衣,ya'rong'yi
雅香金陵,ya'xiang'jin'ling
雅香楼,ya'xiang'lou
燕菜,yan'cai
眼都睁不开,yan'dou'zheng'bu'kai
偃高,yan'gao
偃化口,yan'hua'kou
偃师,yan'shi
偃师吧,yan'shi'ba
偃师的,yan'shi'de
偃师了,yan'shi'le
偃师市,yan'shi'shi
宴天下,yan'tian'xia
闫庄,yan'zhuang
杨蛋,yang'dan
样黑,yang'hei
养子沟,yang'zi'gou
吆喝吆喝,yao'he'yao'he
吆喝着,yao'he'zhe
妖毛,yao'mao
要人不要,yao'ren'bu'yao
要说也是,yao'shuo'ye'shi
也不吭声,ye'bu'keng'sheng
也不美,ye'bu'mei
也不着,ye'bu'zhe
也怪美,ye'guai'mei
也可大,ye'ke'da
也可多,ye'ke'duo
也可好,ye'ke'hao
也可好看,ye'ke'hao'kan
也可快,ye'ke'kuai
也可累,ye'ke'lei
也可冷,ye'ke'leng
也可忙,ye'ke'mang
也可美,ye'ke'mei
也可热,ye'ke're
也可疼,ye'ke'teng
也可无聊,ye'ke'wu'liao
也可想,ye'ke'xiang
也秒,ye'miao
也算事,ye'suan'shi
冶戌,ye'xu
也在洛阳,ye'zai'luo'yang
页子,ye'zi
伊滨区,yi'bin'qu
伊川,yi'chuan
伊川的,yi'chuan'de
伊川了,yi'chuan'le
伊川人,yi'chuan'ren
伊川县,yi'chuan'xian
一点都不美,yi'dian'dou'bu'mei
一疙瘩,yi'ge'da
一个伙计,yi'ge'huo'ji
一个学,yi'ge'xue
壹号城邦,yi'hao'cheng'bang
伊河桥,yi'he'qiao
懿皇,yi'huang
一会喷,yi'hui'pen
一伙计,yi'huo'ji
一看都是,yi'kan'dou'shi
一路着,yi'lu'zhe
一路住,yi'lu'zhu
义马,yi'ma
义煤,yi'mei
义煤集团,yi'mei'ji'tuan
一猛,yi'meng
一群子,yi'qun'zi
宜人路,yi'ren'lu
伊水湾,yi'shui'wan
一外,yi'wai
一心火,yi'xin'huo
宜阳,yi'yang
宜阳的,yi'yang'de
宜阳了,yi'yang'le
宜阳县,yi'yang'xian
义勇街,yi'yong'jie
一运,yi'yun
银川路,yin'chuan'lu
饮食城,yin'shi'cheng
银杏山庄,yin'xing'shan'zhuang
阴阳蛋,yin'yang'dan
音乐喷泉,yin'yue'pen'quan
英才路,ying'cai'lu
营房口,ying'fang'kou
应记,ying'ji
樱桃沟,ying'tao'gou
樱桃后,ying'tao'hou
影院街,ying'yuan'jie
瀛洲,ying'zhou
瀛洲路,ying'zhou'lu
瀛洲桥,ying'zhou'qiao
瀛洲新村,ying'zhou'xin'cun
哟样,yo'yang
永煤,yong'mei
永泰街,yong'tai'jie
用着咋样,yong'zhe'za'yang
有不吭声,you'bu'keng'sheng
有伙计,you'huo'ji
有可多,you'ke'duo
有老头,you'lao'tou
有洛阳,you'luo'yang
有那人,you'na'ren
有人秒,you'ren'miao
有色院,you'se'yuan
有啥看,you'sha'kan
有啥耍,you'sha'shua
有啥说,you'sha'shuo
友谊宾馆,you'yi'bin'guan
预报天气,yu'bao'tian'qi
豫北,yu'bei
御博城,yu'bo'cheng
郁山,yu'shan
豫通街,yu'tong'jie
语文作业是啥,yu'wen'zuo'ye'shi'sha
豫西,yu'xi
豫西大峡谷,yu'xi'da'xia'gu
豫竹,yu'zhu
远鸿,yuan'hong
元华国际,yuan'hua'guo'ji
院门口,yuan'men'kou
月票卡,yue'piao'ka
岳滩,yue'tan
岳滩镇,yue'tan'zhen
约住,yue'zhu
晕鸡,yun'ji
晕没,yun'mei
咋安,za'an
咋不吭气,za'bu'keng'qi
咋不吭声,za'bu'keng'sheng
咋不美,za'bu'mei
咋不中,za'bu'zhong
咋吃饭,za'chi'fan
咋回事来,za'hui'shi'lai
咋啦乖,za'la'guai
咋了乖,za'le'guai
咋美,za'mei
咋你了,za'ni'le
咋弄吧,za'nong'ba
咋说来,za'shuo'lai
咋说累,za'shuo'lei
咋着,za'zhe
咋真,za'zhen
咋住,za'zhu
咋桌,za'zhuo
在百货楼,zai'bai'huo'lou
在大张,zai'da'zhang
在丹尼斯,zai'dan'ni'si
在干嘛来,zai'gan'ma'lai
在干嘛类,zai'gan'ma'lei
在干啥来,zai'gan'sha'lai
在干啥类,zai'gan'sha'lei
在干啥里,zai'gan'sha'li
在关林,zai'guan'lin
在伙计,zai'huo'ji
在吉利,zai'ji'li
在济源,zai'ji'yuan
在家不在,zai'jia'bu'zai
在家干啥,zai'jia'gan'sha
在家弄啥,zai'jia'nong'sha
在涧西,zai'jian'xi
在看成,zai'kan'cheng
在老城,zai'lao'cheng
在龙门,zai'long'men
在栾川,zai'luan'chuan
在洛宁,zai'luo'ning
在洛阳,zai'luo'yang
在洛阳啊,zai'luo'yang'a
在洛阳的,zai'luo'yang'de
在洛阳了,zai'luo'yang'le
在洛阳吗,zai'luo'yang'ma
在洛阳那,zai'luo'yang'na
在洛阳呢,zai'luo'yang'ne
在孟津,zai'meng'jin
在哪干啥,zai'na'gan'sha
在弄啥,zai'nong'sha
在弄啥呢,zai'nong'sha'ne
再去学,zai'qu'xue
在三门峡,zai'san'men'xia
在上海市场,zai'shang'hai'shi'chang
在嵩县,zai'song'xian
在西工,zai'xi'gong
在县城,zai'xian'cheng
在新安县,zai'xin'an'xian
在新都会,zai'xin'du'hui
在新区,zai'xin'qu
在偃师,zai'yan'shi
在伊川,zai'yi'chuan
在宜阳,zai'yi'yang
咱班人,zan'ban'ren
咱敢不敢,zan'gan'bu'gan
咱国,zan'guo
咱街,zan'jie
咱俩好吧,zan'lia'hao'ba
咱洛阳,zan'luo'yang
咱县城,zan'xian'cheng
咱学,zan'xue
造吧,zao'ba
造不造,zao'bu'zao
皂角树,zao'jiao'shu
早连夜,zao'lian'ye
早着类,zao'zhe'lei
怎么了乖,zen'me'le'guai
炸弹号,zha'dan'hao
炸馍,zha'mo
张沟,zhang'gou
张妞,zhang'niu
张占伟,zhang'zhan'wei
赵保,zhao'bao
找不来,zhao'bu'lai
赵村,zhao'cun
着急人,zhao'ji'ren
赵巧丹,zhao'qiao'dan
赵雪莲,zhao'xue'lian
这不中,zhe'bu'zhong
这都中,zhe'dou'zhong
这闺女,zhe'gui'nv
这谁了,zhe'shui'le
这咋弄,zhe'za'nong
真爱星座,zhen'ai'xing'zuo
真不美,zhen'bu'mei
真不同,zhen'bu'tong
真不中,zhen'bu'zhong
真长时间,zhen'chang'shi'jian
真搓,zhen'cuo
镇大,zhen'da
真捣蛋,zhen'dao'dan
镇多,zhen'duo
真多天,zhen'duo'tian
镇好,zhen'hao
真几天,zhen'ji'tian
真精,zhen'jing
真瞌睡,zhen'ke'shui
镇快,zhen'kuai
真来假来,zhen'lai'jia'lai
真类假类,zhen'lei'jia'lei
真美啊,zhen'mei'a
真美呀,zhen'mei'ya
真木,zhen'mu
真木意思,zhen'mu'yi'si
真你大爷,zhen'ni'da'ye
真你妹,zhen'ni'mei
真你妹的,zhen'ni'mei'de
真怕人,zhen'pa'ren
真求是,zhen'qiu'shi
真求子,zhen'qiu'zi
真人才,zhen'ren'cai
真撒比,zhen'sa'bi
真圣诞,zhen'sheng'dan
真死鬼,zhen'si'gui
真晚了,zhen'wan'le
真瞎,zhen'xia
真闲啊,zhen'xian'a
真装,zhen'zhuang
正村,zheng'cun
正骨医院,zheng'gu'yi'yuan
政和路,zheng'he'lu
证件齐全,zheng'jian'qi'quan
整了整,zheng'le'zheng
整屋子,zheng'wu'zi
郑县,zheng'xian
郑州方特,zheng'zhou'fang'te
郑州回来,zheng'zhou'hui'lai
郑州火车站,zheng'zhou'huo'che'zhan
郑州路,zheng'zhou'lu
挣住,zheng'zhu
挣住钱,zheng'zhu'qian
知道都中,zhi'dao'dou'zhong
纸房,zhi'fang
只该,zhi'gai
值顾,zhi'gu
值过,zhi'guo
指甲草,zhi'jia'cao
置隆花园,zhi'long'hua'yuan
中不中,zhong'bu'zhong
中成,zhong'cheng
重渡,zhong'du
重度沟,zhong'du'gou
中沟,zhong'gou
中硅,zhong'gui
中硅高科,zhong'gui'gao'ke
中航光电,zhong'hang'guang'dian
中航锂电,zhong'hang'li'dian
中和湾,zhong'he'wan
中弘,zhong'hong
中满,zhong'man
中侨绿城,zhong'qiao'lv'cheng
重去,zhong'qu
中泰华庭,zhong'tai'hua'ting
中泰世纪花城,zhong'tai'shi'ji'hua'cheng
中午吃啥饭,zhong'wu'chi'sha'fan
中午咋吃饭,zhong'wu'za'chi'fan
中午怎么吃饭,zhong'wu'zen'me'chi'fan
中溪,zhong'xi
中信重工,zhong'xin'zhong'gong
中央百货,zhong'yang'bai'huo
中央魅座,zhong'yang'mei'zuo
中油一建,zhong'you'yi'jian
中招考试,zhong'zhao'kao'shi
众志,zhong'zhi
中州东路,zhong'zhou'dong'lu
中州国际,zhong'zhou'guo'ji
中州路,zhong'zhou'lu
中州西路,zhong'zhou'xi'lu
中州中路,zhong'zhou'zhong'lu
轴承厂,zhou'cheng'chang
轴二,zhou'er
轴二中,zhou'er'zhong
周公路,zhou'gong'lu
轴南山,zhou'nan'shan
轴三中,zhou'san'zhong
周山,zhou'shan
周山公园,zhou'shan'gong'yuan
周山路,zhou'shan'lu
周王城,zhou'wang'cheng
轴研所,zhou'yan'suo
轴一,zhou'yi
轴一中,zhou'yi'zhong
诸葛镇,zhu'ge'zhen
珠江新村,zhu'jiang'xin'cun
祝您学习愉快,zhu'nin'xue'xi'yu'kuai
抓来,zhua'lai
抓累,zhua'lei
抓里,zhua'li
转角楼,zhuan'jiao'lou
转街,zhuan'jie
转累,zhuan'lei
撞住,zhuang'zhu
紫金城,zi'jin'cheng
资开,zi'kai
紫霞街,zi'xia'jie
自由曙光,zi'you'shu'guang
走了了,zou'le'le
揍你吧,zou'ni'ba
走着说着,zou'zhe'shuo'zhe
祖母家,zu'mu'jia
钻劲,zuan'jin
做被窝,zuo'bei'wo
坐上车没,zuo'shang'che'mei
作业写没,zuo'ye'xie'mei
