艾箱灸,ai'xiang'jiu
脑功能检查,nao'gong'neng'jian'cha
脑及颅内血管畸形栓塞术,nao'ji'lu'nei'xue'guan'ji'xing'shuan'se'shu
脑脊膜膨出修补术,nao'ji'mo'peng'chu'xiu'bu'shu
脑脊液白蛋白测定,nao'ji'ye'bai'dan'bai'ce'ding
脑脊液寡克隆电泳分析,nao'ji'ye'gua'ke'long'dian'yong'fen'xi
脑脊液漏修补术,nao'ji'ye'lou'xiu'bu'shu
脑脊液置换术,nao'ji'ye'zhi'huan'shu
脑脊液总蛋白测定,nao'ji'ye'zong'dan'bai'ce'ding
脑囊虫摘除术,nao'nang'chong'zhai'chu'shu
脑脓肿穿刺引流术,nao'nong'zhong'chuan'ci'yin'liu'shu
脑皮质切除术,nao'pi'zhi'qie'chu'shu
脑深部电极置入术,nao'shen'bu'dian'ji'zhi'ru'shu
脑室碘水造影,nao'shi'dian'shui'zao'ying
脑室引流显像,nao'shi'yin'liu'xian'xiang
脑室钻孔伴脑室引流术,nao'shi'zuan'kong'ban'nao'shi'yin'liu'shu
脑瘫肌力肌张力调整术,nao'tan'ji'li'ji'zhang'li'tiao'zheng'shu
脑瘫肢体综合训练,nao'tan'zhi'ti'zong'he'xun'lian
脑显像,nao'xian'xiang
脑血管手术,nao'xue'guan'shou'shu
脑血管显像,nao'xue'guan'xian'xiang
脑血流测定,nao'xue'liu'ce'ding
脑血流断层显像,nao'xue'liu'duan'ceng'xian'xiang
内倒转术,nei'dao'zhuan'shu
内毒素鲎定量测定,nei'du'su'hou'ding'liang'ce'ding
内毒素鲎定性试验,nei'du'su'hou'ding'xing'shi'yan
内耳窗修补术,nei'er'chuang'xiu'bu'shu
内耳及其他耳部手术,nei'er'ji'qi'ta'er'bu'shou'shu
内耳开窗术,nei'er'kai'chuang'shu
内耳淋巴囊减压术,nei'er'lin'ba'nang'jian'ya'shu
内镜组织活检检查与诊断,nei'jing'zu'zhi'huo'jian'jian'cha'yu'zhen'duan
内科疾病推拿治疗,nei'ke'ji'bing'tui'na'zhi'liao
内生肌酐清除率试验,nei'sheng'ji'gan'qing'chu'lv'shi'yan
内生软骨瘤切除术,nei'sheng'ruan'gu'liu'qie'chu'shu
内外踝骨折切开复位内固定术,nei'wai'huai'gu'zhe'qie'kai'fu'wei'nei'gu'ding'shu
内外眦成形术,nei'wai'zi'cheng'xing'shu
内眼病冷凝术,nei'yan'bing'leng'ning'shu
内痔环切术,nei'zhi'huan'qie'shu
内眦韧带断裂修复术,nei'zi'ren'dai'duan'lie'xiu'fu'shu
内眦赘皮矫治术,nei'zi'zhui'pi'jiao'zhi'shu
能量图血流立体成像,neng'liang'tu'xue'liu'li'ti'cheng'xiang
泥疗,ni'liao
逆行泌尿系造影,ni'xing'mi'niao'xi'zao'ying
粘结,nian'jie
粘膜治疗,nian'mo'zhi'liao
念珠菌病血清学试验,nian'zhu'jun'bing'xue'qing'xue'shi'yan
念珠菌镜检,nian'zhu'jun'jing'jian
念珠菌培养,nian'zhu'jun'pei'yang
念珠菌系统鉴定,nian'zhu'jun'xi'tong'jian'ding
尿氨测定,niao'an'ce'ding
尿吡啶酚测定,niao'bi'ding'fen'ce'ding
尿比重测定,niao'bi'zhong'ce'ding
尿丙氨酰氨基肽酶,niao'bing'an'xian'an'ji'tai'mei
尿卟啉定性试验,niao'bu'lin'ding'xing'shi'yan
尿草酸测定,niao'cao'suan'ce'ding
尿常规检查,niao'chang'gui'jian'cha
尿沉渣白细胞分类,niao'chen'zha'bai'xi'bao'fen'lei
尿沉渣定量,niao'chen'zha'ding'liang
尿沉渣镜检,niao'chen'zha'jing'jian
尿蛋白电泳分析,niao'dan'bai'dian'yong'fen'xi
尿蛋白定量,niao'dan'bai'ding'liang
尿蛋白定性,niao'dan'bai'ding'xing
尿道癌根治术,niao'dao'ai'gen'zhi'shu
尿道瓣膜电切术,niao'dao'ban'mo'dian'qie'shu
尿道瓣膜切除成形术,niao'dao'ban'mo'qie'chu'cheng'xing'shu
尿道重建术,niao'dao'chong'jian'shu
尿道会师术,niao'dao'hui'shi'shu
尿道会阴造口术,niao'dao'hui'yin'zao'kou'shu
尿道良性肿物切除术,niao'dao'liang'xing'zhong'wu'qie'chu'shu
尿道瘘修补术,niao'dao'lou'xiu'bu'shu
尿道粘膜脱垂切除术,niao'dao'nian'mo'tuo'chui'qie'chu'shu
尿道旁腺囊肿摘除术,niao'dao'pang'xian'nang'zhong'zhai'chu'shu
尿道憩室切除术,niao'dao'qi'shi'qie'chu'shu
尿道切开取石术,niao'dao'qie'kai'qu'shi'shu
尿道上裂膀胱外翻矫治术,niao'dao'shang'lie'pang'guang'wai'fan'jiao'zhi'shu
尿道上裂修复术,niao'dao'shang'lie'xiu'fu'shu
尿道手术,niao'dao'shou'shu
尿道外口整形术,niao'dao'wai'kou'zheng'xing'shu
尿道下裂修复术,niao'dao'xia'lie'xiu'fu'shu
尿道下裂阴茎下弯矫治术,niao'dao'xia'lie'yin'jing'xia'wan'jiao'zhi'shu
尿道狭窄瘢痕切除术,niao'dao'xia'zhai'ban'hen'qie'chu'shu
尿道狭窄扩张术,niao'dao'xia'zhai'kuo'zhang'shu
尿道修补术,niao'dao'xiu'bu'shu
尿道悬吊延长术,niao'dao'xuan'diao'yan'chang'shu
尿道阴道瘘修补术,niao'dao'yin'dao'lou'xiu'bu'shu
尿道阴茎海绵体分流术,niao'dao'yin'jing'hai'mian'ti'fen'liu'shu
尿道折叠术,niao'dao'zhe'die'shu
尿道直肠瘘修补术,niao'dao'zhi'chang'lou'xiu'bu'shu
尿儿茶酚胺测定,niao'er'cha'fen'an'ce'ding
尿含铁血黄素定性试验,niao'han'tie'xue'huang'su'ding'xing'shi'yan
尿黑色素测定,niao'hei'se'su'ce'ding
尿红细胞位相,niao'hong'xi'bao'wei'xiang
尿肌红蛋白定性检查,niao'ji'hong'dan'bai'ding'xing'jian'cha
尿碱性磷酸酶测定,niao'jian'xing'lin'suan'mei'ce'ding
尿结石成份分析,niao'jie'shi'cheng'fen'fen'xi
尿可滴定酸测定,niao'ke'di'ding'suan'ce'ding
尿亮氨酰氨基肽酶,niao'liang'an'xian'an'ji'tai'mei
尿流动力学检测,niao'liu'dong'li'xue'jian'ce
尿流率检测,niao'liu'lv'jian'ce
尿尿酸测定,niao'niao'suan'ce'ding
尿浓缩试验,niao'nong'suo'shi'yan
尿浓缩稀释试验,niao'nong'suo'xi'shi'shi'yan
尿培养加菌落计数,niao'pei'yang'jia'jun'luo'ji'shu
尿妊娠试验,niao'ren'shen'shi'yan
尿乳糜定性检查,niao'ru'mi'ding'xing'jian'cha
尿三杯试验,niao'san'bei'shi'yan
尿三胆检查,niao'san'dan'jian'cha
尿三氯化铁试验,niao'san'lv'hua'tie'shi'yan
尿素测定,niao'su'ce'ding
尿酸化功能测定,niao'suan'hua'gong'neng'ce'ding
尿酸碱度测定,niao'suan'jian'du'ce'ding
尿糖定量测定,niao'tang'ding'liang'ce'ding
尿糖定性试验,niao'tang'ding'xing'shi'yan
尿酮体定性试验,niao'tong'ti'ding'xing'shi'yan
尿透明质酸酶测定,niao'tou'ming'zhi'suan'mei'ce'ding
尿脱氧吡啶酚测定,niao'tuo'yang'bi'ding'fen'ce'ding
尿微量白蛋白测定,niao'wei'liang'bai'dan'bai'ce'ding
尿血红蛋白定性检查,niao'xue'hong'dan'bai'ding'xing'jian'cha
尿液分析,niao'ye'fen'xi
尿液一般检查,niao'ye'yi'ban'jian'cha
尿中包涵体检查,niao'zhong'bao'han'ti'jian'cha
尿中病毒感染细胞检查,niao'zhong'bing'du'gan'ran'xi'bao'jian'cha
尿转铁蛋白测定,niao'zhuan'tie'dan'bai'ce'ding
颞部开颅三叉神经节切断术,nie'bu'kai'lu'san'cha'shen'jing'jie'qie'duan'shu
颞部肿物切除术,nie'bu'zhong'wu'qie'chu'shu
颞骨部分切除术,nie'gu'bu'fen'qie'chu'shu
颞骨次全切除术,nie'gu'ci'quan'qie'chu'shu
颞骨全切术,nie'gu'quan'qie'shu
颞颌关节镜检查,nie'he'guan'jie'jing'jian'cha
颞颌关节腔内封闭治疗,nie'he'guan'jie'qiang'nei'feng'bi'zhi'liao
颞颌关节系统检查设计,nie'he'guan'jie'xi'tong'jian'cha'she'ji
颞肌颞浅动脉贴敷术,nie'ji'nie'qian'dong'mai'tie'fu'shu
颞下颌关节病修复治疗,nie'xia'he'guan'jie'bing'xiu'fu'zhi'liao
颞下颌关节病正畸治疗,nie'xia'he'guan'jie'bing'zheng'ji'zhi'liao
颞下颌关节成形术,nie'xia'he'guan'jie'cheng'xing'shu
颞下颌关节复位,nie'xia'he'guan'jie'fu'wei
颞下颌关节盘手术,nie'xia'he'guan'jie'pan'shou'shu
颞下颌关节造影,nie'xia'he'guan'jie'zao'ying
凝血检查,ning'xue'jian'cha
凝血酶原时间纠正试验,ning'xue'mei'yuan'shi'jian'jiu'zheng'shi'yan
凝血酶原消耗及纠正试验,ning'xue'mei'yuan'xiao'hao'ji'jiu'zheng'shi'yan
浓缩集菌抗酸菌检测,nong'suo'ji'jun'kang'suan'jun'jian'ce
浓缩血恶性组织细胞检查,nong'suo'xue'e'xing'zu'zhi'xi'bao'jian'cha
脓胸大网膜填充术,nong'xiong'da'wang'mo'tian'chong'shu
脓胸引流清除术,nong'xiong'yin'liu'qing'chu'shu
脓肿切开引流术,nong'zhong'qie'kai'yin'liu'shu
女性生殖器官其他手术,nv'xing'sheng'zhi'qi'guan'qi'ta'shou'shu
女性生殖系统及孕产诊疗,nv'xing'sheng'zhi'xi'tong'ji'yun'chan'zhen'liao
膀胱瓣代输尿管术,pang'guang'ban'dai'shu'niao'guan'shu
膀胱部分切除术,pang'guang'bu'fen'qie'chu'shu
膀胱残余尿量测定,pang'guang'can'yu'niao'liang'ce'ding
膀胱穿刺造瘘术,pang'guang'chuan'ci'zao'lou'shu
膀胱灌注,pang'guang'guan'zhu
膀胱颈重建术,pang'guang'jing'chong'jian'shu
膀胱镜尿道镜检查,pang'guang'jing'niao'dao'jing'jian'cha
膀胱颈悬吊术,pang'guang'jing'xuan'diao'shu
膀胱瘘管切除术,pang'guang'lou'guan'qie'chu'shu
膀胱尿道全切除术,pang'guang'niao'dao'quan'qie'chu'shu
膀胱膨出修补术,pang'guang'peng'chu'xiu'bu'shu
膀胱破裂修补术,pang'guang'po'lie'xiu'bu'shu
膀胱憩室切除术,pang'guang'qi'shi'qie'chu'shu
膀胱切开取石术,pang'guang'qie'kai'qu'shi'shu
膀胱切开肿瘤烧灼术,pang'guang'qie'kai'zhong'liu'shao'zhuo'shu
膀胱区封闭,pang'guang'qu'feng'bi
膀胱手术,pang'guang'shou'shu
膀胱输尿管返流显像,pang'guang'shu'niao'guan'fan'liu'xian'xiang
膀胱外翻成形术,pang'guang'wai'fan'cheng'xing'shu
膀胱阴道瘘修补术,pang'guang'yin'dao'lou'xiu'bu'shu
膀胱再造术,pang'guang'zai'zao'shu
膀胱造瘘术,pang'guang'zao'lou'shu
膀胱造影,pang'guang'zao'ying
膀胱注射,pang'guang'zhu'she
疱病清疮术,pao'bing'qing'chuang'shu
疱液抽取术,pao'ye'chou'qu'shu
配金加工,pei'jin'jia'gong
胚胎培养,pei'tai'pei'yang
胚胎移植术,pei'tai'yi'zhi'shu
培养细胞的染色体分析,pei'yang'xi'bao'de'ran'se'ti'fen'xi
盆底痉挛部肌肉神经切除术,pen'di'jing'luan'bu'ji'rou'shen'jing'qie'chu'shu
盆腔巨大肿瘤切除术,pen'qiang'ju'da'zhong'liu'qie'chu'shu
皮瓣肌皮瓣延迟术,pi'ban'ji'pi'ban'yan'chi'shu
脾部分切除术,pi'bu'fen'qie'chu'shu
皮层慢反应,pi'ceng'man'fan'ying
皮肤和皮下组织手术,pi'fu'he'pi'xia'zu'zhi'shou'shu
皮肤和皮下组织修补与重建,pi'fu'he'pi'xia'zu'zhi'xiu'bu'yu'chong'jian
皮肤活检术,pi'fu'huo'jian'shu
皮肤溃疡清创术,pi'fu'kui'yang'qing'chuang'shu
皮肤扩张器置入术,pi'fu'kuo'zhang'qi'zhi'ru'shu
皮肤瘘管切除术,pi'fu'lou'guan'qie'chu'shu
皮肤牵引术,pi'fu'qian'yin'shu
皮肤生理指标系统分析,pi'fu'sheng'li'zhi'biao'xi'tong'fen'xi
皮肤撕脱反取皮回植术,pi'fu'si'tuo'fan'qu'pi'hui'zhi'shu
皮肤贴敷后装放疗,pi'fu'tie'fu'hou'zhuang'fang'liao
皮肤直接免疫荧光检查,pi'fu'zhi'jie'mian'yi'ying'guang'jian'cha
皮肤赘生物电烧治疗,pi'fu'zhui'sheng'wu'dian'shao'zhi'liao
疲劳度测定,pi'lao'du'ce'ding
劈裂牙治疗,pi'lie'ya'zhi'liao
脾切除术,pi'qie'chu'shu
脾切除自体脾移植术,pi'qie'chu'zi'ti'pi'yi'zhi'shu
脾肾动脉吻合术,pi'shen'dong'mai'wen'he'shu
皮损内注射,pi'sun'nei'zhu'she
皮损取材检查,pi'sun'qu'cai'jian'cha
皮下输液,pi'xia'shu'ye
脾显像,pi'xian'xiang
脾修补术,pi'xiu'bu'shu
皮质素水试验,pi'zhi'su'shui'shi'yan
偏瘫肢体综合训练,pian'tan'zhi'ti'zong'he'xun'lian
偏振光照射,pian'zhen'guang'zhao'she
胼胝病变切除修复术,pian'zhi'bing'bian'qie'chu'xiu'fu'shu
胼胝体切开术,pian'zhi'ti'qie'kai'shu
漂浮治疗,piao'fu'zhi'liao
频谱心电图,pin'pu'xin'dian'tu
平衡法负荷门控心室显像,ping'heng'fa'fu'he'men'kong'xin'shi'xian'xiang
平衡法门控心室显像,ping'heng'fa'men'kong'xin'shi'xian'xiang
平衡功能训练,ping'heng'gong'neng'xun'lian
平衡试验,ping'heng'shi'yan
剖腹探查术,pou'fu'tan'cha'shu
剖宫产术,pou'gong'chan'shu
剖宫产术中子宫次全切术,pou'gong'chan'shu'zhong'zi'gong'ci'quan'qie'shu
剖宫产术中子宫全切术,pou'gong'chan'shu'zhong'zi'gong'quan'qie'shu
葡萄胎刮宫术,pu'tao'tai'gua'gong'shu
葡萄糖测定,pu'tao'tang'ce'ding
葡萄糖耐量试验,pu'tao'tang'nai'liang'shi'yan
普通病房床位费,pu'tong'bing'fang'chuang'wei'fei
普通病理会诊,pu'tong'bing'li'hui'zhen
普通彩色多普勒超声检查,pu'tong'cai'se'duo'pu'le'chao'sheng'jian'cha
普通二维超声心动图,pu'tong'er'wei'chao'sheng'xin'dong'tu
普通门诊诊查费,pu'tong'men'zhen'zhen'cha'fei
普通视力检查,pu'tong'shi'li'jian'cha
普通透射电镜检查与诊断,pu'tong'tou'she'dian'jing'jian'cha'yu'zhen'duan
普通透视,pu'tong'tou'shi
普通针刺,pu'tong'zhen'ci
起搏器程控功能检查,qi'bo'qi'cheng'kong'gong'neng'jian'cha
起搏器功能分析和随访,qi'bo'qi'gong'neng'fen'xi'he'sui'fang
起搏器胸壁刺激法检查,qi'bo'qi'xiong'bi'ci'ji'fa'jian'cha
脐带还纳术,qi'dai'hai'na'shu
气道阻力测定,qi'dao'zu'li'ce'ding
气管插管术,qi'guan'cha'guan'shu
气管成形术,qi'guan'cheng'xing'shu
器官联合移植术,qi'guan'lian'he'yi'zhi'shu
气管瘘修复术,qi'guan'lou'xiu'fu'shu
气管内肿瘤切除术,qi'guan'nei'zhong'liu'qie'chu'shu
气管切开护理,qi'guan'qie'kai'hu'li
气管切开术,qi'guan'qie'kai'shu
气管支气管损伤修补术,qi'guan'zhi'qi'guan'sun'shang'xiu'bu'shu
气脑造影,qi'nao'zao'ying
脐尿管瘘切除术,qi'niao'guan'lou'qie'chu'shu
脐疝修补术,qi'shan'xiu'bu'shu
其他,qi'ta
其他病毒的血清学诊断,qi'ta'bing'du'de'xue'qing'xue'zhen'duan
其他腹部手术,qi'ta'fu'bu'shou'shu
其他呼吸功能检查,qi'ta'hu'xi'gong'neng'jian'cha
其他检验试验,qi'ta'jian'yan'shi'yan
其他推拿治疗,qi'ta'tui'na'zhi'liao
其他血管手术,qi'ta'xue'guan'shou'shu
其他血清酶类测定,qi'ta'xue'qing'mei'lei'ce'ding
其他指再造术,qi'ta'zhi'zai'zao'shu
脐血染色体检查,qi'xue'ran'se'ti'jian'cha
脐血移植术,qi'xue'yi'zhi'shu
气压治疗,qi'ya'zhi'liao
脐整形术,qi'zheng'xing'shu
髂腹股沟淋巴结清扫术,qia'fu'gu'gou'lin'ba'jie'qing'sao'shu
髂骨取骨术,qia'gu'qu'gu'shu
髂骨翼肿瘤切除术,qia'gu'yi'zhong'liu'qie'chu'shu
髂胫束松解术,qia'jing'shu'song'jie'shu
髂窝脓肿切开引流术,qia'wo'nong'zhong'qie'kai'yin'liu'shu
髂腰肌脓肿切开引流术,qia'yao'ji'nong'zhong'qie'kai'yin'liu'shu
前鼻镜检查,qian'bi'jing'jian'cha
前鼻孔成形术,qian'bi'kong'cheng'xing'shu
前鼻孔填塞,qian'bi'kong'tian'sai
前臂桡尺动脉倒转皮瓣术,qian'bi'rao'chi'dong'mai'dao'zhuan'pi'ban'shu
前臂神经探查吻合术,qian'bi'shen'jing'tan'cha'wen'he'shu
前臂神经探查游离神经移植术,qian'bi'shen'jing'tan'cha'you'li'shen'jing'yi'zhi'shu
浅表部位后装治疗,qian'biao'bu'wei'hou'zhuang'zhi'liao
浅表器官彩色多普勒超声检查,qian'biao'qi'guan'cai'se'duo'pu'le'chao'sheng'jian'cha
浅表肿物切除术,qian'biao'zhong'wu'qie'chu'shu
嵌顿包茎手法复位术,qian'dun'bao'jing'shou'fa'fu'wei'shu
嵌顿包茎松解术,qian'dun'bao'jing'song'jie'shu
嵌顿疝复位修补术,qian'dun'shan'fu'wei'xiu'bu'shu
前房成形术,qian'fang'cheng'xing'shu
前房穿刺术,qian'fang'chuan'ci'shu
前房角切开术,qian'fang'jiao'qie'kai'shu
前房深度测量,qian'fang'shen'du'ce'liang
前房注气术,qian'fang'zhu'qi'shu
牵拉试验,qian'la'shi'yan
前列腺癌根治术,qian'lie'xian'ai'gen'zhi'shu
前列腺按摩,qian'lie'xian'an'mo
前列腺囊肿切除术,qian'lie'xian'nang'zhong'qie'chu'shu
前列腺脓肿切开术,qian'lie'xian'nong'zhong'qie'kai'shu
前列腺特殊治疗,qian'lie'xian'te'shu'zhi'liao
前列腺液常规检查,qian'lie'xian'ye'chang'gui'jian'cha
前列腺针吸细胞学活检术,qian'lie'xian'zhen'xi'xi'bao'xue'huo'jian'shu
前列腺注射,qian'lie'xian'zhu'she
前路脊柱骨骺阻滞术后路椎板凸侧融合术,qian'lu'ji'zhu'gu'hou'zu'zhi'shu'hou'lu'zhui'ban'tu'ce'rong'he'shu
前路脊柱松解融合术,qian'lu'ji'zhu'song'jie'rong'he'shu
前路脊柱旋转侧弯矫正术,qian'lu'ji'zhu'xuan'zhuan'ce'wan'jiao'zheng'shu
前路腰椎肿瘤切除术,qian'lu'yao'zhui'zhong'liu'qie'chu'shu
前磨牙拔除术,qian'mo'ya'ba'chu'shu
前尿道吻合术,qian'niao'dao'wen'he'shu
嵌体修复,qian'ti'xiu'fu
前庭大腺囊肿切除术,qian'ting'da'xian'nang'zhong'qie'chu'shu
前庭大腺囊肿造口术,qian'ting'da'xian'nang'zhong'zao'kou'shu
前牙拔除术,qian'ya'ba'chu'shu
前牙根折根牵引,qian'ya'gen'zhe'gen'qian'yin
前牙美容修复术,qian'ya'mei'rong'xiu'fu'shu
牵引,qian'yin
腔静脉后输尿管整形术,qiang'jing'mai'hou'shu'niao'guan'zheng'xing'shu
腔静脉切开滤网置放术,qiang'jing'mai'qie'kai'lv'wang'zhi'fang'shu
腔内彩色多普勒超声检查,qiang'nei'cai'se'duo'pu'le'chao'sheng'jian'cha
腔内后装放疗,qiang'nei'hou'zhuang'fang'liao
强迫振荡肺功能检查,qiang'po'zhen'dang'fei'gong'neng'jian'cha
强直性脊柱炎多椎截骨矫正术,qiang'zhi'xing'ji'zhu'yan'duo'zhui'jie'gu'jiao'zheng'shu
鞘膜积液穿刺抽液术,qiao'mo'ji'ye'chuan'ci'chou'ye'shu
鞘内注射,qiao'nei'zhu'she
桥小脑角肿瘤切除术,qiao'xiao'nao'jiao'zhong'liu'qie'chu'shu
切痂术,qie'jia'shu
亲肿瘤局部显像,qin'zhong'liu'ju'bu'xian'xiang
青光眼硅管植入术,qing'guang'yan'gui'guan'zhi'ru'shu
青光眼滤过泡分离术,qing'guang'yan'lv'guo'pao'fen'li'shu
青光眼滤过泡修补术,qing'guang'yan'lv'guo'pao'xiu'bu'shu
青光眼滤过术,qing'guang'yan'lv'guo'shu
青光眼滤帘修复术,qing'guang'yan'lv'lian'xiu'fu'shu
青光眼视网膜神经纤维层计算机图像分析,qing'guang'yan'shi'wang'mo'shen'jing'xian'wei'ceng'ji'suan'ji'tu'xiang'fen'xi
青光眼诱导试验,qing'guang'yan'you'dao'shi'yan
清洁灌肠,qing'jie'guan'chang
倾斜试验,qing'xie'shi'yan
穹窿成形术,qiong'long'cheng'xing'shu
球孢子菌血清学试验,qiu'bao'zi'jun'xue'qing'xue'shi'yan
球壁异物取出术,qiu'bi'yi'wu'qu'chu'shu
球后全部血管彩色多普勒超声,qiu'hou'quan'bu'xue'guan'cai'se'duo'pu'le'chao'sheng
球后注射,qiu'hou'zhu'she
球结膜瓣复盖术,qiu'jie'mo'ban'fu'gai'shu
球结膜下注射,qiu'jie'mo'xia'zhu'she
球内磁性异物取出术,qiu'nei'ci'xing'yi'wu'qu'chu'shu
球内非磁性异物取出术,qiu'nei'fei'ci'xing'yi'wu'qu'chu'shu
球内异物定位,qiu'nei'yi'wu'ding'wei
丘疹挤粟治疗,qiu'zhen'ji'su'zhi'liao
去除牙周固定,qu'chu'ya'zhou'gu'ding
取腓骨术,qu'fei'gu'shu
去甲肾上腺素测定,qu'jia'shen'shang'xian'su'ce'ding
取结膜结石,qu'jie'mo'jie'shi
去颅骨骨瓣减压术,qu'lu'gu'gu'ban'jian'ya'shu
曲霉菌血清学试验,qu'mei'jun'xue'qing'xue'shi'yan
取皮术,qu'pi'shu
屈伸指肌腱吻合术,qu'shen'zhi'ji'jian'wen'he'shu
屈伸指肌腱游离移植术,qu'shen'zhi'ji'jian'you'li'yi'zhi'shu
屈指功能重建术,qu'zhi'gong'neng'chong'jian'shu
屈肘功能重建术,qu'zhou'gong'neng'chong'jian'shu
全程主动脉人工血管置换术,quan'cheng'zhu'dong'mai'ren'gong'xue'guan'zhi'huan'shu
全肺切除术,quan'fei'qie'chu'shu
颧弓骨折复位术,quan'gong'gu'zhe'fu'wei'shu
颧骨陈旧性骨折截骨整复术,quan'gu'chen'jiu'xing'gu'zhe'jie'gu'zheng'fu'shu
颧骨陈旧性骨折植骨矫治术,quan'gu'chen'jiu'xing'gu'zhe'zhi'gu'jiao'zhi'shu
颧骨骨折切开复位内固定术,quan'gu'gu'zhe'qie'kai'fu'wei'nei'gu'ding'shu
颧骨颧弓成型术,quan'gu'quan'gong'cheng'xing'shu
颧骨上颌骨复合骨折切开复位内固定术,quan'gu'shang'he'gu'fu'he'gu'zhe'qie'kai'fu'wei'nei'gu'ding'shu
醛固酮测定,quan'gu'tong'ce'ding
醛固酮肾素测定卧立位试验,quan'gu'tong'shen'su'ce'ding'wo'li'wei'shi'yan
全喉切除咽气管吻合术,quan'hou'qie'chu'yan'qi'guan'wen'he'shu
全喉全下咽切除皮瓣修复术,quan'hou'quan'xia'yan'qie'chu'pi'ban'xiu'fu'shu
全结肠切除吻合术,quan'jie'chang'qie'chu'wen'he'shu
全口固定种植义齿,quan'kou'gu'ding'zhong'zhi'yi'chi
全口牙病系统检查与治疗设计,quan'kou'ya'bing'xi'tong'jian'cha'yu'zhi'liao'she'ji
全腔肺动脉吻合术,quan'qiang'fei'dong'mai'wen'he'shu
全筛窦切除术,quan'shai'dou'qie'chu'shu
全身电子线照射,quan'shen'dian'zi'xian'zhao'she
全身麻醉,quan'shen'ma'zui
全身显像,quan'shen'xian'xiang
全手切削痂植皮术,quan'shou'qie'xiao'jia'zhi'pi'shu
醛缩酶测定,quan'suo'mei'ce'ding
全胃切除术,quan'wei'qie'chu'shu
全血半乳糖测定,quan'xue'ban'ru'tang'ce'ding
全血丙酮酸测定,quan'xue'bing'tong'suan'ce'ding
全血粘度测定,quan'xue'nian'du'ce'ding
全血铅测定,quan'xue'qian'ce'ding
全血乳酸测定,quan'xue'ru'suan'ce'ding
全胰腺切除术,quan'yi'xian'qie'chu'shu
缺牙区游离骨移植术,que'ya'qu'you'li'gu'yi'zhi'shu
群体反应抗体检测,qun'ti'fan'ying'kang'ti'jian'ce
染色体分析,ran'se'ti'fen'xi
桡尺骨干骨折切开复位内固定术,rao'chi'gu'gan'gu'zhe'qie'kai'fu'wei'nei'gu'ding'shu
桡骨短缩术,rao'gu'duan'suo'shu
桡骨头骨折切开复位内固定术,rao'gu'tou'gu'zhe'qie'kai'fu'wei'nei'gu'ding'shu
桡骨头切除术,rao'gu'tou'qie'chu'shu
桡骨下端骨折畸形愈合矫正术,rao'gu'xia'duan'gu'zhe'ji'xing'yu'he'jiao'zheng'shu
桡骨延长术,rao'gu'yan'chang'shu
桡骨远端切除腓骨移植成形术,rao'gu'yuan'duan'qie'chu'fei'gu'yi'zhi'cheng'xing'shu
热球子宫内膜去除术,re'qiu'zi'gong'nei'mo'qu'chu'shu
热溶血试验,re'rong'xue'shi'yan
热盐水试验,re'yan'shui'shi'yan
人工髌股关节置换术,ren'gong'bin'gu'guan'jie'zhi'huan'shu
人工动静脉瘘切除重造术,ren'gong'dong'jing'mai'lou'qie'chu'chong'zao'shu
人工肝治疗,ren'gong'gan'zhi'liao
人工肱骨头置换术,ren'gong'gong'gu'tou'zhi'huan'shu
人工股骨头置换术,ren'gong'gu'gu'tou'zhi'huan'shu
人工关节取出术,ren'gong'guan'jie'qu'chu'shu
人工关节置换手术,ren'gong'guan'jie'zhi'huan'shou'shu
人工虹膜隔植入术,ren'gong'hong'mo'ge'zhi'ru'shu
人工踝关节置换术,ren'gong'huai'guan'jie'zhi'huan'shu
人工煎药,ren'gong'jian'yao
人工晶体度数测量,ren'gong'jing'ti'du'shu'ce'liang
人工晶体复位术,ren'gong'jing'ti'fu'wei'shu
人工晶体睫状沟固定术,ren'gong'jing'ti'jie'zhuang'gou'gu'ding'shu
人工晶体取出术,ren'gong'jing'ti'qu'chu'shu
人工晶体置换术,ren'gong'jing'ti'zhi'huan'shu
人工流产术,ren'gong'liu'chan'shu
人工破膜术,ren'gong'po'mo'shu
人工气腹术,ren'gong'qi'fu'shu
人工气胸术,ren'gong'qi'xiong'shu
人工全肩关节置换术,ren'gong'quan'jian'guan'jie'zhi'huan'shu
人工全髋关节置换术,ren'gong'quan'kuan'guan'jie'zhi'huan'shu
人工桡骨头月骨置换术,ren'gong'rao'gu'tou'yue'gu'zhi'huan'shu
人工听骨听力重建术,ren'gong'ting'gu'ting'li'chong'jian'shu
人工腕关节置换术,ren'gong'wan'guan'jie'zhi'huan'shu
人工膝关节表面置换术,ren'gong'xi'guan'jie'biao'mian'zhi'huan'shu
人工膝关节绞链式置换术,ren'gong'xi'guan'jie'jiao'lian'shi'zhi'huan'shu
人工肘关节置换术,ren'gong'zhou'guan'jie'zhi'huan'shu
人工椎间盘植入术,ren'gong'zhui'jian'pan'zhi'ru'shu
人轮状病毒抗原测定,ren'lun'zhuang'bing'du'kang'yuan'ce'ding
人绒毛膜促性腺激素兴奋试验,ren'rong'mao'mo'cu'xing'xian'ji'su'xing'fen'shi'yan
人体残伤测定,ren'ti'can'shang'ce'ding
任意皮瓣形成术,ren'yi'pi'ban'xing'cheng'shu
认知知觉功能检查,ren'zhi'zhi'jue'gong'neng'jian'cha
