啊公平,a'gong'ping
南坪,nan'ping
南坪的,nan'ping'de
南坪店,nan'ping'dian
南坪东路,nan'ping'dong'lu
南平了,nan'ping'le
南坪西路,nan'ping'xi'lu
南坪镇,nan'ping'zhen
南坪中学,nan'ping'zhong'xue
南桥是,nan'qiao'shi
南桥寺,nan'qiao'si
南桥头,nan'qiao'tou
南区路,nan'qu'lu
南区路口,nan'qu'lu'kou
南泉,nan'quan
南山道,nan'shan'dao
南天湖,nan'tian'hu
南桐,nan'tong
男娃儿,nan'wa'er
南温泉,nan'wen'quan
楠园,nan'yuan
囊改,nang'gai
囊个,nang'ge
囊个啊,nang'ge'a
囊个办,nang'ge'ban
囊个不,nang'ge'bu
囊个的,nang'ge'de
囊个多,nang'ge'duo
囊个会,nang'ge'hui
囊个回事,nang'ge'hui'shi
囊个可能,nang'ge'ke'neng
囊个啦,nang'ge'la
囊个老,nang'ge'lao
囊个了,nang'ge'le
囊个了嘛,nang'ge'le'ma
囊个嘛,nang'ge'ma
囊个那,nang'ge'na
囊个呢,nang'ge'ne
囊个时候,nang'ge'shi'hou
囊个耍,nang'ge'shua
囊个说,nang'ge'shuo
囊个呀,nang'ge'ya
囊个样,nang'ge'yang
囊个也,nang'ge'ye
囊个做,nang'ge'zuo
囊给,nang'gei
囊够,nang'gou
囊凯,nang'kai
恼不恼火,nao'bu'nao'huo
闹得很,nao'de'hen
脑花,nao'hua
恼火,nao'huo
恼火不,nao'huo'bu
恼火得,nao'huo'de
恼火得很,nao'huo'de'hen
恼火了,nao'huo'le
恼火呀,nao'huo'ya
恼火哟,nao'huo'yo
脑壳,nao'ke
脑壳大,nao'ke'da
脑壳都,nao'ke'dou
脑壳儿,nao'ke'er
脑壳过,nao'ke'guo
脑壳昏,nao'ke'hun
脑壳痛,nao'ke'tong
脑壳头,nao'ke'tou
脑壳有,nao'ke'you
脑壳有包,nao'ke'you'bao
脑壳有屎,nao'ke'you'shi
闹麻了,nao'ma'le
闹毛,nao'mao
闹毛了,nao'mao'le
闹热,nao're
内哈,nei'ha
内伙子,nei'huo'zi
嫩边,nen'bian
嫩个,nen'ge
嫩个暗,nen'ge'an
嫩个丑,nen'ge'chou
嫩个大,nen'ge'da
嫩个的,nen'ge'de
嫩个多,nen'ge'duo
嫩个多年,nen'ge'duo'nian
嫩个多人,nen'ge'duo'ren
嫩个高,nen'ge'gao
嫩个乖,nen'ge'guai
嫩个贵,nen'ge'gui
嫩个好,nen'ge'hao
嫩个近,nen'ge'jin
嫩个久,nen'ge'jiu
嫩个久了,nen'ge'jiu'le
嫩个快,nen'ge'kuai
嫩个了,nen'ge'le
嫩个累,nen'ge'lei
嫩个冷,nen'ge'leng
嫩个嘛,nen'ge'ma
嫩个慢,nen'ge'man
嫩个忙,nen'ge'mang
嫩个热,nen'ge're
嫩个说,nen'ge'shuo
嫩个说的,nen'ge'shuo'de
嫩个所,nen'ge'suo
嫩个晚,nen'ge'wan
嫩个晚了,nen'ge'wan'le
嫩个想,nen'ge'xiang
嫩个想的,nen'ge'xiang'de
嫩个小,nen'ge'xiao
嫩个凶,nen'ge'xiong
嫩个要,nen'ge'yao
嫩个远,nen'ge'yuan
嫩个早,nen'ge'zao
嫩够,nen'gou
嫩哈,nen'ha
嫩几天,nen'ji'tian
嫩凯,nen'kai
恁是,nen'shi
恁种,nen'zhong
能个,neng'ge
你哎,ni'ai
你安逸,ni'an'yi
泥磅,ni'bang
你帮我看哈,ni'bang'wo'kan'ha
你帮我问哈,ni'bang'wo'wen'ha
你边边,ni'bian'bian
你不安逸,ni'bu'an'yi
你不得了,ni'bu'de'liao
你不得行,ni'bu'de'xing
你不耿直,ni'bu'geng'zhi
你不好耍,ni'bu'hao'shua
你不看哈,ni'bu'kan'ha
你不嘛,ni'bu'ma
你不耍,ni'bu'shua
你不晓得,ni'bu'xiao'de
你不晓得呀,ni'bu'xiao'de'ya
你不要给我说,ni'bu'yao'gei'wo'shuo
你不要慌,ni'bu'yao'huang
你不要楞个,ni'bu'yao'leng'ge
你不要嫩个,ni'bu'yao'nen'ge
你不遭,ni'bu'zao
你才哈,ni'cai'ha
你猜撒,ni'cai'sa
你猜也,ni'cai'ye
你吃不嘛,ni'chi'bu'ma
你吃饭没的,ni'chi'fan'mei'de
你吃了没的,ni'chi'le'mei'de
你吃没的,ni'chi'mei'de
你吃怕,ni'chi'pa
你吃撒子,ni'chi'sa'zi
你吃啥子,ni'chi'sha'zi
你重庆,ni'chong'qing
你出来不嘛,ni'chu'lai'bu'ma
你出来耍,ni'chu'lai'shua
你出去耍,ni'chu'qu'shua
你穿起,ni'chuan'qi
你打嘛,ni'da'ma
你打撒,ni'da'sa
你带干嘛,ni'dai'gan'ma
你带那点,ni'dai'na'dian
你带哪儿,ni'dai'na'er
你带哪哈,ni'dai'na'ha
你带哪里,ni'dai'na'li
你带起,ni'dai'qi
你带爪子,ni'dai'zhua'zi
你到重庆,ni'dao'chong'qing
你到没得,ni'dao'mei'de
你得得,ni'de'de
你的撒,ni'de'sa
你得行,ni'de'xing
你的哟,ni'de'yo
你等到嘛,ni'deng'dao'ma
你等哈哈,ni'deng'ha'ha
你等嘛,ni'deng'ma
你弟娃,ni'di'wa
你点都,ni'dian'dou
你点都不,ni'dian'dou'bu
你电话好多,ni'dian'hua'hao'duo
你电话是好多,ni'dian'hua'shi'hao'duo
你懂都不懂,ni'dong'dou'bu'dong
你懂怕,ni'dong'pa
你懂撒,ni'dong'sa
你懂完了,ni'dong'wan'le
你斗,ni'dou
你都不的,ni'dou'bu'de
你都嘛,ni'dou'ma
你都没得,ni'dou'mei'de
你斗是,ni'dou'shi
你斗说,ni'dou'shuo
你都晓得,ni'dou'xiao'de
你多久睡,ni'duo'jiu'shui
你嗯是,ni'en'shi
你儿不,ni'er'bu
你而不是,ni'er'bu'shi
你烦得很,ni'fan'de'hen
你放心嘛,ni'fang'xin'ma
你干撒子,ni'gan'sa'zi
你干啥子,ni'gan'sha'zi
你搞快点,ni'gao'kuai'dian
你搞忘,ni'gao'wang
你搞忘了,ni'gao'wang'le
你各,ni'ge
你个龟儿,ni'ge'gui'er
你个哈儿,ni'ge'ha'er
你个老子,ni'ge'lao'zi
你个嘛,ni'ge'ma
你个人,ni'ge'ren
你个人看,ni'ge'ren'kan
你个人去,ni'ge'ren'qu
你个人说,ni'ge'ren'shuo
你个人说的,ni'ge'ren'shuo'de
你给别个,ni'gei'bie'ge
你给我记到,ni'gei'wo'ji'dao
你给我说哈,ni'gei'wo'shuo'ha
你给我说嘛,ni'gei'wo'shuo'ma
你跟到,ni'gen'dao
你耿直,ni'geng'zhi
你够了哈,ni'gou'le'ha
你乖些,ni'guai'xie
你龟儿,ni'gui'er
你滚嘛,ni'gun'ma
你过来不嘛,ni'guo'lai'bu'ma
你过来撒,ni'guo'lai'sa
你过来耍,ni'guo'lai'shua
你国人,ni'guo'ren
你国人说,ni'guo'ren'shuo
你过生,ni'guo'sheng
你哈的,ni'ha'de
你哈儿,ni'ha'er
你哈了,ni'ha'le
你还安逸,ni'hai'an'yi
你还不是可以,ni'hai'bu'shi'ke'yi
你还不是没睡,ni'hai'bu'shi'mei'shui
你还不晓得,ni'hai'bu'xiao'de
你还喊我,ni'hai'han'wo
你还好耍,ni'hai'hao'shua
你还记得到,ni'hai'ji'de'dao
你还快也,ni'hai'kuai'ye
你还耍,ni'hai'shua
你还有好多,ni'hai'you'hao'duo
你还有好久,ni'hai'you'hao'jiu
你还有没得,ni'hai'you'mei'de
你还在耍,ni'hai'zai'shua
你喊嘛,ni'han'ma
你好安逸,ni'hao'an'yi
你好扯,ni'hao'che
你好大,ni'hao'da
你好大了,ni'hao'da'le
你好大嘛,ni'hao'da'ma
你好大哟,ni'hao'da'yo
你好多分,ni'hao'duo'fen
你好多号,ni'hao'duo'hao
你好多级,ni'hao'duo'ji
你好多斤,ni'hao'duo'jin
你好多嘛,ni'hao'duo'ma
你好多岁,ni'hao'duo'sui
你好多岁了,ni'hao'duo'sui'le
你好多钟,ni'hao'duo'zhong
你好发了,ni'hao'fa'le
你好久,ni'hao'jiu
你好久吃饭,ni'hao'jiu'chi'fan
你好久出来,ni'hao'jiu'chu'lai
你好久出门,ni'hao'jiu'chu'men
你好就到,ni'hao'jiu'dao
你好久过来,ni'hao'jiu'guo'lai
你好久回来,ni'hao'jiu'hui'lai
你好久回来啊,ni'hao'jiu'hui'lai'a
你好久回来嘛,ni'hao'jiu'hui'lai'ma
你好就回去,ni'hao'jiu'hui'qu
你好就来,ni'hao'jiu'lai
你好久来嘛,ni'hao'jiu'lai'ma
你好就去,ni'hao'jiu'qu
你好久去学校,ni'hao'jiu'qu'xue'xiao
你好久上班,ni'hao'jiu'shang'ban
你好久上来,ni'hao'jiu'shang'lai
你好就睡,ni'hao'jiu'shui
你好久睡觉,ni'hao'jiu'shui'jiao
你好久下班,ni'hao'jiu'xia'ban
你好久休息,ni'hao'jiu'xiu'xi
你好就要,ni'hao'jiu'yao
你好久有空,ni'hao'jiu'you'kong
你好久有时间,ni'hao'jiu'you'shi'jian
你好久走,ni'hao'jiu'zou
你好没得,ni'hao'mei'de
你好撒子,ni'hao'sa'zi
你好些,ni'hao'xie
你好造孽,ni'hao'zao'nie
你喝麻,ni'he'ma
你喝麻了,ni'he'ma'le
你嘿,ni'hei
你黑烦,ni'hei'fan
你后头,ni'hou'tou
你回重庆,ni'hui'chong'qing
你回来没得,ni'hui'lai'mei'de
你回切,ni'hui'qie
你回去没得,ni'hui'qu'mei'de
你豁,ni'huo
你豁我,ni'huo'wo
你记不到,ni'ji'bu'dao
你记到,ni'ji'dao
你记得到,ni'ji'de'dao
你几爷子,ni'ji'ye'zi
你加起,ni'jia'qi
你叫撒子,ni'jiao'sa'zi
你叫啥子,ni'jiao'sha'zi
你紧到,ni'jin'dao
你决,ni'jue
你觉得呀,ni'jue'de'ya
你觉得也,ni'jue'de'ye
你看别个,ni'kan'bie'ge
你看到没得,ni'kan'dao'mei'de
你看哈,ni'kan'ha
你看好久,ni'kan'hao'jiu
你看了的,ni'kan'le'de
你看嘛,ni'kan'ma
你看没得,ni'kan'mei'de
你看你嘛,ni'kan'ni'ma
你看起,ni'kan'qi
你看撒,ni'kan'sa
你看撒子,ni'kan'sa'zi
你考起,ni'kao'qi
你瞌睡来了,ni'ke'shui'lai'le
你快睡嘛,ni'kuai'shui'ma
你来不到,ni'lai'bu'dao
你来不来嘛,ni'lai'bu'lai'ma
你来不来那,ni'lai'bu'lai'na
你来不嘛,ni'lai'bu'ma
你来不那,ni'lai'bu'na
你来重庆,ni'lai'chong'qing
你来得到,ni'lai'de'dao
你来没得,ni'lai'mei'de
你来赛,ni'lai'sai
你来耍,ni'lai'shua
你啷个,ni'lang'ge
你啷个老,ni'lang'ge'lao
你啷个了,ni'lang'ge'le
你啷个晓得,ni'lang'ge'xiao'de
你老汉,ni'lao'han
你勒个,ni'le'ge
你嘞个,ni'le'ge
你了撒,ni'le'sa
你勒些,ni'le'xie
你嘞些,ni'le'xie
你了哟,ni'le'yo
你勒种,ni'le'zhong
你楞个,ni'leng'ge
你愣是,ni'leng'shi
你妈老汉,ni'ma'lao'han
你妈妈爸爸,ni'ma'ma'ba'ba
你妈卖,ni'ma'mai
你妈卖批,ni'ma'mai'pi
你妈也,ni'ma'ye
你妈哟,ni'ma'yo
你买成,ni'mai'cheng
你买没得,ni'mai'mei'de
你买起,ni'mai'qi
你慢慢耍,ni'man'man'shua
你忙不嘛,ni'mang'bu'ma
你忙嘛,ni'mang'ma
你冒火,ni'mao'huo
你没得,ni'mei'de
你没得事,ni'mei'de'shi
你妹儿,ni'mei'er
你没耍,ni'mei'shua
你妹也,ni'mei'ye
你没遭,ni'mei'zao
你们安逸,ni'men'an'yi
你们不晓得,ni'men'bu'xiao'de
你们还有好久,ni'men'hai'you'hao'jiu
你们好久,ni'men'hao'jiu
你们好久放假,ni'men'hao'jiu'fang'jia
你们好久开学,ni'men'hao'jiu'kai'xue
你们好久去,ni'men'hao'jiu'qu
你们姐姐,ni'men'jie'jie
你们啷个,ni'men'lang'ge
你们老公,ni'men'lao'gong
你们没得,ni'men'mei'de
你们那点,ni'men'na'dian
你们哪些,ni'men'na'xie
你们去嘛,ni'men'qu'ma
你们耍,ni'men'shua
你们屋头,ni'men'wu'tou
你们晓得,ni'men'xiao'de
你们一路,ni'men'yi'lu
你梦嘛,ni'meng'ma
你乜,ni'mie
你莫管,ni'mo'guan
你莫来,ni'mo'lai
你莫怕,ni'mo'pa
你莫去,ni'mo'qu
你莫是,ni'mo'shi
你莫说,ni'mo'shuo
你那点的,ni'na'dian'de
你哪个嘛,ni'na'ge'ma
你哪个哟,ni'na'ge'yo
你哪阵,ni'na'zhen
你囊个,ni'nang'ge
你囊个晓得,ni'nang'ge'xiao'de
你嫩个,ni'nen'ge
你嫩是,ni'nen'shi
你爬嘛,ni'pa'ma
你爬爬爬,ni'pa'pa'pa
你怕撒子,ni'pa'sa'zi
你怕啥子,ni'pa'sha'zi
你爬哟,ni'pa'yo
你凭啥子,ni'ping'sha'zi
你婆子妈,ni'po'zi'ma
你起来没的,ni'qi'lai'mei'de
你去不到,ni'qu'bu'dao
你去不嘛,ni'qu'bu'ma
你去不那,ni'qu'bu'na
你去不去嘛,ni'qu'bu'qu'ma
你去吃嘛,ni'qu'chi'ma
你去重庆,ni'qu'chong'qing
你去看哈,ni'qu'kan'ha
你去看嘛,ni'qu'kan'ma
你去看撒,ni'qu'kan'sa
你去了的,ni'qu'le'de
你去嘛,ni'qu'ma
你去没得,ni'qu'mei'de
你去哪点,ni'qu'na'dian
你去怕,ni'qu'pa
你去撒,ni'qu'sa
你去耍,ni'qu'shua
你去睡嘛,ni'qu'shui'ma
你去死嘛,ni'qu'si'ma
你去问哈,ni'qu'wen'ha
你认不到,ni'ren'bu'dao
你认不到我,ni'ren'bu'dao'wo
你认不认得到,ni'ren'bu'ren'de'dao
你认得到,ni'ren'de'dao
你人也,ni'ren'ye
你日白,ni'ri'bai
你日妈,ni'ri'ma
你卅,ni'sa
你撒子,ni'sa'zi
你撒子意思,ni'sa'zi'yi'si
你啥子意思,ni'sha'zi'yi'si
你是不是嘛,ni'shi'bu'shi'ma
你是不晓得,ni'shi'bu'xiao'de
你是重庆,ni'shi'chong'qing
你是好久,ni'shi'hao'jiu
你是几,ni'shi'ji
你是啷个,ni'shi'lang'ge
你是哪个嘛,ni'shi'na'ge'ma
你是哪个哦,ni'shi'na'ge'o
你是哪个哟,ni'shi'na'ge'yo
你是撒子,ni'shi'sa'zi
你是是,ni'shi'shi
你耍不耍,ni'shua'bu'shua
你耍到,ni'shua'dao
你耍的,ni'shua'de
你耍过,ni'shua'guo
你耍哈,ni'shua'ha
你耍好,ni'shua'hao
你耍了,ni'shua'le
你耍嘛,ni'shua'ma
你耍朋友,ni'shua'peng'you
你耍朋友了,ni'shua'peng'you'le
你耍起,ni'shua'qi
你耍游戏,ni'shua'you'xi
你睡觉嘛,ni'shui'jiao'ma
你睡嘛,ni'shui'ma
你睡没得,ni'shui'mei'de
你睡撒,ni'shui'sa
你说哎,ni'shuo'ai
你说诶,ni'shuo'ei
你说好久,ni'shuo'hao'jiu
你说啷个,ni'shuo'lang'ge
你说了的,ni'shuo'le'de
你说了来,ni'shuo'le'lai
你说没得,ni'shuo'mei'de
你说起,ni'shuo'qi
你说撒子,ni'shuo'sa'zi
你说塞,ni'shuo'sai
你说是不是嘛,ni'shuo'shi'bu'shi'ma
你说也,ni'shuo'ye
你算哈,ni'suan'ha
你堂客,ni'tang'ke
你躺起,ni'tang'qi
你听得到不,ni'ting'de'dao'bu
你娃,ni'wa
你娃儿,ni'wa'er
你完都完了,ni'wan'dou'wan'le
你完全是,ni'wan'quan'shi
你为啷个,ni'wei'lang'ge
你为撒子,ni'wei'sa'zi
你为啥子,ni'wei'sha'zi
你问哈,ni'wen'ha
你问了的,ni'wen'le'de
你问没得,ni'wen'mei'de
你问撒,ni'wen'sa
你问他嘛,ni'wen'ta'ma
你问他撒,ni'wen'ta'sa
你屋头,ni'wu'tou
你喜欢不嘛,ni'xi'huan'bu'ma
你下嘛,ni'xia'ma
你先耍,ni'xian'shua
你想吃撒子,ni'xiang'chi'sa'zi
你想吃啥子,ni'xiang'chi'sha'zi
你想干撒子,ni'xiang'gan'sa'zi
你想干啥子,ni'xiang'gan'sha'zi
你想哈,ni'xiang'ha
你想好久,ni'xiang'hao'jiu
你想啷个,ni'xiang'lang'ge
你想嘛,ni'xiang'ma
你想囊个,ni'xiang'nang'ge
你想耍,ni'xiang'shua
你想说撒子,ni'xiang'shuo'sa'zi
你想说啥子,ni'xiang'shuo'sha'zi
你想晓得,ni'xiang'xiao'de
你想遭,ni'xiang'zao
你晓不得,ni'xiao'bu'de
你晓不晓得,ni'xiao'bu'xiao'de
你晓得,ni'xiao'de
你晓得不,ni'xiao'de'bu
你晓得了,ni'xiao'de'le
你晓得撒,ni'xiao'de'sa
你晓得我,ni'xiao'de'wo
你笑撒子,ni'xiao'sa'zi
你笑啥子,ni'xiao'sha'zi
你信不嘛,ni'xin'bu'ma
你心头,ni'xin'tou
你凶些,ni'xiong'xie
你选嘛,ni'xuan'ma
你幺爸,ni'yao'ba
你要不嘛,ni'yao'bu'ma
你要不要嘛,ni'yao'bu'yao'ma
你要吃撒子,ni'yao'chi'sa'zi
你要吃啥子,ni'yao'chi'sha'zi
你幺儿,ni'yao'er
你要干撒子,ni'yao'gan'sa'zi
你要干啥子,ni'yao'gan'sha'zi
你要好多,ni'yao'hao'duo
你要记到,ni'yao'ji'dao
你要啷个,ni'yao'lang'ge
你要囊个,ni'yao'nang'ge
你要撒子,ni'yao'sa'zi
你要啥子,ni'yao'sha'zi
你要耍,ni'yao'shua
你要遭,ni'yao'zao
你要爪子,ni'yao'zhua'zi
你要做撒子,ni'yao'zuo'sa'zi
你要做啥子,ni'yao'zuo'sha'zi
你也不的,ni'ye'bu'de
你也来撒,ni'ye'lai'sa
你也莫,ni'ye'mo
你也耍,ni'ye'shua
你也晓得,ni'ye'xiao'de
你也早点睡嘛,ni'ye'zao'dian'shui'ma
你一天在,ni'yi'tian'zai
你淫了,ni'yin'le
你赢老,ni'ying'lao
你又不是不晓得,ni'you'bu'shi'bu'xiao'de
你又不晓得,ni'you'bu'xiao'de
你有不有,ni'you'bu'you
你有好高,ni'you'hao'gao
你有空没得,ni'you'kong'mei'de
你又啷个,ni'you'lang'ge
你有没得,ni'you'mei'de
你又认不到,ni'you'ren'bu'dao
你有撒子,ni'you'sa'zi
你有啥子,ni'you'sha'zi
你又晓得,ni'you'xiao'de
你又晓得了,ni'you'xiao'de'le
你又遭,ni'you'zao
你鱼头,ni'yu'tou
你在北碚,ni'zai'bei'bei
你在重庆,ni'zai'chong'qing
你崽儿,ni'zai'er
你在涪陵,ni'zai'fu'ling
你在干哈子,ni'zai'gan'ha'zi
你在干嘛哟,ni'zai'gan'ma'yo
你在干撒子,ni'zai'gan'sa'zi
你在干撒子嘛,ni'zai'gan'sa'zi'ma
你在干撒子哟,ni'zai'gan'sa'zi'yo
你在干啥子,ni'zai'gan'sha'zi
你在干啥子嘛,ni'zai'gan'sha'zi'ma
你在干啥子哦,ni'zai'gan'sha'zi'o
你在干什么嘛,ni'zai'gan'shen'me'ma
你在观音桥,ni'zai'guan'yin'qiao
你在合川,ni'zai'he'chuan
你在江北,ni'zai'jiang'bei
你在解放碑,ni'zai'jie'fang'bei
你在看撒子,ni'zai'kan'sa'zi
你在看啥子,ni'zai'kan'sha'zi
你在忙啥子,ni'zai'mang'sha'zi
你在哪点的,ni'zai'na'dian'de
你在哪点嘛,ni'zai'na'dian'ma
你在哪儿的,ni'zai'na'er'de
你在哪哈,ni'zai'na'ha
你在哪里的嘛,ni'zai'na'li'de'ma
你在哪里嘛,ni'zai'na'li'ma
你在哪里那,ni'zai'na'li'na
你在哪里耍,ni'zai'na'li'shua
你在哪里哇,ni'zai'na'li'wa
你在哪里我,ni'zai'na'li'wo
你在哪里哟,ni'zai'na'li'yo
你在哪哟,ni'zai'na'yo
你在南平,ni'zai'nan'ping
你在撒子,ni'zai'sa'zi
你在撒子嘛,ni'zai'sa'zi'ma
你在沙坪坝,ni'zai'sha'ping'ba
你在啥子,ni'zai'sha'zi
你在啥子嘛,ni'zai'sha'zi'ma
你在耍,ni'zai'shua
你在耍游戏,ni'zai'shua'you'xi
你再说撒子,ni'zai'shuo'sa'zi
你在说些,ni'zai'shuo'xie
你在所,ni'zai'suo
你在万州,ni'zai'wan'zhou
你在屋头,ni'zai'wu'tou
你在杨家坪,ni'zai'yang'jia'ping
你在永川,ni'zai'yong'chuan
你在咋子嘛,ni'zai'za'zi'ma
你在爪子嘛,ni'zai'zhua'zi'ma
你在做撒子,ni'zai'zuo'sa'zi
你在做撒子嘛,ni'zai'zuo'sa'zi'ma
你在做啥子,ni'zai'zuo'sha'zi
你在做啥子嘛,ni'zai'zuo'sha'zi'ma
你遭不住,ni'zao'bu'zhu
你遭得住,ni'zao'de'zhu
你早点睡嘛,ni'zao'dian'shui'ma
你遭了,ni'zao'le
你找得到不,ni'zhao'de'dao'bu
你只晓得,ni'zhi'xiao'de
你住读,ni'zhu'du
你准备好久,ni'zhun'bei'hao'jiu
你自己耍,ni'zi'ji'shua
你走没得,ni'zou'mei'de
你走哪里,ni'zou'na'li
你走哪去,ni'zou'na'qu
你做没有,ni'zuo'mei'you
你做撒子,ni'zuo'sa'zi
你做啥子,ni'zuo'sha'zi
嬢嬢,niang'niang
捏哈,nie'ha
牛背山,niu'bei'shan
扭到费,niu'dao'fei
扭到你,niu'dao'ni
扭到我,niu'dao'wo
牛角沱,niu'jiao'tuo
牛日的,niu'ri'de
农坝,nong'ba
弄不赢,nong'bu'ying
弄不在,nong'bu'zai
农村商业银行,nong'cun'shang'ye'yin'hang
弄饭,nong'fan
弄饭饭,nong'fan'fan
弄饭了,nong'fan'le
弄饭去了,nong'fan'qu'le
弄个多,nong'ge'duo
弄好没得,nong'hao'mei'de
弄老,nong'lao
弄了的,nong'le'de
农门阵,nong'men'zhen
弄起,nong'qi
弄撒子,nong'sa'zi
农业园区,nong'ye'yuan'qu
农转非,nong'zhuan'fei
女的撒,nv'de'sa
女人广场,nv'ren'guang'chang
女娃额,nv'wa'e
女娃儿,nv'wa'er
女职,nv'zhi
女职中,nv'zhi'zhong
女子医院,nv'zi'yi'yuan
哦多克,o'duo'ke
哦豁,o'huo
欧碧倩,ou'bi'qian
呕到了,ou'dao'le
偶或,ou'huo
欧鹏,ou'peng
呕人,ou'ren
欧瑞,ou'rui
欧缘,ou'yuan
怕别个,pa'bie'ge
怕不得,pa'bu'de
怕锤子,pa'chui'zi
怕得很,pa'de'hen
耙耳朵,pa'er'duo
怕还是,pa'hai'shi
趴活,pa'huo
爬开点,pa'kai'dian
爬开些,pa'kai'xie
爬嘛你,pa'ma'ni
爬南山,pa'nan'shan
爬你妈,pa'ni'ma
爬你妈的,pa'ni'ma'de
爬爬爬,pa'pa'pa
爬爬爬爬,pa'pa'pa'pa
爬爬爬爬爬,pa'pa'pa'pa'pa
爬爬虾,pa'pa'xia
怕怕一,pa'pa'yi
爬坡上坎,pa'po'shang'kan
趴起,pa'qi
怕撒子,pa'sa'zi
怕啥子,pa'sha'zi
怕啥子嘛,pa'sha'zi'ma
爬喔,pa'wo
怕笑,pa'xiao
爬哟,pa'yo
爬远点,pa'yuan'dian
帕子,pa'zi
排轮子,pai'lun'zi
排起队,pai'qi'dui
牌钱,pai'qian
派斯,pai'si
蟠龙,pan'long
盘溪,pan'xi
胖妹,pang'mei
胖妹儿,pang'mei'er
胖娃,pang'wa
胖娃儿,pang'wa'er
胖子妈,pang'zi'ma
跑不落,pao'bu'luo
跑不脱,pao'bu'tuo
跑得脱,pao'de'tuo
袍哥,pao'ge
炮机,pao'ji
泡姜,pao'jiang
泡椒肉丝,pao'jiao'rou'si
泡妹儿,pao'mei'er
跑摩,pao'mo
跑起去,pao'qi'qu
跑撒子,pao'sa'zi
陪都,pei'du
陪哈,pei'ha
陪你撒,pei'ni'sa
陪你耍,pei'ni'shua
陪耍,pei'shua
陪娃儿,pei'wa'er
陪我耍,pei'wo'shua
配砖,pei'zhuan
彭景,peng'jing
彭水,peng'shui
彭水县,peng'shui'xian
鹏业,peng'ye
朋友过生,peng'you'guo'sheng
朋友没得,peng'you'mei'de
朋友撒,peng'you'sa
朋友耍,peng'you'shua
皮蛋汤,pi'dan'tang
屁的个,pi'de'ge
屁儿虫,pi'er'chong
屁儿痒,pi'er'yang
批哥,pi'ge
批哈儿,pi'ha'er
批话,pi'hua
批话多,pi'hua'duo
批跨,pi'kua
皮款,pi'kuan
枇杷坪,pi'pa'ping
枇杷山,pi'pa'shan
批娃儿,pi'wa'er
批娃娃,pi'wa'wa
屁眼虫,pi'yan'chong
屁哟,pi'yo
屁渣,pi'zha
片块,pian'kuai
偏岩,pian'yan
飘儿白,piao'er'bai
撇得,pie'de
撇得很,pie'de'hen
撇点,pie'dian
撇火药,pie'huo'yao
撇托,pie'tuo
坪坝,ping'ba
平场,ping'chang
平都,ping'dou
苹果城,ping'guo'cheng
平火,ping'huo
平基,ping'ji
平街,ping'jie
平凯,ping'kai
平桥,ping'qiao
凭撒子,ping'sa'zi
凭啥子,ping'sha'zi
平滩,ping'tan
平伟,ping'wei
婆烦,po'fan
婆婆妈,po'po'ma
婆婆爷爷,po'po'ye'ye
婆子妈,po'zi'ma
铺盖,pu'gai
铺盖面,pu'gai'mian
铺盖窝,pu'gai'wo
噗汗,pu'han
蒲老师,pu'lao'shi
普什,pu'shen
普顺,pu'shun
菩提山,pu'ti'shan
蒲伟,pu'wei
汽博,qi'bo
汽博中心,qi'bo'zhong'xin
气惨,qi'can
气惨了,qi'can'le
起吃,qi'chi
起床没的,qi'chuang'mei'de
气大,qi'da
期饭,qi'fan
气费,qi'fei
七公里,qi'gong'li
七季城,qi'ji'cheng
七间,qi'jian
綦江,qi'jiang
綦江的,qi'jiang'de
綦江了,qi'jiang'le
綦江区,qi'jiang'qu
綦江县,qi'jiang'xian
起来不到,qi'lai'bu'dao
起来不到了,qi'lai'bu'dao'le
起来得,qi'lai'de
起来得到,qi'lai'de'dao
起来的了,qi'lai'de'le
起来老,qi'lai'lao
起来了所,qi'lai'le'suo
起来没的,qi'lai'mei'de
起来撒,qi'lai'sa
起来耍,qi'lai'shua
起来哟,qi'lai'yo
骑龙山庄,qi'long'shan'zhuang
起没得,qi'mei'de
汽摩,qi'mo
琦品,qi'pin
齐齐火锅,qi'qi'huo'guo
起去,qi'qu
气人得很,qi'ren'de'hen
七十二行,qi'shi'er'hang
起耍,qi'shua
其他的好,qi'ta'de'hao
其他的好的,qi'ta'de'hao'de
其他几天,qi'ta'ji'tian
七校合一,qi'xiao'he'yi
七星岗,qi'xing'gang
汽研院,qi'yan'yuan
起哟,qi'yo
七支队,qi'zhi'dui
钱都没得,qian'dou'mei'de
千翻,qian'fan
千极,qian'ji
黔江,qian'jiang
黔江区,qian'jiang'qu
黔龙,qian'long
钱没得,qian'mei'de
前面个,qian'mian'ge
欠起,qian'qi
钱撒,qian'sa
乾撒子,qian'sa'zi
钱塘,qian'tang
千野,qian'ye
千野草场,qian'ye'cao'chang
钱哟,qian'yo
钳鱼,qian'yu
黔中,qian'zhong
呛炒,qiang'chao
桥都,qiao'dou
桥河,qiao'he
桥南村,qiao'nan'cun
悄悄咪咪,qiao'qiao'mi'mi
切吃,qie'chi
切啥子,qie'sha'zi
切耍,qie'shua
切哟,qie'yo
茄子溪,qie'zi'xi
亲爱哩,qin'ai'li
亲爱捏,qin'ai'nie
覃家岗,qin'jia'gang
沁园,qin'yuan
清北班,qing'bei'ban
清鼻子,qing'bi'zi
