阿而胜之,a'er'sheng'zhi
民富而以亲,min'fu'er'yi'qin
民富且骄,min'fu'qie'jiao
民富则安乡重家,min'fu'ze'an'xiang'zhong'jia
民富则易治也,min'fu'ze'yi'zhi'ye
民归乐之,min'gui'le'zhi
民和辑则功名立矣,min'he'ji'ze'gong'ming'li'yi
民怀之,min'huai'zhi
民荒无苛人,min'huang'wu'ke'ren
民疾疫,min'ji'yi
民饥者不可以使战,min'ji'zhe'bu'ke'yi'shi'zhan
民贱其爵服,min'jian'qi'jue'fu
民简赏,min'jian'shang
民皆操名而去之,min'jie'cao'ming'er'qu'zhi
民皆舍所好而行所恶,min'jie'she'suo'hao'er'xing'suo'e
民居定矣,min'ju'ding'yi
民苦殃,min'ku'yang
民厉,min'li
民力必竭,min'li'bi'jie
民力不可殚,min'li'bu'ke'dan
民力竭,min'li'jie
民流通则迂之,min'liu'tong'ze'yu'zhi
民乱,min'luan
民乱于内,min'luan'yu'nei
民美之,min'mei'zhi
民乃恐殆,min'nai'kong'dai
民乃知时日之蚤晏,min'nai'zhi'shi'ri'zhi'zao'yan
民乃自图,min'nai'zi'tu
民贫且罢,min'pin'qie'ba
民贫则奸智生,min'pin'ze'jian'zhi'sheng
民贫则难治也,min'pin'ze'nan'zhi'ye
民贫则危乡轻家,min'pin'ze'wei'xiang'qing'jia
民迫则窘,min'po'ze'jiong
民朴而亲,min'pu'er'qin
民轻其禄赏,min'qing'qi'lu'shang
民轻生,min'qing'sheng
民人操,min'ren'cao
民伤而身不危者,min'shang'er'shen'bu'wei'zhe
民生体,min'sheng'ti
民事农则田垦,min'shi'nong'ze'tian'ken
民失其二十五日,min'shi'qi'er'shi'wu'ri
民食什伍之谷,min'shi'shi'wu'zhi'gu
民受其辞则名声章,min'shou'qi'ci'ze'ming'sheng'zhang
民死信,min'si'xin
民所君也,min'suo'jun'ye
民体以为国,min'ti'yi'wei'guo
民偷处而不事积聚,min'tou'chu'er'bu'shi'ji'ju
民畏而惧,min'wei'er'ju
民未始变而是变,min'wei'shi'bian'er'shi'bian
民畏之,min'wei'zhi
民毋大过,min'wu'da'guo
民无犯禁,min'wu'fan'jin
民毋敢立私议自贵者,min'wu'gan'li'si'yi'zi'gui'zhe
民无廉耻,min'wu'lian'chi
民毋男女,min'wu'nan'nv
民无取,min'wu'qu
民无取也,min'wu'qu'ye
民无私说,min'wu'si'shuo
民无所游食则必农,min'wu'suo'you'shi'ze'bi'nong
民毋为自用,min'wu'wei'zi'yong
民无游日,min'wu'you'ri
民毋余积者,min'wu'yu'ji'zhe
民无愿者,min'wu'yuan'zhe
民毋重罪,min'wu'zhong'zui
民闲其治,min'xian'qi'zhi
民心不专一,min'xin'bu'zhuan'yi
民心可系于主,min'xin'ke'ji'yu'zhu
民心乃外,min'xin'nai'wai
民信其法则亲,min'xin'qi'fa'ze'qin
民心未吾安,min'xin'wei'wu'an
民心易则行无邪,min'xin'yi'ze'xing'wu'xie
民信之,min'xin'zhi
民性因而三族制也,min'xing'yin'er'san'zu'zhi'ye
民也,min'ye
民亦不忧,min'yi'bu'you
民以法与吏相距,min'yi'fa'yu'li'xiang'ju
民已聚而散,min'yi'ju'er'san
民已侵夺,min'yi'qin'duo
民亦务本而去末,min'yi'wu'ben'er'qu'mo
民役之,min'yi'zhi
民因以知,min'yin'yi'zhi
民用,min'yong
民有经产,min'you'jing'chan
民有利于上,min'you'li'yu'shang
民有三务,min'you'san'wu
民有善,min'you'shan
民犹是民也,min'you'shi'min'ye
民有疑惑贰豫之心而上不能匡,min'you'yi'huo'er'yu'zhi'xin'er'shang'bu'neng'kuang
民有余食,min'you'yu'shi
民欲生,min'yu'sheng
民欲佚,min'yu'yi
民者,min'zhe
民治,min'zhi
民之不牧者,min'zhi'bu'mu'zhe
民治财育,min'zhi'cai'yu
民之承教重于神宝,min'zhi'cheng'jiao'zhong'yu'shen'bao
民之仇雠也,min'zhi'chou'chou'ye
民之从利也,min'zhi'cong'li'ye
民之从有道也,min'zhi'cong'you'dao'ye
民知德矣,min'zhi'de'yi
民知而取之,min'zhi'er'qu'zhi
民之父母也,min'zhi'fu'mu'ye
民之观也察矣,min'zhi'guan'ye'cha'yi
民之经产也,min'zhi'jing'chan'ye
民知礼矣,min'zhi'li'yi
民之情莫不欲生而恶死,min'zhi'qing'mo'bu'yu'sheng'er'wu'si
民之去就,min'zhi'qu'jiu
民之生也,min'zhi'sheng'ye
民知事吏之无益,min'zhi'shi'li'zhi'wu'yi
民之所歌乐者,min'zhi'suo'ge'le'zhe
民之所归也,min'zhi'suo'gui'ye
民之所急,min'zhi'suo'ji
民之所利立之,min'zhi'suo'li'li'zhi
民之所悬命也,min'zhi'suo'xuan'ming'ye
民之所以,min'zhi'suo'yi
民之所以守战至死而不衰者,min'zhi'suo'yi'shou'zhan'zhi'si'er'bu'shuai'zhe
民之所愿也,min'zhi'suo'yuan'ye
民知务矣,min'zhi'wu'yi
民之兴善也如此,min'zhi'xing'shan'ye'ru'ci
民之修小礼,min'zhi'xiu'xiao'li
民知义矣,min'zhi'yi'yi
民之用力有倦,min'zhi'yong'li'you'juan
民之制于上,min'zhi'zhi'yu'shang
民众兵强,min'zhong'bing'qiang
民众而兵弱者,min'zhong'er'bing'ruo'zhe
民众而可一,min'zhong'er'ke'yi
民足财,min'zu'cai
民足于产,min'zu'yu'chan
民罪之,min'zui'zhi
民作一则田垦,min'zuo'yi'ze'tian'ken
明爱以亲之,ming'ai'yi'qin'zhi
名卑而国亏,ming'bei'er'guo'kui
明必胜,ming'bi'sheng
明必死之路,ming'bi'si'zhi'lu
明必死之路者,ming'bi'si'zhi'lu'zhe
明别则易治也,ming'bie'ze'yi'zhi'ye
名不两立,ming'bu'liang'li
明不能见也,ming'bu'neng'jian'ye
名成者亏,ming'cheng'zhe'kui
明大数者得人,ming'da'shu'zhe'de'ren
名当,ming'dang
明道以重告之,ming'dao'yi'zhong'gao'zhi
名断言泽,ming'duan'yan'ze
明而不蔽,ming'er'bu'bi
明而不蔽矣,ming'er'bu'bi'yi
明法,ming'fa
明法第四十六,ming'fa'di'si'shi'liu
明法解第六十七,ming'fa'jie'di'liu'shi'qi
明法审数,ming'fa'shen'shu
明法以期,ming'fa'yi'qi
明分任职,ming'fen'ren'zhi
明分以谕义之意也,ming'fen'yi'yu'yi'zhi'yi'ye
明分职而课功劳,ming'fen'zhi'er'ke'gong'lao
命妇,ming'fu
明厚德也,ming'hou'de'ye
明教顺以道之,ming'jiao'shun'yi'dao'zhi
名进而身退,ming'jin'er'shen'tui
明君不为六者变更号令,ming'jun'bu'wei'liu'zhe'bian'geng'hao'ling
明君不为亲戚危其社稷,ming'jun'bu'wei'qin'qi'wei'qi'she'ji
明君不以禄爵私所爱,ming'jun'bu'yi'lu'jue'si'suo'ai
明君公国一民以听于世,ming'jun'gong'guo'yi'min'yi'ting'yu'shi
明君能胜六攻而立三器,ming'jun'neng'sheng'liu'gong'er'li'san'qi
明君圣人亦不为一人枉其法,ming'jun'sheng'ren'yi'bu'wei'yi'ren'wang'qi'fa
明君也,ming'jun'ye
明君在上,ming'jun'zai'shang
明君在上位,ming'jun'zai'shang'wei
明君者,ming'jun'zhe
明君之道,ming'jun'zhi'dao
明君制宗庙,ming'jun'zhi'zong'miao
明立宠设,ming'li'chong'she
明理而胜敌,ming'li'er'sheng'di
明理义以道其主,ming'li'yi'yi'dao'qi'zhu
名满于天下,ming'man'yu'tian'xia
明名分,ming'ming'fen
冥冥乎不见其形,ming'ming'hu'bu'jian'qi'xing
明名章实,ming'ming'zhang'shi
明谋而适胜,ming'mou'er'shi'sheng
瞑目而视祝凫巳疪,ming'mu'er'shi'zhu'fu'si'bi
命乃长久,ming'nai'chang'jiu
明乃哲,ming'nai'zhe
明男女之别,ming'nan'nv'zhi'bie
明年,ming'nian
明其法式,ming'qi'fa'shi
明其君而贤其臣,ming'qi'jun'er'xian'qi'chen
明其刑而贱其士者殆,ming'qi'xing'er'jian'qi'shi'zhe'dai
明轻财而重名,ming'qing'cai'er'chong'ming
名卿请事,ming'qing'qing'shi
明然,ming'ran
明日,ming'ri
明日忘货,ming'ri'wang'huo
明三本,ming'san'ben
明赏不费明刑不暴,ming'shang'bu'fei'ming'xing'bu'bao
明审九章,ming'shen'jiu'zhang
名声广裕,ming'sheng'guang'yu
明圣也,ming'sheng'ye
名生于实,ming'sheng'yu'shi
名实当则治,ming'shi'dang'ze'zhi
名实相生,ming'shi'xiang'sheng
命属于食,ming'shu'yu'shi
命顺民之功力,ming'shun'min'zhi'gong'li
明王能胜其攻,ming'wang'neng'sheng'qi'gong
明王在上,ming'wang'zai'shang
明王之后也,ming'wang'zhi'hou'ye
明王知其然,ming'wang'zhi'qi'ran
明王之务,ming'wang'zhi'wu
明为下请厚赏,ming'wei'xia'qing'hou'shang
名物处,ming'wu'chu
明无私交,ming'wu'si'jiao
明宪法矣,ming'xian'fa'yi
明刑罚以致之,ming'xing'fa'yi'zhi'zhi
命行人内御,ming'xing'ren'nei'yu
命行人修春秋之礼于天下诸侯,ming'xing'ren'xiu'chun'qiu'zhi'li'yu'tian'xia'zhu'hou
明养生以解固,ming'yang'sheng'yi'jie'gu
名也,ming'ye
明也,ming'ye
名邑废邑困殖之地必尽知之,ming'yi'fei'yi'kun'zhi'zhi'di'bi'jin'zhi'zhi
明以风雨,ming'yi'feng'yu
明一人之行,ming'yi'ren'zhi'xing
名倚则乱,ming'yi'ze'luan
明一者皇,ming'yi'zhe'huang
明于分职,ming'yu'fen'zhi
明于器械之利,ming'yu'qi'xie'zhi'li
明于日月,ming'yu'ri'yue
明于治乱之道,ming'yu'zhi'luan'zhi'dao
命曰不长,ming'yue'bu'chang
命曰川水,ming'yue'chuan'shui
命曰夺柄,ming'yue'duo'bing
命曰复吕,ming'yue'fu'lv
命曰谷水,ming'yue'gu'shui
命曰经水,ming'yue'jing'shui
命曰人满,ming'yue'ren'man
命曰失位,ming'yue'shi'wei
命曰土满,ming'yue'tu'man
命曰武满,ming'yue'wu'man
命曰小兇,ming'yue'xiao'xiong
命曰渊水,ming'yue'yuan'shui
名曰啧室之议,ming'yue'ze'shi'zhi'yi
命曰枝水,ming'yue'zhi'shui
明则神矣,ming'ze'shen'yi
明诏期,ming'zhao'qi
名者,ming'zhe
明者察于事,ming'zhe'cha'yu'shi
明哲乃大行,ming'zhe'nai'da'xing
名正法备,ming'zheng'fa'bei
名正分明,ming'zheng'fen'ming
明正以治国,ming'zheng'yi'zhi'guo
名正则治,ming'zheng'ze'zhi
名之不章,ming'zhi'bu'zhang
明智礼,ming'zhi'li
明知千里之外,ming'zhi'qian'li'zhi'wai
名之为贵,ming'zhi'wei'gui
明之毋径,ming'zhi'wu'jing
名之鉉也,ming'zhi'xuan'ye
明之以察其生,ming'zhi'yi'cha'qi'sheng
命之曰暴,ming'zhi'yue'bao
命之曰不牧之民,ming'zhi'yue'bu'mu'zhi'min
命之曰道,ming'zhi'yue'dao
命之曰地均,ming'zhi'yue'di'jun
命之曰寄生之君,ming'zhi'yue'ji'sheng'zhi'jun
命之曰金城,ming'zhi'yue'jin'cheng
命之曰某乡,ming'zhi'yue'mou'xiang
命之曰泉英,ming'zhi'yue'quan'ying
命之曰三施,ming'zhi'yue'san'shi
名之曰三选,ming'zhi'yue'san'xuan
名之曰社,ming'zhi'yue'she
命之曰四施,ming'zhi'yue'si'shi
命之曰五施,ming'zhi'yue'wu'shi
命之曰悬泉,ming'zhi'yue'xuan'quan
名之曰央,ming'zhi'yue'yang
命之曰一施,ming'zhi'yue'yi'shi
命之曰再施,ming'zhi'yue'zai'shi
命之曰正,ming'zhi'yue'zheng
命之曰中,ming'zhi'yue'zhong
明主,ming'zhu
明主不听也,ming'zhu'bu'ting'ye
明主不为也,ming'zhu'bu'wei'ye
明主不许也,ming'zhu'bu'xu'ye
明主不厌人,ming'zhu'bu'yan'ren
明主不用其智,ming'zhu'bu'yong'qi'zhi
明主操术任臣下,ming'zhu'cao'shu'ren'chen'xia
明主法象天道,ming'zhu'fa'xiang'tian'dao
明主救天下之祸,ming'zhu'jiu'tian'xia'zhi'huo
明主内行其法度,ming'zhu'nei'hang'qi'fa'du
明主配天地者也,ming'zhu'pei'tian'di'zhe'ye
明主上不逆天,ming'zhu'shang'bu'ni'tian
明主虽心之所爱而无功者不赏也,ming'zhu'sui'xin'zhi'suo'ai'er'wu'gong'zhe'bu'shang'ye
明主与圣人谋,ming'zhu'yu'sheng'ren'mou
明主在上位,ming'zhu'zai'shang'wei
明主者,ming'zhu'zhe
明主之道,ming'zhu'zhi'dao
明主之动静得理义,ming'zhu'zhi'dong'jing'de'li'yi
明主之官物也,ming'zhu'zhi'guan'wu'ye
明主之举事也,ming'zhu'zhi'ju'shi'ye
明主之虑事也,ming'zhu'zhi'lv'shi'ye
明主之使远者来而近者亲也,ming'zhu'zhi'shi'yuan'zhe'lai'er'jin'zhe'qin'ye
明主之择贤人也,ming'zhu'zhi'ze'xian'ren'ye
明主之治国也,ming'zhu'zhi'zhi'guo'ye
明主之治天下也,ming'zhu'zhi'zhi'tian'xia'ye
明主之治也,ming'zhu'zhi'zhi'ye
命祝宗选禽兽之禁,ming'zhu'zong'xuan'qin'shou'zhi'jin
命左右使人内御,ming'zuo'you'shi'ren'nei'yu
命左右士师内御,ming'zuo'you'shi'shi'nei'yu
命左右司马,ming'zuo'you'si'ma
命左右司徒内御,ming'zuo'you'si'tu'nei'yu
缪过以则忧,miu'guo'yi'ze'you
缪然远二,miu'ran'yuan'er
缪受其刑,miu'shou'qi'xing
莫不暗化矣,mo'bu'an'hua'yi
莫不备得,mo'bu'bei'de
莫不宾服,mo'bu'bin'fu
莫不恶罚而畏罪,mo'bu'e'fa'er'wei'zui
莫不来服,mo'bu'lai'fu
莫不向应,mo'bu'xiang'ying
莫不秀长,mo'bu'xiu'chang
莫不有法令赏罚,mo'bu'you'fa'ling'shang'fa
莫不欲利而恶害,mo'bu'yu'li'er'e'hai
末产不禁,mo'chan'bu'jin
莫大于兵,mo'da'yu'bing
莫大于天地,mo'da'yu'tian'di
莫当其前,mo'dang'qi'qian
莫多于日月,mo'duo'yu'ri'yue
莫敢布惠缓行,mo'gan'bu'hui'huan'xing
莫敢禁圉,mo'gan'jin'yu
莫敢开私焉,mo'gan'kai'si'yan
莫敢以终岁为议,mo'gan'yi'zhong'sui'wei'yi
莫贵于胜,mo'gui'yu'sheng
莫害其后,mo'hai'qi'hou
末衡,mo'heng
莫急于水火,mo'ji'yu'shui'huo
莫尽如市,mo'jin'ru'shi
莫乐之,mo'le'zhi
莫乐之则莫哀之,mo'le'zhi'ze'mo'ai'zhi
莫明焉,mo'ming'yan
墨墨若夜,mo'mo'ruo'ye
莫能虚矣,mo'neng'xu'yi
莫人,mo'ren
莫忍老臣,mo'ren'lao'chen
莫如管仲,mo'ru'guan'zhong
莫如桓公,mo'ru'huan'gong
莫如教之以政,mo'ru'jiao'zhi'yi'zheng
莫如利之,mo'ru'li'zhi
莫如树谷,mo'ru'shu'gu
莫如树木,mo'ru'shu'mu
莫如树人,mo'ru'shu'ren
莫善于侈靡,mo'shan'yu'chi'mi
末生不禁,mo'sheng'bu'jin
莫生之,mo'sheng'zhi
莫生之则莫死之,mo'sheng'zhi'ze'mo'si'zhi
殁世不亡,mo'shi'bu'wang
莫速于兵,mo'su'yu'bing
莫违寡人之命,mo'wei'gua'ren'zhi'ming
莫务治国者,mo'wu'zhi'guo'zhe
莫要于兵,mo'yao'yu'bing
末用也,mo'yong'ye
莫之敢倍而归之,mo'zhi'gan'bei'er'gui'zhi
莫之能伤,mo'zhi'neng'shang
莫之能伤也,mo'zhi'neng'shang'ye
莫之能应,mo'zhi'neng'ying
莫之能圉,mo'zhi'neng'yu
莫知其将去也,mo'zhi'qi'jiang'qu'ye
莫知其舍之也,mo'zhi'qi'she'zhi'ye
莫知其时,mo'zhi'qi'shi
莫知其释之,mo'zhi'qi'shi'zhi
莫知其为之,mo'zhi'qi'wei'zhi
莫之修缮,mo'zhi'xiu'shan
莫之筑补,mo'zhi'zhu'bu
莫重于令,mo'zhong'yu'ling
末作文巧禁则民无所游食,mo'zuo'wen'qiao'jin'ze'min'wu'suo'you'shi
谋得兵胜者霸,mou'de'bing'sheng'zhe'ba
谋德而举之,mou'de'er'ju'zhi
谋功之道也,mou'gong'zhi'dao'ye
谋何谋乎,mou'he'mou'hu
谋乎莫闻其音,mou'hu'mo'wen'qi'yin
谋失第二十五,mou'shi'di'er'shi'wu
谋十官,mou'shi'guan
谋泄灾极,mou'xie'zai'ji
谋也,mou'ye
谋易而祸反,mou'yi'er'huo'fan
目不见色,mu'bu'jian'se
穆公举而相之,mu'gong'ju'er'xiang'zhi
目贵明,mu'gui'ming
慕和其众,mu'he'qi'zhong
穆君之色,mu'jun'zhi'se
木可以为货,mu'ke'yi'wei'huo
牧民第一,mu'min'di'yi
牧民何先,mu'min'he'xian
牧民解第六十三,mu'min'jie'di'liu'shi'san
牧民者发仓廪,mu'min'zhe'fa'cang'lin
牧民者厚收善岁以充仓廪,mu'min'zhe'hou'shou'shan'sui'yi'chong'cang'lin
亩取一石,mu'qu'yi'dan
目伸五色,mu'shen'wu'se
暮食复礼,mu'shi'fu'li
目司视,mu'si'shi
牧万民,mu'wan'min
穆王世法文武之远迹,mu'wang'shi'fa'wen'wu'zhi'yuan'ji
慕选而不乱,mu'xuan'er'bu'luan
慕选者,mu'xuan'zhe
木也,mu'ye
目有视也,mu'you'shi'ye
牧渔其民以富其家,mu'yu'qi'min'yi'fu'qi'jia
牧则宜牛羊,mu'ze'yi'niu'yang
目之所不能视也,mu'zhi'suo'bu'neng'shi'ye
目之所以视,mu'zhi'suo'yi'shi
纳公子纠,na'gong'zi'jiu
纳公子纠而不能,na'gong'zi'jiu'er'bu'neng
纳之于君,na'zhi'yu'jun
乃别制断之,nai'bie'zhi'duan'zhi
乃不伐,nai'bu'fa
乃承厥火,nai'cheng'jue'huo
乃出奉令,nai'chu'feng'ling
乃反致令焉,nai'fan'zhi'ling'yan
乃复四子者,nai'fu'si'zi'zhe
乃还而立,nai'hai'er'li
奈何,nai'he
乃及人之体,nai'ji'ren'zhi'ti
乃将下,nai'jiang'xia
乃令从者毋以兵,nai'ling'cong'zhe'wu'yi'bing
乃令四封之内修兵,nai'ling'si'feng'zhi'nei'xiu'bing
乃令五官行事,nai'ling'wu'guan'xing'shi
乃命车驾,nai'ming'che'jia
乃能戴大圜,nai'neng'dai'da'huan
乃能得之,nai'neng'de'zhi
乃能穷天地,nai'neng'qiong'tian'di
乃其殆也,nai'qi'dai'ye
柰其斝辱,nai'qi'jia'ru
乃轻税,nai'qing'shui
乃取厥栉,nai'qu'jue'zhi
乃去怒喜,nai'qu'nu'xi
乃取水左右各一人,nai'qu'shui'zuo'you'ge'yi'ren
乃取一焉,nai'qu'yi'yan
乃失国之基,nai'shi'guo'zhi'ji
乃为之图,nai'wei'zhi'tu
乃行,nai'xing
乃兴而辞,nai'xing'er'ci
乃以其天材,nai'yi'qi'tian'cai
乃游公子开方于卫,nai'you'gong'zi'kai'fang'yu'wei
乃迂其道而远之,nai'yu'qi'dao'er'yuan'zhi
乃援素幭以裹首而绝,nai'yuan'su'mie'yi'guo'shou'er'jue
乃召而与之坐,nai'zhao'er'yu'zhi'zuo
乃知行情,nai'zhi'hang'qing
乃知桓公之死也,nai'zhi'huan'gong'zhi'si'ye
乃知其人,nai'zhi'qi'ren
乃知养生,nai'zhi'yang'sheng
乃至于泉,nai'zhi'yu'quan
乃走出,nai'zou'chu
南伐至召陵,nan'fa'zhi'zhao'ling
南方本图,nan'fang'ben'tu
南方副图,nan'fang'fu'tu
南方曰日,nan'fang'yue'ri
南据宋,nan'ju'song
南蛮,nan'man
南面而受要,nan'mian'er'shou'yao
南面听天下,nan'mian'ting'tian'xia
男女不淫,nan'nv'bu'yin
男女不整齐,nan'nv'bu'zheng'qi
男女精气合,nan'nv'jing'qi'he
男女无别,nan'nv'wu'bie
难其所为,nan'qi'suo'wei
难言宪术,nan'yan'xian'shu
难以立邑置廧,nan'yi'li'yi'zhi'qiang
难易也,nan'yi'ye
男有室,nan'you'shi
南致楚越之君,nan'zhi'chu'yue'zhi'jun
南至瑯邪,nan'zhi'lang'xie
南至吴,nan'zhi'wu
难治则不孝,nan'zhi'ze'bu'xiao
囊橐之食无报,nang'tuo'zhi'shi'wu'bao
淖而不肕,nao'er'bu'ren
淖乎如在于海,nao'hu'ru'zai'yu'hai
内不考孝弟,nei'bu'kao'xiao'di
内不可以固守,nei'bu'ke'yi'gu'shou
内不亲于民,nei'bu'qin'yu'min
内不以刑,nei'bu'yi'xing
内藏以为泉原,nei'cang'yi'wei'quan'yuan
内动则危于身,nei'dong'ze'wei'yu'shen
内夺民用,nei'duo'min'yong
内固之,nei'gu'zhi
内观其事亲也,nei'guan'qi'shi'qin'ye
内行不修,nei'hang'bu'xiu
内甲以处,nei'jia'yi'chu
内教既成,nei'jiao'ji'cheng
内静外敬,nei'jing'wai'jing
内困外薄,nei'kun'wai'bo
内人他国,nei'ren'ta'guo
内失吾众,nei'shi'wu'zhong
内守不能完,nei'shou'bu'neng'wan
内外相备,nei'wai'xiang'bei
内为落渠之写,nei'wei'luo'qu'zhi'xie
内为之城,nei'wei'zhi'cheng
内无烦扰之政,nei'wu'fan'rao'zhi'zheng
内修兵革,nei'xiu'bing'ge
内削其民,nei'xue'qi'min
内业第四十九,nei'ye'di'si'shi'jiu
内以禁邪,nei'yi'jin'xie
内勇士,nei'yong'shi
内有疑妻之妾,nei'you'yi'qi'zhi'qie
内与竖刁,nei'yu'shu'diao
内于啧室之议,nei'yu'ze'shi'zhi'yi
内者廷无良臣,nei'zhe'ting'wu'liang'chen
内纵于美色淫声,nei'zong'yu'mei'se'yin'sheng
能备患于未形也,neng'bei'huan'yu'wei'xing'ye
能必于边之辞,neng'bi'yu'bian'zhi'ci
能搏乎,neng'bo'hu
能不可蔽而败不可饰也,neng'bu'ke'bi'er'bai'bu'ke'shi'ye
能不可留,neng'bu'ke'liu
能不通于官受,neng'bu'tong'yu'guan'shou
能敕乎,neng'chi'hu
能慈仁教训而不失理,neng'ci'ren'jiao'xun'er'bu'shi'li
能存安之,neng'cun'an'zhi
能存而不能亡者,neng'cun'er'bu'neng'wang'zhe
能戴大圆者,neng'dai'da'yuan'zhe
能而稷乎,neng'er'ji'hu
能而麦乎,neng'er'mai'hu
能反其性,neng'fan'qi'xing
能富贵之,neng'fu'gui'zhi
能服日新,neng'fu'ri'xin
能服信乎,neng'fu'xin'hu
能服信政,neng'fu'xin'zheng
能鬲君臣之间,neng'ge'jun'chen'zhi'jian
能宫,neng'gong
能官人乎,neng'guan'ren'hu
能后其身,neng'hou'qi'shen
能后其身乎,neng'hou'qi'shen'hu
能彊其兵,neng'jiang'qi'bing
能节宫室,neng'jie'gong'shi
能戒乎,neng'jie'hu
能尽力事上,neng'jin'li'shi'shang
能据法而不阿,neng'ju'fa'er'bu'a
能举人乎,neng'ju'ren'hu
能决之,neng'jue'zhi
能君万物,neng'jun'wan'wu
能宽裕纯厚而不苛忮,neng'kuan'yu'chun'hou'er'bu'ke'zhi
能利备用者几何人,neng'li'bei'yong'zhe'ji'he'ren
能利害者,neng'li'hai'zhe
能令用之,neng'ling'yong'zhi
能摩故道新道,neng'mo'gu'dao'xin'dao
能去此取彼,neng'qu'ci'qu'bi
能去忧乐喜怒欲利,neng'qu'you'le'xi'nu'yu'li
能日新乎,neng'ri'xin'hu
能若夫风与波乎,neng'ruo'fu'feng'yu'bo'hu
能上尽言于主,neng'shang'jin'yan'yu'zhu
能深而不涸,neng'shen'er'bu'he
能生育之,neng'sheng'yu'zhi
能事而后止,neng'shi'er'hou'zhi
能使鲁败,neng'shi'lu'bai
能適衣服,neng'shi'yi'fu
能守慎乎,neng'shou'shen'hu
能守一而弃万苛,neng'shou'yi'er'qi'wan'ke
能守贞乎,neng'shou'zhen'hu
能为霸王者,neng'wei'ba'wang'zhe
能无卜筮而知吉凶乎,neng'wu'bu'shi'er'zhi'ji'xiong'hu
能毋卜筮而知凶吉乎,neng'wu'bu'shi'er'zhi'xiong'ji'hu
能勿求诸人而得之己乎,neng'wu'qiu'zhu'ren'er'de'zhi'ji'hu
能毋问于人而自得之于己乎,neng'wu'wen'yu'ren'er'zi'de'zhi'yu'ji'hu
能孝弟顺亲,neng'xiao'di'shun'qin
能心行德,neng'xin'xing'de
能以此制彼者,neng'yi'ci'zhi'bi'zhe
能一乎,neng'yi'hu
能已乎,neng'yi'hu
能佚乐之,neng'yi'le'zhi
能以所闻瞻察,neng'yi'suo'wen'zhan'cha
能移无益之事,neng'yi'wu'yi'zhi'shi
能易贤不肖而可威党于下,neng'yi'xian'bu'xiao'er'ke'wei'dang'yu'xia
能隐而伏乎,neng'yin'er'fu'hu
能予而无取者,neng'yu'er'wu'qu'zhe
能与化起而王用,neng'yu'hua'qi'er'wang'yong
能远谗谄,neng'yuan'chan'chan
能则专,neng'ze'zhuan
能者进其功,neng'zhe'jin'qi'gong
能者无名,neng'zhe'wu'ming
能正能静,neng'zheng'neng'jing
能止乎,neng'zhi'hu
能知满虚,neng'zhi'man'xu
能治其民矣,neng'zhi'qi'min'yi
能专乎,neng'zhuan'hu
能自去而因天下之智力起,neng'zi'qu'er'yin'tian'xia'zhi'zhi'li'qi
逆节萌生,ni'jie'meng'sheng
逆气生则令不行,ni'qi'sheng'ze'ling'bu'xing
逆气下生,ni'qi'xia'sheng
逆天者怀其兇,ni'tian'zhe'huai'qi'xiong
逆也,ni'ye
年谷不熟,nian'gu'bu'shou
年谷熟,nian'gu'shu
年七十已上,nian'qi'shi'yi'shang
鸟飞准绳,niao'fei'zhun'sheng
鸟兽安施,niao'shou'an'shi
鸟兽鱼鳖,niao'shou'yu'bie
宁过于君子,ning'guo'yu'jun'zi
凝蹇而为人,ning'jian'er'wei'ren
宁念治之,ning'nian'zhi'zhi
宁戚四人饮,ning'qi'si'ren'yin
宁戚为田,ning'qi'wei'tian
宁戚应我曰,ning'qi'ying'wo'yue
宁戚应之曰,ning'qi'ying'zhi'yue
宁戚之为人也能事,ning'qi'zhi'wei'ren'ye'neng'shi
凝于体色,ning'yu'ti'se
宁子其欲室乎,ning'zi'qi'yu'shi'hu
牛蟡与庆忌,niu'gui'yu'qing'ji
牛马之牧不相及,niu'ma'zhi'mu'bu'xiang'ji
农夫以粥子者,nong'fu'yi'zhou'zi'zhe
农夫终岁之作,nong'fu'zhong'sui'zhi'zuo
农事胜则入粟多,nong'shi'sheng'ze'ru'su'duo
农事为敬,nong'shi'wei'jing
农事先也,nong'shi'xian'ye
农以劳矣,nong'yi'lao'yi
农以听命,nong'yi'ting'ming
农愚,nong'yu
弩不可以及远,nu'bu'ke'yi'ji'yuan
怒无以杀,nu'wu'yi'sha
怒也者,nu'ye'zhe
怒以杀,nu'yi'sha
怒则失端,nu'ze'shi'duan
懦弱则杀,nuo'ruo'ze'sha
懦弱者何也,nuo'ruo'zhe'he'ye
懦弱者杀也,nuo'ruo'zhe'sha'ye
懦弱之君,nuo'ruo'zhi'jun
懦弱之君者重诛,nuo'ruo'zhi'jun'zhe'zhong'zhu
懦弱之人,nuo'ruo'zhi'ren
女安闻之,nv'an'wen'zhi
女不缁,nv'bu'zi
女勤于纤微而织归于府者,nv'qin'yu'xian'wei'er'zhi'gui'yu'fu'zhe
女三嫁,nv'san'jia
女事繁于文章,nv'shi'fan'yu'wen'zhang
女事无文章,nv'shi'wu'wen'zhang
女无淫事,nv'wu'yin'shi
女焉闻吾有行也,nv'yan'wen'wu'you'xing'ye
女言至焉,nv'yan'zhi'yan
女以巧矣,nv'yi'qiao'yi
女有家,nv'you'jia
