阿苯边唑,a'ben'bian'zuo
麻疹抗体,ma'zhen'kang'ti
麻疹野病毒,ma'zhen'ye'bing'du
麻疹疫苗,ma'zhen'yi'miao
麻疹疫情,ma'zhen'yi'qing
脉搏细速,mai'bo'xi'su
脉管炎,mai'guan'yan
脉络膜,mai'luo'mo
麦芽糖,mai'ya'tang
瞒报,man'bao
慢病,man'bing
慢病科,man'bing'ke
慢性病,man'xing'bing
慢性病毒携带者,man'xing'bing'du'xie'dai'zhe
慢性病发作期,man'xing'bing'fa'zuo'qi
慢性病防治,man'xing'bing'fang'zhi
慢性病监测,man'xing'bing'jian'ce
慢性病科,man'xing'bing'ke
慢性病门诊,man'xing'bing'men'zhen
慢性病人,man'xing'bing'ren
慢性传染病,man'xing'chuan'ran'bing
慢性非传染性疾病,man'xing'fei'chuan'ran'xing'ji'bing
慢性肝炎,man'xing'gan'yan
慢性呼吸系统疾病,man'xing'hu'xi'xi'tong'ji'bing
慢性肾小球肾炎,man'xing'shen'xiao'qiu'shen'yan
慢性支气管炎,man'xing'zhi'qi'guan'yan
慢支,man'zhi
盲肠,mang'chang
毛细血管,mao'xi'xue'guan
梅毒,mei'du
煤酚皂,mei'fen'zao
玫瑰疹,mei'gui'zhen
媒介生物,mei'jie'sheng'wu
酶联免疫吸附试验,mei'lian'mian'yi'xi'fu'shi'yan
门静脉,men'jing'mai
门静脉高压,men'jing'mai'gao'ya
门诊病人,men'zhen'bing'ren
门诊登记,men'zhen'deng'ji
门诊登记本,men'zhen'deng'ji'ben
门诊日志,men'zhen'ri'zhi
糜烂,mi'lan
弥漫性,mi'man'xing
弥漫性血管内凝血,mi'man'xing'xue'guan'nei'ning'xue
泌尿生殖系统,mi'niao'sheng'zhi'xi'tong
泌尿系统,mi'niao'xi'tong
密切接触,mi'qie'jie'chu
密切接触史,mi'qie'jie'chu'shi
密切接触者,mi'qie'jie'chu'zhe
弥散性血管内凝血,mi'san'xing'xue'guan'nei'ning'xue
免费疫苗,mian'fei'yi'miao
面神经,mian'shen'jing
面神经麻痹,mian'shen'jing'ma'bi
免疫策略,mian'yi'ce'lue
免疫成功率,mian'yi'cheng'gong'lv
免疫程序,mian'yi'cheng'xu
免疫持久性,mian'yi'chi'jiu'xing
免疫对象,mian'yi'dui'xiang
免疫覆盖率,mian'yi'fu'gai'lv
免疫复合物,mian'yi'fu'he'wu
免疫功能,mian'yi'gong'neng
免疫规划,mian'yi'gui'hua
免疫规划科,mian'yi'gui'hua'ke
免疫剂量,mian'yi'ji'liang
免疫监测,mian'yi'jian'ce
免疫监测系统,mian'yi'jian'ce'xi'tong
免疫间隔,mian'yi'jian'ge
免疫监视,mian'yi'jian'shi
免疫接种,mian'yi'jie'zhong
免疫接种率,mian'yi'jie'zhong'lv
免疫科,mian'yi'ke
免疫力,mian'yi'li
免疫力低下,mian'yi'li'di'xia
免疫耐受,mian'yi'nai'shou
免疫器官,mian'yi'qi'guan
免疫起始月龄,mian'yi'qi'shi'yue'ling
免疫球蛋白,mian'yi'qiu'dan'bai
免疫缺陷,mian'yi'que'xian
免疫缺陷病,mian'yi'que'xian'bing
免疫水平,mian'yi'shui'ping
免疫调节,mian'yi'tiao'jie
免疫系统,mian'yi'xi'tong
免疫效果,mian'yi'xiao'guo
免疫效果监测,mian'yi'xiao'guo'jian'ce
免疫学,mian'yi'xue
免疫血清,mian'yi'xue'qing
免疫抑制,mian'yi'yi'zhi
免疫应答,mian'yi'ying'da
免疫荧光试验,mian'yi'ying'guang'shi'yan
免疫原性,mian'yi'yuan'xing
免疫源性,mian'yi'yuan'xing
灭滴灵,mie'di'ling
灭活疫苗,mie'huo'yi'miao
灭菌,mie'jun
灭菌剂,mie'jun'ji
灭菌注射用水,mie'jun'zhu'she'yong'shui
灭虱,mie'shi
灭鼠,mie'shu
灭蚊,mie'wen
灭蝇,mie'ying
灭蚤,mie'zao
敏感性,min'gan'xing
摸底,mo'di
摸底调查,mo'di'diao'cha
摸底调查表,mo'di'diao'cha'biao
摸底儿童,mo'di'er'tong
末梢神经,mo'shao'shen'jing
末梢神经麻痹,mo'shao'shen'jing'ma'bi
末梢神经炎,mo'shao'shen'jing'yan
末梢水,mo'shao'shui
末梢血,mo'shao'xue
母亲姓名,mu'qin'xing'ming
母婴保健法,mu'ying'bao'jian'fa
母婴传播,mu'ying'chuan'bo
母婴传染,mu'ying'chuan'ran
母婴垂直传播,mu'ying'chui'zhi'chuan'bo
萘啶酸,nai'ding'suan
奈瑟菌,nai'se'jun
奈瑟氏,nai'se'shi
奈瑟氏菌,nai'se'shi'jun
耐药,nai'yao
耐药菌株,nai'yao'jun'zhu
耐药性,nai'yao'xing
男男同性恋,nan'nan'tong'xing'lian
蛲虫,nao'chong
脑卒中,nao'cu'zhong
脑脊髓膜炎,nao'ji'sui'mo'yan
脑脊髓炎,nao'ji'sui'yan
脑脊液,nao'ji'ye
脑膜,nao'mo
脑膜刺激征,nao'mo'ci'ji'zheng
脑膜炎,nao'mo'yan
脑水肿,nao'shui'zhong
脑血管病,nao'xue'guan'bing
脑炎,nao'yan
内毒素,nei'du'su
内科,nei'ke
内皮细胞,nei'pi'xi'bao
内源性感染,nei'yuan'xing'gan'ran
年龄性别死亡率,nian'ling'xing'bie'si'wang'lv
黏膜斑,nian'mo'ban
黏膜充血,nian'mo'chong'xue
黏膜上皮细胞,nian'mo'shang'pi'xi'bao
念珠菌病,nian'zhu'jun'bing
尿常规,niao'chang'gui
尿蛋白,niao'dan'bai
尿碘,niao'dian
尿毒症,niao'du'zheng
尿激酶,niao'ji'mei
尿糖,niao'tang
尿液,niao'ye
啮齿类动物,nie'chi'lei'dong'wu
宁波荣安,ning'bo'rong'an
凝集反应,ning'ji'fan'ying
凝血,ning'xue
凝血成分,ning'xue'cheng'fen
凝血机制,ning'xue'ji'zhi
凝血酶,ning'xue'mei
凝血因子,ning'xue'yin'zi
牛痘,niu'dou
牛痘苗,niu'dou'miao
牛分枝杆菌,niu'fen'zhi'gan'jun
脓胞,nong'bao
农村合作医疗,nong'cun'he'zuo'yi'liao
疟疾,nue'ji
疟原虫,nue'yuan'chong
偶合反应,ou'he'fan'ying
呕吐,ou'tu
呕吐物,ou'tu'wu
帕氏线,pa'shi'xian
排菌时间,pai'jun'shi'jian
哌喹,pai'kui
排泄物,pai'xie'wu
潘生丁,pan'sheng'ding
膀胱镜,pang'guang'jing
疱疹,pao'zhen
培养基,pei'yang'ji
培养皿,pei'yang'min
配子体,pei'zi'ti
喷射状呕吐,pen'she'zhuang'ou'tu
硼酸软膏,peng'suan'ruan'gao
蜱传脑炎,pi'chuan'nao'yan
蜱传脑炎病毒,pi'chuan'nao'yan'bing'du
皮肤出血点,pi'fu'chu'xue'dian
皮肤感染,pi'fu'gan'ran
皮肤黏膜,pi'fu'nian'mo
皮肤破损,pi'fu'po'sun
皮肤炭疽,pi'fu'tan'ju
皮肤疣,pi'fu'you
皮内注射,pi'nei'zhu'she
批批检,pi'pi'jian
批签发合格证,pi'qian'fa'he'ge'zheng
皮下出血,pi'xia'chu'xie
皮下出血点,pi'xia'chu'xue'dian
皮下注射,pi'xia'zhu'she
脾脏,pi'zang
皮疹,pi'zhen
批准文号,pi'zhun'wen'hao
漂白粉,piao'bai'fen
漂白粉消毒,piao'bai'fen'xiao'du
频繁呕吐,pin'fan'ou'tu
贫血,pin'xue
平衡膳食,ping'heng'shan'shi
平均潜伏期,ping'jun'qian'fu'qi
平均人口数,ping'jun'ren'kou'shu
平均数,ping'jun'shu
凭证接种,ping'zheng'jie'zhong
泼尼松,po'ni'song
破伤风,po'shang'feng
破伤风监测,po'shang'feng'jian'ce
破伤风抗毒素,po'shang'feng'kang'du'su
破伤风类毒素,po'shang'feng'lei'du'su
普遍易感,pu'bian'yi'gan
普服,pu'fu
普鲁卡因,pu'lu'ka'yin
葡萄球菌,pu'tao'qiu'jun
葡萄糖,pu'tao'tang
普通易感,pu'tong'yi'gan
普通疫苗,pu'tong'yi'miao
普种,pu'zhong
普种儿童,pu'zhong'er'tong
起病,qi'bing
起病急,qi'bing'ji
气管镜,qi'guan'jing
气管切开,qi'guan'qie'kai
气管炎,qi'guan'yan
气管炎疫苗,qi'guan'yan'yi'miao
器官组织,qi'guan'zu'zhi
气候因素,qi'hou'yin'su
栖缺乏,qi'que'fa
气溶胶,qi'rong'jiao
起始月龄,qi'shi'yue'ling
期望寿命,qi'wang'shou'ming
栖盐,qi'yan
浅表淋巴结,qian'biao'lin'ba'jie
潜伏期,qian'fu'qi
前列腺,qian'lie'xian
前列腺炎,qian'lie'xian'yan
前列腺肿大,qian'lie'xian'zhong'da
荨麻疹,qian'ma'zhen
前驱期,qian'qu'qi
前瞻性调查,qian'zhan'xing'diao'cha
前瞻性研究,qian'zhan'xing'yan'jiu
羟氨苄青霉素,qiang'an'bian'qing'mei'su
强化免疫,qiang'hua'mian'yi
抢救病人,qiang'jiu'bing'ren
抢救室,qiang'jiu'shi
抢救药物,qiang'jiu'yao'wu
强力霉素,qiang'li'mei'su
羌螨,qiang'man
强心药,qiang'xin'yao
强阳性,qiang'yang'xing
桥本甲状腺肿,qiao'ben'jia'zhuang'xian'zhong
鞘膜积液,qiao'mo'ji'ye
切断传播途径,qie'duan'chuan'bo'tu'jing
切断传染途径,qie'duan'chuan'ran'tu'jing
禽流感,qin'liu'gan
禽流感病毒,qin'liu'gan'bing'du
侵袭力,qin'xi'li
侵袭性大肠杆菌,qin'xi'xing'da'chang'gan'jun
庆大霉素,qing'da'mei'su
青蒿素,qing'hao'su
氢化可的松,qing'hua'ke'di'song
青霉素,qing'mei'su
轻型病人,qing'xing'bing'ren
轻型麻疹,qing'xing'ma'zhen
氢氧化铝吸附剂,qing'yang'hua'lv'xi'fu'ji
琼脂培养基,qiong'zhi'pei'yang'ji
球蛋白,qiu'dan'bai
丘疹,qiu'zhen
全病毒,quan'bing'du
全病毒灭活疫苗,quan'bing'du'mie'huo'yi'miao
全病毒疫苗,quan'bing'du'yi'miao
全程接种,quan'cheng'jie'zhong
全程注射,quan'cheng'zhu'she
全身不适,quan'shen'bu'shi
全身乏力,quan'shen'fa'li
全身反应,quan'shen'fan'ying
全身感染,quan'shen'gan'ran
全身弥漫性,quan'shen'mi'man'xing
全身性感染,quan'shen'xing'gan'ran
全身症状,quan'shen'zheng'zhuang
缺碘,que'dian
缺碘性甲状腺肿,que'dian'xing'jia'zhuang'xian'zhong
确认日期,que'ren'ri'qi
缺硒,que'xi
确诊病例,que'zhen'bing'li
确证实验,que'zheng'shi'yan
群流脑疫苗,qun'liu'nao'yi'miao
群体不明原因疾病,qun'ti'bu'ming'yuan'yin'ji'bing
群体性疾病,qun'ti'xing'ji'bing
群体性癔病,qun'ti'xing'yi'bing
染色体,ran'se'ti
桡神经,rao'shen'jing
人畜共患传染病,ren'chu'gong'huan'chuan'ran'bing
人感染高致病性禽流感,ren'gan'ran'gao'zhi'bing'xing'qin'liu'gan
人工被动免疫,ren'gong'bei'dong'mian'yi
人工被动免疫制剂,ren'gong'bei'dong'mian'yi'zhi'ji
人工呼吸机,ren'gong'hu'xi'ji
人工呼吸器,ren'gong'hu'xi'qi
人工主动免疫,ren'gong'zhu'dong'mian'yi
人工主动免疫制剂,ren'gong'zhu'dong'mian'yi'zhi'ji
人类免疫缺陷病毒,ren'lei'mian'yi'que'xian'bing'du
人禽流感,ren'qin'liu'gan
人群分布,ren'qun'fen'bu
人群免疫水平,ren'qun'mian'yi'shui'ping
人群易感性,ren'qun'yi'gan'xing
人乳状瘤病毒,ren'ru'zhuang'liu'bing'du
人兽共患,ren'shou'gong'huan
人员培训,ren'yuan'pei'xun
日本脑炎,ri'ben'nao'yan
日本血吸虫,ri'ben'xue'xi'chong
日本血吸虫病,ri'ben'xue'xi'chong'bing
日常接种,ri'chang'jie'zhong
溶菌,rong'jun
溶栓,rong'shuan
溶血素,rong'xue'su
溶血性,rong'xue'xing
溶血性贫血,rong'xue'xing'pin'xue
溶组织阿米巴,rong'zu'zhi'a'mi'ba
肉毒毒素,rou'du'du'su
肉毒杆菌,rou'du'gan'jun
肉芽肿,rou'ya'zhong
蠕虫,ru'chong
乳糜屎,ru'mi'shi
乳腺,ru'xian
乳腺癌,ru'xian'ai
乳腺炎,ru'xian'yan
软膏,ruan'gao
软下疳,ruan'xia'gan
腮苗,sai'miao
腮腺,sai'xian
腮腺炎,sai'xian'yan
腮腺炎病毒,sai'xian'yan'bing'du
腮腺炎疫苗,sai'xian'yan'yi'miao
三带喙库蚊,san'dai'hui'ku'wen
散发,san'fa
散发病例,san'fa'bing'li
散发流行,san'fa'liu'xing
三管一灭,san'guan'yi'mie
三级医疗保健网,san'ji'yi'liao'bao'jian'wang
三级预防,san'ji'yu'fang
三角肌,san'jiao'ji
三角肌下缘,san'jiao'ji'xia'yuan
三日疟,san'ri'nue
瘙痒,sao'yang
色素沉着,se'su'chen'zhuo
森林脑炎,sen'lin'nao'yan
沙林鼠,sha'lin'shu
沙门氏菌,sha'men'shi'jun
沙鼠,sha'shu
沙眼衣原体,sha'yan'yi'yuan'ti
筛查,shai'cha
筛查方法,shai'cha'fang'fa
筛检,shai'jian
山东泰邦,shan'dong'tai'bang
山梨醇,shan'li'chun
上臂三角肌,shang'bi'san'jiao'ji
上臂外侧,shang'bi'wai'ce
上臂外侧三角肌附着处,shang'bi'wai'ce'san'jiao'ji'fu'zhuo'chu
上感,shang'gan
上海生物制品研究所,shang'hai'sheng'wu'zhi'pin'yan'jiu'suo
上海生研所,shang'hai'sheng'yan'suo
伤寒,shang'han
伤寒杆菌,shang'han'gan'jun
伤寒和副伤寒,shang'han'he'fu'shang'han
上呼吸道,shang'hu'xi'dao
上呼吸道感染,shang'hu'xi'dao'gan'ran
上呼吸道症状,shang'hu'xi'dao'zheng'zhuang
上卡,shang'ka
上卡及时率,shang'ka'ji'shi'lv
上卡率,shang'ka'lv
上卡上证,shang'ka'shang'zheng
伤口处理,shang'kou'chu'li
上皮细胞,shang'pi'xi'bao
上证,shang'zheng
哨点监测,shao'dian'jian'ce
哨点医院,shao'dian'yi'yuan
少尿,shao'niao
社会因素,she'hui'yin'su
设立肠道门诊,she'li'chang'dao'men'zhen
社区干预,she'qu'gan'yu
社区门诊,she'qu'men'zhen
社区医疗,she'qu'yi'liao
社区医学,she'qu'yi'xue
社区医院,she'qu'yi'yuan
肾病,shen'bing
肾病综合征,shen'bing'zong'he'zheng
肾病综合症,shen'bing'zong'he'zheng
深度昏迷,shen'du'hun'mi
身份识别介质,shen'fen'shi'bie'jie'zhi
身份识别设备,shen'fen'shi'bie'she'bei
肾功能,shen'gong'neng
神经氨酸酶,shen'jing'an'suan'mei
神经病,shen'jing'bing
神经毒素,shen'jing'du'su
神经根炎,shen'jing'gen'yan
神经节,shen'jing'jie
神经末梢,shen'jing'mo'shao
神经内科,shen'jing'nei'ke
神经衰弱,shen'jing'shuai'ruo
神经系统,shen'jing'xi'tong
神经系统疾病,shen'jing'xi'tong'ji'bing
神经纤维,shen'jing'xian'wei
肾上腺,shen'shang'xian
肾上腺皮质激素,shen'shang'xian'pi'zhi'ji'su
肾上腺素,shen'shang'xian'su
肾损害,shen'sun'hai
肾小球,shen'xiao'qiu
肾小球肾炎,shen'xiao'qiu'shen'yan
肾炎,shen'yan
肾竽肾炎,shen'yu'shen'yan
肾脏,shen'zang
深圳康泰,shen'zhen'kang'tai
神志不清,shen'zhi'bu'qing
肾综合征,shen'zong'he'zheng
生存率,sheng'cun'lv
生化反应,sheng'hua'fan'ying
生活密切接触,sheng'huo'mi'qie'jie'chu
生理盐水,sheng'li'yan'shui
生态环境因素,sheng'tai'huan'jing'yin'su
生物安全,sheng'wu'an'quan
生物安全柜,sheng'wu'an'quan'gui
生物技术,sheng'wu'ji'shu
生物科技,sheng'wu'ke'ji
生物媒介,sheng'wu'mei'jie
生物性传播,sheng'wu'xing'chuan'bo
生物学性状,sheng'wu'xue'xing'zhuang
生物遗传因素,sheng'wu'yi'chuan'yin'su
生物因素,sheng'wu'yin'su
生物制品,sheng'wu'zhi'pin
生物制品股份有限公司,sheng'wu'zhi'pin'gu'fen'you'xian'gong'si
生物制品经营,sheng'wu'zhi'pin'jing'ying
生物制品科,sheng'wu'zhi'pin'ke
生物制品流通,sheng'wu'zhi'pin'liu'tong
生物制品流通和管理条例,sheng'wu'zhi'pin'liu'tong'he'guan'li'tiao'li
生物制品门诊,sheng'wu'zhi'pin'men'zhen
生物制品有限公司,sheng'wu'zhi'pin'you'xian'gong'si
生研所,sheng'yan'suo
生长发育,sheng'zhang'fa'yu
生长因子,sheng'zhang'yin'zi
生殖器,sheng'zhi'qi
生殖器疱疹,sheng'zhi'qi'pao'zhen
生殖器疣,sheng'zhi'qi'you
生殖系统,sheng'zhi'xi'tong
十二指肠,shi'er'zhi'chang
十二指肠溃疡,shi'er'zhi'chang'kui'yang
失访,shi'fang
嗜肺军团菌,shi'fei'jun'tuan'jun
食管癌,shi'guan'ai
试管凝集试验,shi'guan'ning'ji'shi'yan
市疾病控制中心,shi'ji'bing'kong'zhi'zhong'xin
市疾病预防控制中心,shi'ji'bing'yu'fang'kong'zhi'zhong'xin
市疾控中心,shi'ji'kong'zhong'xin
时间分布,shi'jian'fen'bu
世界卫生组织,shi'jie'wei'sheng'zu'zhi
世界性大流行,shi'jie'xing'da'liu'xing
世界性流感大流行,shi'jie'xing'liu'gan'da'liu'xing
噬菌体,shi'jun'ti
史克,shi'ke
湿锣音,shi'luo'yin
食品卫生法,shi'pin'wei'sheng'fa
食品药品监督管理局,shi'pin'yao'pin'jian'du'guan'li'ju
嗜人按蚊,shi'ren'an'wen
嗜睡,shi'shui
嗜酸性粒细胞,shi'suan'xing'li'xi'bao
石炭酸,shi'tan'suan
视网膜,shi'wang'mo
市卫生局,shi'wei'sheng'ju
食物型暴发,shi'wu'xing'bao'fa
食物中毒,shi'wu'zhong'du
食盐加碘,shi'yan'jia'dian
嗜盐菌,shi'yan'jun
实验室检查,shi'yan'shi'jian'cha
实验室检验,shi'yan'shi'jian'yan
实验室确诊,shi'yan'shi'que'zhen
实验室确诊病例,shi'yan'shi'que'zhen'bing'li
实验室诊断,shi'yan'shi'zhen'duan
实验性研究,shi'yan'xing'yan'jiu
实验组,shi'yan'zu
适应征,shi'ying'zheng
食欲不振,shi'yu'bu'zhen
食源性,shi'yuan'xing
食源性疾病,shi'yuan'xing'ji'bing
食源性致病菌,shi'yuan'xing'zhi'bing'jun
实种,shi'zhong
实种儿童,shi'zhong'er'tong
实种剂次,shi'zhong'ji'ci
实种人数,shi'zhong'ren'shu
实种针次,shi'zhong'zhen'ci
寿命表,shou'ming'biao
收缩压,shou'suo'ya
受体,shou'ti
受血者,shou'xue'zhe
手足口病,shou'zu'kou'bing
数据分析,shu'ju'fen'xi
数据管理,shu'ju'guan'li
数据整理,shu'ju'zheng'li
熟肉制品,shu'rou'zhi'pin
输入病例,shu'ru'bing'li
输入性病例,shu'ru'xing'bing'li
输入性流行,shu'ru'xing'liu'xing
输血,shu'xue
鼠疫,shu'yi
鼠疫杆菌,shu'yi'gan'jun
鼠疫菌,shu'yi'jun
舒张压,shu'zhang'ya
数值资料,shu'zhi'zi'liao
双份血清,shuang'fen'xue'qing
双峰热,shuang'feng're
双性恋,shuang'xing'lian
双氧水,shuang'yang'shui
水产品,shui'chan'pin
水碘,shui'dian
水碘含量,shui'dian'han'liang
水痘,shui'dou
水痘疫苗,shui'dou'yi'miao
水痘疹,shui'dou'zhen
水氟含量,shui'fu'han'liang
水氟监测,shui'fu'jian'ce
水泔样,shui'gan'yang
水合氯醛,shui'he'lv'quan
水型暴发,shui'xing'bao'fa
水样便,shui'yang'bian
水杨酸,shui'yang'suan
水源水,shui'yuan'shui
水肿,shui'zhong
丝虫病,si'chong'bing
四环素,si'huan'su
四环素类,si'huan'su'lei
四环素族,si'huan'su'zu
四免一关怀,si'mian'yi'guan'huai
四苗,si'miao
四苗全程,si'miao'quan'cheng
四苗全程覆盖率,si'miao'quan'cheng'fu'gai'lv
死胎,si'tai
死亡监测,si'wang'jian'ce
死亡率,si'wang'lv
死亡专率,si'wang'zhuan'lv
死疫苗,si'yi'miao
死因,si'yin
死因调查,si'yin'diao'cha
死因监测,si'yin'jian'ce
死因顺位,si'yin'shun'wei
宋内氏,song'nei'shi
粟粒型,su'li'xing
宿主,su'zhu
宿主动物,su'zhu'dong'wu
宿主与媒介,su'zhu'yu'mei'jie
酸碱度,suan'jian'du
算术平均数,suan'shu'ping'jun'shu
酸中毒,suan'zhong'du
随机抽取,sui'ji'chou'qu
随机化分组,sui'ji'hua'fen'zu
随机误差,sui'ji'wu'cha
随时消毒,sui'shi'xiao'du
损害,sun'hai
梭状芽胞杆菌,suo'zhuang'ya'bao'gan'jun
胎盘,tai'pan
胎盘屏障,tai'pan'ping'zhang
瘫痪型,tan'huan'xing
炭疽,tan'ju
炭疽杆菌,tan'ju'gan'jun
炭疽芽胞杆菌,tan'ju'ya'bao'gan'jun
痰菌阳性,tan'jun'yang'xing
痰培养,tan'pei'yang
碳酸氢钠,tan'suan'qing'na
痰涂片,tan'tu'pian
痰涂片阳性,tan'tu'pian'yang'xing
痰涂片阴性,tan'tu'pian'yin'xing
糖蛋白,tang'dan'bai
糖耐量,tang'nai'liang
糖尿病,tang'niao'bing
糖尿病防治,tang'niao'bing'fang'zhi
糖尿病肾病,tang'niao'bing'shen'bing
糖皮质激素,tang'pi'zhi'ji'su
糖丸,tang'wan
绦虫,tao'chong
绦虫病,tao'chong'bing
特效药物,te'xiao'yao'wu
特异性,te'yi'xing
特异性抗体,te'yi'xing'kang'ti
特异性抗原,te'yi'xing'kang'yuan
特异性免疫,te'yi'xing'mian'yi
特异性免疫反应,te'yi'xing'mian'yi'fan'ying
特异性免疫力,te'yi'xing'mian'yi'li
特异性中和抗体,te'yi'xing'zhong'he'kang'ti
提纯疫苗,ti'chun'yi'miao
体内寄生虫,ti'nei'ji'sheng'chong
体虱,ti'shi
体外寄生虫,ti'wai'ji'sheng'chong
体液免疫,ti'ye'mian'yi
体征,ti'zheng
天花,tian'hua
天花病毒,tian'hua'bing'du
天坛生物,tian'tan'sheng'wu
条件致病菌,tiao'jian'zhi'bing'jun
条码枪,tiao'ma'qiang
跳蚤,tiao'zao
痛风,tong'feng
统计学,tong'ji'xue
统计学关联,tong'ji'xue'guan'lian
头孢菌素,tou'bao'jun'su
头孢曲松,tou'bao'qu'song
头孢曲松钠,tou'bao'qu'song'na
头孢噻肟,tou'bao'sai'wo
透明质酸酶,tou'ming'zhi'suan'mei
头虱,tou'shi
头痛,tou'tong
透析,tou'xi
突发办,tu'fa'ban
突发公共卫生事件,tu'fa'gong'gong'wei'sheng'shi'jian
突发公共卫生事件办公室,tu'fa'gong'gong'wei'sheng'shi'jian'ban'gong'shi
突发公共卫生事件相关信息,tu'fa'gong'gong'wei'sheng'shi'jian'xiang'guan'xin'xi
土霉素,tu'mei'su
涂片,tu'pian
涂阳病人,tu'yang'bing'ren
涂阳肺结核,tu'yang'fei'jie'he
涂阳率,tu'yang'lv
涂阴病人,tu'yin'bing'ren
涂阴肺结核,tu'yin'fei'jie'he
涂阴率,tu'yin'lv
吞噬细胞,tun'shi'xi'bao
脱敏注射,tuo'min'zhu'she
脱水,tuo'shui
脱氧核糖核酸,tuo'yang'he'tang'he'suan
唾液,tuo'ye
托幼机构,tuo'you'ji'gou
外毒素,wai'du'su
外斐氏反应,wai'fei'shi'fan'ying
外科手术,wai'ke'shou'shu
外来务工人员,wai'lai'wu'gong'ren'yuan
外源性感染,wai'yuan'xing'gan'ran
万古霉素,wan'gu'mei'su
网络直报,wang'luo'zhi'bao
网络直报单位,wang'luo'zhi'bao'dan'wei
网状内皮系统,wang'zhuang'nei'pi'xi'tong
胃癌,wei'ai
围产期,wei'chan'qi
围产期保健,wei'chan'qi'bao'jian
胃肠道,wei'chang'dao
胃肠道传染病,wei'chang'dao'chuan'ran'bing
胃肠道炎,wei'chang'dao'yan
畏寒,wei'han
胃镜,wei'jing
胃溃疡,wei'kui'yang
卫生保健,wei'sheng'bao'jian
卫生部门,wei'sheng'bu'men
卫生法,wei'sheng'fa
卫生法学,wei'sheng'fa'xue
卫生防疫机构,wei'sheng'fang'yi'ji'gou
卫生监督,wei'sheng'jian'du
卫生监督所,wei'sheng'jian'du'suo
卫生局,wei'sheng'ju
卫生局长,wei'sheng'ju'chang
卫生室,wei'sheng'shi
卫生事业单位,wei'sheng'shi'ye'dan'wei
卫生事业经费,wei'sheng'shi'ye'jing'fei
维生素,wei'sheng'su
卫生所,wei'sheng'suo
卫生行政部门,wei'sheng'xing'zheng'bu'men
卫生行政执法,wei'sheng'xing'zheng'zhi'fa
卫生许可证,wei'sheng'xu'ke'zheng
卫生院,wei'sheng'yuan
卫生院长,wei'sheng'yuan'chang
卫生主管部门,wei'sheng'zhu'guan'bu'men
萎缩性胃炎,wei'suo'xing'wei'yan
危险因素,wei'xian'yin'su
微小按蚊,wei'xiao'an'wen
微循环,wei'xun'huan
未种原因,wei'zhong'yuan'yin
温度记录,wen'du'ji'lu
无偿献血,wu'chang'xian'xie
戊二醛,wu'er'quan
无害化处理,wu'hai'hua'chu'li
武汉生物制品研究所,wu'han'sheng'wu'zhi'pin'yan'jiu'suo
武汉生研所,wu'han'sheng'yan'suo
无菌,wu'jun
无菌操作,wu'jun'cao'zuo
无菌器材,wu'jun'qi'cai
无菌注射器,wu'jun'zhu'she'qi
五苗,wu'miao
无尿,wu'niao
无细胞百白破,wu'xi'bao'bai'bai'po
无细胞百白破疫苗,wu'xi'bao'bai'bai'po'yi'miao
无烟单位,wu'yan'dan'wei
无症状期,wu'zheng'zhuang'qi
无佐剂疫苗,wu'zuo'ji'yi'miao
细胞壁,xi'bao'bi
细胞毒性,xi'bao'du'xing
细胞核,xi'bao'he
细胞浆,xi'bao'jiang
细胞免疫,xi'bao'mian'yi
细胞膜,xi'bao'mo
细胞内寄生,xi'bao'nei'ji'sheng
细胞培养,xi'bao'pei'yang
细胞液,xi'bao'ye
细胞因子,xi'bao'yin'zi
洗必泰,xi'bi'tai
吸虫,xi'chong
西地兰,xi'di'lan
矽肺,xi'fei
吸附,xi'fu
吸附百白破,xi'fu'bai'bai'po
吸附百白破疫苗,xi'fu'bai'bai'po'yi'miao
吸附剂,xi'fu'ji
吸附精制百白破,xi'fu'jing'zhi'bai'bai'po
吸附疫苗,xi'fu'yi'miao
吸附制剂,xi'fu'zhi'ji
细菌,xi'jun
细菌毒力,xi'jun'du'li
细菌毒素,xi'jun'du'su
细菌繁殖,xi'jun'fan'zhi
细菌繁殖体,xi'jun'fan'zhi'ti
细菌分离培养,xi'jun'fen'li'pei'yang
细菌感染,xi'jun'gan'ran
细菌检验室,xi'jun'jian'yan'shi
细菌内毒素,xi'jun'nei'du'su
细菌培养,xi'jun'pei'yang
细菌性,xi'jun'xing
细菌性肺炎,xi'jun'xing'fei'yan
细菌性腹泻,xi'jun'xing'fu'xie
细菌性痢疾,xi'jun'xing'li'ji
细菌芽胞,xi'jun'ya'bao
锡克氏试验,xi'ke'shi'shi'yan
锡克试验,xi'ke'shi'yan
洗肉水样,xi'rou'shui'yang
稀释液,xi'shi'ye
系统抽样,xi'tong'chou'yang
系统误差,xi'tong'wu'cha
吸血昆虫,xi'xie'kun'chong
吸烟,xi'yan
夏季传染病,xia'ji'chuan'ran'bing
夏秋季,xia'qiu'ji
夏秋节腹泻,xia'qiu'jie'fu'xie
辖区儿童,xia'qu'er'tong
线虫,xian'chong
现代医学模式,xian'dai'yi'xue'mo'shi
腺苷,xian'gan
县级疾病预防控制中心,xian'ji'ji'bing'yu'fang'kong'zhi'zhong'xin
县级疾控中心,xian'ji'ji'kong'zhong'xin
