安东将军,an'dong'jiang'jun
一个王朝,yi'ge'wang'chao
一个政权,yi'ge'zheng'quan
以汉为国号,yi'han'wei'guo'hao
以江陵,yi'jiang'ling
亦可覆舟,yi'ke'fu'zhou
以平城,yi'ping'cheng
以示嘉奖,yi'shi'jia'jiang
以赎罪,yi'shu'zui
一说来自,yi'shuo'lai'zi
一说是,yi'shuo'shi
以太原,yi'tai'yuan
已吾,yi'wu
邑无烟火,yi'wu'yan'huo
一小队,yi'xiao'dui
以邺城为都,yi'ye'cheng'wei'dou
移营高地,yi'ying'gao'di
已有规明公之志,yi'you'gui'ming'gong'zhi'zhi
一支力量,yi'zhi'li'liang
一直与,yi'zhi'yu
以阻挡晋兵,yi'zu'dang'jin'bing
一作,yi'zuo
一作黑泰,yi'zuo'hei'tai
引兵来会,yin'bing'lai'hui
引兵南下,yin'bing'nan'xia
隐帝,yin'di
因契丹,yin'qi'dan
引所部兵离去,yin'suo'bu'bing'li'qu
阴阳纬候,yin'yang'wei'hou
因战败,yin'zhan'bai
因知,yin'zhi
影响较大的,ying'xiang'jiao'da'de
影响下,ying'xiang'xia
永安三年,yong'an'san'nian
拥护唐朝,yong'hu'tang'chao
永嘉六年,yong'jia'liu'nian
永熙三年,yong'xi'san'nian
雍州刺史,yong'zhou'ci'shi
雍州流民,yong'zhou'liu'min
又不断遭受,you'bu'duan'zao'shou
又称,you'cheng
又称南平,you'cheng'nan'ping
又得,you'dei
有二十八,you'er'shi'ba
有喉衿之势,you'hou'jin'zhi'shi
又极度腐败,you'ji'du'fu'bai
幽蓟十六州,you'ji'shi'liu'zhou
又进攻,you'jin'gong
犹卷不辍手,you'juan'bu'chuo'shou
有力辅佐,you'li'fu'zuo
有利于社会经济,you'li'yu'she'hui'jing'ji
又派兵,you'pai'bing
又派人去,you'pai'ren'qu
又趋激化,you'qu'ji'hua
又任用,you'ren'yong
又杀,you'sha
由盛而衰,you'sheng'er'shuai
又消灭,you'xiao'mie
又邀请,you'yao'qing
幽云十六州,you'yun'shi'liu'zhou
右长史,you'zhang'shi
幼主高恒,you'zhu'gao'heng
又注意,you'zhu'yi
于扶罗,yu'fu'luo
与汉族比邻,yu'han'zu'bi'lin
与后晋,yu'hou'jin
于君计,yu'jun'ji
于开运四年二月,yu'kai'yun'si'nian'er'yue
于南顿,yu'nan'dun
榆社北,yu'she'bei
于十月,yu'shi'yue
于太原,yu'tai'yuan
于阗,yu'tian
宇文觉,yu'wen'jue
宇文泰,yu'wen'tai
宇文鲜卑人,yu'wen'xian'bei'ren
元宝炬,yuan'bao'ju
原居,yuan'ju
原名匐勒,yuan'ming'fu'le
远迁,yuan'qian
元魏,yuan'wei
原有地八州,yuan'you'di'ba'zhou
渊源于,yuan'yuan'yu
郓曹齐濮,yun'cao'qi'pu
允许民间,yun'xu'min'jian
云中,yun'zhong
杂胡,za'hu
杂居内地的,za'ju'nei'di'de
在北方的,zai'bei'fang'de
在北汉,zai'bei'han
在边境一带,zai'bian'jing'yi'dai
在长沙建宫殿,zai'chang'sha'jian'gong'dian
在甘州西州,zai'gan'zhou'xi'zhou
在关键时刻,zai'guan'jian'shi'ke
在河北一带,zai'he'bei'yi'dai
在后汉时,zai'hou'han'shi
在籍,zai'ji
在籍的民户,zai'ji'de'min'hu
在建立,zai'jian'li
在名义上,zai'ming'yi'shang
在南方,zai'nan'fang
在沙州,zai'sha'zhou
在十国时期,zai'shi'guo'shi'qi
在十国中最为弱小,zai'shi'guo'zhong'zui'wei'ruo'xiao
在太原称帝,zai'tai'yuan'cheng'di
在唐朝,zai'tang'chao
在唐末,zai'tang'mo
再图他计,zai'tu'ta'ji
在位,zai'wei
在位八年,zai'wei'ba'nian
在位的,zai'wei'de
在位三年,zai'wei'san'nian
在位时间,zai'wei'shi'jian
在魏州,zai'wei'zhou
在一片混乱,zai'yi'pian'hun'luan
在政治上,zai'zheng'zhi'shang
在中原,zai'zhong'yuan
在中原地区,zai'zhong'yuan'di'qu
在中原建立政权,zai'zhong'yuan'jian'li'zheng'quan
遭到战争的破坏,zao'dao'zhan'zheng'de'po'huai
则唯有,ze'wei'you
战国末年,zhan'guo'mo'nian
斩晋,zhan'jin
占据杭州地区,zhan'ju'hang'zhou'di'qu
占据青州,zhan'ju'qing'zhou
占据宛城,zhan'ju'wan'cheng
占据中原,zhan'ju'zhong'yuan
占领关中,zhan'ling'guan'zhong
占领中原以后不给骑兵粮草,zhan'ling'zhong'yuan'yi'hou'bu'gei'qi'bing'liang'cao
斩刘瑞,zhan'liu'rui
战略防御阶段,zhan'lue'fang'yu'jie'duan
战略优势,zhan'lue'you'shi
战事稍息,zhan'shi'shao'xi
战死饿死,zhan'si'e'si
斩吴将头,zhan'wu'jiang'tou
占有福建全境,zhan'you'fu'jian'quan'jing
占有两浙十馀州之地,zhan'you'liang'zhe'shi'yu'zhou'zhi'di
占有潭衡诸州,zhan'you'tan'heng'zhu'zhou
战争不休,zhan'zheng'bu'xiu
战争破坏,zhan'zheng'po'huai
张宾的划策,zhang'bin'de'hua'ce
张宾建议,zhang'bin'jian'yi
张宾劝石勒,zhang'bin'quan'shi'le
张宾说,zhang'bin'shuo
张宾之言,zhang'bin'zhi'yan
掌握大权,zhang'wo'da'quan
召曹嶷,zhao'cao'yi
召集部属,zhao'ji'bu'shu
招聚,zhao'ju
赵匡胤,zhao'kuang'yin
赵王,zhao'wang
赵魏,zhao'wei
赵延寿,zhao'yan'shou
这北方五朝,zhe'bei'fang'wu'chao
浙东,zhe'dong
这南方四朝,zhe'nan'fang'si'chao
这时南方,zhe'shi'nan'fang
这是其霸业的,zhe'shi'qi'ba'ye'de
浙西,zhe'xi
这一地区,zhe'yi'di'qu
这一改革,zhe'yi'gai'ge
镇东大将军,zhen'dong'da'jiang'jun
镇东长史,zhen'dong'zhang'shi
镇海镇东节度使,zhen'hai'zhen'dong'jie'du'shi
镇冀,zhen'ji
贞明二年,zhen'ming'er'nian
镇守建业的,zhen'shou'jian'ye'de
珍玩,zhen'wan
镇压黄巢起义,zhen'ya'huang'chao'qi'yi
争夺皇位,zheng'duo'huang'wei
争夺中原,zheng'duo'zhong'yuan
正光四年,zheng'guang'si'nian
政局安定,zheng'ju'an'ding
政局非常不稳,zheng'ju'fei'chang'bu'wen
徵敛苛重,zheng'lian'ke'zhong
争杀频繁,zheng'sha'pin'fan
正式建立,zheng'shi'jian'li
政刑紊乱,zheng'xing'wen'luan
政治混乱,zheng'zhi'hun'luan
政治经济和军事,zheng'zhi'jing'ji'he'jun'shi
政治中心,zheng'zhi'zhong'xin
至沧州,zhi'cang'zhou
之臣,zhi'chen
之大将,zhi'da'jiang
只得又,zhi'de'you
之固,zhi'gu
治今,zhi'jin
治今河南淮阳,zhi'jin'he'nan'huai'yang
之孙,zhi'sun
知祥死,zhi'xiang'si
支雄,zhi'xiong
只有向四周称帝各国称臣,zhi'you'xiang'si'zhou'cheng'di'ge'guo'cheng'chen
重大战事,zhong'da'zhan'shi
重大转捩,zhong'da'zhuan'lie
中国北方,zhong'guo'bei'fang
中国北方的,zhong'guo'bei'fang'de
中国第一,zhong'guo'di'yi
中国历史,zhong'guo'li'shi
中国历史上,zhong'guo'li'shi'shang
中国西北,zhong'guo'xi'bei
中间除,zhong'jian'chu
中坚将军,zhong'jian'jiang'jun
重骑兵集团,zhong'qi'bing'ji'tuan
中唐以来,zhong'tang'yi'lai
中途被,zhong'tu'bei
中下游地区,zhong'xia'you'di'qu
中亚的,zhong'ya'de
中央王朝,zhong'yang'wang'chao
中原腹地洛阳,zhong'yuan'fu'di'luo'yang
中原民众,zhong'yuan'min'zhong
中原王朝,zhong'yuan'wang'chao
周灭齐,zhou'mie'qi
周世宗,zhou'shi'zong
注定了,zhu'ding'le
诸葛爽,zhu'ge'shuang
主荒民怨,zhu'huang'min'yuan
逐渐发展起来,zhu'jian'fa'zhan'qi'lai
逐渐攻占了,zhu'jian'gong'zhan'le
逐渐平定,zhu'jian'ping'ding
逐渐强盛起来,zhu'jian'qiang'sheng'qi'lai
逐渐融合于,zhu'jian'rong'he'yu
逐渐上升,zhu'jian'shang'sheng
逐渐形成了,zhu'jian'xing'cheng'le
诸郡,zhu'jun
诸军事,zhu'jun'shi
逐鹿中原,zhu'lu'zhong'yuan
朱全忠,zhu'quan'zhong
诛杀孔谦,zhu'sha'kong'qian
驻守江陵,zhu'shou'jiang'ling
朱温,zhu'wen
朱温本是,zhu'wen'ben'shi
朱温灭唐,zhu'wen'mie'tang
朱温与时溥,zhu'wen'yu'shi'pu
朱温战败,zhu'wen'zhan'bai
朱瑄,zhu'xuan
主要是由,zhu'yao'shi'you
主要依靠,zhu'yao'yi'kao
朱友珪,zhu'you'gui
朱友贞,zhu'you'zhen
主战的,zhu'zhan'de
主张投降,zhu'zhang'tou'xiang
诸子纷争,zhu'zi'fen'zheng
抓获处死,zhua'huo'chu'si
抓住机会,zhua'zhu'ji'hui
转而表奏,zhuan'er'biao'zou
转入了,zhuan'ru'le
专制一方,zhuan'zhi'yi'fang
庄宗没,zhuang'zong'mei
追尊为,zhui'zun'wei
准备南攻,zhun'bei'nan'gong
擢将军之发不足以数将军之罪,zhuo'jiang'jun'zhi'fa'bu'zu'yi'shu'jiang'jun'zhi'zui
自称大单于,zi'cheng'da'chan'yu
自称周公,zi'cheng'zhou'gong
自此以至于,zi'ci'yi'zhi'yu
自此正式开始,zi'ci'zheng'shi'kai'shi
字德舆,zi'de'yu
自焚死,zi'fen'si
自公元,zi'gong'yuan
自号大将军,zi'hao'da'jiang'jun
字黑獭,zi'hei'ta
自己称帝,zi'ji'cheng'di
自立为王,zi'li'wei'wang
淄青,zi'qing
自杀王弥后,zi'sha'wang'mi'hou
字世龙,zi'shi'long
字叔达,zi'shu'da
自为相国,zi'wei'xiang'guo
自魏州,zi'wei'zhou
自行称帝,zi'xing'cheng'di
字兴国,zi'xing'guo
字元海,zi'yuan'hai
辎重既过,zi'zhong'ji'guo
辎重迳从北道,zi'zhong'jing'cong'bei'dao
自铸农器,zi'zhu'nong'qi
总称为,zong'cheng'wei
宗室女,zong'shi'nv
纵使他们四出掠取,zong'shi'ta'men'si'chu'lue'qu
宗室相争冉闵,zong'shi'xiang'zheng'ran'min
宗主督护制,zong'zhu'du'hu'zhi
族弟,zu'di
租庸使,zu'yong'shi
族子,zu'zi
最长的,zui'chang'de
最大的帝国,zui'da'de'di'guo
最繁荣的,zui'fan'rong'de
最后的,zui'hou'de
最后石勒,zui'hou'shi'le
最强大的民族,zui'qiang'da'de'min'zu
最强的队伍,zui'qiang'de'dui'wu
最终建立,zui'zhong'jian'li
最终丧亡于,zui'zhong'sang'wang'yu
左部帅,zuo'bu'shuai
作都,zuo'dou
作为据点,zuo'wei'ju'dian
