矮子步,ai'zi'bu
重恩情,zhong'en'qing
中国曲协理事,zhong'guo'qu'xie'li'shi
中国曲艺志,zhong'guo'qu'yi'zhi
中华人物辞海,zhong'hua'ren'wu'ci'hai
忠烈名,zhong'lie'ming
中秋更想咱总理,zhong'qiu'geng'xiang'zan'zong'li
中秋月下,zhong'qiu'yue'xia
忠义厅,zhong'yi'ting
周惠生,zhou'hui'sheng
周天风,zhou'tian'feng
猪八戒拱地,zhu'ba'jie'gong'di
猪八戒招亲,zhu'ba'jie'zhao'qin
猪八戒醉酒,zhu'ba'jie'zui'jiu
朱沧海,zhu'cang'hai
朱德福,zhu'de'fu
主调,zhu'diao
诸葛亮招亲,zhu'ge'liang'zhao'qin
朱洪武挂画,zhu'hong'wu'gua'hua
朱买臣打柴,zhu'mai'chen'da'chai
朱买臣赶考,zhu'mai'chen'gan'kao
朱昇,zhu'sheng
朱维山,zhu'wei'shan
朱晓鹁,zhu'xiao'bo
朱小楠,zhu'xiao'nan
朱玉臣,zhu'yu'chen
抓蝈蝈,zhua'guo'guo
抓家虎,zhua'jia'hu
抓口,zhua'kou
转成人,zhuan'cheng'ren
转回房,zhuan'hui'fang
专口,zhuan'kou
转脸法,zhuan'lian'fa
转扇,zhuan'shan
专调,zhuan'tiao
转腰,zhuan'yao
专业演出团体,zhuan'ye'yan'chu'tuan'ti
转桌子戏,zhuan'zhuo'zi'xi
撞板,zhuang'ban
庄金定思夫,zhuang'jin'ding'si'fu
状元图,zhuang'yuan'tu
追驸马,zhui'fu'ma
追赶咱,zhui'gan'zan
准保行,zhun'bao'xing
拙姑娘,zhuo'gu'niang
桌中央,zhuo'zhong'yang
子路追孔,zi'lu'zhui'kong
自找对象,zi'zhao'dui'xiang
紫竹崖,zi'zhu'ya
宗保抗令,zong'bao'kang'ling
邹宝奎,zou'bao'kui
走场,zou'chang
走出关,zou'chu'guan
走得欢,zou'de'huan
奏一本,zou'yi'ben
走着瞧,zou'zhe'qiao
走至近前,zou'zhi'jin'qian
足下登,zu'xia'deng
祖宗叫,zu'zong'jiao
钻炕洞,zuan'kang'dong
钻心疼,zuan'xin'teng
罪该死,zui'gai'si
醉朦胧,zui'meng'long
尊夫君,zun'fu'jun
坐汴梁,zuo'bian'liang
坐唱,zuo'chang
坐凳子,zuo'deng'zi
坐东京,zuo'dong'jing
做风筝,zuo'feng'zheng
坐龙墩,zuo'long'dun
坐正堂,zuo'zheng'tang
坐中央,zuo'zhong'yang
