阿爸父,a'ba'fu
恒久忍耐,heng'jiu'ren'nai
衡量,heng'liang
衡量人,heng'liang'ren
恒切祷告,heng'qie'dao'gao
恒心,heng'xin
恒心行善,heng'xin'xing'shan
红海,hong'hai
红海对垒,hong'hai'dui'lei
厚厚地,hou'hou'di
后是希利尼人,hou'shi'xi'li'ni'ren
后嗣,hou'si
后裔,hou'yi
胡编乱造,hu'bian'luan'zao
呼喊派,hu'han'pai
忽略救恩,hu'lue'jiu'en
糊涂人,hu'tu'ren
糊涂徒,hu'tu'tu
互相搭配,hu'xiang'da'pei
互相担当,hu'xiang'dan'dang
互相嫉妒,hu'xiang'ji'du
互相劝戒,hu'xiang'quan'jie
互相效力,hu'xiang'xiao'li
护心镜,hu'xin'jing
花必凋谢,hua'bi'diao'xie
化外人,hua'wai'ren
花言巧语,hua'yan'qiao'yu
话语的规模,hua'yu'de'gui'mo
坏树,huai'shu
换根,huan'gen
欢乐,huan'le
患难,huan'nan
患难的缺欠,huan'nan'de'que'qian
患难生老练,huan'nan'sheng'lao'lian
患难中,huan'nan'zhong
换取生命,huan'qu'sheng'ming
换身体,huan'shen'ti
换生命,huan'sheng'ming
换树,huan'shu
欢喜,huan'xi
换心,huan'xin
换种,huan'zhong
黄海为什么黄,huang'hai'wei'shen'me'huang
黄河必须改道,huang'he'bi'xu'gai'dao
荒渺,huang'miao
荒渺的话,huang'miao'de'hua
荒渺无凭,huang'miao'wu'ping
荒宴,huang'yan
毁谤,hui'bang
悔改的洗,hui'gai'de'xi
悔改的心,hui'gai'de'xin
悔改的心和赦罪的恩赐,hui'gai'de'xin'he'she'zui'de'en'ci
悔改的心相称,hui'gai'de'xin'xiang'chen
悔改赦罪的道,hui'gai'she'zui'de'dao
悔改是回转像小孩子,hui'gai'shi'hui'zhuan'xiang'xiao'hai'zi
悔改信福音,hui'gai'xin'fu'yin
毁坏,hui'huai
会幕,hui'mu
会幕制度,hui'mu'zhi'du
回心转意,hui'xin'zhuan'yi
回转,hui'zhuan
回转像小孩子,hui'zhuan'xiang'xiao'hai'zi
回转像小孩子的样式,hui'zhuan'xiang'xiao'hai'zi'de'yang'shi
回转像小孩子的样子,hui'zhuan'xiang'xiao'hai'zi'de'yang'zi
昏昧,hun'mei
或饱足,huo'bao'zu
活出基督,huo'chu'ji'du
活过来,huo'guo'lai
火湖,huo'hu
祸患,huo'huan
活祭,huo'ji
或饥饿,huo'ji'e
或节期,huo'jie'qi
活路,huo'lu
或男或女,huo'nan'huo'nv
活泼的盼望,huo'po'de'pan'wang
或缺乏,huo'que'fa
活人不能叫死树砸死了,huo'ren'bu'neng'jiao'si'shu'za'si'le
活人的神,huo'ren'de'shen
活水泉源,huo'shui'quan'yuan
或说话或行事,huo'shuo'hua'huo'xing'shi
活死人,huo'si'ren
火洗,huo'xi
或以为是或以为非,huo'yi'wei'shi'huo'yi'wei'fei
或有余,huo'you'yu
活在影子里,huo'zai'ying'zi'li
活着不再是我,huo'zhe'bu'zai'shi'wo
活着的死人,huo'zhe'de'si'ren
活着还存留的人,huo'zhe'hai'cun'liu'de'ren
活着是基督,huo'zhe'shi'ji'du
火柱,huo'zhu
既不在约伯的好里,ji'bu'zai'yue'bo'de'hao'li
既不在约伯的善里,ji'bu'zai'yue'bo'de'shan'li
既不在约伯的义里,ji'bu'zai'yue'bo'de'yi'li
极处,ji'chu
击打磐石,ji'da'pan'shi
基督才能活出基督,ji'du'cai'neng'huo'chu'ji'du
基督当生在何处,ji'du'dang'sheng'zai'he'chu
基督道理的开端,ji'du'dao'li'de'kai'duan
基督的,ji'du'de
基督的奥秘,ji'du'de'ao'mi
基督的道理,ji'du'de'dao'li
基督的复活,ji'du'de'fu'huo
基督的降生,ji'du'de'jiang'sheng
基督的教会,ji'du'de'jiao'hui
基督的灵,ji'du'de'ling
基督的律法,ji'du'de'lv'fa
基督的埋葬,ji'du'de'mai'zang
基督的平安,ji'du'de'ping'an
基督的仆人,ji'du'de'pu'ren
基督的忍耐,ji'du'de'ren'nai
基督的日子,ji'du'de'ri'zi
基督的身量,ji'du'de'shen'liang
基督的身体,ji'du'de'shen'ti
基督得胜,ji'du'de'sheng
基督的死,ji'du'de'si
基督的血,ji'du'de'xue
基督的肢体,ji'du'de'zhi'ti
基督活,ji'du'huo
基督活出基督,ji'du'huo'chu'ji'du
基督活着夸基督,ji'du'huo'zhe'kua'ji'du
基督既为我们成了咒诅,ji'du'ji'wei'wo'men'cheng'le'zhou'zu
基督既为我们受了咒诅,ji'du'ji'wei'wo'men'shou'le'zhou'zu
基督降生,ji'du'jiang'sheng
基督究竟被传开了,ji'du'jiu'jing'bei'chuan'kai'le
基督就要光照你了,ji'du'jiu'yao'guang'zhao'ni'le
基督里,ji'du'li
基督里称义,ji'du'li'cheng'yi
基督律法,ji'du'lv'fa
基督人,ji'du'ren
基督是教会的头,ji'du'shi'jiao'hui'de'tou
基督是叫人犯罪的吗,ji'du'shi'jiao'ren'fan'zui'de'ma
基督是灵,ji'du'shi'ling
基督是律法的精意,ji'du'shi'lv'fa'de'jing'yi
基督是律法的实体,ji'du'shi'lv'fa'de'shi'ti
基督是律法的总结,ji'du'shi'lv'fa'de'zong'jie
基督使你们,ji'du'shi'ni'men
基督是我们的生命,ji'du'shi'wo'men'de'sheng'ming
基督十字架的仇敌,ji'du'shi'zi'jia'de'chou'di
基督徒,ji'du'tu
基督耶稣,ji'du'ye'su
基督耶稣的家谱,ji'du'ye'su'de'jia'pu
基督耶稣的仆人,ji'du'ye'su'de'pu'ren
基督耶稣的心肠,ji'du'ye'su'de'xin'chang
基督耶稣降世,ji'du'ye'su'jiang'shi
基督耶稣自己为房角石,ji'du'ye'su'zi'ji'wei'fang'jiao'shi
基督再来,ji'du'zai'lai
基督在我里面活,ji'du'zai'wo'li'mian'huo
基督在我里面活像小孩,ji'du'zai'wo'li'mian'huo'xiang'xiao'hai
基督自己活出基督,ji'du'zi'ji'huo'chu'ji'du
饥饿,ji'e
矶法,ji'fa
激发爱心,ji'fa'ai'xin
既分蹄又倒嚼,ji'fen'ti'you'dao'jiao
极丰富的恩典,ji'feng'fu'de'en'dian
藉光,ji'guang
忌恨,ji'hen
几乎要死,ji'hu'yao'si
几乎至死,ji'hu'zhi'si
既靠圣灵入门,ji'kao'sheng'ling'ru'men
藉了光,ji'le'guang
极力,ji'li
基利家,ji'li'jia
基利家的大数,ji'li'jia'de'da'shu
计谋,ji'mou
记念,ji'nian
极其难过,ji'qi'nan'guo
既然来到,ji'ran'lai'dao
既入了教,ji'ru'le'jiao
既属乎基督,ji'shu'hu'ji'du
祭司,ji'si
祭司长,ji'si'zhang
既替,ji'ti
藉天使经中保之手,ji'tian'shi'jing'zhong'bao'zhi'shou
藉天使经中保之手设立,ji'tian'shi'jing'zhong'bao'zhi'shou'she'li
藉我们所传的福音,ji'wo'men'suo'chuan'de'fu'yin
祭物,ji'wu
积蓄忿怒,ji'xu'fen'nu
基业,ji'ye
既已,ji'yi
既已赦免,ji'yi'she'mian
既因,ji'yin
既因耶稣的血,ji'yin'ye'su'de'xue
既有,ji'you
既有人的样子,ji'you'ren'de'yang'zi
极远,ji'yuan
极远之处,ji'yuan'zhi'chu
记在律法上的规条,ji'zai'lv'fa'shang'de'gui'tiao
藉着,ji'zhe
藉着祷告祈求和感谢,ji'zhe'dao'gao'qi'qiu'he'gan'xie
藉着人的信,ji'zhe'ren'de'xin
藉着死赎我脱离律法,ji'zhe'si'shu'wo'tuo'li'lv'fa
藉着祂感谢父神,ji'zhe'ta'gan'xie'fu'shen
藉着预言,ji'zhe'yu'yan
既知道,ji'zhi'dao
及至时候满足,ji'zhi'shi'hou'man'zu
假币,jia'bi
假鼻,jia'bi
假钞,jia'chao
假道,jia'dao
假弟兄,jia'di'xiong
假发,jia'fa
加给我力量的,jia'gei'wo'li'liang'de
加工罪,jia'gong'zui
假见证,jia'jian'zheng
嫁接,jia'jie
假敬虔,jia'jing'qian
加拉太书,jia'la'tai'shu
迦勒,jia'le
迦勒底,jia'le'di
加利利,jia'li'li
加利利境内,jia'li'li'jing'nei
假冒,jia'mao
假冒敬虔,jia'mao'jing'qian
假冒属灵,jia'mao'shu'ling
假冒为善,jia'mao'wei'shan
假冒为善的人,jia'mao'wei'shan'de'ren
假眉毛,jia'mei'mao
假牧人,jia'mu'ren
迦南,jia'nan
迦南地,jia'nan'di
迦南七族,jia'nan'qi'zu
迦南人,jia'nan'ren
假平安,jia'ping'an
家谱,jia'pu
嫁娶,jia'qu
加热的律,jia're'de'lv
加上守,jia'shang'shou
假神,jia'shen
假誓,jia'shi
加守,jia'shou
加守律法,jia'shou'lv'fa
假属灵,jia'shu'ling
枷锁,jia'suo
加添,jia'tian
家庭教会,jia'ting'jiao'hui
假先知,jia'xian'zhi
假象,jia'xiang
假信,jia'xin
假眼珠,jia'yan'zhu
假药,jia'yao
加增,jia'zeng
加增我捆锁的苦楚,jia'zeng'wo'kun'suo'de'ku'chu
假肢,jia'zhi
贱病,jian'bing
坚不可攻,jian'bu'ke'gong
剪除,jian'chu
坚定不移,jian'ding'bu'yi
坚固不动摇,jian'gu'bu'dong'yao
渐渐,jian'jian
渐渐变坏,jian'jian'bian'huai
渐渐成为主的圣殿,jian'jian'cheng'wei'zhu'de'sheng'dian
渐渐更新,jian'jian'geng'xin
渐渐增长,jian'jian'zeng'zhang
捡来的,jian'lai'de
捡来的挨骂,jian'lai'de'ai'ma
捡来的咒诅,jian'lai'de'zhou'zu
建立基督的身体,jian'li'ji'du'de'shen'ti
建立自己,jian'li'zi'ji
捡破烂,jian'po'lan
见识,jian'shi
见识上,jian'shi'shang
坚守,jian'shou
拣选,jian'xuan
拣选人的旨意,jian'xuan'ren'de'zhi'yi
奸淫,jian'yin
建造,jian'zao
建造的人枉然劳力,jian'zao'de'ren'wang'ran'lao'li
见证,jian'zheng
捡咒诅,jian'zhou'zu
见主,jian'zhu
讲道,jiang'dao
讲道视频,jiang'dao'shi'pin
讲道视频目录,jiang'dao'shi'pin'mu'lu
将父显给我们看,jiang'fu'xian'gei'wo'men'kan
将功补过,jiang'gong'bu'guo
降级,jiang'ji
将来的真道,jiang'lai'de'zhen'dao
将来的真道显明出来,jiang'lai'de'zhen'dao'xian'ming'chu'lai
将两下合二为一,jiang'liang'xia'he'er'wei'yi
降临,jiang'lin
降临的荣光,jiang'lin'de'rong'guang
讲论,jiang'lun
将你们所要的告诉神,jiang'ni'men'suo'yao'de'gao'su'shen
降生,jiang'sheng
将生命的道表明出来,jiang'sheng'ming'de'dao'biao'ming'chu'lai
降世,jiang'shi
降世为人,jiang'shi'wei'ren
将这些事提醒弟兄们,jiang'zhe'xie'shi'ti'xing'di'xiong'men
犟嘴,jiang'zui
教导的,jiao'dao'de
浇奠,jiao'dian
教法师,jiao'fa'shi
交给撒旦,jiao'gei'sa'dan
浇灌,jiao'guan
交鬼,jiao'gui
叫过犯显多,jiao'guo'fan'xian'duo
教会,jiao'hui
教会全体之首,jiao'hui'quan'ti'zhi'shou
教会是基督的身体,jiao'hui'shi'ji'du'de'shen'ti
教会是祂的身体,jiao'hui'shi'ta'de'shen'ti
较量,jiao'liang
酵母,jiao'mu
叫那信而明白真道的人,jiao'na'xin'er'ming'bai'zhen'dao'de'ren
教内,jiao'nei
叫你经历神的能力,jiao'ni'jing'li'shen'de'neng'li
搅扰,jiao'rao
叫人活,jiao'ren'huo
叫人活的诫命,jiao'ren'huo'de'jie'ming
叫人活的灵,jiao'ren'huo'de'ling
叫人死,jiao'ren'si
叫人死的诫命,jiao'ren'si'de'jie'ming
叫人无可推诿,jiao'ren'wu'ke'tui'wei
叫人知道善恶的是律法,jiao'ren'zhi'dao'shan'e'de'shi'lv'fa
叫人知罪,jiao'ren'zhi'zui
叫人知罪的是律法,jiao'ren'zhi'zui'de'shi'lv'fa
叫他们信从虚谎,jiao'ta'men'xin'cong'xu'huang
叫听见的人得益处,jiao'ting'jian'de'ren'de'yi'chu
交托,jiao'tuo
教外,jiao'wai
叫我可以,jiao'wo'ke'yi
叫我可以向神活着,jiao'wo'ke'yi'xiang'shen'huo'zhe
叫一切信祂的,jiao'yi'qie'xin'ta'de
教育,jiao'yu
结巴,jie'ba
结出,jie'chu
结出一个结果就是罪,jie'chu'yi'ge'jie'guo'jiu'shi'zui
接待远人,jie'dai'yuan'ren
结党,jie'dang
借刀杀人,jie'dao'sha'ren
借光,jie'guang
结果,jie'guo
结果不止,jie'guo'bu'zhi
结果子,jie'guo'zi
结果子更多,jie'guo'zi'geng'duo
戒荤,jie'hun
结伙,jie'huo
结伙抵挡,jie'huo'di'dang
洁净,jie'jing
解经,jie'jing
洁净的叫他仍旧洁净,jie'jing'de'jiao'ta'reng'jiu'jie'jing
结局就是死,jie'ju'jiu'shi'si
揭开,jie'kai
借了光,jie'le'guang
竭力,jie'li
竭力保守,jie'li'bao'shou
竭力进到完全的地步,jie'li'jin'dao'wan'quan'de'di'bu
竭力追求,jie'li'zhui'qiu
结满了仁义的果子,jie'man'le'ren'yi'de'guo'zi
诫命,jie'ming
诫命活了我死了,jie'ming'huo'le'wo'si'le
诫命来到,jie'ming'lai'dao
节期,jie'qi
揭去,jie'qu
结束了,jie'shu'le
结束了创造的工,jie'shu'le'chuang'zao'de'gong
结束了创造之工,jie'shu'le'chuang'zao'zhi'gong
结束了救赎的工,jie'shu'le'jiu'shu'de'gong
结束了救赎之工,jie'shu'le'jiu'shu'zhi'gong
借着,jie'zhe
节制,jie'zhi
进不进,jin'bu'jin
进不进方舟,jin'bu'jin'fang'zhou
近处的人,jin'chu'de'ren
进到更完全的地步,jin'dao'geng'wan'quan'de'di'bu
进到律法里,jin'dao'lv'fa'li
进到律法下,jin'dao'lv'fa'xia
进到完全的地步,jin'dao'wan'quan'de'di'bu
进方舟,jin'fang'zhou
禁戒,jin'jie
筋节得以相助联络,jin'jie'de'yi'xiang'zhu'lian'luo
禁戒食物,jin'jie'shi'wu
进律法,jin'lv'fa
进律法里,jin'lv'fa'li
进律法下,jin'lv'fa'xia
尽你从主所受的职分,jin'ni'cong'zhu'suo'shou'de'zhi'fen
进入幔内,jin'ru'man'nei
谨慎,jin'shen
谨慎行事,jin'shen'xing'shi
谨慎自己和自己的教训,jin'shen'zi'ji'he'zi'ji'de'jiao'xun
今世富足,jin'shi'fu'zu
谨守,jin'shou
谨守遵行,jin'shou'zun'xing
进祂国,jin'ta'guo
进天国,jin'tian'guo
尽心竭力,jin'xin'jie'li
今在,jin'zai
禁止嫁娶,jin'zhi'jia'qu
尽诸般的义,jin'zhu'ban'de'yi
敬拜,jing'bai
敬奉,jing'feng
警戒,jing'jie
经历,jing'li
经历从死里复活,jing'li'cong'si'li'fu'huo
经历神的道,jing'li'shen'de'dao
经历神的话,jing'li'shen'de'hua
经炼,jing'lian
经炼的时候,jing'lian'de'shi'hou
经炼过,jing'lian'guo
经炼过的人,jing'lian'guo'de'ren
经炼中,jing'lian'zhong
敬虔,jing'qian
敬虔的奥秘,jing'qian'de'ao'mi
敬虔的生活,jing'qian'de'sheng'huo
敬虔的生命,jing'qian'de'sheng'ming
敬虔端正,jing'qian'duan'zheng
经上记着说,jing'shang'ji'zhe'shuo
经上说,jing'shang'shuo
敬畏,jing'wei
敬畏神,jing'wei'shen
敬畏神的人,jing'wei'shen'de'ren
敬畏耶和华,jing'wei'ye'he'hua
敬畏耶和华的灵,jing'wei'ye'he'hua'de'ling
敬畏主,jing'wei'zhu
惊吓,jing'xia
颈项,jing'xiang
警醒不倦,jing'xing'bu'juan
警醒谨守,jing'xing'jin'shou
精意,jing'yi
精意基督,jing'yi'ji'du
精意叫人活,jing'yi'jiao'ren'huo
精意解经,jing'yi'jie'jing
精意却叫人活,jing'yi'que'jiao'ren'huo
精意是基督,jing'yi'shi'ji'du
敬重,jing'zhong
就被咒诅,jiu'bei'zhou'zu
就必,jiu'bi
就必得救,jiu'bi'de'jiu
就不定罪了,jiu'bu'ding'zui'le
就不服,jiu'bu'fu
就不服神的义了,jiu'bu'fu'shen'de'yi'le
就不在黑暗里走,jiu'bu'zai'hei'an'li'zou
究察,jiu'cha
就担当了多人的罪,jiu'dan'dang'le'duo'ren'de'zui
就当靠圣灵行事,jiu'dang'kao'sheng'ling'xing'shi
就当恐惧战兢,jiu'dang'kong'ju'zhan'jing
就当用,jiu'dang'yong
就当与蒙召的恩相称,jiu'dang'yu'meng'zhao'de'en'xiang'chen
就当遵祂而行,jiu'dang'zun'ta'er'xing
就等于卖给罪,jiu'deng'yu'mai'gei'zui
就等于脱离这个律,jiu'deng'yu'tuo'li'zhe'ge'lv
就等于脱离这个律了,jiu'deng'yu'tuo'li'zhe'ge'lv'le
救恩,jiu'en
救恩的门,jiu'en'de'men
救恩的头盔,jiu'en'de'tou'kui
旧酵,jiu'jiao
就结出许多子粒来,jiu'jie'chu'xu'duo'zi'li'lai
就结出一个结果就是罪,jiu'jie'chu'yi'ge'jie'guo'jiu'shi'zui
救了你,jiu'le'ni
就没有一样可弃的,jiu'mei'you'yi'yang'ke'qi'de
就能抵挡魔鬼的诡计,jiu'neng'di'dang'mo'gui'de'gui'ji
酒能使人放荡,jiu'neng'shi'ren'fang'dang
救你脱离黑暗权势,jiu'ni'tuo'li'hei'an'quan'shi
救你脱离律法,jiu'ni'tuo'li'lv'fa
救你脱离肉体,jiu'ni'tuo'li'rou'ti
救你脱离撒旦权势,jiu'ni'tuo'li'sa'dan'quan'shi
救你脱离世界,jiu'ni'tuo'li'shi'jie
救你脱离罪恶,jiu'ni'tuo'li'zui'e
旧人,jiu'ren
旧人的行为,jiu'ren'de'xing'wei
旧人与旧人的行为,jiu'ren'yu'jiu'ren'de'xing'wei
旧事,jiu'shi
就是沉沦之子,jiu'shi'chen'lun'zhi'zi
就是光,jiu'shi'guang
就是基督,jiu'shi'ji'du
就世界而论,jiu'shi'jie'er'lun
就是灵,jiu'shi'ling
就是神的道,jiu'shi'shen'de'dao
就是神所造,jiu'shi'shen'suo'zao
就是神在肉身显现,jiu'shi'shen'zai'rou'shen'xian'xian
就是死,jiu'shi'si
旧事已过,jiu'shi'yi'guo
旧事已过都变成新的了,jiu'shi'yi'guo'dou'bian'cheng'xin'de'le
就是罪,jiu'shi'zui
就是作神的工,jiu'shi'zuo'shen'de'gong
就赎出,jiu'shu'chu
救赎大工,jiu'shu'da'gong
救赎大功告成,jiu'shu'da'gong'gao'cheng
救赎的工,jiu'shu'de'gong
救赎的工程,jiu'shu'de'gong'cheng
救赎工程完工,jiu'shu'gong'cheng'wan'gong
救赎之工,jiu'shu'zhi'gong
救赎之工完工,jiu'shu'zhi'gong'wan'gong
救赎之工完结,jiu'shu'zhi'gong'wan'jie
救赎主,jiu'shu'zhu
就完全了基督的律法,jiu'wan'quan'le'ji'du'de'lv'fa
旧我,jiu'wo
就我而论,jiu'wo'er'lun
救我们,jiu'wo'men
救我们脱离那恶者,jiu'wo'men'tuo'li'na'e'zhe
就向,jiu'xiang
就向律法死了,jiu'xiang'lv'fa'si'le
旧样,jiu'yang
就因神大得长进,jiu'yin'shen'da'de'zhang'jin
就应当谨守,jiu'ying'dang'jin'shou
旧约,jiu'yue
旧约的人,jiu'yue'de'ren
旧约彰显神的公义,jiu'yue'zhang'xian'shen'de'gong'yi
旧造,jiu'zao
旧造的人,jiu'zao'de'ren
就仗着十字架夸胜,jiu'zhang'zhe'shi'zi'jia'kua'sheng
就知道仍要住在世间,jiu'zhi'dao'reng'yao'zhu'zai'shi'jian
救主,jiu'zhu
救主耶稣,jiu'zhu'ye'su
聚成一团,ju'cheng'yi'tuan
聚集,ju'ji
拘禁,ju'jin
拘泥,ju'ni
局外人,ju'wai'ren
居右,ju'you
居住在基督里面,ju'zhu'zai'ji'du'li'mian
居左,ju'zuo
绝对,jue'dui
绝路缝生,jue'lu'feng'sheng
君尊,jun'zun
开传道的门,kai'chuan'dao'de'men
开端,kai'duan
开恩,kai'en
开口讲明福音的奥秘,kai'kou'jiang'ming'fu'yin'de'ao'mi
看别人比我更好,kan'bie'ren'bi'wo'geng'hao
看顾,kan'gu
看是看见却不明白,kan'shi'kan'jian'que'bu'ming'bai
看守,kan'shou
看守在,kan'shou'zai
看我比别人更坏,kan'wo'bi'bie'ren'geng'huai
看作粪土,kan'zuo'fen'tu
抗拒,kang'ju
靠恩守律,kao'en'shou'lv
靠律法,kao'lv'fa
靠律法成全,kao'lv'fa'cheng'quan
靠律法称义,kao'lv'fa'cheng'yi
靠肉身成全,kao'rou'shen'cheng'quan
靠肉体,kao'rou'ti
靠肉体去守律法,kao'rou'ti'qu'shou'lv'fa
靠神,kao'shen
靠圣灵,kao'sheng'ling
靠圣灵得生,kao'sheng'ling'de'sheng
靠圣灵入门,kao'sheng'ling'ru'men
靠圣灵行事,kao'sheng'ling'xing'shi
靠祂,kao'ta
靠祂同被建造,kao'ta'tong'bei'jian'zao
靠信心,kao'xin'xin
靠行为,kao'xing'wei
考验,kao'yan
靠着,kao'zhe
靠着律法,kao'zhe'lv'fa
靠着那加给我力量的,kao'zhe'na'jia'gei'wo'li'liang'de
靠着神,kao'zhe'shen
靠着圣灵,kao'zhe'sheng'ling
靠着耶稣的血,kao'zhe'ye'su'de'xue
靠着耶稣基督,kao'zhe'ye'su'ji'du
靠着主,kao'zhe'zhu
靠主,kao'zhu
可耻,ke'chi
可敬的有美名的,ke'jing'de'you'mei'ming'de
客旅,ke'lv
可蒙悦纳,ke'meng'yue'na
渴慕,ke'mu
可弃的,ke'qi'de
可图,ke'tu
可责之处,ke'ze'zhi'chu
可憎,ke'zeng
可憎的,ke'zeng'de
克制,ke'zhi
克制肉体的情绪凭自己,ke'zhi'rou'ti'de'qing'xu'ping'zi'ji
克制肉体的情欲,ke'zhi'rou'ti'de'qing'yu
肯定死,ken'ding'si
恳求,ken'qiu
控告,kong'gao
控告人,kong'gao'ren
恐吓,kong'he
恐惧战兢,kong'ju'zhan'jing
恐怕被人毁谤,kong'pa'bei'ren'hui'bang
恐怕你们忧伤,kong'pa'ni'men'you'shang
恐怕他们失了志气,kong'pa'ta'men'shi'le'zhi'qi
恐怕他自高自大,kong'pa'ta'zi'gao'zi'da
空跑,kong'pao
控诉人,kong'su'ren
空谈,kong'tan
空有其名,kong'you'qi'ming
控制住,kong'zhi'zhu
空中楼阁,kong'zhong'lou'ge
空中相遇,kong'zhong'xiang'yu
口唱心和,kou'chang'xin'he
口唱心和的赞美主,kou'chang'xin'he'de'zan'mei'zhu
口传,kou'chuan
口里承认,kou'li'cheng'ren
叩门,kou'men
口中的气,kou'zhong'de'qi
苦杯,ku'bei
苦待,ku'dai
苦待己身,ku'dai'ji'shen
苦毒,ku'du
枯干,ku'gan
枯骨,ku'gu
枯骨复苏,ku'gu'fu'su
苦害,ku'hai
苦难,ku'nan
苦难中,ku'nan'zhong
夸基督,kua'ji'du
夸口,kua'kou
夸胜,kua'sheng
夸主,kua'zhu
夸自己,kua'zi'ji
宽门,kuan'men
狂傲,kuang'ao
旷野,kuang'ye
窥察,kui'cha
亏负,kui'fu
亏欠,kui'qian
捆绑,kun'bang
捆绑人,kun'bang'ren
捆绑人的轭,kun'bang'ren'de'e
困苦,kun'ku
捆锁,kun'suo
捆锁之中,kun'suo'zhi'zhong
喇合,la'he
喇合氏,la'he'shi
拉结,la'jie
拉玛,la'ma
拉撒路,la'sa'lu
来衡量人,lai'heng'liang'ren
拦阻,lan'zu
拦阻的,lan'zu'de
老底嘉,lao'di'jia
老妇,lao'fu
老妇荒渺的话,lao'fu'huang'miao'de'hua
烙惯,lao'guan
老旧人,lao'jiu'ren
牢靠,lao'kao
劳苦的人,lao'ku'de'ren
牢牢的持守住,lao'lao'de'chi'shou'zhu
牢牢的守住,lao'lao'de'shou'zhu
劳力,lao'li
老练,lao'lian
牢笼,lao'long
劳碌,lao'lu
老年妇女,lao'nian'fu'nv
老我,lao'wo
老亚当,lao'ya'dang
了结了,le'jie'le
了结了一切的争端,le'jie'le'yi'qie'de'zheng'duan
乐意供给人,le'yi'gong'ji'ren
乐意接待远人,le'yi'jie'dai'yuan'ren
乐园,le'yuan
肋骨,lei'gu
肋旁,lei'pang
勒死的动物,lei'si'de'dong'wu
勒死的牲畜,lei'si'de'sheng'chu
冷的律,leng'de'lv
立碑树状,li'bei'shu'zhuang
历代志上,li'dai'zhi'shang
历代志下,li'dai'zhi'xia
理当,li'dang
离道,li'dao
离道反教,li'dao'fan'jiao
离道反教的事,li'dao'fan'jiao'de'shi
立定,li'ding
立定心志,li'ding'xin'zhi
立功,li'gong
立功之法,li'gong'zhi'fa
利剑,li'jian
离间,li'jian
离开基督道理的开端,li'kai'ji'du'dao'li'de'kai'duan
离了我,li'le'wo
里面却是残暴的狼,li'mian'que'shi'can'bao'de'lang
离弃偶像,li'qi'ou'xiang
离弃真道,li'qi'zhen'dao
离弃真道之人的诫命,li'qi'zhen'dao'zhi'ren'de'jie'ming
立人的义,li'ren'de'yi
离肉体最近,li'rou'ti'zui'jin
力上加力,li'shang'jia'li
立神的义,li'shen'de'yi
离世,li'shi
利未,li'wei
利未记,li'wei'ji
利未支派,li'wei'zhi'pai
理性知道,li'xing'zhi'dao
理性知道耶稣复活,li'xing'zhi'dao'ye'su'fu'huo
理学,li'xue
利亚,li'ya
立约,li'yue
立约的血,li'yue'de'xue
立志行事,li'zhi'xing'shi
立志作安静人,li'zhi'zuo'an'jing'ren
联合,lian'he
连接,lian'jie
炼净,lian'jing
连来世的也都超过了,lian'lai'shi'de'ye'dou'chao'guo'le
联络,lian'luo
联络全德,lian'luo'quan'de
怜悯,lian'min
怜悯人的神,lian'min'ren'de'shen
恋世俗,lian'shi'su
恋世俗的,lian'shi'su'de
连我们,lian'wo'men
连我们也信了耶稣基督,lian'wo'men'ye'xin'le'ye'su'ji'du
怜恤,lian'xu
连于,lian'yu
连于元首,lian'yu'yuan'shou
连于元首基督,lian'yu'yuan'shou'ji'du
连自己也不守律法,lian'zi'ji'ye'bu'shou'lv'fa
两等,liang'deng
两等根基,liang'deng'gen'ji
量给,liang'gei
量给各人,liang'gei'ge'ren
量给各人的恩赐,liang'gei'ge'ren'de'en'ci
亮光,liang'guang
梁木,liang'mu
两难之间,liang'nan'zhi'jian
两刃,liang'ren
两刃的利剑,liang'ren'de'li'jian
良善,liang'shan
良善的夫子,liang'shan'de'fu'zi
良善的只有一位,liang'shan'de'zhi'you'yi'wei
良心的律法,liang'xin'de'lv'fa
良心既然丧尽,liang'xin'ji'ran'sang'jin
良心律法,liang'xin'lv'fa
良心律法没守住,liang'xin'lv'fa'mei'shou'zhu
良心丧尽,liang'xin'sang'jin
两约,liang'yue
了结,liao'jie
了结争端,liao'jie'zheng'duan
了事,liao'shi
了事了,liao'shi'le
列王记上,lie'wang'ji'shang
列王记下,lie'wang'ji'xia
林后,lin'hou
林前,lin'qian
邻舍,lin'she
灵成,ling'cheng
灵程,ling'cheng
灵成的祭物,ling'cheng'de'ji'wu
灵成的肉身,ling'cheng'de'rou'shen
灵成的物件,ling'cheng'de'wu'jian
灵成肉身,ling'cheng'rou'shen
领出来,ling'chu'lai
领多人归义,ling'duo'ren'gui'yi
灵恩派异端,ling'en'pai'yi'duan
灵耳,ling'er
灵歌,ling'ge
灵宫,ling'gong
灵魂,ling'hun
灵魂的锚,ling'hun'de'mao
灵魂复活,ling'hun'fu'huo
灵魂死,ling'hun'si
灵祭,ling'ji
灵加上信,ling'jia'shang'xin
灵加上信耶稣,ling'jia'shang'xin'ye'su
灵加上信迎合生的律,ling'jia'shang'xin'ying'he'sheng'de'lv
灵加信,ling'jia'xin
灵界,ling'jie
领了他的教,ling'le'ta'de'jiao
灵力,ling'li
灵历,ling'li
灵里,ling'li
灵里合一,ling'li'he'yi
另立新约,ling'li'xin'yue
灵粮,ling'liang
