阿不都热希提,a'bu'dou're'xi'ti
一鸣书店,yi'ming'shu'dian
依撒,yi'sa
益生园大药房,yi'sheng'yuan'da'yao'fang
伊诗丹,yi'shi'dan
一条山,yi'tiao'shan
依协克帕提,yi'xie'ke'pa'ti
艺星幼儿园,yi'xing'you'er'yuan
怡秀,yi'xiu
一阳咖啡,yi'yang'ka'fei
伊韵儿,yi'yun'er
驿站旅馆,yi'zhan'lv'guan
衣之纯,yi'zhi'chun
一支渠,yi'zhi'qu
银海宾馆,yin'hai'bin'guan
银河酒店,yin'he'jiu'dian
银环宾馆,yin'huan'bin'guan
茵佳妮,yin'jia'ni
殷家庄,yin'jia'zhuang
饮马河,yin'ma'he
银屏山,yin'ping'shan
银石山,yin'shi'shan
银星大酒店,yin'xing'da'jiu'dian
英阿瓦提,ying'a'wa'ti
英阿瓦提村,ying'a'wa'ti'cun
英巴格,ying'ba'ge
英迪龙,ying'di'long
英格布拉克,ying'ge'bu'la'ke
营建连,ying'jian'lian
英杰超市,ying'jie'chao'shi
英买里,ying'mai'li
英买里村,ying'mai'li'cun
营盘口,ying'pan'kou
英苏,ying'su
英吾斯塘乡,ying'wu'si'tang'xiang
英下乡,ying'xia'xiang
英雄山,ying'xiong'shan
鹰嘴山,ying'zui'shan
永昌小区,yong'chang'xiao'qu
永丰湖,yong'feng'hu
永红学校,yong'hong'xue'xiao
永康药店,yong'kang'yao'dian
永乐花园,yong'le'hua'yuan
永宁派出所,yong'ning'pai'chu'suo
永宁镇,yong'ning'zhen
永宁镇政府,yong'ning'zhen'zheng'fu
永宁中学,yong'ning'zhong'xue
永升公司,yong'sheng'gong'si
永兴宾馆,yong'xing'bin'guan
油城宾馆,you'cheng'bin'guan
邮电宾馆,you'dian'bin'guan
尤勒滚,you'le'gun
尤木拉克,you'mu'la'ke
油田宾馆,you'tian'bin'guan
油田化学助剂厂,you'tian'hua'xue'zhu'ji'chang
友谊宾馆,you'yi'bin'guan
邮政大厦,you'zheng'da'sha
邮政书店,you'zheng'shu'dian
鱼场,yu'chang
玉带山,yu'dai'shan
玉科克,yu'ke'ke
玉兰服饰,yu'lan'fu'shi
尉犁实验中学,yu'li'shi'yan'zhong'xue
尉犁县,yu'li'xian
尉犁县政府,yu'li'xian'zheng'fu
尉犁小学,yu'li'xiao'xue
尉犁中学,yu'li'zhong'xue
淤泥河,yu'ni'he
玉山,yu'shan
榆树泉,yu'shu'quan
榆树园,yu'shu'yuan
榆树园村,yu'shu'yuan'cun
雨水生态园,yu'shui'sheng'tai'yuan
育童幼儿园,yu'tong'you'er'yuan
育英村,yu'ying'cun
远东宾馆,yuan'dong'bin'guan
园林连,yuan'lin'lian
园林一连,yuan'lin'yi'lian
园艺场六队,yuan'yi'chang'liu'dui
园艺村,yuan'yi'cun
园艺一连,yuan'yi'yi'lian
月湖,yue'hu
跃进庄,yue'jin'zhuang
岳山,yue'shan
月牙湖,yue'ya'hu
月牙沙,yue'ya'sha
月牙湾,yue'ya'wan
云母矿,yun'mu'kuang
云雾岭,yun'wu'ling
云霞山,yun'xia'shan
再库,zai'ku
扎滚鲁克村,zha'gun'lu'ke'cun
摘星山,zhai'xing'shan
张公山,zhang'gong'shan
朝阳宾馆,zhao'yang'bin'guan
朝阳轮胎,zhao'yang'lun'tai
沼泽地,zhao'ze'di
真爱咖啡,zhen'ai'ka'fei
镇工商所,zhen'gong'shang'suo
真美堡,zhen'mei'bao
值班连,zhi'ban'lian
织布厂,zhi'bu'chang
纸箱厂,zhi'xiang'chang
至真至美,zhi'zhen'zhi'mei
中超体育,zhong'chao'ti'yu
中村,zhong'cun
中国电信大厦,zhong'guo'dian'xin'da'sha
中间房,zhong'jian'fang
中恰其,zhong'qia'qi
中山学校,zhong'shan'xue'xiao
中山医院,zhong'shan'yi'yuan
中式简餐,zhong'shi'jian'can
中兴大药房,zhong'xing'da'yao'fang
中亚宾馆,zhong'ya'bin'guan
种业大厦,zhong'ye'da'sha
中原油建,zhong'yuan'you'jian
周织男装,zhou'zhi'nan'zhuang
诸葛烤鱼,zhu'ge'kao'yu
砖厂,zhuan'chang
紫泥泉,zi'ni'quan
自然美生活馆,zi'ran'mei'sheng'huo'guan
祖佐,zu'zuo
醉仙居,zui'xian'ju
尊龙世陶,zun'long'shi'tao
