阿洪病,a'hong'bing
肾阴,shen'yin
肾阴不足,shen'yin'bu'zu
肾阴不足水液不利证,shen'yin'bu'zu'shui'ye'bu'li'zheng
肾阴不足证,shen'yin'bu'zu'zheng
肾阴耗损证,shen'yin'hao'sun'zheng
肾阴亏虚证,shen'yin'kui'xu'zheng
肾阴虚,shen'yin'xu
肾阴虚损证,shen'yin'xu'sun'zheng
肾阴虚证,shen'yin'xu'zheng
肾阴阳两虚证,shen'yin'yang'liang'xu'zheng
肾痈,shen'yong
肾俞,shen'yu
肾盂癌,shen'yu'ai
肾盂白斑病,shen'yu'bai'ban'bing
肾盂间质反流,shen'yu'jian'zhi'fan'liu
肾盂镜检查术,shen'yu'jing'jian'cha'shu
肾盂静脉反流,shen'yu'jing'mai'fan'liu
肾盂静脉曲张,shen'yu'jing'mai'qu'zhang
肾盂淋巴反流,shen'yu'lin'ba'fan'liu
肾盂鳞状细胞癌,shen'yu'lin'zhuang'xi'bao'ai
肾盂毛细血管扩张症,shen'yu'mao'xi'xue'guan'kuo'zhang'zheng
肾与膀胱相表里,shen'yu'pang'guang'xiang'biao'li
肾盂旁囊肿,shen'yu'pang'nang'zhong
肾盂切开取石术,shen'yu'qie'kai'qu'shi'shu
肾盂切开术,shen'yu'qie'kai'shu
肾盂乳头状癌,shen'yu'ru'tou'zhuang'ai
肾盂乳头状瘤,shen'yu'ru'tou'zhuang'liu
肾盂肾炎,shen'yu'shen'yan
肾盂输尿管松解术,shen'yu'shu'niao'guan'song'jie'shu
肾盂输尿管造影,shen'yu'shu'niao'guan'zao'ying
肾俞穴,shen'yu'xue
肾盂血管瘤,shen'yu'xue'guan'liu
肾盂压测定,shen'yu'ya'ce'ding
肾盂移行细胞癌,shen'yu'yi'hang'xi'bao'ai
肾盂源性囊肿,shen'yu'yuan'xing'nang'zhong
肾盂造瘘术,shen'yu'zao'lou'shu
肾盂肿瘤,shen'yu'zhong'liu
肾盂周围囊肿,shen'yu'zhou'wei'nang'zhong
肾元不足内风暗煽证,shen'yuan'bu'zu'nei'feng'an'shan'zheng
肾元不足证,shen'yuan'bu'zu'zheng
肾元亏虚邪毒停聚证,shen'yuan'kui'xu'xie'du'ting'ju'zheng
肾元亏虚证,shen'yuan'kui'xu'zheng
深在性红斑狼疮,shen'zai'xing'hong'ban'lang'chuang
肾脏相互平衡,shen'zang'xiang'hu'ping'heng
肾造瘘术,shen'zao'lou'shu
慎斋遗书医方集解,shen'zhai'yi'shu'yi'fang'ji'jie
肾盏成形术,shen'zhan'cheng'xing'shu
伸展蛋白,shen'zhan'dan'bai
肾盏结核,shen'zhan'jie'he
肾盏静脉瘘,shen'zhan'jing'mai'lou
肾盏憩室,shen'zhan'qi'shi
神志不安证,shen'zhi'bu'an'zheng
神志不宁,shen'zhi'bu'ning
肾脂肪瘤,shen'zhi'fang'liu
肾脂肪肉瘤,shen'zhi'fang'rou'liu
肾指数,shen'zhi'shu
肾肿瘤,shen'zhong'liu
身重疼痛,shen'zhong'teng'tong
肾周围囊肿,shen'zhou'wei'nang'zhong
肾轴性旋转,shen'zhou'xing'xuan'zhuan
肾著,shen'zhu
身柱,shen'zhu
肾主骨,shen'zhu'gu
肾主水,shen'zhu'shui
身柱穴,shen'zhu'xue
肾子草,shen'zi'cao
肾紫癜,shen'zi'dian
肾子宫内膜异位症,shen'zi'gong'nei'mo'yi'wei'zheng
肾子藤,shen'zi'teng
深自误哉,shen'zi'wu'zai
声摆,sheng'bai
生百部,sheng'bai'bu
生白芍,sheng'bai'shao
生白术,sheng'bai'zhu
省病诊疾,sheng'bing'zhen'ji
生侧柏,sheng'ce'bai
升柴参草当归身,sheng'chai'can'cao'dang'gui'shen
生成理论,sheng'cheng'li'lun
生成语义学,sheng'cheng'yu'yi'xue
生成转换语法,sheng'cheng'zhuan'huan'yu'fa
生川乌,sheng'chuan'wu
生磁石,sheng'ci'shi
生大黄,sheng'da'huang
声带麻痹,sheng'dai'ma'bi
生稻芽,sheng'dao'ya
升登,sheng'deng
生地,sheng'di
生地车前泽泻偕,sheng'di'che'qian'ze'xie'xie
生地丹皮升麻全,sheng'di'dan'pi'sheng'ma'quan
生地黄,sheng'di'huang
生地黄炭,sheng'di'huang'tan
生地榆,sheng'di'yu
生杜仲,sheng'du'zhong
生发层,sheng'fa'ceng
生发泡,sheng'fa'pao
生发细胞,sheng'fa'xi'bao
生发中心,sheng'fa'zhong'xin
生蛤壳,sheng'ge'ke
生谷芽,sheng'gu'ya
省沽油,sheng'gu'you
省沽油根,sheng'gu'you'gen
生贯众,sheng'guan'zhong
生何首乌,sheng'he'shou'wu
胜红蓟,sheng'hong'ji
生化汤,sheng'hua'tang
生化遗传学,sheng'hua'yi'chuan'xue
生槐花,sheng'huai'hua
生黄芪,sheng'huang'qi
生活技能咨询,sheng'huo'ji'neng'zi'xun
生活事件,sheng'huo'shi'jian
生活事件量表,sheng'huo'shi'jian'liang'biao
生活应激,sheng'huo'ying'ji
生鸡内金,sheng'ji'nei'jin
省疾问病,sheng'ji'wen'bing
生姜,sheng'jiang
升降合剂,sheng'jiang'he'ji
生姜皮,sheng'jiang'pi
生姜泻心汤,sheng'jiang'xie'xin'tang
生津,sheng'jin
生津润燥,sheng'jin'run'zao
生卷柏,sheng'juan'bai
生军,sheng'jun
生理机制,sheng'li'ji'zhi
生理零度,sheng'li'ling'du
生理心理学,sheng'li'xin'li'xue
生理性肥大,sheng'li'xing'fei'da
生龙齿,sheng'long'chi
生龙骨,sheng'long'gu
圣罗勒,sheng'luo'le
升麻,sheng'ma
升麻葛根汤,sheng'ma'ge'gen'tang
生麻黄,sheng'ma'huang
生脉麦味与人参,sheng'mai'mai'wei'yu'ren'can
生脉散,sheng'mai'san
生麦芽,sheng'mai'ya
生脉饮,sheng'mai'yin
生脉饮口服液,sheng'mai'yin'kou'fu'ye
生毛体,sheng'mao'ti
声门下水肿,sheng'men'xia'shui'zhong
生牡蛎,sheng'mu'li
生内金,sheng'nei'jin
生蒲黄,sheng'pu'huang
生漆,sheng'qi
声色草,sheng'se'cao
生晒参,sheng'shai'can
生晒野山参,sheng'shai'ye'shan'shen
生山楂,sheng'shan'zha
生石膏,sheng'shi'gao
生石决明,sheng'shi'jue'ming
生首乌,sheng'shou'wu
生熟地,sheng'shu'di
盛胎,sheng'tai
生态学方法,sheng'tai'xue'fang'fa
生藤,sheng'teng
省藤,sheng'teng
生铁落饮,sheng'tie'luo'yin
生统遗传学,sheng'tong'yi'chuan'xue
生物瓣,sheng'wu'ban
生物反馈,sheng'wu'fan'kui
生物反馈疗法,sheng'wu'fan'kui'liao'fa
生物反应器,sheng'wu'fan'ying'qi
生物敷料,sheng'wu'fu'liao
生物免疫抑制,sheng'wu'mian'yi'yi'zhi
生物死亡,sheng'wu'si'wang
生物素,sheng'wu'su
生物素标记探针,sheng'wu'su'biao'ji'tan'zhen
生物素法,sheng'wu'su'fa
生物素染色,sheng'wu'su'ran'se
生物素系统,sheng'wu'su'xi'tong
生物素酰胺酶缺乏症,sheng'wu'su'xian'an'mei'que'fa'zheng
生物陶瓷,sheng'wu'tao'ci
生物陶瓷学,sheng'wu'tao'ci'xue
生物心理学,sheng'wu'xin'li'xue
生物性损伤,sheng'wu'xing'sun'shang
生物学假阳性反应,sheng'wu'xue'jia'yang'xing'fan'ying
生物学假阴性反应,sheng'wu'xue'jia'yin'xing'fan'ying
生物医学,sheng'wu'yi'xue
生物医学模式,sheng'wu'yi'xue'mo'shi
生物制品,sheng'wu'zhi'pin
生物主义,sheng'wu'zhu'yi
升陷汤,sheng'xian'tang
声象记忆,sheng'xiang'ji'yi
生血宁片,sheng'xue'ning'pian
升血小板胶囊,sheng'xue'xiao'ban'jiao'nang
升阳补气,sheng'yang'bu'qi
升阳益胃汤,sheng'yang'yi'wei'tang
升药,sheng'yao
升药底,sheng'yao'di
生薏苡仁,sheng'yi'yi'ren
声音阴影,sheng'yin'yin'ying
剩余标准差,sheng'yu'biao'zhun'cha
剩余尿,sheng'yu'niao
圣愈汤,sheng'yu'tang
生源论,sheng'yuan'lun
生源说,sheng'yuan'shuo
绳藻,sheng'zao
生长激素腺瘤,sheng'zhang'ji'su'xian'liu
生长素,sheng'zhang'su
生长调节素,sheng'zhang'tiao'jie'su
生长因子,sheng'zhang'yin'zi
生长预测,sheng'zhang'yu'ce
生赭石,sheng'zhe'shi
生殖免疫学,sheng'zhi'mian'yi'xue
生殖器疱疹,sheng'zhi'qi'pao'zhen
生殖器期,sheng'zhi'qi'qi
生殖器综合征,sheng'zhi'qi'zong'he'zheng
生殖细胞,sheng'zhi'xi'bao
生殖细胞基因治疗,sheng'zhi'xi'bao'ji'yin'zhi'liao
生殖细胞瘤,sheng'zhi'xi'bao'liu
生殖质,sheng'zhi'zhi
圣祖德双叶瓣,sheng'zu'de'shuang'ye'ban
十八反,shi'ba'fan
十八症,shi'ba'zheng
失败定向,shi'bai'ding'xiang
蚀斑技术,shi'ban'ji'shu
蚀斑形成细胞,shi'ban'xing'cheng'xi'bao
石斑鱼,shi'ban'yu
噬斑原位杂交,shi'ban'yuan'wei'za'jiao
湿包裹,shi'bao'guo
湿痹,shi'bi
石笔海胆,shi'bi'hai'dan
石壁莲,shi'bi'lian
石鮅鱼,shi'bi'yu
实变,shi'bian
识别位点,shi'bie'wei'dian
虱病,shi'bing
柿饼,shi'bing
十补丸,shi'bu'wan
食不消化,shi'bu'xiao'hua
石参,shi'can
蓍草,shi'cao
虱草花,shi'cao'hua
石草鞋,shi'cao'xie
石茶,shi'cha
石蝉草,shi'chan'cao
石蟾蜍,shi'chan'chu
石菖蒲,shi'chang'pu
石长生,shi'chang'sheng
市场心理学,shi'chang'xin'li'xue
是重加其疾,shi'chong'jia'qi'ji
石串莲,shi'chuan'lian
石床,shi'chuang
湿疮病,shi'chuang'bing
石莼,shi'chun
石苁蓉,shi'cong'rong
十大功劳,shi'da'gong'lao
十大功劳草药,shi'da'gong'lao'cao'yao
十大功劳根,shi'da'gong'lao'gen
十大功劳叶,shi'da'gong'lao'ye
石胆草,shi'dan'cao
柿蒂,shi'di
石地钱,shi'di'qian
柿蒂汤,shi'di'tang
史蒂文斯定律,shi'di'wen'si'ding'lv
石刁柏,shi'diao'bai
石吊兰,shi'diao'lan
食窦,shi'dou
石豆瓣,shi'dou'ban
食窦穴,shi'dou'xue
湿毒浸淫证,shi'du'jin'yin'zheng
湿毒蕴肤证,shi'du'yun'fu'zheng
湿毒蕴结证,shi'du'yun'jie'zheng
失读症,shi'du'zheng
湿毒证,shi'du'zheng
湿毒中阻证,shi'du'zhong'zu'zheng
十萼茄,shi'e'qie
湿遏热伏证,shi'e're'fu'zheng
湿遏卫阳证,shi'e'wei'yang'zheng
石耳,shi'er
十二官,shi'er'guan
十二槐花,shi'er'huai'hua
十二指肠闭锁,shi'er'zhi'chang'bi'suo
十二指肠残端漏,shi'er'zhi'chang'can'duan'lou
十二指肠梗阻,shi'er'zhi'chang'geng'zu
十二指肠旁疝,shi'er'zhi'chang'pang'shan
十二指肠狭窄,shi'er'zhi'chang'xia'zhai
石帆,shi'fan
石防风,shi'fang'feng
释放试验,shi'fang'shi'yan
石风车子叶,shi'feng'che'zi'ye
石风丹,shi'feng'dan
石枫药,shi'feng'yao
湿敷,shi'fu
时复病,shi'fu'bing
是肝脉,shi'gan'mai
视杆细胞,shi'gan'xi'bao
石柑子,shi'gan'zi
石膏,shi'gao
石膏绷带法,shi'gao'beng'dai'fa
石膏管型综合征,shi'gao'guan'xing'zong'he'zheng
石膏夹板,shi'gao'jia'ban
石膏胶杏麦胡麻,shi'gao'jiao'xing'mai'hu'ma
石膏汤,shi'gao'tang
石膏样小孢子菌,shi'gao'yang'xiao'bao'zi'jun
嗜铬细胞瘤,shi'ge'xi'bao'liu
柿根,shi'gen
屎咕咕,shi'gu'gu
事故倾向,shi'gu'qing'xiang
石瓜子莲,shi'gua'zi'lian
石关,shi'guan
食管癌,shi'guan'ai
食管痹,shi'guan'bi
食管闭锁,shi'guan'bi'suo
食管成形术,shi'guan'cheng'xing'shu
食管重复畸形,shi'guan'chong'fu'ji'xing
食管穿孔,shi'guan'chuan'kong
食管瘅,shi'guan'dan
食管恶性黑,shi'guan'e'xing'hei
食管腐蚀性灼伤,shi'guan'fu'shi'xing'zhuo'shang
食管环,shi'guan'huan
食管肌层环切延长术,shi'guan'ji'ceng'huan'qie'yan'chang'shu
食管空肠吻合术,shi'guan'kong'chang'wen'he'shu
食管扩张探条,shi'guan'kuo'zhang'tan'tiao
食管裂孔疝,shi'guan'lie'kong'shan
食管裂孔疝修补术,shi'guan'lie'kong'shan'xiu'bu'shu
室管膜,shi'guan'mo
室管膜母细胞瘤,shi'guan'mo'mu'xi'bao'liu
食管囊肿,shi'guan'nang'zhong
食管内压力测定,shi'guan'nei'ya'li'ce'ding
食管粘膜撕裂症,shi'guan'nian'mo'si'lie'zheng
食管粘膜息肉,shi'guan'nian'mo'xi'rou
食管旁疝,shi'guan'pang'shan
食管平滑肌瘤摘出术,shi'guan'ping'hua'ji'liu'zhai'chu'shu
食管蹼,shi'guan'pu
食管切除术,shi'guan'qie'chu'shu
食管曲张静脉破裂,shi'guan'qu'zhang'jing'mai'po'lie
食管神经性功能紊乱,shi'guan'shen'jing'xing'gong'neng'wen'luan
食管十二指肠吻合术,shi'guan'shi'er'zhi'chang'wen'he'shu
食管酸灌注试验,shi'guan'suan'guan'zhu'shi'yan
食管胃底吻合术,shi'guan'wei'di'wen'he'shu
食管胃切除术,shi'guan'wei'qie'chu'shu
食管胃切除术与鲁氏,shi'guan'wei'qie'chu'shu'yu'lu'shi
食管胃吻合术,shi'guan'wei'wen'he'shu
石关穴,shi'guan'xue
食管异位软骨,shi'guan'yi'wei'ruan'gu
食管运动功能失调,shi'guan'yun'dong'gong'neng'shi'tiao
食管自发性破裂,shi'guan'zi'fa'xing'po'lie
适寒温,shi'han'wen
适合度,shi'he'du
适合度检验,shi'he'du'jian'yan
石荷叶,shi'he'ye
石斛,shi'hu
石蝴蝶,shi'hu'die
实葫芦,shi'hu'lu
实葫芦根,shi'hu'lu'gen
石胡莩,shi'hu'piao
石斛夜光丸,shi'hu'ye'guang'wan
柿花,shi'hua
湿化,shi'hua
石花,shi'hua
石花菜,shi'hua'cai
石黄连,shi'huang'lian
石灰华,shi'hui'hua
十灰散,shi'hui'san
石灰烧伤,shi'hui'shao'shang
湿火,shi'huo
湿火炽盛证,shi'huo'chi'sheng'zheng
失活牙,shi'huo'ya
失活中心,shi'huo'zhong'xin
石鲫,shi'ji
始基囊肿,shi'ji'nang'zhong
石荠苧,shi'ji'ning
柿寄生,shi'ji'sheng
石寄生,shi'ji'sheng
石夹生,shi'jia'sheng
石碱,shi'jian
石见穿,shi'jian'chuan
时间错觉,shi'jian'cuo'jue
时间分辨荧光分析法,shi'jian'fen'bian'ying'guang'fen'xi'fa
时间感,shi'jian'gan
室间隔缺损修补术,shi'jian'ge'que'sun'xiu'bu'shu
视见函数,shi'jian'han'shu
时间曲线检查,shi'jian'qu'xian'jian'cha
时间误差,shi'jian'wu'cha
事件相关电位,shi'jian'xiang'guan'dian'wei
嗜碱性,shi'jian'xing
嗜碱性粒细胞脱,shi'jian'xing'li'xi'bao'tuo
时间知觉,shi'jian'zhi'jue
时间总合作用,shi'jian'zong'he'zuo'yong
尸僵,shi'jiang
石豇豆,shi'jiang'dou
石椒草,shi'jiao'cao
视交叉上核,shi'jiao'cha'shang'he
湿脚气,shi'jiao'qi
石蜐,shi'jie
石疖病,shi'jie'bing
石芥菜,shi'jie'cai
石筋草,shi'jin'cao
十九畏,shi'jiu'wei
石蒟,shi'ju
嗜巨噬细胞抗体,shi'ju'shi'xi'bao'kang'ti
食厥,shi'jue
尸厥,shi'jue
视觉背侧系统,shi'jue'bei'ce'xi'tong
视觉编码,shi'jue'bian'ma
视觉表象,shi'jue'biao'xiang
食厥病,shi'jue'bing
视觉后象,shi'jue'hou'xiang
视觉记忆,shi'jue'ji'yi
石决明,shi'jue'ming
视觉模拟评分法,shi'jue'mo'ni'ping'fen'fa
视觉皮质,shi'jue'pi'zhi
视觉区,shi'jue'qu
视觉时间误差,shi'jue'shi'jian'wu'cha
视觉失认症,shi'jue'shi'ren'zheng
视觉适应,shi'jue'shi'ying
视觉双重说,shi'jue'shuang'chong'shuo
视觉显示,shi'jue'xian'shi
视觉显示器,shi'jue'xian'shi'qi
视觉显示终端,shi'jue'xian'shi'zhong'duan
视觉阈限,shi'jue'yu'xian
视觉噪声,shi'jue'zao'sheng
使君子,shi'jun'zi
使君子根,shi'jun'zi'gen
使君子叶,shi'jun'zi'ye
始可与言于兹矣,shi'ke'yu'yan'yu'zi'yi
湿困脾胃证,shi'kun'pi'wei'zheng
湿困脾阳,shi'kun'pi'yang
湿困中焦证,shi'kun'zhong'jiao'zheng
石蜡疗法,shi'la'liao'fa
石蜡瘤,shi'la'liu
石蜡美容疗法,shi'la'mei'rong'liao'fa
石蜡切片,shi'la'qie'pian
石腊竹,shi'la'zhu
视蓝质,shi'lan'zhi
施雷格线,shi'lei'ge'xian
尸冷,shi'leng
噬粒,shi'li
石栗叶,shi'li'ye
石栗子,shi'li'zi
石莲,shi'lian
石莲子,shi'lian'zi
石链子,shi'lian'zi
石凉伞,shi'liang'san
十两叶,shi'liang'ye
石淋,shi'lin
石淋病,shi'lin'bing
石榴根,shi'liu'gen
石榴花,shi'liu'hua
石硫磺,shi'liu'huang
石榴皮,shi'liu'pi
石榴叶,shi'liu'ye
十六种人格因素问卷,shi'liu'zhong'ren'ge'yin'su'wen'juan
石榴子,shi'liu'zi
石龙刍,shi'long'chu
石龙刍根,shi'long'chu'gen
石龙胆,shi'long'dan
石龙清血颗粒,shi'long'qing'xue'ke'li
石龙芮,shi'long'rui
石龙芮子,shi'long'rui'zi
石龙子,shi'long'zi
石萝藦,shi'luo'mo
莳萝子,shi'luo'zi
石莽草,shi'mang'cao
石门穴,shi'men'xue
石蜜,shi'mi
石米,shi'mi
史密斯分流术,shi'mi'si'fen'liu'shu
石棉沉着病,shi'mian'chen'zhuo'bing
失眠多梦,shi'mian'duo'meng
石棉肺,shi'mian'fei
石面枇杷,shi'mian'pi'pa
石棉小体,shi'mian'xiao'ti
石棉状糠疹,shi'mian'zhuang'kang'zhen
施莫尔结节,shi'mo'er'jie'jie
柿木皮,shi'mu'pi
石南,shi'nan
石楠根,shi'nan'gen
石南实,shi'nan'shi
石南藤,shi'nan'teng
石楠藤,shi'nan'teng
石楠叶,shi'nan'ye
石脑油,shi'nao'you
失能,shi'neng
施虐癖,shi'nue'pi
石螃蟹,shi'pang'xie
噬泡,shi'pao
施佩曲线,shi'pei'qu'xian
石彭子,shi'peng'zi
柿皮,shi'pi
实脾附术与木瓜,shi'pi'fu'shu'yu'mu'gua
施皮格勒,shi'pi'ge'le
失匹配负波,shi'pi'pei'fu'bo
实脾散,shi'pi'san
实脾汤,shi'pi'tang
实脾饮,shi'pi'yin
虱婆草,shi'po'cao
视歧,shi'qi
失气,shi'qi
柿漆,shi'qi
湿气在表头腰重,shi'qi'zai'biao'tou'yao'zhong
时期专一,shi'qi'zhuan'yi
十七椎,shi'qi'zhui
石青菜,shi'qing'cai
十全大补汤,shi'quan'da'bu'tang
实热,shi're
湿热,shi're
湿热痹痛,shi're'bi'tong
湿热并重,shi're'bing'zhong
湿热并重证,shi're'bing'zhong'zheng
湿热冲心证,shi're'chong'xin'zheng
湿热动血证,shi're'dong'xue'zheng
湿热毒结证,shi're'du'jie'zheng
湿热毒聚证,shi're'du'ju'zheng
湿热毒盛证,shi're'du'sheng'zheng
湿热毒蕴证,shi're'du'yun'zheng
湿热化火证,shi're'hua'huo'zheng
湿热化燥证,shi're'hua'zao'zheng
湿热火毒蕴结证,shi're'huo'du'yun'jie'zheng
湿热火毒蕴盛证,shi're'huo'du'yun'sheng'zheng
湿热霍乱,shi're'huo'luan
湿热霍乱此方施,shi're'huo'luan'ci'fang'shi
湿热积滞力能攘,shi're'ji'zhi'li'neng'rang
湿热浸淫气血不运证,shi're'jin'yin'qi'xue'bu'yun'zheng
湿热聚结,shi're'ju'jie
湿热痢疾,shi're'li'ji
湿热淋证,shi're'lin'zheng
湿热蒙心证,shi're'meng'xin'zheng
湿热弥漫三焦证,shi're'mi'man'san'jiao'zheng
湿热内侵证,shi're'nei'qin'zheng
湿热内陷心包,shi're'nei'xian'xin'bao
湿热内蕴证,shi're'nei'yun'zheng
湿热酿痰证,shi're'niang'tan'zheng
湿热伤胃证,shi're'shang'wei'zheng
湿热伤阴证,shi're'shang'yin'zheng
湿热上蒸证,shi're'shang'zheng'zheng
湿热下注大肠,shi're'xia'zhu'da'chang
湿热下注肝胆湿热证,shi're'xia'zhu'gan'dan'shi're'zheng
湿热下注膀胱滞涩证,shi're'xia'zhu'pang'guang'zhi'se'zheng
湿热下注证,shi're'xia'zhu'zheng
湿热血瘀证,shi're'xue'yu'zheng
湿热薰蒸证,shi're'xun'zheng'zheng
湿热疫毒证,shi're'yi'du'zheng
湿热壅结证,shi're'yong'jie'zheng
湿热壅盛证,shi're'yong'sheng'zheng
湿热壅滞证,shi're'yong'zhi'zheng
湿热壅阻证,shi're'yong'zu'zheng
湿热郁于经络证,shi're'yu'yu'jing'luo'zheng
湿热瘀滞证,shi're'yu'zhi'zheng
湿热瘀阻证,shi're'yu'zu'zheng
湿热蕴毒证,shi're'yun'du'zheng
湿热蕴伏证,shi're'yun'fu'zheng
湿热蕴结证,shi're'yun'jie'zheng
湿热蕴脾,shi're'yun'pi
湿热蕴蒸证,shi're'yun'zheng'zheng
湿热蕴阻证,shi're'yun'zu'zheng
实热证,shi're'zheng
湿热证,shi're'zheng
湿热中阻证,shi're'zhong'zu'zheng
湿热荮肠证,shi're'zhou'chang'zheng
湿热阻络证,shi're'zu'luo'zheng
失认症,shi'ren'zheng
失荣病,shi'rong'bing
食如无味,shi'ru'wu'wei
石蕊,shi'rui
湿润烧伤膏,shi'run'shao'shang'gao
十三年花,shi'san'nian'hua
视色素,shi'se'su
石山花椒,shi'shan'hua'jiao
石杉碱甲胶囊,shi'shan'jian'jia'jiao'nang
螫伤,shi'shang
石上柏,shi'shang'bai
石上瓜子菜,shi'shang'gua'zi'cai
石上蕉,shi'shang'jiao
石上开花,shi'shang'kai'hua
食伤脾胃证,shi'shang'pi'wei'zheng
石上铁角蕨,shi'shang'tie'jiao'jue
食少,shi'shao
食少便溏,shi'shao'bian'tang
食少嗜卧,shi'shao'shi'wo
石蛇,shi'she
视神经管减压术,shi'shen'jing'guan'jian'ya'shu
噬神经细胞现象,shi'shen'jing'xi'bao'xian'xiang
失神经支配,shi'shen'jing'zhi'pei
湿生扁蕾,shi'sheng'bian'lei
蓍实,shi'shi
师实,shi'shi
施氏针,shi'shi'zhen
石首鱼,shi'shou'yu
石首鱼鲞,shi'shou'yu'xiang
湿鼠曲草,shi'shu'qu'cao
石刷把,shi'shua'ba
柿霜,shi'shuang
石霜,shi'shuang
石松子,shi'song'zi
嗜酸,shi'suan
石蒜,shi'suan
嗜酸细胞增多综合征,shi'suan'xi'bao'zeng'duo'zong'he'zheng
嗜酸性,shi'suan'xing
嗜酸性坏死,shi'suan'xing'huai'si
嗜酸性脓肿,shi'suan'xing'nong'zhong
嗜酸性腺癌,shi'suan'xing'xian'ai
嗜酸性腺瘤,shi'suan'xing'xian'liu
湿痰流聚皮下证,shi'tan'liu'ju'pi'xia'zheng
石炭酸烧伤,shi'tan'suan'shao'shang
湿痰证,shi'tan'zheng
尸体供者,shi'ti'gong'zhe
实体镜,shi'ti'jing
尸体皮,shi'ti'pi
尸体脾移植,shi'ti'pi'yi'zhi
尸体肾移植,shi'ti'shen'yi'zhi
失同步化波,shi'tong'bu'hua'bo
嗜同种抗体,shi'tong'zhong'kang'ti
石头菜,shi'tou'cai
视网膜,shi'wang'mo
视网膜电图,shi'wang'mo'dian'tu
视网膜对称点,shi'wang'mo'dui'chen'dian
视网膜母细胞瘤,shi'wang'mo'mu'xi'bao'liu
视网膜象差,shi'wang'mo'xiang'cha
视网膜照度,shi'wang'mo'zhao'du
石苇,shi'wei
石韦,shi'wei
十味龙胆花颗粒,shi'wei'long'dan'hua'ke'li
石苇散,shi'wei'san
十味温胆汤,shi'wei'wen'dan'tang
石苇叶,shi'wei'ye
湿瘟,shi'wen
湿温病,shi'wen'bing
湿温初起法堪遵,shi'wen'chu'qi'fa'kan'zun
式吻合,shi'wen'he
室温硫化型硅橡胶,shi'wen'liu'hua'xing'gui'xiang'jiao
湿温时疫,shi'wen'shi'yi
湿温时疫是主方,shi'wen'shi'yi'shi'zhu'fang
食物残渣,shi'wu'can'zha
石蜈蚣,shi'wu'gong
食物嵌塞,shi'wu'qian'sai
食物溢出道,shi'wu'yi'chu'dao
是吾之志也,shi'wu'zhi'zhi'ye
嗜细胞,shi'xi'bao
施细胞,shi'xi'bao
石仙桃,shi'xian'tao
时相专一,shi'xiang'zhuan'yi
失笑散,shi'xiao'san
湿邪,shi'xie
湿泻,shi'xie
石蟹,shi'xie
湿邪浸渍证,shi'xie'jin'zi'zheng
湿邪困脾证,shi'xie'kun'pi'zheng
湿邪偏盛证,shi'xie'pian'sheng'zheng
湿邪热毒证,shi'xie're'du'zheng
湿邪外感证,shi'xie'wai'gan'zheng
湿邪蕴积证,shi'xie'yun'ji'zheng
失写症,shi'xie'zheng
湿邪阻络证,shi'xie'zu'luo'zheng
是心脉也,shi'xin'mai'ye
时行感冒,shi'xing'gan'mao
时行感冒病,shi'xing'gan'mao'bing
湿性坏疽,shi'xing'huai'ju
十宣,shi'xuan
石血,shi'xue
失血性休克,shi'xue'xing'xiu'ke
视崖,shi'ya
石燕,shi'yan
实验病理学,shi'yan'bing'li'xue
石岩鸡,shi'yan'ji
实验控制,shi'yan'kong'zhi
实验口腔医学,shi'yan'kou'qiang'yi'xue
实验社会心理学,shi'yan'she'hui'xin'li'xue
实验设计,shi'yan'she'ji
实验心理学,shi'yan'xin'li'xue
实验组,shi'yan'zu
湿阳化饮又健脾,shi'yang'hua'yin'you'jian'pi
石样心,shi'yang'xin
柿叶,shi'ye
视野单象区,shi'ye'dan'xiang'qu
视野计,shi'ye'ji
食亦,shi'yi
食医,shi'yi
嗜异性抗体,shi'yi'xing'kang'ti
嗜异性抗原,shi'yi'xing'kang'yuan
嗜异性粒细胞,shi'yi'xing'li'xi'bao
失音病,shi'yin'bing
失音症,shi'yin'zheng
石瘿,shi'ying
适应比值,shi'ying'bi'zhi
石瘿病,shi'ying'bing
适应反应,shi'ying'fan'ying
适应性活动,shi'ying'xing'huo'dong
适应障碍,shi'ying'zhang'ai
失用性萎缩,shi'yong'xing'wei'suo
实用性运动,shi'yong'xing'yun'dong
失用症,shi'yong'zheng
石油菜,shi'you'cai
石油皮炎,shi'you'pi'yan
市有先死者,shi'you'xian'si'zhe
世有愚者,shi'you'yu'zhe
鲥鱼,shi'yu
食欲不振,shi'yu'bu'zhen
湿瘀互结,shi'yu'hu'jie
湿郁化火证,shi'yu'hua'huo'zheng
湿郁化热证,shi'yu'hua're'zheng
鲥鱼鳞,shi'yu'lin
湿郁三焦证,shi'yu'san'jiao'zheng
湿郁卫气证,shi'yu'wei'qi'zheng
食欲障碍,shi'yu'zhang'ai
失语症,shi'yu'zheng
湿瘀蒸肌致发黄,shi'yu'zheng'ji'zhi'fa'huang
誓愿普救含灵之苦,shi'yuan'pu'jiu'han'ling'zhi'ku
石芫茜,shi'yuan'qian
师曰,shi'yue
十枣汤,shi'zao'tang
石枣子,shi'zao'zi
实则泻之,shi'ze'xie'zhi
视瞻昏渺病,shi'zhan'hun'miao'bing
实胀,shi'zhang
实者枳壳易人参,shi'zhe'zhi'ke'yi'ren'can
石针,shi'zhen
