艾昂尼尔锡青铜,ai'ang'ni'er'xi'qing'tong
链式冷床,lian'shi'leng'chuang
链式炉,lian'shi'lu
链式落锤,lian'shi'luo'chui
链式码,lian'shi'ma
链式喷丸机,lian'shi'pen'wan'ji
链式坯料分配器,lian'shi'pi'liao'fen'pei'qi
链式起重机,lian'shi'qi'zhong'ji
链式筛,lian'shi'shai
链式升降机,lian'shi'sheng'jiang'ji
链式输送器,lian'shi'shu'song'qi
链式拖运机,lian'shi'tuo'yun'ji
链式移送机,lian'shi'yi'song'ji
链式移送冷床,lian'shi'yi'song'leng'chuang
链式运输机,lian'shi'yun'shu'ji
链式制动器,lian'shi'zhi'dong'qi
联锁,lian'suo
链锁编码发生器,lian'suo'bian'ma'fa'sheng'qi
联锁部件,lian'suo'bu'jian
链锁程序操作,lian'suo'cheng'xu'cao'zuo
联锁电磁铁,lian'suo'dian'ci'tie
联锁断路器,lian'suo'duan'lu'qi
联锁继电器,lian'suo'ji'dian'qi
联锁机构,lian'suo'ji'gou
联锁接点,lian'suo'jie'dian
联锁开关,lian'suo'kai'guan
联锁连杆,lian'suo'lian'gan
链索铁道,lian'suo'tie'dao
联锁瓦屋面,lian'suo'wa'wu'mian
联锁系统,lian'suo'xi'tong
联锁线路,lian'suo'xian'lu
联锁销,lian'suo'xiao
联锁圆盘,lian'suo'yuan'pan
链套,lian'tao
链条导轨,lian'tiao'dao'gui
链条导向板,lian'tiao'dao'xiang'ban
链条钢丝,lian'tiao'gang'si
链条管扳手,lian'tiao'guan'ban'shou
链条护罩,lian'tiao'hu'zhao
链条卷筒,lian'tiao'juan'tong
链条联轴器,lian'tiao'lian'zhou'qi
链条落锤,lian'tiao'luo'chui
链调整器,lian'tiao'zheng'qi
炼铁,lian'tie
炼铁厂,lian'tie'chang
炼铁废品,lian'tie'fei'pin
炼铁工作者,lian'tie'gong'zuo'zhe
炼铁设备,lian'tie'she'bei
炼铁生产作业,lian'tie'sheng'chan'zuo'ye
炼铁原料,lian'tie'yuan'liao
连通管道网,lian'tong'guan'dao'wang
连通管线,lian'tong'guan'xian
联通孔,lian'tong'kong
连通孔,lian'tong'kong
联通孔隙,lian'tong'kong'xi
连通孔隙,lian'tong'kong'xi
链线,lian'xian
链销,lian'xiao
连销反应,lian'xiao'fan'ying
连销机构,lian'xiao'ji'gou
联销开关,lian'xiao'kai'guan
联销装置,lian'xiao'zhuang'zhi
连销装置,lian'xiao'zhuang'zhi
链型硫化物,lian'xing'liu'hua'wu
链形绕法,lian'xing'rao'fa
链形绕组,lian'xing'rao'zu
连续地,lian'xu'de
连续电渣熔炼法,lian'xu'dian'zha'rong'lian'fa
连续冷却转变曲线图,lian'xu'leng'que'zhuan'bian'qu'xian'tu
连续生产,lian'xu'sheng'chan
连续式碎木机,lian'xu'shi'sui'mu'ji
连续退火高强度冷轧钢,lian'xu'tui'huo'gao'qiang'du'leng'zha'gang
连续自焙阳极电解槽,lian'xu'zi'bei'yang'ji'dian'jie'cao
链闸,lian'zha
链罩,lian'zhao
链终止作用,lian'zhong'zhi'zuo'yong
连铸坯输出辊道,lian'zhu'pi'shu'chu'gun'dao
链注油,lian'zhu'you
链状颗粒,lian'zhuang'ke'li
亮白色,liang'bai'se
亮斑,liang'ban
亮边断口,liang'bian'duan'kou
两侧卸载运输,liang'ce'xie'zai'yun'shu
亮点,liang'dian
亮电阻,liang'dian'zu
亮度,liang'du
亮度调整,liang'du'tiao'zheng
亮度调制显示器,liang'du'tiao'zhi'xian'shi'qi
亮度增强剂,liang'du'zeng'qiang'ji
亮浮渣,liang'fu'zha
量缸表,liang'gang'biao
量管,liang'guan
亮光温度,liang'guang'wen'du
量规,liang'gui
两极电机,liang'ji'dian'ji
两极电解清洗系统,liang'ji'dian'jie'qing'xi'xi'tong
梁间距,liang'jian'ju
两脚规,liang'jiao'gui
亮晶断口,liang'jing'duan'kou
亮口,liang'kou
亮蓝色,liang'lan'se
量热法,liang're'fa
量热高温计,liang're'gao'wen'ji
量热计法,liang're'ji'fa
量热器,liang're'qi
量热器测量,liang're'qi'ce'liang
量热器筒,liang're'qi'tong
量热试验,liang're'shi'yan
量热弹,liang're'tan
量热学,liang're'xue
两向加压造型机,liang'xiang'jia'ya'zao'xing'ji
两性氧化物,liang'xing'yang'hua'wu
亮紫色,liang'zi'se
料棒,liao'bang
料仓,liao'cang
料仓平台,liao'cang'ping'tai
料仓运输机,liao'cang'yun'shu'ji
料层,liao'ceng
料层底部,liao'ceng'di'bu
料层厚度,liao'ceng'hou'du
料层水分,liao'ceng'shui'fen
料层下部,liao'ceng'xia'bu
料车列,liao'che'lie
料锭,liao'ding
料斗,liao'dou
料斗车,liao'dou'che
料斗取样器,liao'dou'qu'yang'qi
料斗提升机,liao'dou'ti'sheng'ji
料斗装料,liao'dou'zhuang'liao
料拱形成,liao'gong'xing'cheng
料罐卷扬机,liao'guan'juan'yang'ji
料罐卷扬装置轨道,liao'guan'juan'yang'zhuang'zhi'gui'dao
料罐式炉顶上料,liao'guan'shi'lu'ding'shang'liao
料筐,liao'kuang
料面,liao'mian
料面测探器,liao'mian'ce'tan'qi
料批重,liao'pi'zhong
料批重量调整控制盘,liao'pi'zhong'liang'tiao'zheng'kong'zhi'pan
料批重量选择,liao'pi'zhong'liang'xuan'ze
料坡,liao'po
料桶,liao'tong
料位指示器,liao'wei'zhi'shi'qi
料线,liao'xian
料线探尺,liao'xian'tan'chi
料箱,liao'xiang
料渣,liao'zha
料钟和炉料,liao'zhong'he'lu'liao
料柱,liao'zhu
料柱重量,liao'zhu'zhong'liang
料柱阻力,liao'zhu'zu'li
料装粒度,liao'zhuang'li'du
劣等,lie'deng
裂缝多的,lie'feng'duo'de
列举,lie'ju
裂纹,lie'wen
劣质煤,lie'zhi'mei
劣质燃料,lie'zhi'ran'liao
邻苯二酚,lin'ben'er'fen
磷化硼,lin'hua'peng
磷化铁,lin'hua'tie
邻接,lin'jie
临界点法,lin'jie'dian'fa
临界区热处理,lin'jie'qu're'chu'li
临界试验,lin'jie'shi'yan
临时检验,lin'shi'jian'yan
临时木防卫工事,lin'shi'mu'fang'wei'gong'shi
磷酸丁酯,lin'suan'ding'zhi
磷酸钙,lin'suan'gai
磷酸钙硅,lin'suan'gai'gui
磷酸钙铈矿,lin'suan'gai'shi'kuang
磷酸氢高铈,lin'suan'qing'gao'shi
磷酸铈,lin'suan'shi
磷酸铁,lin'suan'tie
磷酸盐处理法,lin'suan'yan'chu'li'fa
拎携带,lin'xie'dai
菱沸石,ling'fei'shi
零件检查,ling'jian'jian'cha
菱铁矿,ling'tie'kuang
菱形网纹钢板,ling'xing'wang'wen'gang'ban
菱形柱,ling'xing'zhu
镏,liu
六胺钙,liu'an'gai
流变应力的不可逆变化,liu'bian'ying'li'de'bu'ke'ni'bian'hua
溜槽,liu'cao
溜槽系统,liu'cao'xi'tong
流出,liu'chu
流出曲线,liu'chu'qu'xian
硫代硫酸钠,liu'dai'liu'suan'na
硫代硫酸钠还原槽,liu'dai'liu'suan'na'huan'yuan'cao
流动性碳当量,liu'dong'xing'tan'dang'liang
流动资金,liu'dong'zi'jin
流动资金预测,liu'dong'zi'jin'yu'ce
六方晶体特征位错,liu'fang'jing'ti'te'zheng'wei'cuo
流钢道,liu'gang'dao
流钢砖,liu'gang'zhuan
流化床,liu'hua'chuang
硫化汞矿,liu'hua'gong'kuang
硫化铯,liu'hua'se
硫化铁夹杂,liu'hua'tie'jia'za
硫化铟,liu'hua'yin
硫黄石,liu'huang'shi
六角刀架,liu'jiao'dao'jia
溜口,liu'kou
硫镍钯铂矿,liu'nie'ba'bo'kuang
流入,liu'ru
流入的,liu'ru'de
流入水,liu'ru'shui
流入液体,liu'ru'ye'ti
流水装配机,liu'shui'zhuang'pei'ji
硫酸钙,liu'suan'gai
硫酸高铈,liu'suan'gao'shi
硫酸铝铷铯,liu'suan'lv'ru'se
硫酸氢铯,liu'suan'qing'se
硫酸铯,liu'suan'se
硫酸铯铝,liu'suan'se'lv
硫酸铈,liu'suan'shi
硫酸锶,liu'suan'si
硫酸铁铯,liu'suan'tie'se
硫酸亚铁铯,liu'suan'ya'tie'se
硫酸盐间接回收,liu'suan'yan'jian'jie'hui'shou
硫酸氧化高铈,liu'suan'yang'hua'gao'shi
硫酸铟,liu'suan'yin
硫酸铟铯,liu'suan'yin'se
流体,liu'ti
流铁沟,liu'tie'gou
流通,liu'tong
硫铜钴矿,liu'tong'gu'kuang
硫铜锑矿,liu'tong'ti'kuang
流渣槽,liu'zha'cao
流渣沟,liu'zha'gou
硫族化物,liu'zu'hua'wu
笼,long
笼闭反应,long'bi'fan'ying
隆起,long'qi
笼式区域精炼,long'shi'qu'yu'jing'lian
笼式区域提纯,long'shi'qu'yu'ti'chun
漏风,lou'feng
漏钢,lou'gang
漏钢钢锭,lou'gang'gang'ding
漏过点,lou'guo'dian
漏泄速率,lou'xie'su'lv
漏渣,lou'zha
炉壁里衬,lu'bi'li'chen
炉壁斜面,lu'bi'xie'mian
炉衬腐蚀,lu'chen'fu'shi
炉衬膨胀,lu'chen'peng'zhang
炉衬破裂,lu'chen'po'lie
炉底材料,lu'di'cai'liao
炉底打结机,lu'di'da'jie'ji
炉底打结料,lu'di'da'jie'liao
炉底大块砖,lu'di'da'kuai'zhuan
炉底导管,lu'di'dao'guan
炉底捣筑机,lu'di'dao'zhu'ji
炉底电极电弧炉,lu'di'dian'ji'dian'hu'lu
炉底顶升车,lu'di'ding'sheng'che
炉底沸腾,lu'di'fei'teng
炉底风眼损坏,lu'di'feng'yan'sun'huai
炉底烘烤炉,lu'di'hong'kao'lu
炉底回波,lu'di'hui'bo
炉底回声,lu'di'hui'sheng
炉底加热式均热炉,lu'di'jia're'shi'jun're'lu
炉底结构,lu'di'jie'gou
炉底门,lu'di'men
炉底坡度,lu'di'po'du
炉底砌体温度,lu'di'qi'ti'wen'du
炉底砌体温度记录仪,lu'di'qi'ti'wen'du'ji'lu'yi
炉底寿命,lu'di'shou'ming
炉底双侧烧嘴均热炉,lu'di'shuang'ce'shao'zui'jun're'lu
炉底填料,lu'di'tian'liao
炉底维护,lu'di'wei'hu
炉底修补房,lu'di'xiu'bu'fang
炉底砖,lu'di'zhuan
炉底装料立式蒸馏炉,lu'di'zhuang'liao'li'shi'zheng'liu'lu
炉顶操作台,lu'ding'cao'zuo'tai
炉顶吊砖,lu'ding'diao'zhuan
炉顶放散阀,lu'ding'fang'san'fa
炉顶烧蚀,lu'ding'shao'shi
炉顶下塌,lu'ding'xia'ta
炉腹,lu'fu
炉腹风口,lu'fu'feng'kou
炉腹钢带,lu'fu'gang'dai
炉腹高度,lu'fu'gao'du
炉腹角,lu'fu'jiao
炉腹结构,lu'fu'jie'gou
炉腹冷却板,lu'fu'leng'que'ban
炉腹冷却壁,lu'fu'leng'que'bi
炉腹冷却器,lu'fu'leng'que'qi
炉腹冷却水槽,lu'fu'leng'que'shui'cao
炉腹冷却箱,lu'fu'leng'que'xiang
炉腹炉结,lu'fu'lu'jie
炉腹炉瘤,lu'fu'lu'liu
炉腹煤气量,lu'fu'mei'qi'liang
炉腹破裂,lu'fu'po'lie
炉腹砌砖,lu'fu'qi'zhuan
炉腹区,lu'fu'qu
炉腹烧穿,lu'fu'shao'chuan
炉腹水平线,lu'fu'shui'ping'xian
炉腹外壳,lu'fu'wai'ke
炉腹液泛现象,lu'fu'ye'fan'xian'xiang
炉腹直径,lu'fu'zhi'jing
炉腹砖衬,lu'fu'zhuan'chen
炉腹砖墙,lu'fu'zhuan'qiang
炉缸变冷,lu'gang'bian'leng
炉缸冻结,lu'gang'dong'jie
炉缸冷行,lu'gang'leng'xing
炉缸中心料柱,lu'gang'zhong'xin'liao'zhu
炉缸中心死料柱,lu'gang'zhong'xin'si'liao'zhu
卤化钙,lu'hua'gai
卤化铟,lu'hua'yin
炉况不顺,lu'kuang'bu'shun
炉里衬,lu'li'chen
炉里衬砖,lu'li'chen'zhuan
炉料,lu'liao
炉料比,lu'liao'bi
炉料表,lu'liao'biao
炉料成分,lu'liao'cheng'fen
炉料程序控制盘,lu'liao'cheng'xu'kong'zhi'pan
炉料尺寸,lu'liao'chi'cun
炉料储存跨,lu'liao'chu'cun'kua
炉料堆场,lu'liao'dui'chang
炉料废钢铁,lu'liao'fei'gang'tie
炉料分布,lu'liao'fen'bu
炉料分配,lu'liao'fen'pei
炉料分析,lu'liao'fen'xi
炉料高度,lu'liao'gao'du
炉料化学成分,lu'liao'hua'xue'cheng'fen
炉料混合间,lu'liao'hun'he'jian
炉料计算,lu'liao'ji'suan
炉料流动,lu'liao'liu'dong
炉料密度,lu'liao'mi'du
炉料牌,lu'liao'pai
炉料批号,lu'liao'pi'hao
炉料容量,lu'liao'rong'liang
炉料水分,lu'liao'shui'fen
炉料特性,lu'liao'te'xing
炉料体积,lu'liao'ti'ji
炉料透气性,lu'liao'tou'qi'xing
炉料选择,lu'liao'xuan'ze
炉料压紧器,lu'liao'ya'jin'qi
炉料压实机,lu'liao'ya'shi'ji
炉料有割成分,lu'liao'you'ge'cheng'fen
炉料预还原,lu'liao'yu'huan'yuan
炉料与炉衬的界面,lu'liao'yu'lu'chen'de'jie'mian
炉料重量,lu'liao'zhong'liang
炉料中硫,lu'liao'zhong'liu
炉料准备,lu'liao'zhun'bei
炉料组成,lu'liao'zu'cheng
炉料组分,lu'liao'zu'fen
炉料阻力系数,lu'liao'zu'li'xi'shu
炉龄,lu'ling
炉瘤,lu'liu
炉门槛,lu'men'kan
路面拱度,lu'mian'gong'du
炉内壁温度,lu'nei'bi'wen'du
炉内壁温度记录仪,lu'nei'bi'wen'du'ji'lu'yi
炉期,lu'qi
炉前班组,lu'qian'ban'zu
炉前吊车,lu'qian'diao'che
炉前工,lu'qian'gong
炉前辊道,lu'qian'gun'dao
炉墙,lu'qiang
炉墙温度,lu'qiang'wen'du
炉容积,lu'rong'ji
炉身下水平线,lu'shen'xia'shui'ping'xian
炉室高,lu'shi'gao
卤水,lu'shui
炉体与混凝土基础间接触面,lu'ti'yu'hun'ning'tu'ji'chu'jian'jie'chu'mian
炉头端墙,lu'tou'duan'qiang
炉腰支圈,lu'yao'zhi'quan
炉役,lu'yi
录音带盒,lu'yin'dai'he
炉渣,lu'zha
炉渣带铁,lu'zha'dai'tie
炉渣骨料,lu'zha'gu'liao
炉渣起泡,lu'zha'qi'pao
炉渣生铁,lu'zha'sheng'tie
炉柱扭曲,lu'zhu'niu'qu
炉子跨,lu'zi'kua
炉子配件钢板,lu'zi'pei'jian'gang'ban
炉子停风,lu'zi'ting'feng
炉子装料,lu'zi'zhuang'liao
孪晶边界,luan'jing'bian'jie
轮齿干涉,lun'chi'gan'she
伦戈钢公司,lun'ge'gang'gong'si
轮弧度,lun'hu'du
轮迹,lun'ji
轮壳,lun'ke
轮碾机,lun'nian'ji
轮曲面,lun'qu'mian
轮闸,lun'zha
螺刀,luo'dao
螺钉,luo'ding
螺钉型钢,luo'ding'xing'gang
逻辑代数,luo'ji'dai'shu
落料冲床,luo'liao'chong'chuang
落料压力机,luo'liao'ya'li'ji
罗盘,luo'pan
螺栓,luo'shuan
螺栓车丝机,luo'shuan'che'si'ji
螺栓锉锻机,luo'shuan'cuo'duan'ji
螺栓顶锻机,luo'shuan'ding'duan'ji
螺栓锻模,luo'shuan'duan'mu
螺栓钢,luo'shuan'gang
螺栓固定导辊,luo'shuan'gu'ding'dao'gun
螺栓固定阳极,luo'shuan'gu'ding'yang'ji
螺栓滚丝机,luo'shuan'gun'si'ji
螺栓接合,luo'shuan'jie'he
螺栓紧固器,luo'shuan'jin'gu'qi
螺栓孔分布圆,luo'shuan'kong'fen'bu'yuan
螺栓连接,luo'shuan'lian'jie
螺栓连接法,luo'shuan'lian'jie'fa
螺栓切丝机,luo'shuan'qie'si'ji
螺栓头,luo'shuan'tou
螺栓压力机,luo'shuan'ya'li'ji
螺丝刀,luo'si'dao
螺丝起子,luo'si'qi'zi
螺纹夹角,luo'wen'jia'jiao
螺纹梳刀,luo'wen'shu'dao
螺型位错,luo'xing'wei'cuo
螺旋状内冷铁,luo'xuan'zhuang'nei'leng'tie
氯,lv
氯苯,lv'ben
氯比值,lv'bi'zhi
滤饼槽,lv'bing'cao
滤饼存储设备,lv'bing'cun'chu'she'bei
滤饼干燥段,lv'bing'gan'zao'duan
滤饼刮板,lv'bing'gua'ban
滤饼过滤,lv'bing'guo'lv
滤饼破碎机,lv'bing'po'sui'ji
滤饼洗涤,lv'bing'xi'di
滤饼再浆化槽,lv'bing'zai'jiang'hua'cao
氯铂酸,lv'bo'suan
氯铂酸盐,lv'bo'suan'yan
氯处理法,lv'chu'li'fa
氯萃取,lv'cui'qu
履带式小型装甲车,lv'dai'shi'xiao'xing'zhuang'jia'che
氯丁橡胶,lv'ding'xiang'jiao
铝钒土水泥,lv'fan'tu'shui'ni
氯仿,lv'fang
氯仿萃液,lv'fang'cui'ye
氯仿稀释剂,lv'fang'xi'shi'ji
氯锆酸盐,lv'gao'suan'yan
铝硅酸钙,lv'gui'suan'gai
氯硅烷,lv'gui'wan
氯铪酸盐,lv'ha'suan'yan
氯横酸,lv'heng'suan
铝化,lv'hua
氯化,lv'hua
氯化焙烧,lv'hua'bei'shao
氯化焙烧法,lv'hua'bei'shao'fa
氯化焙烧炉,lv'hua'bei'shao'lu
氯化变价法,lv'hua'bian'jia'fa
氯化残渣,lv'hua'can'zha
氯化产物,lv'hua'chan'wu
氯化处理,lv'hua'chu'li
氯化催化剂,lv'hua'cui'hua'ji
氯化二溴,lv'hua'er'xiu
氯化法,lv'hua'fa
氯化反应,lv'hua'fan'ying
氯化分解,lv'hua'fen'jie
氯化钙,lv'hua'gai
铝化钢,lv'hua'gang
氯化挥发,lv'hua'hui'fa
氯化挥发处理,lv'hua'hui'fa'chu'li
氯化挥发法,lv'hua'hui'fa'fa
氯化挥发工段,lv'hua'hui'fa'gong'duan
氯化剂,lv'hua'ji
氯化技术,lv'hua'ji'shu
氯化聚乙醚管,lv'hua'ju'yi'mi'guan
氯化硫氯化,lv'hua'liu'lv'hua
氯化炉,lv'hua'lu
氯化炉气,lv'hua'lu'qi
氯化漂白粉,lv'hua'piao'bai'fen
氯化器,lv'hua'qi
氯化溶剂,lv'hua'rong'ji
氯化铯,lv'hua'se
氯化铯型结构,lv'hua'se'xing'jie'gou
氯化设备,lv'hua'she'bei
氯化室,lv'hua'shi
氯化石蜡,lv'hua'shi'la
氯化速率,lv'hua'su'lv
氯化铁,lv'hua'tie
氯化烃,lv'hua'ting
氯化温度,lv'hua'wen'du
氯化物电解液,lv'hua'wu'dian'jie'ye
氯化物氟化物电解液,lv'hua'wu'fu'hua'wu'dian'jie'ye
氯化物氟化物熔体,lv'hua'wu'fu'hua'wu'rong'ti
氯化物浮渣,lv'hua'wu'fu'zha
氯化物离子,lv'hua'wu'li'zi
氯化物料,lv'hua'wu'liao
氯化物料罐,lv'hua'wu'liao'guan
氯化物料罐隔板,lv'hua'wu'liao'guan'ge'ban
氯化物络合物,lv'hua'wu'luo'he'wu
氯化物熔盐电解,lv'hua'wu'rong'yan'dian'jie
氯化物溶液,lv'hua'wu'rong'ye
氯化物升华,lv'hua'wu'sheng'hua
氯化物添加剂,lv'hua'wu'tian'jia'ji
氯化物铁粉压块,lv'hua'wu'tie'fen'ya'kuai
氯化物冶金学,lv'hua'wu'ye'jin'xue
氯化物杂质,lv'hua'wu'za'zhi
氯化物蒸气,lv'hua'wu'zheng'qi
氯化橡胶清漆,lv'hua'xiang'jiao'qing'qi
氯化窑,lv'hua'yao
氯化冶金,lv'hua'ye'jin
氯化铟,lv'hua'yin
氯化原料,lv'hua'yuan'liao
氯化装置,lv'hua'zhuang'zhi
氯磺化,lv'huang'hua
氯磺酰化聚乙烯合金橡胶,lv'huang'xian'hua'ju'yi'xi'he'jin'xiang'jiao
氯甲化,lv'jia'hua
氯甲基醚,lv'jia'ji'mi
氯甲酸,lv'jia'suan
氯甲酸酯,lv'jia'suan'zhi
氯离子,lv'li'zi
氯泥石板,lv'ni'shi'ban
绿镍矿,lv'nie'kuang
氯气,lv'qi
氯气处理,lv'qi'chu'li
氯气除锌,lv'qi'chu'xin
氯气除锌设备,lv'qi'chu'xin'she'bei
氯气顶热器,lv'qi'ding're'qi
氯气顶入口,lv'qi'ding'ru'kou
氯气氛,lv'qi'fen
氯气分布板,lv'qi'fen'bu'ban
氯气缸,lv'qi'gang
氯气供应,lv'qi'gong'ying
氯气罐,lv'qi'guan
氯气流,lv'qi'liu
氯气流量,lv'qi'liu'liang
氯气浓度,lv'qi'nong'du
氯气瓶,lv'qi'ping
氯气消耗,lv'qi'xiao'hao
氯气引入管,lv'qi'yin'ru'guan
氯三氟乙烯,lv'san'fu'yi'xi
氯水,lv'shui
铝酸钙,lv'suan'gai
铝酸钙炉渣,lv'suan'gai'lu'zha
铝酸钙钠,lv'suan'gai'na
铝酸钙铁,lv'suan'gai'tie
氯酸盐,lv'suan'yan
氯钛酸盐,lv'tai'suan'yan
铝土水泥,lv'tu'shui'ni
氯锡酸盐,lv'xi'suan'yan
履行,lv'xing
氯氧比,lv'yang'bi
氯氧化铟,lv'yang'hua'yin
滤油箱,lv'you'xiang
氯载体,lv'zai'ti
马车,ma'che
马车运输,ma'che'yun'shu
马弗焙烧炉,ma'fu'bei'shao'lu
马尼亚戈不锈钢公司,ma'ni'ya'ge'bu'xiu'gang'gong'si
马赛克砌块,ma'sai'ke'qi'kuai
马氏体分解,ma'shi'ti'fen'jie
马氏体分解的初始阶段,ma'shi'ti'fen'jie'de'chu'shi'jie'duan
马氏体类碳钢,ma'shi'ti'lei'tan'gang
埋层,mai'ceng
脉冲编码,mai'chong'bian'ma
脉冲成形,mai'chong'cheng'xing
脉冲电流,mai'chong'dian'liu
脉冲电压,mai'chong'dian'ya
脉冲发送机,mai'chong'fa'song'ji
脉冲发送器,mai'chong'fa'song'qi
脉冲反射法,mai'chong'fan'she'fa
脉冲放电,mai'chong'fang'dian
脉冲分频计数器,mai'chong'fen'pin'ji'shu'qi
脉冲焊,mai'chong'han
脉冲函数,mai'chong'han'shu
脉冲计,mai'chong'ji
脉冲寄存器,mai'chong'ji'cun'qi
脉冲继电器,mai'chong'ji'dian'qi
脉冲激发,mai'chong'ji'fa
脉冲记录器,mai'chong'ji'lu'qi
脉冲计数器,mai'chong'ji'shu'qi
脉冲间隔时间,mai'chong'jian'ge'shi'jian
脉冲剪切机,mai'chong'jian'qie'ji
脉冲宽度,mai'chong'kuan'du
脉冲类形,mai'chong'lei'xing
脉冲频率,mai'chong'pin'lv
脉冲群,mai'chong'qun
脉冲示波器,mai'chong'shi'bo'qi
脉冲速度,mai'chong'su'du
脉冲响应,mai'chong'xiang'ying
脉冲信号,mai'chong'xin'hao
脉冲序列,mai'chong'xu'lie
脉冲周期,mai'chong'zhou'qi
脉冲转速计,mai'chong'zhuan'su'ji
脉冲状态试验,mai'chong'zhuang'tai'shi'yan
脉动负荷试验法,mai'dong'fu'he'shi'yan'fa
脉动负载,mai'dong'fu'zai
麦麸抛光辊,mai'fu'pao'guang'gun
麦麸抛光机,mai'fu'pao'guang'ji
埋弧,mai'hu
埋入测温器,mai'ru'ce'wen'qi
埋入的,mai'ru'de
埋入地下的,mai'ru'di'xia'de
埋入键,mai'ru'jian
埋入式电极,mai'ru'shi'dian'ji
埋设,mai'she
埋设的,mai'she'de
埋设电缆,mai'she'dian'lan
埋设件,mai'she'jian
埋置,mai'zhi
埋置的,mai'zhi'de
漫射指示量,man'she'zhi'shi'liang
慢性曝光,man'xing'bao'guang
慢性毒性,man'xing'du'xing
盲板,mang'ban
盲袋,mang'dai
盲的,mang'de
盲点,mang'dian
盲沟,mang'gou
帽,mao
毛刺清理机,mao'ci'qing'li'ji
铆钉穿孔用烧嘴,mao'ding'chuan'kong'yong'shao'zui
铆钉锤,mao'ding'chui
铆钉孔烧穿器,mao'ding'kong'shao'chuan'qi
帽锭拈线机,mao'ding'nian'xian'ji
毛管铸造法,mao'guan'zhu'zao'fa
毛口,mao'kou
帽梁,mao'liang
帽木,mao'mu
冒泡,mao'pao
冒泡开始,mao'pao'kai'shi
毛坯,mao'pi
毛坯感应加热器,mao'pi'gan'ying'jia're'qi
毛坯剂压,mao'pi'ji'ya
锚索浮标,mao'suo'fu'biao
毛毯烘干机,mao'tan'hong'gan'ji
毛体积,mao'ti'ji
毛铜矿,mao'tong'kuang
猫头钢丝绳,mao'tou'gang'si'sheng
毛细常数,mao'xi'chang'shu
毛细电极,mao'xi'dian'ji
毛细管,mao'xi'guan
毛细管比色计,mao'xi'guan'bi'se'ji
毛细管测液器,mao'xi'guan'ce'ye'qi
毛细管法,mao'xi'guan'fa
毛细管给油,mao'xi'guan'gei'you
毛细管给水,mao'xi'guan'ji'shui
毛细管静电计,mao'xi'guan'jing'dian'ji
毛细管流量计,mao'xi'guan'liu'liang'ji
毛细管粘度计,mao'xi'guan'nian'du'ji
毛细管渗透,mao'xi'guan'shen'tou
毛细管渗透电解,mao'xi'guan'shen'tou'dian'jie
毛细管现象的,mao'xi'guan'xian'xiang'de
毛细管压力计,mao'xi'guan'ya'li'ji
毛细管作用,mao'xi'guan'zuo'yong
毛细管作用力,mao'xi'guan'zuo'yong'li
毛细检液器,mao'xi'jian'ye'qi
毛细浸渗,mao'xi'jin'shen
毛细孔,mao'xi'kong
毛细连接,mao'xi'lian'jie
毛细裂缝,mao'xi'lie'feng
毛细凝聚,mao'xi'ning'ju
毛细凝聚法,mao'xi'ning'ju'fa
毛细凝聚力,mao'xi'ning'ju'li
毛细上升,mao'xi'shang'sheng
毛细水,mao'xi'shui
毛细水分,mao'xi'shui'fen
毛细吸力,mao'xi'xi'li
毛细吸引,mao'xi'xi'yin
毛细下降,mao'xi'xia'jiang
毛细现象,mao'xi'xian'xiang
毛细压力,mao'xi'ya'li
毛细有效物质,mao'xi'you'xiao'wu'zhi
毛细状组织,mao'xi'zhuang'zu'zhi
毛细作用,mao'xi'zuo'yong
猫盐,mao'yan
猫眼,mao'yan
铆有吊环的阴极,mao'you'diao'huan'de'yin'ji
毛毡,mao'zhan
锚着长度,mao'zhe'chang'du
毛重,mao'zhong
煤粉,mei'fen
煤粉槽,mei'fen'cao
美国线规,mei'guo'xian'gui
每炉熔化的炉料,mei'lu'rong'hua'de'lu'liao
煤末,mei'mo
没墨直接印相法,mei'mo'zhi'jie'yin'xiang'fa
煤气导出管,mei'qi'dao'chu'guan
煤气放散管,mei'qi'fang'san'guan
煤屑及烧结返矿运输机,mei'xie'ji'shao'jie'fan'kuang'yun'shu'ji
没有孔的管,mei'you'kong'de'guan
每月腐蚀的英寸深度,mei'yue'fu'shi'de'ying'cun'shen'du
煤渣,mei'zha
煤渣混凝土,mei'zha'hun'ning'tu
煤渣砖,mei'zha'zhuan
煤砖,mei'zhuan
闷头,men'tou
锰铁矾铅矿,meng'tie'fan'qian'kuang
密闭爆发器检漏试验,mi'bi'bao'fa'qi'jian'lou'shi'yan
密闭鼓风炉铅锌熔炼法,mi'bi'gu'feng'lu'qian'xin'rong'lian'fa
密闭铅锌鼓风炉,mi'bi'qian'xin'gu'feng'lu
密度变化,mi'du'bian'hua
密耳圆,mi'er'yuan
密封发动机,mi'feng'fa'dong'ji
密缝凿,mi'feng'zao
弥漫,mi'man
免除,mian'chu
面吹,mian'chui
面积中心,mian'ji'zhong'xin
面间间距,mian'jian'jian'ju
面线,mian'xian
免疫抗体,mian'yi'kang'ti
免疫力,mian'yi'li
民用建筑,min'yong'jian'zhu
明场,ming'chang
明场法,ming'chang'fa
明场反射法,ming'chang'fan'she'fa
明场观察,ming'chang'guan'cha
明场检验,ming'chang'jian'yan
明场聚光镜,ming'chang'ju'guang'jing
明场透射法,ming'chang'tou'she'fa
