阿德勒心理学,a'de'le'xin'li'xue
胼胝性溃疡,pian'zhi'xing'kui'yang
偏执型人格障碍,pian'zhi'xing'ren'ge'zhang'ai
偏执状态,pian'zhi'zhuang'tai
嘌呤霉素,piao'ling'mei'su
品德心理结构,pin'de'xin'li'jie'gou
品德形成,pin'de'xing'cheng
拼合软骨支架,pin'he'ruan'gu'zhi'jia
频率,pin'lv
频率曲线检查,pin'lv'qu'xian'jian'cha
品他病,pin'ta'bing
贫血性梗死,pin'xue'xing'geng'si
贫血痣,pin'xue'zhi
频因律,pin'yin'lv
评定法,ping'ding'fa
评定量表,ping'ding'liang'biao
评定量表法,ping'ding'liang'biao'fa
评定者误差,ping'ding'zhe'wu'cha
评分者信度,ping'fen'zhe'xin'du
评估,ping'gu
平衡,ping'heng
平衡侧,ping'heng'ce
平衡多态现象,ping'heng'duo'tai'xian'xiang
平衡多态性,ping'heng'duo'tai'xing
平衡觉,ping'heng'jue
平衡理论,ping'heng'li'lun
平衡麻醉,ping'heng'ma'zui
平衡盐溶液,ping'heng'yan'rong'ye
平衡易位,ping'heng'yi'wei
平衡运动,ping'heng'yun'dong
平滑肌瘤,ping'hua'ji'liu
平滑肌肉瘤,ping'hua'ji'rou'liu
平滑面龋,ping'hua'mian'qu
屏间切迹,ping'jian'qie'ji
平均误差法,ping'jun'wu'cha'fa
平流,ping'liu
平面导板,ping'mian'dao'ban
平行测验,ping'xing'ce'yan
平行复本,ping'xing'fu'ben
屏障滤器,ping'zhang'lv'qi
平跖外翻足,ping'zhi'wai'fan'zu
破骨细胞瘤,po'gu'xi'bao'liu
破冠器,po'guan'qi
破裂,po'lie
破裂性出血,po'lie'xing'chu'xie
破裂序列征,po'lie'xu'lie'zheng
迫选测验,po'xuan'ce'yan
迫选法,po'xuan'fa
破牙骨质细胞,po'ya'gu'zhi'xi'bao
破牙细胞,po'ya'xi'bao
剖腹术,pou'fu'shu
剖腹探查术,pou'fu'tan'cha'shu
剖腰探查术,pou'yao'tan'cha'shu
瀑布错觉,pu'bu'cuo'jue
普德拉克综合征,pu'de'la'ke'zong'he'zheng
普尔弗里希效应,pu'er'fu'li'xi'xiao'ying
普芬南施蒂尔切口,pu'fen'nan'shi'di'er'qie'kou
浦肯野现象,pu'ken'ye'xian'xiang
普拉德,pu'la'de
普鲁卡因,pu'lu'ka'yin
普卢默,pu'lu'mo
葡萄糖,pu'tao'tang
葡萄状肉瘤,pu'tao'zhuang'rou'liu
普通外科学,pu'tong'wai'ke'xue
普通心理学,pu'tong'xin'li'xue
普秃,pu'tu
蹼状瘢痕,pu'zhuang'ban'hen
蹼状颈,pu'zhuang'jing
蹼状阴茎,pu'zhuang'yin'jing
脐肠瘘,qi'chang'lou
汽车事故医学,qi'che'shi'gu'yi'xue
期待理论,qi'dai'li'lun
气道阻塞,qi'dao'zu'se
气垫床,qi'dian'chuang
气动取皮机,qi'dong'qu'pi'ji
启动子,qi'dong'zi
启发法,qi'fa'fa
气氛效应,qi'fen'xiao'ying
气腹,qi'fu
七氟醚,qi'fu'mi
气功,qi'gong
器官保存,qi'guan'bao'cun
气管成形术,qi'guan'cheng'xing'shu
气管重建术,qi'guan'chong'jian'shu
器官簇移植,qi'guan'cu'yi'zhi
气管导管,qi'guan'dao'guan
器官灌注,qi'guan'guan'zhu
气管开窗术,qi'guan'kai'chuang'shu
气管内插管,qi'guan'nei'cha'guan
气管内径路,qi'guan'nei'jing'lu
气管内麻醉,qi'guan'nei'ma'zui
气管粘液表皮样癌,qi'guan'nian'ye'biao'pi'yang'ai
气管憩室,qi'guan'qi'shi
气管腔内,qi'guan'qiang'nei
气管切除及重建术,qi'guan'qie'chu'ji'chong'jian'shu
气管切开术,qi'guan'qie'kai'shu
器官切取,qi'guan'qie'qu
气管软化,qi'guan'ruan'hua
气管食管瘘,qi'guan'shi'guan'lou
器官特异性抗原,qi'guan'te'yi'xing'kang'yuan
气管无名动脉瘘,qi'guan'wu'ming'dong'mai'lou
气管狭窄,qi'guan'xia'zhai
气管腺样囊性癌,qi'guan'xian'yang'nang'xing'ai
气管袖状全肺切除术,qi'guan'xiu'zhuang'quan'fei'qie'chu'shu
器官移植,qi'guan'yi'zhi
气管造口术,qi'guan'zao'kou'shu
气管支气管缩窄,qi'guan'zhi'qi'guan'suo'zhai
气候疗法,qi'hou'liao'fa
奇静脉原理,qi'jing'mai'yuan'li
气浪弹伤,qi'lang'tan'shang
气流型态,qi'liu'xing'tai
脐尿管,qi'niao'guan
脐尿管癌,qi'niao'guan'ai
脐尿管窦道,qi'niao'guan'dou'dao
脐尿管放线菌病,qi'niao'guan'fang'xian'jun'bing
脐尿管疾病,qi'niao'guan'ji'bing
脐尿管结核,qi'niao'guan'jie'he
脐尿管瘘,qi'niao'guan'lou
脐尿管囊肿,qi'niao'guan'nang'zhong
脐尿管憩室,qi'niao'guan'qi'shi
脐尿管未闭,qi'niao'guan'wei'bi
脐尿管腺癌,qi'niao'guan'xian'ai
脐尿管肿瘤,qi'niao'guan'zhong'liu
起疱,qi'pao
气泡监测器,qi'pao'jian'ce'qi
气泡浴,qi'pao'yu
脐膨出,qi'peng'chu
气枪,qi'qiang
气球样变性,qi'qiu'yang'bian'xing
乞求育嗣行为,qi'qiu'yu'si'xing'wei
气球状细胞痣,qi'qiu'zhuang'xi'bao'zhi
脐疝,qi'shan
憩室,qi'shi
憩室病,qi'shi'bing
憩室切除术,qi'shi'qie'chu'shu
憩室疝,qi'shi'shan
憩室炎,qi'shi'yan
漆树皮炎,qi'shu'pi'yan
气水浴,qi'shui'yu
气体掺和,qi'ti'chan'huo
气体滤器,qi'ti'lv'qi
气体麻醉药,qi'ti'ma'zui'yao
气体微栓,qi'ti'wei'shuan
气体吸收压力阶差,qi'ti'xi'shou'ya'li'jie'cha
期望,qi'wang
期望理论,qi'wang'li'lun
气味,qi'wei
气涡轮机,qi'wo'lun'ji
脐息肉,qi'xi'rou
器械感,qi'xie'gan
器械体操,qi'xie'ti'cao
气性坏疽,qi'xing'huai'ju
气性膀胱炎,qi'xing'pang'guang'yan
气性肾盂肾炎,qi'xing'shen'yu'shen'yan
气胸,qi'xiong
脐炎,qi'yan
汽油烧伤,qi'you'shao'shang
气枕床,qi'zhen'chuang
气质,qi'zhi
气质类型,qi'zhi'lei'xing
器质性大脑障碍,qi'zhi'xing'da'nao'zhang'ai
器质性精神病,qi'zhi'xing'jing'shen'bing
气质血型说,qi'zhi'xue'xing'shuo
气肿性胆囊炎,qi'zhong'xing'dan'nang'yan
脐周蜂窝织炎,qi'zhou'feng'wo'zhi'yan
髂动脉后输尿管,qia'dong'mai'hou'shu'niao'guan
髂骨致密性骨炎,qia'gu'zhi'mi'xing'gu'yan
髂窝脓肿,qia'wo'nong'zhong
前臂长,qian'bi'chang
前臂分叉术,qian'bi'fen'cha'shu
前臂游离皮瓣,qian'bi'you'li'pi'ban
钱币状湿疹,qian'bi'zhuang'shi'zhen
钱币状银屑病,qian'bi'zhuang'yin'xie'bing
浅表肌腱膜系统,qian'biao'ji'jian'mo'xi'tong
浅表扩散性黑,qian'biao'kuo'san'xing'hei
浅表性脓疱性毛囊炎,qian'biao'xing'nong'pao'xing'mao'nang'yan
浅表性皮肤脂肪瘤痣,qian'biao'xing'pi'fu'zhi'fang'liu'zhi
浅表性胃炎,qian'biao'xing'wei'yan
浅部真菌病,qian'bu'zhen'jun'bing
嵌插缝合,qian'cha'feng'he
前唇,qian'chun
前带,qian'dai
前导,qian'dao
铅毒性口炎,qian'du'xing'kou'yan
嵌顿包茎,qian'dun'bao'jing
嵌顿性疝,qian'dun'xing'shan
嵌顿痔,qian'dun'zhi
前额除皱术,qian'e'chu'zhou'shu
前额皮质,qian'e'pi'zhi
浅二度烧伤,qian'er'du'shao'shang
潜伏梅毒,qian'fu'mei'du
潜伏期,qian'fu'qi
潜伏学习,qian'fu'xue'xi
前概率,qian'gai'lv
前弓,qian'gong
前弓区,qian'gong'qu
前颌,qian'he
前核,qian'he
嵌合体,qian'he'ti
嵌甲,qian'jia
前交通动脉动脉瘤,qian'jiao'tong'dong'mai'dong'mai'liu
浅静脉炎,qian'jing'mai'yan
前列腺癌,qian'lie'xian'ai
前列腺癌肉瘤,qian'lie'xian'ai'rou'liu
前列腺按摩,qian'lie'xian'an'mo
前列腺病,qian'lie'xian'bing
前列腺管内腺癌,qian'lie'xian'guan'nei'xian'ai
前列腺结核,qian'lie'xian'jie'he
前列腺结石,qian'lie'xian'jie'shi
前列腺静脉丛,qian'lie'xian'jing'mai'cong
前列腺精囊包虫病,qian'lie'xian'jing'nang'bao'chong'bing
前列腺冷冻术,qian'lie'xian'leng'dong'shu
前列腺淋巴肉瘤,qian'lie'xian'lin'ba'rou'liu
前列腺梅毒,qian'lie'xian'mei'du
前列腺囊肿,qian'lie'xian'nang'zhong
前列腺脓肿,qian'lie'xian'nong'zhong
前列腺切除术,qian'lie'xian'qie'chu'shu
前列腺肉瘤,qian'lie'xian'rou'liu
前列腺素,qian'lie'xian'su
前列腺损伤,qian'lie'xian'sun'shang
前列腺痛症,qian'lie'xian'tong'zheng
前列腺腺癌,qian'lie'xian'xian'ai
前列腺腺瘤,qian'lie'xian'xian'liu
前列腺炎,qian'lie'xian'yan
前列腺液溢,qian'lie'xian'ye'yi
前列腺移行细胞癌,qian'lie'xian'yi'hang'xi'bao'ai
前列腺增生,qian'lie'xian'zeng'sheng
前列腺肿瘤,qian'lie'xian'zhong'liu
前列腺子宫内膜样癌,qian'lie'xian'zi'gong'nei'mo'yang'ai
荨麻疹,qian'ma'zhen
荨麻疹性血管炎,qian'ma'zhen'xing'xue'guan'yan
前磨牙,qian'mo'ya
前脑,qian'nao
前尿道瓣膜,qian'niao'dao'ban'mo
前颞叶切除术,qian'nie'ye'qie'chu'shu
前期,qian'qi
前期白斑,qian'qi'bai'ban
前期牙本质,qian'qi'ya'ben'zhi
嵌入骨折,qian'ru'gu'zhe
铅色素,qian'se'su
前哨淋巴结,qian'shao'lin'ba'jie
前哨痔,qian'shao'zhi
前摄干扰,qian'she'gan'rao
牵涉性痛,qian'she'xing'tong
前摄抑制,qian'she'yi'zhi
前伸关系,qian'shen'guan'xi
前伸髁导斜度,qian'shen'ke'dao'xie'du
前伸平衡,qian'shen'ping'heng
前伸运动,qian'shen'yun'dong
牵伸运动,qian'shen'yun'dong
嵌体,qian'ti
嵌体固位体,qian'ti'gu'wei'ti
嵌体蜡,qian'ti'la
前庭成形术,qian'ting'cheng'xing'shu
前庭盾,qian'ting'dun
前庭沟扩展术,qian'ting'gou'kuo'zhan'shu
前庭框架,qian'ting'kuang'jia
前外侧开胸术,qian'wai'ce'kai'xiong'shu
前习俗道德,qian'xi'su'dao'de
迁徙性钙化,qian'xi'xing'gai'hua
前向掩蔽,qian'xiang'yan'bi
前斜角肌综合征,qian'xie'jiao'ji'zong'he'zheng
前囟测压计,qian'xin'ce'ya'ji
前囟穿刺术,qian'xin'chuan'ci'shu
潜行剥离,qian'xing'bo'li
潜行性龋,qian'xing'xing'qu
前牙,qian'ya
前牙暗间隙,qian'ya'an'jian'xi
前牙言语空隙,qian'ya'yan'yu'kong'xi
迁延性肝炎,qian'yan'xing'gan'yan
迁移,qian'yi
潜抑,qian'yi
迁移的分析,qian'yi'de'fen'xi
迁移皮瓣,qian'yi'pi'ban
潜意识,qian'yi'shi
迁移性静脉炎,qian'yi'xing'jing'mai'yan
牵引,qian'yin
牵引绷带法,qian'yin'beng'dai'fa
牵引钩,qian'yin'gou
牵引夹板,qian'yin'jia'ban
前运思阶段,qian'yun'si'jie'duan
前运算阶段,qian'yun'suan'jie'duan
潜在特质理论,qian'zai'te'zhi'li'lun
潜蚤病,qian'zao'bing
前转录物,qian'zhuan'lu'wu
强擦按摩法,qiang'ca'an'mo'fa
枪弹擦伤,qiang'dan'ca'shang
枪弹伤,qiang'dan'shang
腔道泌尿外科学,qiang'dao'mi'niao'wai'ke'xue
强度,qiang'du
强啡肽,qiang'fei'tai
强化,qiang'hua
强化法,qiang'hua'fa
强化理论,qiang'hua'li'lun
羟化酶缺乏症,qiang'hua'mei'que'fa'zheng
羟基丁酸钠,qiang'ji'ding'suan'na
腔静脉插管,qiang'jing'mai'cha'guan
腔静脉后输尿管,qiang'jing'mai'hou'shu'niao'guan
腔静脉造影,qiang'jing'mai'zao'ying
腔口,qiang'kou
强迫观念,qiang'po'guan'nian
强迫型人格障碍,qiang'po'xing'ren'ge'zhang'ai
强迫性神经症,qiang'po'xing'shen'jing'zheng
强迫行为,qiang'po'xing'wei
羟色胺,qiang'se'an
腔上囊,qiang'shang'nang
强直,qiang'zhi
强直性肌营养不良,qiang'zhi'xing'ji'ying'yang'bu'liang
强直性脊柱炎,qiang'zhi'xing'ji'zhu'yan
桥本甲状腺炎,qiao'ben'jia'zhuang'xian'yan
桥固位体,qiao'gu'wei'ti
桥基,qiao'ji
桥基牙,qiao'ji'ya
桥接坏死,qiao'jie'huai'si
桥跨现象,qiao'kua'xian'xiang
桥粒,qiao'li
桥联抗生物素蛋白,qiao'lian'kang'sheng'wu'su'dan'bai
鞘膜积脓,qiao'mo'ji'nong
鞘膜积血,qiao'mo'ji'xue
鞘膜积液,qiao'mo'ji'ye
桥膝枕峰,qiao'xi'zhen'feng
桥状瘢痕,qiao'zhuang'ban'hen
怯场,qie'chang
切除,qie'chu
切除术,qie'chu'shu
切道,qie'dao
切导,qie'dao
切导盘,qie'dao'pan
切道斜度,qie'dao'xie'du
切导斜度,qie'dao'xie'du
切导针,qie'dao'zhen
切端暴露,qie'duan'bao'lu
切端沟,qie'duan'gou
切端轮廓,qie'duan'lun'kuo
切断伤,qie'duan'shang
切端外展隙,qie'duan'wai'zhan'xi
切端楔状隙,qie'duan'xie'zhuang'xi
切端支托,qie'duan'zhi'tuo
切迹状畸形,qie'ji'zhuang'ji'xing
切角,qie'jiao
切开法重睑成形术,qie'kai'fa'zhong'jian'cheng'xing'shu
切开复位,qie'kai'fu'wei
切口瘢痕,qie'kou'ban'hen
切口疝,qie'kou'shan
切平面,qie'ping'mian
切伤,qie'shang
切线伤,qie'xian'shang
切牙,qie'ya
切牙乳头,qie'ya'ru'tou
切龈融合,qie'yin'rong'he
切缘,qie'yuan
切缘结节,qie'yuan'jie'jie
切缘轮廓,qie'yuan'lun'kuo
亲代,qin'dai
亲和,qin'he
亲和标记法,qin'he'biao'ji'fa
亲合力,qin'he'li
亲和力,qin'he'li
侵入性感染,qin'ru'xing'gan'ran
亲社会行为,qin'she'hui'xing'wei
侵蚀性溃疡,qin'shi'xing'kui'yang
亲同种细胞抗体,qin'tong'zhong'xi'bao'kang'ti
亲细胞抗体,qin'xi'bao'kang'ti
侵袭性生长,qin'xi'xing'sheng'zhang
亲异种细胞抗体,qin'yi'zhong'xi'bao'kang'ti
亲缘系数,qin'yuan'xi'shu
亲仔关系,qin'zi'guan'xi
亲子关系,qin'zi'guan'xi
青斑血管炎,qing'ban'xue'guan'yan
青斑样皮炎,qing'ban'yang'pi'yan
轻擦按摩法,qing'ca'an'mo'fa
情操,qing'cao
清除系统,qing'chu'xi'tong
清创,qing'chuang
清创术,qing'chuang'shu
青春期,qing'chun'qi
青春期前乳房发育,qing'chun'qi'qian'ru'fang'fa'yu
青春期危机,qing'chun'qi'wei'ji
青春期龈炎,qing'chun'qi'yin'yan
青春前期牙周炎,qing'chun'qian'qi'ya'zhou'yan
青春型精神分裂症,qing'chun'xing'jing'shen'fen'lie'zheng
倾倒综合征,qing'dao'zong'he'zheng
轻度伤,qing'du'shang
轻度烧伤,qing'du'shao'shang
氢氟酸烧伤,qing'fu'suan'shao'shang
情感,qing'gan
情感淡漠,qing'gan'dan'mo
情感倒错,qing'gan'dao'cuo
情感高涨,qing'gan'gao'zhang
情感减退,qing'gan'jian'tui
情感两极性,qing'gan'liang'ji'xing
情感性精神病,qing'gan'xing'jing'shen'bing
情感障碍,qing'gan'zhang'ai
情结,qing'jie
清洁剂,qing'jie'ji
情境测验,qing'jing'ce'yan
情景记忆,qing'jing'ji'yi
情景模式,qing'jing'mo'shi
轻链可变区,qing'lian'ke'bian'qu
轻链型,qing'lian'xing
轻链亚型,qing'lian'ya'xing
青少年发育徒增,qing'shao'nian'fa'yu'tu'zeng
青少年期,qing'shao'nian'qi
青少年型牙周炎,qing'shao'nian'xing'ya'zhou'yan
轻微脑功能障碍,qing'wei'nao'gong'neng'zhang'ai
倾斜式碟瓣,qing'xie'shi'die'ban
清醒插管,qing'xing'cha'guan
情绪,qing'xu
情绪反应,qing'xu'fan'ying
情绪记忆,qing'xu'ji'yi
情绪维度,qing'xu'wei'du
情绪应急说,qing'xu'ying'ji'shuo
氢氧化钙垫底剂,qing'yang'hua'gai'dian'di'ji
氢氧化钠烧伤,qing'yang'hua'na'shao'shang
轻躁狂,qing'zao'kuang
轻躁狂发作,qing'zao'kuang'fa'zuo
青枝骨折,qing'zhi'gu'zhe
穹窿静脉瘘,qiong'long'jing'mai'lou
琼脂糖凝胶电泳,qiong'zhi'tang'ning'jiao'dian'yong
琼脂印模材料,qiong'zhi'yin'mu'cai'liao
球孢子菌病,qiu'bao'zi'jun'bing
球孢子菌性肉芽肿,qiu'bao'zi'jun'xing'rou'ya'zhong
球感,qiu'gan
球笼型机械瓣,qiu'long'xing'ji'xie'ban
求美动机,qiu'mei'dong'ji
球囊泵,qiu'nang'beng
丘脑,qiu'nao
丘脑出血,qiu'nao'chu'xue
丘脑腹外侧核毁损术,qiu'nao'fu'wai'ce'he'hui'sun'shu
球拍式牵引夹,qiu'pai'shi'qian'yin'jia
球拍状甲,qiu'pai'zhuang'jia
球旁细胞瘤,qiu'pang'xi'bao'liu
丘疱疹,qiu'pao'zhen
球形乳房,qiu'xing'ru'fang
球形细胞增多症,qiu'xing'xi'bao'zeng'duo'zheng
球形牙,qiu'xing'ya
丘疹,qiu'zhen
丘疹坏死性结核疹,qiu'zhen'huai'si'xing'jie'he'zhen
丘疹鳞屑性梅毒疹,qiu'zhen'lin'xie'xing'mei'du'zhen
丘疹性梅毒疹,qiu'zhen'xing'mei'du'zhen
丘疹性荨麻疹,qiu'zhen'xing'qian'ma'zhen
球状上颌囊肿,qiu'zhuang'shang'he'nang'zhong
球状突,qiu'zhuang'tu
球钻,qiu'zuan
趋避性,qu'bi'xing
龋病学,qu'bing'xue
屈侧银屑病,qu'ce'yin'xie'bing
去除文身,qu'chu'wen'shen
去大脑强直,qu'da'nao'qiang'zhi
去大脑状态,qu'da'nao'zhuang'tai
驱动压,qu'dong'ya
屈尔珀学派,qu'er'po'xue'pai
区分能力倾向测验,qu'fen'neng'li'qing'xiang'ce'yan
区分效度,qu'fen'xiao'du
去个体化,qu'ge'ti'hua
去梗阻后利尿,qu'geng'zu'hou'li'niao
去冠器,qu'guan'qi
趋化性,qu'hua'xing
趋化因子,qu'hua'yin'zi
趋化应答,qu'hua'ying'da
趋化作用,qu'hua'zuo'yong
去极化,qu'ji'hua
区基因,qu'ji'yin
去甲肾上腺素,qu'jia'shen'shang'xian'su
曲霉病,qu'mei'bing
曲面断层,qu'mian'duan'ceng
取皮机,qu'pi'ji
取皮胶膜,qu'pi'jiao'mo
取皮术,qu'pi'shu
屈曲部网状着色异常,qu'qu'bu'wang'zhuang'zhuo'se'yi'chang
屈曲挛缩,qu'qu'luan'suo
去上皮,qu'shang'pi
去上皮皮瓣,qu'shang'pi'pi'ban
去神经,qu'shen'jing
去肾性高血压,qu'shen'xing'gao'xue'ya
龋失补,qu'shi'bu
龋失补牙,qu'shi'bu'ya
龋失补牙面,qu'shi'bu'ya'mian
趋势检验,qu'shi'jian'yan
躯体变形障碍,qu'ti'bian'xing'zhang'ai
躯体功能重建,qu'ti'gong'neng'chong'jian
躯体化,qu'ti'hua
躯体康复,qu'ti'kang'fu
躯体虐待,qu'ti'nue'dai
驱体痛,qu'ti'tong
去同步化波,qu'tong'bu'hua'bo
去纤维蛋白综合征,qu'xian'wei'dan'bai'zong'he'zheng
去胸腺并经照射的无,qu'xiong'xian'bing'jing'zhao'she'de'wu
驱血绷带,qu'xue'beng'dai
驱血止血带,qu'xue'zhi'xue'dai
趋异,qu'yi
区域定位图,qu'yu'ding'wei'tu
区域麻醉,qu'yu'ma'zui
区域性脑代谢率,qu'yu'xing'nao'dai'xie'lv
区域性脑血流,qu'yu'xing'nao'xue'liu
区域阻滞,qu'yu'zu'zhi
曲张静脉切除术,qu'zhang'jing'mai'qie'chu'shu
全氨基酸尿症,quan'an'ji'suan'niao'zheng
全臂长,quan'bi'chang
全鼻再造术,quan'bi'zai'zao'shu
权变理论,quan'bian'li'lun
全部报告法,quan'bu'bao'gao'fa
全层皮片,quan'ceng'pi'pian
全瓷冠,quan'ci'guan
全肺静脉异位引流,quan'fei'jing'mai'yi'wei'yin'liu
全肺切除术,quan'fei'qie'chu'shu
全腹腔脏器移植,quan'fu'qiang'zang'qi'yi'zhi
颧弓韧带,quan'gong'ren'dai
颧弓位投照术,quan'gong'wei'tou'zhao'shu
全冠,quan'guan
全颌种植体,quan'he'zhong'zhi'ti
全厚瓣,quan'hou'ban
全厚皮肤移植,quan'hou'pi'fu'yi'zhi
全厚皮片,quan'hou'pi'pian
全或无定律,quan'huo'wu'ding'lv
全或无学习,quan'huo'wu'xue'xi
全脊椎麻醉,quan'ji'zhui'ma'zui
颧颊部韧带,quan'jia'bu'ren'dai
全结肠切除术,quan'jie'chang'qie'chu'shu
全距,quan'ju
全口义齿,quan'kou'yi'chi
全口义齿修复学,quan'kou'yi'chi'xiu'fu'xue
全麻分子学说,quan'ma'fen'zi'xue'shuo
全麻原理,quan'ma'yuan'li
全面康复,quan'mian'kang'fu
全腔静脉,quan'qiang'jing'mai
全色盲,quan'se'mang
全身脆性骨硬化,quan'shen'cui'xing'gu'ying'hua
全身麻醉,quan'shen'ma'zui
全身偏侧萎缩,quan'shen'pian'ce'wei'suo
全身性感染,quan'shen'xing'gan'ran
全身性水肿,quan'shen'xing'shui'zhong
全身炎症反应综合征,quan'shen'yan'zheng'fan'ying'zong'he'zheng
全身振动,quan'shen'zhen'dong
全身脂肪营养不良,quan'shen'zhi'fang'ying'yang'bu'liang
全身作用,quan'shen'zuo'yong
圈套器,quan'tao'qi
圈套烧灼术,quan'tao'shao'zhuo'shu
全同胞,quan'tong'bao
全头皮撕脱,quan'tou'pi'si'tuo
全秃,quan'tu
颧突度,quan'tu'du
全腿长,quan'tui'chang
权威人格,quan'wei'ren'ge
权威型父母,quan'wei'xing'fu'mu
全小肠移植,quan'xiao'chang'yi'zhi
圈形卡环,quan'xing'ka'huan
全血激活凝血时间,quan'xue'ji'huo'ning'xue'shi'jian
全颜面骨骨折,quan'yan'mian'gu'gu'zhe
全胰十二指肠切除术,quan'yi'shi'er'zhi'chang'qie'chu'shu
全胰腺移植,quan'yi'xian'yi'zhi
全纵隔清扫术,quan'zong'ge'qing'sao'shu
雀斑,que'ban
雀斑痣,que'ban'zhi
缺乏症,que'fa'zheng
缺口平移,que'kou'ping'yi
缺口位移,que'kou'wei'yi
确认,que'ren
缺如,que'ru
缺失,que'shi
缺失作图,que'shi'zuo'tu
缺损,que'sun
缺隙保持器,que'xi'bao'chi'qi
缺陷,que'xian
缺陷心理学,que'xian'xin'li'xue
缺血,que'xie
缺血后乳头肌断裂,que'xie'hou'ru'tou'ji'duan'lie
缺血性坏死,que'xue'xing'huai'si
缺血性溃疡,que'xue'xing'kui'yang
缺血性挛缩,que'xue'xing'luan'suo
缺血性停搏,que'xue'xing'ting'bo
缺牙间隙,que'ya'jian'xi
缺氧,que'yang
缺氧性停搏,que'yang'xing'ting'bo
群际关系,qun'ji'guan'xi
群际行为,qun'ji'xing'wei
群聚性眶周粉刺,qun'ju'xing'kuang'zhou'fen'ci
群凝集,qun'ning'ji
群特异性抗原,qun'te'yi'xing'kang'yuan
群体,qun'ti
群体动力学,qun'ti'dong'li'xue
群体反应性抗体,qun'ti'fan'ying'xing'kang'ti
群体规范,qun'ti'gui'fan
群体教学,qun'ti'jiao'xue
群体结构,qun'ti'jie'gou
群体决策,qun'ti'jue'ce
群体理论,qun'ti'li'lun
群体凝聚力,qun'ti'ning'ju'li
群体思维,qun'ti'si'wei
群体行为,qun'ti'xing'wei
群体训练,qun'ti'xun'lian
群体压力,qun'ti'ya'li
群体遗传学,qun'ti'yi'chuan'xue
群体意识,qun'ti'yi'shi
群众,qun'zhong
群众心理学,qun'zhong'xin'li'xue
群众行为,qun'zhong'xing'wei
染料激光器,ran'liao'ji'guang'qi
染料排斥试验,ran'liao'pai'chi'shi'yan
染料试验,ran'liao'shi'yan
染色,ran'se
染色体,ran'se'ti
染色体臂,ran'se'ti'bi
染色体病,ran'se'ti'bing
染色体步移,ran'se'ti'bu'yi
染色体重排,ran'se'ti'chong'pai
染色体脆性,ran'se'ti'cui'xing
染色体丢失,ran'se'ti'diu'shi
染色体断裂综合征,ran'se'ti'duan'lie'zong'he'zheng
染色体多态性,ran'se'ti'duo'tai'xing
染色体畸变,ran'se'ti'ji'bian
染色体交叉,ran'se'ti'jiao'cha
染色体失活,ran'se'ti'shi'huo
染色体跳移,ran'se'ti'tiao'yi
染色体突变,ran'se'ti'tu'bian
染色体文库,ran'se'ti'wen'ku
染色体显带技术,ran'se'ti'xian'dai'ji'shu
染色体原位杂交,ran'se'ti'yuan'wei'za'jiao
染色质,ran'se'zhi
燃烧弹烧伤,ran'shao'dan'shao'shang
桡侧半肢畸形,rao'ce'ban'zhi'ji'xing
桡尺骨融合,rao'chi'gu'rong'he
桡骨小头半脱位,rao'gu'xiao'tou'ban'tuo'wei
桡箕,rao'ji
桡偏手,rao'pian'shou
热按摩疗法,re'an'mo'liao'fa
热穿通伤,re'chuan'tong'shang
热带溃疡,re'dai'kui'yang
热带念珠菌,re'dai'nian'zhu'jun
热敷,re'fu
热辐射法,re'fu'she'fa
热辐射烧伤,re'fu'she'shao'shang
热滚筒挤压场,re'gun'tong'ji'ya'chang
热滚筒烧伤,re'gun'tong'shao'shang
热激红斑,re'ji'hong'ban
热觉,re'jue
热卡摄取量,re'ka'she'qu'liang
热扩散时间,re'kuo'san'shi'jian
热烙器,re'lao'qi
热烙术,re'lao'shu
热疗法,re'liao'fa
热疗学,re'liao'xue
热硫化型硅橡胶,re'liu'hua'xing'gui'xiang'jiao
热凝固疗法,re'ning'gu'liao'fa
热凝固术,re'ning'gu'shu
热汽疗法,re'qi'liao'fa
热汽浴,re'qi'yu
热情,re'qing
热缺血时间,re'que'xie'shi'jian
热伤,re'shang
热烧伤,re'shao'shang
热损伤区,re'sun'shang'qu
热痛觉,re'tong'jue
热线,re'xian
热性荨麻疹,re'xing'qian'ma'zhen
热压伤,re'ya'shang
人本主义心理学,ren'ben'zhu'yi'xin'li'xue
人本主义心理治疗,ren'ben'zhu'yi'xin'li'zhi'liao
人差方程,ren'cha'fang'cheng
韧带联合,ren'dai'lian'he
韧带位,ren'dai'wei
人的差错,ren'de'cha'cuo
人的传递函数,ren'de'chuan'di'han'shu
人的可靠性,ren'de'ke'kao'xing
人的系统特性,ren'de'xi'tong'te'xing
人的因素,ren'de'yin'su
人的因素评价,ren'de'yin'su'ping'jia
人痘接种,ren'dou'jie'zhong
人格,ren'ge
人格测验,ren'ge'ce'yan
人格改变,ren'ge'gai'bian
人格结构,ren'ge'jie'gou
人格解体,ren'ge'jie'ti
人格类型,ren'ge'lei'xing
人格理论,ren'ge'li'lun
人格面具,ren'ge'mian'ju
人格评估,ren'ge'ping'gu
人格情境互动,ren'ge'qing'jing'hu'dong
人格特质,ren'ge'te'zhi
人格心理学,ren'ge'xin'li'xue
人格障碍,ren'ge'zhang'ai
人格整合,ren'ge'zheng'he
人工瓣膜机械性故障,ren'gong'ban'mo'ji'xie'xing'gu'zhang
