阿春家,a'chun'jia
前八家,qian'ba'jia
前边儿,qian'bian'er
钱的事儿,qian'de'shi'er
欠返,qian'fan
前风挡,qian'feng'dang
前杠铁,qian'gang'tie
千鹤家园,qian'he'jia'yuan
千家店,qian'jia'dian
前尖,qian'jian
前进花园,qian'jin'hua'yuan
钱粮胡同,qian'liang'hu'tong
千灵山,qian'ling'shan
千龙,qian'long
千龙网,qian'long'wang
前门,qian'men
前门大街,qian'men'da'jie
前门店,qian'men'dian
前门了,qian'men'le
前门楼子,qian'men'lou'zi
前门西,qian'men'xi
前门站,qian'men'zhan
签名儿,qian'ming'er
签名章,qian'ming'zhang
前泥洼,qian'ni'wa
千品,qian'pin
千品网,qian'pin'wang
签三方,qian'san'fang
前沙涧,qian'sha'jian
钱烧的,qian'shao'de
签署的,qian'shu'de
前台呢,qian'tai'ne
千团网,qian'tuan'wang
前屯路,qian'tun'lu
千万别着急,qian'wan'bie'zhao'ji
签完字了,qian'wan'zi'le
千禧大酒店,qian'xi'da'jiu'dian
千喜鹤,qian'xi'he
千橡,qian'xiang
前辛庄,qian'xin'zhuang
前爷们,qian'ye'men
前一阵儿,qian'yi'zhen'er
欠招,qian'zhao
签证部,qian'zheng'bu
签证处,qian'zheng'chu
签证费,qian'zheng'fei
签证页,qian'zheng'ye
签证中心,qian'zheng'zhong'xin
前肘,qian'zhou
千子桐,qian'zi'tong
墙插,qiang'cha
炝炒圆白菜,qiang'chao'yuan'bai'cai
强点儿,qiang'dian'er
腔骨,qiang'gu
强佑,qiang'you
俏巴妹,qiao'ba'mei
瞧把你美得,qiao'ba'ni'mei'de
瞧病,qiao'bing
乔波,qiao'bo
乔迪,qiao'di
敲定一下,qiao'ding'yi'xia
侨福,qiao'fu
侨福芳草地,qiao'fu'fang'cao'di
瞧给,qiao'gei
瞧给你,qiao'gei'ni
巧克力奶,qiao'ke'li'nai
桥梁厂,qiao'liang'chang
敲锣边,qiao'luo'bian
瞧你美得,qiao'ni'mei'de
瞧你内,qiao'ni'nei
瞧你丫,qiao'ni'ya
瞧您说的,qiao'nin'shuo'de
瞧瞧人家,qiao'qiao'ren'jia
瞧人家,qiao'ren'jia
敲三家,qiao'san'jia
乔外婆,qiao'wai'po
桥香园,qiao'xiang'yuan
乔庄,qiao'zhuang
桥梓镇,qiao'zi'zhen
且得,qie'de
且等,qie'deng
茄丁,qie'ding
茄丁面,qie'ding'mian
且着呢,qie'zhe'ne
茄子面,qie'zi'mian
秦城,qin'cheng
勤和,qin'he
亲看一下,qin'kan'yi'xia
亲命了,qin'ming'le
亲情省,qin'qing'sheng
沁山水,qin'shan'shui
勤思,qin'si
秦唐府,qin'tang'fu
晴波园,qing'bo'yuan
请补充,qing'bu'chong
请参见,qing'can'jian
请查收邮件,qing'cha'shou'you'jian
清炒虾仁,qing'chao'xia'ren
青春馆,qing'chun'guan
请翻译,qing'fan'yi
庆丰包子,qing'feng'bao'zi
庆丰包子铺,qing'feng'bao'zi'pu
轻工辅料,qing'gong'fu'liao
清河,qing'he
清河大楼,qing'he'da'lou
清河店,qing'he'dian
清河了,qing'he'le
清河南镇,qing'he'nan'zhen
清河桥,qing'he'qiao
清河小营,qing'he'xiao'ying
清河营,qing'he'ying
清和园,qing'he'yuan
清华池,qing'hua'chi
清华大学,qing'hua'da'xue
清华大学出版社,qing'hua'da'xue'chu'ban'she
清华的,qing'hua'de
清华东路,qing'hua'dong'lu
清华东门,qing'hua'dong'men
清华附,qing'hua'fu
清华附小,qing'hua'fu'xiao
清华附中,qing'hua'fu'zhong
清华科技园,qing'hua'ke'ji'yuan
清华美院,qing'hua'mei'yuan
清华男,qing'hua'nan
清华同方,qing'hua'tong'fang
清华西门,qing'hua'xi'men
清华园,qing'hua'yuan
清华紫光,qing'hua'zi'guang
清缓存,qing'huan'cun
轻集料,qing'ji'liao
请价,qing'jia
清洁日,qing'jie'ri
清景园,qing'jing'yuan
清科,qing'ke
青蓝大厦,qing'lan'da'sha
清凉谷,qing'liang'gu
请留存,qing'liu'cun
青龙湖,qing'long'hu
青龙湖镇,qing'long'hu'zhen
青龙桥,qing'long'qiao
青龙峡,qing'long'xia
青年报,qing'nian'bao
青年餐厅,qing'nian'can'ting
青年宫,qing'nian'gong
青年公寓,qing'nian'gong'yu
青年沟,qing'nian'gou
青年湖,qing'nian'hu
青年汇,qing'nian'hui
青年政治,qing'nian'zheng'zhi
青年政治学院,qing'nian'zheng'zhi'xue'yuan
请您,qing'nin
请您把,qing'nin'ba
请您查看,qing'nin'cha'kan
请您查收,qing'nin'cha'shou
请您查阅,qing'nin'cha'yue
请您吃饭,qing'nin'chi'fan
请您放心,qing'nin'fang'xin
请您过目,qing'nin'guo'mu
请您尽快,qing'nin'jin'kuai
请您审阅,qing'nin'shen'yue
请您于,qing'nin'yu
请您在,qing'nin'zai
轻巧夺冠,qing'qiao'duo'guan
清上园,qing'shang'yuan
轻省,qing'sheng
请收邮件,qing'shou'you'jian
清水苑,qing'shui'yuan
请随时,qing'sui'shi
请随时联系,qing'sui'shi'lian'xi
青塔,qing'ta
青塔蔚园,qing'ta'wei'yuan
青塔西路,qing'ta'xi'lu
青塔小区,qing'ta'xiao'qu
轻体墙,qing'ti'qiang
轻体砖,qing'ti'zhuan
请调整,qing'tiao'zheng
清香阁,qing'xiang'ge
请详见,qing'xiang'jian
清欣园,qing'xin'yuan
青秀城,qing'xiu'cheng
清秀园,qing'xiu'yuan
晴雪园,qing'xue'yuan
清咽滴丸,qing'yan'di'wan
清逸园,qing'yi'yuan
清友园,qing'you'yuan
清缘东里,qing'yuan'dong'li
清缘里,qing'yuan'li
清源路,qing'yuan'lu
清源西里,qing'yuan'xi'li
青云店,qing'yun'dian
青云店镇,qing'yun'dian'zhen
清真,qing'zhen
清芷园,qing'zhi'yuan
请转交,qing'zhuan'jiao
穷逛,qiong'guang
穷横,qiong'heng
穷游网,qiong'you'wang
秋膘,qiu'biao
邱德拔,qiu'de'ba
邱季端,qiu'ji'duan
求来访,qiu'lai'fang
秋栗香,qiu'li'xiang
秋露园,qiu'lu'yuan
裘马都,qiu'ma'dou
求是楼,qiu'shi'lou
求医问药,qiu'yi'wen'yao
去八大处,qu'ba'da'chu
去八达岭,qu'ba'da'ling
去坝上,qu'ba'shang
去百荣,qu'bai'rong
去北大,qu'bei'da
去北戴河,qu'bei'dai'he
去北航,qu'bei'hang
去北京站,qu'bei'jing'zhan
去北苑,qu'bei'yuan
去别的地,qu'bie'de'di
曲别针,qu'bie'zhen
去采摘,qu'cai'zhai
去长城,qu'chang'cheng
去昌平,qu'chang'ping
去重,qu'chong
去崇文门,qu'chong'wen'men
去大红门,qu'da'hong'men
去大兴,qu'da'xing
去大悦城,qu'da'yue'cheng
去地铁,qu'di'tie
去东单,qu'dong'dan
去动物园,qu'dong'wu'yuan
去动物园了,qu'dong'wu'yuan'le
去东直门,qu'dong'zhi'men
去房山,qu'fang'shan
去方庄,qu'fang'zhuang
去丰台,qu'feng'tai
去给您,qu'gei'nin
去公积金,qu'gong'ji'jin
去工体,qu'gong'ti
去故宫,qu'gu'gong
去鼓楼,qu'gu'lou
去簋街,qu'gui'jie
去国贸,qu'guo'mao
去国泰,qu'guo'tai
去国图,qu'guo'tu
去海淀,qu'hai'dian
去海洋馆,qu'hai'yang'guan
去河北,qu'he'bei
去后海,qu'hou'hai
取护照,qu'hu'zhao
去华堂,qu'hua'tang
去怀柔,qu'huai'rou
去欢乐谷,qu'huan'le'gu
去黄村,qu'huang'cun
取回单,qu'hui'dan
去回龙观,qu'hui'long'guan
去火药,qu'huo'yao
区建委,qu'jian'wei
去郊区,qu'jiao'qu
区教委,qu'jiao'wei
取结果,qu'jie'guo
去接您,qu'jie'nin
去劲松,qu'jin'song
去金源,qu'jin'yuan
区卷,qu'juan
去看话剧,qu'kan'hua'ju
去看您,qu'kan'nin
去库房,qu'ku'fang
去良乡,qu'liang'xiang
去六里桥,qu'liu'li'qiao
去遛弯,qu'liu'wan
去美廉美,qu'mei'lian'mei
去门头沟,qu'men'tou'gou
去密云,qu'mi'yun
去庙会,qu'miao'hui
去木樨园,qu'mu'xi'yuan
去南戴河,qu'nan'dai'he
去南锣,qu'nan'luo
去南锣鼓巷,qu'nan'luo'gu'xiang
去你大爷的吧,qu'ni'da'ye'de'ba
去鸟巢,qu'niao'chao
去您家,qu'nin'jia
去您那,qu'nin'na
去您那里,qu'nin'na'li
去潘家园,qu'pan'jia'yuan
去平谷,qu'ping'gu
去前门,qu'qian'men
去清河,qu'qing'he
去清华,qu'qing'hua
去人大,qu'ren'da
去三里屯,qu'san'li'tun
去上地,qu'shang'di
去社保,qu'she'bao
趋势,qu'shi
去十渡,qu'shi'du
去石景山,qu'shi'jing'shan
去十里河,qu'shi'li'he
去刷夜,qu'shua'ye
去双井,qu'shuang'jing
去水立方,qu'shui'li'fang
去水魔方,qu'shui'mo'fang
去税务,qu'shui'wu
去顺义,qu'shun'yi
去四惠,qu'si'hui
取送,qu'song
去趟公司,qu'tang'gong'si
去天安门,qu'tian'an'men
去天津,qu'tian'jin
去天坛,qu'tian'tan
去天通苑,qu'tian'tong'yuan
去天意,qu'tian'yi
去通县,qu'tong'xian
去通州,qu'tong'zhou
渠头,qu'tou
去玩牌,qu'wan'pai
去王府井,qu'wang'fu'jing
去望京,qu'wang'jing
去我人人,qu'wo'ren'ren
去五道口,qu'wu'dao'kou
去五棵松,qu'wu'ke'song
去物美,qu'wu'mei
去西单,qu'xi'dan
去西单吧,qu'xi'dan'ba
去西单了,qu'xi'dan'le
去稀饭,qu'xi'fan
去西直门,qu'xi'zhi'men
去香山,qu'xiang'shan
去蟹岛,qu'xie'dao
去协和,qu'xie'he
去新世界,qu'xin'shi'jie
去验车,qu'yan'che
去燕郊,qu'yan'jiao
去延庆,qu'yan'qing
去颐和园,qu'yi'he'yuan
取一趟,qu'yi'tang
去亦庄,qu'yi'zhuang
去雍和宫,qu'yong'he'gong
去永旺,qu'yong'wang
趣游,qu'you
去玉渊潭,qu'yu'yuan'tan
曲园,qu'yuan
去园博会,qu'yuan'bo'hui
去圆明园,qu'yuan'ming'yuan
取照,qu'zhao
去找您,qu'zhao'nin
取支票,qu'zhi'piao
取中,qu'zhong
去中关村,qu'zhong'guan'cun
去涿州,qu'zhuo'zhou
去坐地铁,qu'zuo'di'tie
全办完,quan'ban'wan
全办下来,quan'ban'xia'lai
全北京,quan'bei'jing
全北京市,quan'bei'jing'shi
全产业链,quan'chan'ye'lian
全撤,quan'che
全车检查,quan'che'jian'cha
全费,quan'fei
全稿,quan'gao
颧弓,quan'gong
全国人才,quan'guo'ren'cai
全国人大,quan'guo'ren'da
全国政协,quan'guo'zheng'xie
泉河,quan'he
全家电,quan'jia'dian
权金城,quan'jin'cheng
全聚德,quan'ju'de
权利要求,quan'li'yao'qiu
全流程,quan'liu'cheng
全流量,quan'liu'liang
圈门,quan'men
全棉时代,quan'mian'shi'dai
全明格局,quan'ming'ge'ju
全南向,quan'nan'xiang
权品,quan'pin
全时,quan'shi
全素斋,quan'su'zhai
全算上,quan'suan'shang
全算下来,quan'suan'xia'lai
全体会,quan'ti'hui
权味,quan'wei
全下来,quan'xia'lai
全新正品,quan'xin'zheng'pin
泉营,quan'ying
缺练,que'lian
确认了么,que'ren'le'me
缺心少肺,que'xin'shao'fei
缺心眼吧,que'xin'yan'ba
缺心眼儿,que'xin'yan'er
缺揍,que'zou
群芳园,qun'fang'yuan
群邑,qun'yi
燃气集团,ran'qi'ji'tuan
燃气卡,ran'qi'ka
燃烧冰,ran'shao'bing
让北京,rang'bei'jing
让库房,rang'ku'fang
让你来北京,rang'ni'lai'bei'jing
让你丫,rang'ni'ya
让你爷们,rang'ni'ye'men
让您费心了,rang'nin'fei'xin'le
嚷嚷的,rang'rang'de
嚷嚷了,rang'rang'le
让特么,rang'te'me
让我哥们,rang'wo'ge'men
让我给您,rang'wo'gei'nin
让销售,rang'xiao'shou
让丫,rang'ya
扰民费,rao'min'fei
饶乐府,rao'yue'fu
热公馆,re'gong'guan
热计量,re'ji'liang
热力集团,re'li'ji'tuan
热力站,re'li'zhan
热伤风,re'shang'feng
热伤风了,re'shang'feng'le
热水费,re'shui'fei
热汤面,re'tang'mian
热这么,re'zhe'me
热着呢,re'zhe'ne
人保部,ren'bao'bu
人保局,ren'bao'ju
人大的,ren'da'de
人大东门,ren'da'dong'men
人大附,ren'da'fu
人大附近,ren'da'fu'jin
人大附小,ren'da'fu'xiao
人大附中,ren'da'fu'zhong
人大西门,ren'da'xi'men
人定湖,ren'ding'hu
人防门,ren'fang'men
人海挺多,ren'hai'ting'duo
仁和医院,ren'he'yi'yuan
仁和镇,ren'he'zhen
人济,ren'ji
人济山庄,ren'ji'shan'zhuang
认监委,ren'jian'wei
人教社,ren'jiao'she
人巨多,ren'ju'duo
人老人家,ren'lao'ren'jia
人老先生,ren'lao'xian'sheng
人力社保局,ren'li'she'bao'ju
人力说,ren'li'shuo
人力总监,ren'li'zong'jian
人民出版社,ren'min'chu'ban'she
人民大会堂,ren'min'da'hui'tang
人民大学,ren'min'da'xue
人民日报社,ren'min'ri'bao'she
人民搜索,ren'min'sou'suo
人民文学,ren'min'wen'xue
人民邮电出版社,ren'min'you'dian'chu'ban'she
人名大学,ren'ming'da'xue
人名单,ren'ming'dan
人名章,ren'ming'zhang
人全到,ren'quan'dao
人人贷,ren'ren'dai
人人网,ren'ren'wang
人人游戏,ren'ren'you'xi
人社部,ren'she'bu
人事儿,ren'shi'er
人事司,ren'shi'si
人事章,ren'shi'zhang
人寿大厦,ren'shou'da'sha
人特多,ren'te'duo
人特多吧,ren'te'duo'ba
人特好,ren'te'hao
人特少,ren'te'shao
人天,ren'tian
人文大学,ren'wen'da'xue
任务额,ren'wu'e
人无压力,ren'wu'ya'li
人艺,ren'yi
人缘儿,ren'yuan'er
人员费,ren'yuan'fei
人员费用,ren'yuan'fei'yong
人在北京,ren'zai'bei'jing
人在呢,ren'zai'ne
认证中心,ren'zheng'zhong'xin
日百,ri'bai
日报网,ri'bao'wang
日本大使馆,ri'ben'da'shi'guan
日本使馆,ri'ben'shi'guan
日餐,ri'can
日昌,ri'chang
日购,ri'gou
日落东单,ri'luo'dong'dan
日上,ri'shang
日坛,ri'tan
日坛北路,ri'tan'bei'lu
日坛公园,ri'tan'gong'yuan
日坛国际,ri'tan'guo'ji
日坛路,ri'tan'lu
日坛中学,ri'tan'zhong'xue
日一,ri'yi
日月天地,ri'yue'tian'di
日子口,ri'zi'kou
荣宝斋,rong'bao'zhai
荣昌东街,rong'chang'dong'jie
融德,rong'de
荣丰,rong'feng
荣华中路,rong'hua'zhong'lu
荣京,rong'jing
融景城,rong'jing'cheng
荣京东街,rong'jing'dong'jie
荣京丽都,rong'jing'li'du
融科,rong'ke
融科橄榄城,rong'ke'gan'lan'cheng
融科资讯,rong'ke'zi'xun
荣之联,rong'zhi'lian
融资方,rong'zi'fang
肉饼,rou'bing
肉饼了,rou'bing'le
肉炒饼,rou'chao'bing
肉虫子,rou'chong'zi
肉筋,rou'jin
揉进去,rou'jin'qu
肉末酸豆角,rou'mo'suan'dou'jiao
肉皮冻,rou'pi'dong
肉烧饼,rou'shao'bing
揉完了,rou'wan'le
如方便,ru'fang'bian
如果在北京,ru'guo'zai'bei'jing
如果着急,ru'guo'zhao'ji
入京,ru'jing
如没问题,ru'mei'wen'ti
如梦之梦,ru'meng'zhi'meng
如您,ru'nin
入票,ru'piao
如意里,ru'yi'li
如有任何问题,ru'you'ren'he'wen'ti
如有问题,ru'you'wen'ti
如园,ru'yuan
入职的,ru'zhi'de
入职了,ru'zhi'le
入支票,ru'zhi'piao
入资,ru'zi
软件所,ruan'jian'suo
软件著作权,ruan'jian'zhu'zuo'quan
软开,ruan'kai
软课题,ruan'ke'ti
软通动力,ruan'tong'dong'li
软微,ruan'wei
软性,ruan'xing
锐城,rui'cheng
瑞都国际,rui'dou'guo'ji
瑞飞,rui'fei
瑞蚨祥,rui'fu'xiang
瑞海家园,rui'hai'jia'yuan
瑞海姆,rui'hai'mu
瑞海园,rui'hai'yuan
瑞和国际,rui'he'guo'ji
瑞丽江畔,rui'li'jiang'pan
瑞麟湾,rui'lin'wan
瑞士公寓,rui'shi'gong'yu
瑞思,rui'si
瑞廷,rui'ting
瑞祥里,rui'xiang'li
瑞雪春堂,rui'xue'chun'tang
润枫,run'feng
润枫德尚,run'feng'de'shang
润枫领尚,run'feng'ling'shang
润枫水尚,run'feng'shui'shang
润杰,run'jie
润千秋,run'qian'qiu
润清园,run'qing'yuan
润西山,run'xi'shan
撒欢儿,sa'huan'er
撒娇耍赖,sa'jiao'shua'lai
撒开了,sa'kai'le
萨克塞斯,sa'ke'sai'si
仨礼拜,sa'li'bai
萨其马,sa'qi'ma
仨人,sa'ren
仨小时,sa'xiao'shi
撒呓挣,sa'yi'zheng
仨月,sa'yue
仨字儿,sa'zi'er
赛百味,sai'bai'wei
赛迪,sai'di
赛迪网,sai'di'wang
塞罕坝,sai'han'ba
赛乐堡,sai'le'bao
赛洛城,sai'luo'cheng
塞舌尔,sai'she'er
赛斯特,sai'si'te
赛特,sai'te
赛特奥莱,sai'te'ao'lai
三保暖,san'bao'nuan
三蹦子,san'beng'zi
散德行,san'de'xing
三点下,san'dian'xia
散段,san'duan
三帆中学,san'fan'zhong'xue
三丰里,san'feng'li
三夫,san'fu
三夫户外,san'fu'hu'wai
三号航站楼,san'hao'hang'zhan'lou
三合南里,san'he'nan'li
三河市,san'he'shi
三合庄,san'he'zhuang
三环边,san'huan'bian
三环边上,san'huan'bian'shang
三环新城,san'huan'xin'cheng
三季报,san'ji'bao
三级联创,san'ji'lian'chuang
三家店,san'jia'dian
三间房,san'jian'fang
三角烧,san'jiao'shao
三街坊,san'jie'fang
三居,san'ju
三居室,san'ju'shi
三空间,san'kong'jian
三口子,san'kou'zi
三里河,san'li'he
三里河东路,san'li'he'dong'lu
三里河路,san'li'he'lu
三里屯,san'li'tun
三里屯吧,san'li'tun'ba
三里屯的,san'li'tun'de
三里屯了,san'li'tun'le
三里屯呢,san'li'tun'ne
三联生活周刊,san'lian'sheng'huo'zhou'kan
三联书店,san'lian'shu'dian
三零六,san'ling'liu
三零一,san'ling'yi
三路居,san'lu'ju
散拼团,san'pin'tuan
三旗百汇,san'qi'bai'hui
三奇堂,san'qi'tang
三千里,san'qian'li
三食,san'shi
三十儿,san'shi'er
三四环,san'si'huan
三孙子,san'sun'zi
三塔寺,san'ta'si
三外援,san'wai'yuan
三网融合,san'wang'rong'he
散味,san'wei
三习五练,san'xi'wu'lian
三样菜,san'yang'cai
三一口语,san'yi'kou'yu
三义里,san'yi'li
三义庙,san'yi'miao
三营门,san'ying'men
三元庵,san'yuan'an
三元村,san'yuan'cun
三元大厦,san'yuan'da'sha
三元东桥,san'yuan'dong'qiao
三源里,san'yuan'li
三元梅园,san'yuan'mei'yuan
三元牛奶,san'yuan'niu'nai
三元桥,san'yuan'qiao
三元桥了,san'yuan'qiao'le
三元西桥,san'yuan'xi'qiao
三站地,san'zhan'di
三只耳,san'zhi'er
三中巷,san'zhong'xiang
丧逼,sang'bi
桑德,sang'de
桑干,sang'gan
丧了,sang'le
桑普,sang'pu
嗓子眼儿,sang'zi'yan'er
骚粉,sao'fen
骚绿,sao'lv
骚他,sao'ta
扫听,sao'ting
骚我,sao'wo
臊着他,sao'zhe'ta
骚子营,sao'zi'ying
森德,sen'de
傻宝儿,sha'bao'er
傻崩,sha'beng
傻逼吧你,sha'bi'ba'ni
傻逼呗,sha'bi'bei
傻逼呵呵,sha'bi'he'he
傻逼是的,sha'bi'shi'de
傻逼似的,sha'bi'si'de
傻操行,sha'cao'xing
傻吃闷睡,sha'chi'men'shui
傻德行,sha'de'xing
傻东西,sha'dong'xi
啥都成,sha'dou'cheng
傻儿子,sha'er'zi
傻哥们,sha'ge'men
砂锅居,sha'guo'ju
沙航,sha'hang
沙河,sha'he
沙河北大桥,sha'he'bei'da'qiao
沙河高教园,sha'he'gao'jiao'yuan
沙河了,sha'he'le
沙河校区,sha'he'xiao'qu
沙河站,sha'he'zhan
沙河镇,sha'he'zhen
沙狐球,sha'hu'qiu
傻劲的,sha'jin'de
傻劲儿,sha'jin'er
傻乐,sha'le
傻乐什么,sha'le'shen'me
傻帽吧,sha'mao'ba
傻帽儿,sha'mao'er
傻妞子,sha'niu'zi
杀神经,sha'shen'jing
啥时候来北京,sha'shi'hou'lai'bei'jing
杀熟,sha'shu
傻死你,sha'si'ni
傻怂,sha'song
沙滩节,sha'tan'jie
沙疼,sha'teng
沙窝,sha'wo
沙窝桥,sha'wo'qiao
沙阳路,sha'yang'lu
沙峪,sha'yu
鲨鱼头,sha'yu'tou
沙子口,sha'zi'kou
傻子似的,sha'zi'shi'de
沙子营,sha'zi'ying
傻揍性,sha'zou'xing
筛出来,shai'chu'lai
筛简历,shai'jian'li
筛选简历,shai'xuan'jian'li
山吧,shan'ba
山城辣妹子,shan'cheng'la'mei'zi
闪电湖,shan'dian'hu
山东庄,shan'dong'zhuang
善各庄,shan'ge'zhuang
扇呼,shan'hu
山里呢,shan'li'ne
山水间,shan'shui'jian
山水文园,shan'shui'wen'yuan
山西大厦,shan'xi'da'sha
山西面馆,shan'xi'mian'guan
善意取得,shan'yi'qu'de
善缘街,shan'yuan'jie
上奥,shang'ao
上奥世纪,shang'ao'shi'ji
上班儿,shang'ban'er
上保险,shang'bao'xian
上北,shang'bei
商标局,shang'biao'ju
上不去车,shang'bu'qu'che
尚层,shang'ceng
上次咱们,shang'ci'zan'men
上岛咖啡,shang'dao'ka'fei
尚德,shang'de
尚德机构,shang'de'ji'gou
上地,shang'di
上地店,shang'di'dian
上地东里,shang'di'dong'li
上地东路,shang'di'dong'lu
上地华联,shang'di'hua'lian
上地环岛,shang'di'huan'dao
上地环岛南,shang'di'huan'dao'nan
上地佳园,shang'di'jia'yuan
上地了,shang'di'le
上地南口,shang'di'nan'kou
上地七街,shang'di'qi'jie
上地桥东,shang'di'qiao'dong
上地三街,shang'di'san'jie
上地十街,shang'di'shi'jie
上地铁,shang'di'tie
上地铁啦,shang'di'tie'la
上地铁了,shang'di'tie'le
上地铁了吗,shang'di'tie'le'ma
上地铁了么,shang'di'tie'le'me
上地五街,shang'di'wu'jie
上地西路,shang'di'xi'lu
上地信息路,shang'di'xin'xi'lu
上地医院,shang'di'yi'yuan
上地站,shang'di'zhan
上地支行,shang'di'zhi'hang
上叠,shang'die
尚都,shang'du
尚都国际,shang'du'guo'ji
尚峰尚水,shang'feng'shang'shui
上封邮件,shang'feng'you'jian
商富,shang'fu
上海沙龙,shang'hai'sha'long
上河村,shang'he'cun
赏红叶,shang'hong'ye
上交规,shang'jiao'gui
上京东,shang'jing'dong
上刊,shang'kan
尚客,shang'ke
上课外班,shang'ke'wai'ban
上了地铁,shang'le'di'tie
商联通,shang'lian'tong
上林溪,shang'lin'xi
商贸中心,shang'mao'zhong'xin
上磨,shang'mo
上闹铃,shang'nao'ling
上闹钟,shang'nao'zhong
上牌子,shang'pai'zi
尚品网,shang'pin'wang
上品折扣,shang'pin'zhe'kou
商评委,shang'ping'wei
商签,shang'qian
上清桥,shang'qing'qiao
上上城,shang'shang'cheng
上社保,shang'she'bao
上市后,shang'shi'hou
上四环,shang'si'huan
上岁数了,shang'sui'shu'le
上天桥,shang'tian'qiao
商通,shang'tong
商通卡,shang'tong'ka
商委,shang'wei
商务部,shang'wu'bu
上午发货,shang'wu'fa'huo
商务合作,shang'wu'he'zuo
上五环,shang'wu'huan
商务会馆,shang'wu'hui'guan
商务间,shang'wu'jian
上午送,shang'wu'song
商务委,shang'wu'wei
商务委员会,shang'wu'wei'yuan'hui
上五险,shang'wu'xian
商务印书馆,shang'wu'yin'shu'guan
商务园,shang'wu'yuan
商务专员,shang'wu'zhuan'yuan
上线前,shang'xian'qian
商业计划,shang'ye'ji'hua
商业价值,shang'ye'jia'zhi
上一版,shang'yi'ban
尚艺墅,shang'yi'shu
上一歇一,shang'yi'xie'yi
上一休一,shang'yi'xiu'yi
上营,shang'ying
上园村,shang'yuan'cun
上站,shang'zhan
上纸寨,shang'zhi'zhai
商住两用,shang'zhu'liang'yong
上庄,shang'zhuang
上庄水库,shang'zhuang'shui'ku
上庄乡,shang'zhuang'xiang
上庄镇,shang'zhuang'zhen
烧饼夹鸡蛋,shao'bing'jia'ji'dan
烧饼夹肉,shao'bing'jia'rou
捎带手,shao'dai'shou
少儿英语,shao'er'ying'yu
烧技能,shao'ji'neng
邵佳一,shao'jia'yi
少见呀,shao'jian'ya
稍晚些,shao'wan'xie
烧羊肉,shao'yang'rou
芍药居,shao'yao'ju
芍药居北里,shao'yao'ju'bei'li
芍药居了,shao'yao'ju'le
勺园,shao'yuan
社保登记证,she'bao'deng'ji'zheng
社保公积金,she'bao'gong'ji'jin
社保所,she'bao'suo
蛇豆,she'dou
社工委,she'gong'wei
社会保障部,she'hui'bao'zhang'bu
社会大课堂,she'hui'da'ke'tang
社会路,she'hui'lu
社会面,she'hui'mian
射击场,she'ji'chang
设计文档,she'ji'wen'dang
设计周,she'ji'zhou
社交媒体,she'jiao'mei'ti
社科院,she'ke'yuan
社里,she'li
社领导,she'ling'dao
社区办,she'qu'ban
社区服务中心,she'qu'fu'wu'zhong'xin
社区工作者,she'qu'gong'zuo'zhe
社区网,she'qu'wang
社区站,she'qu'zhan
涉水险,she'shui'xian
摄头,she'tou
摄影城,she'ying'cheng
摄影器材城,she'ying'qi'cai'cheng
摄影系,she'ying'xi
社招,she'zhao
身边儿,shen'bian'er
审查员,shen'cha'yuan
审读,shen'du
身儿,shen'er
深访,shen'fang
什坊院,shen'fang'yuan
审合同,shen'he'tong
审核组,shen'he'zu
神华集团,shen'hua'ji'tuan
沈家营,shen'jia'ying
审校,shen'jiao
神龙丰,shen'long'feng
神路,shen'lu
神路街,shen'lu'jie
什么地儿,shen'me'di'er
什么都成,shen'me'dou'cheng
什么活儿,shen'me'huo'er
什么路子,shen'me'lu'zi
什么事儿啊,shen'me'shi'er'a
什么时候回北京,shen'me'shi'hou'hui'bei'jing
什么时候来北京,shen'me'shi'hou'lai'bei'jing
什么时间方便,shen'me'shi'jian'fang'bian
什么他妈,shen'me'ta'ma
什么特么,shen'me'te'me
什么玩意儿啊,shen'me'wan'yi'er'a
什么玩意呀,shen'me'wan'yi'ya
什么样儿,shen'me'yang'er
什么怎么着,shen'me'zen'me'zhe
审批流,shen'pi'liu
深水证,shen'shui'zheng
申硕,shen'shuo
申思,shen'si
神堂峪,shen'tang'yu
神武门,shen'wu'men
神仙与财神,shen'xian'yu'cai'shen
审协,shen'xie
深圳大厦,shen'zhen'da'sha
神舟国旅,shen'zhou'guo'lv
神州数码,shen'zhou'shu'ma
神州泰岳,shen'zhou'tai'yue
神州租车,shen'zhou'zu'che
盛百味,sheng'bai'wei
剩不下钱,sheng'bu'xia'qian
生产环境,sheng'chan'huan'jing
生存岛,sheng'cun'dao
省地,sheng'di
声儿,sheng'er
盛福大厦,sheng'fu'da'sha
生甘草,sheng'gan'cao
盛购,sheng'gou
胜古,sheng'gu
胜古家园,sheng'gu'jia'yuan
胜古南里,sheng'gu'nan'li
盛宏达,sheng'hong'da
盛华,sheng'hua
盛华驾校,sheng'hua'jia'xiao
生黄芪,sheng'huang'qi
生活半径,sheng'huo'ban'jing
生活广角,sheng'huo'guang'jiao
生活频道,sheng'huo'pin'dao
生活热水,sheng'huo're'shui
剩饺子,sheng'jiao'zi
圣莲山,sheng'lian'shan
胜门,sheng'men
剩米饭,sheng'mi'fan
生命科技园,sheng'ming'ke'ji'yuan
生命科学园,sheng'ming'ke'xue'yuan
生命园,sheng'ming'yuan
圣琪儿,sheng'qi'er
升旗时间,sheng'qi'shi'jian
